   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   śravaṇātmakaśāstrārambhaprayojakaṃ nyāyena nirṇetumidaṃ sūtraṃ	SravaNa Atmaka SAstra AramBa prayojakam nyAyena nirNetum idam sUtram
   racayāñcakāra 'athāto brahmajijñāsā'iti //	racayAQcakAra aaTa atas brahma jijQAsA aiti //
   nanvanubandhajātaṃ vidhisaṃnihitārthavādavākyaireva jñātuṃ śakyam /	nanu anubanDa jAtam viDi saMnihita arTa vAda vAkyEH eva jQAtum Sakyam /
   tathāhi 'tadyatheha karmacito lokaḥ kṣīyata evamevāmutra puṇyacito lokaḥ	taTA hi  atat yaTA iha karma citaH lokaH kzIyate evam eva amutra puNya citaH lokaH
   kṣīyate'iti śrutyā 'yatkṛtakaṃ tadanityaṃ'iti nyāyavatyā 'na jāyate mṛyate	kzIyate aiti SrutyA ayat kRtakam tat anityaM aiti nyAyavatyA ana jAyate mRyate
   vā vipaścit''yo vai bhūmā tadamṛtamato 'nyadārtam'ityādi śrutyā ca	vA vipaScit aayaH vE BUmA tat amRtam atas anyat Artam aityAdi SrutyA ca
   bhūmātmā nityastato 'nyadanityamajñānasvarūpamiti viveko labhyate /	BUma AtmA nityaH tatas anyat anityam ajQAna svarUpam iti vivekaH laByate /
   karmaṇā kṛṣyādinā citaḥ saṃpāditaḥ sasyādilokaḥ bhogya ityarthaḥ /	karmaNA kRzi AdinA citaH saMpAditaH sasya Adi lokaH  BogyaH iti arTaH /
   vipaścinnityajñānasvarūpaḥ /	vipaScit nitya jQAna svarUpaH /
   'parīkṣya lokānkarmacitānbrāhmaṇo nirvedamāyānnāstyakṛtaḥ	aparIkzya lokAn karma citAn brAhmaNaH nirveda mAyAt na asti akRtaH
   kṛtena''ātmanastu kāmāya sarvaṃ priyaṃ bhavati'ityādiśrutyānātmamātre	kRtena aaAtmanaH tu kAmAya sarvam priyam Bavati aitya Adi SrutyAnAtma mAtre
   dehendriyādisakalapadārthajāte vairāgyaṃ labhyate /	deha indriya Adi sakala padArTa jAte vErAgyam laByate /
   parīkṣyānityatvena niścitya, akṛto mokṣaḥ kṛtena karmaṇā nāstīti	parIkzya anitya tvena niScitya, akRtaH mokzaH kRtena karmaNA na asti iti
   karmatatphalebhyo vairāgyaṃ prāpnuyādityarthaḥ /	karma tad PaleByaH vErAgyam prApnuyAt iti arTaH /
   'śānto dānta uparatastitikṣuḥ samāhitaḥ śraddhāvitto bhūtvātmanyevātmānaṃ	aSAntaH dAntaH uparataH titikzuH samAhitaH SradDA vittaH BUtvA Atmani eva AtmAnam
   paśyet'iti śrutyā śamādiṣaṭkaṃ labhyate /	paSyet aiti SrutyA Sama Adi zawkam laByate /
   'samāhito bhūtvā iti kāṇvapāṭhaḥ /	asamAhitaH BUtvA iti kANu apAWaH /
   uparatiḥ saṃnyāsaḥ /	uparatiH saMnyAsaH /
   'na sa punarāvartate'iti svayañjyotirānandātmakamokṣasya nityatvaśrutyā	anaH sa punar Avartate aiti svayan jyotiH Ananda Atmaka mokzasya nitya tva SrutyA
   mumukṣā labhyate /	mumukzA laByate /
   tathā ca vivekādiviśeṣaṇavānadhikārīti jñātuṃ śakyam /	taTA ca viveka Adi viSezaNavAn aDikArI iti jQAtum Sakyam /
   yathā 'ya etā rātrīrupayanti'iti rātrisatravidhau	yaTA ayaH etAH rAtrIH upayanti aiti rAtri satra viDO
   'pratitiṣṭhanti'ityarthavādasthapratiṣṭhākāmastadvat /	apratitizWanti aiti arTa vAda sTa pratizWA kAmaH tadvat /
   tathā 'śrotavyaḥ'ityatra pratyayārthasya niyogasya prakṛtyartho vicāro	taTA aSrotavyaH aiti atra pratyaya arTasya niyogasya prakRti arTaH vicAraH 
   viṣayaḥ vicārasya vedāntā viṣaya iti śakyaṃ jñātum, 'ātmā	vizayaH vicArasya vedAntAH vizayaH iti Sakyam jQAtum, aAtmA
   draṣṭavyaḥ'ityadvaitātmadarśanamuddiśya 'śrotavyaḥ'iti vicāravidhānāt /	drazwavyaH aitya dvEta Atma darSanam uddiSya aSrotavyaH aiti vicAra viDAnAt /
   na hi vicāraḥ sākṣāddarśanahetuḥ, apramāṇatvāt, api tu pramāṇaviṣayatvena	na hi vicAraH sAkzAt darSana hetuH, apramANa tva at, api tu pramANa vizaya tvena
   pramāṇaṃ cādvaitātmani vedāntā eva, 'taṃ tvaupaniṣataṃ puruṣaṃ',	pramANam ca advEta Atmani vedAntAH eva, atam tu Opanizatam puruzaM a,
   'vedāntavijñānasuniścitārthāḥ'iti śruteḥ /	avedAnta vijQAna su niScita arTAH aiti SruteH /
   vedāntānāṃ ca pratyagbrahmaikyaṃ viṣayaḥ, 'tattvamasi', 'ahaṃ	vedAntAnAm ca pratyak brahma Ekyam vizayaH, atattvam asi a, aaham
   brahmāsmi'iti śruteḥ /	brahma asmi aiti SruteH /
   evaṃ vicāravidheḥ phalamapi jñānadvārāmuktiḥ, 'tarati	evam vicAra viDeH Palam api jQAna dvAra AmuktiH, atarati
   śokamātmavit',brahmavidbrahmaiva bhavati'ityādiśruteḥ /	Sokam Atma vit a,brahma vid brahmA eva Bavati aitya Adi SruteH /
   tathā saṃbandho 'pyadhikāriṇā vicārasya kartavyatārūpaḥ, phalasya	taTA saMbanDaH api aDikAriNA vicArasya kartavyatA rUpaH, Palasya
   prāpyatārūpa iti yathāyogyaṃ subodhaḥ /	prApyatA rUpaH iti yaTAyogyam su boDaH /
   tasmādidaṃ sūtraṃ vyarthamiti cet /	tasmAt idam sUtram vyarTam iti ced /
   na /	na /
   tāsāmadhikāryādiśrutīnāṃ svārthe tātparyanirṇāyakanyāyasūtrābhāve kiṃ	tAsAm aDikArya Adi SrutInAm sva arTe tAtparya nirNAyaka nyAya sUtra aBAve kim
   vivekādiviśeṣaṇavānadhikārī utānyaḥ, kiṃ vedāntāḥ pūrvatantreṇa agatārthā	viveka Adi viSezaNavAn aDikArI uta anyaH, kim vedAntAH pUrvatantreNa agata arTA
   vā, kiṃ brahma pratyagabhinnaṃ na vā, kiṃ muktiḥ svargādivallokāntaraṃ,	vA, kim brahma pratyagaBinnam na vA, kim muktiH svarga Adi vat loka antaraM,
   ātmasvarūpā veti saṃśayanivṛtteḥ /	Atma svarUpA vA iti saMSaya nivRtteH /
   tasmādāgamavākyairāpātataḥ pratipannādhikāryādinirṇayārthamidaṃ	tasmAt Agama vAkyEH ApAtataH pratipanna aDikArya Adi nirNaya arTam idam
   sūtramāvaśyakam /	sUtram AvaSyakam /
   taduktaṃ prakāśātmaśrīcaraṇaiḥ  'adhikāryādīnāmāgamikatvepi nyāyena	tat uktam prakASa Atma SrI caraNEH   aaDi kAri a AdInAm Agamika tvepi nyAyena
   nirṇayārthamidaṃ sūtraṃ'iti /	nirNaya arTam idam sUtraM aiti /
   yeṣāṃ mate śravaṇe vidhirnāsti teṣāmavihitaśravaṇe	yezAm mate SravaNe viDiH na asti tezAm avihita SravaNe
   'dhikāryādinirṇayānapekṣaṇātsūtraṃ vyarthamityāpatatītyalaṃ prasaṅgena //	aDikArya Adi nirNaya anapekzaNAt sUtram vyarTam iti Apatati iti alam prasaFgena //
   tathā cāsya sūtrasya śravaṇavidhyapekṣitādhikāryādiśrutibhiḥ	taTA ca asya sUtrasya SravaNa viDi apekzita aDikArya Adi SrutiBiH
   svārthanirṇayāyotthāpitatvāddhetuhetumadbhāvaḥ śrutisaṃgatiḥ,	sva arTa nirNayAya utTApita tvAt hetu hetum adBAvaH Sruti saMgatiH,
   śāstrārambhahetvanubandhanirṇāyakatvenopoddhātatvācchāstrādau saṃgatiḥ,	SAstra AramBa hetu anubanDa nirNAyaka tvena upodDAta tvAt SAstra AdO saMgatiH,
   adhikāryādiśrutīnāṃ svārthe samanvayokteḥ samanvayādhyāyasaṃgatiḥ,	aDikArI Adi SrutInAm sva arTe samanvaya ukteH samanvaya aDyAya saMgatiH,
   'aitadātmyamidaṃ sarvaṃ tatsatyaṃ sa ātmā tattvamasi'ityādiśrutīnāṃ	aEtat Atmyam idam sarvam tat satyam saH AtmA tattvam asi aitya Adi SrutInAm
   sarvātmatvādispaṣṭabrahmaliḍgānāṃ viṣayādau samanvayokteḥ pādasaṃgatiḥ,	sarva Atma tva Adi spazwa brahma lixgAnAm vizaya AdO samanvaya ukteH pAda saMgatiH,
   evaṃ sarvasūtrāṇāṃ śrutyarthanirṇāyakatvācchrutisaṃgatiḥ, tattadadhyāye	evam sarva sUtrANAm Sruti arTa nirNAyaka tvAt Sruti saMgatiH, tat tad aDyAye
   tattatpāde ca samānaprameyatvena saṃgatirūhanīyā /	tad tad pAde ca samAna prameya tvena saMgatiH UhanIyAH /
   prameyaṃ ca kṛtsnaśāstrasya brahma /	prameyam ca kRtsna SAstrasya brahma /
   adhyāyānāṃ tu samanvayavirodhasādhanaphalāni /	aDyAyAnAm tu samanvaya viroDa sADana PalAni /
   tatra prathamapādasya spaṣṭabrahmaliḍgānāṃ śrutīnāṃ samanvayaḥ prameyaḥ /	tatra praTama pAdasya spazwa brahma lixgAnAm SrutInAm samanvayaH prameyaH /
   dvitīyatṛtīyayoraspaṣṭabrahmaliḍgānām /	dvitIya tRtIyayoH aspazwa brahma lixgAnAm /
   caturthapādasya padamātrasamanvaya iti bhedaḥ /	caturTa pAdasya pada mAtra samanvayaH iti BedaH /
   asyādhikaraṇasya prātamyānnādhikaraṇasaṃgatirapekṣitā //	asya aDikaraNasya prAtamyAt na aDikaraNa saMgatiH apekzitAH //
   athādhikaraṇamāracyate 'śrotavyaḥ'iti vihitaśravaṇātmakaṃ	aTa aDikaraNam Aracyate  aSrotavyaH aiti vihita SravaNa Atmakam
   vedāntamīmāṃsāśāstraṃ viṣayaḥ /	vedAntamI mAMsa aSAstram vizayaH /
   tatkimārabdhavyaṃ na veti viṣayaprayojanasaṃbhavāsaṃbhavābhyāṃ saṃśayaḥ /	tat kim ArabDavyam na vA iti vizaya prayojana saMBava asaMBavAByAm saMSayaH /
   tatra nāhaṃ brahmeti bhedagrāhipratyakṣeṇa	tatra na aham brahma iti Beda grAhi pratyakzeNa
   kartṛtvākartṛtvādiviruddhadharmavattvaliḍgakānumānena ca virodhena	kartR tva AkartR tva Adi virudDa Darmavat tva lixgaka anumAnena ca viroDena
   brahmātmanoraikyasya viṣayasyāsaṃbhavāt, satyabandhasya	brahma AtmanoH Ekyasya vizayasya asaMBavAt, satya banDasya
   jñānānnivṛttirūpaphalāsaṃbhavānnārambhaṇīyamiti prāpte siddhāntaḥ 'athāto	jQAnAt nivRtti rUpa Pala asaMBavAt na AramBaNIyam iti prApte sidDAntaH aaTa atas 
   brahmajijñāsā'iti /	brahma jijQAsA aiti /
   atra śravaṇavidhisamānārthatvāya 'kartavyā'iti padamadhyāhartavyam /	atra SravaNa viDi samAna arTa tvAya akartavyA aiti padam aDyAhartavyam /
   adhyāhṛtaṃ ca bhāṣyakṛtā 'brahmajijñāsā kartavyā'iti /	aDyAhRtam ca BAzya kRtA abrahma jijQAsA kartavyA aiti /
   tatra prakṛtipratyayārthayorjñānecchayoḥ kartavyatvānanvayātprakṛtyā	tatra prakRti pratyaya arTayoH jQAna icCayoH kartavya tvAn anvayAt prakRtyA
   phalībhūtaṃ jñānamajahallakṣaṇayocyate /	PalIBUtam jQAnam ajahat lakzaNayA ucyate /
   pratyayenecchāsādhyo vicāro jahallakṣaṇayā /	pratyayena icCA asADyaH vicAraH jahat lakzaNayA /
   tathā ca brahmajñānāya vicāraḥ kartavya iti sūtrasya śrautor'thaḥ	taTA ca brahma jQAnAya vicAraH kartavyaH iti sUtrasya SrOtor aTaH
   saṃpadyate /	saMpadyate /
   tatra jñānasya svataḥ	tatra jQAnasya svatas 
   phalatvāyogātpramātṛtvakartṛtvabhoktṛtvātmakānarthanivartakatvenaiva	Pala tva ayogAt pramAtR tva kartR tva BoktR tva Atmaka anarTa nivartaka tvena eva
   phalatvaṃ vaktavyam /	Pala tvam vaktavyam /
   tatrānarthasya satyatve jñānamātrānnivṛttyayogādadhyastatvaṃ vaktavyamiti	tatra anarTasya satya tve jQAna mAtrAt nivRtti ayogAt aDyasta tvam vaktavyam iti
   bandhasyādhyastatvamarthātsūcitam /	banDasya aDyasta tvam arTAt sUcitam /
   tacca śāstrasya viṣayaprayojanavattvasiddhihetuḥ /	tat ca SAstrasya vizaya prayojanavat tva sidDi hetuH /
   tathā hi śāstramārabdhavyaṃ, viṣayaprayojanavattvāt, bhojanādivat /	taTA hi SAstram ArabDa vyan, vizaya prayojanavat tva at, Bojana Adi vat /
   śāstraṃ prayojanavat, bandhanivartakajñānahetutvāt,	SAstram prayojanavat, banDa nivartaka jQAna hetu tvAt,
   rajjuriyamityādivākyavat /	rajjuH iyam ityAdi vAkya vat /
   bandhojñānanivartyo 'dhyastatvāt, rajjusarpavat /	banDa ujQAna nivartyaH aDyasta tvAt, rajju sarpa vat /
   iti prayojanasiddhiḥ /	iti prayojana sidDiH /
   evamarthābrahmajñānājjīvagatānarthabhramanivṛttiṃ phalaṃ	evam arTa abrahma jQAnAt jIva gata anarTa Brama nivRttim Palam
   sūtrayajjīvabrahmaṇoraikyaṃ viṣayamapyarthātsūcayati, anyajñānādanyatra	sUtrayat jIva brahmaNoH Ekyam vizayam api arTAt sUcayati, anya jQAnAt anyatra
   bhramānivṛtteḥ /	Brama anivRtteH /
   jīvo brahmābhinnaḥ, tajjñānanivartyādhyāsāśrayatvāt /	jIvaH brahmA BinnaH, tad jQAna nivartya aDyAsa ASraya tvAt /
   yaditthaṃ tattathā, yathā śuktyabhinna idamaṃśa iti	yat itTam tat taTA, yaTA Sukti aBinnaH idam aMSaH iti
   viṣayasiddhiheturadhyāsaḥ /	vizaya sidDi hetuH aDyAsaH /
   ityevaṃ viṣayaprayojanavatvācchāstramārambhaṇīyamiti /	iti evam vizaya prayojanava tvAt SAstram AramBaNIyam iti /
   atra pūrvapakṣe bandhasya satyatvena jñānādanivṛtterupāyāntarasādhyā	atra pUrva pakze banDasya satya tvena jQAnAt anivRtteH upAya antara sADyA
   muktiriti phalam /	muktiH iti Palam /
   siddhānte jñānādeva muktiriti vivekaḥ /	sidDAnte jQAnAt eva muktiH iti vivekaH /
   iti sarvaṃ manasi nidhāya brahmasūtrāṇi vyākhyātukāmo bhagavān bhāṣyakāraḥ	iti sarvam manasi niDAya brahmasUtrANi vyAKyAtu kAmaH BagavAn BAzya kAraH
   sūtreṇa vicārakartavyatārūpaśrautārthānyathānupapatyārthātsūtritaṃ	sUtreNa vicAra kartavya tA rUpa SrOta arTAni aTa anupapatya arTAt sUtritam
   viṣayaprayojanavatvamupoddhātatvāttatsiddhihetvadhyāsākṣepasamādhānabhāṣyābhyāṃ	vizaya prayojanava tvam upodDAta tvAt tad sidDi hetu aDyAsa Akzepa samADAna BAzyAByAm
   prathamaṃ varṇayati yuṣmadasmatpratyayagocarayoriti /	praTamam varNa yati yuzmad asmad pratyaya gocarayoH iti /
   etena sūtrārthāsparśitvādadhyāsagrantho na bhāṣyamiti nirastam,	etena sUtra arTa asparSi tvAt aDyAsa granTaH na BAzyam iti nirastam ,
   ārthikārthasparśitvāt //	ArTika arTa sparSi tvAt //
   yattu maḍgalācaraṇābhāvādavyākhyeyamidaṃ bhāṣyamiti tanna /	yat tu maxgala AcaraNa aBAvAt avyAKyeyam idam BAzyam iti tat na /
   'sutarāmitaretarabhāvānupapattiḥ'ityantabhāṣyaracanārthaṃ tadarthasya	asutarAm itaretara BAva anupapattiH aiti anta BAzya racana arTam tad arTasya
   sarvopaplavarahitasya vijñānaghanapratyagarthasya tattvasya smṛtatvāt /	sarva upaplava rahitasya vijQAna Gana pratyagarTasya tattvasya smRta tvAt /
   ato nirdeṣatvādidaṃ bhāṣyaṃ vyākhyeyam //	atas nirdeza tvAt idam BAzyam vyAKyeyam //
   loke śuktāvidaṃ rajatamiti bhramaḥ, satyarajate idaṃ	loke SuktO= idam rajatam iti BramaH, satya rajate idam
   rajatamityadhiṣṭhānasāmānyāropyaviśeṣayoraikyapramāhitasaṃskārajanyo dṛṣṭa	rajatam iti aDizWAna sAmAnya Aropya viSezayoH Ekya pramAhita saMskAra janyaH dRzwa
   ityatrāpyātmānyanātmāhaṅkārādhyāse pūrvapramā vācyā, sā	iti atra api AtmAni anAtma ahaFkAra aDyAse pUrva pramA vAcyA, sA
   cātmanātmanorvāstavaikyamapekṣate, na hi tadasti /	ca AtmanA AtmanoH vAsta vEkyam apekzate, na hi tat asti /
   tathā hi  ātmānātmanāvaikyaśūnyau, parasparaikyāyogyatvāt, tamaprakāśavat	taTA hi  AtmAnAtmanA vEkya SUnyO, paraspara ekya ayogya tva at, tam aprakASa vat 
   iti matvā hetubhūtaṃ virodhaṃ vastutaḥ pratītito vyavahārataśca	iti matvA hetu BUtam viroDam vastutas pratItitaH vyavahArataH ca
   sādhayati yuṣmadasmatpratyayagocarayoriti /	sADayati  yuzmad asmad pratyaya gocarayoH iti /
   na ca 'pratyayottarapadayośca'iti sūtreṇa 'pratyayecottarapade ca parato	na ca apratyaya uttara padayoH ca aiti sUtreNa apratyayeca uttara pade ca paratas 
   yuṣmadasmadormaparyantasya tvamādeśau staḥ'iti vidhānāt, tvadīyaṃ madīyaṃ	yuzmad asmadA Urma paryantasya tvam AdeSO staH aiti viDAnAt, tvadIyam madIyam
   tvatputro matputra itivat 'tvanmatpratyayagocarayoḥ'iti syāditi vācyam /	tvad putraH mad putraH itivat atvat mad pratyaya gocarayoH aiti syAt iti vAcyam /
   'tvamāvekavacane'ityekavacanādhikārāt /	atvam A= eka vacane aiti eka vacana aDikArAt /
   atra ca yuṣmadasmadorekārthavācitvābhāvādānātmanāṃ yuṣmadarthānāṃ	atra ca yuzmad asmadoH eka arTa vAci tva aBAva AdAna AtmanAm yuzmad arTAnAm
   bahutvādasmadarthacaitanyasyāpyupādhito bahutvāt //	bahu tvAt asmad arTa cEtanyasya api upADitaH bahu tvAt //
   nanvevaṃ sati kathamatra bhāṣye vigrahaḥ /	nanu evam sati kaTam atra BAzye vigrahaH /
   na ca yūyamiti pratyayo yuṣmatpratyayaḥ, vayamiti	na ca yUyam iti pratyayaH yuzmad pratyayaH, vayam iti
   pratyayosmatpratyastadgocarayoriti vigraha iti vācyam, śabdasādhutve	pratyayosmad pratyastad gocarayoH iti vigrahaH iti vAcyam, Sabda sADu tve
   'pyarthāsādhutvāt /	api arTa asADu tvAt /
   na hyahaṅkārādyanātmano yūyamiti pratyayavipayatvamastīti cet na /	na hi ahaFkAra Adi anA AtmanaH yUyam iti pratyaya vipaya tvam asti iti ced na /
   gocarapadasya yogyatāparatvāt /	gocara padasya yogyatA paratvAt /
   cidātmā tāvadasmatpratyayayogyaḥ,	cit AtmA tAvat asmad pratyaya yogyaH,
   tatprayuktasaṃśayādinivṛttiphalabhāktvāt, 'na tāvadayamekāntenāvipayaḥ,	tad prayukta saMSaya Adi nivRtti Pala BAj tvAt, ana tAvat ayam ekAntena avipayaH,
   asmatpratyayaviṣayatvāt'iti bhāṣyokteśca /	asmad pratyaya vizaya tvAt aiti BAzya ukteH ca /
   yadyapyahaṅkārādirapi tadyogyastathāpi cidātmanaḥ	yadi api ahaFkAra AdiH api tad yogyaH taTA api cit AtmanaH
   sakāśādatyantabhedasiddhyarthaṃ yuṣmatpratyayayogya ityucyate // //	sakASAt atyanta Beda sidDi arTam yuzmad pratyaya yogyaH iti ucyate // //
   āśramaśrīcaraṇāstu ṭīkāyojanāyāmevamāhuḥ 'saṃbodhyacetano	ASrama SrI caraNAH tu wIkA yojanAyAm evam AhuH  asaMboDya cetano
   yuṣmatpadavācyaḥ, ahaṅkārādiviśiṣṭacetano 'smatpadavācyaḥ, tathā ca	yuzmad pada vAcyaH, ahaFkAra Adi viSizwa cetanaH asmad pada vAcyaH, taTA ca
   yuṣmajasmadoḥ svārthe prayujyamānayoreva tvamādeśaniyamo na lākṣaṇikayoḥ,	yuzmajasmadoH sva arTe prayujyamAnayoH eva tvam AdeSa niyamaH na lAkzaNikayoH,
   'yuṣmadasmadoḥ ṣaṣṭhīcaturthīdvitīyāsthayorvānāvau'iti	ayuzmad asmadoH zazWI caturTI dvitIya asTayoH vAnAvO aiti
   sūtrāsāṃgatyaprasaḍgāt /	sUtrAsAMgatya prasaxgAt /
   atra śabdalakṣakayoriva cinmātrajaḍamātralakṣakayorapi na tvamādeśo	atra Sabda lakzakayoH iva cit mAtra jaxa mAtra lakzakayoH api na tvam AdeSaH 
   lakṣakatvāviśeṣāt iti /	lakzaka tva aviSezAt iti /
   yadi tayoḥ śabdabodhakatve satyeva tvamādeśābhāva ityanena sūtreṇa	yadi tayoH Sabda boDaka tve sati eva tvam AdeSa aBAvaH iti anena sUtreNa
   jñāpitaṃ tadāsminbhāṣye yuṣmatpadena yuṣmacchabdajanyapratyayayogyaḥ	jQApitam tadA asmin BAzye yuzmad padena yuzmad Sabda janya pratyaya yogyaH
   parāgartho lakṣyate, asmacchabdena asmacchabdajanyapratyayayogyaḥ	parAgarTaH lakzyate, asmad Sabdena asmad Sabda janya pratyaya yogyaH
   pratyagātmā /	pratyagAtmA /
   tathā ca lakṣyatāvacchedakatayā śabdo 'pi bodhyata iti na tvamādeśaḥ /	taTA ca lakzya tAvacCedaka tayA SabdaH api boDyate iti na tvam AdeSaH /
   na ca parāktvapratyaktvayoreva lakṣyatāvacchedakatvaṃ, na	na ca parAktu a pratyaktvayoH eva lakzya tAvacCedaka tvan, na
   śabdayogyatvāṃśasya, gauravāditi vācyam /	Sabda yogya tva aMSasya, gOravAt iti vAcyam /
   parākpratīcorvirodhasphuraṇārthaṃ viruddhaśabdayogyatvasyāpi vaktavyatvāt	parAk pratIcoH viroDa sPuraNa arTam virudDa Sabda yogya tvasya api vaktavya tvAt 
   ata evedamasmatpratyayagocarayoriti vaktavye 'pīdaṃśabdo 'smadarthe loke	atas eva idam asmad pratyaya gocarayoH iti vaktavye api idaMSabdaH asmad arTe loke
   vede ca bahuśaḥ, ime vayamāsmahe, ime videhāḥ, ayamahamasmīti ca	vede ca bahuSas , ime vayam Asmahe, ime videhAH, ayam aham asmi iti ca
   prayogadarśanānnāsmacchabdavirodhīti matvā yuṣmacchabdaḥ prayuktaḥ,	prayoga darSanAt na asmat Sabda viroDI iti matvA yuzmad SabdaH prayuktaH,
   idaṃśabdaprayoge virodhāsphūrteḥ /	idaMSabda prayoge viroDa AsPUrteH /
   etena cetanavācitvādasmacchabdaḥ pūrvaṃ prayoktavyaḥ 'abhyarhitaṃ	etena cetana vAci tvAt asmad SabdaH pUrvam prayoktavyaH aaByarhitam
