   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   caritapratipakṣastu dharmaskandho 'nuvarṇitaḥ // VAkK_1.26 //	carita-pratipakzaH-tu Darma-skanDaH anuvarNitaH // VAkK_1.26 //
   tathānye 'pi yathāyogaṃ skandhāyatanadhātavaḥ /	taTA-anye api yaTAyogam skanDa-Ayatana-DAtavaH /
   pratipādyā yathokteṣu saṃpradhārya svalakṣaṇam // VAkK_1.27 //	pratipAdyAH yaTA-uktezu saMpraDArya sva-lakzaNam // VAkK_1.27 //
   chidramākāśadhātvākhyam ālokatamasī kila /	Cidram-AkASa-DAtu-AKyam Aloka-tamasI kila /
   vijñānadhāturvijñānaṃ sāsravaṃ janmaniśrayāḥ // VAkK_1.28 //	vijQAna-DAtuH-vijQAnam sa-Asravam janma-niSrayAH // VAkK_1.28 //
   sanidarśana eko 'tra rūpaṃ sapratighā daśa /	sa-nidarSanaH ekaH atra rUpam sa-pratiGAH daSa /
   rūpiṇaḥ avyākṛtā aṣṭau ta evārūpaśabdakāḥ // VAkK_1.29 //	rUpiNaH avyAkRtAH azwO te eva-arUpa-SabdakAH // VAkK_1.29 //
   tridhānye kāmadhātvāptāḥ sarve rūpe caturdaśa /	tri-DAnye kAmaDAtu-AptAH sarve rUpe caturdaSa /
   vinā gandharasaghrāṇajivhāvijñānadhātubhiḥ // VAkK_1.30 //	vinA ganDa-rasa-GrANa-jivhA-vijQAna-DAtuBiH // VAkK_1.30 //
   ārūpyāptā manodharmamanovijñānadhātavaḥ /	ArUpya-AptAH manaH-Darma-manaH-vijQAna-DAtavaH /
   sāsravānāsravā ete trayaḥ śeṣāstu sāsravāḥ // VAkK_1.31 //	sa-Asrava-anAsravAH ete trayaH SezAH-tu sa-AsravAH // VAkK_1.31 //
   savitarkavicārā hi pañca vijñānadhātavaḥ /	sa-vitarka-vicArAH hi paQca vijQAna-DAtavaH /
   antyāstrayastriprakārāḥ śeṣā ubhayavarjitāḥ // VAkK_1.32 //	antyAH-trayaH-tri-prakArAH SezAH uBaya-varjitAH // VAkK_1.32 //
   nirūpaṇānusmaraṇavikalpenāvikalpakāḥ /	nirUpaNa-anusmaraNa-vikalpena-avikalpakAH /
   tau prajñāmānasī vyagrā smṛtiḥ sarvaiva mānasī // VAkK_1.33 //	tO prajQA-mAnasI vyagrA smRtiH sarvA-eva mAnasI // VAkK_1.33 //
   sapta sālambanāścittadhātavaḥ ardhaṃ ca dharmataḥ /	sapta sa-AlambanAH-citta-DAtavaH arDam ca DarmataH /
   navānupāttā te cāṣṭau śabdaśca anye nava dvidhā // VAkK_1.34 //	nava-anupAttA te ca-azwO SabdaH-ca anye nava dviDA // VAkK_1.34 //
   spraṣṭavyaṃ dvividhaṃ śeṣā rūpiṇo nava bhautikāḥ /	sprazwavyam dviviDam SezAH rUpiNaH nava BOtikAH /
   dharmadhātvekadeśaśca saṃcitā daśa rūpiṇaḥ // VAkK_1.35 //	DarmaDAtu-eka-deSaH-ca saMcitAH daSa rUpiNaH // VAkK_1.35 //
   chinatti chidyate caiva bāhyaṃ dhātu catuṣṭayam /	Cinatti Cidyate ca-eva bAhyam DAtu catuzwayam /
   dahyate tulayatyevaṃ vivādo dagdhṛtulyayoḥ // VAkK_1.36 //	dahyate tulayati-evam vivAdaH dagDR-tulyayoH // VAkK_1.36 //
   vipākajaupacayikāḥ pañcādhyātmaṃ vipākajaḥ /	vipAka-ja-OpacayikAH paQca-aDyAtmam vipAka-jaH /
   na śabdaḥ apratighā aṣṭau naiḥṣyandika vipākajāḥ // VAkK_1.37 //	na SabdaH apratiGAH azwO nEHzyandika vipAka-jAH // VAkK_1.37 //
   tridhānye dravyavānekaḥ kṣaṇikāḥ paścimāstrayaḥ /	tri-DAnye dravyavAn-ekaH kzaNikAH paScimAH-trayaH /
   cakṣurvijñānadhātvoḥ syāt pṛthak lābhaḥ sahāpi ca // VAkK_1.38 //	cakzuH-vijQAna-DAtvoH syAt pRTak lABaH saha-api ca // VAkK_1.38 //
   dvādaśādhyātmikāḥ hitvā rūpādīn dharmasaṃjñakaḥ /	dvAdaSa-ADyAtmikAH hitvA rUpa-AdIn Darma-saMjQakaH /
   sabhāgaḥ tatsabhāgāśca śeṣāḥ yo na svakarmakṛt // VAkK_1.39 //	sa-BAgaH tad-sa-BAgAH-ca SezAH yaH na sva-karma-kRt // VAkK_1.39 //
   daśa bhāvanayā heyāḥ pañca ca antyāstrayastridhā /	daSa BAvanayA heyAH paQca ca antyAH-trayaH-triDA /
   na dṛṣṭiheyamakliṣṭaṃ na rūpaṃ nāpyaṣaṣṭhajam // VAkK_1.40 //	na dRzwi-heyam-aklizwam na rUpam na-api-azazWa-jam // VAkK_1.40 //
   cakṣuśca dharmadhātośca pradeśau dṛṣṭiḥ aṣṭadhā /	cakzuH-ca DarmaDAtoH-ca pradeSO dRzwiH azwaDA /
   pañcavijñānasahajā dhīrna dṛṣṭiratīraṇāt // VAkK_1.41 //	paQca-vijQAna-sahajA DIH-na dRzwiH-atIraNAt // VAkK_1.41 //
   cakṣuḥ paśyati rūpāṇi sabhāgaṃ na tadāśritam /	cakzuH paSyati rUpANi sa-BAgam na tad-ASritam /
   vijñānaṃ dṛśyate rūpaṃ na kilāntaritaṃ yataḥ // VAkK_1.42 //	vijQAnam dRSyate rUpam na kila-antaritam yatas // VAkK_1.42 //
   ubhābhyāmapi cakṣurbhyāṃ paśyati vyaktadarśanāt /	uBAByAm-api cakzurByAm paSyati vyakta-darSanAt /
   cakṣuḥśrotramano 'prāptaviṣayaṃ trayamanyathā // VAkK_1.43 //	cakzuH-Srotra-manaH aprApta-vizayam trayam-anyaTA // VAkK_1.43 //
   tribhirghrāṇādibhistulyaviṣayagrahaṇaṃ matam /	triBiH-GrANa-AdiBiH-tulya-vizaya-grahaNam matam /
   caramasyāśrayo 'tītaḥ pañcānāṃ sahajaśca taiḥ // VAkK_1.44 //	caramasya-ASrayaH atItaH paQcAnAm sahajaH-ca tEH // VAkK_1.44 //
   tadvikāravikāritvādāśrayāścakṣurādayaḥ /	tad-vikAra-vikAri-tvAt-ASrayAH-cakzuH-AdayaH /
   ato 'sādhāraṇatvāddhi vijñānaṃ tairnirucyate // VAkK_1.45 //	atas asADAraNa-tvAt-hi vijQAnam tEH-nirucyate // VAkK_1.45 //
   na kāyasyādharaṃ cakṣuḥ ūrdhvaṃ rūpaṃ na cakṣuṣaḥ /	na kAyasya-aDaram cakzuH UrDvam rUpam na cakzuzaH /
   vijñānaṃ ca asya rūpaṃ tu kāyasyobhe ca sarvataḥ // VAkK_1.46 //	vijQAnam ca asya rUpam tu kAyasya-uBe ca sarvatas // VAkK_1.46 //
   tathā śrotraṃ trayāṇāṃ tu sarvameva svabhūmikam /	taTA Srotram trayANAm tu sarvam-eva sva-BUmikam /
   kāyavijñānamadharasvabhūmi aniyataṃ manaḥ // VAkK_1.47 //	kAya-vijQAnam-aDara-sva-BUmi aniyatam manaH // VAkK_1.47 //
   pañca bāhyā divijñeyāḥ nityā dharmā asaṃskṛtāḥ /	paQca bAhyAH divijQeyAH nityAH DarmAH asaMskRtAH /
   dharmārdhamindriyaṃ ye ca dvādaśādhyātmikāḥ smṛtāḥ // VAkK_1.48 //	Darma-arDam-indriyam ye ca dvAdaSa-ADyAtmikAH smRtAH // VAkK_1.48 //
   abhidharmakośabhāṣye dhātunirdeśo nāma prathamaṃ kośasthānaṃ samāptamiti /	aBiDarma-koSa-BAzye DAtunirdeSaH nAma praTamam koSa-sTAnam samAptam-iti /
   ye dharmā hetuprabhavā hetusteṣāṃ tathāgato hyavadat /	ye DarmAH hetu-praBavAH hetuH-tezAm taTAgataH hi-avadat /
   teṣāṃ ca yo nirodha evaṃvādī mahāśramaṇaḥ //	tezAm ca yaH niroDaH evaMvAdI mahA-ASramaNaH //
   likhāpitamidaṃ śrīlāmāvākeneti /	liKApitam-idam SrI-lAmAvAkena-iti /
   dvitīyaṃ kośasthānam	dvitIyam koSa-sTAnam
   caturṣvartheṣu pañcānāmādhipatyaṃ dvayoḥ kila /	caturzu-arTezu paQcAnAm-ADipatyam dvayoH kila /
   caturṇṇāṃ pañcakāṣṭānāṃ saṃkleśavyavadānayoḥ // VAkK_2.1 //	caturNNAm paQcaka-azwAnAm saMkleSa-vyavadAnayoH // VAkK_2.1 //
   svārthopalabdhyādhipatyāt sarvasya ca ṣaḍindriyam /	sva-arTa-upalabDi-ADipatyAt sarvasya ca zaz-indriyam /
   strītvapuṃstvādhipatyāttu kāyāt strīpuruṣendriye // VAkK_2.2 //	strI-tva-puMstva-ADipatyAt-tu kAyAt strI-puruza-indriye // VAkK_2.2 //
   nikāyasthitisaṃkleśavyavadānādhipatyataḥ /	nikAya-sTiti-saMkleSa-vyavadAna-ADipatyataH /
   jīvitaṃ vedanāḥ pañca śraddhādyāścendriyaṃ matāḥ // VAkK_2.3 //	jIvitam vedanAH paQca SradDA-AdyAH-ca-indriyam matAH // VAkK_2.3 //
   ājñāsyāmyākhyamājñākhyamājñātāvīndriyaṃ tathā /	AjQAsyAmi-AKyam-AjQA-AKyam-AjQAta-avi-indriyam taTA /
   uttarottarasaṃprāptinirvāṇādyādhipatyataḥ // VAkK_2.4 //	uttarottara-saMprApti-nirvANa-Adi-ADipatyataH // VAkK_2.4 //
   cittāśrayastadvikalpaḥ sthitiḥ saṃkleśa eva ca /	citta-ASrayaH-tad-vikalpaH sTitiH saMkleSaH eva ca /
   saṃbhāro vyavadānaṃ ca yāvatā tāvadindriyam // VAkK_2.5 //	saMBAraH vyavadAnam ca yAvatA tAvat-indriyam // VAkK_2.5 //
   pravṛtterāśrayotpattisthitipratyupabhogataḥ /	pravRtteH-ASraya-utpatti-sTiti-pratyupaBogataH /
   caturdaśa tathānyāni nivṛtterindriyāṇi vā // VAkK_2.6 //	caturdaSa taTA-anyAni nivRtteH-indriyANi vA // VAkK_2.6 //
   duḥkhendriyamaśātā yā kāyikī vedanā sukham /	duHKa-indriyam-aSAtA yA kAyikI vedanA suKam /
   śātā dhyāne tṛtīye tu caitasī sā sukhendriyam // VAkK_2.7 //	SAtA DyAne tRtIye tu cEtasI sA suKa-indriyam // VAkK_2.7 //
   anyatra sā saumanasyaṃ aśātā caitasī punaḥ /	anyatra sA sOmanasyam aSAtA ca-etasI punar /
   daurmanasyamupekṣā tu madhyā ubhayī avikalpanāt // VAkK_2.8 //	dOrmanasyam-upekzA tu maDyA uBayI avikalpanAt // VAkK_2.8 //
   dṛgbhāvanāśaikṣapathe nava trīṇi amalaṃ trayam /	dRS-BAvanA-SEkza-paTe nava trINi amalam trayam /
   rūpīṇi jīvitaṃ duḥkhe sāsravāṇi dvidhā nava // VAkK_2.9 //	rUpINi jIvitam duHKe sa-AsravANi dviDA nava // VAkK_2.9 //
   vipāko jīvitaṃ dvedhā dvādaśa antyāṣṭakādṛte /	vipAkaH jIvitam dveDA dvAdaSa antya-azwakAt-Rte /
   daurmanasyācca tattvekaṃ savipākaṃ daśa dvidhā // VAkK_2.10 //	dOrmanasyAt-ca tat-tu-ekam sa-vipAkam daSa dviDA // VAkK_2.10 //
   mano 'nyavittiśraddhādīni aṣṭakaṃ kuśalaṃ dvidhā /	manaH anya-vitti-SradDA-AdIni azwakam kuSalam dviDA /
   daurmanasyaṃ mano 'nyā ca vittistredhā anyadekadhā // VAkK_2.11 //	dOrmanasyam manaH anyA ca vittiH-treDA anyat-ekaDA // VAkK_2.11 //
   kāmāptamamalaṃ hitvā rūpāptaṃ strīpumindriye /	kAma-Aptam-amalam hitvA rUpa-Aptam strI-pum-indriye /
   duḥkhe ca hitvā ārūpyāptaṃ sukhe cāpohya rūpi ca // VAkK_2.12 //	duHKe ca hitvA ArUpya-Aptam suKe ca-apohya rUpi ca // VAkK_2.12 //
   manovittitrayaṃ tredhā dviheyā durmanaskatā /	manaH-vitti-trayam treDA dvi-heyAH durmanaska-tA /
   nava bhavanayā pañca tvaheyānyapi na trayam // VAkK_2.13 //	nava BavanayA paQca tu-aheyAni-api na trayam // VAkK_2.13 //
   kāmeṣvādau vipāko dve labhyate nopapādukaiḥ /	kAmezu-AdO vipAkaH dve laByate na-upapAdukEH /
   teḥ ṣaḍ vā sapta vā aṣṭau vā ṣaḍ rūpeṣu ekamuttare // VAkK_2.14 //	teH zaz vA sapta vE azwO vA zaw rUpezu ekam-uttare // VAkK_2.14 //
   nirodhayatyuparamānnārūpye jīvitaṃ manaḥ /	niroDayati-uparamAnna-ArUpye jIvitam manaH /
   upekṣāṃ caiva rūpe 'ṣṭau kāme daśa navāṣṭau vā // VAkK_2.15 //	upekzAm ca-eva rUpe azwO kAme daSa nava-azwO vA // VAkK_2.15 //
   kramamṛtyau tu catvāri śubhe sarvatra pañca ca /	krama-mRtyO tu catvAri SuBe sarvatra paQca ca /
   navāptirantyaphalayoḥ saptāṣṭanavabhirdvayoḥ // VAkK_2.16 //	nava-AptiH-antya-PalayoH sapta-azwa-navaBiH-dvayoH // VAkK_2.16 //
   ekādaśabhirarhattvamuktaṃ tvekasya saṃbhavāt /	ekAdaSaBiH-arhat-tvam-uktam tu-ekasya saMBavAt /
   upekṣajīvitamanoyukto 'vaśyaṃ trayānvitaḥ // VAkK_2.17 //	upekza-jIvita-manaH-yuktaH avaSyam traya-anvitaH // VAkK_2.17 //
   caturbhiḥ sukhakāyābhyāṃ pañcabhiścakṣurādimān /	caturBiH suKa-kAyAByAm paQcaBiH-cakzuH-AdimAn /
   saumanasyī ca duḥkhī tu saptabhiḥ strīndriyādimān // VAkK_2.18 //	sOma-nasyI ca duHKI tu saptaBiH strI-indriya-AdimAn // VAkK_2.18 //
   aṣṭābhiḥ ekādaśabhistvājñājñāte ndriyānvitaḥ /	azwABiH ekAdaSaBiH-tu-AjQA-jQAte ndriya-anvitaH /
   ājñāsyāmīndriyopetastrayodaśabhiranvitaḥ // VAkK_2.19 //	AjQAsyAmi-indriya-upetaH-trayodaSaBiH-anvitaH // VAkK_2.19 //
   sarvālpairniḥśubho 'ṣṭābhirvinmanaḥkāyajīvitaiḥ /	sarva-alpEH-niHSuBaH azwABiH-vinmanaH-kAya-jIvitEH /
   yuktaḥ bālastathārūpye upekṣāyurmanaḥśubhaiḥ // VAkK_2.20 //	yuktaH bAlaH-taTA-ArUpye upekzA-AyuH-manaH-SuBEH // VAkK_2.20 //
   bahubhiryukta ekānnaviṃśatyāmalavarjitaiḥ /	bahuBiH-yuktaH ekAt-na-viMSatya-amala-varjitEH /
   dviliṅgaḥ āryo rāgī ekaliṅgadvayamalavarjitaiḥ // VAkK_2.21 //	dvi-liFgaH AryaH rAgI eka-liFga-dvaya-mala-varjitEH // VAkK_2.21 //
   kāme 'ṣṭadravyako 'śabdaḥ paramāṇuranindriyaḥ /	kAme azwa-dravyakaH aSabdaH paramANuH-anindriyaH /
   kāyendriyī navadravyaḥ daśadravyo 'parendriyaḥ // VAkK_2.22 //	kAya-indriyI nava-dravyaH daSa-dravyaH apara-indriyaH // VAkK_2.22 //
   cittaṃ caittāḥ sahāvaśyaṃ sarva saṃskṛtalakṣaṇaiḥ /	cittam cEttAH saha-avaSyam sarve saMskRta-lakzaNEH /
   prāptyā vā pañcadhā caittā mahābhūmyādibhedataḥ // VAkK_2.23 //	prAptyA vA paQcaDA cEttAH mahA-BUmi-Adi-BedataH // VAkK_2.23 //
   vedanā cetanā saṃjñā cchandaḥ sparśo matiḥ smṛtiḥ /	vedanA cetanA saMjQA cCandaH sparSaH matiH smRtiH /
   manaskāro 'dhimokṣaśca samādhiḥ sarvacetasi // VAkK_2.24 //	manaskAraH aDimokzaH-ca samADiH sarva-cetasi // VAkK_2.24 //
   śraddhāpramādaḥ praśrabdhirupekṣā hrīrapatrapā /	SradDA-pramAdaH praSrabDiH-upekzA hrIH-apatrapAH /
   mūladvayamahiṃsā ca vīryaṃ ca kuśale sadā // VAkK_2.25 //	mUla-dvayam-ahiMsA ca vIryam ca kuSale sadA // VAkK_2.25 //
   mohaḥ pramādaḥ kauśīdyamāśraddhayaṃ styānamuddhavaḥ /	mohaH pramAdaH kOSIdyam-ASradDayam styAnam-udDavaH /
   kliṣṭe sadaiva akuśale tvāhrīkyamanapatrapā // VAkK_2.26 //	klizwe sadA-eva akuSale tvA-ahrIkyam-anapatrapAH // VAkK_2.26 //
   krodhopanāhaśāṭhyerṣyāpradāsamrakṣamatsarāḥ /	kroDa-upanAha-SAWya-IrzyA-pradAsamrakza-matsarAH /
   māyāmadavihiṃsāśca parīttakleśabhūmikāḥ // VAkK_2.27 //	mAyA-mada-vihiMsAH-ca parItta-kleSa-BUmikAH // VAkK_2.27 //
   savitarkavicāratvāt kuśale kāmacetasi /	sa-vitarka-vicAra-tvAt kuSale kAma-cetasi /
   dvāṃviṃśatiścaitasikāḥ kaukṛtyamadhikaṃ kvacit // VAkK_2.28 //	dvAMviMSatiH-cEtasikAH kOkRtyam-aDikam kvacid // VAkK_2.28 //
   āveṇike tvakuśale dṛṣṭiyukte ca viṃśatiḥ /	AveNike tu-akuSale dRzwi-yukte ca viMSatiH /
   kleśaiścaturbhiḥ krodhādyaiḥ kaukṛtyenaikaviṃśatiḥ // VAkK_2.29 //	kleSEH-caturBiH kroDa-AdyEH kOkRtyena-ekaviMSatiH // VAkK_2.29 //
   nivṛte 'ṣṭādaśa anyatra dvādaśāvyākṛte matāḥ /	nivRte azwAdaSa anyatra dvAdaSa-avyAkRte matAH /
   middhaṃ sarvāvirodhitvādyatra syādadhikaṃ hi tat // VAkK_2.30 //	midDam sarva-aviroDi-tvAt-yatra syAt-aDikam hi tat // VAkK_2.30 //
   kaukṛtyamiddhākuśalānyādye dhyāne na santyataḥ /	kOkRtyam-idDA-kuSalAni-Adye DyAne na santi-atas /
   dhyānāntare vitarkaśca vicāraścāpyataḥ param // VAkK_2.31 //	DyAna-antare vitarkaH-ca vicAraH-ca-api-atas param // VAkK_2.31 //
   ahrīragurutā avadye bhayādarśitva matrapā /	ahrIra-guru-tA avadye Baya-AdarSitva matrapAH /
   prema śraddhā gurutvaṃ hrīḥ te punaḥ kāmarūpayoḥ // VAkK_2.33 //	prema SradDA guru-tvam hrIH te punar kAmarUpayoH // VAkK_2.33 //
   vitarkacārā vaudāryasūkṣmate māna unnatiḥ /	vitarka-cArAH vOdArya-sUkzmate mAnaH unnatiH /
   madaḥ svadharme raktasya paryādānaṃ tu cetasaḥ // VAkK_2.33 //	madaH svaDarme raktasya paryAdAnam tu cetasaH // VAkK_2.33 //
   cittaṃ mano 'tha vijñānamekārthaṃ cittacaitasāḥ /	cittam manaH aTa vijQAnam-eka-arTam citta-cEtasAH /
   sāśrayā lambanākārāḥ saṃprayuktāśca pañcadhā // VAkK_2.34 //	sa-ASrayAH lambana-AkArAH saMprayuktAH-ca paQcaDA // VAkK_2.34 //
   viprayuktāstu saṃskārāḥ prāptyaprāptī sabhāgatā /	viprayuktAH-tu saMskArAH prApti-aprAptI saBA-gatA /
   āsaṃjñikaṃ samāpattī jīvitaṃ lakṣaṇāni ca // VAkK_2.35 //	AsaMjQikam samApattI jIvitam lakzaNAni ca // VAkK_2.35 //
