   Pāramitāsamāsaḥ	PAra mita asamAsaH
   dhyānārthamudyānatapovanāni saddharmakoṣāya ca vittakoṣam /	DyAna arTam udyAna tapaH vanAni sat Darma kozAya ca vitta kozam /
   munīndrarājyāya dadātyakhinno rājyāni cājñāpanamaṇḍitāni // Ps_1.28 //	muni indra rAjyAya dadAti aKinnaH rAjyAni ca AjQApana maNxitAni // Ps_1.28 //
   cakrāṅkitābhyāṃ caraṇottamābhyām saṃbodhimaṇḍākramaṇotsukatvāt /	cakra aFkitAByAm caraNa uttamAByAm saMboDi maNxa AkramaNa utsuka tvAt /
   sa nirvikāraścaraṇapradānaṃ lokārthaniṣpattikaro dadāti // Ps_1.29 //	sa nirvikAraH caraNa pradAnam loka arTa nizpatti karaH dadAti // Ps_1.29 //
   duḥkhāpagāyāmatiśīghragāyāṃ magnasya lokasya kathaṃ na dadyām /	duHKa apagAyAm ati SIGra gAyAm magnasya lokasya kaTam na dadyAm /
   saddharmahastāniti saṃpradatte hastānvikoṣāmburuhaprakāśān // Ps_1.30 //	sadDarma hastAn iti saMpradatte hastAn vikoza amburuha prakASAn // Ps_1.30 //
   śraddhendriyādipratipūraṇārthaṃ sa karṇanāsādi dadātyakhinnaḥ /	SradDA indriya Adi pratipUraNa arTam sa karNa nAsA Adi dadAti aKinnaH /
   cakṣuśca cakṣurvimalīkariṣyaṃllokasya sarvāvaraṇaprahāṇāt // Ps_1.31 //	cakzuH ca cakzuH vimalIkarizyan= lokasya sarva AvaraNa prahANAt // Ps_1.31 //
   utkṛtya māṃsāni saśoṇitāni dadāti kāruṇyavaśena nāthaḥ /	utkRtya mAMsAni sa SoNitAni dadAti kAruNya vaSena nATaH /
   bhūmyagnivāyvambuvadeva me syāllokopajīvyaḥ katham eṣa kāyaḥ // Ps_1.32 //	BUmi agni vAyu ambu vat eva me syAt loka upajIvyaH kaTam eza kAyaH // Ps_1.32 //
   lokottamajñānasamāpanārthaṃ sa uttamāṅgairapi satkaroti /	loka uttama jQAna samApana arTam saH uttamAFgEH api satkaroti /
   abhyāgatasyārthijanasya yācñāṃ prāgeva dehāvayavaistadanyaiḥ // Ps_1.33 //	aByAgatasya arTi janasya yAcQAm prAk eva deha avayavEH tad anyEH // Ps_1.33 //
   majjānamapyadbhutavīraceṣṭo dadāti lokasya kathaṃ na kuryām /	majjAnam api adButa vIra cezwaH dadAti lokasya kaTam na kuryAm /
   tathāgataṃ vigrahamapradhṛṣyaṃ vṛṣṭyāpi vajrojjvalayā patantyā // Ps_1.34	taTAgatam vigraham apraDRzyam vRzwyA api vajra ujjvalayA patantyA // Ps_1.34
   ityevamādyaṃ satatānavadyaṃ tadbodhisattvāmbudharapramuktam /	iti evamAdyam satata an avadyam tat boDisattva ambuDara pramuktam /
   prahlādya dānāmbu jagatsamagraṃ sarvajñatāsāgaramabhyupaiti // Ps_1.35 //	prahlAdya dAna ambu jagat samagram sarvajQa tA sAgaram aByupEti // Ps_1.35 //
   anviṣya bhogānviṣameṇa nāsau dadāti notpīḍanayā parasya /	anvizya BogAn vizameNa na asO dadAti na utpIxanayA parasya /
   na trāsalajjāpratikārahetorna dakṣinīyān parimārgamāṇaḥ // Ps_1.36 //	na trAsa lajjA pratikAra hetoH na dakzinIyAn parimArgamANaH // Ps_1.36 //
   na ca praṇīte sati rūkṣadānam adakṣiṇīyā iti vāvamanya /	na ca praNIte sati rUkza dAnam adakziNIyAH iti vA avamanyaH /
   vipākakāṅkṣākṛpaṇīkṛtaṃ vā satkārahīnaṃ vijugupsitaṃ vā // Ps_1.37 //	vipAka kAFkzA kRpaNIkRtam vA satkAra hInam vijugupsitam vA // Ps_1.37 //
   naivonnatiṃ śīlavate prayacchan viparyayaṃ gacchati netarasmai /	na eva unnatim SIlavate prayacCan viparyayam gacCati na itarasmE /
   nātmānamutkarṣati naiva nindāṃ karoti so 'nyasya samaprayogaḥ // Ps_1.38	na AtmAnam utkarzati na eva nindAm karoti saH anyasya sama prayogaH // Ps_1.38
   na cāsya mithyāśayadānamasti naivāstyanadhyāśayadānamasya /	na ca asya miTyA Saya dAnam asti na eva asti anaDyASaya dAnam asya /
   na krodhadoṣopahataṃ dadāti naivānutāpaṃ kurute sa dattvā // Ps_1.39 //	na kroDa doza upahatam dadAti na eva anutApam kurute sa dattvA // Ps_1.39 //
   na ślāghyamāno vipulaṃ dadāti nāślāghyamāno 'nyataraṃ dadāti /	na SlAGyamAnaH vipulam dadAti na aSlAGyamAnaH anyataram dadAti /
   na yācakānāmupaghātadānaṃ yad vā bhaved vipratipattihetuḥ // Ps_1.40 //	na yAcakAnAm upaGAta dAnam yat vA Bavet vipratipatti hetuH // Ps_1.40 //
   nākāladānaṃ sa dadāti kiṃcid dadāti kāle viṣame 'pi naiva /	na akAla dAnam sa dadAti kiMcid dadAti kAle vizame api na eva /
   na devabhāvāya na rājyahetorna hīnayānaspṛhayālubhāvāt // Ps_1.41 //	na deva BAvAya na rAjya hetoH na hIna yAna spRhayAlu BAvAt // Ps_1.41 //
   nāsau mukhollokanayā dadāti na kīrtiśabdāya na hāsyahetoḥ /	na asO muKa ullokanayA dadAti na kIrti SabdAya na hAsya hetoH /
   paryāptametacca mameti naivaṃ yadvā vihiṃsāhasitaṃ pareṣām // Ps_1.42 //	paryAptam etat ca mama iti na evam yat vA vihiMsA hasitam parezAm // Ps_1.42 //
   sarvajñabhāvāpariṇāmitaṃ vā sagarhitaṃ vā sa dadāti naiva /	sarvajQa BAvA pariNAmitam vA sa garhitam vA sa dadAti na eva /
   tato 'sya tat pāramitābhidhānaṃ parāṃ viśuddhiṃ samupaiti dānam // Ps_1.43	tatas asya tat pAramitA aBiDAnam parAm viSudDim samupEti dAnam // Ps_1.43
   dānodbhavaṃ tasya ca puṇyarāśiṃ lokāt samagrādapi piṇḍitāni /	dAna udBavam tasya ca puNya rASim lokAt samagrAt api piNxitAni /
   puṇyāni naivābhibhavanti yasmāllokottamattvaṃ sa tato 'bhyupaiti //	puNyAni na eva aBiBavanti yasmAt loka uttamat tvam sa tatas aByupEti //
   Ps_1.44 //	Ps_1.44 //
   pañcasvabhijñāsu viniścitātmā lokāya yadvarṣati dānavarṣam /	paQcasu aBijQAsu viniScita AtmA lokAya yat varzati dAna varzam /
   samantatastasya kutaḥ pramāṇaṃ parikṣayo vā satatapravṛtteḥ // Ps_1.45 //	samantataH tasya kutas pramANam parikzayaH vA satata pravRtteH // Ps_1.45 //
   yadakṣayāṇāṃ jagatāṃ hitāya jñānasya hetuśca yadakṣayasya /	yat akzayANAm jagatAm hitAya jQAnasya hetuH ca yat akzayasya /
   traidhātukena kṣayiṇā na tacca saṃlipyate vyomavadambudena // Ps_1.46 //	trEDAtukena kzayiNA na tat ca saMlipyate vyoma vat ambudena // Ps_1.46 //
   tacchūnyatākārasamāhitaṃ ca nimittadoṣaiḥ parivarjitaṃ ca /	tat SUnyatA AkAra samAhitam ca nimitta dozEH parivarjitam ca /
   akiṃcanakleśaviyogasiddhestenākṣayaṃ tatkathitaṃ munīndraiḥ // Ps_1.47 //	akiMcana kleSa viyoga sidDeH tena akzayam tat kaTitam muni indrEH // Ps_1.47 //
   asmin punaḥ satpuruṣāvadāne dāne nidāne sukhavistārāṇām /	asmin punar sat puruza avadAne dAne nidAne suKa vistArANAm /
   cikīrṣatā yogamanityasaṃjñā bhogeṣu kāryā karuṇā ca loke // Ps_1.48 //	cikIrzatA yogam anitya saMjQA Bogezu kAryA karuNA ca loke // Ps_1.48 //
   bhogānanityānabhivīkṣamānaḥ sātmyaṃ gatāyāṃ ca tataḥ kṛpāyām /	BogAn anityAn aBivIkzamAnaH sAtmyam gatAyAm ca tatas kRpAyAm /
   sa niścayaṃ gacchati dīyate yad etān madīyāṃ na tu yadgṛhe me // Ps_1.49	sa niScayam gacCati dIyate yat etAn madIyAm na tu yat gRhe me // Ps_1.49
   yaddattam asmān na bhayaṃ kadā cid gehe yadasmādbhayamabhyupaiti /	yat dattam asmAt na Bayam kadA cit gehe yat asmAt Bayam aByupEti /
   sādhāraṇaṃ rakṣyamatarpakaṃ ca datte tu naite prabhavantyanarthāḥ //	sADAraNam rakzyam atarpakam ca datte tu na ete praBavanti anarTAH //
   Ps_1.50 //	Ps_1.50 //
   sukhaṃ paratrāpi karoti dattam ihaiva duḥkhaṃ prakarotyadattam /	suKam paratra api karoti dattam iha eva duHKam prakaroti adattam /
   ulkāsvabhāvaṃ hi dhanaṃ narāṇām atyajyamānaṃ vyasanaṃ dadāti // Ps_1.51 //	ulkA svaBAvam hi Danam narANAm atyajyamAnam vyasanam dadAti // Ps_1.51 //
   adīyamānaṃ nidhanaṃ prayāti nidhānatāṃ yāti hi dīyamānam /	adIyamAnam niDanam prayAti niDAna tAm yAti hi dIyamAnam /
   dhanasya niḥsāralaghoḥ sa sāro yaddīyate lokahitonmukhena // Ps_1.52 //	Danasya niHsAra laGoH sa sAraH yat dIyate loka hita unmuKena // Ps_1.52 //
   yaddattametadviduṣāṃ praśasyaṃ bālo janastannicayapraśaṃsī /	yat dattam etat viduzAm praSasyam bAlaH janaH tad nicaya praSaMsI /
   prāyo viyogo hi parigrahebhyo dānādbhavatyabhyudayo yaśaśca // Ps_1.53 //	prAyas viyogaH hi parigraheByaH dAnAt Bavati aByudayaH yaSaH ca // Ps_1.53 //
   dattaṃ na tatkleśaparigrahāya kleśāya mātsaryamanāryadharmaḥ /	dattam na tad kleSa parigrahAya kleSAya mAtsaryam anArya DarmaH /
   yaddīyate satpatha eṣa tasmād ato 'nyathā kāpathamāhurāryāḥ // Ps_1.54 //	yat dIyate sat paTaH eza tasmAt atas anyaTA kApaTam AhuH AryAH // Ps_1.54 //
   abhyāgate yācanake ca tena saṃbodhisaṃbhāravivṛddhihetau /	aByAgate yAcanake ca tena saMboDi saMBAra vivRdDi hetO /
   tatpreṣyasaṃjñātmani saṃniveśyā kalyāṇamitrapriyatā ca tasmin // Ps_1.55	tad prezya saMjQA Atmani saMniveSyA kalyANa mitra priya tA ca tasmin // Ps_1.55
   mahātmanāṃ yatpratanūbhavanti rāgādayo yācanakānniśamya /	mahAtmanAm yat pratanUBavanti rAga AdayaH yAcanakAn niSamya /
   tenotsavābhyāgamamapyatītya teṣāṃ priyaṃ yācanakopayānam // Ps_1.56 //	tena utsava aByAgamam api atItya tezAm priyam yAcanaka upayAnam // Ps_1.56 //
   sa cetpunaryācanake 'pi labdhe dātuṃ na śaknotyatidurbalatvāt /	sa ced punar yAcanake api labDe dAtum na Saknoti ati durbala tvAt /
   tenānuneyo madhureṇa sāmnā sa yācakaḥ syānna yathā samanyuḥ // Ps_1.57 //	tena anuneyaH maDureNa sAmnA sa yAcakaH syAt na yaTA sa manyuH // Ps_1.57 //
   kāryaśca mātsaryavinigrahāya mohaprahāṇāya ca tena yatnaḥ /	kAryaH ca mAtsarya vinigrahAya moha prahANAya ca tena yatnaH /
   tathā yathā yācanakaḥ kadā cid vaimukhyadīno na tato vyāpaiti // Ps_1.58	taTA yaTA yAcanakaH kadA cit vEmuKya dInaH na tatas vyApEti // Ps_1.58
   saṃbodhicittaṃ kuta eva tasya dravye 'pi yo matsaramabhyupaiti /	saMboDi cittam kutas eva tasya dravye api yaH matsaram aByupEti /
   vāsaḥ sucittasya hi nāsti doṣairambhonidhānasya śavairyathaiva // Ps_1.59	vAsaH su cittasya hi na asti dozEH amBaH niDAnasya SavEH yaTA eva // Ps_1.59
   tasmāt tyaktvā sarvataḥ sarvadoṣān bodhiprārthī sarvadā sarvadaḥ syāt /	tasmAt tyaktvA sarvatas sarva dozAn boDi prArTI sarvadA sarva daH syAt /
   trātuṃ lokānekavīraḥ kva cittaṃ ceṣṭā dainyānūrjiteyaṃ kva caiva //	trAtum lokAneka vIraH kva cittam cezwA dEnyAn UrjitA iyam kva ca eva //
   Ps_1.60 //	Ps_1.60 //
   mūlaṃ dānasyāsya saṃbodhicittaṃ tanna tyājyaṃ ditsatā dānamīdṛk /	mUlam dAnasya asya saMboDi cittam tat na tyAjyam ditsatA dAnam IdRS /
   taṃ saṃbuddhāstyāgināmagramāhuryo lokeṣu tyāgamādhitsuragram // Ps_1.61 //	tam saMbudDAH tyAginAm agram AhuH yaH lokezu tyAgam ADitsuH agram // Ps_1.61 //
   // dānapāramitāsamāsaḥ //	// dAna pAramitA samAsaH //
   2. śīlapāramitāsamāsaḥ	2. SIla pAramitA samAsaH
   saṃbuddhaśīlābharaṇābhirāmān kartuṃ janānutpatitādareṇa /	saMbudDa SIla ABaraNa aBirAmAn kartum jana an utpatita AdareNa /
   svameva śīlaṃ pariśodhyamādau śīlaṃ hi śakterbalamādadhāti // Ps_2.1 //	svam eva SIlam pariSoDyam AdO SIlam hi SakteH balam AdaDAti // Ps_2.1 //
   loke tathā prema niveśayeta svapne 'pi na droharuciryathā syāt /	loke taTA prema niveSayeta svapne api na droha ruciH yaTA syAt /
   paropakāraikarasaḥ pareṣāṃ bhogānahīnāmiva na spṛśecca // Ps_2.2 //	para upakAra eka rasaH parezAm BogAn ahInAm iva na spRSet ca // Ps_2.2 //
   dvandvapravṛttervinivṛttabuddhiḥ prāgeva dārapraṇayāt parasya /	dvandva pravRtteH vinivRtta budDiH prAk eva dAra praNayAt parasya /
   kurvīta lokasya hitārthakartā kāyena ceṣṭāḥ sujanasya ceṣṭāḥ // Ps_2.3 //	kurvIta lokasya hita arTa kartA kAyena cezwAH su janasya cezwAH // Ps_2.3 //
   mādhuryaramyāmapi kālayuktāṃ satyānukūlāmavibhedinīṃ ca /	mADurya ramyAm api kAla yuktAm satya anukUlAm aviBedinIm ca /
   saddharmatattvādhigamāya vāṇīṃ brūyādvipakṣāduparamya tasyāḥ // Ps_2.4 //	sadDarma tattva aDigamAya vANIm brUyAt vipakzAt uparamya tasyAH // Ps_2.4 //
   kāryaṃ prayatnena mayā yadasmai tatsādhanena svayameva labdham /	kAryam prayatnena mayA yat asmE tad sADanena svayam eva labDam /
   parasya saukhyeṣviti tuṣṭacittaḥ kuryān manonirviṣayāmabhidhyām // Ps_2.5	parasya sOKyezu iti tuzwa cittaH kuryAt manaH nirvizayAm aBiDyAm // Ps_2.5
   mamaiva daurabalyamidaṃ yadeṣa kleśāsvatantraḥ svahitaṃ na vetti /	mama eva dOra balyam idam yat eza kleSa asvatantraH sva hitam na vetti /
   parāparādheṣvapi kārya evaṃ vyāpādavahnipraśamāya yatnaḥ // Ps_2.6 //	para aparADezu api kAryaH evam vyApAda vahni praSamAya yatnaH // Ps_2.6 //
   kudṛṣṭisaṃjñaṃ ca tamaḥpratānaṃ jñānaprakāśairmanaso nirasya /	kudRzwi saMjQam ca tamaH pratAnam jQAna prakASEH manasaH nirasya /
   kuryādahāryāṃ naradevavarye bhaktiṃ guṇābhyāsavirūḍhamūlām // Ps_2.7 //	kuryAt ahAryAm naradeva varye Baktim guNa aByAsa virUXa mUlAm // Ps_2.7 //
   svargasya mokṣasya ca satpathebhyo naivoccalet karmapathebhya ebhyaḥ /	svargasya mokzasya ca sat paTeByaH na eva uccalet karma paTeByaH eByaH /
   atra sthitānāṃ hi jagaddhitārthāścintāviśeṣāḥ saphalībhavanti // Ps_2.8 //	atra sTitAnAm hi jagat hita arTAH cintA viSezAH saPalIBavanti // Ps_2.8 //
   samāsataḥ śīlamidaṃ vadanti yaḥ saṃvaraḥ kāyavacomanastaḥ /	samAsatas SIlam idam vadanti yaH saMvaraH kAya vacaH manaH tas /
   kārtsnyena cātraiva yataḥ sa tasmād etānyayatnena viśodhayecca // Ps_2.9	kArtsnyena ca atra eva yatas sa tasmAt etAni ayatnena viSoDayet ca // Ps_2.9
   hiṃsānivṛttapraṇayo dadāti saumyasvabhāvādabhyaṃ janānām /	hiMsA nivRtta praNayaH dadAti sOmya svaBAvAt aByam janAnAm /
   yā vāsanā doṣakṛtāsya citte tāṃ cāprayatnena samucchinatti // Ps_2.10 //	yAH vAsanAH doza kRtA asya citte tAm ca aprayatnena samucCinatti // Ps_2.10 //
   maitrīviśeṣānugate ca citte vairānubandheṣu śamam gateṣu /	mEtrI viSeza anugate ca citte vEra anubanDezu Samam gatezu /
   sukhaprabodhaḥ sukhameva śete kṣīṇāśubhasvapnavikāradoṣaḥ // Ps_2.11 //	suKa praboDaH suKam eva Sete kzINa aSuBa svapna vikAra dozaH // Ps_2.11 //
   kurvanti rakṣāṃsyapi cāsya rakṣāṃ na durgatibhyo bhayamabhyupaiti /	kurvanti rakzAMsi api ca asya rakzAm na durgatiByaH Bayam aByupEti /
   prāpnoti cārogyaguṇābhirāmamāyuḥ prakṛṣṭaṃ sugatipratiṣṭham // Ps_2.12 //	prApnoti ca Arogya guNa aBirAmam AyuH prakRzwam sugati pratizWam // Ps_2.12 //
   ataśca saṃbodhimupāgatānāṃ tathāgatānāmamitaprayāmam /	atas ca saMboDim upAgatAnAm taTAgatAnAm amita prayAmam /
   nirvartate cittavaśānuvarti lokasya saukhyopacayāya vāyuḥ // Ps_2.13 //	nirvartate citta vaSa anuvarti lokasya sOKya upacayAya vAyuH // Ps_2.13 //
   anādadānastu parasya bhogān āpnoti bhogānmahataḥ paratra /	anAdadAnaH tu parasya BogAn Apnoti BogAn mahataH paratra /
   narendradāyādagaṇairahāryān girīniva śvāsanavairahāryān // Ps_2.14 //	narendra dAyAda gaNEH ahAryAn girIn iva SvAsana vErahAryAn // Ps_2.14 //
   ācāraśuddhyānugatapriyatvaṃ viśvāsapātratvamihaiva yāti /	AcAra SudDyA anugata priya tvam viSvAsa pAtra tvam iha eva yAti /
   ataḥ paropakramanirviśaṅko gatipratīghātamupaiti naiva // Ps_2.15 //	atas para upakrama nirviSaFkaH gati pratIGAtam upEti na eva // Ps_2.15 //
   asārabuddhirdhanavistareṣu bhavatyayatnena viśuddhaśīlaḥ /	asAra budDiH Dana vistarezu Bavati ayatnena viSudDa SIlaH /
