   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   athāvidyādayaḥ pāśāḥ MrgT_1,7.1a	aTa-avidyA-AdayaH pASAH MrgT_1,7.1a
   athāśakyaṃ yataḥ śakyam MrgT_1,9.16a	aTa-aSakyam yatas Sakyam MrgT_1,9.16a
   athāstyutpādikā śaktir MrgT_1,9.18a	aTa-asti-utpAdikA SaktiH MrgT_1,9.18a
   athāstvevaṃ ghaṭe nyāyaḥ MrgT_1,1.12a	aTa-astu-evam Gawe nyAyaH MrgT_1,1.12a
   athendriyaśarīrārthaiś MrgT_1,8.1a	aTa-indriya-SarIra-arTEH MrgT_1,8.1a
   athaikaviniyogitve MrgT_1,11.12a	aTa-eka-viniyogi-tve MrgT_1,11.12a
   athaivaṃ bruvate kecit MrgT_1,11.11a	aTa-evam bruvate kecid MrgT_1,11.11a
   athoktārthaprasiddhyarthaṃ MrgT_1,13.1a	aTa-ukta-arTa-prasidDi-arTam MrgT_1,13.1a
   athopalabhya dehādi MrgT_1,3.1a	aTa-upalaBya deha-Adi MrgT_1,3.1a
   adṛṣṭaṃ paśubhiḥ sadā MrgT_1,7.6d	adRzwam paSuBiH sadA MrgT_1,7.6d
   adṛṣṭaṃ sūkṣmabhāvataḥ MrgT_1,8.3d	adRzwam sUkzma-BAvataH MrgT_1,8.3d
   advaitahānirevaṃ syān MrgT_1,2.14a	advEta-hAniH-evam syAt MrgT_1,2.14a
   adhaḥ pūrṇāsamanvitam MrgT_3.25d	aDas pUrNa-asamanvitam MrgT_3.25d
   adhikārastadāśrayaḥ MrgT_1,13.190d	aDikAraH-tad-ASrayaH MrgT_1,13.190d
   adhikāro 'pi tacchakteḥ MrgT_1,7.16c	aDikAraH api tad-SakteH MrgT_1,7.16c
   adhītya śṛṇuyācchāstraṃ MrgT_3.67a	aDItya SRNuyAt-SAstram MrgT_3.67a
   adhyardhāni sahasrāṇi MrgT_1,13.87c	aDyarDAni sahasrANi MrgT_1,13.87c
   adhyātmāditrisādhanam MrgT_1,8.4b	aDyAtma-Adi-tri-sADanam MrgT_1,8.4b
   adhyāḥ sātipadā rucau MrgT_1,13.138b	aDyAH sa-atipadA rucO MrgT_1,13.138b
   anagnijvalane vṛkṣa- MrgT_4.25c	anagni-jvalane vRkza MrgT_4.25c
   anadhyāye svatantrokta- MrgT_3.52c	anaDyAye svatantra-ukta MrgT_3.52c
   anantastrikalo goptā MrgT_1,13.153a	anantaH-trikalaH goptA MrgT_1,13.153a
   an[al]odadhyalaṃkṛtām MrgT_1,13.37d	an[al]a-udaDi-alaMkRtAm MrgT_1,13.37d
   anāgāmi ca tajjñeyaṃ MrgT_1,3.4a	anAgAmi ca tat-jQeyam MrgT_1,3.4a
   anādi nibiḍaṃ mahat MrgT_1,7.8b	anAdi nibixam mahat MrgT_1,7.8b
   anujñātaścaredbhaikṣaṃ MrgT_3.72a	anujQAtaH-caret-BEkzam MrgT_3.72a
   anutpādādasarvagam MrgT_1,12.33d	anutpAdAt-asarva-gam MrgT_1,12.33d
   anenānumitiḥ śiṣṭa- MrgT_1,5.5c	anena-anumitiH Sizwa MrgT_1,5.5c
   antarbhāvaḥ kuruṣvabdhau MrgT_1,13.87a	antarBAvaH kuruzu-abDO MrgT_1,13.87a
   antaḥ śavaśrutau dāhe MrgT_3.58a	antar Sava-SrutO dAhe MrgT_3.58a
   anyathā kārakavrāta- MrgT_1,9.17a	anyaTA kAraka-vrAta MrgT_1,9.17a
   apakārakamāviśya MrgT_1,7.14c	apakArakam-AviSya MrgT_1,7.14c
   apavargamabhīpsanti MrgT_1,2.27c	apavargam-aBIpsanti MrgT_1,2.27c
   api yogyasya vastunaḥ MrgT_1,7.17b	api yogyasya vastunaH MrgT_1,7.17b
   apaiti svādhvasaṃhṛtau MrgT_1,4.8d	apEti sva-aDva-saMhRtO MrgT_1,4.8d
   ayamarkaguṇaṃ kālaṃ MrgT_4.34c	ayam-arka-guNam kAlam MrgT_4.34c
   ayorukmapuṭādūrdhvam MrgT_1,13.25a	ayorukma-puwAt-UrDvam MrgT_1,13.25a
   arvāksiddhe 'navasthā syān MrgT_1,2.4c	arvAk-sidDe anavasTA syAt MrgT_1,2.4c
   avakāśādivṛttimat MrgT_1,12.20b	avakASa-Adi-vRttimat MrgT_1,12.20b
   avidyāvṛtirugglāni- MrgT_1,7.7c	avidyA-vRti-ruj-glAni MrgT_1,7.7c
   avaiti viṣayaṃ param MrgT_1,10.10d	avEti vizayam param MrgT_1,10.10d
   avyāpi cetkutastatsyāt MrgT_1,9.5c	avyApi ced-kutas-tat-syAt MrgT_1,9.5c
   avyāpitvaṃ ca te jaguḥ MrgT_1,2.20b	avyApi-tvam ca te jaguH MrgT_1,2.20b
   aśaktirapravṛttatvāt MrgT_1,11.6a	aSaktiH-apravRtta-tvAt MrgT_1,11.6a
   aśaktiḥ kārakāpāye MrgT_1,11.3a	aSaktiH kAraka-apAye MrgT_1,11.3a
   aśītoṣṇo mahīvāyvoḥ MrgT_1,12.28a	aSIta-uzNaH mahI-ivAyvoH MrgT_1,12.28a
   aśnato lākucaṃ phalam MrgT_1,13.88b	aSnataH lAkucam Palam MrgT_1,13.88b
   aṣṭamīyaṃ vasundharā MrgT_1,13.25b	azwamI-iyam vasunDarA MrgT_1,13.25b
   aṣṭamyāṃ pakṣayordvayoḥ MrgT_3.53d	azwamyAm pakzayoH-dvayoH MrgT_3.53d
   aṣṭamyāṃ vā samāhitaḥ MrgT_3.98b	azwamyAm vA samAhitaH MrgT_3.98b
   aṣṭamyāṃ siddhadarśane MrgT_3.20b	azwamyAm sidDa-darSane MrgT_3.20b
   aṣṭādaśādhikaṃ cānyac MrgT_1,1.25a	azwAdaSa-aDikam ca-anyat MrgT_1,1.25a
   asajjaghanyaṃ sacchreṣṭham MrgT_1,2.18c	asat-jaGanyam sat-SrezWam MrgT_1,2.18c
   asitāṅgādi dakṣiṇam MrgT_3.35b	asita-aFga-Adi dakziNam MrgT_3.35b
   asti cet na smṛtistadā MrgT_1,6.6b	asti ced na smRtiH-tadA MrgT_1,6.6b
   astu karma niyāmakam MrgT_1,10.17d	astu karma niyAmakam MrgT_1,10.17d
   astu kārakavastunaḥ MrgT_1,9.15b	astu kAraka-vastunaH MrgT_1,9.15b
   astu śakrādivācakam MrgT_1,1.13b	astu Sakra-Adi-vAcakam MrgT_1,1.13b
   astraṃ māheśvaraṃ japan MrgT_3.101b	astram mAheSvaram japan MrgT_3.101b
   asmadādiśarīravat MrgT_1,1.11b	asmad-Adi-SarIra-vat MrgT_1,1.11b
   asyābhyāsāddivyasiddhyaṃśujālair MrgT_4.65a	asya-aByAsAt-divya-sidDi-aMSu-jAlEH MrgT_4.65a
   ahaṅkāreṣu tāmasaḥ MrgT_1,12.6d	ahaFkArezu tAmasaH MrgT_1,12.6d
   aharhemāṇḍajanmanaḥ MrgT_1,13.182b	ahar-hema-aNxa-janmanaH MrgT_1,13.182b
   ākalayya svacakṣuṣā MrgT_4.52d	Akalayya sva-cakzuzA MrgT_4.52d
   ākalayya svadṛkśaktyā MrgT_1,13.193a	Akalayya svadRS-SaktyA MrgT_1,13.193a
   āgataṃ jñānamuttamam MrgT_1,1.22b	Agatam jQAnam-uttamam MrgT_1,1.22b
   āgamādhyakṣavihatā MrgT_1,12.25c	Agama-aDyakza-vihatAH MrgT_1,12.25c
   āgnīdhro nāma nṛpatir MrgT_1,13.96c	AgnIDraH nAma nRpatiH MrgT_1,13.96c
   ācaretsa gururyataḥ MrgT_3.65b	Acaret-sa guruH-yatas MrgT_3.65b
   ācāro 'pi vidhīyate MrgT_3.22d	AcAraH api viDIyate MrgT_3.22d
   ājñāsiddhamasaṃśayam MrgT_3.38b	AjQA-sidDam-asaMSayam MrgT_3.38b
   ātiṣṭhedavikhinnadhīḥ MrgT_4.34b	AtizWet-aviKinna-DIH MrgT_4.34b
   ātmendriyārthanaikṛṣṭye MrgT_1,12.9a	Atma-indriya-arTa-nEkRzwye MrgT_1,12.9a
   ādatte na ca bhuñjāno MrgT_1,10.12c	Adatte na ca BuQjAnaH MrgT_1,10.12c
   ādadāno 'parijñānāt MrgT_3.122c	AdadAnaH aparijQAnAt MrgT_3.122c
   ādhāradehaviṣayābhyudayāya vakṣye MrgT_1,12.34d	ADAra-deha-vizaya-aByudayAya vakzye MrgT_1,12.34d
   ādhāre kāraṇe kārye MrgT_1,13.188a	ADAre kAraNe kArye MrgT_1,13.188a
   ānandamavyayam [..] MrgT_4.62d	Anandam-avyayam [..] MrgT_4.62d
   āpūrakaṃ pradhānāder MrgT_1,10.18c	ApUrakam praDAna-AdeH MrgT_1,10.18c
   āpyaṃ caṇḍāsidhārādi MrgT_3.36a	Apyam caNxa-asi-DArA-Adi MrgT_3.36a
   ābhāti mūlasūtraṃ tad MrgT_3.50a	ABAti mUlasUtram tat MrgT_3.50a
   ābhāsaṃ paratālākhyaṃ MrgT_1,13.27c	ABAsam para-tAla-AKyam MrgT_1,13.27c
   āyāmo 'sya prakhedanam MrgT_4.4b	AyAmaH asya praKedanam MrgT_4.4b
   āsthitasya prasiddhyati MrgT_3.105d	AsTitasya prasidDyati MrgT_3.105d
   iti kimpuruṣādīni MrgT_1,13.90c	iti kimpuruza-AdIni MrgT_1,13.90c
   iti kena pramīyate MrgT_1,2.17d	iti kena pramIyate MrgT_1,2.17d
   iti dhījātra lakṣaṇā MrgT_1,13.178d	iti DIjA-atra lakzaNAH MrgT_1,13.178d
   iti nyāyavido viduḥ MrgT_1,12.26b	iti nyAya-vidaH viduH MrgT_1,12.26b
   iti pañcasu śabdo 'yaṃ MrgT_1,12.27c	iti paQcasu SabdaH ayam MrgT_1,12.27c
   iti pravṛttaḥ karaṇaiḥ MrgT_1,10.13a	iti pravRttaH karaNEH MrgT_1,10.13a
   iti bāhye sthite sarvam MrgT_4.52c	iti bAhye sTite sarvam MrgT_4.52c
   iti buddhiprakāśo 'yaṃ MrgT_1,11.8a	iti budDi-prakASaH ayam MrgT_1,11.8a
   iti brahmāṇḍagolakaḥ MrgT_1,13.120b	iti brahmANxa-golakaH MrgT_1,13.120b
   iti brūhi surottama MrgT_4.45b	iti brUhi sura-uttamaH MrgT_4.45b
   iti māyādikālānta- MrgT_1,8.6a	iti mAyA-Adi-kAla-anta MrgT_1,8.6a
   iti meruradho 'syānte MrgT_1,13.63a	iti meruH-aDas asya-ante MrgT_1,13.63a
   iti yadaṇunirodhi dhvāntabījādyadṛṣṭaṃ MrgT_1,13.198a	iti yat-aNu-niroDi DvAnta-bIja-Adi-adRzwam MrgT_1,13.198a
   iti vastutrayasyāsya MrgT_1,2.8a	iti vastu-trayasya-asya MrgT_1,2.8a
   iti vādānuṣaṅgeṇa MrgT_1,1.17a	iti vAda-anuzaFgeNa MrgT_1,1.17a
   iti sarvartusukhadāś MrgT_1,13.55a	iti sarva-Rtu-suKa-dAH MrgT_1,13.55a
   iti sādāśivaṃ tattvaṃ MrgT_1,13.175c	iti sAdASivam tattvam MrgT_1,13.175c
   itthaṃ śaktiḥ kurvatī dehakṛtyaṃ MrgT_1,3.14a	itTam SaktiH kurvatI deha-kRtyam MrgT_1,3.14a
   ityanīśavacovāri- MrgT_1,1.10a	iti-anISa-vacaH-vAri MrgT_1,1.10a
   ityapi bruvate budhāḥ MrgT_1,2.18d	iti-api bruvate buDAH MrgT_1,2.18d
   ityapi sthitamevāyaṃ MrgT_1,12.26c	iti-api sTitam-eva-ayam MrgT_1,12.26c
   ityātivāhikamidaṃ vapurasya jantoś MrgT_1,12.34a	iti-AtivAhikam-idam vapuH-asya jantoH MrgT_1,12.34a
   ityādyajñānamūḍhāṇāṃ MrgT_1,2.27a	iti-Adya-jQAna-mUXANAm MrgT_1,2.27a
   ityukte 'pi paraṃ bhāvaṃ MrgT_1,1.7a	iti-ukte api param BAvam MrgT_1,1.7a
   ityetadubhayaṃ vipra MrgT_1,10.7a	iti-etat-uBayam vipra MrgT_1,10.7a
   ityevaṃ yaugapadyena MrgT_1,7.23a	iti-evam yOgapadyena MrgT_1,7.23a
   idaṃ yogyeṣu siddhaye MrgT_1,1.26b	idam yogyezu sidDaye MrgT_1,1.26b
   indradvīpaprabhṛtayo MrgT_1,13.94a	indradvIpa-praBRtayaH MrgT_1,13.94a
   indradvīpaḥ kaśeruśca MrgT_1,13.94c	indradvIpaH kaSeruH-ca MrgT_1,13.94c
   ilāvṛtaṃ nīlagirer MrgT_1,13.67c	ilAvRtam nIlagireH MrgT_1,13.67c
   iṣṭaliṅgasthaśaṃkaraḥ MrgT_3.99d	izwa-liFga-sTa-SaMkaraH MrgT_3.99d
   iṣṭān lokān rorucāno vihṛtya MrgT_4.65b	izwAn lokAn rorucAnaH vihRtya MrgT_4.65b
   iṣṭvā śivaṃ yajet sādhyaṃ MrgT_3.76c	izwvA Sivam yajet sADyam MrgT_3.76c
   iha sapta padārthāḥ syur MrgT_1,2.16a	iha sapta padArTAH syuH MrgT_1,2.16a
   īśatatpuruṣāghora- MrgT_1,3.9a	ISa-tatpuruza-aGora MrgT_1,3.9a
   īśaḥ prāguttarāṃ diśam MrgT_1,13.122d	ISaH prAc-uttarAm diSam MrgT_1,13.122d
   īśānatītya śāntāntaṃ MrgT_1,13.163c	ISAn-atItya SAnta-antam MrgT_1,13.163c
   īśānasya japellakṣaṃ MrgT_3.114a	ISAnasya japet-lakzam MrgT_3.114a
   īśāvidyādyapekṣitvāt MrgT_1,8.3a	ISa-avidyA-Adi-apekzi-tvAt MrgT_1,8.3a
   īṣadaprāptayogatvān MrgT_1,4.4c	Izat-aprApta-yoga-tvAt MrgT_1,4.4c
   īṣadardhanivṛtte tu MrgT_1,5.8a	Izat-arDa-nivRtte tu MrgT_1,5.8a
   īṣṭe yena jagatsarvaṃ MrgT_1,3.9c	Izwe yena jagat-sarvam MrgT_1,3.9c
   ugraḥ pracaṇḍadṛk ceśo MrgT_1,13.147a	ugraH pracaNxa-dRS ca-ISaH MrgT_1,13.147a
   ucchuṣmāḥ śambarāścaṇḍā MrgT_1,13.158c	ucCuzmAH SambarAH-caNxAH MrgT_1,13.158c
   ucyamānaṃ nibodha me MrgT_1,13.27b	ucyamAnam niboDa me MrgT_1,13.27b
   utpādayatu sarvasmāt MrgT_1,9.15c	utpAdayatu sarvasmAt MrgT_1,9.15c
   udīcīṃ somayakṣeśāv MrgT_1,13.122c	udIcIm somaya-kza-ISO MrgT_1,13.122c
   udgīrṇā na svabuddhitaḥ MrgT_3.43b	udgIrNA na sva-budDitaH MrgT_3.43b
   udvartanāṅgasaṃskāra- MrgT_3.69a	udvartana-aFga-saMskAra MrgT_3.69a
   unmīlya yogasaṃskāraṃ MrgT_4.61a	unmIlya yoga-saMskAram MrgT_4.61a
   upamanyurharaṃ dṛṣṭvā MrgT_1,1.15a	upamanyuH-haram dRzwvA MrgT_1,1.15a
   upādeyaṃ ca tatsthiteḥ MrgT_4.9b	upAdeyam ca tad-sTiteH MrgT_4.9b
   upāyādaravaiśiṣṭyān MrgT_1,5.7a	upAya-Adara-vESizwyAn MrgT_1,5.7a
   upāyāḥ saphalāstadvac MrgT_1,2.11c	upAyAH saPalAH-tadvat MrgT_1,2.11c
   umāskandagaṇādhipān MrgT_4.18b	umA-skanda-gaNa-aDipAn MrgT_4.18b
   ūrdhvaliṅgavirūpākṣa- MrgT_1,13.129a	UrDva-liFga-virUpAkza MrgT_1,13.129a
   ūrdhvaṃ kalāyā vidyādhaḥ MrgT_1,13.178a	UrDvam kalAyAH vidyA-aDas MrgT_1,13.178a
   ūrdhvādhoviṣayāloko MrgT_1,13.170c	UrDva-aDas-vizaya-AlokaH MrgT_1,13.170c
   ūrdhve brahmā hariradhaḥ MrgT_1,13.123a	UrDve brahmA hariH-aDas MrgT_1,13.123a
   ūho 'bhivīkṣaṇaṃ vastu- MrgT_4.8c	UhaH aBivIkzaNam vastu MrgT_4.8c
   ṛjugrīvāśirovakṣā MrgT_4.18c	Rju-grIvA-SiraH-vakzAH MrgT_4.18c
   ṛbhuḥ sanatkumāraśca MrgT_1,13.117a	RBuH sanatkumAraH-ca MrgT_1,13.117a
   ekadiksaṃdhilakṣitau MrgT_1,13.85b	eka-diS-saMDi-lakzitO MrgT_1,13.85b
   ekadeśe 'pi yo dharmaḥ MrgT_1,9.11a	eka-deSe api yaH DarmaH MrgT_1,9.11a
   ekanetraikarudrau ca MrgT_1,4.3c	eka-netra-eka-rudrO ca MrgT_1,4.3c
   ekapiṅgekṣaṇeśānā- MrgT_1,13.151c	eka-piFga-IkzaNa-ISAnA MrgT_1,13.151c
   ekamabhyupagamyatām MrgT_1,9.6d	ekam-aByupagamyatAm MrgT_1,9.6d
   ekaṃ vā brahmamadhyagam MrgT_3.121d	ekam vA brahma-maDya-gam MrgT_3.121d
   ekāṅgulaṃ dvihastāntaṃ MrgT_3.App.2a	eka-aFgulam dvi-hasta-antam MrgT_3.App.2a
   ekā daśasahasrā tu MrgT_1,13.44c	ekA daSa-sahasrA tu MrgT_1,13.44c
   ekārdhadaśasaptabhiḥ MrgT_4.15b	eka-arDa-daSa-saptaBiH MrgT_4.15b
   ekaikaśrutireteṣāṃ MrgT_1,10.21c	ekEka-SrutiH-etezAm MrgT_1,10.21c
   eko vāmiśrako guṇaḥ MrgT_1,10.22d	ekaH vA-amiSrakaH guNaH MrgT_1,10.22d
   etatsamastaguhyānāṃ MrgT_4.63c	etat-samasta-guhyAnAm MrgT_4.63c
   etadaṇvarthasādhanam MrgT_1,12.32d	etat-aNu-arTa-sADanam MrgT_1,12.32d
   etāvatī te baddhatva- MrgT_1,7.3c	etAvatI te badDa-tva MrgT_1,7.3c
   etāvatyeva ghoreyaṃ MrgT_1,13.155a	etAvatI-eva GorA-iyam MrgT_1,13.155a
   eva bījātprajāyate MrgT_1,9.7d	eva bIjAt-prajAyate MrgT_1,9.7d
   evamātiṣṭhataḥ samyag MrgT_4.61c	evam-AtizWataH samyak MrgT_4.61c
   evaṃ guṇādisargāṇāṃ MrgT_1,13.189a	evam guNa-Adi-sargANAm MrgT_1,13.189a
   evaṃ tattvāni bhāvāśca MrgT_1,13.193c	evam tattvAni BAvAH-ca MrgT_1,13.193c
   evaṃ mantreśamukhyeṣu MrgT_1,13.191a	evam mantreSa-muKyezu MrgT_1,13.191a
   evaṃ vyaktakriyāśaktir MrgT_1,10.8a	evam vyakta-kriyA-SaktiH MrgT_1,10.8a
   eṣāmapi niyantāro MrgT_1,13.123c	ezAm-api niyantAraH MrgT_1,13.123c
   eṣāṃ puṭānāṃ narakaiḥ MrgT_1,13.20c	ezAm puwAnAm narakEH MrgT_1,13.20c
   eṣu vyastasamasteṣu MrgT_4.10a	ezu vyasta-samastezu MrgT_4.10a
   ailāvṛtaṃ tayorāyuḥ MrgT_1,13.86c	ElAvRtam tayoH-AyuH MrgT_1,13.86c
   autathyānāṃ manoḥ kule MrgT_1,13.103b	OtaTyAnAm manoH kule MrgT_1,13.103b
   aumaṃ śraikaṇṭhamantataḥ MrgT_1,13.144d	Omam SrEkaNWam-antatas MrgT_1,13.144d
   kaṭāhaśceti bhūtalam MrgT_1,13.37b	kawAhaH-ca-iti BU-talam MrgT_1,13.37b
   kaṇṭhaprāvṛtiniṣṭhīva- MrgT_3.68a	kaNWa-prAvRti-nizWIva MrgT_3.68a
   kathamanyatra tadguṇaḥ MrgT_1,12.23d	kaTam-anyatra tad-guNaH MrgT_1,12.23d
   kathamanyādṛśo bhavet MrgT_1,2.21b	kaTam-anyAdRSaH Bavet MrgT_1,2.21b
   kathaṃ tasya vaco mithyā MrgT_1,1.15c	kaTam tasya vacaH miTyA MrgT_1,1.15c
   kathaṃ bhūtopakārārthaṃ MrgT_1,7.14a	kaTam BUta-upakAra-arTam MrgT_1,7.14a
   kathaṃ maheśvarādetad MrgT_1,1.22a	kaTam maheSvarAt-etat MrgT_1,1.22a
   kathaṃ syāccittasaṃsthitiḥ MrgT_4.56d	kaTam syAt-citta-saMsTitiH MrgT_4.56d
   kathyate granthipāśasya MrgT_1,9.1c	kaTyate granTi-pASasya MrgT_1,9.1c
   kathyate viplavo mā bhūt MrgT_1,11.1c	kaTyate viplavaH mA BUt MrgT_1,11.1c
   kathyante bhāratādayaḥ MrgT_1,13.97b	kaTyante BArata-AdayaH MrgT_1,13.97b
   kathyante leśato 'dhunā MrgT_1,7.1b	kaTyante leSataH aDunA MrgT_1,7.1b
   kathyamāno 'vadhāryatām MrgT_1,13.181d	kaTyamAnaH avaDAryatAm MrgT_1,13.181d
   kadambajambvāvaśvattha- MrgT_1,13.73c	kadamba-jambvO=-aSvatTa MrgT_1,13.73c
   kadācitkarṇamūle 'pi MrgT_1,12.24c	kadAcid-karNa-mUle api MrgT_1,12.24c
   kadācittridaśādhipaḥ MrgT_1,1.3b	kadAcid-tridaSa-aDipaH MrgT_1,1.3b
   kanakīkṛtya tāṃ mahīm MrgT_1,13.74d	kanakIkRtya tAm mahIm MrgT_1,13.74d
   kapardyabdeśapañcānta- MrgT_1,13.131a	kapardi-ap-da-ISa-paQca-anta MrgT_1,13.131a
   kapālamarbudaṃ sthaulyād MrgT_1,13.9a	kapAlam-arbudam sTOlyAt MrgT_1,13.9a
   kapālīśapramardanāḥ MrgT_1,13.125d	kapAlISa-pramardanAH MrgT_1,13.125d
   kamaṇḍalusahāyatā MrgT_3.18d	kamaNxalu-sahAya-tA MrgT_3.18d
   kamalairaṃśumaprabhaiḥ MrgT_1,13.79d	kamalEH-aMSuma-praBEH MrgT_1,13.79d
   karaṇatvavivakṣayā MrgT_1,11.11b	karaNa-tva-vivakzayA MrgT_1,11.11b
   karaṇasyaiti karmatām MrgT_1,11.14d	karaNasya-eti karma-tAm MrgT_1,11.14d
   karaṇaṃ ca na śaktyanyac MrgT_1,3.4c	karaNam ca na Sakti-anyat MrgT_1,3.4c
   karaṇaṃ paramātmanaḥ MrgT_1,10.9d	karaNam paramAtmanaH MrgT_1,10.9d
   karaṇenāhataujasā MrgT_1,4.1b	karaNena-Ahata-ojasA MrgT_1,4.1b
   karālavadanaḥ kruddho MrgT_1,13.24a	karAla-vadanaH krudDaH MrgT_1,13.24a
   karālo bhīmanirhrādaḥ MrgT_1,13.32a	karAlaH BIma-nirhrAdaH MrgT_1,13.32a
   karoti sarvadā kṛtyaṃ MrgT_1,4.1c	karoti sarvadA kRtyam MrgT_1,4.1c
   karotyaṣṭādaśaṃ śatam MrgT_1,4.9d	karoti-azwAdaSam Satam MrgT_1,4.9d
   karotyunmīlanaṃ yābhiḥ MrgT_1,13.165c	karoti-unmIlanam yABiH MrgT_1,13.165c
   karkandhako hiraṇyākṣo MrgT_1,13.30a	karkanDakaH hiraNyAkzaH MrgT_1,13.30a
   karṇakālañjarāvapi MrgT_1,13.142b	karNa-kAlaQjarO=-api MrgT_1,13.142b
   karṇarandhraviśiṣṭaṃ khaṃ MrgT_1,12.16c	karNa-ranDra-viSizwam Kam MrgT_1,12.16c
   karṇāddhemādrigarbhataḥ MrgT_1,13.109b	karNAt-hema-adri-garBataH MrgT_1,13.109b
   kartavyaḥ śivayoginaḥ MrgT_3.17d	kartavyaH Siva-yoginaH MrgT_3.17d
   kartānumīyate yena MrgT_1,9.3a	kartA-anumIyate yena MrgT_1,9.3a
   kartāramasya jānīmo MrgT_1,3.1c	kartAram-asya jAnImaH MrgT_1,3.1c
   kartṛtvaṃ tadabhinnatvāt MrgT_1,5.17c	kartR-tvam tat-aBinna-tvAt MrgT_1,5.17c
   kartṛśaktiraṇornityā MrgT_1,10.3a	kartR-Sakti-H-aNoH-nityAH MrgT_1,10.3a
   karmaṇaścokta eva saḥ MrgT_1,7.23d	karmaNaH-ca-uktaH eva saH MrgT_1,7.23d
   karmaṇaḥ kevalasyoktaṃ MrgT_1,11.17a	karmaNaH kevalasya-uktam MrgT_1,11.17a
   karmaṇo 'sti mṛṣā citaḥ MrgT_3.26b	karmaNaH asti mRzA citaH MrgT_3.26b
   karmatantratayā jaguḥ MrgT_1,10.15b	karma-tantra-tayA jaguH MrgT_1,10.15b
   karma dharmādikaṃ tacca MrgT_1,13.186a	karma Darma-Adikam tat-ca MrgT_1,13.186a
   karmabhūḥ kāraṇaṃ yataḥ MrgT_1,13.93b	karma-BUH kAraNam yatas MrgT_1,13.93b
   karmarūpādiśabdānāṃ MrgT_1,1.13c	karma-rUpa-Adi-SabdAnAm MrgT_1,1.13c
   karmavyaktidvayaṃ samam MrgT_1,5.6b	karma-vyakti-dvayam samam MrgT_1,5.6b
   karma vyañjakamapyetad MrgT_1,8.6c	karma vyaQjakam-api-etat MrgT_1,8.6c
   karma vyāpārajanyatvād MrgT_1,8.3c	karma vyApAra-janya-tvAt MrgT_1,8.3c
