   (Hbṭ 1)	(Hbj 1)
   arthagrahaṇaṃ tu parokṣārthapratipatteritya[numā]nasyāpi svalakṣaṇaviṣayaṃ	arTa grahaNam tu parokza arTa pratipatteH iti a[numA]nasya api sva lakzaNa vizayam
   prāmāṇyaṃ darśayitum | arthakriyāsamartho hyarthaḥ, svalakṣaṇaṃ	prAmANyam darSayitum | arTa kriyA samarTaH hi arTaH, sva lakzaNam
   caivamātmakam | ata eva  "vastvadhiṣṭhānatvāt pramāṇavyavasthāyāḥ"  [iti	ca evam Atmakam | atas eva "vastu aDizWAna tvAt pramANa vyavasTAyAH" [iti
   va]kṣyati | anyathānumānāt tatra pravṛttirna syādarthakriyārthinaḥ |	va]kzyati | anyaTA anumAnAt tatra pravRttiH na syAt arTa kriyA arTinaH |
   (Hbṭ 5)	(Hbj 5)
   sāmānyasyāvastutve 'pi jñānamātralakṣaṇatvāt tadarthakriyāyāḥ tasyāśca	sAmAnyasya avastu tve api jQAna mAtra lakzaNa tvAt tad arTa kriyAyAH tasyAH ca
   tadu[tpādya]tvena siddhatvāt | na hi jātirdāhapākādāvupayujyate,	tat u[tpAdya] tvena sidDa tvAt | na hi jAtiH dAha pAka AdO= upayujyate,
   svalakṣaṇasyaiva tatropayogāt | tatsambandhāt tatra pravṛttiriti cet; na,	sva lakzaNasya eva tatra upayogAt | tad sambanDAt tatra pravRttiH iti cet; na,
   nityasyānupakāra[katvena] kenacitsambandhābhāvāt | satyapi ca sambandhe	nityasya anupakAra[ka tvena] kenacid sambanDa aBAvAt | sati api ca sambanDe
   kathamanyapratipattāvanyatra pravṛttiḥ, atiprasaṅgāt | samavāyasya	kaTam anya pratipattO= anyatra pravRttiH, atiprasaFgAt | samavAyasya
   sūkṣmatvenānavasitavivekasyāvasāyād bhrāntyā tatra pravṛttiriti cet; evaṃ	sUkzma tvena anavasita vivekasya avasAyAt BrAntyA tatra pravRttiH iti cet; evam
   tarhi bhrāntimātramevāstu, kimantargaḍunā sāmānyena? |	tarhi BrAnti mAtram eva astu, kim antar gaxunA sAmAnyena? |
   nirbbījabhrāntyayogāditi cet; tā eva vyaktayastadekakā[ryakāriṇyo	nirbbIja BrAnti ayogAt iti cet; tAH eva vyakta yaH tad eka kA[rya kAriNyaH 
   bhrānterbījam] | varṇākṛtisamānākāraṃ hi sāmānyajñānam | na ca sāmānyaṃ	BrAnteH bIjam] | varNa AkRti samAna AkAram hi sAmAnya jQAnam | na ca sAmAnyam
   tadrūpam, tat kathaṃ tad bhrānterbbījam | sādṛśyanibandhanā hi	tad rUpam, tat kaTam tat BrAnteH bbIjam | sAdRSya nibanDanA hi
   bhrāntiriṣyate paraiḥ | vyaktaya eva cā[samānajā]tīyavyāvṛttāḥ	BrAntiH izyate parEH | vyaktayaH eva ca a[samAna jA]tIya vyAvRttAH
   sāmānyākārajñānasvarūpāstatastā eva bhrāntibījam, atadrūpavyāvṛttestāsu	sAmAnya AkAra jQAna svarUpAH tatas tAH eva BrAnti bIjam, atad rUpa vyAvRtteH tAsu
   bhāvāt | vastubhūtasya tu sāmānyasya sambandha[āsaṃbhave]na tāsu	BAvAt | vastu BUtasya tu sAmAnyasya sambanDa[A saMBave]na tAsu
   bhāvāyogācca |	BAva ayogAt ca |
   yaistu vyaktyātmakameva sāmānyaṃ kalpitaṃ taiḥ svalakṣaṇaviṣayamanumānasya	yEH tu vyakti Atmakam eva sAmAnyam kalpitam tEH sva lakzaNa vizayam anumAnasya
   prāmāṇyamabhyupagatameva bhavati | svalakṣaṇātmakaṃ tu sāmānyaṃ	prAmANyam aByupagatam eva Bavati | sva lakzaNa Atmakam tu sAmAnyam
   kathamanumāne pratibhāsate iti cintyam | na ca vyaktirūpamapāsyāparaṃ	kaTam anumAne pratiBAsate iti cintyam | na ca vyakti rUpam apAsya aparam
   sāmānyasya rūpamiṣyate, vaiśeṣikadarśanopagamaprasaṅgāt |	sAmAnyasya rUpam izyate, vESezika darSana upagama prasaFgAt |
   (Hbṭ 6)	(Hbj 6)
   [1. hetoḥ sāmānyanirūpaṇam |]	[1. hetoH sAmAnya nirUpaNam |]
   [1. hetostritvena vyāptiḥ kathaṃ phaliteti carcā |]	[1. hetoH tri tvena vyAptiH kaTam PalitA iti carcA |]
   .............hi kathitam | tatra kāryasvabhāvayorvidhisādhanatvānna	.............hi kaTitam | tatra kArya svaBAvayoH viDi sADana tvAt na
   pratiṣedhe sādhye vyāpāraḥ | anupalabdhito 'pi na hetvantarābhāvaniścayo	pratizeDe sADye vyApAraH | anupalabDitaH api na hetu antara aBAva niScayaH 
   yataḥ sā caturddhāvasthitā svabhāva[kāraṇa]vyāpakānupalabdhayo viruddha	yatas sA caturdDa avasTitA svaBAva[ kAraNa] vyApaka anupalabDayaH virudDa
   vidhiśceti | tulyayogyatārūpasyaikajñānasaṃsargiṇaḥ	viDiH ca iti | tulya yogya tArUpasya eka jQAna saMsargiNaH
   svabhāvānupalabdhiranyopalabdhirūpā abhāvavyavahāraheturiṣyate | na [ca	svaBAva anupalabDiH anyA upalabDi rUpA aBAva vyavahAra hetuH izyate | na [ca
   hetvan]taramatyantābhāvatayopagatamanukrāntarūpam, yadi hi	hetu an]taram atyanta aBAva tayA upagatam anukrAnta rUpam, yadi hi
   syāddeśādiniṣedha evāsya syāt nātyantābhāvaḥ | kāraṇavyāpakānupalabdhī tu	syAt deSa Adi nizeDaH eva asya syAt na atyanta aBAvaH | kAraNa vyApaka anupalabDI tu
   siddhe kārya[kāraṇa]vyāpyavyāpakabhāve bhavataḥ | na ca	sidDe kArya[ kAraNa] vyApya vyApaka BAve BavataH | na ca
   hetvantaretyantāsattayāṅgīkṛte prakāro 'yaṃ sambhavati | tat kathaṃ te	hetu antarA iti antA sattayA aFgIkRte prakAraH ayam samBavati | tat kaTam te
   tadabhāvaṃ gamayiṣyataḥ | virodho 'pyavikala[kāraṇasya] bhavato 'nyabhāve	tad aBAvam gamayizyataH | viroDaH api avikala[ kAraNasya] BavataH anya BAve
   'bhāvādavagamyata iti viruddhopalabdhirapyasambhavinī | sambhave vā	aBAvAt avagamyate iti virudDa upalabDiH api asamBavinI | samBave vA
   kāraṇānupalabdhyādīnāṃ kathamatyantaniṣedhaḥ? ityāśaṅkayāha 	kAraNa anupalabDi AdInAm kaTam atyanta nizeDaH? iti ASaFkayA Aha 
   "hetvābhāsāstato 'pare" iti | "tataḥ" trividhāddhetoḥ "apare" anye	"hetvABAsAH tatas apare" iti | "tataH" triviDAt hetoH "apare" anye
   "hetvābhāsāḥ" yatastatastridhaiva sa iti |	"hetu ABAsAH" yatas tatas triDA eva saH iti |
   evaṃ manyate  iha yad yatra niyamyate [taddhi]paryayeṇa tadvipakṣasya	evam manyate iha yat yatra niyamyate [tad hi] paryayeNa tad vipakzasya
   vyāptau sa niyamaḥ siddhyati | yathā yat sat tat kṣaṇikameveti sattvasya	vyAptO sa niyamaH sidDyati | yaTA yat sat tat kzaNikam eva iti sattvasya
   kṣaṇikeṣu niyama ucyamānaḥ sattvaviparyayeṇā[sa]ttvena	kzaNikezu niyamaH ucyamAnaH sattva viparyayeNa a[sa]ttvena
   kṣaṇikavipakṣasyākṣaṇikasya vyāptau siddhyati | evamihāpi tritve	kzaNika vipakzasya akzaNikasya vyAptO sidDyati | evam iha api tritve
   heturniyamyamāno hetuviparyayeṇa hetvābhāsatvena	hetuH niyamyamAnaH hetu viparyayeNa hetvABAsa tvena
   trisaṃkhyābā[hyasyārtha]sya vyāptau trisaṃkhyāyāmeva niyato bhavati |	tri saMKyA bA[hi asya arTa]sya vyAptO trisaMKyAyAm eva niyataH Bavati |
   tatastrividhahetuvyatiriktānāmarthānāṃ hetvābhāsatāṃ darśayati | tena	tatas triviDa hetu vyatiriktAnAm arTAnAm hetvABAsa tAm darSayati | tena
   svabhāvaviruddhopalabdhyā [kārya sva]bhāvānupalambhavyatiriktānāmarthānāṃ	svaBAva virudDa upalabDyA [kArya  sva]BAva anupalamBa vyatiriktAnAm arTAnAm
   hetutvābhāvaniścaya iti | hetutadābhāsayośca	hetu tva aBAva niScayaH iti | hetu tad ABAsayoH ca
   parasparaparihārasthitalakṣaṇatayaiva virodho [hetula]kṣaṇapratītikāla	paraspara parihAra sTita lakzaNa tayA eva viroDaH [hetu la]kzaNa pratIti kAla
   (Hbṭ 7) eva pratipannaḥ | tadātmaniyatapratibhāsajñānādeva	(Hbj 7) eva pratipannaH | tad Atma niyata pratiBAsa jQAnAt eva
   tadviparītasyānyatayā tadābhāsatāpratīteḥ,	tad viparItasya anyatayA tad ABAsatA pratIteH,
   parasparamitaretararūpābhāva[niśca]yāt | tatra	parasparam itaretara rUpa aBAva[ niSca]yAt | tatra
   trividhahetuvyatirikteṣvartheṣu hetvābhāsatvamupalabhyamānaṃ svaviruddhaṃ	triviDa hetu vyatiriktezu arTezu hetvABAsa tvam upalaByamAnam sva virudDam
   hetutvaṃ nirākaroti | te ca hetutrayabāhyā arthā nātyantāsatta[yopa]gatā	hetu tvam nirAkaroti | te ca hetu traya bAhyAH arTA na atyanta asatta[yA upa] gatA
   nāpi hetutvaṃ teṣu niṣidhyamānaṃ, kevalaṃ vyāmohāt hetutvamanyatra	na api hetu tvam tezu niziDyamAnan, kevalam vyAmohAt hetu tvam anyatra
   prasiddhameva tatrāropitamāśaṅkitaṃ vā tadviruddhopalambhādapasāryate |	prasidDam eva tatra Aropitam ASaFkitam vA tad virudDa upalamBAt apasAryate |
   tat kimucyate  "[atyantāsaṃbha]vinaḥ kathaṃ virodhaḥ" iti | na ca	tat kim ucyate "[atyanta asaMBa]vinaH kaTam viroDaH" iti | na ca
   sahānavasthānalakṣaṇa eva virodho yena tannyāyaḥ sarvatropavarṇyeta | nāpi	saha anavasTAna lakzaNaH eva viroDaH yena tat nyAyaH sarvatra upavarNyeta | na api
   yad yatra pratiṣidhyate tasya tatraiva viro[dhaḥ prati]pattavyo yena	yat yatra pratiziDyate tasya tatra eva viro[DaH prati]pattavyaH yena
   "kathamasataḥ kenacid virodhagatiḥ?" iti codyeta | na hi nātra śītasparśo	"kaTam asataH kenacid viroDa gatiH?" iti codyeta | na hi na atra SIta sparSaH 
   'gneriti sādhyadharmiṇyeva śītasparśasyāgninā virodha[saṃba]ndho (?) yathā	agneH iti sADya DarmiNI eva SIta sparSasya agninA viroDa[ saMba]nDaH (?) yaTA
   tu asyānyatra pratītavirodhasyāgninā sādhyadharmiṇi niṣedhaḥ tathā	tu asya anyatra pratIta viroDasya agninA sADya DarmiNi nizeDaH taTA
   hetvābhāsatvopalambhād hetutrayabāhyeṣvartheṣu hetutvanirāsaḥ |	hetvABAsa tva upalamBAt hetu traya bAhyezu arTezu hetu tva nirAsaH |
   [atyantāsa]to 'pi ca lākṣaṇiko virodhaḥ pratīyate yathā	[ati antAsa]taH api ca lAkzaNikaH viroDaH pratIyate yaTA
   kṣaṇikatvenākṣaṇikatvasya tasya vastuni kvacidapyasambhavāt, bhāvena vā	kzaNika tvena akzaNika tvasya tasya vastuni kvacid api asamBavAt, BAvena vA
   yadvadabhāvasya sarva[śaktivirahala]lakṣaṇasyetyalaṃ	yadvat aBAvasya sarva[ Sakti viraha la] lakzaNasya iti alam
   durmativiṣpanditeṣvatyādareṇeti sthitametat  tritve hetutvaṃ niyamyamānaṃ	durmati vizpanditezu atyAdareNa iti sTitam etat tri tve hetu tvam niyamyamAnam
   [tadviparyayasyā] 'pi ca vyāptau satyāṃ tatra niyataṃ	[tad viparyayasyA] api ca vyAptO satyAm tatra niyatam
   bhavatītyabhiprāyavatā viparyayavyāptiṃ pradarśayitumidamuktam 	Bavati iti aBiprAyavatA viparyaya vyAptim pradarSayitum idam uktam 
   "hetvābhāsa(sā)stato 'pare" iti |	"hetu ABAsa( sA)H tatas apare" iti |
   [2. trividhabāhyārthānāṃ hetvābhāsatvena vyāpteścarcā |]	[2. triviDa bAhya arTAnAm hetvABAsa tvena vyApteH carcAH |]
   tatraitatsyāt  kṣaṇikavipakṣa[sya sattva]viparyayeṇa	tatra etat syAt kzaNika vipakza[sya sattva] viparyayeNa
   vyāptirbādhakapramāṇavaśādavasitā iha tu trisaṅkhyābāhyānāmarthānāṃ	vyAptiH bADaka pramANa vaSAt avasitAH iha tu tri saFKyA bAhyAnAm arTAnAm
