   daśarūpakam /	daSa-rUpakam /
   adhikāraḥ phalasvāmyamadhikāro ca tatprabhuḥ /	aDikAraH Pala-svAmyam-aDikAraH ca tat-praBuH /
   tanniravartyamabhivyāpi vṛttaṃ syādādhikārikam // DhDaś_1.12 //	tat-niravartyam-aBivyApi vRttam syAt-ADikArikam // DhDaH-_1.12 //
   prāsaṅgikaṃ parārthasya svārtho yasya prasaṅgataḥ /	prAsaFgikam para-arTasya sva-arTaH yasya prasaFgataH /
   sānubandhaṃ patākākhyaṃ prakarī ca pradeśabhāk // DhDaś_1.13 //	sa-anubanDam patAkA-AKyam prakarI ca pradeSa-BAj // DhDas-_1.13 //
   prāsaṅgikaṃ parārthasya svārtho yasya prasaṅgataḥ /	prAsaFgikam para-arTasya sva-arTaH yasya prasaFgataH /
   sānubandhaṃ tulyasaṃvidhānaviśeṣaṇam // DhDaś_1.14 //	sa-anubanDam tulya-saMviDAna-viSezaNam // DhDaH-_1.14 //
   prakhyātotpādyamiśratvabhedāt tredhāpi tat tridhā /	praKyAta-utpAdya-miSra-tva-BedAt treDA-api tat triDA /
   prakhyātamitihāsāderutpādyaṃ kavikalpitam /	praKyAtam-itihAsa-AdeH-utpAdyam kavi-kalpitam /
   miśraṃ ca saṅkarāt tābhyāṃ divyanartyādibhedataḥ // DhDaś_1.15 //	miSram ca saFkarAt tAByAm divya-narti-Adi-BedataH // DhDaH-_1.15 //
   kāryaṃ trivargastat śuddhamekānekānubandhi ca /	kAryam trivargaH-tat SudDam-ekAn-eka-anubanDi ca /
   svalpoddiṣṭastu taddheturbījaṃ vistāryanekadhā /	su-alpa-uddizwaH-tu tad-hetuH-bIjam vistAri-anekaDA /
   avāntarārthavicchede binduracchedakāraṇam // DhDaś_1.16 //	avAntara-arTa-vicCede binduH-acCedakAraNam // DhDaH-_1.16 //
   bījabindupatākākhyaprakarokāryalakṣaṇāḥ /	bIja-bindu-patAkA-AKya-prakara-ukArya-lakzaNAH /
   arthaprakṛtayaḥ pañca tā etāḥ parikīrtitāḥ // DhDaś_1.17 //	arTa-prakRtayaH paQca tAH etAH parikIrtitAH // DhDas-_1.17 //
   avasthāḥ pañca kāryasya prārabdhasya phalārthibhiḥ /	avasTAH paQca kAryasya prArabDasya Pala-arTiBiH /
   ārambhayatnaprāptyāśāniyatāptiphalāgamāḥ // DhDaś_1.18 //	AramBa-yatna-prApti-ASAniyata-Apti-Pala-AgamAH // DhDas-_1.18 //
   autsukyamātramārambhaḥ phalalābhāya bhūyase /	Otsukya-mAtram-AramBaH Pala-lABAya BUyase /
   prayatnastu tadaprāptau vyāpāro'titvarānvitaḥ // DhDaś_1.19 //	prayatnaH-tu tad-aprAptO vyApAraH-ati-tvara-anvitaH // DhDas-_1.19 //
   upāyāpāyaśaṅkābhyāṃ prāptyāśā prāptisambhavaḥ /	upAya-apAya-SaFkAByAm prApti-ASA prApti-samBavaH /
   apāyābhāvataḥ prāptirniyatāptiḥ suniścitā /	apAya-aBAvataH prAptiH-niyata-AptiH su-niScitAH /
   samagraphalasampattiḥ phalayogo yathoditaḥ // DhDaś_1.20 //	samagra-Pala-sampattiH Pala-yogaH yaTA-uditaH // DhDas-_1.20 //
   arthaprakṛtayaḥ pañca pañcāvasthāsamanvitāḥ /	arTa-prakRtayaH paQca paQca-avasTA-samanvitAH /
   yathāsaṅkhyena jāyante mukhādyāḥ pañca sandhayaḥ // DhDaś_1.21 //	yaTA-saFKyena jAyante muKa-AdyAH paQca sanDayaH // DhDas-_1.21 //
   antaraikārthasambandhaḥ sandhirekānvaye sati /	antarA-eka-arTa-sambanDaH sanDiH-eka-anvaye sati /
   mukhapratimukhe garbhaḥ sāvamarśopasaṃhṛtiḥ // DhDaś_1.22 //	muKa-pratimuKe garBaH sAvamarSa-upasaMhRtiH // DhDas-_1.22 //
   mukhaṃ bījasamutpattirnānārtharasasambhavā /	muKam bIja-samutpattiH-nAnA-arTa-rasa-samBavA /
   aṅgāni dvādaśaitasya bījārambhasamanvayāt // DhDaś_1.23 //	aFgAni dvAdaSA-etasya bIja-AramBa-samanvayAt // DhDaH-_1.23 //
   upakṣepaḥ parikaraḥ parinyāso vilobhanam /	upakzepaH parikaraH parinyAsaH viloBanam /
   yuktiḥ prāptiḥ samādhānaṃ vidhānaṃ paribhāvanā /	yuktiH prAptiH samADAnam viDAnam pariBAvanA /
   udbhedabhedakaraṇānyanvarthānyatha lakṣaṇam // DhDaś_1.24 //	udBeda-Beda-karaNAni-anvarTAni-aTa lakzaNam // DhDaH-_1.24 //
   bījanyāsas upakṣepaḥ tadbāhulyaṃ parikriyā /	bIja-nyAsaH upakzepaH tat-bAhulyam parikriyA /
   tannniṣpattiḥ parinyāso guṇākhyānād vilobhanam // DhDaś_1.25 //	tat-t-nizpattiH parinyAsaH guNa-AKyAnAt viloBanam // DhDaH-_1.25 //
   sampradhāraṇamarthānāṃ yuktiḥ prāptiḥ sukhāgamaḥ /	sampraDAraNam-arTAnAm yuktiH prAptiH suKa-AgamaH /
   bījāgamaḥ samādhānaṃ vidhānaṃ sukhaduḥkhakṛt // DhDaś_1.26 //	bIja-AgamaH samADAnam viDAnam suKa-duHKa-kRt // DhDaH-_1.26 //
   paribhāvodbhutāveśa udbhedo gūḍhabhedanam /	pariBAva-udButa-AveSaH udBedaH gUXa-Bedanam /
   karaṇaṃ prakṛtārambho bhedaḥ protsāhanā matā // DhDaś_1.27 //	karaNam prakRta-AramBaH BedaH protsAhanAH matAH // DhDas-_1.27 //
   lakṣyālakṣya ivodbhedastasya pratimukhaṃ bhavet /	lakzya-AlakzyaH iva-udBedaH-tasya pratimuKam Bavet /
   binduprayatnānugamādaṅgānyasya trayodaśa // DhDaś_1.28 //	bindu-prayatna-anugamAt-aFgAni-asya trayodaSa // DhDaH-_1.28 //
   vilāsaḥ parisarpaśca vidhūtaṃ śamanarmaṇo /	vilAsaH parisarpaH-ca viDUtam Sama-narmaNaH /
   narmadyutiḥ pragayaṇaṃ nirodhaḥ paryupāsanam // DhDaś_1.29 //	narma-dyutiH pragayaNam niroDaH paryupAsanam // DhDaH-_1.29 //
   vajraṃ puṣpamupanyāpto varṇa saṃhāra ityapi /	vajram puzpam-upanyAptaH varNa saMhAraH iti-api /
   ratyarthehā vilāsaḥ syād dṛṣṭanaṣṭānusarpaṇam /	rati-arTa-IhAH vilAsaH syAt dRzwa-nazwa-anusarpaNam /
   parisarpā vidhūtaṃ syādaratistacchamaḥ śamaḥ // DhDaś_1.30 //	parisarpA viDUtam syAt-aratiH-tad-SamaH SamaH // DhDas-_1.30 //
   parihāsavatto narma dhṛtistajjā dyutirmatā /	parihAsa-vattaH narma DRtiH-tad-jA dyutiH-matA /
   uttarā vāk pragayaṇaṃ hitarodho nirodhanam // DhDaś_1.31 //	uttarA vAc pragayaNam hita-roDaH niroDanam // DhDaH-_1.31 //
   paryupāstiranunayaḥ puṣpaṃ vākyaṃ viśeṣavat /	paryupAstiH-anunayaH puzpam vAkyam viSeza-vat /
   upanyāsastu sopāyaṃ vajraṃ pratyakṣaniṣṭhuram /	upanyAsaH-tu sa-upAyam vajram pratyakza-nizWuram /
   cāturvarṇopagamanaṃ varṇasaṃhāra iṣyate // DhDaś_1.32 //	cAturvarNa-upagamanam varNa-saMhAraH izyate // DhDaH-_1.32 //
   garbhastu dṛṣṭanaṣṭasya bījasyānveṣaṇaṃ muhuḥ /	garBaH-tu dRzwa-nazwasya bIjasya-anvezaNam muhur /
   dvādaśāṅgaḥ patākā syān na vā syāt prāptisambhavaḥ // DhDaś_1.33 //	dvAdaSa-aFgaH patAkA syAt na vA syAt prApti-samBavaH // DhDas-_1.33 //
   abhūtāharaṇaṃ mārgā rūpodāharaṇe kramaḥ /	aBUta-AharaNam mArgAH rUpa-udAharaNe kramaH /
   saṅgahaścānumānaṃ ca toṭakādhivale tathā // DhDaś_1.34 //	saFgahaH-ca-anumAnam ca towakA-Divale taTA // DhDas-_1.34 //
   udvegasambhramākṣepā lakṣaṇaṃ ca praṇīyate /	udvega-samBrama-AkzepAH lakzaNam ca praNIyate /
   abhūtāharaṇaṃ chadma mārgastattvārthakīrtanam // DhDaś_1.35 //	aBUta-AharaNam Cadma mArgaH-tattva-arTa-kIrtanam // DhDaH-_1.35 //
   rūpaṃ vitarkavad vākyaṃ sotkarṣaṃ syādudāhṛtiḥ /	rUpam vitarka-vat vAkyam sa-utkarzam syAt-udAhRtiH /
   kramaḥ sañcintyamānāptir bhāvajñānamathāpare // DhDaś_1.36 //	kramaH saQcintyamAna-AptiH BAva-jQAnam-aTa-apare // DhDas-_1.36 //
   saṅgrahaḥ sāmadānoktir abhyūho liṅgato'numā /	saFgrahaH sAma-dAna-uktiH aByUhaH liFgataH-anumA /
   adhivalamabhisandhiḥ saṃrabdhaṃ toṭakaṃ vacaḥ // DhDaś_1.37 //	aDivalam-aBisanDiH saMrabDam towakam vacaH // DhDas-_1.37 //
   udvego'richa(?)tā bhītiḥ śaṅkātrāsau ca sambhramaḥ /	udvegaH-ariCa(?)tA BItiH SaFkA-trAsO ca samBramaH /
   garbhabījasamudbhedādākṣepaḥ parikīrtitaḥ // DhDaś_1.38 //	garBa-bIja-samudBedAt-AkzepaH parikIrtitaH // DhDas-_1.38 //
   krodhenāvamṛśed yatra vyasanād yā vilobhanāt /	kroDena-avamRSet yatra vyasanAt yA viloBanAt /
   garbhanirbhinnabījārthaḥ so'vamarśo'ṅgasaṅgahaḥ // DhDaś_1.39 //	garBa-nirBinna-bIja-arTaH saH-avamarSaH-aFga-saFga-haH // DhDas-_1.39 //
   tatrāpavādasampheṭau vidravadravaśaktayaḥ /	tatra-apavAda-samPewO vidrava-drava-SaktayaH /
   dyutiḥ prasaṅgaśchalanaṃ vyavasāyo virodhanam /	dyutiH prasaFgaH-Calanam vyavasAyaH viroDanam /
   prayocanā vicalanamādānaṃ ca taryodaśa // DhDaś_1.40 //	prayocanA vicalanam-AdAnam ca taryodaSa // DhDaH-_1.40 //
   doṣaprakhyāpavādaḥ syāt sampheṭo roṣabhāṣaṇam /	doza-praKyA-apavAdaH syAt samPewaH roza-BAzaNam /
   vidravo vadhabandhādir dravo gurutiraskṛtiḥ // DhDaś_1.41 //	vidravaH vaDa-banDa-AdiH dravaH guru-tiraskRtiH // DhDas-_1.41 //
   virodhaśamanaṃ śaktistarjanodvejane dyutiḥ /	viroDa-Samanam SaktiH-tarjana-udvejane dyutiH /
   gurukīrtanaṃ prasaṅgaśchalanaṃ cāvamānanam // DhDaś_1.42 //	guru-kIrtanam prasaFgaH-Calanam ca-avamAnanam // DhDaH-_1.42 //
   vyavasāyaḥ khaśaktyuktiḥ saṃrabdhānāṃ virodhanam /	vyavasAyaH Ka-Sakti-uktiH saMrabDAnAm viroDanam /
   siddhāmantraṇato bhāvidarśikā syāt prayocanā /	sidDAmantraNataH BAvidarSikA syAt prayocanA /
   vikatthanā vicalanam ādānaṃ kāryasaṅgrahaḥ // DhDaś_1.43 //	vikatTanA vicalanam AdAnam kArya-saFgrahaH // DhDas-_1.43 //
   bījavanto mukhādyarthā viprakīrṇā yathāyatham /	bIjavantaH muKa-Adi-arTAH viprakIrNA yaTAyaTam /
   aikārthyamupanīyante yatra nirvahaṇaṃ hi tat // DhDaś_1.44 //	EkArTyam-upanIyante yatra nirvahaNam hi tat // DhDaH-_1.44 //
   sandhirvibodho grathanaṃ nirṇayaḥ paribhāṣaṇam /	sanDiH-viboDaH graTanam nirNayaH pariBAzaNam /
   prasādānandasamayāḥ kṛtibhāṣopagūhanāḥ /	prasAda-Ananda-samayAH kRti-BAzA-upagUhanAH /
   pūrvabhāvopasaṃhārau praśastiśca caturdaśa // DhDaś_1.45 //	pUrva-BAva-upasaMhArO praSastiH-ca caturdaSa // DhDaH-_1.45 //
   sandhirbījopagamanaṃ vibodhaḥ kāryamārgaṇam /	sanDiH-bIja-upagamanam viboDaH kArya-mArgaNam /
   grathanaṃ tadupakṣepo 'nubhūtākhyā tu nirṇayaḥ // DhDaś_1.46 //	graTanam tat-upakzepaH anuBUta-AKyA tu nirNayaH // DhDas-_1.46 //
   paribhāṣā mitho jalpaḥ prasādaḥ paryupāsanam /	pariBAzA miTas jalpaH prasAdaH paryupAsanam /
   ānando vāñchitāvāptiḥ samayo duḥkhanirgamaḥ // DhDaś_1.47 //	AnandaH vAQCita-avAptiH samayaH duHKa-nirgamaH // DhDas-_1.47 //
   kṛtirlabdhārthaśamanaṃ mānādyāptiśca bhāṣaṇam /	kRtiH-labDa-arTa-Samanam mAna-Adya-AptiH-ca BAzaNam /
   kāryadṛṣṭyadbhutaprāpto pūrvabhāvopagūhane /	kArya-dRzwi-adButa-prAptaH pUrva-BAva-upagUhane /
   varāptiḥ kāvyasaṃhāraḥ praśastiḥ śubhaśaṃsanam // DhDaś_1.48 //	vara-AptiH kAvya-saMhAraH praSastiH SuBa-SaMsanam // DhDaH-_1.48 //
   iṣṭasyārthasya racanā gopyaguptiḥ prakāśanam /	izwasya-arTasya racanA gopya-guptiH prakASanam /
   rāgaḥ prayogasyāścaryaṃ vṛttāntasyānupakṣayaḥ // DhDaś_1.49 //	rAgaH prayogasya-AScaryam vRttAntasya-anupakzayaH // DhDas-_1.49 //
   dvedhā vibhāgaḥ kartavyaḥ sarvasyāpoha vastunaḥ /	dveDA viBAgaH kartavyaH sarvasya-apoha vastunaH /
   sūcyameva bhavet kiñcid dṛśyaśravyamathāparam // DhDaś_1.50 //	sUcyam-eva Bavet kiQcid dRSya-Sravyam-aTa-aparam // DhDaH-_1.50 //
   nīraso'nucitastatra saṃsūcyo vastuvistaraḥ /	nIrasaH-anucitaH-tatra saMsUcyaH vastu-vistaraH /
   dṛśyastu madhurodāttarasabhāvanirantaraḥ // DhDaś_1.51 //	dRSyaH-tu maDura-udAtta-rasa-BAva-nirantaraH // DhDas-_1.51 //
   arthopakṣepakaiḥ sūcyaṃ pañcabhiḥ pratipādayet /	arTa-upakzepakEH sUcyam paQcaBiH pratipAdayet /
   viṣkambhacūlikāṅgāsyāṅkāvatārapraveśakaiḥ // DhDaś_1.52 //	vizkamBa-cUlikA-aFga-Asya-aFka-avatAra-praveSakEH // DhDas-_1.52 //
   vṛttavartiṣyamāṇānāṃ kathāṃśānāṃ nidarśakaḥ /	vRttavartizyamANAnAm kaTA-aMSAnAm nidarSakaH /
   saṅkṣepārthastu viṣkambho madhyapātraprayojitaḥ /	saFkzepa-arTaH-tu vizkamBaH maDya-pAtra-prayojitaH /
   ekānekakṛtaḥ śuddhaḥ saṅkīrṇo nīcamadhyamaiḥ // DhDaś_1.53 //	eka-aneka-kRtaH SudDaH saFkIrNaH nIca-maDyamEH // DhDas-_1.53 //
   tadvadevānudāttoktyā nīcapātraprayojitaḥ /	tat-vat-eva-anudAtta-uktyA nIca-pAtra-prayojitaH /
   praveśo'ṅkadvayasyāntaḥ śeṣārthasyopasūcakaḥ // DhDaś_1.54 //	praveSaH-aFka-dvayasya-antar Seza-arTasya-upasUcakaH // DhDas-_1.54 //
   antaryavanikāsaṃsthaiścūlikārthasya sūcanā /	antaryavanikA-saMsTEH-cUlikA-arTasya sUcanA /
   aṅkāntapātrairaṅkāsyaṃ chinnāṅkasyārthasūcanāt // DhDaś_1.55 //	aFka-anta-pAtrEH-aFkAsyam Cinna-aFkasya-arTa-sUcanAt // DhDaH-_1.55 //
   aṅkāvatārastvaṅkānte pāto'ṅkasyāvibhāgataḥ /	aFka-avatAraH-tu-aFka-ante pAtaH-aFkasya-aviBAgataH /
   ebhiḥ saṃsūcayet sūcyaṃ dṛśyamaṅkaiḥ pradarśayet // DhDaś_1.56 //	eBiH saMsUcayet sUcyam dRSyam-aFkEH pradarSayet // DhDaH-_1.56 //
   nāṭyadharmamapekṣyaitat punarvastu tridheṣyate /	nAwya-Darmam-apekzya-etat punar-vastu triDA-izyate /
   sarveṣāṃ niyatasyaiva śrāvyamaśrāvyameva ca // DhDaś_1.57 //	sarvezAm niyatasya-eva SrAvyam-aSrAvyam-eva ca // DhDaH-_1.57 //
   sarvaśrāvyaṃ prakāśaṃ syādaśrāvyaṃ svagataṃ matam /	sarva-SrAvyam prakASam syAt-aSrAvyam sva-gatam matam /
   dvidhānyan nāṭyadharmākhyaṃ janāntamapavāritam // DhDaś_1.58 //	dviDA-anyat nAwya-Darma-AKyam jana-antam-apavAritam // DhDaH-_1.58 //
   tripatākākareṇānyānapavāryāntarā kathām /	tri-patAkA-kareNa-anya-anapavArya-antarA kaTAm /
   anyonyāmantraṇaṃ yat syāj janānte taj janāntikam /	anyonya-AmantraNam yat syAt jana-ante tat jana-antikam /
   rahasyaṃ kathyate 'nyasya parāvṛttyāpavāritam // DhDaś_1.59 //	rahasyam kaTyate anyasya parAvRttyA-apavAritam // DhDas-_1.59 //
   kiṃ bravīṣyevamityādi vinā pātraṃ bravīti yat /	kim bravIzi-evam-ityAdi vinA pAtram bravIti yat /
   śrutvevānaktamapyekastat syādākāśamāpitam // DhDaś_1.60 //	SrutvA-iva-anaktam-api-ekaH-tat syAt-AkASam-Apitam // DhDaH-_1.60 //
   ityādyaśeṣamiha vastuvibhedajātaṃ	ityAdi-aSezam-iha vastu-viBeda-jAtam
   rāmāyaṇādi ca vibhāvya bṛhatkathāṃ ca /	rAmAyaNa-Adi ca viBAvya bRhat-kaTAm ca /
   āsūtrayet tadanu netṛrasānuguṇyāc	AsUtrayet tadanu netR-rasa-anuguNyAt-
   citrāṃ kathāmucitacāruvacaḥprapañcaiḥ // DhDaś_1.61 //	citrAm kaTAm-ucita-cAru-vacaH-prapaQcEH // DhDas-_1.61 //
   [pariccheda 2]	[paricCeda 2]
   netā vinīto madhurastyāgī dakṣaḥ priyagvadaḥ /	netA vinItaH maDuraH-tyAgI dakzaH priyagvadaH /
   raktalokaḥ śucirvāṅmī rūḍhavaṃśaḥ sthiro yuvā // DhDaś_2.1 //	rakta-lokaH SuciH-vAc-mI rUXa-vaMSaH sTiraH yuvA // DhDaH-_2.1 //
   buddhyutsāhasmṛtiprajñākalāmānasamanvitaḥ /	budDi-utsAha-smRti-prajQA-kalA-mAna-samanvitaH /
   śūro dṛḍhaśca tejasvī śāstracakṣuśca dhārmikaḥ /	SUraH dRXaH-ca tejasvI SAstra-cakzuH-ca DArmikaH /
   bhedaiścaturdhā lalitaśāntodāttoddhatairayam // DhDaś_2.2 //	BedEH-caturDA lalita-SAnta-udAtta-udDatEH-ayam // DhDaH-_2.2 //
   niścinto dhīralalitaḥ kalāsaktaḥ sukhī mṛduḥ /	niScintaH DIra-lalitaH kalA-AsaktaH suKI mRduH /
   sāmānyagu.ayuktastu dhīraśānto dvijādikaḥ // DhDaś_2.3 //	sAmAnya-gu.a-yuktaH-tu DIra-SAntaH dvija-AdikaH // DhDaH-_2.3 //
   mahāsattvo'tigambhīraḥ kṣamāvānavikatthanaḥ /	mahAsattvaH-atigamBIraH kzamAvAna-vikatTanaH /
   sthiro nigūḍhāhaṅkāro dhīrodātto dṛḍhavrataḥ // DhDaś_2.4 //	sTiraH nigUXa-ahaFkAraH DIra-udAttaH dRXa-vrataH // DhDas-_2.4 //
   darpamātsaryabhūyiṣṭho māyāchadmaparāyaṇaḥ /	darpa-mAtsarya-BUyizWaH mAyA-Cadma-parAyaNaH /
   dhīroddhatastvahaṅkāro calaścaṇḍo vikattthanaḥ // DhDaś_2.5 //	DIra-udDataH-tu-ahaFkAraH calaH-caNxaH vikattTanaH // DhDas-_2.5 //
   sa dakṣiṇaḥ śaṭho dhṛṣṭaḥ pūrvāṃ pratyanyayā hṛtaḥ /	sa dakziNaH SaWaH DRzwaH pUrvAm pratyanyayA hRtaH /
   dakṣiṇo'syāṃ sahṛdayaḥ gūḍhavipriyakṛt śaṭhaḥ /	dakziNaH-asyAm sahRdayaH gUXa-vipriyakRt SaWaH /
   vyaktāṅgavaikṛto dhṛṣṭo'nukūlastvekanāyikaḥ // DhDaś_2.6 //	vyakta-aFga-vEkRtaH DRzwaH-anukUlaH-tu-ekanAyikaH // DhDas-_2.6 //
   patākānāyakastvanyaḥ pīṭhamardo vicakṣaṇaḥ /	patAkA-nAyakaH-tu-anyaH pIWamardaH vicakzaNaH /
   tasyaivānucaro bhaktaḥ kiñcidūnaśca tadguṇaiḥ // DhDaś_2.7 //	tasya-eva-anucaraH BaktaH kiQcidUnaH-ca tad-guNEH // DhDaH-_2.7 //
   ekavidyo viṭaścānyo hāsyakṛc ca vidūṣakaḥ /	eka-vidyaH viwaH-ca-anyaH hAsya-kRt ca vidUzakaH /
   lubdho dhīroddhatastabdhaḥ(?) pāpakṛd vyasanī ripuḥ // DhDaś_2.8 //	lubDaH DIra-udData-stabDaH(?) pApa-kRt vyasanI ripuH // DhDas-_2.8 //
   śobhā vilāso mādhuryaṃ gāmbhīryaṃ dhairyatejasī /	SoBA vilAsaH mADuryam gAmBIryam DErya-tejasI /
   lalitaudāryamityaṣṭau sattvajāḥ pauruṣā guṇāḥ // DhDaś_2.9 //	lalita-OdAryam-iti-azwO sattva-jAH pOruzAH guNAH // DhDas-_2.9 //
   nīce dhṛṇādhike spardhā śobhāyāṃ śauryadakṣate /	nIce DRNA-aDike sparDA SoBAyAm SOrya-dakzate /
   gatiḥ sadhairyā dṛṣṭiśca vilāse sammitaṃ vacaḥ // DhDaś_2.10 //	gatiH sa-DEryA dRzwiH-ca vilAse sammitam vacaH // DhDas-_2.10 //
   ślakṣṇo vikāro mādhuryaṃ saṅkṣobhe sumahatyapi /	SlakzNaH vikAraH mADuryam saFkzoBe su-mahati-api /
   gāmbhīryaṃ yatprabhāvena vikāro nopalakṣyate // DhDaś_2.11 //	gAmBIryam yad-praBAvena vikAraH na-upalakzyate // DhDaH-_2.11 //
   vyavasāyādacalanaṃ sthairyaṃ vighnakulādapi /	vyavasAyAt-acalanam sTEryam viGna-kulAt-api /
   adhikṣepādyasahanaṃ tejaḥ prāṇātyayeṣvapi // DhDaś_2.12 //	aDikzepa-Adya-sahanam tejaH prANa-atyayezu-api // DhDaH-_2.12 //
   śṛṅgārākāraceṣṭātvaṃ sahajaṃ lalitaṃ mṛdu /	SRFgAra-AkAra-cezwA-tvam sahajam lalitam mRdu /
   priyoktyājīvitād dānamaudāryaṃ sadupagrahaḥ // DhDaś_2.13 //	priya-uktyAjIvitAt dAnam-OdAryam sat-upagrahaH // DhDas-_2.13 //
   svānyā sādhāraṇastrīti tadguṇā nāyikā tridhā /	svA-anyA sADAraNa-strI-iti tad-guNA nAyikA triDA /
   mugdhā madhyā pragalbheti svīyā śīlārjavādiyuk // DhDaś_2.14 //	mugDA maDyA pragalBA-iti svIyA SIla-Arjava-Adi-yuj // DhDaH-_2.14 //
   mugdhā navavayaḥkāmā ratau vāmā mṛduḥ krudhi /	mugDA nava-vayaH-kAmAH ratO vAmAH mRduH kruDi /
   madhyodyadyāvanānaṅgā mohāntasuratakṣamā // DhDaś_2.15 //	maDya-udyat-yAvana-anaFgAH moha-anta-surata-kzamAH // DhDaH-_2.15 //
   dhīrā sotprāsavakroktyā madhyā sāśru kṛtāgamam /	DIrA sa-utprAsa-vakroktyA maDyA sa-aSru kRta-Agamam /
   khedayed dayitaṃ kopādadhīrā paruṣākṣaram // DhDaś_2.16 //	Kedayet dayitam kopAt-aDIrA paruza-akzaram // DhDas-_2.16 //
   yauvanāndhā smaronmattā pragalbhā dayitāṅgake /	yOvana-anDA smara-unmattA pragalBA dayitA-aFgake /
   vilīyamānevānandād ratārambhe'pyacetanā // DhDaś_2.17 //	vilIyamAnA-iva-AnandAt rata-AramBe-api-acetanAH // DhDaH-_2.17 //
   sāvahitthādarodāste ratau dhīretarā krudhā /	sAvahitTAdara-udAste ratO DIra-itarA kruDA /
