   The Adhikaraṇavastu	The ADikaraNa-vastu
   saṃmukhaṃ devasya purastād (A 332b) dharmaṃ śrotum; tad yadi deva ekaṃ	saMmuKam devasya purastAt (A 332b) Darmam Srotum; tat yadi devaH ekam
   vāraṃ vāraṃ gacched pūrvāhṇārambhe vayam apy aparāhṇe bhagavato 'ntikād	vAram vAram gacCet pUrvAhNa-AramBe vayam api aparAhNe BagavataH antikAt-
   dharmaṃ śṛṇuyāmaḥ; mahānāmā śākyaḥ saṃlakṣayati: gacchāmi, devaṃ	Darmam SRNuyAmaH; mahAnAmA SAkyaH saMlakzayati: gacCAmi, devam
   prabodhayāmi iti; punaḥ saṃlakṣayati: duḥkhaṃ svadārāṇām arthāya devo	praboDayAmi iti; punar saMlakzayati: duHKam sva-dArANAm arTAya devaH-
   vijñāpyate; mahāprajāvatī devasya bahumatā; tasyāḥ śrotavyaṃ yat kartavyaṃ	vijQApyate; mahA-prajAvatI devasya bahu-matA; tasyAH Srotavyam yat kartavyam
   manyate; tasyā etam arthaṃ nivedayāmi iti; sa yena mahāprajāvatī gautamī	manyate; tasyAH etam arTam nivedayAmi iti; sa yena mahA-prajAvatI gOtamI
   tenopasaṃkrāntaḥ; upasaṃkramya mahāprajāvatyā (Adhik-v 61) gautamyā etam	tena-upasaMkrAntaH; upasaMkramya mahA-prajAvatyA (a-aDik-u 61) gOtamyAH etam
   arthaṃ nivedayitavān; sā kathayati: evaṃ bhavatu, devaṃ prabodhayāmi iti;	arTam nivedayitavAn; sA kaTayati: evam Bavatu, devam praboDayAmi iti;
   tato mahānamnā gṛhapatinā gṛhaṃ gatvā śākyāyanīnām ārocitam; tataḥ tāḥ	tatas mahAnamnA gRhapatinA gRham gatvA SAkyAyanInAm Arocitam; tatas tAH
   śākyāyinyāḥ anyāś ca yena mahāprajāvatī gautamī tenopasaṃkrāntāḥ;	SAkyAyinyAH anyAH ca yena mahA-prajAvatI gOtamI tena-upasaMkrAntAH;
   upasaṃkramya mahāprajāvatīṃ gautamīm idam avocan: yat khalu gautami	upasaMkramya mahA-prajAvatIm gOtamIm idam avocan: yat Kalu gOtami
   jānīyāḥ, śrutam asmābhir bhagavān anekaśatāyāḥ parṣadaḥ purastān	jAnIyAH, Srutam asmABiH BagavAn aneka-SatAyAH parzadaH purastAn
   madhuramadhuraṃ dharmaṃ deśayati kṣaudram madhv ivāneḍakam, anekaśatā ca	maDura-maDuram Darmam deSayati kzOdram maDu iva-anexakam, aneka-SatA ca
   parṣad bhagavataḥ sakāśān madhuramadhuraṃ dharmaṃ śṛṇoti āniñjyamānair	parzad BagavataH sakASAt maDura-maDuram Darmam SRNoti AniQjyamAnEH-
   indriyaiḥ iti; tad icchāmo vayam api bhagavato 'ntikād dharmaṃ śrotum;	indriyEH iti; tat icCAmaH vayam api BagavataH antikAt Darmam Srotum;
   asmākam arthaṃ devaṃ vijñāpaya yathā devaḥ pūrvāhṇe bhagavatsakāśam	asmAkam arTam devam vijQApaya yaTA devaH pUrvAhNe Bagavat-sakASam
   upasaṃkrāmati vayam apy aparāhṇe; sā kathayati: bhaginyaḥ, śobhanaṃ	upasaMkrAmati vayam api aparAhNe; sA kaTayati: BaginyaH, SoBanam
   yuṣmābhiś cittam utpāditam, tiṣṭhata muhūrtam yāvad rājānaṃ śuddhodanam	yuzmABiH cittam utpAditam, tizWata muhUrtam yAvat rAjAnam SudDodanam
   avalokayāmi iti; atha mahāprajāvatī gautamī yena rājā śuddhodanas	avalokayAmi iti; aTa mahA-prajAvatI gOtamI yena rAjA SudDodana-s
   tenopasaṃkrāntā; upasaṃkramya rājānaṃ śuddhodanam idam avocat; yat khalu	tena-upasaMkrAntA; upasaMkramya rAjAnam SudDodanam idam avocat; yat Kalu
   deva jānīyāḥ, śrutaṃ mayā bhagavān anekaśatāyāḥ parṣadaḥ purastān niṣaṇṇo	deva jAnIyAH, Srutam mayA BagavAn aneka-SatAyAH parzadaH purastAt nizaNNaH-
   madhuramadhuraṃ dharmaṃ deśayati kṣaudraṃ madhv ivāneḍakam; anekaśatā ca	maDura-maDuram Darmam deSayati kzOdram maDu iva-anexakam; aneka-SatA ca
   parṣad bhagavato 'ntikād dharmaṃ śṛṇoti āniñjyamānair indriyair iti;	parzad BagavataH antikAt Darmam SRNoti AniQjyamAnEH indriyEH iti;
   śākyānikābhir apy evaṃ śrutam, ākāṃkṣanti dharmaṃ śrotum; tad arhasi deva	SAkyAnikABiH api evam Srutam, AkAMkzanti Darmam Srotum; tat arhasi deva
   pūrvāhṇe bhagavatsakāśam upasaṃkramitum; aham api śākyānikā ādāya	pUrvAhNe Bagavat-sakASam upasaMkramitum; aham api SAkyAnikAH AdAya
   bhagavatsakāśam aparāhṇe upasaṃkramiṣyāmi; yat kāraṇam? tāḥ pūrvāhṇe	Bagavat-sakASam aparAhNe upasaMkramizyAmi; yat kAraNam? tAH pUrvAhNe
   gṛhavyāpāravyāpṛtāḥ na labhante ḥ'vakāśaṃḥ bhagavatsakāśam upasaṃkramitum	gRha-vyApAra-vyApRtAH na laBante H-avakASanH Bagavat-sakASam upasaMkramitum
   iti; ācaritaṃ rājñaḥ śuddhodanasya yadā mahāprajāvatī gautamī ājñāṃ dadāti	iti; Acaritam rAjQaH SudDodanasya yadA mahA-prajAvatI gOtamI AjQAm dadAti
   uddaṇḍaśarīro 'vatiṣṭhate, tāvac ca rājā ḥnaḥ niṣīdati yāvan	uddaNxa-SarIraH avatizWate, tAvat ca rAjA HnaH nizIdati yAvat-
   mahāprajāvatyā ājñādānam anuṣṭhitaṃ bhavati iti; sa praṇataśirā kathayati;	mahA-prajAvatyAH AjQA-dAnam anuzWitam Bavati iti; sa praNata-SirAH kaTayati;
   gautani, enaṃ bhavatu iti(Adhik-v 62)	gOtani, enam Bavatu iti(ADik-u 62)
   Instances of female vanity and the story ot the maid-servant Rohikā	InH-tanceH of female vaniti and Te storI ot Te mEd-servant RohikA
        tato mahāprajāvatī gautamī pañcabhiḥ śākyānīśataiḥ parivṛtā	tatas mahA-prajAvatI gOtamI paQcaBiH SAkyAnI-SatEH parivRtA
   nyagrodhārāmaṃ gatā bhagavataḥ sakāśād dharmaṃ śrotum; yāvan mahānāṃnaḥ	nyagroDa-ArAmam gatAH BagavataH sakASAt Darmam Srotum; yAvat mahAnAMnaH
   śākyasya patnī sarvālaṃkāravibhūṣitayā sārdhaṃ gatā; rūpayauvanavatī	SAkyasya patnI sarva-alaMkAra-viBUzitayA sArDam gatA; rUpa-yOvanavatI
   sarvālaṃkāravibhūṣitā ca avītarāgamanāṃsy ākṣeptum ārabdhā; sā āyuśmatā	sarva-alaMkAra-viBUzitA ca avIta-rAgamanAMsi Akzeptum ArabDA; sA AyuSmatA
   ānandena dṛṣṭā uktā ca: bhagini, tvaṃ tāvat prakṛtyaivābhirūpā darśanīyā	Anandena dRzwA uktA ca: Bagini, tvam tAvat prakRtyA-eva-aBirUpA darSanIyA
   prāsādikā; kimaṅga punaḥ sarvālaṃkāravibhūṣitā; na śobhanaṃ tvayā kṛtaṃ	prAsAdikA; kim-aFga punar sarva-alaMkAra-viBUzitA; na SoBanam tvayA kRtam
   yad alaṃkāraṃ prāvṛtyāgatā; naite mahātmānaḥ (A 333a) sarva eva vītarāgāḥ	yat alaMkAram prAvRtya-AgatA; na-ete mahAtmAnaH (A 333a) sarve eva vIta-rAgAH
   iti; sā evam uktā lajjāparigatahṛdayā avāṅmukhī ekānte 'pakramya tam	iti; sA evam uktA lajjA-parigata-hRdayA avAk-muKI ekAnte apakramya tam
   alaṃkāram apanīya cintāparā vyavasthitā; tasyā rohakā nāma preṣyadārikā;	alaMkAram apanIya cintA-parA vyavasTitA; tasyAH rohakAH nAma prezya-dArikA;
   tasyā sārdham āgatā dharmaśravaṇārthinī; sā tayāhūya uktā: gaccha rohike	tasyAH sArDam AgatA Darma-SravaNa-arTinI; sA tayA-AhUya uktA: gacCa rohike
   idam alaṃkāraṃ sthāpayitvā āgaccha iti; sā tvaritagatipracāratayā gṛhe	idam alaMkAram sTApayitvA AgacCaH iti; sA tvarita-gati-pracAra-tayA gRhe
   sthāpayitvā āgatā; tato mahāprajāvatī gautamī pañcaśataparivārā bhagavataḥ	sTApayitvA AgatA; tatas mahA-prajAvatI gOtamI paQca-Sata-parivArAH BagavataH
   pādau śirasā vanditvā ekānte niṣaṇṇā; bhagavāṃś ca dharmaṃ deśayitum	pAdO SirasA vanditvA ekAnte nizaNNA; BagavAn ca Darmam deSayitum
   ārabdhaḥ; yāvad anyatarā śākyakumārikā tasmin dharme deśyamāne	ArabDaH; yAvat anyatarA SAkyakumArikA tasmin Darme deSyamAne
   karṇāvasaktaṃ muktāhāraṃ muhur ḥmuhuḥḥ prekṣate, pāninā ca parāmṛśati;	karNa-avasaktam muktA-hAram muhur HmuhuHH prekzate, pAninA ca parAmRSati;
   tato bhagavān anityatāpratisaṃyuktaṃ dharmaṃ deśayitum ārabdhaḥ; tathāpi	tatas BagavAn anitya-tA-pratisaMyuktam Darmam deSayitum ArabDaH; taTA-api
   sā nāvatiṣṭhate, prekṣate eva muktāhāram; adrākṣīn mahānāmno 'gramahiṣī	sA na-avatizWate, prekzate eva muktA-AhAram; adrAkzIt mahAnAmnaH agra-mahizI
   tāṃ śākyakumārikāṃ karṇāvasaktaṃ muktāhāre muhur muhuḥ prekṣamāṇām; dṛṣṭvā	tAm SAkyakumArikAm karNa-avasaktam muktA-hAre muhur muhur prekzamANAm; dRzwvA
   ca punar asyā etad abhavat: kim iyaṃ tapasvinī evam anityeṣu saṃskāreṣu	ca punar asyAH etat aBavat: kim iyam tapasvinI evam anityezu saMskArezu
   deśyamāneṣu muktāhāre 'tyarthaṃ adhyavasitā muhur muhuḥ prekṣate; yadi	deSyamAnezu muktA-hAre atyarTam aDyavasitAH muhur muhur prekzate; yadi
   madīyaṃ muktāhāraṃ paśyet sarvamadā asyā vigaccheyuḥ iti viditvā	madIyam muktA-hAram paSyet sarva-madAH asyAH vigacCeyuH iti viditvA
   preṣyadārikāṃ rohikām āmantrayate: gaccha madīyaṃ muktāhāraṃ śīghram ānaya	prezya-dArikAm rohikAm Amantrayate: gacCa madIyam muktA-hAram SIGram Anaya
   iti; tasyā dharmaśravaṇāvarjitamanasāyā etad abhavat: hā kaṣṭam mamedṛśe	iti; tasyAH Darma-SravaNa-Avarjita-manasAyAH etat aBavat: hA kazwam mama-IdRSe
   dharme deśyamāne svāminyā ājñā dattā: dharmāntarāyo jātaḥ, sarvathā kaṣṭo	Darme deSyamAne svAminyAH AjQA dattA: Darma-antarAyaH jAtaH, sarvaTA kazwaH-
   dāsabhāvaḥ iti viditvā duḥkhadaurmanasyāhatā: gathāṃ ca bhāṣate:	dAsa-BAvaH iti viditvA duHKa-dOrmanasya-AhatA: gaTAm ca BAzate:
        dhig dāsabhāva bahuduḥkhaparasvadhīnaṃ	Dik dAsa-BAva bahu-duHKa-parasu-aDInam
             dhig jīvitaṃ mama purākṛtakarmalabdham /(Adhik-v 63)	Dik jIvitam mama purA-kRta-karma-labDam /(a-aDik-u 63)
        draṣṭuṃ hi yā jinamukhaṃ na labhe 'dya pādaṃ	drazwum hi yA jina-muKam na laBe adya pAdam
             śrotuṃ ca dharmam amalam sugatasya tasya //	Srotum ca Darmam amalam sugatasya tasya //
   iti; atha bhagavata etad abhavat: iyaṃ rohikā dārikā pūrvabuddheṣu	iti; aTa BagavataH etat aBavat: iyam rohikA dArikA pUrva-budDezu
   kṛtādhikārikā kiṃ tv alpāyuskā; uddhartavyā iyaṃ saṃsāracārakād iti	kRta-ADikArikA kim tu alpa-AyuskA; udDartavyAH iyam saMsAra-cArakAt iti
   viditvā ṛddhyā gāthaṃ bhūrjapatre ālikhya dattavān	viditvA RdDyA gATam BUrja-patre AliKya dattavAn
        utpannasya vināśaṃ hi jñātvā kālyāṇi janmani /	utpannasya vinASam hi jQAtvA kAlyANi janmani /
        yatnam āsthāya kalyāṇaṃ śrotavyaṃ mama bhāṣitam //	yatnam AsTAya kalyANam Srotavyam mama BAzitam //
   iti; atha rohikā dārikā hṛṣṭā tuṣṭā prītisaumanasyajātā gāthāṃ bhāṣate;	iti; aTa rohikA dArikA hRzwA tuzwA prIti-sOmanasya-jAtAH gATAm BAzate;
   buddhālambanenaiva cetasā saṃprasthitā	budDa-Alambanena-eva cetasA saMprasTitA
        na praṇaśyanti karmāṇy api kalpaśatair api /	na praNaSyanti karmANi api kalpa-SatEH api /
        sāmagrīṃ prāpya kālaṃ ca phalanti khalu dehinām //	sAmagrIm prApya kAlam ca Palanti Kalu dehinAm //
   iti; alpāyuṣkāyāḥ karmaṇaḥ sāmagrī prāptā; gavā taruṇavatsayā jīvitād	iti; alpa-AyuzkAyAH karmaNaH sAmagrI prAptA; gavA taruNa-vat-sayA jIvitAt-
   vyaparopitā; sā bhagavato 'ntike cittam abhiprasādya kālagatā	vyaparopitA; sA BagavataH antike cittam aBiprasAdya kAlagatA
   The story of Muktikā, the daughter of King of Siṃhala, and the portrait of	The storI of MuktikA, Te dOGteH of Kinc of SiMhala, and Te portrEt of
   the Buddha	Te BudDa
        siṃhaladvīpe siṃhalarājño 'gramahiṣyā kukṣāv upapannā; yam eva	siMhala-dvIpe siMhala-rAjQaH agra-mahizyA kukzO upapannA; yam eva
   divasaṃ pratisaṃdhir gṛhītas tam eva divasaṃ muktāvarṣaṃ patitam; rājñā	divasam pratisaMDiH gRhItaH tam eva divasam muktA-varzam patitam; rAjQA
   naimittikān āhūya pṛṣṭāḥ; te ūcuḥ: deva, asya satvasyānubhāvo yo 'yaṃ	nEmittikAn AhUya pRzwAH; te UcuH: deva, asya satvasya-anuBAvaH yaH ayam
   devyāḥ kukṣāv upapannaḥ iti; yāvad asāv upasthīyate śīte śītopakaraṇair	devyAH kukzO upapannaH iti; yAvat asO upasTIyate SIte SIta-upakaraNEH-
   uṣṇe uṣṇopakaraṇair vaidyaprajñaptair āhārair nātitiktair nātyamlair	uzNe uzNa-upakaraNEH vEdya-prajQaptEH AhArEH na-ati-tiktEH na-ati-amlEH-
   nātilavaṇair nātimadhurair nātikaṭukair nātikaṣāyais	na-ati-lavaNEH na-ati-maDurEH na-ati-kawukEH na-ati-kazAyEH-
   tiktāmlalavaṇāmadhurakaṭukakaṣāyvivarjitair (A 333b) āhārair	tikta-amla-lavaNA-maDura-kawuka-kazAyvivarjitEH (A 333b) AhArEH-
   hārārdhahāravibhūṣitagātrī apsarā iva nandanavanavicāriṇī mañcān mañcaṃ	hAra-arDa-hAra-viBUzita-gAtrI apsarAH iva nandana-vana-vicAriNI maQcAt maQcam
   pīṭhāt pīṭham anavatarantī adharāṃ bhūmiṃ, na cāsyā kiṃcid amanojñāṃ	pIWAt pIWam anavatarantI aDarAm BUmiM, na ca-asyAH kiMcid amanojQAm
   śabdaśravaṇam yāvad eva garbhasya paripākāya; sā aṣṭānāṃ vā navānāṃ vā	Sabda-SravaNam yAvat eva garBasya paripAkAya; sA azwAnAm vA navAnAm vA
   māsānām atyayāt prasūtā; dārakā jātā abhirūpā darśanīyā prāsādikā; yam api	mAsAnAm atyayAt prasUtA; dArakA jAtA aBirUpA darSanIyA prAsAdikA; yam api
   divasaṃ jātā tam api divasaṃ muktāvarṣaṃ patitam; rājā saṃlakṣayati: yadi	divasam jAtA tam api divasam muktA-varzam patitam; rAjA saMlakzayati: yadi
   dārakāyā anubhāvān muktāvarṣaṃ nipatitam asyā eva muktā bhavantu iti; tena	dArakAyAH anuBAvAt muktA-varzam nipatitam asyAH eva muktAH Bavantu iti; tena
   tasyā (Adhik-v 64) eva pratipāditāḥ; tataḥ trīṇi saptakāny	tasyAH (a-aDik-u 64) eva pratipAditAH; tatas trINi saptakAni-
   ekaviṃśatidivasān vistareṇa jātimahaṃ kṛtvā nāmadheyṃ vyavasthāpyate: kiṃ	ekaviMSati-divasAn vistareNa jAti-maham kRtvA nAmaDeym vyavasTApyate: kim
   bhavatu dārikāyā nāma iti; amātyā kathayanti: yasmād asyāḥ puṇyānubhāvena	Bavatu dArikAyAH nAma iti; amAtyA kaTayanti: yasmAt asyAH puNya-anuBAvena
   muktāvarṣaṃ patitaṃ tasmād bhavatu dārikāyā muktā iti nāma iti; tasyā	muktA-varzam patitam tasmAt Bavatu dArikAyAH muktAH iti nAma iti; tasyAH-
   muktā iti nāmadheyaṃ vyavasthāpitam; muktā dārikā aṣṭābhyo dhātrībhyo	muktAH iti nAmaDeyam vyavasTApitam; muktAH dArikA azwAByaH DAtrIByaH-
   dattā, dvābhyam aṃsadhātrībhyām, dvābhyaṃ kṣīradhātrībhyām, dvābhyāṃ	dattA, dvAByam aMsaDAtrIByAm, dvAByam kzIraDAtrIByAm, dvAByAm
   maladhātrībhyām, dvābhyāṃ krīḍanikādhātrībhyam; sā aṣṭābhir dhātrībhir	malaDAtrIByAm, dvAByAm krIxanikA-DAtrIByam; sA azwABiH DAtrIBiH-
   unnīyate vardhyate kṣireṇa dadhnā navanītena sarpiṣā sarpirmaṇḍena anyaiś	unnIyate varDyate kzireNa daDnA navanItena sarpizA sarpiH-maNxena anyES
   cottaptottaptair upakaraṇaviśeṣair āśu vardhate hradastham iva paṅkajam;	ca-uttapta-uttaptEH upakaraNa-viSezEH ASu varDate hrada-sTam iva paFkajam;
   yasā mahatī saṃvṛttā tadā svakulavaṃśānurūpeṇācāravihāreṇa sāntarjanasya	yasA mahatI saMvRttA tadA sva-kula-vaMSa-anurUpeNa-AcAra-vihAreNa sa-antar-janasya
   rājñaḥ atyarthaṃ bahumatā saṃvṛttā; yāvad apareṇa samayena śrāvasteyā	rAjQaH atyarTam bahu-matA saMvRttA; yAvat apareNa samayena SrAvasteyA
   vaṇijaḥ sāmudraṃ yānapātraṃ pratipādya mahāsamudram avatīrṇā dhanahārakāḥ;	vaNijaH sAmudram yAna-pAtram pratipAdya mahA-samudram avatIrNAH Dana-hArakAH;
   te saṃsiddhayānapātrā vāyuvaśāt siṃhaladvīpam anuprāptāḥ; tato bhāṇḍaṃ	te saMsidDa-yAnapAtrAH vAyu-vaSAt siMhala-dvIpam anuprAptAH; tatas BANxam
   pratiśāmya rājakulasya nātidūre āvasitāḥ; te rātryāḥ pratyuṣasamaye udānān	pratiSAmya rAja-kulasya na-ati-dUre AvasitAH; te rAtryAH pratyuza-samaye udAnAn
   pārāyaṇān satyadṛśaḥ sthaviragāthāḥ sthavirīgāthāḥ śailagāthā munigāthā	pArAyaNAn satya-dRSaH sTavira-gATAH sTavirI-gATAH SElagATA munigATA
   arthavargīyāṇi vistareṇa svādhyāyitum ārabdhāḥ; muktikayā bhavanāvasthayā	arTa-vargIyANi vistareNa svADyAyitum ArabDAH; muktikayA Bavana-avasTayA
   vātāyanena śrutam; tatas tayā rājñe niveditam: deva, madhyadeśābhyāgatā	vAtAyanena Srutam; tatas tayA rAjQe niveditam: deva, maDyadeSa-aByAgatA
   vaṇijaḥ śobhanam gāyante iti; rājñā amātyānām ājñā dattā: bhavanta	vaNijaH SoBanam gAyante iti; rAjQA amAtyAnAm AjQA dattA: Bavanta
   āhūyatāṃ gāyanakāḥ iti; te āhūyata; muktikā kathatati: gāyantu bhavantaḥ,	AhUyatAm gAyanakAH iti; te AhUyata; muktikA kaTatati: gAyantu BavantaH,
   śṛṇumaḥ kīdṛśaṃ madhyadeśe gāndharvam iti; te kathayanti: devi, na vayaṃ	SRNumaH kIdRSam maDya-deSe gAnDarvam iti; te kaTayanti: devi, na vayam
   gāndharvikāḥ, vaṇijo vayaṃ śrāvasteyā vāyuvaśād ihāgatāḥ, asmābhi rātryāḥ	gAnDarvikAH, vaNijaH vayam SrAvasteyAH vAyu-vaSAt iha-AgatAH, asmABi rAtryAH
   pratyuṣasamaye budddhavacanaṃ paṭhitam iti; muktikayā buddha iti	pratyuza-samaye buddDa-vacanam paWitam iti; muktikayA budDaH iti
   aśrutapūrvaṃ ghoṣaṃ śrutvā sarvaromakūpāny āhṛṣṭāni; sā kutūhalajātā	aSruta-pUrvam Gozam SrutvA sarva-romakUpAni AhRzwA-ani; sA kutUhala-jAtA
   pṛcchati: bhavantaḥ ko 'yaṃ buddho nāma iti; te vistareṇa buddhamāhātmyaṃ	pRcCati: BavantaH kaH ayam budDaH nAma iti; te vistareNa budDa-mAhAtmyam
   varṇayitum ārabdhāḥ: devi, śākyānaṃ kumāra utpannaḥ anuhimatpārśve	varNayitum ArabDAH: devi, SAkyAnam kumAraH utpannaH anuhimat-pArSve
   (Adhik-v 65) nadyā bhagīrathyās tīre kapilasya ṛṣer āśramapadasya	(a-aDik-u 65) nadyAH BagIraTyAH tIre kapilasya RzeH ASrama-padasya
   nātidūre; sa brāhmaṇair naimittikair vipañcanakair vyākṛtaḥ, saced gṛhī	na-ati-dUre; sa brAhmaNEH nEmittikEH vipaQcanakEH vyAkRtaH, saced gRhI
   āgāram adhyāvatsyati rājā bhaviṣyati cakravartī cāturantāṃ vijetā dharmiko	AgAram aDyAvatsyati rAjA Bavizyati cakravartI cAturantAm vijetA Darmiko
   dharmarājā saptaratnasamanvāgataḥ; tasya imāny evaṃrūpāṇi saptaratnāni	DarmarAjA sapta-ratna-samanvAgataH; tasya imAni evaMrUpANi sapta-ratnAni
   bhaviṣyanti tadyathā cakraratnaṃ hastiratnaṃ (A 334a) aśvaratnaṃ	Bavizyanti tat-yaTA cakraratnam hasti-ratnam (A 334a) aSva-ratnam
   maṇiratnaṃ strīratnaṃ ḥgṛhapatiratnaṃḥ pariṇāyakaratnam eva saptamam;	maNi-ratnam strI-ratnam HgRhapati-ratnanH pariNAyaka-ratnam eva saptamam;
   pūrṇaṃ cāsya bhaviṣyati sahasraṃ putrāṇāṃ śūrāṇāṃ vīrāṇāṃ varāṅgarūpiṇāṃ	pUrNam ca-asya Bavizyati sahasram putrANAm SUrANAm vIrANAm varAFga-rUpiNAm
   parasainyapramardakānām; sa imām eva samudraparyantāṃ mahāpṛthivīm akhilām	para-sEnya-pramardakAnAm; saH imAm eva samudra-paryantAm mahA-pRTivIm aKilAm
   akaṇṭakām anutpātām adaṇḍenāśastreṇa dharmeṇa	akaNwakAm anutpAtAm adaNxena-aSastreNa DarmeNa
   samenābhinirjityādhyāvatsyati; sacet keśaśmaśrū avatārya kāṣāyāṇi vastrāṇy	samena-aBinirjitya-aDyAvatsyati; saced keSa-SmaSrU avatArya kAzAyANi vastrANi-
