   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   ārambhaṇīyamiti dharmaḥ | śāstramiti ca dharmī | dharmadharmisādhāraṇo hi	AramBaNIyam-iti DarmaH | SAstram-iti ca DarmI | Darma-Darmi-sADAraNaH hi
   pakṣaḥ | atra dharmabhāvāddharmī chatrīvat | tathā satyapi śāstramārabdhuṃ	pakzaH | atra Darma-BAvAt-DarmI CatrI-vat | taTA sati-api SAstram-ArabDum
   praṇāmakaraṇaṃ nirarthakam, prayojanābhāvāt, kākadantaparīkṣādiśāstravat	praNAma-karaNam nirarTakam, prayojana-aBAva-at, kAka-danta-parIkzA-Adi-SAstra-vat-
   ityasya hetvarthasya siddhatvaṃ darśayitumucyate -	iti-asya hetu-arTasya sidDatvam darSayitum-ucyate -
   śāstrārambhaṇāya śāstṛpūjā kṛtā | kimarthamiti cet, śāstre tatra ca	SAstra-AramBaNAya SAstR-pUjA kRtA | kimarTam-iti cet, SAstre tatra ca
   gauravotpādahetubhūtatvād, dharmaśravaṇe jātagauravāṇāṃ	gOrava-utpAda-hetu-BUta-tvAd, Darma-SravaNe jAta-gOravANAm
   śravaṇa-cintana-bhāvanāsu gauravaṃ bhavati | ajātagauravāṇāṃ tu abhūtatvād	SravaNa--cintana--BAvanAsu gOravam Bavati | ajAta-gOravANAm tu aBUta-tvAt-
   hetvarthe ca siddha eva | api śiṣṭācāra-nayapradarśanārthaṃ śāstrārambhe	hetu-arTe ca sidDaH eva | api Sizwa-AcAra--naya-pradarSana-arTam SAstra-AramBe
   śāstuḥ pūjā kṛtā | ayaṃ tu sajjanaviduṣām ācāro 'sti | yadā kaścit	SAstuH pUjA kRtA | ayam tu sat-jana-viduzAm AcAraH asti | yadA kaScid-
   prayojanārambhaṇamavatarati prathamam iṣṭadevaṃ praṇamya viśiṣṭaprayojanaṃ	prayojana-AramBaNam-avatarati praTamam izwadevam praNamya viSizwa-prayojanam
   praviśati, abhīṣṭārtho 'ciraṃ sidhyati, tasmād anenāpi śāstrakāreṇa tāmeva	praviSati, aBIzwa-arTaH aciram siDyati, tasmAt anena-api SAstra-kAreNa tAm-eva
   sadācāranītim anusaratā śāstrārambhaṇe svaśāsturguṇābhidhānapūrvakaṃ	sat-AcAra-nItim anusaratA SAstra-AramBaNe sva-SAstuH-guNa-aBiDAna-pUrvakam
   praṇāmaṃ kṛtvā śāstravyākhyānāvatārād atra prayojanamastyeva | ucyate -	praNAmam kRtvA SAstra-vyAKyAna-avatArAt atra prayojanam-asti-eva | ucyate -
   śāstrārambhe śāstre praṇāmakaraṇam na niṣphalam śāstari śāstreṣu ca	SAstra-AramBe SAstre praNAma-karaNam na nizPalam SAstari SAstrezu ca
   gauravotpādahetvartham, nānyathā | tataḥ śāstrārambhe śāstuḥ pūjanaṃ	gOrava-utpAda-hetu-arTam, na-anyaTA | tatas SAstra-AramBe SAstuH pUjanam
   vyavasthitameva | tasmācca paraiḥ śāstrādau praṇāmakaraṇaṃ niṣprayojanam	vyavasTitam-eva | tasmAt-ca parEH SAstra-AdO praNAma-karaNam nizprayojanam
   iti kimucyate? taddhetorasiddhatāṃ darśayitum kathitam | śāstram ārabdhuṃ	iti kim-ucyate? tad-hetoH-asidDa-tAm darSayitum kaTitam | SAstram ArabDum
   praṇāmakaraṇaṃ tu cikitsādiśāstravat saprayojanam eva, na ca	praNAma-karaNam tu cikitsA-Adi-SAstra-vat sa-prayojanam eva, na ca
   kākadantaparīkṣāvat | svaśāstāraṃ praṇamya śālistambasūtropanibaddhāṃ	kAka-danta-parIkzA-vat | sva-SAstAram praNamya SAli-stamba-sUtra-upanibadDAm
   śāstrakārikāṃ pravakṣyāmīti ukte | katamā ca sā iti cet - munī	SAstra-kArikAm pravakzyAmi-iti ukte | katamA ca sA iti ced  munI
   rājagṛhasyaiva ityādi kathitam rājagṛhaṃ tu rājño gṛham rājaprasāda	rAjagRhasya-eva ityAdi kaTitam rAja-gRham tu rAjQaH gRham rAja-prasAda
   ityarthaḥ |	iti-arTaH |
   gṛdhranāmakaparvate iti tu gṛdhrakūṭaparvate | tasmādeva saṃgītisūtre	gRDra-nAmaka-parvate iti tu gRDra-kUwa-parvate | tasmAt-eva saMgIti-sUtre
   'evaṃ mayā śrutam ityuktam | kasmācchrutamiti | tasmāduktam | bhagavataḥ	aevam mayA Srutam iti-uktam | kasmAt-Srutam-iti | tasmAt-uktam | BagavataH
   ekasmin samaye iti ekasmin samaye | bhagavān tu bhagnavān iti bhagavān |	ekasmin samaye iti ekasmin samaye | BagavAn tu BagnavAn iti BagavAn |
   kiṃ bhagnavān iti cet | tasmāduktam māracatuṣṭayam |	kim BagnavAn iti ced | tasmAt-uktam mAra-catuzwayam |
   kleśa-skandha-devaputra-mṛtyavo mārā ityākhyātāḥ | kathaṃ bhagnā iti?	kleSa-skanDa--deva-putra--mRtyavaH mArAH iti-AKyAtAH | kaTam BagnAH iti?
   ucyate - pratipakṣajñānopalabdheḥ | darśana-bhāvanā-mārgāvatāranayena	ucyate  pratipakza-jQAna-upalabDeH | darSana--BAvanA--mArga-avatAra-nayena
   catuḥ smṛtyupasthānādisaptatriṃśadbodhipākṣikadharmabhāvanākrameṇa	catuH smRti-upasTAna-Adi-saptatriMSat-boDi-pAkzika-Darma-BAvanA-krameNa
   caturāryasatyabhāvanāvibhāvanatayā skandhatathatāparijñānena	catur-Arya-satya-BAvanA-viBAvana-tayA skanDa-taTatA-parijQAnena
   anitya-duḥkha-śūnya-nairātmyādīnām aviparīta-jñānānvitatvāt	anitya--duHKa--SUnya-nErAtmya-AdInAm aviparIta--jQAna-anvita-tvAt
   pudgaladharmayornairātmya-grāhyagrāhakābhāva-kalpanād 'idaṃ dhātutrayamapi	pudgala-DarmayoH-nErAtmya--grAhya-grAhaka-aBAva--kalpanAt aidam DAtu-trayam-api
   cittamātram' iti avagamāt kleśajñeyāvaraṇa-rahitadvāreṇa kleśā bhagnāḥ |	cittamAtram-a iti avagamAt kleSa-jQeya-AvaraNa--rahita-dvAreNa kleSAH BagnAH |
   nitya-sukha-śuci-sātmyāviparyāsacatuṣṭayādirahitaḥ anuttaradharmakāya	nitya--suKa--Suci-sAtmya-aviparyAsa-catuzwaya-Adi-rahitaH anuttara-DarmakAya
   saṃyukto 'pratiṣṭhita nirvāṇopalabdheḥ skandhaṃ mṛtyumārañca jayati |	saMyuktaH apratizWita nirvANa-upalabDeH skanDam mRtyu-mAraQca jayati |
   sarvadharmān	sarva-DarmAn
   māyā-marīci-gandharvanagara-nirmāṇa-pratibimba-pratiśrutka-alātacakra-svapnavat	mAyA-marIci--ganDarvanagara--nirmANa--pratibimba--pratiSrutka--alAta-cakra--svapna-vat-
   svavabodhāt saṃkleśālayavijñāna-vāsanā-malāpagatatvācca abhūtasaṃkalpān	su-avaboDAt saMkleSa-Alaya-vijQAna--vAsanA--mala-apagata-tvAt-ca aBUta-saMkalpAn
   samucchidya mahāmaitryādi-bāṇākṣepeṇa sasainyaṃ makaradhvajaṃ prahṛtya	samucCidya mahA-mEtrI-Adi-bANa-AkzepeNa sa-sEnyam makaraDvajam prahRtya
   devaputramāraṃ parājayata | evaṃ caturmārabhañjanād bhagavān iti |	deva-putra-m-Aram parAjayata | evam catur-mAra-BaQjanAt BagavAn iti |
   punaścoktam -	punar-ca-uktam -
   caturmārāribhagnatvād bhavatrayasamudgata-	catur-mAra-ari-Bagna-tvAt Bava-traya-samudgata-
   bhāvyatītaparijñānād bhavastho bhagavāniti |	BAvi-atIta-parijQAnAt Bava-sTaH BagavAn-iti |
   tādṛśo bhagavān rājagṛhe gṛdhrakūṭaparvate viharatisma | kimartha	tAdRSaH BagavAn rAja-gRhe gRDra-kUwaparvate viharatisma | kimarTa
   tannagaraṃ rājagṛhamiti cet | ucyate - tannagaraṃ pūrvaṃ kuśīnagaram	tat-nagaram rAjagRham-iti ced | ucyate  tat-nagaram pUrvam kuSInagaram
   ityākhyātam | yadā tannagare kupitairamānuṣaiḥ punaḥ punaragniḥ	iti-AKyAtam | yadA tad-nagare kupitEH-amAnuzEH punar punar-agniH
   kṣiptastadā rājāvagatya ādiśat, jñānino nāgarikāḥ | adya prabhṛti yasya	kziptaH-tadA rAjA-avagatya AdiSat, jQAninaH nAgarikAH | adya praBRti yasya
   gṛhaṃ prathamaṃ agninā dahyate, sa śītavanaṃ mahāśmaśānaṃ gatvā gṛhaṃ	gRham praTamam agninA dahyate, sa SItavanam mahA-SmaSAnam gatvA gRham
   nirmāya vased ityājñātavān | tataśca karmapratyayavaśena ādau rājaprāsādo	nirmAya vaset iti-AjQAtavAn | tatas-ca karma-pratyaya-vaSena AdO rAja-prAsAdaH-
   'gniṃ prāptaḥ | tato rājā amātyānāhūyādiśat - jñānina amātyāḥ jānantu	agnim prAptaH | tatas rAjA amAtyAn-AhUya-AdiSat  jQAninaH amAtyAH jAnantu
   evaṃ, mayaiva tannayaprajñāpāt mayaiva tadatikramo mayi na śobhate,	evaM, mayA-eva tat-naya-prajQApAt mayA-eva tad-atikramaH mayi na SoBate,
   anayatvāt | jñānino mantriṇaḥ | śītavane mahāśmaśānamadhye rājaprāsādo	anayatvAt | jQAninaH mantriNaH | SItavane mahA-aSmaSAna-maDye rAja-prAsAdaH-
   nirmīyatām (ahaṃ) tatra gatvā vatsyāmi | tato rājño vacanamātreṇa	nirmIyatAm (ahaM) tatra gatvA vatsyAmi | tatas rAjQaH vacana-mAtreNa
   sarvaistathā kṛtam |	sarvEH-taTA kRtam |
   tadā prathamaṃ rājā tatra gatvā uvāsa | tataḥ parairuṣitatvād rājagṛham	tadA praTamam rAjA tatra gatvA uvAsa | tatas parEH-uzita-tvAt rAjagRham
   iti nāmopacaritam | tatra rājagṛha-mahānagarasya pūrvottarasīmāyāṃ	iti nAma-upacaritam | tatra rAjagRha--mahA-nagarasya pUrva-uttara-sImAyAm
   gṛdhrakūṭanāmaka parvate 'sti | yasya parvatasya śikharo gṛdhraśirovat sa	gRDrakUwa-nAmaka parvate asti | yasya parvatasya SiKaraH gRDra-SiraH-vat sa
   gṛdhrakūṭaparvata ityucyate | athavā pāpena māreṇa gṛdhrākāramabhinirmāya	gRDra-kUwa-parvataH iti-ucyate | aTavA pApena mAreNa gRDra-AkAram-aBinirmAya
   bhagavaccīvaraharaṇārambhe bhagavato 'dhiṣṭhānenā - sāmarthyāt tatraiva	Bagavat-cIvara-haraNa-AramBe BagavataH aDizWAnenA  sAmarTyAt tatra-eva
   nikṣiptaṃ, taccīvaram adyāpi pāṣāṇībhūya catuṣpuṭitacīvaramiva avatiṣṭhate	nikziptan, tat-cIvaram adya-api pAzANIBUya catuzpuwita-cIvaram-iva avatizWate
   | tadupalakṣitaḥ parvato gṛdhrakūṭa ityucyate | muniḥ tadgṛdhrakūṭaparvate	| tad-upalakzitaH parvataH gRDrakUwaH iti-ucyate | muniH tad-gRDra-kUwaparvate
   viharatisma | kimekākī eva? ucyate | na, bhikṣūṇāṃ bodhisattvānāṃ saṃghaiḥ	viharatisma | kim-ekAkI eva? ucyate | na, BikzUNAm boDisattvAnAm saMGEH
   sārdhaṃ vyavasthitaḥ | bhikṣūṇāṃ arthāt bhikṣusārdhamardhatrayodaśabhiḥ	sArDam vyavasTitaH | BikzUNAm arTAt Bikzu-sArDam-arDa-trayodaSaBiH
   mahatā bhikṣusaṅghena bodhisattvānāṃ ca iti tu saṃbahulaiśca	mahatA Bikzu-saFGena boDisattvAnAm ca iti tu saMbahulEH-ca
   bodhisattva-mahāsattvaiḥ sārdham | vyavasthitastu	boDisattva--mahAsattvEH sArDam | vyavasTitaH-tu
   utthāna-saṃcakramaṇa-vyavasthiti-śayanādi-caturvidha-caryayā vyavasthitaḥ	utTAna--saMcakra-maNa--vyavasTiti--Sayana-Adi--caturviDa--caryayA vyavasTitaH
   | ko 'sā viti? muniḥ | munistu kāya-vāk-cittairmaunitvāt |	| kaH asA viti? muniH | muniH-tu kAya--vAk--cittEH-mOni-tvAt |
   kāya-vāk-cittāpravṛttermuniḥ | kutra na pravartate? tasmāduktam |	kAya-vAk--citta-apravRtteH-muniH | kutra na pravartate? tasmAt-uktam |
   kāya-vākcittaduścarite na pravartata ityartho darśitaḥ | atra maunitvān	kAya--vAc-citta-duScarite na pravartate iti-arTaH darSitaH | atra mOni-tvAn
   muniḥ | yuktārthārthāya daṇḍivaditi | api ca - kimarthaṃ	muniH | yukta-arTa-arTAya daNxi-vat-iti | api ca  kim-arTam
   sthāna-kāla-parivāra-nirdeśaḥ? ucyate - cakravartirājasādharmyāt |	sTAna--kAla--parivAra--nirdeSaH? ucyate  cakravarti-rAja-sADarmyAt |
   cakravartirājānām ācārastvevamākhyātaḥ -	cakravarti-rAjAnAm AcAraH-tu-evam-AKyAtaH -
   yadā brāhmaṇeṣu gṛhastheṣu ca anugrahādi kṛtaṃ tadā nivāsa-sthānaṃ	yadA brAhmaNezu gRhasTezu ca anugraha-Adi kRtam tadA nivAsa--sTAnam
   grāma-nagarādi, yatra sthitvā tatkāryaṃ, sthānaṃ nirucyate | kasmin	grAma-nagara-Adi, yatra sTitvA tad-kAryan, sTAnam nirucyate | kasmin
   sthāne? amuke | ādhipatyaṃ pradarśayituṃ amātyādibhiḥ sārdham iti| kālastu	sTAne? amuke | ADipatyam pradarSayitum amAtya-AdiBiH sArDam iti| kAlaH-tu
   pūrvāparāhṇakālaḥ | kāniti? brāhmaṇa-gṛhasthādīn | tasmāt bhagavato 'pi	pUrva-aparAhNa-kAlaH | kAniti? brAhmaNa-gRhasTa-AdIn | tasmAt BagavataH api
   anuttaradharmacakravartirājatvāt sthāna-kāla-pārivārādaya uktāḥ | kutreti?	anuttara-Darma-cakravarti-rAja-tvAt sTAna--kAla--pArivAra-AdayaH uktAH | kutra-iti?
   rājagṛhe | ekasmin samaye tu prātaḥ kāle | kaiścit sārdhamiti?	rAja-gRhe | ekasmin samaye tu prAtar kAle | kEScid sArDam-iti?
   sārdhatrayodaśaśataiḥ bhikṣubhiḥ bodhisattvaiśca |	sArDa-trayodaSa-SatEH BikzuBiH boDisattvEH-ca |
   kāniti bhikṣūn | kimuktamiti? śālistambakasūtram | punaścoktam -	kAniti BikzUn | kim-uktam-iti? SAli-stambaka-sUtram | punar-ca-uktam -
   kutra kaiścit samaṃ kvāpi kasmāt kasmai ca deśitam |	kutra kEScid samam kvApi kasmAt kasmE ca deSitam |
   upadiśya ca tānyante ānandapadamīritam |	upadiSya ca tAni-ante Ananda-padam-Iritam |
   śālistambaṃ vilokya ca ityādi | śālistambaṃ vilokya dṛṣṭvā ityarthaḥ |	SAli-stambam vilokya ca ityAdi | SAli-stambam vilokya dRzwvA iti-arTaH |
   hetupratyayasaṃbhūtam iti hetupratyayajanitam | tadutpādaka īśvarādiḥ ko	hetu-pratyaya-saMBUtam iti hetu-pratyaya-janitam | tad-utpAdakaH ISvara-AdiH ko
   'pi anyo nāstītyabhiprāyaḥ | api coktam -	api anyaH na-asti-iti-aBiprAyaH | api ca-uktam -
   bījāderatiriktaṃ hi nānyad heturitīryate |	bIja-AdeH-atiriktam hi na-anyat hetuH-iti-Iryate |
   pratyakṣādiviruddhatvād | bījādaṅkurādi janyate,	pratyakza-Adi-virudDa-tvAt | bIjAt-aFkura-Adi janyate,
   īśvara-pradhāna-svabhāva-kālādirna hetuḥ | pratyakṣānumānābhyām	ISvara--praDAna--svaBAva--kAla-AdiH-na hetuH | pratyakza-anumAnAByAm
   anupalabhyamānatvād ākāśotpalavat |	anupalaByamAna-tvAt AkASa-utpala-vat |
   hetupratyayajaṃ tadvad dvādaśāṅgakramodgatam |	hetu-pratyaya-jam tadvat dvAdaSa-aFga-krama-udgatam |
   pratītyamiti yaḥ paśyet | ityuktam |	pratItyam-iti yaH paSyet | iti-uktam |
   hetupratyayābhyāṃ janito dharmaḥ pratītyasamutpādaḥ, dvādaśāṅgaḥ	hetu-pratyayAByAm janitaH DarmaH pratItyasamutpAdaH, dvAdaSa-aFgaH
   bhikṣurbhikṣuṇī anyo vā yaḥ kaścit kṛtādikaṃ ahetu-pratikūlahetu-virahitaṃ	BikzuH-BikzuNI anyaH vA yaH kaScid kRta-Adikam ahetu--pratikUla-hetu-virahitam
