   (PSP_4:1)	(PSu _4:1)
   bhagavān āha: ghoṣodārānupalabdhitām upādāya.	BagavAn Aha: Goza udAra anupalabDi tAm upAdAya.
   subhūtir āha: pratibhāsapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: pratiBAsa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: bimbhapratibimbhānupalabdhitām upādāya.	BagavAn Aha: bimBa pratibimBa anupalabDi tAm upAdAya.
   subhūtir āha: marīcipāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: marIci pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: udakaskandhānupalabdhitām upādāya.	BagavAn Aha: udaka skanDa anupalabDi tAm upAdAya.
   subhūtir āha: māyāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: mAyA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: tannimittānupalabdhitām upādāya.	BagavAn Aha: tad nimitta anupalabDi tAm upAdAya.
   subhūtir āha: asaṃkleśapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asaMkleSa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: kleśasvabhāvānupalabdhitām upādāya.	BagavAn Aha: kleSa svaBAva anupalabDi tAm upAdAya.
   subhūtir āha: avyavadānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: avyavadAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: kliṣṭasattvānupalabdhitām upādāya.	BagavAn Aha: klizwa sattva anupalabDi tAm upAdAya.
   subhūtir āha: anupalepapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anupalepa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: ākāśānupalabdhitām upādāya.	BagavAn Aha: AkASa anupalabDi tAm upAdAya.
   subhūtir āha: aprapañcapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: aprapaQca pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvaprapañcasamudghātatām upādāya.	BagavAn Aha: sarva prapaQca samudGAta tAm upAdAya.
   subhūtir āha: amananāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: amananA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvamananāsamudghātatām upādāya.	BagavAn Aha: sarva mananA sam udGAta tAm upAdAya.
   (PSP_4:3)	(PSu _4:3)
   subhūtir āha: acalapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: acala pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: dharmadhātusthitiṃ subhūte upādāya. iti sarvajñatākārāḥ	BagavAn Aha: DarmaDAtu sTitim suBUte upAdAya. iti sarvajQa tA AkArAH
   subhūtir āha: virāgapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: virAga pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: virāgānupalabdhitām upādāya.	BagavAn Aha: virAga anupalabDi tAm upAdAya.
   subhūtir āha: asthānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asTAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāvikalpanatām upādāya.	BagavAn Aha: sarva Darma avikalpana tAm upAdAya.
   subhūtir āha: śāntapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: SAnta pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇām avitathatābhisaṃbodhanatām upādāya.	BagavAn Aha: sarva DarmANAm avitaTatA aBisaMboDana tAm upAdAya.
   subhūtir āha: arāgapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: arAga pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: rāgānupalabdhitām upādāya.	BagavAn Aha: rAga anupalabDi tAm upAdAya.
   subhūtir āha: adoṣapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: adoza pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: doṣāsadbhūtatām upādāya.	BagavAn Aha: doza asat BUta tAm upAdAya.
   subhūtir āha: amohapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: amoha pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: mohāndhakāravidhamanatām upādāya.	BagavAn Aha: moha anDakAra viDamana tAm upAdAya.
   subhūtir āha: niḥkleśapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: niHkleSa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: parikalpāsattām upādāya.	BagavAn Aha: parikalpa asattAm upAdAya.
   subhūtir āha: niḥsattvapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: niHsattva pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sattvānupalabdhitām upādāya.	BagavAn Aha: sattva anupalabDi tAm upAdAya.
   subhūtir āha: apramāṇapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: apramANa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāsamutthānatām upādāya.	BagavAn Aha: sarva Darma asamutTAna tAm upAdAya.
   subhūtir āha: antadvayānupagamapāramiteyaṃ bhagavan yad uta	suBUtiH Aha: anta dvaya anupagama pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: atyantānupalabdhitām upādāya.	BagavAn Aha: atyanta anupalabDi tAm upAdAya.
   subhūtir āha: asaṃbhinnapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asaMBinna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāsaṃbhedatām upādāya.	BagavAn Aha: sarva Darma asaMBeda tAm upAdAya.
   subhūtir āha: aparāmṛṣṭapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: aparAmRzwa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: śrāvakabhūmipratyekabuddhabhūmisamatikramatām upādāya.	BagavAn Aha: SrAvaka BUmi pratyekabudDa BUmi samatikramatAm upAdAya.
   (PSP_4:4)	(PSu _4:4)
   subhūtir āha: avikalpapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: avikalpa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: avikalpānupalabdhitām upādāya.	BagavAn Aha: avikalpa anupalabDi tAm upAdAya.
   subhūtir āha: aprameyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: aprameya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāpramāṇānupalabdhitām upādāya.	BagavAn Aha: sarva Darma apramANa anupalabDi tAm upAdAya.
   subhūtir āha: asaṅgapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asaFga pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇām ākāśasvabhāvasamatām upādāya.	BagavAn Aha: sarva DarmANAm AkASa svaBAva sama tAm upAdAya.
   subhūtir āha: anityapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anitya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇām avināśitām upādāya.	BagavAn Aha: sarva DarmANAm avinASitAm upAdAya.
   subhūtir āha: duṣkhapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: duzKa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmānadhyavasāyadharmayogatām upādāya.	BagavAn Aha: sarva Darma anaDyavasAya Darma yoga tAm upAdAya.
   subhūtir āha: śūnyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: SUnya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvaniḥphalārthatām upādāya.	BagavAn Aha: sarva niHPala arTa tAm upAdAya.
   subhūtir āha: anātmapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anAtma pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmānabhiveśatām upādāya.	BagavAn Aha: sarva DarmAn aBiveSa tAm upAdAya.
   subhūtir āha: alakṣaṇapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: alakzaNa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmānimittatām upādāya.	BagavAn Aha: sarva Darma animitta tAm upAdAya.
   subhūtir āha: adhyātmaśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: aDyAtma SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: adhyātmikadharmānupalabdhitām upādāya.	BagavAn Aha: aDyAtmika Darma anupalabDi tAm upAdAya.
   subhūtir āha: bahirdhāśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: bahirDA SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: bahirdhādharmānupalabdhitām upādāya.	BagavAn Aha: bahirDA Darma anupalabDi tAm upAdAya.
   subhūtir āha: adhyātmabahirdhāśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: aDyAtma bahirDA SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: adhyātmabahirdhādharmānupalabdhitām upādāya.	BagavAn Aha: aDyAtma bahirDA Darma anupalabDi tAm upAdAya.
   subhūtir āha: śūnyatāśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: SUnyatA SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: śūnyatāśūnyatānupalabdhitām upādāya.	BagavAn Aha: SUnyatA SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: mahāśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: mahA SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: mahāśūnyatānupalabdhitām upādāya.	BagavAn Aha: mahA SUnyatA anupalabDi tAm upAdAya.
   (PSP_4:5)	(PSu _4:5)
   subhūtir āha: paramārthaśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: parama arTa SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: paramārthaśūnyatānupalabdhitām upādāya.	BagavAn Aha: parama arTa SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: saṃskṛtaśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: saMskRta SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: saṃskṛtaśūnyatānupalabdhitām upādāya.	BagavAn Aha: saMskRta SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: asaṃskṛtaśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asaMskRta SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: asaṃskṛtaśūnyatānupalabdhitām upādāya.	BagavAn Aha: asaMskRta SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: atyantaśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: atyanta SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: atyantaśūnyatānupalabdhitām upādāya.	BagavAn Aha: atyanta SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: anavarāgraśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: anavara agra SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: anavarāgraśūnyatānupalabdhitām upādāya.	BagavAn Aha: anavara agra SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: anavakāraśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anavakAra SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: anavakāraśūnyatānupalabdhitām upādāya.	BagavAn Aha: anavakAra SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: prakṛtiśūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: prakRti SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: prakṛtiśūnyatānupalabdhitām upādāya.	BagavAn Aha: prakRti SUnyatA anupalabDi tAm upAdAya.
   subhūtir āha: sarvadharmaśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: sarva Darma SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: sarvadharmānupalabdhitām upādāya.	BagavAn Aha: sarva Darma anupalabDi tAm upAdAya.
   subhūtir āha: svalakṣaṇaśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: sva lakzaNa SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: svalakṣaṇaviviktatām upādāya.	BagavAn Aha: sva lakzaNa vivikta tAm upAdAya.
   subhūtir āha: anupalambhaśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: anupalamBa SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: triṣv adhvasu trayāṇām adhvanām anupalabdhitām upādāya.	BagavAn Aha: trizu aDvasu trayANAm aDvanAm anupalabDi tAm upAdAya.
   subhūtir āha: abhāvasvabhāvaśūnyatāpāramiteyaṃ bhagavan yad uta	suBUtiH Aha: aBAva svaBAva SUnyatA pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   (PSP_4:6)	(PSu _4:6)
   bhagavān āha: abhāvasvabhāvaśūnyatānupalabdhitām upādāya. iti	BagavAn Aha: aBAva svaBAva SUnyatA anupalabDi tAm upAdAya. iti
   mārgajñatākārāḥ	mArga jQa tA AkArAH
   subhūtir āha: smṛtyupasthānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: smRti upasTAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: kāyavedanācittadharmānupalabdhitām upādāya.	BagavAn Aha: kAya vedanA citta Darma anupalabDi tAm upAdAya.
   subhūtir āha: samyakprahāṇapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: samyak prahANa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: akuśalakuśaladharmānupalabdhitām upādāya.	BagavAn Aha: akuSala kuSala Darma anupalabDi tAm upAdAya.
   subhūtir āha: ṛddhipādapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: RdDi pAda pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: chandavīryacittamīmāṃsānupalabdhitām upādāya.	BagavAn Aha: Canda vIrya citta mImAMsa anupalabDi tAm upAdAya.
   subhūtir āha: indriyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: indriya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: śraddhādyanupalabdhitām upādāya.	BagavAn Aha: SradDA Adi anupalabDi tAm upAdAya.
   subhūtir āha: balapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: bala pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: pañcabalānupalabdhitām upādāya.	BagavAn Aha: paQca bala anupalabDi tAm upAdAya.
   subhūtir āha: bodhyaṅgapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: boDi aFga pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: saptabodhyaṅgānupalabdhitām upādāya.	BagavAn Aha: sapta boDi aFga anupalabDi tAm upAdAya.
   subhūtir āha: mārgapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: mArga pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: āryāṣṭāṅgamārgānupalabdhitām upādāya.	BagavAn Aha: Arya azwa aFga mArga anupalabDi tAm upAdAya.
   ity ākārāḥ sarvajñatāmārgādhiṣṭhānāḥ	iti AkArAH sarvajQa tA mArga aDizWAnAH
   subhūtir āha: śūnyatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: SUnyatA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: dṛṣṭikṛtānupalabdhitām upādāya.	BagavAn Aha: dRzwi kRta anupalabDi tAm upAdAya.
   subhūtir āha: ānimittapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: Animitta pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: vitarkānupalabdhitām upādāya.	BagavAn Aha: vitarka anupalabDi tAm upAdAya.
   subhūtir āha: apraṇihitapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: apraNihita pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: praṇidhāṇānupalabdhitām upādāya.	BagavAn Aha: praNiDANa anupalabDi tAm upAdAya.
   subhūtir āha: aṣṭavimokṣapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: azwa vimokza pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: aṣṭavimokṣānupalabdhitām upādāya.	BagavAn Aha: azwa vimokza anupalabDi tAm upAdAya.
   subhūtir āha: navānupūrvavihārasamāpattipāramiteyaṃ bhagavan yad uta	suBUtiH Aha: nava anupUrva vihAra samApatti pAramitA iyam Bagavan yat uta
   prajñāpāramitā.	prajQApAramitA.
   bhagavān āha: navānupūrvavihārasamāpattyanupalabdhitām upādāya.	BagavAn Aha: nava anupUrva vihAra samApatti anupalabDi tAm upAdAya.
   (PSP_4:7)	(PSu _4:7)
   subhūtir āha: catuḥsatyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: catur satya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: samudayanirodhānupalabdhitām upādāya.	BagavAn Aha: samudaya niroDa anupalabDi tAm upAdAya.
   subhūtir āha: dānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: dAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: mātsaryānupalabdhitām upādāya.	BagavAn Aha: mAtsarya anupalabDi tAm upAdAya.
   subhūtir āha: śīlapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: SIla pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: dauḥśīlyānupalabdhitām upādāya.	BagavAn Aha: dOHSIlya anupalabDi tAm upAdAya.
   subhūtir āha: kṣāntipāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: kzAnti pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: vyāpādānupalabdhitām upādāya.	BagavAn Aha: vyApAda anupalabDi tAm upAdAya.
   subhūtir āha: vīryapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: vIrya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: kauśīdyānupalabdhitām upādāya.	BagavAn Aha: kOSIdya anupalabDi tAm upAdAya.
   subhūtir āha: dhyānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: DyAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: vikṣepānupalabdhitām upādāya.	BagavAn Aha: vikzepa anupalabDi tAm upAdAya.
   subhūtir āha: prajñāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: prajQApAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: dauṣprajñānupalabdhitām upādāya.	BagavAn Aha: dOzprajQA anupalabDi tAm upAdAya.
   subhūtir āha: upāyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: upAya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: anupāyānupalabdhitām upādāya.	BagavAn Aha: anupAya anupalabDi tAm upAdAya.
   subhūtir āha: praṇidhānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: praNiDAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: apraṇidhānānupalabdhitām upādāya.	BagavAn Aha: apraNiDAna anupalabDi tAm upAdAya.
   subhūtir āha: balapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: bala pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: daurbalyānupalabdhitām upādāya.	BagavAn Aha: dOrbalya anupalabDi tAm upAdAya.
   subhūtir āha: jñānapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: jQAna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: ajñānānupalabdhitām upādāya.	BagavAn Aha: ajQAna anupalabDi tAm upAdAya.
   ity ākārā mārgajñatādhiṣṭhānāḥ	iti AkArAH mArga jQa tA aDizWAnAH
   subhūtir āha: daśabalapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: daSa bala pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmānupalabdhitām upādāya.	BagavAn Aha: sarva Darma anupalabDi tAm upAdAya.
   subhūtir āha: vaiśāradyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: vESAradya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: mārgajñatānavalīnatām upādāya.	BagavAn Aha: mArga jQa tAna valIna tAm upAdAya.
   subhūtir āha: pratisaṃvitpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: pratisaMvid pAramitA iyam Bagavan yat uta prajQApAramitA.
