   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   bhikṣubhikṣuṇyuyāsakopāsikā anusmaranti buddhamanusmaranti dharmaṃ	BikzuBi-kzuNyuyAsa-kopAsikAH anusmaranti budDam-anusmaranti Darmam
   punaranusmaranti yat tathāgatā bodhisattvamārgasamprasthānakāle dharma	punar-anusmaranti yat taTAgatAH boDisattva-mArga-samprasTAna-kAle Darma
   gaveṣayitumasaṃkhyeyakalpaṃ prayatnaduḥkhamudvahantītyevamanusmṛtyā	gavezayitum-asaMKyeya-kalpam prayatna-duHKam-udvahanti-iti-evam-anusmRtyA
   bodhisattvā nāmarthāya deśayanti dharma yāvadekāmapi gāthāṃ yena	boDisattvAH nAm-arTAya deSayanti Darma yAvat-ekAm-api gATAm yena
   dharmamimaṃ śrutvā bodhisattvā hitāṃ deśanāmabhinandattyavaropayanti	Darmam-imam SrutvA boDisattvAH hitAm deSanAm-aBinandatti-avaropayanti
   kuśalamūlānyācaranti buddhadharma prāpruvantyanuttarāṃ samyaksambodhim ||	kuSala-mUlAni-Acaranti budDa-Darma prApruvanti-anuttarAm samyaksamboDim ||
   3 | sattvānāmaprameyāṇāmanādijātimaraṇaduḥkhocchedāya bodhisattvā	3 | sattvAnAm-aprameyANAm-anAdi-jAti-maraNa-duHKa-ucCedAya boDisattvA
   mahasattvā abhilaṣantyaprameyāṇi kāyacittāni | ācaranti vīryam |	mahasattvAH aBilazanti-aprameyANi kAya-cittAni | Acaranti vIryam |
   gambhīramutpādayantimahāpraṇidhānaṃ | anutiṣṭhanti mahopāyam | utpādayanti	gamBIram-utpAdayanti-mahA-praNiDAnam | anutizWanti mahA-upAyam | utpAdayanti
   mahāmaitrī mahākarūṇām | gaveṣayanti mahāprajñāmadṭaṣṭoṣṇīṣalakṣaṇām ||	mahA-mEtrI mahA-karUNAm | gavezayanti mahA-prajQA-mad-wazwa-uzNIza-lakzaNAm ||
   4 | gaveṣayanta evaṃvidhānmahato buddhadharmān jñātavyaṃ yad dharmā	4 | gavezayantaH evaMviDAn-mahataH budDa-DarmAn jQAtavyam yat DarmA
   aprameyā aparyantāḥ | dharmāṇāmaprameyatvāttatpuṇyaphalavipāko	aprameyAH aparyantAH | DarmANAm-aprameya-tvAt-tad-puNya-Pala-vipAkaH-
   'pyaprameyaḥ | bhagavānavocat | bodhisattvāścedādivodhicittamutpādayanti	api-aprameyaH | BagavAn-avocat | boDisattvAH-ced-Adi-voDi-cittam-utpAdayanti
   teṣāṃ tasya durbalasyāpi kṣaṇasya puṇyaphalavipākaḥ	tezAm tasya durbalasya-api kzaNasya puNya-Pala-vipAkaH
   kalpakoṭiśatasahasrairapi vaktuṃ na pāryate kathaṃ	kalpa-kowi-Sata-sahasrEH-api vaktum na pAryate kaTam
   puarekadinamekamāsamekavarṣa yāvacchatavarṣaṃ samprasthitasya cittasya	puareka-dinam-ekam-Asam-ekavarza yAvat-Sata-varzam samprasTitasya cittasya
   puṇyaphalavipāko vaktuṃ pāryeta | tatkasya hetoḥ |	puNya-Pala-vipAkaH vaktum pAryeta | tat-kasya hetoH |
   sarvānsattvānsthāpayitumanutpādadharmakṣāntāvabhisaṃbodhayiumanuttarāṃ	sarvAn-sattvAn-sTApayitum-anutpAda-Darma-kzAntO=-aBisaMboDayium-anuttarAm
   samyaksambodhiḥ bodhisattvacaryāyā anantatvāt ||	samyaksamboDiH boDisattva-caryAyAH ananta-tvAt ||
   5 | buddhatmajā bodhisattvā ādibodhicittamutpādayanti | tathāhi |	5 | budDatma-jAH boDisattvAH Adi-boDi-cittam-utpAdayanti | taTA-hi |
   mahāsamudro yadādau samudeti jñātavyaḥ so 'dhamamadhyamottamamūlyānāṃ	mahA-samudraH yat-AdO samudeti jQAtavyaH saH aDama-maDyama-uttama-mUlyAnAm
   yāvadmulyānāṃ cintāmaṇiratnamuktāphalānāmākaro bhavati | eṣāṃ ratnānāṃ	yAvat-mulyAnAm cintAmaNi-ratna-muktAPalAnAm-AkaraH Bavati | ezAm ratnAnAm
   mahāsamudrādutpatteḥ | bodhisattvasya cittotpādā apyevam |	mahA-samudrAt-utpatteH | boDisattvasya citta-utpAdAH api-evam |
   yadādicittamutpadyate jñātavyaṃ taddevamanuṣyāṇāṃ	yat-Adi-cittam-utpadyate jQAtavyam tad-deva-manuzyANAm
   śrāvakapratyekabuddhabodhisattvānāṃ sarvakuśaladharmāṇāṃ dhyānasya	SrAvaka-pratyekabudDa-boDisattvAnAm sarva-kuSala-DarmANAm DyAnasya
   prajñāyāścotpatterākaraḥ ||	prajQAyAH-ca-utpatteH-AkaraH ||
   6 | punastathāhi | trisāhasramahāsāhasro lokadhāturyadā samudeti jñātavyaṃ	6 | punar-taTA-hi | tri-sAhasra-mahA-sAhasraH lokaDAtuH-yadA samudeti jQAtavyam
   tatra ye paṃcaviṃśatirbhavā steṣu yāvantaḥ sattvāḥ sarvānvahati	tatra ye paMcaviMSatiH-BavA stezu yAvantaH sattvAH sarvAn-vahati
   sarveṣāmāśrayo bhavatyāvāso bhavati | bodhisattvasya cittotpādā apyevam |	sarvezAm-ASrayaH Bavati-AvAsaH Bavati | boDisattvasya citta-utpAdAH api-evam |
   yadā tatsamudeti sarveṣāmāśrayo bhavatyaprameyāṇāṃ sattvānām | ṣaḍgatiṣu	yadA tat-samudeti sarvezAm-ASrayaH Bavati-aprameyANAm sattvAnAm | zaxgatizu
   caturyoniṣu ye samyagmithyādṭaṣṭayo 'bhyastakuśalābhyastākuśalā	catur-yonizu ye samyak-miTyAt-wazwayaH aByasta-kuSala-aByastA-kuSalA
   rakṣitaśuddhaśīlakṛtacaturgurupārājikāḥ satkṛtaratnatrayaninditasaddharmāḥ	rakzita-SudDa-SIla-kRta-caturguru-pArAjikAH satkRta-ratna-traya-nindita-sad-DarmAH
   samalāstairthikāḥ śramaṇabrāhmaṇāḥ kṣatriyabrāhmaṇavaiśyaśūdrāstān sarvān	sa-malAH-tErTikAH SramaNa-brAhmaNAH kzatriya-brAhmaNa-vESya-SUdrAH-tAn sarvAn
   vahati sarveṣāmāśrayo bhavatyāvāso bhavati ||	vahati sarvezAm-ASrayaH Bavati-AvAsaH Bavati ||
   7 | punarboddhisattvo maitrī karuṇāṃ ca puraskṛtya cittamutpādayāti |	7 | punar-bodDi-sattvaH mEtrI karuNAm ca puraskRtya cittam-utpAda-yAti |
   maitrī bodhisattvasyāparyantāprameyā tasmādaparyantaścittotpādaḥ	mEtrI boDisattvasya-aparyanta-aprameyA tasmAt-aparyantaH-citta-utpAdaH
   sattvadhātusamaḥ | tathāhi | ākāśena na kiñcidyadanāvṛtam | bodhisattvasya	sattva-DAtu-samaH | taTA-hi | AkASena na kiQcid-yat-anAvRtam | boDisattvasya
   cittotpādā apyevamaprameyā aparyantā akṣayāḥ | ākāśasvākṣayatvātsattvā	citta-utpAdAH api-evam-aprameyAH aparyantAH akzayAH | AkASa-sva-akzaya-tvAt-sattvA
   akṣayāḥ sattvānāmakṣayatvād bodhisattvasya cittotpādā api sattvadhātusamāḥ	akzayAH sattvAnAm-akzaya-tvAt boDisattvasya citta-utpAdAH api sattva-DAtu-samAH
   8 | sattvadhātornāsti paryanta iti buddhaśāsana manusṛtya saṃkṣepata	8 | sattva-DAtoH-na-asti paryante iti budDa-SAsana manusRtya saMkzepata
   ucyate | pūrvadikparyantaṃ santi koṭisahasragaṃgānadīvālukāsamā asaṃkhyeyā	ucyate | pUrva-diS-paryantam santi kowi-sahasra-gaMgA-nadI-vAlukA-samA asaMKyeyA
   buddhalokadhātavaḥ | evaṃ dakṣiṇapaścimottarāsu dikṣu caturṣu	budDa-loka-DAtavaH | evam dakziNa-paScima-uttarAsu dikzu caturzu
   vidikṣūrdhvamadha ekaikasyāṃ santi koṭisahasra gaṃgānadīvālukāsamā	vidikzu-UrDvam-aDas ekEkasyAm santi kowi-sahasra gaMgA-nadI-vAlukA-samA
   asaṃkhyeyā buddhalokadhātavaḥ | akhilāste cūrṇitā rajāṃsi bhaveyu rnemāni	asaMKyeyAH budDa-loka-DAtavaH | aKilAH-te cUrNitAH rajAMsi Baveyu rna-imAni
   rajāṃsi māṃsacakṣurgocarāṇi syuḥ | koṭiśatasahasra	rajAMsi mAMsa-cakzuH-gocarANi syuH | kowi-Sata-sahasra
   gaṃgānadīvālukāsameṣvasaṃkhyeyeṣu trisāhasramahāsāhasralokadhātuṣuyāvantaḥ	gaMgA-nadI-vAlukA-samezu-asaMKyeyezu tri-sAhasra-mahA-sAhasra-loka-DAtuzuyAvantaH
   sattvāḥ sarvete saṃgatā udgṛhṇīyurekaṃ rajaḥ | dviguṇitakoṭiśatasahasra	sattvAH sarvete saMgatAH udgRhNIyuH-ekam rajaH | dvi-guNita-kowi-Sata-sahasra
   gaṃgānadivālukāsameṣvasaṃkhyeyeṣu trisāhasramahāsāhasralokadhātuṣu	gaMgAnadi-vAlukA-samezu-asaMKyeyezu tri-sAhasra-mahA-sAhasra-lokaDAtuzu
   yāvantaḥ sattvā gṛhṇīyuste dve rajasī | evaṃ viparivartanamānā udgṛhṇanto	yAvantaH sattvAH gRhNIyuH-te dve rajasI | evam viparivartana-mAnAH udgRhNantaH-
   daśadikṣvekaikasyāṃ koṭisahasra gaṃgānadī bālukāsameṣva saṃkhyeyeṣu	daSa-dikzu-ekEkasyAm kowi-sahasra gaMgA-nadI bAlukA-samezva saMKyeyezu
   buddhalokadhātuṣu yāvatpṛthivībhṛtarajāṃsi paryantaṃ nayeyustathāpi na	budDa-lokaDAtuzu yAvat-pRTivIBRta-rajAMsi paryantam nayeyuH-taTA-api na
   paryantaḥ sattavadhātoḥ | tathāhi | kaścitpuruṣaḥ keśamikaṃ śatadhā	paryantaH sattava-DAtoH | taTA-hi | kaScid-puruzaH keSamikam SataDA
   vibhajyaikena bhāgena mahāsamudjalājjalalavaṃ gṛhṇāti | mayā sattvānāṃ	viBajya-ekena BAgena mahA-samudjalAt-jala-lavam gRhNAti | mayA sattvAnAm
   viṣaye bhāṣitaṃ tadevamalpaṃ yaścāpi na mayā bhāṣitaṃ tadyathā	vizaye BAzitam tat-evam-alpam yaH-ca-api na mayA BAzitam tat-yaTA
   mahāsamudrajalam | yadi nāma buddho 'prameyamaparyantamasaṃkhyeyaṃ	mahA-samudra-jalam | yadi nAma budDaH aprameyam-aparyantam-asaMKyeyam
   kalpamavadānaṃ vyākaroti tathāpi na paryantaḥ | bodhisattvasya cittotpādā	kalpam-avadAnam vyAkaroti taTA-api na paryantaH | boDisattvasya citta-utpAdA
   avṛṇvantyevaṃbhūtānapi sattvān| tatkathaṃ buddhaputrāḥ | syādbodhicittasya	avRNvanti-evaMBUtAn-api sattvAn| tat-kaTam budDa-putrAH | syAt-boDi-cittasya
   paryantaḥ ||	paryantaH ||
   9 | yadi bodhisattvā evaṃvidhaṃ bhāṣitaṃ śrutvā nottrasiṣyanti na	9 | yadi boDisattvAH evaMviDam BAzitam SrutvA na-uttrasizyanti na
   saṃtrasiṣyanti na saṃtrāsamāpatsyante na vinivartipyante na bilayaṃ	saMtrasizyanti na saMtrAsam-Apatsyante na vinivartipyante na bilayam
   gamiṣyanti jñātavyaṃ te dhruvamutpādayiṣyanti bodhicittamiti | yadi hi	gamizyanti jQAtavyam te Druvam-utpAdayizyanti boDi-cittam-iti | yadi hi
   sarve 'premayā buddhā aprameyamasaṃkhyeyaṃ kalpaṃ yāvadanuśaṃsanti	sarve apremayA budDAH aprameyam-asaMKyeyam kalpam yAvat-anuSaMsanti
   tadguṇān tathāpi na paryantaḥ | tatkasya hetoḥ |	tad-guNAn taTA-api na paryantaH | tat-kasya hetoH |
   bodhicittasyāparimitatvānna paryantaḥ | ityevamādīnaprameyāṃllābhān	boDi-cittasya-aparimita-tvAt-na paryantaH | iti-evamAdIn-aprameyAn=-lABAn
   vyākuryādyena sattvāḥ sssṛṇvantyācarantūtpāda yanti bodhicittam ||	vyAkuryAt-yena sattvAH sssRNvantyAcarantu-utpAda yanti boDi-cittam ||
   (iti bodhicittotpādasūtraśāstre 'vyeṣaṇotpādonāma prathamo vargaḥ ||)	(iti boDi-citta-utpAda-sUtra-SAstre avyezaNa-utpAdaH-nAma praTamaH vargaH ||)
   dvitīyo vargaḥ	dvitIyaH vargaH
   bodhicittotpādaḥ	boDi-citta-utpAdaH
   1 | bodhisattvaḥ kathaṃ bodhicittamutpādayati | kaiśca pratyayaiḥ bodhi	1 | boDisattvaH kaTam boDi-cittam-utpAdayati | kEH-ca pratyayEH boDi
   samudāgacchati | yadi bodhisattvaḥ paricinoti kalyāṇamitrāṇi | pūjayati	samudAgacCati | yadi boDisattvaH paricinoti kalyANa-mitrANi | pUjayati
   buddhān saṃgṛhṇāti kuśalamūlāni | gavepayati praṇītadharmān | bhavati	budDAn saMgRhNAti kuSala-mUlAni | gavepayati praNIta-DarmAn | Bavati
   nityaṃ suratacittaḥ | kṣamate duḥkhānyāpatitāni | bhavati maitraḥ kāruṇika	nityam surata-cittaH | kzamate duHKAni-ApatitAni | Bavati mEtraH kAruNika
   ṛjucittaḥ | bhavati samacittaśayaḥ | śraddhayābhinandati mahāyānam |	Rju-cittaH | Bavati sama-citta-SayaH | SradDayA-aBinandati mahAyAnam |
   gaveṣayati buddhaprajñām | yadi puruṣasya santime daśadharmā	gavezayati budDa-prajQAm | yadi puruzasya santime daSa-DarmA
   utpādayatyanuttarasamyaksamboddicittam ||	utpAdayati-anuttara-samyaksambA-uddi-cittam ||
   2 | punaścatvāraḥpratyayā yaiścittamutpādayati saṃgrahītumanuttarāṃ bodhim	2 | punar-catvAraH-pratyayAH yEH-cittam-utpAdayati saMgrahItum-anuttarAm boDim
   | katame catbāraḥ | anuvicintayanbuddhānbodhicittamutpādayatīti prathamaḥ	| katame catbAraH | anuvicintayan-budDAn-boDi-cittam-utpAdayati-iti praTamaH
   | pratyavekṣamāṇakāyasyādīnavān bodhicittamutpādayatīti dvitīyaḥ |	| pratyavekzamANa-kAyasya-AdInavAn boDi-cittam-utpAdayati-iti dvitIyaH |
   dayamānaḥ sattveṣu bodhicittamutpādayatīti tṛtīyaḥ | gaveṣayannuttamaṃ	dayamAnaH sattvezu boDi-cittam-utpAdayati-iti tRtIyaH | gavezayan=-uttamam
   phalaṃ bodhicittamutpādayatīi caturthaḥ ||	Palam boDi-cittam-utpAdayatIi caturTaH ||
   3 | buddhānuvicintanā punaḥ pañcaprakārā | anuvicintayati	3 | budDa-anuvicintanA punar paQca-prakArAH | anuvicintayati
   yaddaśadikṣvatītānāgatapratyutpannāḥ sarve buddhāścittotpādārambhe	yad-daSat-ikzu-atIta-anAgata-pratyutpannAH sarve budDAH-citta-utpAda-AramBe
   'dhunāhamivāsan kleśasvabhāvāante cābhavansamyaksambuddhā anuttarā	aDunA-aham-iva-Asan kleSa-svaBAva-aante ca-aBavan-samyaksambudDA anuttarA
   bhagavanta iti heto rbodhicittamutpādayāmīti prathamā | anuvicintayati yat	BagavantaH iti hetoH rboDi-cittam-utpAdayAmi-iti praTamA | anuvicintayati yat-
   sarve triṣvadhvasu buddhā mahotsāhamudapādayan pṛthakpṛthagvāptumanuttarāṃ	sarve trizu-aDvasu budDAH mahA-utsAham-udapAdayan pRTak-pRTak-vAptum-anuttarAm
   bodhim | yadi bodhiḥ prāptavyo dharmo mayāpi prāptavyetihetorutpādayāmi	boDim | yadi boDiH prAptavyaH DarmaH mayA-api prAptavyA-iti-hetoH-utpAdayAmi
   bodhicittamiti dvitīyā | anuvicintayati yatsarve triṣvadhvasu buddhā	boDi-cittam-iti dvitIyA | anuvicintayati yat-sarve trizu-aDvasu budDA
   udapādayanmahāprajñāṃ pratyatiṣṭhipannādyāvaraṇe varacittaṃ saṃcinvanto	udapAdayan-mahA-prajQAm pratyatizWipannAdya-AvaraNe vara-cittam saMcinvantaH-
   duṣkaracaryāmudadīdharannātmānamatyakramiṣustridhātum |	duzkara-caryAm-udadIDaran=-AtmAnam-atyakramizuH-triDAtum |
   ahamapyevamātmānamuddhareyamiti hetorutpādayāmi bodhicittamiti tṛtītā |	aham-api-evam-AtmAnam-udDarA-iyam-iti hetoH-utpAdayAmi boDi-cittam-iti tRtItA |
   anuvicintayati yatsarve triṣvadhvanu buddhā lokanāyakāḥ pāraṃgatā	anuvicintayati yat-sarve trizu-aDvanu budDAH loka-nAyakAH pAraMgatA
   jātijarāmaraṇakleśamahāsamudāt | ahamapi puruṣaḥ pāraṃ brajeyamiti	jAti-jarA-maraNa-kleSa-mahA-samudAt | aham-api puruzaH pAram brajeyam-iti
   hetoratpādayāmi bodhicittamiti caturthī | anuvicintayati yatsarve	hetoH-at-pAdayAmi boDi-cittam-iti caturTI | anuvicintayati yat-sarve
   tripvadhvasu buddhā udapādayanmahāvīryamudasṛjannātmabhāvaṃ jīvitaṃ	tripvaDvasu budDAH udapAdayat-mahA-vIryam-udasRjan=-Atma-BAvam jIvitam
   dhanāni cāmārgayansarvajñatām | ahamapi sāmpratamanusareyaṃ buddhāniti	DanAni ca-amArgayan-sarvajQa-tAm | aham-api sAmpratam-anusareyam budDAn-iti
   hetorutpādayāmi bodhicittamiti paṃcamī ||	hetoH-utpAdayAmi boDi-cittam-iti paMcamI ||
   4 | kāyasyādīnavapratyavekṣā bodhicittotpādāya punaḥ paṃcaprakārā |	4 | kAyasya-AdInava-pratyavekzA boDi-citta-utpAdAya punar paMca-prakArAH |
   ātmānaṃ pratyavekṣate yatkāye 'sminnubhaye pañcaskandhāścaturmahābhūtāni	AtmAnam pratyavekzate yat-kAye asmin=-uBaye paQca-skanDAH-catur-mahABUtAni
   kurvantyaprameyāṇyaśubhakarmāṇītikāmayate tatparityāgamiti prathamā |	kurvanti-aprameyANi-aSuBa-karmANi-itikAmayate tat-parityAgam-iti praTamA |
   ātmānaṃ pratyavekṣate yatkāye 'sminnavacchidrāṇi yebhyaḥ sravanti	AtmAnam pratyavekzate yat-kAye asmin=-avacCidrANi yeByaH sravanti
   durgandhimalāmedhyānīti kurute taṃ pratyanādaramitidvitīyā | ātmānaṃ	durganDi-mala-ameDyAni-iti kurute tam pratyanAdaram-iti-dvitIyA | AtmAnam
   pratyavekṣate yatkāye 'smillobhadveṣamohā aprameyāḥ kleśā nirdahanti	pratyavekzate yat-kAye asmil-loBa-dveza-mohAH aprameyAH kleSAH nirdahanti
   kuśalacittamiti kāmayate nirvāpayitumiti tṛtīyā | ātmānaṃ pratyavekṣate	kuSala-cittam-iti kAmayate nirvApayitum-iti tRtIyA | AtmAnam pratyavekzate
   yatkāyo 'yaṃ phenabudbudavatkṣaṇaṃkṣaṇamutpadyate nirudhyate tena dharmāḥ	yat-kAyaH ayam Pena-budbuda-vat-kzaNaMkzaNam-utpadyate niruDyate tena DarmAH
   prahātavyā iti kāmayate prahātumiti caturthī | ātmānaṃ pratyavekṣate	prahAtavyAH iti kAmayate prahAtum-iti caturTI | AtmAnam pratyavekzate
   yatkāyo 'yamavidyāvṛtatayā sarvadā karityaśubhakarmāṇi saṃsarati ṣaḍgatiṣu	yat-kAyaH ayam-avidyA-AvRta-tayA sarvadA kariti-aSuBa-karmANi saMsarati zaxgatizu
   na cāsya lābha iti paṃcamī |	na ca-asya lABaH iti paMcamI |
   5 | uttamaphalagaveṣaṇā bodhicittotpādāya punaḥ paṃcaprakārā | paśyati	5 | uttama-Pala-gavezaNA boDi-citta-utpAdAya punar paMca-prakArAH | paSyati
   tathāgatānāṃ bhāsvaranirmalāṃ sallakṣaṇānuvyañjananiṣpattiṃ yāṃ	taTAgatAnAm BAsvara-nirmalAm sat-lakzaNa-anuvyaQjana-nizpattim yAm
   saṃgacchataḥ kleśā vyapagatā bhavantīti saṃgṛhṇatīti prathamā | paśyati	saMgacCataH kleSAH vyapagatAH Bavanti-iti saMgRhNati-iti praTamA | paSyati
   tathāgatānāṃ dharmakāyaṃ nityamavasthitaṃ pariśuddhaṃ niṣkalaṃkamiti	taTAgatAnAm Darma-kAyam nityam-avasTitam pariSudDam nizkalaMkam-iti
   saṃgṛhṇatīti dvitīyā | paśyati tathāgatānāṃ	saMgRhNati-iti dvitIyA | paSyati taTAgatAnAm
   śīlasamādhiprajñāvimuktivimuktijñānadarśanapariśuddhadharmaskandhāmiti	SIla-samADi-prajQA-vimukti-vimukti-jQAna-darSana-pariSudDa-Darma-skanDAm-iti
   saṃgṛhṇatīti tṛtīyā | paśyati tathāgatānāṃ daśa balāni catvāri	saMgRhNati-iti tRtIyA | paSyati taTAgatAnAm daSa balAni catvAri
   vaiśaradyāni mahākaruṇāṃ trīṇi smṛtyupasthānānīti saṃgṛhṇatīti caturthī |	vESaradyAni mahA-karuNAm trINi smRti-upasTAnAni-iti saMgRhNati-iti caturTI |
   paśyati tathāgatānāṃ sarvajñatāṃ kṛpāṃ sattveṣu yanmaitrīkaruṇābhyāṃ	paSyati taTAgatAnAm sarvajQa-tAm kRpAm sattvezu yat-mEtrI-karuNAByAm
   samāvṛtya vibhrāntānnayati sarvānsanmārgamiti saṃgṛhṇatīti pañcamī ||	samAvRtya viBrAntAn-nayati sarvAn-sat-mArgam-iti saMgRhNati-iti paQcamI ||
   6 | kṛpā sattveṣu bodhicittotpādāya punaḥ pañcaprakārā | paśyati	6 | kRpA sattvezu boDi-citta-utpAdAya punar paQca-prakArAH | paSyati
   sattvānavidyayā vinibaddhāniti prathamā | paśyati	sattva-an-avidyayA vinibadDAn-iti praTamA | paSyati
   satvānnānāduḥkhaparyavasthitāniti dvitīyā | paśyati sattvansaṃgṛhṇato	satvAt-nAnA-duHKa-paryavasTitAn-iti dvitIyA | paSyati sattvan-saMgRhNataH-
   'kuśalakarmāṇīti tṛtīyā | paśyati sattvānkurvato gurutarāṇi duścaritānīti	akuSala-karmANi-iti tRtIyA | paSyati sattvAn-kurvataH gurutarANi duScaritAni-iti
   caturthī | paśyatisattvānanācarataḥ samyagdharmamiti pañcamī ||	caturTI | paSyati-sattva-AnanAcarataH samyak-Darmam-iti paQcamI ||
   7 | avidyābandhanaṃ punaścatuḥprakāram | paśyati	7 | avidyA-banDanam punar-catur-prakAram | paSyati
   sattvānmoharāgavibhrāntānvedayato mahākṛcchraduḥkhānīti prathamam |	sattvAt-moha-rAga-viBrAntAn-vedayataH mahAkRcCra-duHKAni-iti praTamam |
   paśyati sattvānaśraddadhānānhetuphalayoḥ kurvato 'śubhakarmāṇīti dvitīyam	paSyati sattvAn-aSraddaDAnAn-hetu-PalayoH kurvataH aSuBa-karmANi-iti dvitIyam
   | paśyati sattvānutsṛjataḥ samyagdharmaṃ śraddadhānān mṛṣāmārgamiti	| paSyati sattvAn-utsRjataH samyak-Darmam SraddaDAnAt mRzA-mArgam-iti
   tṛtīyam | paśyati sattvānkleśanadyāṃ majjataścatuḥpravāheṣūnmajjata iti	tRtIyam | paSyati sattvAn-kleSa-nadyAm majjataH-catur-pravAhezu-unmajjate iti
   caturtham ||	caturTam ||
   8 | nānāduḥkhaparyavasthānaṃ punaścatuḥprakāram | paśyati sattvānbibhyato	8 | nAnA-duHKa-paryavasTAnam punar-catur-prakAram | paSyati sattvAn-biByataH-
   jātijarāvyādhimaraṇebhyo vimokṣamagaveṣayataḥ karmāṇi punaḥ kurvata iti	jAti-jarA-vyADi-maraNeByaH vimokzam-aga-vezayataH karmANi punar kurvataH iti
   prathamam | paśyati	praTamam | paSyati
   sattvāñcchokaparidevadaurmanasyaduḥkhitānnityamaviśrāntakarmaṇa iti	sattvAQt-Soka-parideva-dOrmanasya-duHKitAn-nityam-aviSrAnta-karmaNaH iti
   dvitīyam | paśyati sattvānpriyaviyogaduḥkhamūḍhānupāyāsaktāniti tṛtīyam |	dvitIyam | paSyati sattvAn-priya-viyoga-duHKa-mUXa-anupAya-AsaktAn-iti tRtIyam |
   paśyati sattvānapriyasaṃyogaduḥkhitānnityamatikrāntabhederṣyānapi	paSyati sattvAnapriya-saMyoga-duHKitAn-nityam-atikrAnta-Beda-IrzyAn-api
   kṛtāpriyāniti caturtham ||	kRta-apriyAn-iti caturTam ||
