   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   atithir yasya bhagnāśo Vi_67.33a	atiTiH yasya Bagna-ASaH Vi_67.33a
   atithīṃś ca labhemahi Vi_73.30b	atiTIn ca laBemahi Vi_73.30b
   atipātakinas tv ete Vi_34.2a	atipAtakinaH tu ete Vi_34.2a
   atīndriya suduṣpāra Vi_1.51a	atIndriya su-duzpAraH Vi_1.51a
   ato na roditavyaṃ hi Vi_20.30c	atas na roditavyam hi Vi_20.30c
   atyantopahatāt tathā Vi_23.44b	atyanta-upahatAt taTA Vi_23.44b
   atyantopahatānāṃ ca Vi_23.42c	atyanta-upahatAnAm ca Vi_23.42c
   atraiva paśavo hiṃsyā Vi_51.64c	atra-eva paSavaH hiMsyAH Vi_51.64c
   atha putrasya pautreṇa Vi_15.46c	aTa putrasya pOtreNa Vi_15.46c
   adattvā yas tu etebhyaḥ Vi_67.40a	adattvA yaH tu eteByaH Vi_67.40a
   aduḥkhaṃ kurvann amṛtaṃ saṃprayacchan Vi_30.47b	aduHKam kurvan amRtam saMprayacCan Vi_30.47b
   adṛṣṭam adbhir nirṇiktaṃ Vi_23.47c	adRzwam adBiH nirNiktam Vi_23.47c
   adbhir gātrāṇi śudhyanti Vi_22.92a	adBiH gAtrANi SuDyanti Vi_22.92a
   adharmeṇa ca yaḥ prāha Vi_29.7a	aDarmeNa ca yaH prAha Vi_29.7a
   adhaḥśāyī jitendriyaḥ Vi_46.24d	aDas-SAyI jita-indriyaH Vi_46.24d
   adhodṛṣṭir naikṛtikaḥ Vi_93.9a	aDas-dRzwiH nEkRtikaH Vi_93.9a
   adhobhuvanavartinam Vi_1.37d	aDas-Buvana-vartinam Vi_1.37d
   adhyetavyaṃ dhāraṇīyaṃ Vi_100.3a	aDyetavyam DAraNIyam Vi_100.3a
   anabhyarcya pitṝn devān Vi_51.75c	anaByarcya pitLn devAn Vi_51.75c
   anabhyasūyā ca tathā Vi_2.17c	anaByasUyA ca taTA Vi_2.17c
   anavāptaṃ yad āpnuyāt Vi_18.43b	anavAptam yat ApnuyAt Vi_18.43b
   anashthnāṃ caiva hiṃsāyāṃ Vi_50.47c	anashTnAm ca-eva hiMsAyAm Vi_50.47c
   anāturaḥ saptarātram Vi_28.52c	anAturaH sapta-rAtram Vi_28.52c
   anādṛtyās tu yasyaite Vi_31.9c	anAdRtyAH tu yasya-ete Vi_31.9c
   anityaṃ hi sthito yasmāt Vi_67.34c	anityam hi sTitaH yasmAt Vi_67.34c
   anidhāyaiva tad dravyam Vi_23.55c	aniDAya-eva tat dravyam Vi_23.55c
   anirdeśyaparīmāṇam Vi_1.40a	anirdeSya-parImANam Vi_1.40a
   anirdeśyarddhisaṃyutam Vi_1.40b	anirdeSya-RdDi-saMyutam Vi_1.40b
   anuktaniṣkṛtīnāṃ tu Vi_54.34a	anukta-nizkRtInAm tu Vi_54.34a
   anupaghnan pitṛdravyaṃ Vi_18.42a	anupaGnan pitR-dravyam Vi_18.42a
   anupātakinas tv ete Vi_36.8a	anupAtakinaH tu ete Vi_36.8a
   anubhūya suduḥkhitāḥ Vi_43.45b	anuBUya su-duHKitAH Vi_43.45b
   anumantā viśasitā Vi_51.74a	anumantA viSasitAH Vi_51.74a
   anuvrajyābhivādya ca Vi_73.32d	anuvrajya-aBivAdya ca Vi_73.32d
   anekapitṛkāṇāṃ tu Vi_17.23a	aneka-pitRkANAm tu Vi_17.23a
   anena krīḍantīś carata priyeṇa Vi_86.16b	anena krIxantIH carata priyeNa Vi_86.16b
   anauraseṣu putreṣu Vi_22.43a	anOrasezu putrezu Vi_22.43a
   antarasthena hariṇā Vi_1.36c	antara-sTena hariNA Vi_1.36c
   antaś carasi sākṣivat Vi_11.11b	antar carasi sAkzi-vat Vi_11.11b
   antaś carasi sākṣivat Vi_12.7b	antar carasi sAkzi-vat Vi_12.7b
   andhakāreṣu tiṣṭhanti Vi_43.40a	anDakArezu tizWanti Vi_43.40a
   annaśaucaṃ paraṃ smṛtam Vi_22.89b	anna-SOcam param smRtam Vi_22.89b
   annaṃ ca no bahu bhaved Vi_73.30a	annam ca naH bahu Bavet Vi_73.30a
   annaṃ caiva yathāśaktyā Vi_67.45c	annam ca-eva yaTASaktyA Vi_67.45c
   annādyajānāṃ sattvānāṃ Vi_50.49a	annAdya-jAnAm sattvAnAm Vi_50.49a
   anyatra gatamānasam Vi_20.42b	anyatra gata-mAnasam Vi_20.42b
   anyathā vādino yasya Vi_8.39c	anyaTA vAdinaH yasya Vi_8.39c
   anyathā hy aviśuddhaḥ syād Vi_12.6c	anyaTA hi aviSudDaH syAt Vi_12.6c
   anvahaṃ cābhivādanam Vi_32.15b	anvaham ca-aBivAdanam Vi_32.15b
   aparādheṣu cānyesu Vi_5.195a	aparADezu ca-anyesu Vi_5.195a
   apahṛtya balān naraḥ Vi_44.44b	apahRtya balAt naraH Vi_44.44b
   apaḥ samuddharet sarvāḥ Vi_23.44c	apaH samudDaret sarvAH Vi_23.44c
   apātrīkaraṇaṃ kṛtvā Vi_40.2a	apAtrIkaraNam kRtvA Vi_40.2a
   api jāyeta so 'smākaṃ Vi_78.52a	api jAyeta saH asmAkam Vi_78.52a
   api jāyeta so 'smākaṃ Vi_85.70a	api jAyeta saH asmAkam Vi_85.70a
   api duṣkṛtakarmaṇaḥ Vi_57.11d	api duzkRta-karmaNaH Vi_57.11d
   api sa syāt kule 'smākaṃ Vi_83.21a	api sa syAt kule asmAkam Vi_83.21a
   apsu prāsya vinaṣṭāni Vi_27.29c	apsu prAsya vinazwAni Vi_27.29c
   abdena sa viśudhyati Vi_28.50d	abdena sa viSuDyati Vi_28.50d
   abmātreṇābhiṣiktasya Vi_64.41c	ap-mAtreNa-aBiziktasya Vi_64.41c
   abhicāram ahīnaṃ ca Vi_54.25c	aBicAram ahInam ca Vi_54.25c
   abhimantryāsya karayor Vi_11.10c	aBimantrya-asya karayoH Vi_11.10c
   amāvāsyāṃ na cāśnīyād Vi_61.17c	amAvAsyAm na ca-aSnIyAt Vi_61.17c
   amuktahastāsu sutānvitāsu Vi_99.21c	amukta-hastAsu suta-anvitAsu Vi_99.21c
   amṛtatvaṃ ca gacchati Vi_15.45b	amRta-tvam ca gacCati Vi_15.45b
   amedhyāni daśaitāni Vi_22.84a	ameDyAni daSa-etAni Vi_22.84a
   ayaskārasya dātavyaṃ Vi_86.18a	ayaskArasya dAtavyam Vi_86.18a
   ayājyayājanaṃ kṛtvā Vi_54.25a	ayAjya-yAjanam kRtvA Vi_54.25a
   ayājyasya ca yājanam Vi_48.22d	ayAjyasya ca yAjanam Vi_48.22d
   arciṣyan pitṛdevatāḥ Vi_57.13b	arcizyan pitR-devatAH Vi_57.13b
   arthe duṣparihārye 'smin Vi_20.29c	arTe duzparihArye asmin Vi_20.29c
   arthe 'viśeṣite tv eṣu Vi_6 42c	arTe aviSezite tu ezu Vi_6 42c
   ardhikaḥ kulamitraṃ ca Vi_57.16a	arDikaH kula-mitram ca Vi_57.16a
   arvāk sapiṇḍīkaraṇaṃ Vi_21.23a	arvAk sapiNxIkaraNam Vi_21.23a
   arvāk sapiṇdīkaraṇāt Vi_20.33a	arvAk sapiNdIkaraNAt Vi_20.33a
   alakṣmīṃ kālakarṇīṃ ca Vi_48.19c	alakzmIm kAlakarNIm ca Vi_48.19c
   alaksmīḥ kālakarṇī ca Vi_64.41a	alaksmIH kAlakarNI ca Vi_64.41a
   alaṃkāro dhṛto bhavet Vi_17.22b	alaMkAraH DRtaH Bavet Vi_17.22b
   aliṅgī liṅgiveṣeṇa Vi_93.13a	aliFgI liFgi-vezeNa Vi_93.13a
   alisaṃghālakāṃ śubhrāṃ Vi_1.22c	ali-saMGa-alakAm SuBrAm Vi_1.22c
   avakīrṇivrataṃ caret Vi_28.52d	avakIrNi-vratam caret Vi_28.52d
   avagūrya caret kṛcchram Vi_54.30a	avagUrya caret kRcCram Vi_54.30a
   avadhūtam avakṣutam Vi_23.38b	avaDUtam avakzutam Vi_23.38b
   avaśiṣṭaṃ tu daṃpatī Vi_67.41d	avaSizwam tu daMpatI Vi_67.41d
   avaśyam yāti tiryaktvaṃ Vi_44.44c	avaSyam yAti tiryaktvam Vi_44.44c
   avikāryo 'yam ucyate Vi_20.53b	avikAryaH ayam ucyate Vi_20.53b
   avikreyasya vikrayaiḥ Vi_58.10b	avikreyasya vikrayEH Vi_58.10b
   avijñātāṃ gatiṃ yāte Vi_1.19a	avijQAtAm gatim yAte Vi_1.19a
   avijñātāṃ tadā gatim Vi_1.18d	avijQAtAm tadA gatim Vi_1.18d
   avibhaktaṃ ca bhūtena Vi_97.19a	aviBaktam ca BUtena Vi_97.19a
   aviśeṣeṇa sarveṣāṃ Vi_58.9c	aviSezeNa sarvezAm Vi_58.9c
   avyaktanidhanāny eva Vi_20.48c	avyakta-niDanAni eva Vi_20.48c
   avyaktādīni bhūtāni Vi_20.48a	avyakta-AdIni BUtAni Vi_20.48a
   avyakto 'yam acintyo 'yam Vi_20.53a	avyaktaH ayam acintyaH ayam Vi_20.53a
   avyāptaṃ ced amedhyena Vi_23.43c	avyAptam ced ameDyena Vi_23.43c
   aśaktaṃ sarvabhṛc caiva Vi_97.17c	aSaktam sarva-BRt ca-eva Vi_97.17c
   aśītir yasya varṣāṇi Vi_54.33a	aSItiH yasya varzANi Vi_54.33a
   aśvamedhasahasraṃ ca Vi_8.36a	aSvameDa-sahasram ca Vi_8.36a
   aśvamedhasahasrād dhi Vi_8.36c	aSvameDa-sahasrAt Di Vi_8.36c
   aśvamedhena śuddhyeyur Vi_35.6a	aSvameDena SudDyeyuH Vi_35.6a
   aśvamedhena śudhyanti Vi_36.8c	aSvameDena SuDyanti Vi_36.8c
   aṣṭau grāsān vane vasan Vi_94.13b	azwO grAsAn vane vasan Vi_94.13b
   asamiddhya ca pāvakam Vi_28.52b	asamidDya ca pAvakam Vi_28.52b
   asaṃskṛtapramītānāṃ Vi_81.23a	asaMskRta-pramItAnAm Vi_81.23a
   asaṃskṛtān paśūn mantrair Vi_51.59a	asaMskRtAn paSUn mantrEH Vi_51.59a
   asāv aham iti bruvan Vi_32.14d	asO aham iti bruvan Vi_32.14d
   asūyakāyānṛjave 'yatāya na Vi_29.9c	asUyakAya-anRjave ayatAya na Vi_29.9c
   asthanvatāṃ tu sattvānāṃ Vi_50.46a	asTanvatAm tu sattvAnAm Vi_50.46a
   asyājñayā yaṃ manasā smarāmi Vi_99.8a	asya-AjQayA yam manasA smarAmi Vi_99.8a
   ahiṃsā guruśuśrūṣā Vi_2.16c	ahiMsA guru-SuSrUzA Vi_2.16c
   ahiṃsām eva tāṃ vidyād Vi_51.67c	ahiMsAm eva tAm vidyAt Vi_51.67c
   ahorātrekṣaṇo divyo Vi_1.4a	ahorAtra-IkzaNaH divyaH Vi_1.4a
   ākarāḥ sarva eva ca Vi_23.48d	AkarAH sarve eva ca Vi_23.48d
   ākramya sarvaṃ tu yathā trilokīṃ Vi_99.6a	Akramya sarvam tu yaTA trilokIm Vi_99.6a
   ākramya sarvaḥ kālena Vi_20.28a	Akramya sarvaH kAlena Vi_20.28a
   āgāminam anarthaṃ hi Vi_20.46a	AgAminam anarTam hi Vi_20.46a
   ā caturviṃśater viśaḥ Vi_27.26d	A caturviMSateH viSaH Vi_27.26d
   ācāntaḥ śucitām iyāt Vi_23.55d	AcAntaH Suci-tAm iyAt Vi_23.55d
   ācāraseviny atha śāstranitye Vi_99.18a	AcAra-sevini aTa SAstra-nitye Vi_99.18a
   ācārād īpsitāṃ gatim Vi_71.91b	AcArAt IpsitAm gatim Vi_71.91b
   ācārād dhanam akṣayyam Vi_71.91c	AcArAt Danam akzayyam Vi_71.91c
   ācārād dhanty alakṣaṇam Vi_71.91d	AcArAt Danti alakzaNam Vi_71.91d
   ācārāl labhate cāyur Vi_71.91a	AcArAt laBate ca-AyuH Vi_71.91a
   ācāryas tv asya yāṃ jātiṃ Vi_30.46a	AcAryaH tu asya yAm jAtim Vi_30.46a
   ācāryaṃ svam upādhyāyaṃ Vi_22.86a	AcAryam svam upADyAyam Vi_22.86a
   ājyanāsaḥ sruvatuṇḍaḥ Vi_1.4c	Ajya-nAsaH sruva-tuNxaH Vi_1.4c
   ātatāyinam āyāntaṃ Vi_5.190c	AtatAyinam AyAntam Vi_5.190c
   ātmano vṛttim anvicchan Vi_57.15c	AtmanaH vRttim anvicCan Vi_57.15c
   ātmānaṃ ca paśūṃś caiva Vi_51.65c	AtmAnam ca paSUn ca-eva Vi_51.65c
   ātharvaṇena hantāraṃ Vi_5.192c	ATarvaNena hantAram Vi_5.192c
   ādadīta yato jñānaṃ Vi_30.43c	AdadIta yatas jQAnam Vi_30.43c
   ādarśabimbe ca tathā sthitāham Vi_99.12d	AdarSa-bimbe ca taTA sTitA-aham Vi_99.12d
   ādidevo mahāyogī Vi_1.11c	AdidevaH mahA-yogI Vi_1.11c
   ādiṣṭī nodakaṃ kuryād Vi_22.87a	AdizwI na-udakam kuryAt Vi_22.87a
   ādyau tu vitathe dāpyāv Vi_6 41c	AdyO tu vitaTe dApyO Vi_6 41c
   ā dvāviṃśāt kṣatrabandhor Vi_27.26c	A dvAviMSAt kzatrabanDoH Vi_27.26c
   ānṛśaṃsyaṃ prayojayan Vi_67.37d	AnRSaMsyam prayojayan Vi_67.37d
   āpady api samācaret Vi_51.66d	Apadi api samAcaret Vi_51.66d
   āpūryamāṇam acalapratiṣṭhaṃ Vi_72.7a	ApUryamANam acala-pratizWam Vi_72.7a
   āpo vā amṛtaṃ yavāḥ Vi_48.18b	ApaH vE amRtam yavAH Vi_48.18b
   āpyāyana apāṃ sthāna Vi_1.56a	ApyAyana apAm sTAnaH Vi_1.56a
   āyasīṣu ca vaṭyante Vi_43.38c	AyasIzu ca vawyante Vi_43.38c
   āyuṣye karmaṇi kṣīṇe Vi_20.43c	Ayuzye karmaNi kzINe Vi_20.43c
   āyuḥ sā harate bhartur Vi_25.16c	AyuH sA harate BartuH Vi_25.16c
   ārjavaṃ lobhaśūnyatvaṃ Vi_2.17a	Arjavam loBa-SUnya-tvam Vi_2.17a
   āryāvartas tataḥ paraḥ Vi_84.4d	AryAvartaH tatas paraH Vi_84.4d
   ā vratasya samāpanāt Vi_22.87b	A vratasya samApanAt Vi_22.87b
   āśāsate kuḍumbibhyas Vi_59.28c	ASAsate kuxumbiByaH Vi_59.28c
   āśramācārasaṃyuktān Vi_1.62a	ASrama-AcAra-saMyuktAn Vi_1.62a
   āśramācārasaṃyuktān Vi_1.63c	ASrama-AcAra-saMyuktAn Vi_1.63c
   āśvāsanaṃ kuryur adīnasattvāḥ Vi_19.24b	ASvAsanam kuryuH adIna-sattvAH Vi_19.24b
   ā ṣoḍaśād brāhmaṇasya Vi_27.26a	A zoxaSAt brAhmaNasya Vi_27.26a
   āsūryaṃ tāṃs tu bhuṅkṣmahe Vi_80.14d	AsUryam tAn tu BuFkzmahe Vi_80.14d
   āhartā labhate tatra Vi_5.186c	AhartA laBate tatra Vi_5.186c
   āhur dharmārthahārakān Vi_5.193d	AhuH Darma-arTa-hArakAn Vi_5.193d
   āhūyābhyudyatāṃ bhikṣāṃ Vi_57.11a	AhUya-aByudyatAm BikzAm Vi_57.11a
   āhvayānam iva kṣitim Vi_1.35d	AhvayAnam iva kzitim Vi_1.35d
   itarasya sutā api Vi_6 41d	itarasya sutAH api Vi_6 41d
   itarān api sakhyādīn Vi_67.38a	itarAn api saKi-AdIn Vi_67.38a
   iti kṣetraṃ tathā jñānaṃ Vi_97.21a	iti kzetram taTA jQAnam Vi_97.21a
   ity evam uktā vasudhāṃ babhāṣe Vi_99.7a	iti evam uktA vasuDAm baBAze Vi_99.7a
   ity evam uktā saṃpūjya Vi_1.33a	iti evam uktA saMpUjya Vi_1.33a
   idaṃ pavitraṃ maṅgalyaṃ Vi_100.2a	idam pavitram maFgalyam Vi_100.2a
   idaṃ rahasyaṃ paramaṃ Vi_100.4c	idam rahasyam paramam Vi_100.4c
   idaṃ śarīraṃ vasudhe Vi_96.97a	idam SarIram vasuDe Vi_96.97a
   indranīlakaḍārāḍhyaṃ Vi_1.38a	indranIla-kaxAra-AXyam Vi_1.38a
   imaṃ lokaṃ mātṛbhaktyā Vi_31.10a	imam lokam mAtR-BaktyA Vi_31.10a
   ucchiṣṭaṃ bhāgadheyaṃ syād Vi_81.23c	ucCizwam BAgaDeyam syAt Vi_81.23c
   ucchiṣṭena tu saṃspṛṣṭo Vi_23.55a	ucCizwena tu saMspRzwaH Vi_23.55a
   ucchiṣṭopahataṃ ca yat Vi_48.20b	ucCizwa-upahatam ca yat Vi_48.20b
   uccheṣaṇaṃ bhūmigatam Vi_81.24a	ucCezaNam BUmi-gatam Vi_81.24a
   ucchvasan na sa jīvati Vi_59.25d	ucCvasan na sa jIvati Vi_59.25d
   ujjahāra vasuṃdharām Vi_1.2d	ujjahAra vasuMDarAm Vi_1.2d
   utkṛtyante tathā kvacit Vi_43.42d	utkRtyante taTA kvacid Vi_43.42d
   utkocaśulkasaṃprāptam Vi_58.10a	utkoca-Sulka-saMprAptam Vi_58.10a
   utpādakabrahmadātror Vi_30.44a	utpAdaka-brahma-dAtroH Vi_30.44a
   utpādayati sāvitryā Vi_30.46c	utpAdayati sAvitryAH Vi_30.46c
   utsṛṣṭo vṛṣabho yasmin Vi_86.19a	utsRzwaH vRzaBaH yasmin Vi_86.19a
   udgātrāntro homaliṅgo Vi_1.6a	udgAtR-AntraH homa-liFgaH Vi_1.6a
   uddeśatas te kathito Vi_5.194a	uddeSataH te kaTitaH Vi_5.194a
   uddhṛtā pṛthivī devī Vi_1.12c	udDRtA pRTivI devI Vi_1.12c
   uddhṛtāhaṃ tvayā deva Vi_1.45a	udDRtA-aham tvayA deva Vi_1.45a
   uddhṛtya niścale sthāne Vi_1.13a	udDRtya niScale sTAne Vi_1.13a
   udyatāsiviṣāgniṃ ca Vi_5.192a	udyata-asi-viza-agnim ca Vi_5.192a
   udvahanto dvijātayaḥ Vi_26.6b	udvahantaH dvijAtayaH Vi_26.6b
   unnidrakokanadacārukare vareṇye Vi_99.2a	unnidra-kokanada-cAru-kare vareNye Vi_99.2a
   unnidrakokanadanābhigṛhītapāde Vi_99.2b	unnidra-koka-nada-nABi-gRhIta-pAde Vi_99.2b
   unnidrakokanadamadhyasamānavarṇe Vi_99.2d	unnidra-kokanada-maDya-samAna-varNe Vi_99.2d
   unnidrakokanadasadmasadāsthitīte Vi_99.2c	unnidra-kokanada-sadma-sadA-sTiti-ite Vi_99.2c
   upapātakinas tv ete Vi_37.36a	upapAtakinaH tu ete Vi_37.36a
   upavāsavrataṃ caret Vi_25.16b	upavAsa-vratam caret Vi_25.16b
   upavītaṃ kamaṇḍalum Vi_27.29b	upavItam kamaNxalum Vi_27.29b
   upasthitaṃ gṛhe vindyād Vi_67.35c	upasTitam gRhe vindyAt Vi_67.35c
   upaspṛśaṃs triṣavaṇam Vi_28.50c	upaspRSan trizavaNam Vi_28.50c
   upākarmoṣṭharuciraḥ Vi_1.8c	upAkarma-uzWa-ruciraH Vi_1.8c
   upāṃśuḥ syāc chataguṇaḥ Vi_55.19c	upAMSuH syAt SataguNaH Vi_55.19c
   ubhayoḥ sapta dātavyā Vi_60.25c	uBayoH sapta dAtavyA Vi_60.25c
   ubhau tau narakaṃ yāto Vi_54.7c	uBO tO narakam yAtaH Vi_54.7c
   uvāca tāṃ varārohe Vi_1.30c	uvAca tAm varArohe Vi_1.30c
   uvāca saṃmukhaṃ devīṃ Vi_98.102c	uvAca saMmuKam devIm Vi_98.102c
   ūrdhvaṃ nābher yāni khāni Vi_23.51a	UrDvam nABeH yAni KAni Vi_23.51a
   ṛṇam asmin saṃnayaty Vi_15.45a	RNam asmin saMnayati Vi_15.45a
   ṛṇikas taṃ pratibhuve Vi_6 43c	RNikaH tam pratiBuve Vi_6 43c
   ṛtutrayam upāsyaiva Vi_24.40a	Rtu-trayam upAsya-eva Vi_24.40a
   ṛtutraye vyatīte tu Vi_24.40c	Rtu-traye vyatIte tu Vi_24.40c
   ṛṣayaḥ pitaro devā Vi_59.28a	RzayaH pitaraH devAH Vi_59.28a
   ṛṣir viprāṇāṃ mahiṣo mṛgāṇām Vi_48.6b	RziH viprANAm mahizaH mRgANAm Vi_48.6b
   ṛṣīṃś ca sapta dharmajñān Vi_1.16c	RzIn ca sapta Darma-jQAn Vi_1.16c
   ekarātraṃ hi nivasann Vi_67.34a	eka-rAtram hi nivasan Vi_67.34a
   ekavyūhaṃ caturbāhuṃ Vi_1.61a	eka-vyUham catur-bAhum Vi_1.61a
   ekākṣaraṃ paraṃ brahma Vi_55.17a	eka-akzaram param brahma Vi_55.17a
   ekāṅgasyāpi darśane Vi_12.6d	eka-aFgasya-api darSane Vi_12.6d
   ekārṇavagataḥ prabhuḥ Vi_1.10d	ekArNava-gataH praBuH Vi_1.10d
   ekārṇavajalabhraṣṭām Vi_1.10c	ekArNava-jala-BrazwAm Vi_1.10c
   ekā liṅge gude tisras Vi_60.25a	ekA liFge gude tisraH Vi_60.25a
   eko 'śnīyād yad utpannaṃ Vi_5.184a	ekaH aSnIyAt yat utpannam Vi_5.184a
   eta eva trayaḥ surāḥ Vi_31.7b	ete eva trayaH surAH Vi_31.7b
   eta eva trayo 'gnayaḥ Vi_31.7d	ete eva trayaH agnayaH Vi_31.7d
   eta eva trayo lokā Vi_31.7c	ete eva trayaH lokAH Vi_31.7c
   eta eva trayo vedā Vi_31.7a	ete eva trayaH vedAH Vi_31.7a
   etac chaucaṃ gṛhasthānāṃ Vi_60.26a	etat SOcam gRhasTAnAm Vi_60.26a
   etattrayavisaṃyuktaḥ Vi_55.14a	etat-traya-visaMyuktaH Vi_55.14a
   etad akṣaram etāṃ ca Vi_55.12a	etat akzaram etAm ca Vi_55.12a
   etad yo vetti taṃ prāhuḥ Vi_96.97c	etat yaH vetti tam prAhuH Vi_96.97c
   etan māṃsasya māṃsatvaṃ Vi_51.78c	etat mAMsasya mAMsa-tvam Vi_51.78c
   etasminn enasi prāpte Vi_28.49a	etasmin enasi prApte Vi_28.49a
   etaṃ yuvānaṃ patiṃ vo dadāmy Vi_86.16a	etam yuvAnam patim vaH dadAmi Vi_86.16a
   etāni gītāni punāti jantūn Vi_56.27c	etAni gItAni punAti jantUn Vi_56.27c
   etāni mānasthānāni Vi_32.16c	etAni mAna-sTAnAni Vi_32.16c
   etān vivarjayed yatnāc Vi_82.30c	etAn vivarjayet yatnAt Vi_82.30c
   etāvad eva kartavyaṃ Vi_20.37a	etAvat eva kartavyam Vi_20.37a
   etāṃs tu śrāddhakālān vai Vi_76.2a	etAn tu SrAdDa-kAlAn vE Vi_76.2a
   etāṃs tu śrāddhakālān vai Vi_77.7a	etAn tu SrAdDa-kAlAn vE Vi_77.7a
   ete śūdreṣu bhojyānnā Vi_57.16c	ete SUdrezu Bojya-annAH Vi_57.16c
   eteṣām eva jantūnāṃ Vi_44.45c	etezAm eva jantUnAm Vi_44.45c
   eteṣv api ca kāryeṣu Vi_57.14a	etezu api ca kAryezu Vi_57.14a
   enasvibhir nirṇiktair Vi_54.31a	enasviBiH nirNiktEH Vi_54.31a
   evam abhyarcya tu japet Vi_65.15a	evam aByarcya tu japet Vi_65.15a
   evam asmin nirālambe Vi_20.22a	evam asmin nirAlambe Vi_20.22a
   evam uktas tayā devyā Vi_1.46c	evam uktaH tayA devyAH Vi_1.46c
   evam uktas tu deveśaḥ Vi_1.62c	evam uktaH tu deveSaH Vi_1.62c
   evam uktā vasumatī Vi_1.48a	evam uktA vasumatI Vi_1.48a
   evaṃ karmaviśeṣeṇa Vi_45.32a	evam karma-viSezeNa Vi_45.32a
   evaṃ carati yo vipro Vi_28.47a	evam carati yaH vipraH Vi_28.47a
   evaṃ niḥsaṃśayaṃ jñānaṃ Vi_10.13c	evam niHsaMSayam jQAnam Vi_10.13c
   evaṃ pātakinaḥ pāpam Vi_43.45a	evam pAtakinaH pApam Vi_43.45a
   evaṃ yajñavarāheṇa Vi_1.12a	evam yajQavarAheNa Vi_1.12a
   evaṃ varāho bhagavān Vi_1.18a	evam varAhaH BagavAn Vi_1.18a
   evaṃvṛttasya nṛpateḥ Vi_3.97a	evaMvRttasya nRpateH Vi_3.97a
   evaṃ sā niścayaṃ kṛtvā Vi_1.21a	evam sA niScayam kRtvA Vi_1.21a
   evaṃ hi sākṣiṇaḥ pṛcched Vi_8.38a	evam hi sAkziNaH pRcCet Vi_8.38a
   eṣa śaucasya te proktaḥ Vi_22.93a	eza SOcasya te proktaH Vi_22.93a
   eṣṭavyā bahavaḥ putrā Vi_85.71a	ezwavyAH bahavaH putrAH Vi_85.71a
   aiśānyāṃ kārayed diśi Vi_86.17b	ESAnyAm kArayet diSi Vi_86.17b
   oṣadhyaḥ paśavo vṛkṣās Vi_51.63a	ozaDyaH paSavaH vRkzAH Vi_51.63a
   oṃkārapūrvikās tisro Vi_55.15a	oMkAra-pUrvikAH tisraH Vi_55.15a
   kaṇṭeṣu dattapādāś ca Vi_43.43a	kaNwezu datta-pAdAH ca Vi_43.43a
   kathitaṃ ca dhare tava Vi_100.4d	kaTitam ca Dare tava Vi_100.4d
   kathitāḥ paṅktidūṣakāḥ Vi_82.30b	kaTitAH paFkti-dUzakAH Vi_82.30b
   kanīnyagrasamasthaulyaṃ Vi_61.16a	kanInI-agra-sama-sTOlyam Vi_61.16a
