   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   udriktaṃ kāryaṃ vartamānakāle 'pi pūrṇameva paramārthavastubhūtaṃ	udriktam kAryam vartamAna-kAle api pUrNam-eva parama-arTa-vastu-BUtam
   dvaitarūpeṇa /	dvEta-rUpeNa /
   punaḥ pralayakāle pūrṇasya kāryasya pūrṇatāmādāyā'tmani dhitvā	punar pralaya-kAle pUrNasya kAryasya pUrNa-tAm-AdAyA-atmani DitvA
   pūrṇamevāvaśiṣyate kāraṇarūpam /	pUrNam-eva-avaSizyate kAraNa-rUpam /
   evamutpattisthitipralayeṣu triṣvapi kāleṣu kāryakāraṇayoḥ pūrṇataiva /	evam-utpatti-sTiti-pralayezu trizu-api kAlezu kArya-kAraNayoH pUrNa-tA-eva /
   sā caikaiva pūrṇatā kāryakāraṇayorbhedena vyapadiśyate /	sA ca-ekA-eva pUrNa-tA kArya-kAraNayoH-Bedena vyapadiSyate /
   evaṃ ca dvaitādvaitātmakamekaṃ brahma /	evam ca dvEtAdvEta-Atmakam-ekam brahma /
   yathā kila samudro jalataraṅgaphenabudbudādyātmaka eva /	yaTA kila samudraH jala-taraFga-Pena-budbuda-Adi-AtmakaH eva /
   yathā ca jalaṃ satyaṃ tadudbhavāśca taraṅgaphelabudbudādayaḥ	yaTA ca jalam satyam tad-udBavAH-ca taraFga-Pela-budbuda-AdayaH
   samudrātmabhūtā evā'virbhāvatirobhāvadharmiṇaḥ paramārthasatyā eva /	samudra-Atma-BUtAH evA-avirBAva-tiroBAva-DarmiNaH parama-arTa-satyAH eva /
   evaṃ sarvamidaṃ dvaitaṃ paramārthasatyameva jalataraṅgādisthānīyaṃ	evam sarvam-idam dvEtam parama-arTa-satyam-eva jala-taraFga-Adi-sTAnIyam
   samudrajalasthānīyaṃ tu paraṃ brahma /	samudra-jala-sTAnIyam tu param brahma /
   evaṃ ca kila dvaitasya satyatve karmakāṇḍasya prāmāṇyaṃ yadā punardvaitaṃ	evam ca kila dvEtasya satya-tve karma-kANxasya prAmANyam yadA punar-dvEtam
   dvaitamivāvidyākṛtaṃ mṛgatṛṣṇikāvadanṛtamadvaitameva paramārthatastadā	dvEtam-iva-avidyA-kRtam mRgatRzNikA-vat-anRtam-advEtam-eva paramArTataH-tadA
   kila karmakāṇḍaṃ viṣayābhāvādapramāṇaṃ bhavati /	kila karma-kANxam vizaya-aBAvAt-apramANam Bavati /
   tathā ca virodha eva syāt /	taTA ca viroDaH eva syAt /
   vedaikadeśabhūtopaniṣatpramāṇaṃ	veda-eka-deSa-BUta-upanizad-pramANam
   paramārthādvaitavastupratipādakatvādapramāṇaṃ	parama-arTa-advEta-vastu-pratipAdaka-tvAt-apramANam
   karmakāṇḍamasaddvaitaviṣayatvāt /	karma-kANxam-asat-dvEta-vizaya-tvAt /
   tadvirodhaparijihīrṣayā śrutyaitaduktaṃ kāryakāraṇayoḥ satyatvaṃ	tad-viroDa-parijihIrzayA SrutyA-etat-uktam kArya-kAraNayoH satya-tvam
   samudravatpūrṇamada ityādineti /	samudra-vat-pUrNa-madaH ityAdinA-iti /
   tadasat /	tat-asat /
   viśiṣṭaviṣayāpavādavikalpayorasambhavāt /	viSizwa-vizaya-apavAda-vikalpayoH-asamBavAt /
   na hīyaṃ suvivakṣitā kalpanā /	na hi-iyam su-vivakzitA kalpanA /
   kasmāt /	kasmAt /
   yathā kriyāviṣaya utsargaprāptasyaikadeśe 'pavādaḥ kriyate /	yaTA kriyA-vizayaH utsarga-prAptasya-eka-deSe apavAdaH kriyate /
   yathāhiṃsansarvabhūtānyanyatra tīrthebhya iti hiṃsā	yaTA-ahiMsan-sarva-BUtAni-anyatra tIrTeByaH iti hiMsA
   sarvabhūtaviṣayotsargeṇa nivāritā tīrthe viśiṣṭaviṣaye	sarva-BUta-vizaya-utsargeNa nivAritA tIrTe viSizwa-vizaye
   jyotiṣṭomādāvanujñāyate /	jyotizwoma-AdO=-anujQAyate /
   na ca tathā vastuviṣaya ihādvaitaṃ brahmotsargeṇa pratipādya	na ca taTA vastu-vizayaH iha-advEtam brahma-utsargeNa pratipAdya
   punastadekadeśe 'pavadituṃ śakyate /	punar-tat-eka-deSe apavaditum Sakyate /
   brahmaṇo 'dvaitatvādevaikadeśānupapatteḥ /	brahmaNaH advEta-tvAt-eva-eka-deSa-anupapatteH /
   tathā vikalpānupapatteśca /	taTA vikalpa-anupapatteH-ca /
   yathātirātre ṣoḍaśinaṃ gṛhṇāti nātirātre ṣoḍaśinaṃ gṛhṇātīti	yaTA-atirAtre zoxaSinam gRhNAti na-atirAtre zoxaSinam gRhNAti-iti
   grahaṇāgrahaṇayoḥ puruṣādhīnatvādvikalpo bhavati /	grahaNa-agrahaNayoH puruza-aDIna-tvAt-vikalpaH Bavati /
   na tviha tathā vastuviṣaye dvaitaṃ vā syādadvaitaṃ veti vikalpaḥ	na tu-iha taTA vastu-vizaye dvEtam vA syAt-advEtam vA-iti vikalpaH
   sambhavatyapuruṣatantratvādātmavastunaḥ /	samBavati-apuruza-tantra-tvAt-Atma-vastunaH /
   virodhācca dvaitādvaitatvayorekasya /	viroDAt-ca dvEtAdvEta-tvayoH-ekasya /
   tasmānna suvivakṣiteyaṃ kalpanā /	tasmAt-na su-vivakzitA-iyam kalpanA /
   śrutinyāyavirodhācca /	Sruti-nyAya-viroDAt-ca /
   saindhavaghanavatprajñānaikarasaghanaṃ nirantaraṃ	sEnDava-Gana-vat-prajQAna-eka-rasa-Ganam nirantaram
   pūrvāparabāhyābhyantarabhedavivarjitaṃ sabāhyābhyantaramajaṃ neti	pUrva-apara-bAhya-aByantara-Beda-vivarjitam sa-bAhya-aByantaram-ajam na-iti
   netyasthūlamanaṇvajamajaramabhayamamṛtamityevamādyāḥ śrutayo niścitārthāḥ	na-iti-asTUla-manaNva-jam-ajaram-aBayam-amRtam-iti-evamAdyAH SrutayaH niScita-arTAH
   saṃśayaviparyāsāśaṅkārahitāḥ sarvāḥ samudre prakṣiptāḥ syurakiñcitkaratvāt	saMSaya-viparyAsa-ASaFkA-rahitAH sarvAH samudre prakziptAH syuH-akiQcitkara-tvAt-
   tathā nyāyavirodho 'pi sāvayavasyānekātmakasya kriyāvato	taTA nyAya-viroDaH api sAvayavasya-aneka-Atmakasya kriyAvataH-
   nityatvānupapatteḥ /	nitya-tva-anupapatteH /
   nityatvaṃ cā'tmanaḥ smṛtyādidarśanādanumīyate /	nitya-tvam cA-atmanaH smRti-Adi-darSanAt-anumIyate /
   tadvirodhaśca prāpnotyanityatve /	tad-viroDaH-ca prApnoti-anitya-tve /
   bhavatkalpanānarthakyaṃ ca /	Bavat-kalpanA-narTakyam ca /
   sphuṭameva cāsminpakṣe karmakāṇḍānarthakyam /	sPuwam-eva ca-asmin-pakze karma-kANxa-AnarTakyam /
   akṛtābhyāgamakṛtavipraṇāśaprasaṅgāt /	akRta-aByAgama-kRta-vipraNASa-prasaFgAt /
   nanu brahmaṇo dvaitādvaitātmakatve samudrādidṛṣṭāntā vidyante kathamucyate	nanu brahmaNaH dvEtAdvEta-Atmaka-tve samudra-Adi-dRzwAntAH vidyante kaTam-ucyate
   bhavataikasya dvaitādvaitatvaṃ viruddhamiti /	BavatA-ekasya dvEta-advEta-tvam virudDam-iti /
   na /	na /
   anyaviṣayatvāt /	anya-vizaya-tvAt /
   nityāniravayavavastuviṣayaṃ hi viruddhatvamavocāma dvaitādvaitatvasya na	nitya-aniravayava-vastu-vizayam hi virudDa-tvam-avocAma dvEta-advEta-tvasya na
   kāryaviṣaye sāvayave /	kArya-vizaye sa-avayave /
   tasmācchrutismatinyāyavirodhādanupapanneyaṃ kalpanā /	tasmAt-Sruti-smati-nyAya-viroDAt-anupapanneyam kalpanA /
   asyāḥ kalpanāyā varamupaniṣatparityāga eva /	asyAH kalpanAyAH varam-upanizad-parityAgaH eva /
   adhyeyatvācca na sāstrārtheyaṃ kalpanā /	aDyeya-tvAt-ca na sa-astra-arTeyam kalpanA /
   na hi jananamaraṇādyanarthaśatasahasrabhedasamākulaṃ	na hi janana-maraNa-Adi-anarTa-Sata-sahasra-Beda-samAkulam
   samudravanādivatsāvayavamanekarasaṃ brahma dhyeyatvena vijñeyatvena vā	samudra-vana-Adi-vat-sAvayavam-aneka-rasam brahma Dyeya-tvena vijQeya-tvena vA
   śrutyopadiśyate /	SrutyA-upadiSyate /
   prajñānaghanatāṃ copadiśati /	prajQAna-Gana-tAm ca-upadiSati /
   ekadhaivānudraṣṭavyamiti ca /	ekaDA-eva-anudrazwavyam-iti ca /
   anekadhādarśanāpavādācca"mṛtyoḥ sa mṛtyumāpnoti ya iha nāneva paśyati"iti	anekaDA-darSana-apavAdAt-ca"mRtyoH sa mRtyum-Apnoti yaH iha nAnA-iva paSyati"-iti
   yacca śrutyā ninditaṃ tanna kartavyam /	yat-ca SrutyA ninditam tat-na kartavyam /
   yacca na kriyate na sa śāsrārthaḥ /	yat-ca na kriyate na sa SAsra-arTaH /
   brahmaṇo 'nekarasatvamanekadhātvaṃ ca dvaitarūpaṃ ninditatvānna draṣṭavyam	brahmaNaH aneka-rasa-tvam-aneka-DAtvam ca dvEta-rUpam nindita-tvAt-na drazwavyam
   ato na śāsrārthaḥ /	atas na SAsra-arTaH /
   yattvekarasatvaṃ brahmaṇastaddraṣṭavyatvātpraśastaṃ praśastatvācca	yat-tu-eka-rasa-tvam brahmaNaH-tad-drazwavya-tvAt-praSastam praSasta-tvAt-ca
   śāstrārtho bhavitumarhati /	SAstra-arTaH Bavitum-arhati /
   yattūktaṃ vedaikadeśasyāprāmāṇyaṃ karmaviṣaye dvaitābhāvādadvaite ca	yat-tu-uktam veda-eka-deSasya-aprAmANyam karma-vizaye dvEta-aBAvAt-advEte ca
   prāmāṇyamiti /	prAmANyam-iti /
   tanna /	tat-na /
   yathāprāptopadeśārthatvāt /	yaTA-prApta-upadeSa-arTa-tvAt /
   na hi dvaitamadvaitaṃ vā vastu jātamātrameva puruṣaṃ jñāpayitvā	na hi dvEtam-advEtam vA vastu jAta-mAtram-eva puruzam jQApayitvA
   paścātkarma vā brahmavidyāṃ vopadiśati śāsram /	paScAt-karma vA brahma-vidyAm vA-upadiSati SAsram /
   na copadeśārhaṃ dvaitaṃ jātamātraprāṇibuddhigamyatvāt /	na ca-upadeSa-arham dvEtam jAta-mAtra-prANi-budDi-gamya-tvAt /
   na ca dvaitasyānṛtatvabuddhiḥ prathamameva kasyācitsyāt /	na ca dvEtasya-anRta-tva-budDiH praTamam-eva kasya-acid-syAt /
   yena dvaitasya satyatvamupadiśya paścādātmanaḥ prāmāṇyaṃ	yena dvEtasya satya-tvam-upadiSya paScAt-AtmanaH prAmANyam
   pratipādayecchāsram /	pratipAdayet-SAsram /
   nāpi pāṣaṇḍibhirapi prasthāpitāḥ śāsrasya prāmāṇyaṃ na gṛhṇīyuḥ /	na-api pAzaNxiBiH-api prasTApitAH SAsrasya prAmANyam na gRhNIyuH /
   tasmādyathāprāptameva dvaitamavidyākṛtaṃ svābhāvikamupādāya	tasmAt-yaTAprAptam-eva dvEtam-avidyA-kRtam svABAvikam-upAdAya
   svābhāvikyaivāvidyayā yuktāya rāgadveṣādidoṣavate	svABAvikyA-eva-avidyayA yuktAya rAga-dveza-Adi-dozavate
   yathābhimatapuruṣārthasādhanaṃ karmopadiśatyagre	yaTA-aBimata-puruza-arTa-sADanam karma-upadiSati-agre
   paścātprasiddhakriyākārakaphalasvarūpadoṣadarśanavate	paScAt-prasidDa-kriyA-kAraka-Pala-svarUpa-doza-darSanavate
   tadbiparītaudāsīnyasvarūpāvasthānaphalārthine	tad-biparIta-OdAsInya-svarUpa-avasTAna-Pala-arTine
   tadupāyabhūtāmātmaikatvadarśanātmikāṃ brahmavidyāmupadiśati /	tad-upAya-BUtAm-AtmA-ekatva-darSana-AtmikAm brahma-vidyAm-upadiSati /
   athaivaṃ sati tadaudāsīnyasvarūpāvasthāne phale prāpte śāsrasya prāmāṇyaṃ	aTa-evam sati tad-OdAsIni-a-svarUpa-avasTAne Pale prApte SAsrasya prAmANyam
   pratyarthitvaṃ nivartate /	pratyarTi-tvam nivartate /
   tadabhāvācchāsrasyāpi śāsratvaṃ taṃ prati nivartata eva /	tad-aBAvAt-SAsrasya-api SAsra-tvam tam prati nivartate eva /
   tathā pratipuruṣaṃ parisamāptaṃ śāsramiti na śāsravirodhagandho 'pyasti /	taTA prati-puruzam parisamAptam SAsram-iti na SAsra-viroDa-ganDaH api-asti /
   advaitajñānāvasānatvācchāsraśiṣyaśāsanādidvaitabhedasya /	advEta-jQAna-avasAna-tvAt-SAsra-Sizya-SAsana-Adi-dvEta-Bedasya /
   anyatamāvasthāne hi virodhaḥ syādavasthitasyetaretarāpekṣatvāttu	anyatama-avasTAne hi viroDaH syAt-avasTitasya-itara-itara-apekza-tvAt-tu
   śāsraśiṣyaśāsanānāṃ nānyatamo 'pyavatiṣṭhate /	SAsra-Sizya-SAsanAnAm na-anyatamaH api-avatizWate /
   sarvasamāptau tu kasya viredha āśaṅkyetādvaite kevale śive siddhe /	sarva-samAptO tu kasya vireDaH ASaFkyeta-advEte kevale Sive sidDe /
   nāpyavirodhatāta eva /	na-api-aviroDa-tAtaH eva /
   athāpyabhyupagamya brūmaḥ-dvaitādvaitātmakatve 'pi śāsravirodhasya	aTa-api-aByupagamya brUmaH--dvEtAdvEta-Atmaka-tve api SAsra-viroDasya
   tulyatvāt /	tulya-tvAt /
   yadāpi samudrādivaddvaitātmakamekameva brahma nānyadastīti virudhyate /	yadA-api samudra-Adi-vat-dvEta-Atmakam-ekam-eva brahma na-anyat-asti-iti viruDyate /
   yasmindvaitaviṣaye 'nyonyopadeśaḥ so 'nyo dvaitaṃ cānyadeveti	yasmin-dvEta-vizaye anyonya-upadeSaH saH anyaH dvEtam ca-anyat-eva-iti
   samudradṛṣṭānto viruddhaḥ /	samudra-dRzwAntaH virudDaH /
   na ca samudrodakaikatvavadvijñānaikatve brahmaṇo	na ca samudra-udaka-ekatva-vat-vijQAna-eka-tve brahmaNaH-
   'nyatropadeśagrahaṇādikalpanā sambhavati /	anyatra-upadeSa-grahaNa-Adi-kalpanA samBavati /
   na hi hastādidvaitādvaitātmake devadatte	na hi hasta-Adi-dvEtAdvEta-Atmake devadatte
   vākkarṇayordevadattaikadeśabhūtayorvāgupadeṣṭrī karṇaḥ kevala upadeśasya	vAkkarNayoH-devadatta-eka-deSa-BUtayoH-vAc-upadezwrI karNaH kevalaH upadeSasya
   grahītā devadattastu nopadeṣṭā nāpyupadeśasya grahīteti kalpayituṃ śakyate	grahItA devadattaH-tu na-upadezwA na-api-upadeSasya grahIta-iti kalpayitum Sakyate
   samudraikodakātmatvavadekavijñānavatvāddevadattasya /	samudra-eka-udaka-Atma-tva-vat-eka-vijQAnava-tvAt-devadattasya /
   tasmācchratinyāyavirodhaścābhipretārthāsiddhiścaivaṅkalpanāyāṃ syāt /	tasmAt-Srati-nyAya-viroDaH-ca-aBipreta-arTa-asidDiH-ca-evaFkalpanAyAm syAt /
   tasmādyathāvyākhyāta evāsmābhiḥ pūrṇamada ityasya mantrasyārthaḥ /	tasmAt-yaTAvyAKyAtaH eva-asmABiH pUrNa-madaH iti-asya mantrasya-arTaH /
   oṃ khaṃ brahmeti mantro 'yaṃ cānyatrāviniyukta iha brāhmaṇena	om Kam brahma-iti mantraH ayam ca-anyatra-aviniyuktaH iha brAhmaNena
   dhyānakarmaṇi viniyujyate /	DyAna-karmaNi viniyujyate /
   atra ca brahmeti viśeṣyābhidhānaṃ khamiti viśeṣaṇam /	atra ca brahma-iti viSezya-aBiDAnam Kam-iti viSezaNam /
   viśeṣaṇaviśeṣyayośca sāmānādhikaraṇyena nirdeśo nīlotpalavat khaṃ brahmeti	viSezaNa-viSezyayoH-ca sAmAnADikaraNyena nirdeSaH nIlotpala-vat Kam brahma-iti
   brahmaśabdo bṛhadvastumātrāspado 'viśeṣito 'to viśeṣyate khaṃ brahmeti /	brahma-SabdaH bRhat-vastu-mAtra-AspadaH aviSezitaH atas viSezyate Kam brahma-iti /
   yattatkhaṃ brahma tadoṃśabdavācyamoṃśabdasvarūpamevavobhayathāpi	yat-tat-Kam brahma tadoMSabda-vAcyamoM-Sabda-svarUpam-evavA-uBa-yaTA-api
   sāmānādhikaraṇyamaviruddham /	sAmAnADikaraNyam-avirudDam /
   iha ca brahmopāsanasādhanatvārthamoṃśabdaḥ prayuktaḥ /	iha ca brahma-upAsana-sADanatva-arTam-oM-SabdaH prayuktaH /
   tathā ca śrutyantarāt"etadālambanaṃ śreṣṭhametadālambanaṃ param"	taTA ca Sruti-antarAt"etat-Alambanam SrezWam-etat-Alambanam param"
   "omityātmānaṃ yuñjīta" "omityetenaivākṣareṇa paraṃ	"om-iti-AtmAnam yuQjIta" "om-iti-etena-eva-akzareNa param
   puruṣamabhidhyāyīta""omityevaṃ dhyāyatha ātmānam"ityādeḥ /	puruzam-aBiDyAyi-ita""om-iti-evam DyAyaTa AtmAnam-"ityAdeH /
   anyārthāsaṃbhavāccopadeśasya /	anya-arTa-asaMBavAt-ca-upadeSasya /
   yathā'nyatromiti śaṃsatyomityudgāyatītyevamādau	yaTA-anyatrom-iti SaMsati-om-iti-udgAyati-iti-evamAdO
   svādhyāyārambhāpavargayoścoṅkāraprayogo viniyogādavagamyate na ca	svADyAya-AramBa-apavargayoH-ca-uFkAra-prayogaH viniyogAt-avagamyate na ca
   tathār'thāntaramihāvagamyate /	taTAr-aTa-antaram-iha-avagamyate /
   tasmāddhyānasādhanatvenaivehoṅkāraśabdasyopadeśaḥ /	tasmAt-DyAna-sADana-tvena-eva-iha-uFkAra-Sabdasya-upadeSaH /
   yadyapi brahmātmādiśabdā brahmaṇo vācakāstathāpi śrutiprāmāṇyādbrahmaṇo	yadi-api brahma-Atma-Adi-SabdAH brahmaNaH vAcakAH-taTA-api Sruti-prAmANyAt-brahmaNaH-
   nediṣṭhamabhidhānamoṅkāraḥ /	nedizWam-aBiDAnam-oFkAraH /
   ata eva brahmapratipattāvidaṃ paraṃ sādhanam /	atas eva brahma-pratipattO=-idam param sADanam /
   tacca dviprakāreṇa pratīkatvenābhidhānatvena ca /	tat-ca dvi-prakAreNa pratIka-tvena-aBiDAna-tvena ca /
   pratīkatvena yathā viṣṇvādipratimābhedena, evamoṅkāro brahmeti	pratIka-tvena yaTA vizNu-Adi-pratimA-aBedena, evam-oFkAraH brahma-iti
   pratipattavyaḥ /	pratipattavyaH /
   tathā hyoṅkārālambanasya brahma prasīdati /	taTA hi-oFkAra-Alambanasya brahma prasIdati /
   "etadālambanaṃ śreṣṭhametadālambanaṃ param /	"etad-Alambanam SrezWam-etat-Alambanam param /
   etadālambanaṃ jñātvā brahmaloke mahīyate"iti śruteḥ /	etad-Alambanam jQAtvA brahma-loke mahIyate"iti SruteH /
   tatra khamiti bhautike khe pratītirmā bhūdityāha-khaṃ purāṇaṃ ciratanaṃ	tatra Kam-iti BOtike Ke pratItiH-mA BUt-iti-Aha-Kam purANam ciratanam
   khaṃ paramātmākāśamityarthaḥ /	Kam paramAtma-AkASam-iti-arTaH /
   yattatparamātmākāśaṃ purāṇaṃ khaṃ	yat-tat-paramAtma-AkASam purANam Kam
   taccakṣurādyaviṣayatvānnirālambanamaśakyaṃ grahītumiti śraddhābhaktibhyāṃ	tad-cakzuH-Adya-vizaya-tvAt-nirAlambanam-aSakyam grahItum-iti SradDA-BaktiByAm
   bhāvaviśeṣeṇa coṅkāra āveśayati /	BAva-viSezeNa ca-uFkAraH AveSayati /
   yathā viṣṇvaṅgāṅkitāyāṃ śilādipratimāyāṃ viṣṇuṃ loka evam /	yaTA vizNu-aFga-aFkitAyAm SilA-Adi-pratimAyAm vizNum loke evam /
   vāyuraṃ khaṃ vāyurasminvidyata iti vāyuraṃ khaṃ khamātraṃ khamityucyate na	vAyuram Kam vAyuH-asmin-vidyate iti vAyuram Kam Ka-mAtram Kam-iti-ucyate na
   purāṇaṃ khamityevamāha sma /	purANam Kam-iti-evam-Aha sma /
   ko 'sau /	kaH asO /
   kauravyāyaṇīputraḥ /	kOravyAyaNI-putraH /
   vāyure hi khe mukhyaḥ svaśabdavyavahārastasmānmukhe saṃpratyayo yukta iti	vAyure hi Ke muKyaH sva-Sabda-vyavahAraH-tasmAt-muKe saMpratyayaH yuktaH iti
   manyate /	manyate /
   tatra yadi purāṇaṃ khaṃ brahma nirūpādhisvarūpaṃ yadi vā vāyuraṃ khaṃ	tatra yadi purANam Kam brahma nirUpa-aDi-svarUpam yadi vA vAyuram Kam
   sopādhikaṃ brahma sarvathāpyoṅkāraḥ pratīkatvenaiva pratimāvatsādhanatvaṃ	sa-upADikam brahma sarvaTA-api-oFkAraH pratIka-tvena-eva pratimAvat-sADana-tvam
   pratipadyate /	pratipadyate /
   etadvai satyakāma paraṃ cāparaṃ ca brahma yadoṅkāraḥ iti śrutyantarāt /	etat-vE satyakAma param ca-aparam ca brahma yadA-uFkAraH iti Sruti-antarAt /
   kevalaṃ svaśabdārthe vipratipattiḥ /	kevalam sva-Sabda-arTe vipratipattiH /
   vedo 'yamoṅkāro veda vijānātyanena yadveditavyam /	vedaH ayam-oFkAraH veda vijAnAti-anena yat-veditavyam /
   tasmādveda oṅkāro vācako 'bhidhānam /	tasmAt-vedaH oFkAraH vAcakaH aBiDAnam /
   tenābhidhānena yadveditavyaṃ brahma prakāśyamānamabhidhīyamānaṃ veda	tena-aBiDAnena yat-veditavyam brahma prakASyamAnam-aBiDIyamAnam veda
   sādhako vijānātyupalabhate /	sADakaH vijAnAti-upalaBate /
   tasmādvedo 'yamiti brāhmaṇā viduḥ /	tasmAt-vedaH ayam-iti brAhmaNAH viduH /
