   pañcakramaḥ	paQcakramaH
   dakṣiṇād vinirgato raśmirhutabhuṅmaṇḍalaṃ ca tat |	dakziNAt vinirgataH raSmiH-hutaBuj-maNxalam ca tat |
   raktavarṇamidaṃ vyaktaṃ padmanātho 'tra devatā || Pk_1.19 ||	rakta-varNam-idam vyaktam padma-nATaH atra devatAH || Pk_1.19 ||
   vāmād vinirgato raśmirvāyumaṇḍalasaṃjñitaḥ |	vAmAt vinirgataH raSmiH-vAyu-maNxala-saMjQitaH |
   haritaśyāmasaṅkāśaḥ karmanātho 'tra devatā || Pk_1.20 ||	harita-SyAma-saFkASaH karma-nATaH atra devatAH || Pk_1.20 ||
   dvābhyāṃ vinirgato raśmiḥ pītavarṇo mahādyutiḥ |	dvAByAm vinirgataH raSmiH pIta-varNaH mahA-dyutiH |
   māhendramaṇḍalaṃ caitad ratnanātho 'tra devatā || Pk_1.21 ||	mAhendra-maNxalam ca-etat ratna-nATaH atra devatAH || Pk_1.21 ||
   stabdho mandrapracārastu sitakundendusannibhaḥ |	stabDaH mandra-pracAraH-tu sita-kunda-indu-sanniBaH |
   maṇḍalaṃ vāruṇaṃ caitad vajranātho 'tra devatā || Pk_1.22 ||	maNxalam vAruNam ca-etat vajra-nATaH atra devatAH || Pk_1.22 ||
   sarvadehānugo vāyuḥ sarvaceṣṭāpravartakaḥ |	sarva-deha-anugaH vAyuH sarva-cezwA-pravartakaH |
   vairocanasvabhāvo 'sau mṛtakāyād viniścaret || Pk_1.23 ||	vErocana-svaBAvaH asO mRta-kAyAt viniScaret || Pk_1.23 ||
   vāyutattvamidaṃ vyaktaṃ pañcajñānasvabhāvakam |	vAyu-tattvam-idam vyaktam paQca-jQAna-svaBAvakam |
   tārkikā na prajānanti agamyaṃ bālayoginām || Pk_1.24 ||	tArkikAH na prajAnanti agamyam bAla-yoginAm || Pk_1.24 ||
   ityevaṃ vāyuttatvaṃ pratipādyedānīṃ mantratattvasyoddeśapadaṃ	iti-evam vAyutta-tvam pratipAdya-idAnIm mantra-tattvasya-uddeSa-padam
   mūlasūtrādavatāryate-	mUla-sUtrAt-avatAryate-
   sarvatathāgatakāyavākcittarahasyaṃ sarvatantrahṛdayasañcodanaṃ nāma	sarva-taTAgatakAya-vAc-citta-rahasyam sarvatantrahRdaya-saQcodanam nAma
   paramaguhyaṃ svakāyavākcittavajrebhyo vākpathaniruktyā	parama-guhyam sva-kAya-vAc-citta-vajreByaH vAkpaTa-niruktyA
   mantrasamuccayamudājahāra oṃ āḥ hūṃ |	mantra-samuccayam-udAjahAraH om AH hUm |
   arthānumajāpena niḥsvabhāvena cāruṇā |	arTa-anuma-jApena niHsvaBAvena ca-aruNA |
   vicāraṇā tryadhvabuddhebhyo vajrajāpaḥ sa ucyate || Pk_1.25 ||	vicAraNA tri-aDva-budDeByaH vajra-jApaH saH ucyate || Pk_1.25 ||
   bhikṣāśinā na japtavyaṃ na ca bhaikṣarato bhavet |	BikzA-ASinA na japtavyam na ca BEkza-rataH Bavet |
   japenmantramabhinnāṅgaṃ sarvakāmopabhogakṛt || Pk_1.26 ||	japet-mantram-aBinna-aFgam sarva-kAma-upaBoga-kRt || Pk_1.26 ||
   ityuddeśapadam asya nirdeśamāha sandhyāvyākaraṇavyākhyātantre	iti-uddeSa-padam asya nirdeSam-Aha sanDyA-vyAkaraNa-vyAKyAtantre
   tadavatāryate-	tad-avatAryate-
   pratyuvāca tataḥ śrīmān mahāvairocanaṃ vibhum |	pratyuvAca tatas SrImAn mahA-vErocanam viBum |
   viśvarūpamidaṃ cittaṃ sarvasattvopapattitaḥ || Pk_1.27 ||	viSva-rUpam-idam cittam sarva-sattva-upapattitaH || Pk_1.27 ||
   jātaṃ san niḥsvabhāvo 'pi bhāvākhyaṃ tu pratītyataḥ |	jAtam san niHsvaBAvaH api BAva-AKyam tu pratIti-atas |
   kṛtvā cānubhavaṃ samyag bodhicittaṃ khatulyakam || Pk_1.28 ||	kRtvA ca-anuBavam samyak boDi-cittam Ka-tulyakam || Pk_1.28 ||
   jagadarthaṃ vidhātuṃ ca taddeśayottame jane |	jagadarTam viDAtum ca tad-deSaya-uttame jane |
   sādhanopāyitāmātraṃ jñātvā tantre vipañcitam || Pk_1.29 ||	sADana-upAyitA-mAtram jQAtvA tantre vipaQcitam || Pk_1.29 ||
   ācāryā vayamityevaṃ vadantyāgāmikā vibho |	AcAryAH vayam-iti-evam vadanti-AgAmikA viBo |
   yad vākyaṃ mametyevamuktvā kṣipanti bāliśāḥ |	yat vAkyam mama-iti-evam-uktvA kzipanti bAliSAH |
   sandhyāya bodhicittaṃ te na vidanti yathārthataḥ || iti | Pk_1.30 ||	sanDyAya boDi-cittam te na vidanti yaTArTataH || iti | Pk_1.30 ||
   yathedaṃ bhagavān svāmī mahāvairocano vibhuḥ |	yaTA-idam BagavAn svAmI mahA-vErocanaH viBuH |
   triṣkṛtvā sādhuvacanaṃ vajrapāṇiṃ vadedidam || Pk_1.31 ||	trizkRtvA sADu-vacanam vajrapANim vadet-idam || Pk_1.31 ||
   kathayamāmi prabhedena nirvikalpārthatattvataḥ |	kaTayamAmi praBedena nirvikalpa-arTa-tattvataH |
   pravyāhāropalambhākhyaṃ sāṅketaṃ pāramārthikam || Pk_1.32 ||	pravyAhAra-upalamBa-AKyam sa-aFketam pAramArTikam || Pk_1.32 ||
   pravyāhāro hi sāmānyaṃ buddharūpopalambhakam |	pravyAhAraH hi sAmAnyam budDa-rUpa-upalamBakam |
   sāṅketaṃ mantratattvākhyaṃ tathatā pāramārthikam || Pk_1.33 ||	sa-aFketam mantra-tattva-AKyam taTatA pAramArTikam || Pk_1.33 ||
   ekādirnavamadhye tu daśabhiryo na badhyate |	ekAdiH-nava-maDye tu daSaBiH-yaH na baDyate |
   tamabaddhaṃ vijānīyāt sa vetti parasampadam || Pk_1.34 ||	tam-abadDam vijAnIyAt sa vetti para-sampadam || Pk_1.34 ||
   svaravyañcanavarṇāśca navasaṃkhyānuvartinaḥ |	svara-vyaQcana-varNAH-ca nava-saMKyA-anuvartinaH |
   ' abaddhānyonyasaṃyoogād yo vetti sa jagadguruḥ || Pk_1.35 ||	a abadDa-anyonya-saMyoogAt yaH vetti sa jagadguruH || Pk_1.35 ||
   bhūtāntena samāyuktaṃ kalādiṣoḍaśe sthitam |	BUta-antena samAyuktam kalA-Adi-zoxaSe sTitam |
   pañcapañcakasaṃyuktaṃ catustrayaniyojitam || Pk_1.36 ||	paQca-paQcaka-saMyuktam catur-traya-niyojitam || Pk_1.36 ||
   sānusvāraṃ sadīrghaṃ na guṇasaṃyolopavat |	sa-anusvAram sa-dIrGam na guNa-saMyola-upavat |
   hrasvaṃ samastavākyaṃ syānna cānekaṃ na caikakam || Pk_1.37 ||	hrasvam samasta-vAkyam syAt-na ca-anekam na ca-ekakam || Pk_1.37 ||
   ye varṇāḥ pṛṣṭhataḥ proktā abhimukhāśca ye punaḥ |	ye varNAH pRzWatas proktAH aBimuKAH-ca ye punar |
   strī-puṃ-napuṃsakāste ca dhātvādiparikalpitāḥ || Pk_1.38 ||	strI--puM-napuMsakAH-te ca DAtu-Adi-parikalpitAH || Pk_1.38 ||
   adha-ūrdhvasamāyuktaṃ jñātvā buddhyā niyojayet |	aDa-u-UrDva-samAyuktam jQAtvA budDyA niyojayet |
   pravyāhāramidaṃ mantraṃ niḥsvabhāvasvabhāvajam || Pk_1.39 ||	pravyAhAram-idam mantram niHsvaBAva-svaBAva-jam || Pk_1.39 ||
   tataḥ pariṇataṃ rūpaṃ yaddevatopalambhikam |	tatas pariNatam rUpam yat-devatA-upalamBikam |
   sāṅketikaṃ tritattvasthaṃ prakṛtijāpalapakṣaṇam || Pk_1.40 ||	sa-aFketikam tri-tattva-sTam prakRti-jApala-pakzaNam || Pk_1.40 ||
   akāroddeśakaṃ jñānaṃ buddhasya hṛdayaṃ bhavet |	akAra-uddeSakam jQAnam budDasya hRdayam Bavet |
   oṃkāraḥ saṃsṛjet sattvān buddharūpāgrakalpitān || Pk_1.41 ||	oMkAraH saMsRjet sattvAn budDa-rUpa-agra-kalpitAn || Pk_1.41 ||
   hūṃkāraḥsaṃharet sattvān āḥkāraḥ sthāpako bhavet |	hUMkAraH-saMharet sattvAn AHkAraH sTApakaH Bavet |
   praveśaśva sthitiścaiva vyutthānaṃ ca krameṇa ca || Pk_1.42 ||	praveSa-Sva sTitiH-ca-eva vyutTAnam ca krameNa ca || Pk_1.42 ||
   japen mantramabhinnāṅgaṃ prajñopāyapade sthitaḥ |	japet mantram-aBinna-aFgam prajQA-upAya-pade sTitaH |
   pāṇḍarādijapaḥ praktaḥ pañcaviṃśacchatadvayam || Pk_1.43 ||	pANxara-Adi-japaH praktaH paQcaviMSat-Sata-dvayam || Pk_1.43 ||
   caturbhirguṇitaṃ samyak caturyogaśataṃ nava |	caturBiH-guNitam samyak catur-yoga-Satam nava |
   navaśataṃ tu yad dṛṣṭaṃ caturviṃśatparikramaiḥ |	nava-Satam tu yat dRzwam caturviMSat-parikramEH |
   pratyutpādād bhavet tatra dvyayutaṃ śataṣoḍaśam || Pk_1.44 ||	pratyutpAdAt Bavet tatra dvi-ayutam Sata-zoxaSam || Pk_1.44 ||
   idamevādhyātmikavelāyāṃ dyotayannāha samājottare-	idam-eva-ADyAtmika-velAyAm dyotayan=-Aha samAja-uttare-
   vidyānayavidhānena catuḥsandhyāprayogataḥ |	vidyA-naya-viDAnena catur-sanDyA-prayogataH |
   japenmantramabhinnāṅgaṃ lakṣamakṣarasaṃkhyayā || Pk_1.45 ||	japet-mantram-aBinna-aFgam lakzam-akzara-saMKyayA || Pk_1.45 ||
   bāhyajāpaṃ tyajed yogī bhāvanāyāntarāyikam |	bAhya-jApam tyajet yogI BAvanAya-antarAyikam |
   mantrārtho bhagavān vajrī vajrātmātra kathaṃ japet || Pk_1.46 ||	mantra-arTaH BagavAn vajrI vajra-AtmA-atra kaTam japet || Pk_1.46 ||
   hastinaṃ labhate sadyo mṛgayeddhastinaḥ padam |	hastinam laBate sadyas mRgayet-hastinaH padam |
   mantramūrtiḥ svayaṃ sākṣāt kimanyattu gaveṣate || Pk_1.47 ||	mantra-mUrtiH svayam sAkzAt kim-anyat-tu gavezate || Pk_1.47 ||
   api ca vajradhṛk kaścit trisaṃyogānvito naraḥ |	api ca vajraDRk kaScid tri-saMyoga-anvitaH naraH |
   āvāhanavisarjanaṃ syāt tathā sthāpanameva ca || Pk_1.48 ||	AvAhana-visarjanam syAt taTA sTApanam-eva ca || Pk_1.48 ||
   āvāhanaṃ praveśena tvaritena visarjanam |	AvAhanam praveSena tvaritena visarjanam |
   vāṣpeṇa sthāpanaṃ tat syād viśvastāt siddhiruttamā || Pk_1.49 ||	vAzpeNa sTApanam tat syAt viSvastAt sidDiH-uttamAH || Pk_1.49 ||
   tvarite nibandhake vāṣpe mantraniyojanā kathitā |	tvarite nibanDake vA-azpe mantra-niyojanA kaTitAH |
   karṇamūle tu śiṣyāyācāryeṇa suprayatnataḥ || Pk_1.50 ||	karNa-mUle tu SizyAya-AcAryeNa su-prayatnataH || Pk_1.50 ||
   atha yogeśvarāṇāṃ tu divyopāyaḥ pradarśitaḥ |	aTa yogeSvarANAm tu divya-upAyaH pradarSitaH |
   guhyākṣaraṃ pravakṣyāmi yogasiddhiphalapradam || Pk_1.51 ||	guhya-akzaram pravakzyAmi yoga-sidDi-Pala-pradam || Pk_1.51 ||
   yena cintitamātreṇa yoginaḥ syurvarapradāḥ |	yena cintita-mAtreNa yoginaH syuH-vara-pradAH |
   ādyakṣaraprayogeṇa ucchavāsaṃ kurute sadā || Pk_1.52 ||	Adi-akzara-prayogeNa ucCa-vAsam kurute sadA || Pk_1.52 ||
   aṣṭāntena samāyuktamukāreṇa sabindukam |	azwa-antena samAyukta-mukAreNa sa-bindukam |
   niśvāsaṃ kurute yogī rucijāptamihocyate || Pk_1.53 ||	niSvAsam kurute yogI ruci-jAptam-iha-ucyate || Pk_1.53 ||
   ayutadvayaṃ sahasraṃ ca ṣaṭ śatāni tathaiva ca |	ayuta-dvayam sahasram ca zaw SatAni taTA-eva ca |
   ahorātreṇa yogīndro japasaṃkhyāṃ karoti ca || Pk_1.54 ||	ahorAtreNa yogi-indraH japa-saMKyAm karoti ca || Pk_1.54 ||
   tadevaṃ guhyasandhyāyāṃ sūkṣmayogaḥ prakāśitaḥ |	tat-evam guhya-sanDyAyAm sUkzma-yogaH prakASitaH |
   dhyānādhyayanavītaṃ tu tathāpi jāpa ucyate || Pk_1.55 ||	DyAna-aDyayana-vItam tu taTA-api jApaH ucyate || Pk_1.55 ||
   anena vajrajāpena sevāṃ kṛtvā yathāvidhi |	anena vajra-jApena sevAm kRtvA yaTAviDi |
   sādhayet sarvakāryāṇi māyopamasamādhinā || Pk_1.56 ||	sADayet sarva-kAryANi mAyA-upama-samADinA || Pk_1.56 ||
   atrāha advayasamatāmahāyogatantre-	atra-Aha advaya-samatA-mahA-yoga-tantre-
   japitvā mantramatulaṃ sādhayet sādhanātmakaḥ |	japitvA mantram-atulam sADayet sADana-AtmakaH |
   sidhyate tasya trailokyaṃ māsaikena na saṃśayaḥ || Pk_1.57 ||	siDyate tasya trElokyam mAsa-ekena na saMSayaH || Pk_1.57 ||
   ṣaḍ lakṣāṇi japitvā tu mantraṃ jñānasamudbhavam |	zaw lakzANi japitvA tu mantram jQAna-samudBavam |
   vajrasattvaṃ namaskṛtya pūrṇamāsyāṃ sa sidhyati || Pk_1.58 ||	vajra-sattvam namaskRtya pUrNamAsyAm sa siDyati || Pk_1.58 ||
   na tasya vratamākhyātaṃ nākṣasūtraṃ na mantrakam |	na tasya vratam-AKyAtam na-akza-sUtram na mantrakam |
   dhāraṇā homakarmāṇi varjyante ca parāparam || Pk_1.59 ||	DAraNA homa-karmANi varjyante ca para-aparam || Pk_1.59 ||
   yakārārthena yat kiñcit siddhimicchatā |	yakAra-arTena yat kiQcid sidDim-icCatA |
   rephāditritayenaiva jatatkāryaṃ pravartate || Pk_1.60 ||	rePa-Adi-tritayena-eva jatat-kAryam pravartate || Pk_1.60 ||
   agnivāyavyamāhendravāruṇe pratimaṇḍale |	agni-vAyavya-mAha-indravAruNe prati-maNxale |
   ardhayāmikavelāyāṃ dvau dvau karmaṇi tiṣṭhataḥ || Pk_1.61 ||	arDa-yAmika-velAyAm dvO dvO karmaNi tizWataH || Pk_1.61 ||
   pūjāprāyo bhavet pūjyo jāpaprāyo viśudhyati |	pUjA-prAyaH Bavet pUjyaH jApa-prAyaH viSuDyati |
   agnihotraparo bhūtiṃ mokṣaṃ dhyānaparo labhet || Pk_1.62 ||	agnihotra-paraH BUtim mokzam DyAna-paraH laBet || Pk_1.62 ||
   jñātvā itthaṃ tato mantrī jagadbālavadācaret |	jQAtvA itTam tatas mantrI jagat-bAla-vat-Acaret |
   tataḥ sidhyanti mantrāśca nirvikalpaikadharmataḥ || Pk_1.63 ||	tatas siDyanti mantrAH-ca nirvikalpa-eka-DarmataH || Pk_1.63 ||
   mantratattvamidaṃ vyaktaṃ vāgvajrasya prasādhanam |	mantra-tattvam-idam vyaktam vAc-vajrasya prasADanam |
   jñānatrayaprabhedena cittamātre niyojayed || iti || Pk_1. 64 ||	jQAna-traya-praBedena cittamAtre niyojayet || iti || Pk_1. 64 ||
   guroravajñāsuśaṭho 'prasanno mantroddhataḥ pustakadṛṣṭigarvaḥ |	guroH-avajQAsu-SaWaH aprasannaH mantra-udDataH pustaka-dRzwi-garvaH |
   aśraddadhānastvabhiṣekahīno vārtā kramasyāpi ca tasya noktā || Pk_1.65 ||	aSraddaDAnaH-tu-aBizeka-hInaH vArtA kramasya-api ca tasya na-uktA || Pk_1.65 ||
   yaḥ śraddadhāno gurubhaktiraktaḥ śuśrūṣaṇāyāṃ ca sadābhiyuktaḥ |	yaH SraddaDAnaH guru-Bakti-raktaH SuSrUzaNAyAm ca sadA-aBiyuktaH |
   grāhyaḥ śrutiṃ naiva dhanaṃ nirīkṣyaṃ gurupradhāno 'ya guruprasādaḥ ||	grAhyaH Srutim na-eva Danam nirIkzyam guru-praDAnaH aya guru-prasAdaH ||
   Pk_1.66 ||	Pk_1.66 ||
   girīndramūrdhnaḥ prapatet tu kaścit neccheccyutiṃ tu cyavate tathāpi |	giri-indra-mUrDnaH prapatet tu kaScid na-icCet-cyutim tu cyavate taTA-api |
   guruprasādāptahitopadeśa icchenna moktaṃ sa tathāpi muktaṃḥ || Pk_1.67 ||	guru-prasAda-Apta-hita-upadeSaH icCet-na moktam sa taTA-api muktanH || Pk_1.67 ||
   || vajrajāpakramaḥ samāptaḥ ||	|| vajra-jApa-kramaH samAptaH ||
   kṛtiriyaṃ śrīnāgārjunapādānāmiti |	kRtiH-iyam SrI-nAgArjuna-pAdAnAm-iti |
   granthapramāṇamasya ṣadadhikasaptatiḥ ||	granTa-pramANam-asya zad-aDika-saptatiH ||
   prathamaḥ kramaḥ ||	praTamaH kramaH ||
   anuttarasandhirityaparanāmā sarvaśuddhiviśuddhikramaḥ dvitīyaḥ	anuttara-sanDiH-iti-apara-nAmA sarva-SudDi-viSudDi-kramaH dvitIyaH
   namaḥ śrīvajrasattvāya	namaH SrI-vajra-sattvAya
   namaste 'stu namaste 'stu namaste 'stu namo namaḥ |	namaH-te astu namaH-te astu namaH-te astu namaH namaH |
   evaṃ stute namaste 'stu kaḥ stotā kaśca saṃstutaḥ || Pk_2.1 ||	evam stute namaH-te astu kaH stotA kaH-ca saMstutaH || Pk_2.1 ||
   yathā jalaṃ jale nyastaṃ ghṛtaṃ caiva yathā ghṛte |	yaTA jalam jale nyastam GRtam ca-eva yaTA GRte |
   svakīyaṃ ca svayaṃ paśyej jñānaṃ yatreha vandanā || Pk_2.2 ||	svakIyam ca svayam paSyet jQAnam yatra-iha vandanA || Pk_2.2 ||
   kintu sarvajñagatibhirvinā tannopalabhyate |	kintu sarvajQa-gatiBiH-vinA tat-na-upalaByate |
   tamaḥpaṭalasañchannaṃ prasādād dvīpamāpnuyāt || Pk_2.3 ||	tamaH-pawala-saQCannam prasAdAt dvIpam-ApnuyAt || Pk_2.3 ||
   śūnyaṃ ca atiśūnyaṃ ca mahāśunyaṃ tṛtīyakam |	SUnyam ca ati-SUnyam ca mahA-aSunyam tRtIyakam |
   caturthaṃ sarvaśūnyaṃ ca phalahetuprabhedataḥ || Pk_2.4 ||	caturTam sarva-SUnyam ca Pala-hetu-praBedataH || Pk_2.4 ||
   prajñopāyasamāyogānniṣpannamupalabdhakam |	prajQA-upAya-samAyogAt-nizpannam-upalabDakam |
   upalabdhācca niṣpannāt sarvaśūnyaṃ prabhāsvaram || Pk_2.5 ||	upalabDAt-ca nizpannAt sarva-SUnyam praBAsvaram || Pk_2.5 ||
   hetukramaviśuddhaṃ tu vijñānatrayayogataḥ |	hetu-krama-viSudDam tu vijQAna-traya-yogataH |
   śūnyatrayasamāyogāllabhyate 'nuttaraṃ padam || Pk_2.6 ||	SUnya-traya-samAyogAt-laByate anuttaram padam || Pk_2.6 ||
   ālokaśśūnyaṃ prajñā ca cittaṃ ca paratantrakam |	AlokaH-SUnyam prajQA ca cittam ca paratantrakam |
   tasyedānīṃ pravakṣyāmi prakṛtispharaṇaṃ sphuṭam || Pk_2.7 ||	tasya-idAnIm pravakzyAmi prakRti-sParaNam sPuwam || Pk_2.7 ||
   virāgo madhyamaścaiva adhimātrastathaiva ca |	virAgaH maDyamaH-ca-eva aDimAtraH-taTA-eva ca |
   manogatāgataṃ caiva śokāditṛtīyaṃ tathā || Pk_2.8 ||	manogata-Agatam ca-eva Soka-Adi-tRtIyam taTA || Pk_2.8 ||
   saumyaṃ vikampo bhītaśca madhyabhīto 'tibhītakaḥ |	sOmyam vikampaH BItaH-ca maDya-BItaH atiBItakaH |
   tṛṣṇā madhyatṛṣṇā cātitṛosṇoopādānakaṃ tathā || Pk_2.9 ||	tRzNA maDya-tRzNA ca-ati-tRosNoa-upAdAnakam taTA || Pk_2.9 ||
   niḥśubhaṃ kṣuttṛṣā caiva vedanā samavedanā |	niHSuBam kzuttRzA ca-eva vedanA sama-vedanA |
   ativedanā kṣaṇaścaiva vettividdhāraṇāpadam || Pk_2.10 ||	ativedanA kzaNaH-ca-eva vetti-vid-DAraNa-Apadam || Pk_2.10 ||
   pratyavekṣaṇaṃ lajjā ca kāruṇyaṃ snehatastrayam |	pratyavekzaNam lajjA ca kAruNyam snehataH-trayam |
   cakitaṃ saṃśayaścaiva mātsaryaṃ ceti kīrtitāḥ || Pk_2.11 ||	cakitam saMSayaH-ca-eva mAtsaryam ca-iti kIrtitAH || Pk_2.11 ||
   trayastriṃśat prakṛtayaḥ svasaṃvedyāḥ śarīriṇām |	trayastriMSat prakRtayaH sva-saMvedyAH SarIriNAm |
   saṃvṛtisphuṭarupeṇa niśāsaṃjñā pradarśitāḥ || Pk_2.12 ||	saMvRti-sPuwa-rupeNa niSA-saMjQA pradarSitAH || Pk_2.12 ||
   strīsaṃjñā tathā proktā mandākārā tathaiva ca |	strI-saMjQA taTA proktA manda-AkArA taTA-eva ca |
   vāmasaṃjñā punaścaiva candramaṇḍalapaṅkajam || Pk_2.13 ||	vAma-saMjQA punar-ca-eva candra-maNxala-paFkajam || Pk_2.13 ||
   dṛḍhīkaraṇahetutvāt sabinduḥ prathamaḥ svaraḥ |	dRXIkaraNa-hetu-tvAt sa-binduH praTamaH svaraH |
