   (Css 238)	(CsH 238)
   bhikṣubhikṣuṇītīrthikamāraparṣadaṃ (Css 239) sarvatrātīto niḥśaṅkam	BikzuBikzuNI-tIrTika-mAra-parzadam (SsH 239) sarvatra-atItaH niHSaFkam
   upasaṃkrāmati viśārada eva pravyāharati / tat kasmād dhetoḥ / sa hy	upasaMkrAmati viSAradaH eva pravyAharati / tat kasmAt DetoH / sa hi-
   anutpattikadharmakṣāntilābhāt sarvadharmānutpādākāreṇa sarvathā sarvaṃ	anutpattika-Darma-kzAnti-lABAt sarva-Darma-anutpAda-AkAreNa sarvaTA sarvam
   pratividdhavāstu .. mād asya aparajñānakṛtaṃ kleśakṛtaṃ ca parṣacchāradyaṃ	pratividDavAstu .. mAt asya apara-jQAna-kRtam kleSa-kRtam ca parzad-SAradyam
   nāstīti vaiśāradyaprāptaḥ	na-asti-iti vESAradya-prAptaH
   anabhilāpyānabhilāpyakalpāyuḥpramāṇādhiṣṭhānatayā sa āyurvaśitāṃ labhate /	anaBilApya-anaBilApya-kalpa-AyuH-pramANa-aDizWAna-tayA saH AyuH-vaSitAm laBate /
   cetovaśitām aprameyāsaṃkhyasamādhinidhyaptijñānapraveśanatayā /	cetaH-vaSi-tAm aprameya-asaMKya-samADi-niDyapti-jQAna-praveSana-tayA /
   pariṣkāravaśitāṃ	parizkAra-vaSitAm
   sarvalokadhātvanekavyūhālaṃkārapratimaṇḍitādhiṣṭhānasaṃdarśanatayā /	sarva-loka-DAtu-aneka-vyUha-alaMkAra-pratimaNxita-aDizWAna-saMdarSana-tayA /
   karmavaśitāṃ yathākālaṃ karmavipākādhiṣṭhānasaṃdarśanatayā /	karma-vaSitAm yaTAkAlam karma-vipAka-aDizWAna-saMdarSana-tayA /
   upapattivaśitāṃ sarvalokadhātūpapattisaṃdarśanatayā / adhimuktivaśitāṃ ca	upapatti-vaSitAm sarva-loka-DAtu-upapatti-saMdarSana-tayA / aDimukti-vaSitAm ca
   pratilabhate sarvalokadhātubuddhapratipūrṇasaṃdarśanatayā /	pratilaBate sarva-loka-DAtu-budDa-pratipUrNa-saMdarSana-tayA /
   praṇidhānavaśitāṃ ca pratilabhate	praNiDAna-vaSitAm ca pratilaBate
   yatheṣṭabuddhakṣetralokābhisaṃbodhisaṃdarśanatayā / ṛddhivaśitāṃ	yaTA-izwa-budDa-kzetra-loka-aBisaMboDi-saMdarSana-tayA / RdDi-vaSitAm
   sarvabuddhakṣetravikurvaṇasaṃdarśanatayā / dharmavaśitām	sarva-budDa-kzetra-vikurvaNa-saMdarSana-tayA / Darma-vaSitAm
   anantamadhyadharmamukhālokasaṃdarśanatayā / jñānavaśitāṃ ca pratilabhate	ananta-maDya-Darma-muKa-Aloka-saMdarSana-tayA / jQAna-vaSitAm ca pratilaBate
   tathāgatabalavaiśāradyāveṇikabuddhadharmalakṣaṇānuvyañjanābhisaṃbodhisaṃdarśanatayā	taTAgata-bala-vESAradyA-veNika-budDa-Darma-lakzaNa-anuvyaQjana-aBisaMboDi-saMdarSana-tayA
   / ity evaṃ daśavaśitāprāpto yas tvaṃ dṛṣṭivipannasya lokasyāsya hitodyata	/ iti evam daSa-vaSitA-prAptaH yaH tvam dRzwi-vipannasya lokasya-asya hita-udyata
   ity anena ca praśastapratipattir ameyatvam acittatā coktā / vakṣyamāneṣv	iti anena ca praSasta-pratipattiH ameya-tvam acitta-tA ca-uktAH / vakzyamAnezu-
   api sarveṣu pratyekam arthatrayaṃ yojyam / ata evoktaṃ bhagavatā /	api sarvezu pratyekam arTa-trayam yojyam / atas eva-uktam BagavatA /
   gambhīradharmakṣāntipāraṃgatair vaiśāradyaprāptair /	gamBIra-Darma-kzAnti-pAraMgatEH vESAradya-prAptEH /
   dharmapravicayavibhaktinirdeśakuśalair (Css 240) ity uktam / tatra dharmāś	Darma-pravicaya-viBakti-nirdeSa-kuSalEH (CsH 240) iti uktam / tatra DarmAS
   caturvidhā vipaśyanādharmāḥ skandhadhātvāyatanādayaḥ bodhipakṣyā dharmāḥ	caturviDAH vipaSyana-aDarmAH skanDa-DAtu-Ayatana-AdayaH boDi-pakzyAH DarmAH
   smṛtyupasthānādayaḥ buddhadharmā daśabalavaiśāradyādayaḥ adhigamadharmāḥ	smRti-upasTAna-AdayaH budDa-DarmAH daSa-bala-vESAradyAdayaH aDigama-DarmAH
   śrotaāpattimārgaphalādayo yathākramam / etadbhedena catvāraḥ ślokā uktāḥ /	SrotaA-patti-mArga-Pala-AdayaH yaTAkramam / etad-Bedena catvAraH SlokAH uktAH /
   tatra bauddhaṃ cakṣur dhyānābhisaṃskāranirvṛttam abhijñāsaṃgṛhītam	tatra bOdDam cakzuH DyAna-aBisaMskAra-nirvRttam aBijQA-saMgRhItam
   aṣṭāvidhaparikarmalabhyatvāt kumārabhuvaḥ /	azwAviDa-parikarma-laBya-tvAt kumAra-BuvaH /
   jñeyaṃ ca parikarmaiṣāṃ svabhāvānupalambhata	jQeyam ca parikarmA-ezAm svaBAvAnupalamBata
   iti / tenāpi cakṣuṣā tvayā na kiṃcid dṛṣṭaṃ saṃbhāvyate prāg evetaraiḥ /	iti / tena-api cakzuzA tvayA na kiMcid dRzwam saMBAvyate prAk eva-itarEH /
   pañcānām api cakṣuṣām anavabhāsagamanatvāt tattvārthasya dṛṣṭijñānam /	paQcAnAm api cakzuzAm anavaBAsa-gamana-tvAt tattva-arTasya dRzwi-jQAnam /
   adarśanam eva sarvadharmāṇāṃ tattvārthadarśanam / nanu	adarSanam eva sarva-DarmANAm tattva-arTa-darSanam / nanu
   pratilabdhaprathamādibhuvo 'pi āryā na kaṃcid dharmam upalabhante tat ko	pratilabDa-praTama-Adi-BuvaH api AryAH na kaMcid Darmam upalaBante tat kaH-
   'syātiśaya ity āha / anuttarā ceti / yasmān nātra tattvārthadarśanād	asya-atiSayaH iti Aha / anuttarA ca-iti / yasmAt na-atra tattva-arTa-darSanAt-
   vyutthito bhavati / pūrvakās tu sapta vihārā vyāmiśrā ayam ekāntaśuddhaḥ /	vyutTitaH Bavati / pUrvakAH tu sapta vihArAH vyAmiSrAH ayam ekAnta-SudDaH /
   yathoktaṃ / yadā punaḥ sarvaprāyogikacaryāṃ vihāya saptamyā bhūmer aṣṭamīṃ	yaTA-uktam / yadA punar sarva-prAyogika-caryAm vihAya saptamyA BUmeH azwamIm
   bhūmim avakrānto bhavati tadā pariśuddhaṃ bodhisattvayānam abhirūhya	BUmim avakrAntaH Bavati tadA pariSudDam boDisattva-yAnam aBirUhya
   ityādi / tasmād eva gambhīrāṇāṃ bodhisattvavihārāṇāṃ nānyo 'smād adhiko	ityAdi / tasmAt eva gamBIrANAm boDisattva-vihArANAm na-anyaH asmAt aDikaH-
   gaṃbhīro ity atrānuttarety ucyate // pravicayo lakṣaṇataḥ kṛtyato hetutaḥ	gaMBIraH iti atra-anuttarA-iti ucyate // pravicayaH lakzaNataH kRtyataH hetutaH
   phalataḥ saṃkhyāta āsvādata ādīnavato niḥsaraṇataś ca kleśato vyavadānataḥ	PalataH saMKyAtaH AsvAdataH AdInavataH niHsaraNataH ca kleSataH vyavadAnataH
   parijñātaḥ prahāṇataḥ sākṣātkaraṇato bhāvanātaś ca / tatra yathākramaṃ	parijQAtaH prahANataH sAkzAtkaraNataH BAvanAtaH ca / tatra yaTAkramam
   (Css 241) ṣaḍ / arthaviśeṣeṇa / arthadvayasaṃgrahenaikaḥ tathaivānyaḥ	(CsH 241) zaw / arTa-viSezeNa / arTa-dvaya-saMgrahena-ekaH taTA-eva-anyaH
   ekenaiko dvābhyām aparaḥ	ekena-ekaH dvAByAm aparaH
   vikurvasi mahāṛddhyā māyopamasamādhinā	vikurvasi mahARdDyA mAyA-upama-samADinA
   ityādivacanāt / bhāvanārthena punar ekaḥ / tatrārūpavad ity ākāśavat /	ityAdi-vacanAt / BAvanA-arTena punar ekaH / tatra-arUpa-vat iti AkASa-vat /
   tathā coktaṃ yāvat tathāgatavaineyikānāṃ sattvānāṃ tathāgatakāyavarṇarūpam	taTA ca-uktam yAvat taTAgata-vEneyikAnAm sattvAnAm taTAgata-kAya-varNa-rUpam
   ādarśayati / iti hi bho jinaputra yāvanto 'nabhilāpyeṣu	AdarSayati / iti hi Bo jinaputra yAvantaH anaBilApyezu
   buddhakṣetraprasareṣu sattvānām upapattyāyatanādhimuktiprasarās teṣu teṣu	budDa-kzetra-prasarezu sattvAnAm upapatti-Ayatana-aDimukti-prasarAH tezu tezu
   tathāgataḥ svakāyavibhaktim ādarśayati / sa sarvakāyavikalpasaṃjñāpagata	taTAgataH sva-kAya-viBaktim AdarSayati / sa sarva-kAya-vikalpa-saMjQA-apagata
   ākāśamatāprāptaḥ / tac cāsya kāyasaṃdarśanam akṣūṇam avandhyaṃ ca	AkASa-mata-aprAptaH / tat ca-asya kAya-saMdarSanam akzUNam avanDyam ca
   sarvasattvaparipākavinayāyetyādi / vibhaktitaś catvāraḥ kāyatrayavibhāge	sarva-sattva-paripAka-vinayAya-ityAdi / viBaktitaH catvAraH kAya-traya-viBAge
   ślokatrayaṃ / tathā hi saptamyāṃ bhūmau buddhakāyavyūhaṃ jānāti na tu tadā	Sloka-trayam / taTA hi saptamyAm BUmO budDa-kAya-vyUham jAnAti na tu tadA
   niṣpādayituṃ śaknoti / buddhakāyavyūhajñānāt tu tasyāṃ bhūmau	nizpAdayitum Saknoti / budDa-kAya-vyUha-jQAnAt tu tasyAm BUmO
   niṣpādanecchāṃ jānāti / asyāḥ prabhṛti niṣpādayatīty āryadaśabhūmakādāv	nizpAdana-icCAm jAnAti / asyAH praBRti nizpAdayati-iti Arya-daSa-BUmaka-AdO=-
   avagantavyam / karmāvaraṇapratipraśrabdhir ity uktam / etasyā eva kṣānteḥ	avagantavyam / karma-AvaraNa-pratipraSrabDiH iti uktam / etasyAH eva kzAnteH
   sahapratilambhād yāny asya sugatidurgativipākyāni karmāvaraṇāni tāny asya	saha-pratilamBAt yAni asya sugati-durgati-vipAkyAni karma-AvaraNAni tAni asya
   samucchinnāni bhavanti / anyatra (Css 242) tathāgatānām	samucCinnAni Bavanti / anyatra (SsH 242) taTAgatAnAm
   anāgatajanatānukampadarśanād ata etadvibhāge ślokaḥ / karmaplutiḥ karmaṇo	anAgata-janata-anukampa-darSanAt atas etad-viBAge SlokaH / karma-plutiH karmaNaH-
   niṣyandaphalam / dharmadhātor acalitamānasattvād / vākkāyanirdeśatas	nizyanda-Palam / DarmaDAtoH acalita-mAna-sattvAt / vAkkAya-nirdeSatas
   trayaḥ // tatrotpādavigamān nityo nirodhavigamād dhruvaḥ śivo dvayābhāvāt	trayaH // tatra-utpAda-vigamAt nityaH niroDa-vigamAt DruvaH SivaH dvaya-aBAvAt-
   / śivatvaṃ ca dvayākalpād iti vacanāt / kauśala ekaḥ / tatra manyanābhāvaḥ	/ Siva-tvam ca dvaya-AkalpAt iti vacanAt / kOSalaH ekaH / tatra manyana-aBAvaH
   kliṣṭamanaḥparāvṛttyā / vikalpābhāvaḥ pravṛttivijñānaparāvṛttyā /	klizwa-manaH-parAvRttyA / vikalpa-aBAvaH pravRtti-vijQAna-parAvRttyA /
   iñjanābhāva ālayaparāvṛttyā / sarveṣv apy	iQjana-aBAvaH Alaya-para-AvRttyA / sarvezu api-
   avasthitārthatrayopasaṃhāradvāreṇā bhagavato guṇānāṃ kīrtanena	avasTita-arTa-traya-upasaMhAra-dvAreNA BagavataH guNAnAm kIrtanena
   prasūtapuṇyasyāsyāṃ bhuvi sattvānāṃ pratiṣṭhāpanāya pariṇāmanārthenaika	prasUta-puNyasya-asyAm Buvi sattvAnAm pratizWApanAya pariNAmana-arTena-eka
   uktaḥ / tatra praśastagamanād punarāvṛttyā ca sugataḥ atarkyatvād	uktaH / tatra praSasta-gamanAt punarAvRttyA ca sugataH atarkya-tvAt-
   alāpyatvād āryajñānād acintyatety acintyaḥ aprameyaṃ	alApya-tvAt Arya-jQAnAt acintyata-iti acintyaH aprameyam
   aprameyāśrayaparāvṛttyā vibhutvalābhāt / tathā hy asyāṃ bhūmau	aprameya-ASraya-parAvRttyA viBu-tva-lABAt / taTA hi asyAm BUmO
   nirantamahābodhisamudāgamaprayogasamādhiṣu vyavasthito bodhisattvo	niranta-mahA-boDi-samudAgama-prayoga-samADizu vyavasTitaH boDisattvaH-
   nityojjvalitabuddhiś ca kṛtyasaṃpādane 'gnivat /	nitya-ujjvalita-budDiH ca kRtya-saMpAdane agni-vat /
   śāntadhyānasamāpattisamāpannaś ca sarvadā /	SAnta-DyAna-samApatti-samApannaH ca sarvadA /
   ity uktam // iti dvitīyasya samāsārthaḥ //	iti uktam // iti dvitIyasya samAsa-arTaH //
   Acintyastava	AcintyaH-tava
   idānīṃ tṛtīyāṃ vihārāvasthām adhikṛtyāha / svābhāvikī syād yadi	idAnIm tRtIyAm vihAra-avasTAm aDikRtya-Aha / svABAvikI syAt yadi
   vastusiddhir udīrṇadīpetaraśāntisiddhivat tadā sarvakleśamaheśvarasya	vastu-sidDiH udIrNa-dIpa-itara-SAnti-sidDi-vat tadA sarva-kleSa-maheSvarasya
   carato mohasya śāntiḥ katham / ataḥ sarvathā sarvadṛṣṭīṇāṃ prahāṇāya	carataH mohasya SAntiH kaTam / atas sarvaTA sarva-dRzwINAm prahANAya
   pratītyajānāṃ bhāvānāṃ naiḥsvābhāvyaṃ jagādaya ityādy āha / tatra navamyāṃ	pratItya-jAnAm BAvAnAm nEHsvABAvyam jagAdayaH ityAdi Aha / tatra navamyAm
   bodhisattvabhūmau pratisaṃvidvihāraḥ / (Css 243) iha bodhisattvas tenāpi	boDisattva-BUmO pratisaMvid-vihAraH / (CsH 243) iha boDisattvaH tena-api
   vihāreṇa gaṃbhīreṇāsaṃtuṣṭa uttarijñānaviseṣatām anugacchan yaiś ca	vihAreNa gaMBIreNa-asaMtuzwaH uttari-jQAna-viseza-tAm anugacCan yEH ca
   dharmajñānābhisaṃskāraiḥ pareṣāṃ dharmaḥ sarvākāro bodhisattvena	Darma-jQAna-aBisaMskArEH parezAm DarmaH sarva-AkAraH boDisattvena
   deśayitavyo yac ca dharmākhyānakṛtyaṃ tat sarvaṃ yathābhūtaṃ prajānāti /	deSayitavyaH yat ca Darma-AKyAna-kRtyam tat sarvam yaTABUtam prajAnAti /
   tatredaṃ dharmasamākhyānakṛtyam / gahanopavicāreṣu ye ca saṃkliśyante	tatra-idam Darma-samAKyAn-a-kRtyam / gahana-upavicArezu ye ca saMkliSyante
   viśuddhyante yena ca saṃkliśyante viśuddhyante yac ca saṃkleṣavyavadānaṃ	viSudDi-ante yena ca saMkliSyante viSudDi-ante yat ca saMkleza-vyavadAnam
   yā ca tasyānaikāntikatā yā ca tasyaikāntikānaikāntikatā tasya	yA ca tasya-anEkAntika-tA yA ca tasya-EkAntika-anEkAntika-tA tasya
   yathābhūtajñānam / evaṃ ca deśanākuśalasya deśanākṛtyakuśalasya ca yat	yaTABUta-jQAnam / evam ca deSanA-kuSalasya deSanA-kRtya-kuSalasya ca yat-
   sarvākāramahādharmabhāṇakatvam ityādi yathāsūtram eva vistarato veditavyam	sarva-AkAra-mahA-Darma-BANaka-tvam ityAdi yaTAsUtram eva vistarataH veditavyam
   / asamajñānam iti daśamyāṃ tathāgatakṛtyenāvasthitatvād yathoktam	/ asama-jQAnam iti daSamyAm taTAgata-kRtyena-avasTita-tvAt yaTA-uktam
   āryadaśabhūmake / yāvad daśānāṃ samādhyasaṃkhyeyaśatasahasrāṇāṃ paryante	Arya-daSa-BUmake / yAvat daSAnAm samADi-asaMKyeya-Sata-sahasrANAm paryante
   sarvajñajñānaviśeṣābhiṣekavān nāma bodhisattvasamādhir āmukhībhavatītyādi	sarvajQa-jQAna-viSeza-aBizekavAn nAma boDisattva-samADiH AmuKIBavati-ityAdi
   / yad adhikṛtyoktam /	/ yat aDikRtya-uktam /
   pūrvāvedhavaśāt sarvavikalpāpagamāc ca saḥ /	pUrva-AveDa-vaSAt sarva-vikalpa-apagamAt ca saH /
   na punaḥ kurute yatnaṃ paripākāya dehinām // 1	na punar kurute yatnam paripAkAya dehinAm // 1
   yo yathā yena vaineyo manyate 'sau tathaiva ca /	yaH yaTA yena vEneyaH manyate asO taTA-eva ca /
   deśanārūpakāyābhyāṃ caryayeryāpathena vā // 2	deSanA-rUpa-kAyAByAm caryayA-IH-yApaTena vA // 2
   anābhogena tasyaivam avyāhatadhiyaḥ sadā /	anABogena tasya-evam avyAhata-DiyaH sadA /
   jagaty ākāśaparyante sattvārthaḥ saṃpravartate // 3	jagati AkASa-paryante sattva-arTaH saMpravartate // 3
   etāṃ gatim auuprāpto bodhisattvas tathāgataiḥ /	etAm gatim OuprAptaH boDisattvaH taTAgatEH /
   samatām eti lokeṣu sattvasaṃtāraṇaṃ prati // 4	sama-tAm eti lokezu sattva-saMtAraNam prati // 4
   athā cāṇoḥ pṛthivyāś ca goṣpadasyodādheś ca yat /	aTA ca-aNoH pRTivyAH ca gozpadasya-udADeH ca yat /
   antaraṃ bodhisattvānāṃ buddhasya ca tad antaram // 5	antaram boDisattvAnAm budDasya ca tat antaram // 5
   iti	iti
   (Css 244)	(CsH 244)
   acintyam iti yathoktaṃ sa khalu bho jinaputra bodhisattva evam imāṃ bhūmim	acintyam iti yaToktam sa Kalu Bo jinaputra boDisattvaH evam imAm BUmim
   anugato 'cintyaṃ ca nāma bodhisattvavimokṣaṃ pratilabhate 'nāvaraṇaṃ	anugataH acintyam ca nAma boDisattva-vimokzam pratilaBate anAvaraNam
   cetyādi / vāggocarātītatareṣu vācām agocarair eva ca / piṇḍiteṣu rajāṃsi	ca-ityAdi / vAc-gocarAtItatarezu vAcAm agocarEH eva ca / piNxitezu rajAMsi
   yāvanti guṇā daśamyāṃ bhavanti tāvanta ihāsya tāvad ity anidarśanam uktaṃ	yAvanti guNAH daSamyAm Bavanti tAvantaH iha-asya tAvat iti anidarSanam uktam
   bhagavatyāṃ niṣṭhāgamanabhūmivyavasthitabodhisattvaguṇanirdeśe /	BagavatyAm nizWA-gamana-BUmi-vyavasTita-boDisattva-guNa-nirdeSe /
   māyāmarīcigandharvadakacandrasvapnapratibhāsapratiśrutkāpratibimbanirmāṇopamadharmādhimukter	mAyA-marIci-ganDarva-daka-candra-svapna-pratiBAsa-pratiSrutka-apratibimba-nirmANa-upama-Darma-aDimukteH-
   iti dṛṣṭāntāṣṭakenāṣṭāni lakṣaṇāni sūcitāni / tad yathā śūnyatālakṣaṇam	iti dRzwAnta-azwakena-azwAni lakzaNAni sUcitAni / tat yaTA SUnyatA-lakzaNam
   animittalakṣaṇam apraṇihitalakṣaṇaṃ niḥsvabhāvalakṣaṇaṃ	animitta-lakzaNam apraNihita-lakzaNam niHsvaBAva-lakzaNam
   pratītyasamutpādalakṣaṇaṃ parikalpitalakṣaṇaṃ paratantralakṣaṇaṃ ca /	pratItyasamutpAda-lakzaNam parikalpita-lakzaNam paratantra-lakzaNam ca /
   tatra ṣadbhiḥ ṣadbhis tribhir deśanākṛtyārthabhedena yathākramaṃ trīṇi	tatra zadBiH zadBiH triBiH deSanA-AkRtya-arTa-Bedena yaTAkramam trINi
   lakṣaṇāny uktāni / ekenaiṣām eva trayāṇām upasaṃhāraḥ ṣadbhiḥ saptabhiḥ	lakzaNAni uktAni / ekena-ezAm eva trayANAm upasaMhAraH zadBiH saptaBiH
   ṣaḍbhiḥ saptabhiś ca śeṣāniboddhavyāni / iti māyādidṛṣṭāntair ityādi	zaxBiH saptaBiH ca Seza-aniba-udDavyAni / iti mAyA-Adi-dRzwAntEH ityAdi
   saptabhiḥ ślokair yathākramaṃ guṇakathanamukhena sarveṣām upasaṃhāraḥ kām	saptaBiH SlokEH yaTAkramam guNa-kaTana-muKena sarvezAm upasaMhAraH kAm
   apy acintyāṃ paramagambhirāvasthāṃ prāptatvād asya vihārasyeti bhavaddṛśā	api acintyAm parama-gamBiH-AvasTAm prApta-tvAt asya vihArasya-iti Bavat-dRSA
   eva bhavantaṃ janayantīti pratipādanāyaikaḥ // asyām eva bhuvi sattvānāṃ	eva Bavantam janayanti-iti pratipAdanAya-ekaH // asyAm eva Buvi sattvAnAm
   pratiṣṭhāpanāya puṇyapariṇāmanam ity anyaḥ // //	pratizWApanAya puNya-pariNAmanam iti anyaH // //
   tṛtīyasya samāsārthaḥ // //	tRtIyasya samAsa-arTaH // //
   (Css 245)	(CsH 245)
   Paramārthastava	Param-ArTaH-tava
   phalāvasthām ārabhya sarva evānāśravā dharmāḥ sarvaprakārām anuttarāṃ	Pala-avasTAm AraBya sarve eva-anASravAH DarmAH sarva-prakArAm anuttarAm
   viśuddhim upagatavantaḥ saṃbuddhākhyāṃ pratilabhante / teṣāṃ	viSudDim upagatavantaH saMbudDa-AKyAm pratilaBante / tezAm
   hetvavasthāyām eva tāvad aśūnyatā prāg eva phalāvasthāyām ity āha //	hetu-avasTAyAm eva tAvat aSUnyatA prAk eva Pala-avasTAyAm iti Aha //
   kathaṃ stoṣyāmi te nāthetyādi / anutpannam anālayam iti	kaTam stozyAmi te nATa-ityAdi / anutpannam anAlayam iti
   anutpannasvabhāvenetyāder yāvad gambhīrāya namo 'stu ta ity etadantasya	anutpanna-svaBAvena-ityAdeH yAvat gamBIrAya namaH astu te iti etad-antasya
   sūcanam // vāk vācāṃ panthāś ca saṃkalpaḥ / tayor atīto gocaro yena /	sUcanam // vAc vAcAm panTAH ca saMkalpaH / tayoH atItaH gocaraH yena /
   tathā coktam acintyam anidarśanam iti / tathāpītyādinā saṃvṛtyā parihāraḥ	taTA ca-uktam acintyam anidarSanam iti / taTA-api-ityAdinA saMvRtyA parihAraH
   / abhimukhyāḥ prabhṛti viśeṣataḥ pratilabdhānām anutpādādīnāṃ	/ aBimuKyAH praBRti viSezataH pratilabDAnAm anutpAda-AdInAm
   niratiśayārthena pañca tasyāḥ prabhṛti nirodhalābhād	niratiSaya-arTena paQca tasyAH praBRti niroDa-lABAt-
   āvaraṇadvayavāsanāśeṣasyāpy abhāvāt paramagāmbhīryārthenaikaḥ / evaṃ stute	AvaraNa-dvaya-vAsanA-Sezasya-api aBAvAt parama-gAmBIrya-arTena-ekaH / evam stute
   stuto bhūyāḥ saṃvṛtyeti śeṣaḥ athavā kiṃ bata stutaḥ paramārthena /	stutaH BUyAH saMvRtya-iti SezaH aTavA kim bata stutaH parama-arTena /
   kiṃśabda ākṣepe bataśabdo 'vadhāraṇeneva cety arthaḥ / tam eva	kiMSabdaH Akzepe bata-SabdaH avaDAraNena-iva ca-iti arTaH / tam eva
   pratipādayati stutyetyādi / idānīṃ saṃvṛtyāpi stuter asaṃbhavaṃ	pratipAdayati stutyA-ityAdi / idAnIm saMvRtya-api stuteH asaMBavam
   pratipādayann āha / kas tvāṃ śaknoti saṃstotum ityādi / utpādavyayavarjito	pratipAdayan Aha / kaH tvAm Saknoti saMstotum ityAdi / utpAda-vyaya-varjitaH-
   bhagavān stotā cotpādavyayayuktaḥ / anādyantamadhyo bhagavān / sa ca	BagavAn stotA ca-utpAda-vyaya-yuktaH / anAdi-anta-maDyaH BagavAn / sa ca
   trikāṇḍapratītyasamutpādasaṃgṛhītaḥ / grāhakagrāhyanirmukto bhagavān sa ca	tri-kANxa-pratItya-samutpAda-saMgRhItaH / grAhaka-grAhya-nirmuktaH BagavAn sa ca
   grāhake grāhye ca caratīti / saṃvṛtyāpi bhūtaguṇākhyānarūpāyāḥ stuter	grAhake grAhye ca carati-iti / saMvRtya-api BUta-guNa-AKyAna-rUpAyAH stuteH-
   asaṃbhavaḥ / acintyapratītyasamutpādadharmatayā saty advaye 'pi prakṛter	asaMBavaH / acintya-pratItyasamutpAda-Darma-tayA sati advaye api prakRteH-
   abhāvād iti // svabhāvapariśuddhyadhimuktyāpi vastuno (Css 246)	aBAvAt iti // svaBAva-pariSudDi-aDimuktyA-api vastunaH (CsH 246)
   'nupalambliena pravṛttas tu mahāphala iti / mahān asaṃbhavo bhavatīti	anupalambliena pravRttaH tu mahA-PalaH iti / mahAn asaMBavaH Bavati-iti
   pratyetavyam // sugatapadaprāpaṇāya puṇyapariṇāmanārthenaikaḥ // etāvantam	pratyetavyam // sugata-pada-prApaNAya puNya-pariNAmana-arTena-ekaH // etAvantam
   evārtham adhikṛtyābhisamayakramaḥ prajñāpāramitādiṣu vistareṇokto	eva-arTam aDikRtya-aBisamaya-kramaH prajQApAramitA-Adizu vistareNa-uktaH-
   boddhavyaḥ // // iti caturthasya samāsārthaḥ //	bodDavyaH // // iti caturTasya samAsa-arTaH //
   catuḥstavasamāsārthaḥ paṇḍitāmṛtākarasyeti // //	catur-stava-samAsa-arTaH paNxita-amRta-Akarasya-iti // //
