   akramaḥ kṛṣṇa pūjyante JCand_2.27c	akramaH kRzNa pUjyante JCand-_2.27c
   adhikaṃ bhavataḥ śatrūn JCand_2.18c	aDikam BavataH SatrUn JCand-_2.18c
   aniṣṭekṣaṇaniṣṭhīva- JCand_6.11c	anizwa-IkzaNa-nizWIva JCand-_6.11c
   anunītā priyeṇa sā JCand_5.42d	anunItA priyeNa sA JCand-_5.42d
   anubhāvaiḥ kaṭākṣādyair JCand_6.5a	anuBAvEH kawAkza-AdyEH JCand-_6.5a
   anumānaṃ ca kāryādeḥ JCand_5.36a	anumAnam ca kArya-AdeH JCand-_5.36a
   anurūpaṃ kṛtaṃ sadma JCand_5.80c	anurUpam kRtam sadma JCand-_5.80c
   anuṣṇam analaṃ kṛtī JCand_1.8d	anuzNam analam kRtI JCand-_1.8d
   anekasyārthayugmasya JCand_5.16a	anekasya-arTa-yugmasya JCand-_5.16a
   anekānvayakalpanam JCand_5.79b	aneka-anvaya-kalpanam JCand-_5.79b
   anenāpi prabhedena JCand_7.16c	anena-api praBedena JCand-_7.16c
   anenāsāv ādyaḥ sukavijayadevena racite JCand_1.16c	anena-asO AdyaH su-kavi-jaya-devena racite JCand-_1.16c
   anaucityaṃ kīrtilatāṃ JCand_2.34a	anOcityam kIrtilatAm JCand-_2.34a
   anaucityā rasābhāsā JCand_6.19c	anOcityA rasa-ABAsA JCand-_6.19c
   anyataḥ svaguṇodayaḥ JCand_5.101b	anyatas sva-guNa-udayaH JCand-_5.101b
   anyathā tu guṇībhūta- JCand_8.1c	anyaTA tu guNIBUta JCand-_8.1c
   anyasaṅgatam uttuṅga- JCand_2.14c	anya-saFgatam uttuFga JCand-_2.14c
   anyasmin vastuyantraṇam JCand_5.94b	anyasmin vastu-yantraNam JCand-_5.94b
   anyās tisra iti vyaktā JCand_9.6a	anyAH tisraH iti vyaktA JCand-_9.6a
   anyonyaṃ nāma yatra syād JCand_5.83a	anyonyam nAma yatra syAt JCand-_5.83a
   aparasya rasādeś ced JCand_8.4a	aparasya rasa-AdeH ced JCand-_8.4a
   aparādhīna ityādi JCand_2.14a	apara-aDInaH ityAdi JCand-_2.14a
   api labdhuṃ samunnatim JCand_5.81d	api labDum samunnatim JCand-_5.81d
   apuṣṭārtho viśeṣye cen JCand_2.29a	apuzwa-arTaH viSezye ced JCand-_2.29a
   apy andhakāriṇānena JCand_5.74c	api anDakAriNA-anena JCand-_5.74c
   apy ambudheḥ paraṃ pāraṃ JCand_5.66c	api ambuDeH param pAram JCand-_5.66c
   aprayuktaṃ daivatādi- JCand_2.3a	aprayuktam dEvata-Adi JCand-_2.3a
   aprastutapraśaṃsā syāt JCand_5.65a	aprastuta-praSaMsA syAt JCand-_5.65a
   abhavanmatayogaḥ syān JCand_2.23a	aBavat-mata-yogaH syAt JCand-_2.23a
   abhimāno vicāraś ced JCand_3.3a	aBimAnaH vicAraH ced JCand-_3.3a
   abhīṣṭaviprayogāśru- JCand_6.7a	aBIzwa-viprayoga-aSru JCand-_6.7a
   abhedaḥ paryavasyati JCand_5.22b	aBedaH paryavasyati JCand-_5.22b
   amatārthāntaraṃ mukhye JCand_2.28a	amata-arTa-antaram muKye JCand-_2.28a
   amandacandanasyandaḥ JCand_5.73c	amanda-candana-syandaH JCand-_5.73c
   amandānandasandoha- JCand_5.3c	amanda-Ananda-sandoha JCand-_5.3c
   amī daśa guṇāḥ kāvye JCand_4.10c	amI daSa guNAH kAvye JCand-_4.10c
   amṛtaṃ sūktam ityādau JCand_9.8a	amRtam sUktam iti-AdO JCand-_9.8a
   ambarāntam upaity asau JCand_5.7d	ambara-antam upEti asO JCand-_5.7d
   ayatnena praharṣaṇam JCand_5.49b	ayatnena praharzaNam JCand-_5.49b
   ayam aindrīmukhaṃ paśya JCand_5.61c	ayam EndrImuKam paSya JCand-_5.61c
   ayaṃ pramattamadhupas JCand_5.32a	ayam pramatta-maDupaH JCand-_5.32a
   aruṇaṃ taruṇaiḥ karaiḥ JCand_2.7b	aruNam taruNEH karEH JCand-_2.7b
   arthagatvād dvidhā budhāḥ JCand_9.3d	arTa-ga-tvAt dviDA buDAH JCand-_9.3d
   arthaśaktibhuvo bhidaḥ JCand_7.11d	arTa-Sakti-BuvaH BidaH JCand-_7.11d
   arthaśaktisamutthasya JCand_7.6c	arTa-Sakti-samutTasya JCand-_7.6c
   arthaśleṣo 'rthamātrasya JCand_5.64a	arTa-SlezaH arTa-mAtrasya JCand-_5.64a
   arthasaṃstham api dvidhā JCand_9.4d	arTa-saMsTam api dviDA JCand-_9.4d
   arthānuprāsa iṣyate JCand_5.6b	arTa-anuprAsaH izyate JCand-_5.6b
   arthāntire saṃkramitam JCand_7.3c	arTa-antire saMkramitam JCand-_7.3c
   arthāpattiḥ svayaṃ sidhyet JCand_5.37a	arTApattiH svayam siDyet JCand-_5.37a
   arthe 'rtham anyaṃ yaṃ vakti JCand_7.17c	arTe arTam anyam yam vakti JCand-_7.17c
   arthe vidadhadityādau JCand_2.6c	arTe vidaDat-iti-AdO JCand-_2.6c
   artho dharma iva tvayi JCand_5.13d	arTaH DarmaH iva tvayi JCand-_5.13d
   ardharambhoruvigraham JCand_2.22d	arDa-ramBa-uru-vigraham JCand-_2.22d
   ardhāntarapadāpekṣi JCand_2.22a	arDa-antara-pada-apekzi JCand-_2.22a
   alaṅkāraḥ parikaraḥ JCand_5.39a	alaFkAraH parikaraH JCand-_5.39a
   alaṅkārāṅgatāṃ gate JCand_5.120d	alaFkAra-aFga-tAm gate JCand-_5.120d
   alaṅkārān imān sapta JCand_5.117c	alaFkArAn imAn sapta JCand-_5.117c
   alaṃkārapradhāneṣu JCand_5.123a	alaMkAra-praDAnezu JCand-_5.123a
   alaṃkāram alaṃkāro JCand_7.7c	alaMkAram alaMkAraH JCand-_7.7c
   alaṃkāras tu vastu yat JCand_7.7b	alaMkAraH tu vastu yat JCand-_7.7b
   alaṃkāreṣu tathyeṣu JCand_5.124a	alaMkArezu taTyezu JCand-_5.124a
   alaṃ vilokayādyāpi JCand_5.112c	alam vilokayA-adya-api JCand-_5.112c
   alpākṣarā vicitrārtha- JCand_3.1a	alpa-akzarAH vicitra-arTa JCand-_3.1a
   avajñā varṇyate vastu JCand_5.106a	avajQA varNyate vastu JCand-_5.106a
   avahittham athogratā JCand_6.17b	avahitTam aTa-ugra-tA JCand-_6.17b
   avimṛṣṭavidheyāṃśaḥ JCand_2.13a	avimRzwa-viDeya-aMSaH JCand-_2.13a
   avivakṣitavācyasya JCand_7.3a	avivakzita-vAcyasya JCand-_7.3a
   avyaktayoganiryoga- JCand_1.10a	avyakta-yoga-niryoga JCand-_1.10a
   aślīlaṃ trividhaṃ vrīḍā- JCand_2.8a	aSlIlam triviDam vrIxA JCand-_2.8a
   asatī sādhyasādhane JCand_3.7b	asatI sADya-sADane JCand-_3.7b
   asamarthaṃ tu hantyādeḥ JCand_2.3c	asamarTam tu hanti-AdeH JCand-_2.3c
   asaṃbhavo 'rthaniṣpattāv JCand_5.75a	asaMBavaH arTa-nizpattO JCand-_5.75a
   asaṃbhāvyatvavarṇanam JCand_5.75b	asaMBAvya-tva-varNanam JCand-_5.75b
   asāv udeti śītāṃśur JCand_3.10c	asO udeti SItAMSuH JCand-_3.10c
   asundaraṃ yadi vyaṅgyaṃ JCand_8.9a	asundaram yadi vyaFgyam JCand-_8.9a
   asau na manyate kasmād JCand_1.8c	asO na manyate kasmAt JCand-_1.8c
   asau narapurandaraḥ JCand_2.38d	asO nara-purandaraH JCand-_2.38d
   asti kiñcid yadanayā JCand_5.36c	asti kiQcid yat-anayA JCand-_5.36c
   asthānasthasamāsaṃ na JCand_2.24c	asTAna-sTa-samAsam na JCand-_2.24c
   asphuṭatvaṃ taṭasthatvaṃ JCand_9.5c	asPuwa-tvam tawasTa-tvam JCand-_9.5c
   asphuṭaṃ cārthaniṣṭhatvāt JCand_9.4a	asPuwam ca-arTa-nizWa-tvAt JCand-_9.4a
   asphuṭaṃ stanayor atra JCand_8.6a	asPuwam stanayoH atra JCand-_8.6a
   asmākaṃ tu na nirṇayaḥ JCand_5.32d	asmAkam tu na nirNayaH JCand-_5.32d
   aho anyaiva lāvaṇya- JCand_5.45c	aho anyA-eva lAvaNya JCand-_5.45c
   aṃśukāntaṃ śaśī kurvann JCand_5.7c	aMSuka-antam SaSI kurvan JCand-_5.7c
   ākarṇaya payaḥpūrṇa- JCand_2.26c	AkarNaya payaH-pUrNa JCand-_2.26c
   ākṣepas tu prayuktasya JCand_5.71a	AkzepaH tu prayuktasya JCand-_5.71a
   ākhyāte bhinnadeśatve JCand_5.78a	AKyAte Binna-deSa-tve JCand-_5.78a
   āturyam āsaptamaṃ ca JCand_6.21a	Aturyam Asaptamam ca JCand-_6.21a
   ādi rūpitarūpakam JCand_5.21d	Adi rUpita-rUpakam JCand-_5.21d
   ādheyādhikavarṇanam JCand_5.82b	ADeya-aDika-varNanam JCand-_5.82b
   ābhimukhyāt saṃnidhānāt JCand_9.8c	ABimuKyAt saMniDAnAt JCand-_9.8c
   āmantrya pratibodhitaḥ JCand_7.14b	Amantrya pratiboDitaH JCand-_7.14b
   āyur evedam īdṛśam JCand_9.12d	AyuH eva-idam IdRSam JCand-_9.12d
   āyur ghṛtam itīdṛśam JCand_9.12b	AyuH GRtam iti-IdRSam JCand-_9.12b
   ālambanoddīpanātmā JCand_6.1a	Alambana-uddIpana-AtmA JCand-_6.1a
   ālasyaṃ caiva dainyaṃ ca JCand_6.15c	Alasyam ca-eva dEnyam ca JCand-_6.15c
   ālasyerṣyājugupsābhyo JCand_6.4c	Alasya-IrzyA-aju-gupsAByaH JCand-_6.4c
   āliṅganti samaṃ deva JCand_5.41c	AliFganti samam deva JCand-_5.41c
   āvṛttavarṇasampūrṇaṃ JCand_5.3a	AvRtta-varNa-sampUrNam JCand-_5.3a
   āvṛttavarṇastabakaṃ JCand_5.8a	AvRtta-varNa-stabakam JCand-_5.8a
   āvṛtte dīpakapade JCand_5.53a	AvRtte dIpaka-pade JCand-_5.53a
   āvego jaḍatā tathā JCand_6.16b	AvegaH jaxa-tA taTA JCand-_6.16b
   āsvādyamānaikatanuḥ JCand_6.3c	AsvAdyamAna-eka-tanuH JCand-_6.3c
   āhur vākyakadambakam JCand_1.15d	AhuH vAkya-kadambakam JCand-_1.15d
   āhlādasādhanaṃ vāyuḥ JCand_2.8c	AhlAda-sADanam vAyuH JCand-_2.8c
   ity anvarthavicāraṇāt JCand_5.122b	iti anvarTa-vicAraNAt JCand-_5.122b
   ity aṣṭadhā guṇībhūta- JCand_8.10c	iti azwaDA guNIBUta JCand-_8.10c
   ityādi lakṣaṇaṃ bhūri JCand_3.11a	ityAdi lakzaNam BUri JCand-_3.11a
   ity ūhonyaprasiddhaye JCand_5.48b	iti Uhonya-prasidDaye JCand-_5.48b
   ityevamādeḥ saṃbandhāt JCand_9.9c	iti-evamAdeH saMbanDAt JCand-_9.9c
   ityevaṃ boddhṛvaicitryād JCand_7.15a	iti-evam bodDR-vEcitryAt JCand-_7.15a
   indur indurivetyādau JCand_5.12c	induH induH-iva-ityAdO JCand-_5.12c
   indur evedam īdṛśam JCand_9.11d	induH eva-idam IdRSam JCand-_9.11d
   indur evaiṣa tadvaktram JCand_9.6c	induH eva-eza tad-vaktram JCand-_9.6c
   indur mukham itīdṛśam JCand_9.11b	induH muKam iti-IdRSam JCand-_9.11b
   indur mukham ivetyādau JCand_5.14c	induH muKam iva-ityAdO JCand-_5.14c
   indur yadi kathaṃ tīvraḥ JCand_3.3c	induH yadi kaTam tIvraH JCand-_3.3c
   iyam adbhutaśākhyagra- JCand_2.5c	iyam adButa-SAKi-agra JCand-_2.5c
   iva vācyena sāmyabhṛt JCand_8.8b	iva vAcyena sAmya-BRt JCand-_8.8b
   ivādikapadābhāve JCand_5.30a	iva-Adika-pada-aBAve JCand-_5.30a
   ivāhlādaṃ vikāsayan JCand_6.2d	iva-AhlAdam vikAsayan JCand-_6.2d
   iṣyamāṇaviruddhārtha- JCand_5.50a	izyamANa-virudDa-arTa JCand-_5.50a
   īdṛśaiś caritai rājan JCand_3.6c	IdRSEH caritEH rAjan JCand-_3.6c
   uktir vyājastutir nindā- JCand_5.70a	uktiH vyAja-stutiH nindA JCand-_5.70a
   uccairasyati mandatāmarasatāṃ jāgratkalaṅkairava- JCand_1.1a	uccEs-asyati manda-tAmarasatAm jAgrat-kalaFkEH-ava JCand-_1.1a
   ucchaladbhūrikīlālaḥ JCand_5.62c	ucCalat-BUri-kIlAlaH JCand-_5.62c
   utkaṇṭhitāṃ ca kalayan JCand_5.97c	utkaNWitAm ca kalayan JCand-_5.97c
   utkarṣo lakṣyate mukhe JCand_9.6d	utkarzaH lakzyate muKe JCand-_9.6d
   utpalābhyām adhaḥkṛtau JCand_5.98d	utpalAByAm aDas-kRtO JCand-_5.98d
   utprekṣonnīyate yatra JCand_5.29a	utprekzA-unnIyate yatra JCand-_5.29a
   utsāhākhyasthāyibhāvaḥ JCand_6.9a	utsAha-AKya-sTAyi-BAvaH JCand-_6.9a
   utsiktakṣitibhṛllakṣya- JCand_5.19c	utsikta-kziti-BRt-lakzya JCand-_5.19c
   udāttam ṛddheś caritaṃ JCand_5.114a	udAttam RdDeH caritam JCand-_5.114a
   udāratā tu vaidagdhyam JCand_4.9a	udAra-tA tu vEdagDyam JCand-_4.9a
   udārasāraś ced bhāti JCand_5.90a	udAra-sAraH ced BAti JCand-_5.90a
   udety ambudhibāndhavaḥ JCand_2.21d	udeti ambuDi-bAnDavaH JCand-_2.21d
   unmādādyair yathākramam JCand_6.5b	unmAda-AdyEH yaTAkramam JCand-_6.5b
   upakāraḥ parasparam JCand_5.83b	upakAraH parasparam JCand-_5.83b
   upamāne tu līlādi- JCand_5.15a	upamAne tu lIlA-Adi JCand-_5.15a
   upamānopameyatve JCand_5.12a	upamAna-upameya-tve JCand-_5.12a
   upamānopameyayoḥ JCand_5.58b	upamAna-upameyayoH JCand-_5.58b
   upamā yatra sādṛśya- JCand_5.11a	upamA yatra sAdRSya JCand-_5.11a
   upameyamayī bhittis JCand_5.18c	upameya-mayI BittiH JCand-_5.18c
   upameyopamānādāv JCand_5.6a	upameya-upama-anAdO JCand-_5.6a
   upameyopamā matā JCand_5.13b	upameya-upamA matA JCand-_5.13b
   upādānārpaṇadvāre JCand_9.13a	upAdAna-arpaNa-dvAre JCand-_9.13a
   upādhiḥ kvacid udbhinnaḥ JCand_5.119c	upADiH kvacid udBinnaH JCand-_5.119c
   upekṣānihnavābhyāṃ ca JCand_7.15c	upekzA-nihnavAByAm ca JCand-_7.15c
   ullasattanutāṃ nīte JCand_4.2a	ullasat-tanu-tAm nIte JCand-_4.2a
   ullasatpañcaśākhas te JCand_5.20c	ullasat-paQcaSAKaH te JCand-_5.20c
   ullāsāya vicāravīcinicayālaṅkāravārām nidheś JCand_1.2c	ullAsAya vicAra-vIci-nicaya-alaFkAra-vArAm niDeH JCand-_1.2c
   ullāso 'nyamahimnā ced JCand_5.100a	ullAsaH anya-mahimnA ced JCand-_5.100a
   uṣākāntenānugataḥ JCand_3.1c	uzA-kAntena-anugataH JCand-_3.1c
   ūhitārthaniṣedhakṛt JCand_3.3b	Uhita-arTa-nizeDa-kRt JCand-_3.3b
   ekasyaivānyatocyate JCand_5.45b	ekasya-eva-anyatA-ucyate JCand_5.45b
   ekasyollekhitā matā JCand_5.23b	ekasya-ulleKitA matA JCand-_5.23b
   ekaṃ me cumbanaṃ dehi JCand_2.33a	ekam me cumbanam dehi JCand-_2.33a
   ekākṣaraṃ vinā bhūbhrū- JCand_2.7c	eka-akzaram vinA BU-BrU JCand-_2.7c
   ekaikaṃ pṛthagarthatā JCand_5.62b	ekEkam pRTak-arTa-tA JCand-_5.62b
   ete bhavanti vinyāsāḥ JCand_5.121c	ete Bavanti vinyAsAH JCand-_5.121c
   eteṣām eva vinyāsān JCand_5.118c	etezAm eva vinyAsAn JCand-_5.118c
   eṣa pīyūṣabhājanam JCand_2.21b	eza pIyUza-BAjanam JCand-_2.21b
   eṣu saptadaśasv ekaṃ JCand_7.10c	ezu saptadaSasu ekam JCand-_7.10c
   aikyāropo nidarśanā JCand_5.57b	Ekya-AropaH nidarSanA JCand-_5.57b
   aiyaruḥ kuñjarāḥ puram JCand_2.19d	EyaruH kuQjarAH puram JCand-_2.19d
   -aiva cet pṛthagarthatā JCand_5.63b	-a-eva ced pRTak-arTa-tA JCand-_5.63b
   ojaḥ syāt prauḍhir arthasya JCand_4.7a	ojaH syAt prOXiH arTasya JCand-_4.7a
   kajjaleneva bhūṣyate JCand_1.5d	kajjalena-iva BUzyate JCand-_1.5d
   kaṭākṣa iva lolākṣyā JCand_7.2c	kawAkzaH iva lola-akzyA JCand-_7.2c
   kaṭākṣān śatruyoṣitām JCand_5.93d	kawAkzAn Satru-yozitAm JCand-_5.93d
   kaṭākṣāḥ kāmināṃ hṛdi JCand_2.13d	kawAkzAH kAminAm hRdi JCand-_2.13d
   kaṭākṣāḥ kuntalāś ca te JCand_5.64d	kawAkzAH kuntalAH ca te JCand-_5.64d
   kaṭākṣāḥ khañjanatviṣaḥ JCand_2.29d	kawAkzAH KaQjana-tvizaH JCand-_2.29d
   kaṭākṣairapi nīlatām JCand_5.105d	kawAkzEH-api nIla-tAm JCand-_5.105d
   kathaṃ jātā kalāṅkitā JCand_2.43b	kaTam jAtA kalA-aFkitA JCand-_2.43b
   kathitaṃ punaruktā vāk JCand_2.19a	kaTitam punar-uktAH vAc JCand-_2.19a
   kapākrāntas tavargaḥ syāt JCand_6.24c	kapa-AkrAntaH tavargaH syAt JCand-_6.24c
   kamalaiḥ kamalāvāsaiḥ JCand_5.66a	kamalEH kamala-AvAsEH JCand-_5.66a
   karṇotpalāni dadhate JCand_5.105c	karNa-utpalAni daDate JCand-_5.105c
   karṇau dormūladolinau JCand_5.87d	karNO dormUla-dolinO JCand-_5.87d
   kalindajātīraruhāḥ JCand_5.47c	kalinda-jAtIH-a-ruhAH JCand-_5.47c
   kavīnāṃ samayād vidyā- JCand_2.43c	kavInAm samayAt vidyA JCand-_2.43c
   kaver vā prauḍhinirmitaḥ JCand_7.8b	kaveH vA prOXi-nirmitaH JCand-_7.8b
   kaveḥ prauḍhivaśena vā JCand_5.1b	kaveH prOXi-vaSena vA JCand-_5.1b
   kaścit taṭasthaḥ kaścic ca JCand_7.14c	kaScid tawa-sTaH kaScid ca JCand-_7.14c
   kaścit sādhāraṇaḥ kaścid JCand_7.14a	kaScid sADAraNaH kaScid JCand-_7.14a
   kaṣṭaḥ spaṣṭāvabodhārtham JCand_2.30a	kazwaH spazwa-avaboDa-arTam JCand-_2.30a
   kaste viveko nayasi JCand_5.70c	kaH-te vivekaH nayasi JCand-_5.70c
   kasyāpy atiśayasyokter JCand_5.122a	kasya-api atiSayasya-ukteH JCand-_5.122a
   kaṃ saṃhinasti kaṃsārir JCand_10.3c	kam saMhinasti kaMsAriH JCand-_10.3c
   kaṃsārir yatra pūjyate JCand_3.2d	kaMsAriH yatra pUjyate JCand-_3.2d
   kākusthaṃ praṇato 'mbhodhir JCand_8.10a	kAku-sTam praNataH amBoDiH JCand-_8.10a
   kāñcīratnair aharmahaḥ JCand_5.103d	kAQcI-ratnEH ahar-mahaH JCand-_5.103d
   kāntaḥ kiṃ na hi nūpuraḥ JCand_5.27d	kAntaH kim na hi nUpuraH JCand-_5.27d
   kāntaḥ kuṭilakuntalaḥ JCand_2.4b	kAntaH kuwila-kuntalaH JCand-_2.4b
   kāntā candreṇa rājate JCand_2.25d	kAntA candreNa rAjate JCand-_2.25d
   kāntācitte 'dhare vāpi JCand_5.95c	kAntA-citte aDare vA-api JCand-_5.95c
   kāntā talpam akalpayat JCand_5.108d	kAntA talpam akalpayat JCand-_5.108d
   kāntādṛkpātakaitavāt JCand_5.28d	kAntAdRS-pAta-kEtavAt JCand-_5.28d
   kāntānāśe bhavet katham JCand_2.8d	kAntA-nASe Bavet kaTam JCand-_2.8d
   kānte tvadānanarucā JCand_8.8c	kAnte tvad-Anana-rucA JCand-_8.8c
   kāntena pṛṣṭā rahasi JCand_5.22c	kAntena pRzwA rahasi JCand-_5.22c
   kāntyarthavyaktisaṃgrahaḥ JCand_4.10b	kAnti-arTa-vyakti-saMgrahaH JCand-_4.10b
   kāntyā bhāti ravis tviṣā JCand_5.53d	kAntyA BAti raviH tvizA JCand-_5.53d
   kāminīvadanopamā JCand_5.92d	kAminI-vadana-upamA JCand-_5.92d
   kāminīva bhavet khaḍga- JCand_5.10a	kAminI-iva Bavet Kaxga JCand-_5.10a
   kāraṇaṃ kāryajanma cet JCand_5.76b	kAraNam kArya-janma ced JCand-_5.76b
   kāraṇādyavadhāraṇam JCand_5.36b	kAraNa-Adi-avaDAraNam JCand-_5.36b
   kāraṇānām anādaraḥ JCand_3.5b	kAraNAnAm anAdaraH JCand-_3.5b
   kāraṇāntarasannidheḥ JCand_5.97b	kAraNa-antara-sanniDeH JCand-_5.97b
   kāram āhur atadguṇam JCand_5.104b	kAram AhuH atad-guNam JCand-_5.104b
   kāryakāraṇabhāvāt sā JCand_9.9a	kArya-kAraNa-BAvAt sA JCand-_9.9a
   kāryakāraṇasāmānya- JCand_5.65c	kArya-kAraNa-sAmAnya JCand-_5.65c
   kāryasya sati kāraṇe JCand_5.77b	kAryasya sati kAraNe JCand-_5.77b
   kāryahetvor asaṃgatiḥ JCand_5.78b	kArya-hetvoH asaMgatiH JCand-_5.78b
   kāryaṃ phalopalambhaś ced JCand_3.10a	kAryam Pala-upalamBaH ced JCand-_3.10a
   kāryādyaiḥ prastutair uktaiḥ JCand_5.69a	kArya-AdyEH prastutEH uktEH JCand-_5.69a
   kārye hetuprasaktije JCand_5.43b	kArye hetu-prasakti-je JCand_5.43b
   kāryo 'nubhāvo bhāvaś ca JCand_6.1c	kAryaH anuBAvaH BAvaH ca JCand-_6.1c
   kālaḥ śatrubhir aikṣi saḥ JCand_5.23d	kAlaH SatruBiH Ekzi saH JCand-_5.23d
   kā vārtā sarasīruhām JCand_5.37d	kA vArtA sarasIruhAm JCand-_5.37d
   kāvyavitpravaraiścitraṃ JCand_5.9a	kAvya-vid-pravarEH-citram JCand-_5.9a
   kāvyasya kāñcanasyeva JCand_6.20c	kAvyasya kAQcanasya-iva JCand-_6.20c
   kāvyasyāhur maharṣayaḥ JCand_3.11b	kAvyasya-AhuH mahA-RzayaH JCand-_3.11b
   kāvyaṃ tatra śivastavaḥ JCand_5.89d	kAvyam tatra SivastavaH JCand-_5.89d
   kāvye nāṭye ca kārye ca JCand_6.3a	kAvye nAwye ca kArye ca JCand-_6.3a
   kāśmīrasekā raktāṅgī JCand_5.10c	kASmI-rasekA rakta-aFgI JCand-_5.10c
   kā hānir amṛtadyuteḥ JCand_5.106d	kA hAniH amRta-dyuteH JCand-_5.106d
   kiṃ kiṃ nāsādi sundaram JCand_5.66b	kim kim nAsA-Adi sundaram JCand-_5.66b
   kiṃcānyasmāc catuṣṭayāt JCand_9.9d	kiMca-anyasmAt catuzwayAt JCand-_9.9d
   kiṃ tu cakṣur mṛgākṣīṇāṃ JCand_1.5c	kim tu cakzuH mRga-akzINAm JCand-_1.5c
   kiṃ tu prakṛtikomalāḥ JCand_5.58d	kim tu prakRti-komalAH JCand-_5.58d
   kiṃ padmena kimindunā JCand_5.99d	kim padmena kim-indunA JCand-_5.99d
   kīrtiḥ pratyarthibhiḥ saha JCand_5.59d	kIrtiH pratyarTiBiH saha JCand-_5.59d
   kīrtyate tulyatoktaye JCand_3.8b	kIrtyate tulya-toktaye JCand_3.8b
   kuṅkumaṃ kāntisaṃpade JCand_6.20d	kuFkumam kAnti-saMpade JCand-_6.20d
   kuṅkumāktaṃ stanadvandvaṃ JCand_8.6c	kuFkuma-aktam stana-dvandvam JCand-_8.6c
   kuṭilā saralā kvacit JCand_7.1d	kuwilA saralA kvacid JCand-_7.1d
   kuṭilāḥ śyāmalā dīrghā JCand_5.64c	kuwilAH SyAmalA dIrGA JCand-_5.64c
   kuṇḍalacchavivigrahā JCand_2.36b	kuNxala=-Cavi-vigrahA JCand-_2.36b
   kutastatropamā yatra JCand_2.31c	kutas-tatra-upamA yatra JCand-_2.31c
   kuntā viśanti gaṅgāyāṃ JCand_9.13c	kuntAH viSanti gaFgAyAm JCand-_9.13c
   kuraṅgair uttaraṅgākṣi JCand_5.111c	kuraFgEH uttaraFga-akzi JCand-_5.111c
   kuru tvaṃ vītarāgatām JCand_5.95d	kuru tvam vIta-ra-Aga-tAm JCand-_5.95d
   kusandhiḥ paṭav āgaccha JCand_2.16c	kusanDiH pawau AgacCa JCand-_2.16c
   kecid āhur manīṣiṇaḥ JCand_5.117d	kecid AhuH manIziNaH JCand-_5.117d
   ketakī śekhare śambhor JCand_2.35c	ketakI SeKare SamBoH JCand-_2.35c
   kelikautukavānarī JCand_2.5d	keli-kOtuka-vAnarI JCand-_2.5d
   kaitavāpahnutir vyakte JCand_5.28a	kEtava-apahnutiH vyakte JCand-_5.28a
   kokasādṛśyavan matam JCand_8.6b	koka-sAdRSya-vat matam JCand-_8.6b
   ko veda gopaśiśukaḥ JCand_5.75c	kaH veda gopa-SiSukaH JCand-_5.75c
   kaunteyādisvarūpiṇaḥ JCand_1.11d	kOnteya-Adi-svarUpiNaH JCand-_1.11d
   kramādekaikamanvitāḥ JCand_5.91b	kramAt-ekEkam-anvitAH JCand-_5.91b
   kriyādibhir anekasya JCand_5.51a	kriyA-AdiBiH anekasya JCand-_5.51a
   krīḍānṛtyeṣu sasmitam JCand_2.22b	krIxA-nRtyezu sa-smitam JCand-_2.22b
