   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   sarvān sattvāṃstārayituṃ yaḥ pratipanno yano jñāne sarvagate	sarvAn sattvAn= tArayitum yaH pratipannaH yanaH jQAne sarva gate
   kauśalyayuktaḥ /	kOSalya yuktaH /
   yo nirvāṇe saṃsaraṇe 'pyekaraso 'sau [saṃsṛtiśāntyekaraso 'sau] jñeyo	yaH nirvANe saMsaraNe api ekarasaH asO [saMsRti SAnti eka rasaH asO] jQeyaH 
   dhīmāneṣa hi sarvatraga evam // MSA_2.3 //	DImAn eza hi sarvatrage evam // MSAH _2.3 //
   śaraṇagatimimāṃ gato mahārthāṃ guṇagaṇavṛddhimupaiti so 'prameyām /	SaraNa gatim imAm gataH mahArTAm guNa gaNa vRdDim upEti saH aprameyAm /
   sphurati jagadidaṃ kṛpāśayena prathayati cāpratimaṃ mahā[rdhaṃ]dharmam //	sPurati jagat idam kRpA ASayena praTayati ca apratimam mahA [rDaM]Darmam //
   MSA_2.4 //	MSAH _2.4 //
   mahāyānasūtrālaṃkāre śaraṇagamanādhikāro dvitīyaḥ	mahAyAna sUtra alaMkAre SaraNa gamana aDikAraH dvitIyaH
   tṛtīyo 'dhikāraḥ	tRtIyaH aDikAraH
   gotraprabhedasaṃgrahaślokaḥ	gotra praBeda saMgraha SlokaH
   sattvāgratvaṃ svabhāvaśca liṅgaṃ gotraprabhedatā /	sattva agra tvam svaBAvaH ca liFgam gotra praBedatA /
   ādīnavo 'nuśaṃsaśca dvidhaupamyaṃ caturvidhā // MSA_3.1 //	AdInavaH anuSaMsaH ca dviDA Opamyam caturviDAH // MSAH _3.1 //
   dhātūnāmadhimukteśca pratipatteśca bhedataḥ /	DAtUnAm aDimukteH ca pratipatteH ca BedataH /
   phalabhedopalabdheśca gotrāstitvaṃ nirūpyate // MSA_3.2 //	Pala Beda upalabDeH ca gotrAstitvam nirUpyate // MSAH _3.2 //
   udagratve 'tha sarvatve mahārthatve 'kṣayāya ca /	udagra tve aTa sarva tve mahArTa tve akzayAya ca /
   śubhasya tatrimittatvāt gotrāgratvaṃ vidhīyate // MSA_3.3 //	SuBasya tatri mitta tvAt gotra agra tvam viDIyate // MSAH _3.3 //
   prakṛtyā paripuṣṭaṃ ca āśrayaścāśritaṃ ca tat /	prakRtyA paripuzwam ca ASrayaH ca ASritam ca tat /
   sadasaccaiva vijñeyaṃ guṇottāraṇatārthataḥ // MSA_3.4 //	sat asat ca eva vijQeyam guNa uttAraNa tA arTataH // MSAH _3.4 //
   kāruṇyamadhimuktiśca kṣāntiścādiprayogataḥ /	kAruNyam aDimuktiH ca kzAntiH ca Adi prayogataH /
   samācāraḥ subhasyāpi gotreliṅgaṃ nirupyate // MSA_3.5 //	samAcAraH suBasyA api gotreliFgam nirupyate // MSAH _3.5 //
   niyatāniyataṃ gotramahāryaṃ hāryameva ca /	niyata aniyatam gotra mahAryam hAryam eva ca /
   pratyairgotrabhedo 'yaṃ samāsena caturvidhaḥ // MSA_3.6 //	pratyEH gotra BedaH ayam samAsena caturviDaH // MSAH _3.6 //
   kleśābhyāsaḥ kumitratvaṃ vidhātaḥ paratantratā /	kleSa aByAsaH kumitra tvam viDAtaH paratantra tA /
   gotrasyādīnavo jñeyaḥ samāsena caturvidhaḥ // MSA_3.7 //	gotrasya AdInavaH jQeyaH samAsena caturviDaH // MSAH _3.7 //
   cirādapāyagamanamāśumokṣaśca tatra ca /	cirAt apAya gamanam ASumokzaH ca tatra ca /
   tanuduḥkhopasaṃvittiḥ sodvegā sattvapācanā // MSA_3.8 //	tanu duHKa upasaMvittiH sa udvegA sattva pAcanAH // MSAH _3.8 //
   suvarṇagotravat jñeyamameyaśubhatāśrayaḥ /	suvarNa gotra vat jQeyam ameya SuBa tA ASrayaH /
   jñānanirmalatāyogaprabhāvāṇāṃ ca niśrayaḥ // MSA_3.9 //	jQAna nirmala tA yoga praBAvANAm ca niSrayaH // MSAH _3.9 //
   suratnagotravatjñeyaṃ mahābodhinimittataḥ /	su ratna gotra vat jQeyam mahA boDi nimittataH /
   mahājñānasamādhyāryamahāsattvārthaniśrayāt // MSA_3.10 //	mahA jQAna samADi Arya mahA sattva arTa niSrayAt // MSAH _3.10 //
   aikāntiko duścarite 'sti kaścit kaścit samudghātitaśukladharmā /	EkAntikaH duScarite asti kaScid kaScid samudGAtita Sukla DarmAH /
   amokṣabhāgīyaśubho 'sti kaścin nihīnaśuklo 'styapi hetuhīnaḥ // MSA_3.11	amokza BAgIya SuBaH asti kaScid nihIna SuklaH asti api hetu hInaH // MSAH _3.11
   gāmbhīryaudāryavāde parahitakaraṇāyodite dīrghadharme	gAmBIrI a OdArya vAde para hita karaNAya udite dIrGa Darme
   ajñātvaivādhimuktirbhavati suvipulā saṃprapattikṣamā ca /	ajQA tvA eva aDimuktiH Bavati su vipulA saMprapatti kzamA ca /
   saṃpattiścāvasāne dvayagataparamā yadbhavatyeva teṣāṃ tajjñeyaṃ	saMpattiH ca avasAne dvaya gata paramA yat Bavati eva tezAm tat jQeyam
   bodhisattvaprakṛtiguṇavatastatprapuṣṭācca gotrāt // MSA_3.12 //	boDisattva prakRti guNavataH tad prapuzwAt ca gotrAt // MSAH _3.12 //
   suvipulaguṇabodhivṛkṣavṛddhyai dhanasukhaduḥkhaśamopalabdhaye ca /	su vipula guNa boDi vRkza vRdDyE Dana suKa duHKa Sama upalabDaye ca /
   svaparahitasukhakriyā phalatvād bhavati samudagra[samūlamudagra]gotrametat	su apara hita suKa kriyA PalatvAt Bavati samudagra[ sa mUlam udagra] gotram etat 
   // MSA_3.13 //	// MSAH _3.13 //
   mahāyānasūtrālaṃkāre gotrādhikārastṛtīyaḥ	mahAyAna sUtra alaMkAre gotra aDikAraH tRtIyaH
   caturtho 'dhikāraḥ	caturTaH aDikAraH
   cittotpādalakṣaṇe ślokaḥ /	citta utpAda lakzaNe SlokaH /
   mahotsāhā mahārambhā mahārthāya mahodayā /	mahA utsAhAH mahA AramBA mahA arTAya mahA udayA /
   cetanā bodhisattvānāṃ dvayārthā cittasaṃbhavaḥ // MSA_4.1 //	cetanA boDisattvAnAm dvaya arTA citta saMBavaH // MSAH _4.1 //
   cittotpādo 'dhimokṣo 'sau śuddhādhyāśayiko 'paraḥ /	citta utpAdaH aDimokzaH asO SudDADyASayikaH aparaH /
   vaipākyo bhūmiṣu matastathāvaraṇavarjitaḥ // MSA_4.2 //	vEpAkyaH BUmizu mataH taTA AvaraNa varjitaH // MSAH _4.2 //
   karuṇāmūla iṣṭo 'sau sadāsattvahitāśayaḥ /	karuNA mUlaH izwaH asO sadA sattva hita ASayaH /
   dharmādhimokṣastajjñānaparyeṣṭyālambanastathā // MSA_4.3 //	Darma aDimokzaH tad jQAna paryezwya AlambanaH taTA // MSAH _4.3 //
   uttaracchandayāno 'sau pratiṣṭhāśīlasaṃvṛtiḥ /	uttarat CandayAnaH asO pratizWA SIla saMvRtiH /
   utthāpanā vipakṣasya paripantho 'dhivāsanā // MSA_4.4 //	utTApanAH vipakzasya paripanTaH aDivAsanA // MSAH _4.4 //
   śubhavṛddhyanuśaṃso 'bhau puṇyajñānamayaḥ sa hi /	SuBa vRdDi anuSaMsaH aBO puNya jQAna mayaH sa hi /
   sadāpāramitāyoganiryāṇaśca sa kathyate // MSA_4.5 //	sadA pAramitA yoga niryANaH ca sa kaTyate // MSAH _4.5 //
   bhūmiparyavasāno 'sau pratisvaṃ tatprayogataḥ /	BUmi paryavasAnaH asO pratisvam tad prayogataH /
   vijñeyo bodhisattvānāṃ cittotpādaviniścayaḥ // MSA_4.6 //	vijQeyaH boDisattvAnAm citta utpAda viniScayaH // MSAH _4.6 //
   mitrabalād hetubalānmūlabalācchū tabalācchubhābhyāsāt /	mitra balAt hetu balAt mUla balAt SU tabalAt SuBa aByAsAt /
   adṛḍhadṛḍhodaya uktaścittotpādaḥ parākhyānāt // MSA_4.7 //	adRXa dRXa udayaH uktaH citta utpAdaH para AKyAnAt // MSAH _4.7 //
   sūpāsitasaṃbuddhe susaṃbhṛtajñānapuṇyasaṃbhāre /	su upAsita saMbudDe su saMBRta jQAna puNya saMBAre /
   dharmeṣu nirvikalpajñānaprasavātparamatāsya // MSA_4.8 //	Darmezu nirvikalpa jQAna prasavAt parama ta asya // MSAH _4.8 //
   dharmeṣu ca satveṣu ca tatkṛtyeṣūttame ca buddhatve /	Darmezu ca satvezu ca tat kRtyezu uttame ca budDa tve /
   samacittopā[ttopa]lambhātprāmodyaviśiṣṭatā tasya // MSA_4.9 //	sama citta upA[tta upa]lamBAt prAmodya viSizwa tA tasya // MSAH _4.9 //
   janmaudāryaṃ tasminnutsāhaḥ śuddhirāśayasyāpi /	janma OdAryam tasmin= utsAhaH SudDiH ASayasya api /
   kauśalyaṃ pariśiṣṭe niryāṇaṃ caiva vijñeyam // MSA_4.10 //	kOSalyam pariSizwe niryANam ca eva vijQeyam // MSAH _4.10 //
   dharmādhimuktibījātpāramitāśreṣṭhamātṛto jātaḥ /	Darma aDimukti bIjAt pAramitA SrezWa mAtRtaH jAtaH /
   dhyānamaye sukhagarbhe karuṇā saṃvardhikā dhātrī // MSA_4.11 //	DyAna maye suKa garBe karuNA saMvarDikA DAtrI // MSAH _4.11 //
   audāryaṃ vijñeyaṃ praṇidhānamahādaśābhinirhārāt /	OdAryam vijQeyam praNiDAna mahAdaSA aBinirhArAt /
   utsāho boddhavyo duṣkaradīghāghikākhedāt // MSA_4.12 //	utsAhaH bodDavyaH duzkara dIGa aGikA KedAt // MSAH _4.12 //
   āsannabodhibodhāttadupāyajñānalābhataścāpi /	Asanna boDi boDAt tad upAya jQAna lABataH ca api /
   āśayaśuddhirjñeyā kauśalyaṃ tvanyabhūmigatam // MSA_4.13 //	ASaya SudDiH jQeyA kOSalyam tu anya BUmi gatam // MSAH _4.13 //
   niryāṇaṃ vijñeyaṃ yathāvyavasthānamanasikāreṇa /	niryANam vijQeyam yaTA vyavasTAna manasikAreNa /
   tatkalpanatājñānādavikalpanayā ca tasyaiva // MSA_4.14 //	tad kalpa natA jQAnAt avikalpanayA ca tasya eva // MSAH _4.14 //
   pṛthivīsama utpādaḥ kalyāṇasuvarṇasaṃnibhaścānyaḥ /	pRTivI samaH utpAdaH kalyANa suvarNa saMniBaH ca anyaH /
   śuklanavacandrasadṛśo vahniprakhyo 'parocchrāyaḥ [jñeyaḥ] // MSA_4.15 //	Sukla nava candra sadRSaH vahni praKyaH aparocCrAyaH [jQeyaH] // MSAH _4.15 //
   bhūyo mahānidhānavadanyo ratnākaro yathaivānyaḥ /	BUyas mahA niDAna vat anyaH ratna AkaraH yaTA eva anyaH /
   sāgarasadṛśo jñeyo vajraprakhyo 'calendranibhaḥ // MSA_4.16 //	sAgara sadRSaH jQeyaH vajra praKyaH acala indra niBaH // MSAH _4.16 //
   bhaiṣajyarājasadṛśo mahāsuhṛtsaṃnibho 'paro jñeyaḥ /	BEzajya rAja sadRSaH mahA suhRd saMniBaH aparaH jQeyaH /
   cintāmaṇiprakāśo dinakarasadṛśo 'paro jñeyaḥ // MSA_4.17 //	cintAmaNi prakASaH dinakara sadRSaH aparaH jQeyaH // MSAH _4.17 //
   gandharvamadhuraghoṣavadanyo rājopamo 'paro jñeyaḥ /	ganDarva maDura Goza vat anyaH rAja upamaH aparaH jQeyaH /
   koṣṭhāgāraprakhyo mahāpathasamastathaivānyaḥ // MSA_4.18 //	kozWAgAra praKyaH mahApaTa samaH taTA eva anyaH // MSAH _4.18 //
   yānasamo vijñeyo gandharvasamaśca vetasaga[cetasaḥ]prabhavaḥ /	yAna samaH vijQeyaH ganDarva samaH ca vetasa ga[cetasaH]praBavaH /
   ānandaśabdasadṛśo mahānadīśrota[srotaḥ]sadṛśaśca // MSA_4.19 //	Ananda Sabda sadRSaH mahA nadI Srota[ srotaH] sadRSaH ca // MSAH _4.19 //
   meghasadṛśaśca kathataścittotpādo jinātmajānāṃ hi /	meGa sadRSaH ca kaTataH citta utpAdaH jina AtmajAnAm hi /
   tasmāttathā guṇāḍhyaṃ cittaṃ muditaiḥ samutpādyam // MSA_4.20 //	tasmAt taTA guNa AXyam cittam muditEH samutpAdyam // MSAH _4.20 //
   parārthacittāttadupāyalābhato mahābhisaṃdhyarthasutatvadarśanāt /	para arTa cittAt tad upAya lABataH mahA aBisaMDi arTa suta tva darSanAt /
   mahārhacittodayavarjitā janāḥ śamaṃ gamiṣyanti vihāya tatsukham //	mahArha citta udaya varjitAH janAH Samam gamizyanti vihAya tad suKam //
   MSA_4.21 //	MSAH _4.21 //
   sahodayāccittavarasya dhīmataḥ susaṃvṛtaṃ cittamanantaduṣkṛtāt /	saha udayAt citta varasya DImataH su saMvRtam cittam ananta duzkRtAt /
   sukhena duḥkhena ca modate sadā śubhī kṛpāluśca vivardhana, dvayam //	suKena duHKena ca modate sadA SuBI kRpAluH ca vivarDana, dvayam //
   MSA_4.22 //	MSAH _4.22 //
   yadānapekṣaḥ svaśarīrajīvite parārthamabhyeti paraṃ pariśramam /	yadA anapekzaH sva SarIra jIvite para arTam aByeti param pariSramam /
   paropaghātena tathāvidhaḥ kathaṃ sa duṣkṛte karmaṇi saṃpravatsyati //	para upaGAtena taTAviDaH kaTam sa duzkRte karmaNi saMpravatsyati //
   MSA_4.23 //	MSAH _4.23 //
   māyopamānvīkṣya sa sarvadharmānudhānayātrāmiva copapattīḥ /	mAyA upamA an vIkzya sa sarva Darma anuDAna yAtrAm iva ca upapattIH /
   kleśācca duḥkhācca bibheti nāsau saṃpattikāle 'tha vipattikāle // MSA_4.24	kleSAt ca duHKAt ca biBeti na asO saMpatti kAle aTa vipatti kAle // MSAH _4.24
   svakā guṇāḥ sattvahitācca modaḥ saṃcintyajanmarddhivikurvitaṃ ca /	svakAH guNAH sattva hitAt ca modaH saMcintya janma RdDi vikurvitam ca /
   vibhūṣaṇaṃ bhojanamagrabhūmiḥ krīḍāratirnityakṛpātmakānām // MSA_4.25 //	viBUzaNam Bojanam agra BUmiH krIxA ratiH nitya kRpa AtmakAnAm // MSAH _4.25 //
   parārthamudyogavataḥ kṛpātmano hyavīcirapyeti yato 'sya ramyatām /	para arTam udyogavataH kRpA AtmanaH hi avIciH apyeti yatas asya ramyatAm /
   kutaḥ punastrasyati tādṛśo bhavan parāśrayairduḥkhasamudbhavairbhave //	kutas punar trasyati tAdRSaH Bavan para ASrayEH duHKa samudBavEH Bave //
   MSA_4.26 //	MSAH _4.26 //
   mahākṛpācāryasadoṣitātmanaḥ parasya duḥkhairupataptacetasaḥ /	mahA kRpa AcArya sadozita AtmanaH parasya duHKEH upatapta cetasaH /
   parasya kṛtye samupasthite punaḥ paraiḥ samādāpanato 'tilajjanā //	parasya kRtye samupasTite punar parEH samAdApanataH ati lat janAH //
   MSA_4.27 //	MSAH _4.27 //
   śirasi vinihitoccasatvabhāraḥ śithilagatirnahi śobhate 'grasattvaḥ /	Sirasi vinihita ucca satva BAraH SiTila gatiH nahi SoBate agrasattvaH /
   svaparavavidhabandhanātibaddhaḥ śataguṇamutsahamarhati prakartum //	sva paravaviDa banDana atibadDaH SataguNam utsaham arhati prakartum //
   MSA_4.28 //	MSAH _4.28 //
   mahāyānasūtrālaṃkāre cittotpādādhikāraścaturthaḥ	mahAyAna sUtra alaMkAre citta utpAda aDikAraH caturTaH
   pañcamo 'dhikāraḥ	paQcamaH aDikAraH
   pratipattilakṣaṇe ślokaḥ /	pratipatti lakzaNe SlokaH /
   mahāśrayārambhaphalodayātmikā jinātmajānāṃ pratipattiriṣyate /	mahA ASraya AramBa Pala udaya AtmikA jina AtmajAnAm pratipattiH izyate /
   sadā mahādānamahādhivāsanā mahārthasaṃpādanakṛtyakārikā // MSA_5.1 //	sadA mahA dAna mahA aDivAsanA mahA arTa saMpAdana kRtya kArikAH // MSAH _5.1 //
   paratralabdhvātmasamānacittatāṃ svato 'dhi vā śreṣṭhatareṣṭatāṃ pare /	paratra labDvA Atma samAna citta tAm svatas aDi vA SrezWatarezwatAm pare /
   tathātmano 'nyārthaviśiṣṭasaṃjñinaḥ svakārthatā kā katamā parārthatā //	taTA AtmanaH anya arTa viSizwa saMjQinaH svaka arTa tA kA katamA parArTa tA //
   MSA_5.2 //	MSAH _5.2 //
   paratra loko na tathātinirdayaḥ pravartate tāpanakarmaṇāripau /	paratra lokaH na taTA ati nirdayaH pravartate tApana karmaNA aripO /
   yathā parārthaṃ bhṛśaduḥkhatāpane kṛpātmakaḥ svātmani saṃpravartate //	yaTA para arTam BRSa duHKa tApane kRpA AtmakaH sva Atmani saMpravartate //
   MSA_5.3 //	MSAH _5.3 //
   nikṛṣṭamadhyottamadharmatāsthite sudeśanāvarjanatā'vatāraṇā /	nikRzwa maDya uttama DarmatA sTite sudeSanA varjana tA avatAraNA /
   vinītirarthe paripācanā śubhe tathāvavādasthitibuddhimuktayaḥ // MSA_5.4	vinItiH arTe paripAcanA SuBe taTAvavAda sTiti budDi muktayaH // MSAH _5.4
   guṇairviśiṣṭaiḥ samudāgamastathā kulodayo vyākaraṇābhiṣiktatā /	guNEH viSizwEH samudAgamaH taTA kula udayaH vyAkaraNa aBizikta tA /
   tathāgatajñānamanuttaraṃ padaṃ parārtha eṣa tryadhiko daśātmakaḥ //	taTAgata jQAnam anuttaram padam para arTaH eza tri aDikaH daSa AtmakaH //
   MSA_5.5 //	MSAH _5.5 //
   janānurūpā 'viparītadeśanā nirunnatā cāpyamamā vicakṣaṇā /	jana anurUpA aviparIta deSanA nirunnatA ca api amamA vicakzaNA /
   kṣamā ca dāntā ca sudūragā'kṣayā jinātmajānāṃ pratipattiruttamā // MSA_5.6	kzamA ca dAntA ca sudUra gA akzayA jina AtmajAnAm pratipattiH uttamAH // MSAH _5.6
   mahābhaye kāmijanaḥ pravartate cale viparyāsasukhe bhavapriyaḥ /	mahA Baye kAmi janaH pravartate cale viparyAsa suKe Bava priyaH /
