   Sitātapatrā	Sita-AtapatrA
   tripuranagaravidrāvaṇakarāya / adhimuktikakaśmīramahāśmaśānanivāsitāya /	tripura-nagara-vidrAvaNa-karAya / aDimuktikaka-SmIra-mahA-SmaSAna-nivAsitAya /
   namo mātṛgaṇasahitāya / namo bhagavate tathāgatakulasya / namo bhagavate	namaH mAtR-gaNa-sahitAya / namaH Bagavate taTAgata-kulasya / namaH Bagavate
   padmakulasya / namo bhagavate vajrakulasya / namo bhagavate maṇikulasya /	padma-kulasya / namaH Bagavate vajra-kulasya / namaH Bagavate maNi-kulasya /
   namo bhagavate gajakulasya / namo bhagavate karmakulasya / namo bhagavate	namaH Bagavate gaja-kulasya / namaH Bagavate karma-kulasya / namaH Bagavate
   ratnakulasya / namo bhagavate kumārakulasya / namo bhagavate nāgakulasya /	ratna-kulasya / namaH Bagavate kumAra-kulasya / namaH Bagavate nAga-kulasya /
   namo bhagavate rāgakulasya / namo bhagavate	namaH Bagavate rAga-kulasya / namaH Bagavate
   dṛḍhaśūraraṇasenapraharaṇarājāya tathāgatāyārhate samyaksaṃbuddhāya / namo	dRXa-SUra-raNa-sena-praharaNa-rAjAya taTAgatAya-arhate samyaksaMbudDAya / namaH-
   bhagavate amitābhāya tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate	Bagavate amita-ABAya taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate
   akṣobhyāya tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate	akzoByAya taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate
   vajradharasāgaragarjine tathāgatāyārhate samyaksaṃbuddhāya / namo	vajraDara-sAgara-garjine taTAgatAya-arhate samyaksaMbudDAya / namaH-
   bhagavate bhaiṣajyaguruvaidūryaprabharājāya tathāgatāyārhate	Bagavate BEzajya-guru-vEdUrya-praBa-rAjAya taTAgatAya-arhate
   samyaksaṃbuddhāya / namo bhagavate amoghasiddhaye tathāgatāyārhate	samyaksaMbudDAya / namaH Bagavate amoGa-sidDaye taTAgatAya-arhate
   samyaksaṃbuddhāya / namo bhagavate supuṣpitasālendrarājāya	samyaksaMbudDAya / namaH Bagavate su-puzpita-sAla-indra-rAjAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate padmottararājāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate padma-uttara-rAjAya
   tathāgatāyārhate samyaksaṃbuddāya / namo bhagavate vipaśyine	taTAgatAya-arhate samyaksaMbuddAya / namaH Bagavate vipaSyine
   tathāgatāyārhate samyaksaṃbuddhāya / (Sitā 148) namo bhagavate śikhine	taTAgatAya-arhate samyaksaMbudDAya / (SitA 148) namaH Bagavate SiKine
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate viśvabhuve	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate viSvaBuve
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate krakucchandāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate krakucCandAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate kanakamunaye	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate kanaka-munaye
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate kāśyapāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate kASyapAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate śākyamunaye	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate SAkya-munaye
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate ratnacandrāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate ratna-candrAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate ratnaketurājāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate ratnaketu-H-AjAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate samantabhadrāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate samantaBadrAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate vairocanāya	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate vErocanAya
   tathāgatāyārhate samyaksaṃbuddhāya / namo bhagavate	taTAgatAya-arhate samyaksaMbudDAya / namaH Bagavate
   vikasitakamalottaragandhaketurājāya tathāgatāyārhate samyaksaṃbuddhāya /	vikasita-kamala-uttara-ganDaketu-rAjAya taTAgatAya-arhate samyaksaMbudDAya /
   ebhyo namaskṛtvā imāṃ bhagavatīṃ	eByaH namaskRtvA imAm BagavatIm
   sarvatathāgatoṣṇīṣasitātapatrānāmāparājitāṃ pratyaṅgirāṃ pravakṣyāmi /	sarva-taTAgata-uzNIza-sita-AtapatrAnAmA-aparAjitAm pratyaFgirAm pravakzyAmi /
   sarvakalikalahavigrahavivādapraśamanīm / sarvabhūtagrahanivāraṇīm /	sarva-kali-kalaha-vigraha-vivAda-praSamanIm / sarva-BUta-graha-nivAraNIm /
   sarvaparavidyācchedanīm / akālamṛtyuparitrāyaṇīm /	sarva-para-vidyAt-CedanIm / akAla-mRtyu-paritrAyaNIm /
   sarvasattvabandhanamokṣaṇīm / sarvaduḥsvapnanāśanīm / yakṣarākṣasagrahāṇāṃ	sarva-sattva-banDana-mokzaNIm / sarva-duHsvapna-nASanIm / yakza-rAkzasa-grahANAm
   vidhvaṃsanakarīm / caturaśītināṃ grahasahasrāṇāṃ vidhvaṃsanakarīm /	viDvaMsana-karIm / caturaSItinAm graha-sahasrANAm viDvaMsana-karIm /
   aṣṭāviṃśatīnāṃ nakṣatrāṇāṃ prasādanakarīm / sarvaśatrunivāraṇīmaṣṭānāṃ	azwAviMSatInAm nakzatrANAm prasAdana-karIm / sarva-Satru-nivAraNIm-azwAnAm
   mahāgrahāṇāṃ vidhvaṃsanakarīm / ghoraduṣṭaduḥsvapnānāṃ ca vināśanakarīm /	mahA-grahANAm viDvaMsana-karIm / Gora-duzwa-duHsvapnAnAm ca vinASana-karIm /
   viṣaśastrāgnyudakottāraṇīm / sarvadurgatibhayottaraṇīm /	viza-Sastra-agni-udaka-uttAraNIm / sarva-durgati-Baya-uttaraNIm /
   yāvadaṣṭāvakālamaraṇaparitrāṇakarīm / aparājitāṃ mahāghorāṃ mahābalāṃ	yAvat-azwO=-akAla-maraNa-paritrANa-karIm / aparAjitAm mahA-GorAm mahA-balAm
   mahātejāṃ mahācaṇḍāṃ mahāśvetāṃ mahadīptāṃ mahāmālāṃ mahājvālāṃ	mahA-tejAm mahA-caNxAm mahA-SvetAm maha-dIptAm mahAmAlAm mahA-jvAlAm
   mahāpāṇḍaravāsinīm /	mahA-pANxara-vAsinIm /
   āryatārā bhṛkuṭī caiva jayā ca vijayā tathā /	Arya-tArA BRkuwI ca-eva jayA ca vijayA taTA /
   sarvamāravihantrī ca vajramāleti viśrutā //	sarvam-Ara-vihantrI ca vajra-mAlA-iti viSrutAH //
   padmā bhāvajacinhā ca mālā caivāparājitā /	padmA BAva-jacin-hA ca mAlA ca-eva-aparAjitA /
   vajratuṇḍī viśālī ca śāntā vaidehapūjitā //	vajratuNxI viSAlI ca SAntA vEdeha-pUjitAH //
   saumyarūpā mahāśvetā jvālā pāṇḍaravāsinī /	sOmya-rUpA mahASvetA jvAlA pANxara-vAsinI /
   āryatārā mahābalā aparā vajraśṛṅkhalā //	Arya-tArA mahA-balAH aparA vajra-SRFKalA //
   tathā cavajrakaumārī kulaṃdarītathaiva ca /	taTA cavajra-kOmArI kulaMdarI-taTA-eva ca /
   vajrahastā vajravidyā tathā kāñcanamālikā // (Sitā 149)	vajrahastA vajravidyA taTA kAQcanamAlikA // (SitAH 149)
   kusuṃbharatnā (radanā) caiva vairocanakulaprabhā /	kusuMBa-ratnA (radanA) ca-eva vErocana-kula-praBA /
   tathāgatakuloṣṇīṣaviśrutā vijṛmbhamānikā //	taTAgata-kula-uzNIza-viSrutA vijRmBa-mAnikAH //
   vajrā kanakaprabhā locanā vajratuṇḍikā /	vajrA kanakapraBA locanA vajratuNxikA /
   tathā śvetā ca kamalākṣiṇī buddhalocanā //	taTA SvetA ca kamalAkziNI budDa-locanA //
   tathā vajraprabhā candrā tathā vajradharāpi ca /	taTA vajrapraBA candrA taTA vajraDarA-api ca /
   vajramālā mahāmāyā devī ca kanakaprabhā //	vajramAlA mahAmAyA devI ca kanaka-praBA //
   sulocanātathā caivaśvetā ca kamalekṣaṇā /	su-locanA-taTA ca-eva-SvetA ca kamala-IkzaNAH /
   vinītā śāntacittā ca ātmaguṇajñā śaśiprabhā //	vinItA SAnta-cittA ca Atma-guNa-jQA SaSi-praBA //
   ityetā mahāmudrāgaṇāḥ sarvamātṛgaṇāśca sarvā rakṣāṃ kurvantu mama	iti-etAH mahAmudrA-gaNAH sarva-mAtR-gaNAH-ca sarvAH rakzAm kurvantu mama
   sarvasattvānāṃ ca /	sarva-sattvAnAm ca /
   om ṛṣigaṇapraśaste sarvatathāgatoṣṇīṣasitātapatre hūṃ hūṃ hrīṃ ṣṭroṃ	om Rzi-gaNa-praSaste sarva-taTAgata-uzNIza-sita-Atapatre hUm hUm hrIm zwrom
   jambhani / hūṃ hūṃ hrīṃ ṣṭroṃ stambhani / om hūṃ hūṃ hrīṃ ṣṭro	jamBani / hUm hUm hrIm zwrom stamBani / om hUm hUm hrIm zwro
   paravidyāstambhanakarī / hūṃ hūṃ hrīṃ ṣṭroṃ sarvayakṣarākṣasagrahāṇāṃ	para-vidyA-stamBana-karI / hUm hUm hrIm zwrom sarva-yakza-rAkzasa-grahANAm
   vidhvaṃsanakarī / hūṃ hūṃ hrīṃ ṣṭroṃ caturaśitīnāṃ grahasahasrāṇāṃ	viDvaMsana-karI / hUm hUm hrIm zwrom caturaSitInAm graha-sahasrANAm
   vidhvaṃsanakarī / hūṃ hūṃ hrīṃ ṣṭro aṣṭāviṃśatināṃ nakṣatrāṇāṃ	viDvaMsana-karI / hUm hUm hrIm zwraH azwAviMSatinAm nakzatrANAm
   prasādanakarī / hūṃ hūṃ hrīṃ ṣṭro aṣṭānāṃ mahāgrahāṇāṃ vidhvaṃsanakarī /	prasAdana-karI / hUm hUm hrIm zwraH azwAnAm mahA-grahANAm viDvaMsana-karI /
   hūṃ hūṃ hrīṃ ṣṭroṃ rakṣa 2 māṃ sarvasattvāṃśca /	hUm hUm hrIm zwrom rakza 2 mAm sarva-sattvAn=-ca /
   namo bhagavati sarvatathāgatoṣṇīṣasitātapatre mahāpratyaṅgire	namaH Bagavati sarva-taTAgata-uzNIza-sita-Atapatre mahA-pratyaFgire
   mahasahasrabhuje mahāsahasraśīrṣe koṭīśatasahasranetre abhedye	maha-sahasra-Buje mahA-sahasra-SIrze kowI-Sata-sahasra-netre aBedye
   jvalitaṭaṃkāri mahavajrodāre tribhuvanamaṇḍale / om svastirbhavatu mama	jvalita-waMkAri maha-vajra-udAre triBuvana-maNxale / om svastiH-Bavatu mama
   sarvasattvānāṃ ca / rājabhayāt, caurabhayāt, agnibhayāt, udakabhayāt,	sarva-sattvAnAm ca / rAja-BayAt, cOra-BayAt, agni-BayAt, udaka-BayAt-,
   viṣaśastrabhayāt, śatrubhayāt, paracakrabhayāt, durbhikṣabhayāt,	viza-Sastra-BayAt, Satru-BayAt, para-cakra-BayAt, durBikza-BayAt-,
   aribhayāt, aśanibhayāt, akālamṛtyubhayāt, dharaṇīkampabhayāt,	ari-BayAt, aSani-BayAt, akAla-mRtyu-BayAt, DaraNI-kampa-BayAt,
   ulkāpātabhayāt, rājadaṇḍabhayāt, caṇḍamṛgabhayāt, nāgabhayāt,	ulkA-pAta-BayAt, rAja-daNxa-BayAt, caNxa-mRga-BayAt, nAga-BayAt,
   vidyudbhayāt, taptabālukabhayāt, suparṇibhayāt,	vidyut-BayAt, tapta-bAluka-Baya-at, suparNi-BayAt-,
   sarvamṛtyūpadravopasargopāyāsabhayāt, grahabhayāt, devabhayāt, nāgabhayāt,	sarva-mRtyu-upadrava-upasarga-upAyAsa-BayAt, graha-BayAt, deva-BayAt, nAga-BayAt,
   yakṣabhayāt, rākṣasabhayāt, gandharvabhayāt, asuragrahāt, mahoragagrahāt,	yakza-BayAt, rAkzasa-BayAt, ganDarva-BayAt, asura-grahAt, mahA-uraga-grahAt,
   manuṣyagrahāt, amanuṣyagrahāt, bhūtagrahāt, pretagrahāt, piśācagrahāt,	manuzya-grahAt, amanuzya-grahAt, BUta-grahAt, preta-grahAt, piSAca-grahAt,
   kumbhāṇḍagrahāt, pūtanagrahāt, kaṭapūtanagrahāt, skandagrahāt,	kumBANxa-grahAt, pUtana-grahAt, kawa-pUtana-graha-at, skanda-grahAt,
   unmādagrahāt, chāyāgrahāt, apasmāragrahāt, ostāḍakagrahāt, ḍākinīgrahāt,	unmAda-graha-at, CAyA-grahAt, apasmAra-graha-at, oH-tAxaka-grahAt, xAkinI-grahAt,
   kaṭaḍākinīgrahāt, revatīgrahāt, śakunigrahāt, mātṛnandigrahāt, (Sitā 150)	kawaxAkinI-grahAt, revatI-graha-at, Sakuni-grahAt, mAtR-nandi-graha-at, (SitAH 150)
   lambikāgrahāt, śamikāgrahāt, ālambanagrahāt, kaṭavāsinīgrahāt,	lambikA-grahAt, SamikA-grahAt, Alambana-grahAt, kawavAsinI-grahAt,
   kaṃṭakamālinīgrahāt, sarvagrahāt / vratāhāriṇyāḥ, garbhāhāriṇyāḥ,	kaMwaka-mAlinI-grahAt, sarva-grahAt / vrata-AhAriNyAH, garBa-AhAriNyAH,
   rudhirāhāriṇyāḥ, māṃsāhāriṇyāḥ, medāhāriṇyāḥ, majjāhāriṇyāḥ, jātāhāriṇyāḥ,	ruDira-AhAriNyAH, mAMsa-AhAriNyAH, medA-hAriNyAH, majjA-hAriNyAH, jAta-AhAriNyAH,
   jīvitāhāriṇyāḥ, valyāhāriṇyāḥ, mālyāhāriṇyāḥ, gandhāhāriṇyāḥ,	jIvita-AhAriNyAH, valya-AhAriNyAH, mAlya-AhAriNyAH, ganDa-AhAriNyAH,
   puṣpāhāriṇyāḥ, dhūpāhāriṇyāḥ, phalāhāriṇyāḥ, śasyāhāriṇyāḥ,	puzpa-AhAriNyAH, DUpa-AhAriNyAH, Pala-AhAriNyAH, Sasya-AhAriNyAH,
   āhutyāhariṇyāḥ, pūjāhāriṇyāḥ, viṣṭāhāriṇyāḥ, mūtrāhāriṇyāḥ, kheṭāhāriṇyāḥ,	Ahuti-AhariNyAH, pUjA-hAriNyAH, vizwa-AhAriNyAH, mUtra-AhAriNyAH, KewA-hAriNyAH,
   siṃghāṇakāhāriṇyāḥ, vātāhāriṇyāḥ, viriktāhāriṇyāḥ, aśucyāhāriṇyāḥ,	siMGANaka-AhAriNyAH, vAta-AhAriNyAH, viriktA-hAriNyAH, aSuci-AhAriNyAH,
   spandanikāhāriṇyāḥ, vittāhāriṇyāḥ, cittāhāriṇyāḥ / eteṣāṃ sarveṣāṃ	spandanikA-hAriNyAH, vitta-AhAriNyAH, citta-AhAriNyAH / etezAm sarvezAm
   sarvavighnāṃśchindayāmyasinā kīlayāmi vajreṇa / parivrājakṛtāṃ vidyāṃ	sarva-viGnAn=-CindayAmi-asinA kIlayAmi vajreNa / parivrAja-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / ḍākaḍākinīkṛtāṃ vidyāṃ chindayāmyasinā	CindayAmi-asinA kIlayAmi vajreNa / xAka-xAkinIkRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / brahmakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa /	kIlayAmi vajreNa / brahma-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa /
   śakrakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / nārāyaṇakṛtāṃ vidyāṃ	Sakra-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa / nArAyaNa-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / mahāpaśupatikṛtāṃ vidyāṃ	CindayAmi-asinA kIlayAmi vajreNa / mahA-paSupati-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / mahākālakṛtāṃ vidyāṃ chindayāmyasinā	CindayAmi-asinA kIlayAmi vajreNa / mahAkAla-kRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / mātṛkāgaṇakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa	kIlayAmi vajreNa / mAtRkA-gaNa-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa
   / kāpālikṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / śabarakṛtāṃ vidyāṃ	/ kApAli-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa / Sabara-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / pukkasakṛtāṃ vidyāṃ chindayāmyasinā	CindayAmi-asinA kIlayAmi vajreNa / pukka-sakRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / atharvaṇakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa	kIlayAmi vajreNa / aTarvaNa-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa
   / vajrakaumārīkṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / yamārikṛtāṃ	/ vajra-kOmArIkRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa / yamAri-kRtAm
   vidyāṃ chindayāmyasinā kilayāmi vajreṇa / yamadūtakṛtāṃ vidyāṃ	vidyAm CindayAmi-asinA kilayAmi vajreNa / yama-dUta-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / krūranāgakṛtāṃ vidyāṃ chindayāmyasinā	CindayAmi-asinA kIlayAmi vajreNa / krUra-nAga-kRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / adhikarmakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa	kIlayAmi vajreNa / aDikarma-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa
   / vināyakakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / kumārakṛtāṃ	/ vinAyaka-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa / kumAra-kRtAm
   vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / caturmahārājakṛtāṃ vidyāṃ	vidyAm CindayAmi-asinA kIlayAmi vajreNa / catur-mahA-rAja-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / caturbhaginīkṛtāṃ vidyāṃ	CindayAmi-asinA kIlayAmi vajreNa / catur-BaginIkRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / garuḍakṛtāṃ vidyāṃ chindayāmyasinā	CindayAmi-asinA kIlayAmi vajreNa / garuxa-kRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / jayakaramadhukarasiddhikarasarvārthasādhanakṛtāṃ vidyāṃ	kIlayAmi vajreNa / jaya-kara-maDukara-sidDi-kara-sarva-arTa-sADana-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa /	CindayAmi-asinA kIlayAmi vajreNa /
   śṛṃgiriṭinandikeśvarakārttikeyacandrasūryagaṇapatisahāyakṛtāṃ vidyāṃ	SRMgiriwi-nandikeSvara-kArttikeya-candra-sUrya-gaNapati-sahAya-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / nagnaśravaṇakṛtaṃ {nagnaśramaṇakṛtaṃ}	CindayAmi-asinA kIlayAmi vajreNa / nagna-SravaNa-kRtam {nagna-SramaNa-kRtaM}
   vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / arhatakṛtāṃ vidyāṃ	vidyAm CindayAmi-asinA kIlayAmi vajreNa / arhata-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / avalokiteśvarakṛtāṃ vidyāṃ	CindayAmi-asinA kIlayAmi vajreNa / avalokita-ISvara-kRtAm vidyAm
   chindayāmyasinā kīlayāmi vajreṇa / vītarāgakṛtāṃ vidyāṃ chindayāmyasinā	CindayAmi-asinA kIlayAmi vajreNa / vIta-rAga-kRtAm vidyAm CindayAmi-asinA
   (Sitā 151) kīlayāmi vajreṇa / vajrapāṇi guhyakādhipatikṛtāṃ vidyāṃ	(SitA 151) kIlayAmi vajreNa / vajrapANi guhyaka-aDipati-kRtAm vidyAm
   cīndayāmyasinā kīlayāmi vajreṇa / yatra yatrakṛtāṃ vidyāṃ chindayāmyasinā	ci-indayAmi-asinA kIlayAmi vajreNa / yatra yatra-kRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / yena kāritāṃ tasya kṛtāṃ vidyāṃ chindayāmyasinā	kIlayAmi vajreNa / yena kAritAm tasya kRtAm vidyAm CindayAmi-asinA
   kīlayāmi vajreṇa / muṇḍaśravaṇakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi	kIlayAmi vajreNa / muNxa-SravaNa-kRtAm vidyAm CindayAmi-asinA kIlayAmi
   vajreṇa / dūtadūtīceṭacetīkṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa /	vajreNa / dUta-dUtI-cewa-cetIkRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa /
   sarvarṣivarakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa /	sarva-Rzi-vara-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa /
   sarvadevatagaṇakṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa /	sarva-devata-gaNa-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa /
   sarvāhitaiṣipatikṛtāṃ vidyāṃ chindayāmyasinā kīlayāmi vajreṇa / om	sarva-ahita-ezipati-kRtAm vidyAm CindayAmi-asinA kIlayAmi vajreNa / om
   bhagavati rakṣa 2 māṃ sarvasattvāṃśca sarvabhayebhyaḥ	Bagavati rakza 2 mAm sarva-sattvAn=-ca sarva-BayeByaH
   sarvopadravopasargopāyāsebhyaḥ sarvaduṣṭapraduṣṭān	sarva-upadrava-upasarga-upAyAseByaH sarva-duzwa-praduzwAn
   sarvapratyamitrāhitaiṣiṇo vā tathāgatoṣṇīṣasitātapatre namostu te /	sarva-pratyamitra-ahita-eziNaH vA taTAgata-uzNIza-sita-Atapatre namoH-tu te /
   sarvabuddhanamaskṛte / asitānalārkaprabhāsphuṭavikasitasitātapatre / om	sarva-budDa-namaskRte / asita-anala-arka-praBA-sPuwa-vikasita-sita-Atapatre / om
   jvala 2 dhaka 2 khāda 2 dara 2 vidara 2 chinda 2 bhinda 2 hūṃ hūṃ phaṭ 2	jvala 2 DakaH 2 KAda 2 dara 2 vidara 2 Cinda 2 Binda 2 hUm hUm Paw 2
   svāhā / sarvaduṣṭān hūṃ hūṃ sarva ulaṅghitebhyaḥ {ullaṅghitebhyaḥ} phaṭ /	svAhA / sarva-duzwAn hUm hUm sarve ulaFGiteByaH {ullaFGiteByaH} Paw /
   sarvadurlikhitebhyaḥ phaṭ / sarvaduśchāyebhyaḥ phaṭ / sarvadigbhyaḥ phaṭ /	sarva-durliKiteByaH Paw / sarva-duSCAyeByaH Paw / sarva-digByaH Paw /
   sarvavidigbhyaḥ phaṭ / sarvadurmuktebhyaḥ phaṭ / sarvaduścharditebhyaḥ	sarva-vidigByaH Paw / sarva-durmukteByaH Paw / sarva-duSCarditeByaH
   phaṭ / sarvāvadyatebhyaḥ phaṭ / sarvaduṣkṛtebhyaḥ phaṭ /	Paw / sarva-avadyateByaH Paw / sarva-duzkRteByaH Paw /
   sarvaduṣprekṣitebhyaḥ phaṭ / sarvajvalebhyaḥ {sarvajvarebhyaḥ} phaṭ /	sarva-duzprekziteByaH Paw / sarva-jvaleByaH {sarva-jvareByaH} Paw /
   sarvāpasmārebhyaḥ phaṭ / sarvāpasmārakebhyaḥ phaṭ / sarvaḍākinībhyaḥ phaṭ	sarva-apasmAreByaH Paw / sarva-apasmArakeByaH Paw / sarvaxAkinIByaH Paw-
   / sarvarevatībhyaḥ phaṭ / sarvakaṭavāsinībhyaḥ phaṭ / sarvajāmakebhyaḥ	/ sarva-revatIByaH Paw / sarva-kawavAsinIByaH Paw / sarva-jAmakeByaH
   {sarvayāmakebhyaḥ} phaṭ / sarvaśakunibhyaḥ phaṭ / sarvamātṛnandikebhyaḥ	{sarva-yAmakeByaH} Paw / sarva-SakuniByaH Paw / sarva-mAtR-nandikeByaH
   phaṭ / sarvagarebhyaḥ phaṭ / sarvaviṣebhyaḥ phaṭ / sarvayogebhyaḥ phaṭ /	Paw / sarva-gareByaH Paw / sarva-vizeByaH Paw / sarva-yogeByaH Paw /
   sarvālaṃbakebhyaḥ phaṭ / sarvabhayebhyaḥ phaṭ / sarvopadravebhyaḥ phaṭ /	sarva-alaMbakeByaH Paw / sarva-BayeByaH Paw / sarva-upadraveByaH Paw /
   sarvopasargopāyāsebhyaḥ phaṭ / sarvottrāsebhyaḥ phaṭ / sarvavyādhibhyaḥ	sarva-upasarga-upAyAseByaH Paw / sarva-uttrAseByaH Paw / sarva-vyADiByaH
