   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   tāvatsarvāṇi maṃtrāṇi vivadaṃti mahītale // ŚivP_1,2.12ab/	tAvat-sarvANi maMtrANi vivadaMti mahI-tale // ŚivS-_1,2.12ab/
   yāvacchivapurāṇaṃ hi nodeṣyati mahītale // ŚivP_1,2.12cd/	yAvat-Siva-purANam hi na-udezyati mahI-tale // Śivj-_1,2.12cd/
   tāvatsarvāṇi kṣetrāṇi vivadaṃti mahītale // ŚivP_1,2.13ab/	tAvat-sarvANi kzetrANi vivadaMti mahI-tale // ŚivS-_1,2.13ab/
   yāvacchivapurāṇaṃ hi nodeṣyati mahītale // ŚivP_1,2.13cd/	yAvat-Siva-purANam hi na-udezyati mahI-tale // Śivj-_1,2.13cd/
   tāvatsarvāṇi pīṭhāni vivadaṃti mahītale // ŚivP_1,2.14ab/	tAvat-sarvANi pIWAni vivadaMti mahI-tale // ŚivS-_1,2.14ab/
   yāvacchivapurāṇaṃ hi nodeṣyati mahītale // ŚivP_1,2.14cd/	yAvat-Siva-purANam hi na-udezyati mahI-tale // Śivj-_1,2.14cd/
   tāvatsarvāṇi dānāni vivadaṃti mahītale // ŚivP_1,2.15ab/	tAvat-sarvANi dAnAni vivadaMti mahI-tale // ŚivS-_1,2.15ab/
   yāvacchivapurāṇaṃ hi nodeṣyati mahītale // ŚivP_1,2.15cd/	yAvat-Siva-purANam hi na-udezyati mahI-tale // Śivj-_1,2.15cd/
   tāvatsarve ca te devā vivadaṃti mahītale // ŚivP_1,2.16ab/	tAvat-sarve ca te devAH vivadaMti mahI-tale // ŚivS-_1,2.16ab/
   yāvacchivapurāṇaṃ hi nodeṣyati mahītale // ŚivP_1,2.16cd/	yAvat-Siva-purANam hi na-udezyati mahI-tale // Śivj-_1,2.16cd/
   tāvatsarve ca siddhāntā vivadaṃti mahītale // ŚivP_1,2.17ab/	tAvat-sarve ca sidDAntAH vivadaMti mahI-tale // ŚivS-_1,2.17ab/
   yāvacchivapurāṇaṃ hi nodeṣyati mahītale // ŚivP_1,2.17cd/	yAvat-Siva-purANam hi na-udezyati mahI-tale // Śivj-_1,2.17cd/
   asya śaivapurāṇasya kīrtanaśravaṇāddvijāḥ // ŚivP_1,2.18ab/	asya SEva-purANasya kIrtana-SravaNAt-dvijAH // ŚivS-_1,2.18ab/
   phalaṃ vaktuṃ na śaknomi kārtsnyena munisattamāḥ // ŚivP_1,2.18cd/	Palam vaktum na Saknomi kArtsnyena muni-sattamAH // Śivj-_1,2.18cd/
   tathāpi tasya māhātmyaṃ vakṣye kiṃcittu vonaghāḥ // ŚivP_1,2.19ab/	taTA-api tasya mAhAtmyam vakzye kiMcid-tu vonaGAH // ŚivS-_1,2.19ab/
   cittamādhāya śṛṇuta vyāsenoktaṃ purā mama // ŚivP_1,2.19cd/	cittam-ADAya SRNuta vyAsena-uktam purA mama // Śivj-_1,2.19cd/
   etacchivapurāṇaṃ hi ślokaṃ ślokārdhameva ca // ŚivP_1,2.20ab/	etat-Siva-purANam hi Slokam Sloka-arDam-eva ca // ŚivS-_1,2.20ab/
   yaḥ paṭhedbhaktisaṃyuktassa pāpānmucyate kṣaṇāt // ŚivP_1,2.20cd/	yaH paWet-Bakti-saMyuktassa pApAt-mucyate kzaNAt // Śivj-_1,2.20cd/
   etacchivapurāṇaṃ hi yaḥ pratyahamataṃdritaḥ // ŚivP_1,2.21ab/	etat-Siva-purANam hi yaH pratyaham-ataMdritaH // ŚivS-_1,2.21ab/
   yathāśakti paṭhedbhaktyā sa jīvanmukta ucyate // ŚivP_1,2.21cd/	yaTASakti paWet-BaktyA sa jIvanmuktaH ucyate // Śivj-_1,2.21cd/
   etacchivapurāṇaṃ hi yo bhaktyārcayate sadā // ŚivP_1,2.22ab/	etat-Siva-purANam hi yaH BaktyA-arcayate sadA // ŚivS-_1,2.22ab/
   dine dine 'śvamedhasya phalaṃ prāpnotyasaṃśayam // ŚivP_1,2.22cd/	dine dine aSvameDasya Palam prApnoti-asaMSayam // Śivj-_1,2.22cd/
   etacchivapurāṇaṃ yassādhāraṇapadecchayā // ŚivP_1,2.23ab/	etat-Siva-purANam yaH-sADAraNa-pada-icCayA // ŚivS-_1,2.23ab/
   anyataḥ śṛṇuyātso 'pi matto mucyeta pātakāt // ŚivP_1,2.23cd/	anyatas SRNuyAt-saH api mattaH mucyeta pAtakAt // Śivj-_1,2.23cd/
   etacchivapurāṇaṃ yo namaskuryādadūrataḥ // ŚivP_1,2.24ab/	etat-Siva-purANam yaH namaskuryAt-adUrataH // ŚivS-_1,2.24ab/
   sarvadevārcanaphalaṃ sa prāpnoti na saṃśayaḥ // ŚivP_1,2.24cd/	sarva-deva-arcana-Palam sa prApnoti na saMSayaH // Śivj-_1,2.24cd/
   etacchivapurāṇaṃ vai likhitvā pustakaṃ svayam // ŚivP_1,2.25ab/	etat-Siva-purANam vE liKitvA pustakam svayam // ŚivS-_1,2.25ab/
   yo dadyācchivabhaktebhyastasya puṇyaphalaṃ śṛṇu // ŚivP_1,2.25cd/	yaH dadyAt-Siva-BakteByaH-tasya puNya-Palam SRNu // Śivj-_1,2.25cd/
   adhīteṣu ca śāstreṣu vedeṣu vyākṛteṣu ca // ŚivP_1,2.26ab/	aDItezu ca SAstrezu vedezu vyAkRtezu ca // ŚivS-_1,2.26ab/
   yatphalaṃ durlabhaṃ loke tatphalaṃ tasya saṃbhavet // ŚivP_1,2.26cd/	yat-Palam durlaBam loke tad-Palam tasya saMBavet // Śivj-_1,2.26cd/
   etacchivapurāṇaṃ hi caturdaśyāmupoṣitaḥ // ŚivP_1,2.27ab/	etat-Siva-purANam hi caturdaSyAm-upozitaH // ŚivS-_1,2.27ab/
   śivabhaktasabhāyāṃ yo vyākaroti sa uttamaḥ // ŚivP_1,2.27cd/	Siva-Bakta-saBAyAm yaH vyAkaroti saH uttamaH // Śivj-_1,2.27cd/
   pratyakṣaraṃ tu gāyatrīpuraścaryāphalaṃ labhet // ŚivP_1,2.28ab/	pratyakzaram tu gAyatrI-puraScaryA-Palam laBet // ŚivS-_1,2.28ab/
   iha bhuktvākhilānkāmānaṃte nirvāṇatāṃ vrajet // ŚivP_1,2.28cd/	iha BuktvA-aKilAn-kAma-anaMte nirvANa-tAm vrajet // Śivj-_1,2.28cd/
   upoṣitaścaturdaśyāṃ rātrau jāgaraṇānvitaḥ // ŚivP_1,2.29ab/	upozitaH-caturdaSyAm rAtrO jAgaraNa-anvitaH // ŚivS-_1,2.29ab/
   yaḥ paṭhecchṛṇuyādvāpi tasya puṇyaṃ vadāmyaham // ŚivP_1,2.29cd/	yaH paWet-SRNuyAt-vA-api tasya puNyam vadAmi-aham // Śivj-_1,2.29cd/
   kurukṣetrādinikhilapuṇyatīrtheṣvanekaśaḥ // ŚivP_1,2.30ab/	kurukzetra-Adi-niKila-puNya-tIrTezu-anekaSas // ŚivS-_1,2.30ab/
   ātmatulyadhanaṃ sūryagrahaṇe sarvatomukhe // ŚivP_1,2.30cd/	Atma-tulya-Danam sUrya-grahaNe sarvatomuKe // Śivj-_1,2.30cd/
   viprebhyo vyāsamukhyebhyo dattvāyatphalamaśnute // ŚivP_1,2.31ab/	vipreByaH vyAsa-muKyeByaH dattvA-Ayat-Palam-aSnute // ŚivS-_1,2.31ab/
   tatphalaṃ saṃbhavettasya satyaṃ satyaṃ na saṃśayaḥ // ŚivP_1,2.31cd/	tad-Palam saMBavet-tasya satyam satyam na saMSayaH // Śivj-_1,2.31cd/
   etacchivapurāṇaṃ hi gāyate yopyaharniśam // ŚivP_1,2.32ab/	etat-Siva-purANam hi gAyate yopya-harniSam // ŚivS-_1,2.32ab/
