   Antarvyāptisamarthanam /	Antar vyApti samarTanam /
   dṛṣṭānte gṛhyate vyāptirdharmmayostatra dṛṣṭayoḥ /	dRzwAnte gRhyate vyAptiH DarmmayoH tatra dRzwayoH /
   hetumātrasya dṛṣṭasya vyāptiḥ pakṣe tu gamyate //	hetu mAtrasya dRzwasya vyAptiH pakze tu gamyate //
   sā ca sarvvopasaṃhārāt sāmānyamavalambate /	sA ca sarvva upasaMhArAt sAmAnyam avalambate /
   tasya dharmmiṇi vṛttistu pratīyetānumānataḥ //	tasya DarmmiNi vRttiH tu pratIyeta anumAnataH //
   pratyakṣadṛṣṭayorvanhidhūmayoḥ kāryyakāraṇabhāvasidvau	pratyakza dRzwayoH vanhi DUmayoH kAryya kAraNa BAvasi dvO
   tayorvyāptisidviriti pratyakṣasidve vanhau yuktamanumānavaiphalyam /	tayoH vyApti sidvis iti pratyakza sidve vanhO yuktam anumAna vEPalyam /
   naivaṃ vyāptisidveḥ prāk pramāṇāntarasidvaṃ dharmmiṇi kṣaṇikatvam /	na evam vyApti sidveH prAk pramANa antara sidvam DarmmiNi kzaNika tvam /
   sādhanadharmmameva tu kevalamanupaśyanto viparyyaye	sADana Darmmam eva tu kevalam anupaSyantaH viparyyaye
   bādhakapramāṇavalāttasya kṣaṇikatvena vyāptiṃ pratīmaḥ / tattataḥ	bADaka pramANa valAt tasya kzaNika tvena vyAptim pratImaH / tat tatas 
   sādhanavaiphalyam / vaiphalyameva, kṣaṇikatvavyāptasya sattvasya	sADana vEPalyam / vEPalyam eva, kzaNikatva vyAptasya sattvasya
   tathātvena dharmmiṇi pratītau kṣaṇikatvasyāpi pratīteriti cet / na /	taTA tvena DarmmiNi pratItO kzaNika tvasya api pratIteH iti ced / na /
   sarvvopasaṃhāravatī hi vyāptiḥ sādhyasidveraṅgam /	sarvva upasaMhAravatI hi vyAptiH sADyasi dveH aFgam /
   tadiyamanapekṣitadharmmiviśeṣaṃ sādhanadharmmamātramavalambate / tadyathā	tat iyam anapekzita Darmmi viSezam sADana Darmma mAtram avalambate / tat yaTA
   / yatra dhūmastatrāgniriti / na punaryatra mahānase dhūmastatrāgniriti /	/ yatra DUmaH tatra agniH iti / na punar yatra mahAnase DUmaH tatra agniH iti /
   evamihāpi yat sattatkṣaṇikamiti vyāptipratītau sādhanadharmmasyāpi	evam iha api yat sat tad kzaNikam iti vyApti pratItO sADana Darmmasya api
   dharmmiṇi sattvaṃ nāntarbhavati / kiṃ punaḥ sādhyadharmmasya / tasmāt	DarmmiNi sattvam na antarBavati / kim punar sADya Darmmasya / tasmAt 
   sattvasāmānyasya sādhanadharmmasya pakṣadharmmatvaṃ vyāptiścaikaśaḥ	sattva sAmAnyasya sADana Darmmasya pakza Darmma tvam vyAptiH ca ekaSas 
   pratipādya tadubhayasāmarthyāt sādhyadharmmasya dharmmiṇi vṛttiḥ pratīyata	pratipAdya tad uBaya sAmarTyAt sADya Darmmasya DarmmiNi vRttiH pratIyata
   iti kuto 'numānavaiphalyaṃ / yadyevaṃ vyāptipratītāvasati dharmmiṇi	iti kutas anumAna vEPalyam / yadi evam vyApti pratItO= asati DarmmiNi
   parāmarśe sādhyadharmmiṇi vyāptigrahaṇamiti / kutaḥ / tatra dṛṣṭasya	parAmarSe sADya DarmmiNi vyApti grahaNam iti / kutas / tatra dRzwasya
   sattvasya vyāptipratīteḥ / yathā mahānasadṛṣṭāgnidhūmayorvyāptigrahe	sattvasya vyApti pratIteH / yaTA mahAnasa dRzwa agni DUmayoH vyApti grahe
   dṛṣṭāntadharmmiṇi vyāptigrahaṇamucyate / na hi vyāptigrahaṇe	dRzwAnta DarmmiNi vyApti grahaNam ucyate / na hi vyApti grahaNe
   mahānasaparāmarśo 'stītyuktaṃ / nanu vyāptipakṣadharmmatvayorekaśaḥ	mahAnasa parAmarSaH asti iti uktam / nanu vyApti pakza Darmma tvayoH ekaSas 
   pratītāvapi yasyaiva pakṣadharmmatvamavagatantasyaiva sādhyena	pratItO= api yasya eva pakza Darmma tvam avagatantasya eva sADyena
   vyāptiravasiteti sāmarthyāt sādhyasattākathanamavaiyarthyaṃ sādhanasya /	vyAptiH avasitA iti sAmarTyAt sADya sattA kaTa nam avEyarTyam sADanasya /
   nanu na pakṣadharmmatvagatiḥ sādhyagatiḥ sādhyadharmmasaṃsparśāt / nāpi	nanu na pakza Darmma tva gatiH sADya gatiH sADya Darmma saMsparSAt / na api
   vyāptipratītireva sādhyasidviḥ / sāmānyālambanatayā dharmmiviśeṣeṇa	vyApti pratItiH eva sADya sidvis / sAmAnya Alambana tayA Darmmi viSezeNa
   dharmmayoranavacchedāt / anyathā viśeṣayorvyāptiprasaṅgāt tadayaṃ	DarmmayoH anavacCedAt / anyaTA viSezayoH vyApti prasaFgAt tat ayam
   vyastaviṣayaḥ sāmarthyāditi hetunirddeśaḥ / atha	vyasta vizayaH sAmarTyAt iti hetu nirddeSaH / aTa
   hetostrairūpyaparicchedasāmarthyāt sādhyapratītirutpadyata ityucyate / na	hetoH trErUpya paricCeda sAmarTyAt sADya pratItiH utpadyate iti ucyate / na
   tarhīdānīṃ vyarthohetuḥ / svarūpaniścayena sādhyaniścayopajananāt / na hi	tarhi idAnIm vyarTaH hetuH / svarUpa niScayena sADya niScaya upajananAt / na hi
   kvacidiyattādhikaṃ liṅgasya karttavyamastīti /	kvacid iyatta aDikam liFgasya karttavyam asti iti /
   api ca gṛhīte pakṣadharmmatve sambandhe ca smṛte anumānaṃ bhavadbhiriṣyate	api ca gRhIte pakza Darmma tve sambanDe ca smRte anumAnam BavadBiH izyate
   / tadvadantarvyāptāvapīṣyatāṃ / na hi bahirvyāptivādināmapi vismṛtāyāṃ	/ tadvat antar vyApta a= apIzya tAm / na hi bahis vyApti vAdinAm api vismRtAyAm
   vyāptau anumānapravṛttirasti / tatra yasyaiva pakṣadharmmatvamavagataṃ	vyAptO anumAna pravRttiH asti / tatra yasya eva pakza Darmma tvam avagatam
   tasyaiva sādhyadharmmeṇa vyāptismṛteḥ kinna sarvvānumānavaiyarthyaṃ /	tasya eva sADya DarmmeNa vyApti smRteH kinna sarvva anumAna vEyarTyam /
   sādhyadharmmiṇo 'parāmarśeṇa vyāpteḥ smaraṇāditi cet / sādhyadharmmiṇi	sADya DarmmiNaH aparAmarSeNa vyApteH smaraNAt iti ced / sADya DarmmiNi
   dṛṣṭasyaiva vyāptismaraṇe kathaṃ sādhyadharmmiṇo 'parāmarśaḥ /	dRzwasya eva vyApti smaraNe kaTam sADya DarmmiNaH aparAmarSaH /
   sāmānyālambanatvādvyāpteḥ / sādhyadharmmino 'navacchedāditi cet / nanu	sAmAnya Alambana tvAt vyApteH / sADya DarmminaH anavacCedAt iti ced / nanu
   tatra dṛṣṭasya kathaṃ tenānavacchedaḥ / tenāvacchinnasya vā asādhāraṇatvāt	tatra dRzwasya kaTam tena anavacCedaH / tena avacCinnasya vA asADAraNa tvAt 
   kathaṃ vyāptiḥ / ayogavyavacchedena viśeṣaṇānnāsādhāraṇateti cet tathāpi	kaTam vyAptiH / ayoga vyavacCedena viSezaNAt na asADAraNa tA iti ced taTA api
   kinna sādhyadharmmī parāmṛśyate / yatra yatra parvvate dhūmastatra	kin na sADya DarmmI parAmRSyate / yatra yatra parvvate DUmaH tatra
   tatrāgniryathā mahānasa iti sāmānyālambanāyāṃ vyāptau	tatra agniH yaTA mahAnasaH iti sAmAnya AlambanAyAm vyAptO
   dharmmiviśeṣaparāmarśasyānaṅgatvāditi cet yuktametat sādhyadharmmiṇā	Darmmi viSeza parAmarSasya anaFga tvAt iti ced yuktam etat sADya DarmmiNA
   hyayogavyavacchedaḥ sādhanadharmmasya rūpāntarameva pakṣadhammatvākhyaṃ /	hi ayoga vyavacCedaH sADana Darmmasya rUpa antaram eva pakzaDamma tva AKyam /
   na tvayaṃ vyāpteraṅgaṃ / tamantareṇāpi vyāpteḥ sāmānyālambanāyāḥ	na tu ayam vyApteH aFgam / tam antareNa api vyApteH sAmAnya AlambanAyAH
   paricchedaparisamāpteḥ kathamanyathā dṛṣṭāntadharmmiṇi	paricCeda parisamApteH kaTam anyaTA dRzwAnta DarmmiNi
   vyāptigrahaṇavārttāpi tadedānīṃ pakṣadharmmatvāyogāt	vyApti grahaNa vArttA api tadA idAnIm pakza Darmma tva ayogAt
   pakṣadharmmatvāgrahaṇāt; pakṣadharmmatvagrahaṇe vā tadaiva sādhyamapi	pakza Darmma tva agrahaNAt; pakza Darmma tva grahaNe vA tadA eva sADyam api
   sāmarthyādasidvaṃ sidvamiti sarvvānumānavaiyarthyaprasaṅgaḥ /	sAmarTyAt asi dvam sidvam iti sarvvA anumAna vEyarTya prasaFgaH /
   paścātkālabhāviliṅgajñānamapi ca smṛtireva syāt na pramāṇaṃ / tasmāt	paScAt kAla BA viliFga jQAnam api ca smRtiH eva syAt na pramANam / tasmAt 
   vyāpteranaṅgatvāt pakṣadharmmatvaṃ vyāptigrahaṇe sadapi nāntarbhavatīti	vyApteH anaFga tvAt pakza Darmma tvam vyApti grahaNe sat api na antarBavati iti
   pṛthaggṛhītasmṛtayoḥ pakṣadharmmatvavyāptyoḥ	pRTak gRhIta smRtayoH pakza Darmma tu a vyAptyoH
   sāmarthyādanumeyagatirutpadyate iti / evamavaiyarthyaṃ sādhanānāmeṣitavyam	sAmarTyAt anumeya gatiH utpadyate iti / evam avEyarTyam sADanAnAm ezitavyam
   iti mānaphalatvāt / tadvat pṛthagmūtayoḥ pakṣadharmmatvavyāptyoḥ	iti mAna Pala tvAt / tadvat pRTak mUtayoH pakza Darmma tu a vyAptyoH
   sāmarthyādanumānotpattirantarvyāptāvapi kinneṣyate / tadiṣṭau vā kathaṃ	sAmarTyAt anumAna utpattiH antar vyAptO= api kinnezyate / tad izwO vA kaTam
   sādhanavaiyarthyaṃ / trairūpyagatisāmarthyādanumeyagatiriti hi	sADana vEyarTyam / trErUpya gati sAmarTyAt anumeya gatiH iti hi
   tadupādānaśaktireva sāmarthyamucyate, na tu trairupyapratīterantarbhāva	tad upAdAna SaktiH eva sAmarTyam ucyate, na tu trEH upya pratIteH antar BAva
   iti sarvvaṃ samānaṃ / na sarvvaṃ samānaṃ / antarvyāptau hi vyāptiṃ prati	iti sarvvam samAnam / na sarvvam samAnam / antar vyAptO hi vyAptim prati
   gatyaiva pakṣadharmmatvamavagataṃ anavagate pakṣadharmmatve	gatyA eva pakza Darmma tvam avagatam anavagate pakza Darmma tve
   vyāpterapyanavagateḥ / tato vyāptipūrvvake sādhanavāhye	vyApteH api anavagateH / tatas vyApti pUrvvake sADana vAhye
   pakṣadharmmavacanamanarthakamanantavyāptau / naivaṃ bahirvyāptau bahireva	pakza Darmma vacanam anarTakam ananta vyAptO / na evam bahis vyAptO bahis eva
   vyāptigrahaṇāt / atrāha, 	vyApti grahaNAt / atra Aha, 
   "yena tena krameṇātra prayukte sādhane sati /	"yena tena krameNa atra prayukte sADane sati /
   avetyaṃ pakṣadharmmatvaṃ paścādvyāptiḥ pratīyate //	avetyam pakza Darmma tvam paScAt vyAptiH pratIyate //
   pratyakṣa iva dṛṣṭānte tatra setyanyathā kathaṃ /	pratyakzaH iva dRzwAnte tatra sA iti anyaTA kaTam /
   dvau dṛṣṭvā vidma iti ced vyāpteḥ prāk dvayadṛk kathaṃ //"	dvO dRzwvA vidmaH iti ced vyApteH prAk dvaya dRS kaTam //"
   vyāptipakṣadharmmatve hi svavākyābhyāṃ yena tena prayuktābhyāṃ sūcyete na	vyApti pakza Darmma tve hi sva vAkyAByAm yena tena prayuktAByAm sUcyete na
   tu sākṣāt pratīyete / vācaḥ svayamapramāṇatvāt / yadāha, 	tu sAkzAt pratIyete / vAcaH svayam apramANa tvAt / yat A aha, 
   śaktasya sūcakaṃ heturvaco 'śaktamapi svayamiti / sūcitayo 'stu tayoḥ	Saktasya sUcakam hetuH vacaH aSaktam api svayam iti / sUcitayaH astu tayoH
   sattve hetau prathamatarapakṣadharmmatvaviṣayameva	sattve hetO praTamatara pakza Darmma tva vizayam eva
   pramāṇamabhimukhībhavatu / tena pramāṇena dharmmiṇi sidvasya sattvasya	pramANam aBimuKIBavatu / tena pramANena DarmmiNi sidvasya sattvasya
   paścādvyāptiḥ pramāṇāntareṇa gṛhyata iti kasya vaiyarthyamiti / pratyakṣe	paScAt vyAptiH pramANa antareNa gRhyate iti kasya vEyarTyam iti / pratyakze
   'pi dṛṣṭāntadharmmiṇi prathamaṃ heturgṛhyate paścādvyāptirityeṣa eva	api dRzwAnta DarmmiNi praTamam hetuH gRhyate paScAt vyAptiH iti ezaH eva
   kramaḥ anyathā dṛṣṭāntadharmmiṇi vyāptirgṛhītetyetadeva na syāt /	kramaH anyaTA dRzwAnta DarmmiNi vyAptiH gRhIta iti etat eva na syAt /
   dṛṣṭāntadharmmiṇyadṛṣṭasyaiva hetorvyāptigrahaṇāt / yadyevaṃ sādhyadharmmo	dRzwAnta DarmmiNyadRzwasya eva hetoH vyApti grahaNAt / yadi evam sADya DarmmaH 
   'pi vyāptigrahaṇādhikaraṇe dharmmiṇi grahītabya eva yathā vanhidhūmayoriti	api vyApti grahaNa aDikaraNe DarmmiNi grahItabyaH eva yaTA vanhiDUmayoH iti
   cet / na / tatra dṛṣṭasya hetorvipakṣe bādhakavṛttimātrādeva vyāptisidveḥ	ced / na / tatra dRzwasya hetoH vipakze bADaka vRtti mAtrAt eva vyApti sidveH
   / jñātaścaivaṃ na khalu vyāptigrahaṇāt prāk kṣaṇikasya kvacidapi	/ jQAtaH ca evam na Kalu vyApti grahaNAt prAk kzaNikasya kvacid api
   sidvirasti tasyānumeyatvāt / asidvāyāñca vyāptāvanumānāpravṛtteḥ /	sidvis asti tasya anumeya tvAt / asi dvAyAn ca vyAptO= anumAna apravRtteH /
   sādhanāntarasya ca tadarthamananusaraṇāt / anusaraṇe 'pyanavasthā syāt /	sADana antarasya ca tad arTam ananusaraNAt / anusaraNe api anavasTA syAt /
   avasthāne tāvat prayāsasya vaiyarthyāt / viaparyyaye vyāptibalādeva	avasTAne tAvat prayAsasya vEyarTyAt / viaparyyaye vyApti balAt eva
   vyāptisidveravighātāt / vanhidhūmayostu nādṛṣṭayoḥ kāryyakāraṇabhāvasidveḥ	vyApti si dvera viGAtAt / vanhi DUmayoH tu na adRzwayoH kAryya kAraNa BAvasi dveH
   / tatsidvau na vipakṣe bādhakavṛttiriti dvayadarśanavyapekṣā?	/ tat sidvO na vipakze bADaka vRttiH iti dvaya darSana vyapekzA?
   vanhidhūmayorvyāptisidviḥ sattvakṣaṇikatvayostu naivaṃ / yathoktanyāyena	vanhi DUmayoH vyApti sidvis sattva kzaNika tvayoH tu na evam / yaTA ukta nyAyena
   vyāptisidveḥ / tasmāt sattvamātrasya tatra dharmmiṇi sidvasya	vyApti sidveH / tasmAt sattva mAtrasya tatra DarmmiNi sidvasya
   bādhakavaśādvyāptiḥ setsyatītyeṣitavyaṃ / tadvadantarvyāptāvapi / te ime	bADaka vaSAt vyAptiH setsyati iti ezitavyam / tadvat antar vyAptO= api / te ime
   vyāptipakṣadharmmatve svasvapramāṇavyavacchedyasādhanavākye na tu kevalaṃ	vyApti pakza Darmma tve sva sva pramANa vyavacCedya sADana vAkye na tu kevalam
   sūcayitavye / na cānyataravākyena śakyamubhayaṃ sūcayitumiti kuto	sUcayitavye / na ca anyatara vAkyena Sakyam uBayam sUcayitum iti kuto
   'nyataravākyavaiyarthyaṃ //	anyatara vAkya vEyarTyam //
   ekasyaiva hi dharmmasya kramātrairūpyaniścayaḥ /	ekasya eva hi Darmmasya kra mAtrErUpya niScayaH /
   vismṛtāvanumābhāvāt tat kiṃ vyarthānumākhileti //	vismRtA vanumA BAvAt tat kim vyarTa anumA aKila iti //
   api ca saṃgrahaślokaḥ, 	api ca saMgraha SlokaH, 
   bādhakāt sādhyasidviścedvyartho hetvantaragrahaḥ /	bADakAt sADya sidviH ced vyarTaH hetu antara grahaH /
   bādhakāttadasidviścedvyartho dharmmyantaragrahaḥ //	bADakAt tad asi dvis ced vyarTaH Darmmi antara grahaH //
   yadi hi dharmmiṇi vyāptiḥ sidhyantyeva sādhyasidvimantarbhāvayati / nanu	yadi hi DarmmiNi vyAptiH siDyanti eva sADyasidvim antar BAvayati / nanu
   lābha evaiṣaḥ / byāptiprasādhakādeva pramāṇāt sādhyasidveḥ	lABaH eva ezaH / byApti prasADakAt eva pramANAt sADyasi dveH
   sattvahetvapāśrayaṇaprayāsasya nirasanāt / na hi	sattva hetu apASrayaNa prayAsasya nirasanAt / na hi
   vyasanamevaitalliṅgāntarānusaraṇaṃ nāma / atha na vyāptisādhakāt	vyasanam eva etat liFga antara anusaraNam nAma / aTa na vyApti sADakAt 
   sādhyasidviḥ / na tarhyantarvyāptau hetuvaiyarthyamiti kimakāṇḍakātaratayā	sADya sidvis / na tarhi antar vyAptO hetu vEyarTyam iti kim akANxakAtara tayA
   bahu taramāyāsamāviśasi / dvayaṃ hi bhavataḥ sādhyaṃ dṛṣṭāntadharmmiṇi	bahu tara mAyA samAviSasi / dvayam hi BavataH sADyam dRzwAnta DarmmiNi
   vṛttiḥ sādhyadharmmiṇi ca / yathākramaṃ byāptipakṣadharmmatvayoḥ	vRttiH sADya DarmmiNi ca / yaTAkramam byApti pakza Darmma tvayoH
   sidvyarthaṃ / nanu yadā pratiniyate dharmmiṇi vivādaḥ, tadvahirbhūte ca	sidvi arTam / nanu yadA pratiniyate DarmmiNi vivAdaH, tad vahiH BUte ca
   dharmmiṇi vyāptigrahaṇaṃ tadānīṃ bhavedvaiyarthyaṃ / yadā tu vastumātre	DarmmiNi vyApti grahaNam tadAnIm Bavet vEyarTyam / yadA tu vastu mAtre
   vivādaḥ tadā sarvvavastuṣu hetorvṛttistvayāpi sādhyā mayāpi ceti	vivAdaH tadA sarvu avastuzu hetoH vRttiH tvayA api sADyAH mayA api ca iti
   katamasmin dharmmiṇi hetorvṛttisādhanaṃ mama vyarthaṃ bhaviṣyati /	katamasmin DarmmiNi hetoH vRtti sADanam mama vyarTam Bavizyati /
   kathamidānīṃ bahirvyāptirvivādādhikaraṇaṃ bhūta evānyatamasmin	kaTam idAnIm bahis vyAptiH vivAda aDikaraNam BUtaH eva anyatamasmin
   vyāptisādhanāt / tāvanmātralakṣaṇatvācca sādhyadharmmiṇaḥ / bādhakaṃ	vyApti sADanAt / tAvat mAtra lakzaNa tvAt ca sADya DarmmiNaH / bADakam
   pramāṇaṃ pravarttamānamantargatamapi dharmmiṇaṃ bahiṣkarotīti cet etadeva	pramANam pravarttamAnam antargatam api DarmmiNam bahizkaroti iti ced etat eva
   kathaṃ bhavatu bādhakena pravarttamānenaiva tasmin sādhyasādhanāt /	kaTam Bavatu bADakena pravarttamAnena eva tasmin sADya sADanAt /
   sādhyasaṃśayopagame sādhyadharmmiṇi lakṣaṇopagamāditi cet ayuktametat /	sADya saMSaya upagame sADya DarmmiNi lakzaNa upagamAt iti ced ayuktam etat /
   bādhakamātrāt na sādhyasidvirityasminpakṣe	bADaka mAtrAt na sADya sidviH iti asmin pakze
   dharmmyantaraparigrahavaiyarthyābhidhānāt / bādhakāt	Darmmi antara parigraha vEyarTya aBiDAnAt / bADakAt 
   sādhyasidvirityasmiṃstu pakṣe sādhanavaiyarthyamāpāditaṃ /	sADya sidvis iti asmin= tu pakze sADana vEyarTyam ApAditam /
   tasmādvādhakamātreṇa sādhyāsidvau na kvacit sandehanivṛttiḥ /	tasmAt vADaka mAtreNa sADya asi dvO na kvacid sandeha nivRttiH /
   sandehānivṛttau na vahiṣkaraṇamavahiṣkṛtaśca sādhyadharmmyeveti tatra	sandeha anivRttO na vahizkaraNam avahizkRtaH ca sADya Darmmi eva iti tatra
   vyāptirantarvyāptireva nedānīṃ bahirvyāptervārttāpi /	vyAptiH antar vyAptiH eva na idAnIm bahis vyApteH vArttA api /
   tadiyaṃbahirvyāptiramusmin pakṣe kathaṃ bhavati yadi pratiniyate dharmmiṇi	tat iyaMbahis vyAptiH amusmin pakze kaTam Bavati yadi pratiniyate DarmmiNi
   vivādaḥ / tadvahirbhūte ca dharmmiṇi vyāptigrahaṇambhavati / tatra ca	vivAdaH / tad vahiH BUte ca DarmmiNi vyApti grahaNam Bavati / tatra ca
   durudvaraḥ dharmmyantaraparigrahavaiyarthyadoṣaḥ / bādhakamātreṇa tu	durudvaraH Darmmi antara parigraha vEyarTya dozaH / bADaka mAtreNa tu
   sādhyasidvau hetyantarameva vyarthaṃ / api ca satvahetorviśeṣeṇa na	sADyasidvO hA iti antaram eva vyarTam / api ca satva hetoH viSezeNa na
   vahirvyāptisambhavaḥ /	vahiH vyApti samBavaH /
   asidve dharmmiṇaḥ sattve vivādānavatārataḥ /	asidve DarmmiNaH sattve vivAdAn avatArataH /
   tatrāsidvasya ca vyāptigrahaṇe sādhyadharmmiṇi //	tatra asi dvasya ca vyApti grahaNe sADya DarmmiNi //
   vyāptigrahaḥ kathaṃ nasyāddṛṣṭānte 'pi na vā bhavet //	vyApti grahaH kaTam nasyAt dRzwAnte api na vA Bavet //
   yatra hi dharmmiṇi dṛṣṭasya hetorvyāptiḥ pratīyate tatra tasya	yatra hi DarmmiNi dRzwasya hetoH vyAptiH pratIyate tatra tasya
   vyāptigrahaṇamākhyāyate / dṛṣṭañca sādhyadharmmiṇi sattvamanyathā	vyApti grahaNam AKyAyate / dRzwaQca sADya DarmmiNi sattvam anyaTA
   vimatyayogāditi kathaṃ nāntarvyāptiḥ /	vimati ayogAt iti kaTam na antar vyAptiH /
   tathāpi sādhanavaiyarthyaniṣedhāya bahireva gṛhṇīma iti cet tat kimidānīṃ	taTA api sADana vEyarTya nizeDAya bahis eva gRhNImaH iti ced tat kim idAnIm
   tvadicchānurodhāt dharmmiṇi hetorddarśanamadarśanamastu / darśanaviśeṣe vā	tvad icCA anuroDAt DarmmiNi hetoH ddarSanam adarSanam astu / darSana viSeze vA
   bahireva vyāptigrahaṇavyavasthāstu / ubhayatra dṛṣṭasya vyāptigrahaṇe	bahis eva vyApti grahaNa vyavasTAH tu / uBayatra dRzwasya vyApti grahaNe
   'pyasti bahirvyāptibhāga iti cet / nanu kimarthamiyān bhāgo yatnena	api asti bahis vyApti BAgaH iti ced / nanu kimarTam iyAn BAgaH yatnena
   saṃrakṣyate /	saMrakzyate /
   mābhūt hetuvaiyarthyamiti cet / nanu yadi bādhakavṛttimātreṇa	mA aBUt hetu vEyarTyam iti ced / nanu yadi bADaka vRtti mAtreNa
   vyāptigrahaṇādhikaraṇe dharmmiṇi sādhyasidveḥ	vyApti grahaNa aDikaraNe DarmmiNi sADyasi dveH
   sādhanavaiyarthyamantarvyāptau tadetadvahirvyāptāvapi tulyaṃ / tasmād	sADana vEyarTyam antar vyAptO tat etat vahiH vyAptO= api tulyam / tasmAt 
   vyasanamātraṃ bahirvyāptigrahaṇe viśeṣeṇa sattve hetau kevalaṃ	vyasana mAtram bahis vyApti grahaNe viSezeNa sattve hetO kevalam
   jaḍadhiyāmeva niyamena dṛṣṭāntasāpekṣaḥ sādhanaprayogaḥ paritoṣāya jāyate	jaxa DiyAm eva niyamena dRzwAnta sApekzaH sADana prayogaH paritozAya jAyate
   / teṣāmevānugrahārthamācāryyo dṛṣṭāntamupādatte /	/ tezAm eva anugraha arTam AcAryyaH dRzwAntam upAdatte /
   yat sattatkṣaṇikaṃ yathā ghaṭa iti /	yat sat tad kzaNikam yaTA GawaH iti /
   paṭumatayastu naivaṃ dṛṣṭāntamapekṣante /	pawu matayaH tu na evam dRzwAntam apekzante /
   "tasmāddṛṣṭāntaroktebhyo ghaṭaṃ dṛṣṭāntamabravīt /	"tasmAt dRzwa antara ukteByaH Gawam dRzwAntam abravIt /
   tathā māneṣvavaiyarthyādantarvyāptāvapīṣyatām //	taTA mAnezu avEyarTyAt antar vyApta avapIzyatAm //
   ityantaraślokaḥ //	iti antaraSlokaH //
   kathamidānīṃ anumeye sattvameva sattvameva sapakṣa eva sattvamasapakṣe	kaTam idAnIm anumeye sattvam eva sattvam eva sa pakzaH eva sattvam asapakze
   vāsattvameva niścitamiti hetostrairupyamavagantavyam /	vA asattvam eva niScitam iti hetoH trEH upyam avagantavyam /
   "matau sapakṣāsapakṣau sādhyadharmmayutāyutau /	"matO sa pakzAsa pakzO sADya Darmma yuta ayutO /
   sattvāsattve tatra hetoste grāhye yatra tatra vā //"	sattva asattve tatra hetoH te grAhye yatra tatra vA //"
