   Abhidharmadīpaḥ	ABiDarma-dIpaH
   rūpyarūpāśrayāstitvātpañcānāṃ rūpyudāhṛtaḥ // [7] //	rUpya-rUpa-ASraya-astitvAt-paQcAnAm rUpi-udAhRtaH // [7] //
   skandhāyatanadhātūnāṃ svātmanā saṃgrahaḥ smṛtaḥ /	skanDa-Ayatana-DAtUnAm sva-AtmanA saMgrahaH smRtaH /
   svātmanā nityamaviyogāt samatvaṃ cittacaitasām // [8] //	sva-AtmanA nityam-aviyogAt sama-tvam citta-cEtasAm // [8] //
   tadākhyā ye 'nyasūtroktāsteṣāmeṣveva saṃgraham /	tad-AKyAH ye anya-sUtra-uktAH-tezAm-ezu-eva saMgraham /
   brūyācchāstranayābhijño buddhyāpekṣya svalakṣa[ṇam] // [9] //	brUyAt-SAstra-nayA-aBijQaH budDyA-apekzya sva-lakza[Nam] // [9] //
   anyonyasaṃgraho jñeyaḥ skandhādīnāṃ yathāyatham /	anyonya-saMgrahaH jQeyaH skanDa-AdInAm yaTAyaTam /
   nādhvasvapatanādibhyo nityānāṃ skandhasaṃgrahaḥ // [10] //	na-aDva-svapatana-AdiByaH nityAnAm skanDa-saMgrahaH // [10] //
   dharmaskandhasahasrāṇāmaśīterapi saṃgrahaḥ /	Darma-skanDa-sahasrANAm-aSIteH-api saMgrahaH /
   jñeyo 'vataraṇeṣveva taiḥ sanmārgāvatāraṇāt // [11] //	jQeyaH avataraNezu-eva tEH sat-mArga-avatAraNAt // [11] //
   dharmaskandhapramānaṃ (ṇaṃ) tu satyāderekaśaḥ kathā /	Darma-skanDa-pramAnam (NaM) tu satya-AdeH-ekaSas kaTA /
   tatsatattvaṃ tu keṣāñcidvāṅnāmāpīṣyate paraiḥ // [12] //	tat-sa-tattvam tu kezAQcid-vAc-nAm-ApIzyate parEH // [12] //
   sattvaprajñaptyupādānaṃ maulaṃ ṣaḍdhātavo matāḥ /	sattva-prajQapti-upAdAnam mOlam zaz-DAtavaH matAH /
   proktāstadbhedato yasmādasminmāro(smimāno) nivartate // [13] //	proktAH-tad-BedataH yasmAt-asmin-mAro(smi-mAno) nivartate // [13] //
   `satkāyadṛṣṭipuṣṭatvāt'	`sat-kAya-dRzwi-puzwa-tvAt-a
   kliṣṭameva hi vijñānaṃ [draṣṭavyaṃ] janmaṇi (ni) śrayāt /	klizwam-eva hi vijQAnam [drazwavyan] janmaNi (ni) SrayAt /
   khadhātuḥ pṛthagākāśādrūpāyatanasaṃgrahāt / [14] //	KaDAtuH pRTak-AkASAt-rUpa-Ayatana-saMgrahAt / [14] //
   nabhaḥ khalu nabho dhātorāsanno hetureṣa tu /	naBaH Kalu naBaH DAtoH-AsannaH hetuH-eza tu /
   bhūtānāṃ tāni tajjasya rūpasyaitattu cetasaḥ // [15] //	BUtAnAm tAni tad-jasya rUpasya-etat-tu cetasaH // [15] //
   pratyakṣavṛttiryattatprāgaprāptagrāhyato 'pi yat /	pratyakza-vRttiH-yat-tat-prAc-aprApta-grAhyataH api yat /
   tato 'pi yaddavīyo 'rthaṃ paṭiṣṭhamitarādapi // [16] //	tatas api yat-davIyaH arTam pawizWam-itarAt-api // [16] //
   abhidharmadīpe vimāṣāprabhāyāṃ vṛttau prathamā(mā) dhyāsya dvitīyaḥ pādaḥ	aBiDarma-dIpe vimAzA-praBAyAm vRttO praTamA-a(mA) DyAsya dvitIyaH pAdaH
   prathamādhyāye tṛtīyapādaḥ /	praTama-aDyAye tRtIya-pAdaH /
   sanidarśaṇa (na) ādyārthaḥ mūrttāḥ sapratighā daśa /	sa-nidarSaNa (na) Adya-arTaH mUrttAH sa-pratiGAH daSa /
   anyatra rūpaśabdābhyāṃ ta evāvyākṛtā matāḥ // [17] //	anyatra rUpa-SabdAByAm te eva-avyAkRtAH matAH // [17] //
   śeṣāstridhā iha sarve 'pi rūpadhātau caturdaśa /	SezAH-triDA iha sarve api rUpa-DAtO caturdaSa /
   rasagandhau savijñānau dhātū hitvā trayontimāḥ // [18] //	rasa-ganDO sa-vijQAnO DAtU hitvA trayontimAH // [18] //
   sāsravāṇā (nā)sravā antyāstrayaḥ śeṣāstu sāsravāḥ /	sa-AsravANAH (nA)sravAH antyAH-trayaH SezAH-tu sa-AsravAH /
   sālambaprathamāḥ pañca sopacārāstrayastridhā // [19] //	sa-Alamba-praTamAH paQca sa-upacArAH-trayaH-triDA // [19] //
   nirvikalpaguṇasvārthāḥ asmārādanirūpaṇāt /	nirvikalpa-guNa-sva-arTAH asmArAt-anirUpaNAt /
   manobhaumī smṛtiḥ pūrvo dvitīyo ghīrṇi(rni)rūpikā / [20] //	manaH-BOmI smRtiH pUrvaH dvitIyaH GIrNi(H-ni)rUpikA / [20] //
   vijñānapañcakaṃ kāmeṣvekena savikalpakam /	vijQAna-paQcakam kAmezu-ekena sa-vikalpakam /
   tasmādanyat tribhiḥ dhyāne prathame cāsamāhitam // [21] //	tasmAt-anyat triBiH DyAne praTame ca-asamAhitam // [21] //
   dvābhyāmavyagraṃ ekena cakṣuḥśrotratvagāśraya[m] /	dvAByAm-avyagram ekena cakzuH-Srotra-tvac-ASraya-[m] /
   dvābhyāṃ taduparivyagraṃ ekenaiva samāhitam // [22] //	dvAByAm tad-upari-vyagram ekena-eva samAhitam // [22] //
   ucchinnaśubhabījasya darśaṇaṃ(naṃ) savikalpakam /	ucCinna-SuBa-bIjasya darSaNaM(naM) sa-vikalpakam /
   kuśalaṃ nāsti vijñānamanyatra pratisandhitaḥ // [23] //	kuSalam na-asti vijQAnam-anyatra pratisanDitaH // [23] //
   kāmebhyo vītarāgasya bālasyāhānidharmiṇaḥ /	kAmeByaH vIta-rAgasya bAlasya-aha-aniDarmiNaH /
   dvidhāpyakuśalaṃ nāsti kliṣṭaṃ cāryasya nottamam // [24] //	dviDA-api-akuSalam na-asti klizwam ca-Aryasya na-uttamam // [24] //
   nākliṣṭāvyākṛtaṃ kiñcidūrdhvabhūmivikalpakam /	na-aklizwa-avyAkRtam kiQcid-UrDva-BUmi-vikalpakam /
   kliṣṭaṃ vikalpakaṃ cāpi nāstyadhobhūmigocaram // [25] //	klizwam vikalpakam ca-api na-asti-aDas-BUmi-gocaram // [25] //
   tridheha dvayamāryasya rāgiṇaḥ saśubhasya ca /	triDA-iha dvayam-Aryasya rAgiNaH sa-SuBasya ca /
   na śubhaṃ nāpi ca kliṣṭaṃ dvitīyādiṣu darśakam // [26] //	na SuBam na-api ca klizwam dvitIya-Adizu darSakam // [26] //
   prayogādaṅgasānnidhyātsabhāgatvācca santateḥ /	prayogAt-aFga-sAnniDyAt-sa-BAga-tvAt-ca santateH /
   prāgvijñānānubhūte 'rthe cetasyutpadyate smṛtiḥ // [27] //	prAk-vijQAna-anuBUte arTe cetasi-utpadyate smRtiH // [27] //
   etadviparyayāt māndyātkleśarogābhibhūtitaḥ /	etad-viparyayAt mAndyAt-kleSa-roga-aBiBUtitaH /
   jñātapūrveṣu vismṛtiḥ saṃprajāyate // [28] //	jQAta-pUrvezu vismRtiH saMprajAyate // [28] //
   dṛṣṭaṃ dvitricatuḥpañcaprakāreṇāpi cetasā /	dRzwam dvi-tri-catur-paQca-prakAreNa-api cetasA /
   smaryate sattadanyaiśca nānyo 'nyaṃ vyoghadṛkkṣaye // [29] //	smaryate sat-tad-anyEH-ca na-anyaH anyam vyoGa-dRS-kzaye // [29] //
   vijñānānāṃ tu pañcānāṃ yadekenānubhūyate /	vijQAnAnAm tu paQcAnAm yat-ekena-anuBUyate /
   tatsmaryate 'pi cānyena tena khalvitarairapi // [30] //	tat-smaryate api ca-anyena tena Kalu-itarEH-api // [30] //
   dvyavyākṛtānubhūtaṃ yaccittaṃ dvādaśakādiha /	dvi-avyAkRta-anuBUtam yat-cittam dvAdaSakAt-iha /
   vyārūpyarūpaṇi(ni)vṛteḥ smaryate 'ṣṭābhireva tat // [31] //	vyArUpya-rUpaNi(ni)vRteH smaryate azwABiH-eva tat // [31] //
   rūpārūpyāptanivṛtaśubhābhyāṃ tu kramena(ṇa) yat /	rUpa-ArUpya-Apta-nivRta-SuBAByAm tu kramena(Na) yat /
   kāmāptāvyākṛte hitvā smaryate daśakena tat // [32] //	kAma-Apta-avyAkRte hitvA smaryate daSakena tat // [32] //
   rūpe tvanivṛtākhyena dṛṣṭamavyākṛtena yat /	rUpe tu-anivRta-AKyena dRzwam-avyAkRtena yat /
   ārūpyāvyākṛte hitvā tadanyaiḥ smaryate punaḥ // [33] //	ArUpya-avyAkRte hitvA tad-anyEH smaryate punar // [33] //
   ārūpyāvyākṛtajñātaṃ yaśceto navakena tat /	ArUpya-avyAkRta-jQAtam yaH-cetaH navakena tat /
   kāmāptāvyākṛte hitvā rūpāptānivṛtaṃ tathā // [34] //	kAma-Apta-avyAkRte hitvA rUpa-AptA-nivRtam taTA // [34] //
   cittākhyāḥ sapta sālambā dharmākhyaḥ saṃprayuktakaḥ /	citta-AKyAH sapta sAlambA Darma-AKyaH saMprayuktakaH /
   amūrtā dhvaninā sārdhamanupāttāḥ nava dvidhā // [35] //	amUrtAH DvaninA sArDam-anupAttAH nava dviDA // [35] //
   spṛśyaṃ dvidhā sadharmāṃśāḥ saha tā nava bhautikāḥ /	spRSyam dviDA sa-Darma-aMSAH saha tAH nava BOtikAH /
   daśa sāvayavā mūrtāḥ ta eva daśa saṃcitāḥ // [36] //	daSa sAvayavAH mUrtAH te eva daSa saMcitAH // [36] //
   rūpagandharasasparśāścchetṛcchedyātmakā matāḥ /	rUpa-ganDa-rasa-sparSa-AS=-CetR=-Cedya-AtmakAH matAH /
   dāhakāstolakāścaite dāhyāstolyāsta eva vā // [37] //	dAhakAH-tolakAH-ca-ete dAhyAH-tolyAH-te eva vA // [37] //
   pañca rūpīndriyātmāno vipākopacayātmakāḥ /	paQca rUpi-indriya-AtmAnaH vipAka-upacaya-AtmakAH /
   amūrttā naupacayikāḥ tridhā śeṣāḥ dhvanirdvidhā // [38] //	amUrttAH na-OpacayikAH triDA SezAH DvaniH-dviDA // [38] //
   cakṣustadupalabdhiśca pṛthagvā saha vāpnuyāt /	cakzuH-tad-upalabDiH-ca pRTak-vA saha vA-ApnuyAt /
   dvādaśādhyātmikā jñeyāḥ bāhyāṣṣaḍviṣayātmakāḥ // [39] //	dvAdaSa-ADyAtmikAH jQeyAH bAhyAzzaz-vizaya-AtmakAH // [39] //
   trayo 'ntyāstrividhāḥ śeṣā bhāvanāpathasaṃkṣayāḥ //	trayaH antyAH-triviDAH SezAH BAvanA-paTa-saMkzayAH //
   na rūpamasti dṛgdheyaṃ nākliṣṭaṃ nāvikalpakam // [40] //	na rUpam-asti dRgDeyam na-aklizwam na-avikalpakam // [40] //
   sabhāga eva dharmākhyaḥ śeṣāstūbhayathā smṛtāḥ //	sa-BAgaH eva Darma-AKyaH SezAH-tu-uBayaTA smRtAH //
   sabhāgastatsabhāgatve svakriyābhāktu tulyate // [41] //	sa-BAgaH-tad-saBAga-tve sva-kriyA-BAktu tulyate // [41] //
   cakṣuḥ sadharmadhātvaṃśaṃ navadhā dṛṣṭirūcyate /	cakzuH saDarmaDAtu-aMSam navaDA dRzwiH-Ucyate /
   pāñcavijñānakī prajñā na dṛṣṭiraṇi (ti) tīraṇāt // [42] //	pAQcavijQAnakI prajQA na dRzwiH-aNi (ti) tIraNAt // [42] //
   sameghāmegharātryahnordṛśyaṃ cakṣuryathekṣate /	sa-meGa-ameGa-rAtrI-ahnoH-dRSyam cakzuH-yaTA-Ikzate /
   kliṣṭākliṣṭadṛśau tadvacchaikṣāśaikṣe ca paśyataḥ // [43] //	klizwa-aklizwa-dRSO tadvat-SEkzA-SEkze ca paSyataH // [43] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau prathamasyādhyāyasya tṛtīyaḥ pādaḥ	aBiDarma-dIpe viBAzA-praBAyAm vRttO praTamasya-aDyAyasya tRtIyaH pAdaH
   prathamādhyāye caturthapādaḥ /	praTama-aDyAye caturTa-pAdaH /
   cakṣuḥ paśyati vijñānaṃ vijānāti svagocaramṛ /	cakzuH paSyati vijQAnam vijAnAti sva-gocaramR /
   ālocanopalabdhitvādviśeṣaḥ sumahāṃstayoḥ // [44] //	Alocana-upalabDi-tvAt-viSezaH su-mahAn=-tayoH // [44] //
   ekasya cakṣuṣaḥ kāryaṃ vijñānamathavā dvayoḥ /	ekasya cakzuzaH kAryam vijQAnam-aTavA dvayoH /
   aprāpyārthaṃ manaścakṣuḥ śrotraṃ ca trīṇyato 'nyathā // [45] //	aprApya-arTam manaH-cakzuH Srotram ca trINi-atas anyaTA // [45] //
   aprāptagrāhiṇaḥ siddhā dūrāsannasamagrahāt /	aprApta-grAhiNaH sidDAH dUra-Asanna-sama-grahAt /
   pradīpādiprabhāvaścet na samaṃ tatsamudbhavāt // [46] //	pradIpa-Adi-praBAvaH-ced na samam tad-samudBavAt // [46] //
   sarvagrahaprasaṃgaścennāyaskāntādidarśaṇā(nā)t /	sarva-graha-prasaMgaH-ced-na-ayaskAnta-Adi-darSaNA(nA)t /
   sarvagatvādadoṣaścennāyogāttilatailavat // [47] //	sarvaga-tvAt-adozaH-ca-id-na-ayogAt-tila-tEla-vat // [47] //
   na hyū rdhvaṃ cakṣuṣaḥ kāyo na rūpaṃ nākṣijaṃ manaḥ /	na hyuH rDvam cakzuzaH kAyaH na rUpam na-akzi-jam manaH /
   vijñānasya tu netrārthastau ca kāyasya savaṃtaḥ // [48] //	vijQAnasya tu netra-arTaH-tO ca kAyasya savaMtaH // [48] //
   nopariṣṭācchru teḥ kāyo na śabdo na svakaṃ manaḥ /	na-uparizwAt-Sru teH kAyaH na SabdaH na svakam manaH /
   vijñānasya tu nihrādastau ca kāyasya sarvataḥ // [49] //	vijQAnasya tu nihrAdaH-tO ca kAyasya sarvatas // [49] //
   trayāṇāṃ(ṇāṃ) trīṇyapi svāṇi(na) tanorvijñānamapyadhaḥ /	trayANAM(NAn) trINi-api svANi(na) tanoH-vijQAnam-api-aDas /
   manastvaniyataṃ yogivaiśvarūpyaṃ pradarśitam // [50] //	manaH-tu-aniyatam yogi-vESvarUpyam pradarSitam // [50] //
   sāsravānāsrāḥ skandhā ye tūpādānasaṃjñitāḥ /	sa-AsravAna-asrAH skanDAH ye tu-upAdAna-saMjQitAH /
   sāsravā eva te jñeyāstatsācivyakriyādibhiḥ // [51] //	sa-AsravAH eva te jQeyAH-tad-sAcivya-kriyA-AdiBiH // [51] //
   adhvādyāḥ skandhaparyāyāḥ dharmādyā vastunaḥ sataḥ /	aDu-AdyAH skanDa-paryAyAH Darma-AdyAH vastunaH sataH /
   ye tu sāsravasaṃjñāste proktā duḥkhādināmabhiḥ // [52] //	ye tu sa-Asrava-saMjQAH-te proktAH duHKa-Adi-nAmaBiH // [52] //
   svātmyagocarakāryānāṃ(ṇā)mekatvādekadhātunā /	svAtmya-gocara-kAryAnAM(NA)m-eka-tvAt-eka-DAtunA /
   cakṣurādidvibhāve 'pi dvyutpattiḥ karmatṛ(tri)tvaśāt // [53] //	cakzuH-Adi-dvi-BAve api dvi-utpattiH karma-tR(tri)tvaSAt // [53] //
   [asādhāraṇa]vaiśiṣṭyādaiśvaryādāntaraṅgaytaḥ /	[asADAraNa]-vESizwyAt-ESvaryAda-antaraFgaytaH /
   satyapyaṇe (ne) kahetutve vijñānaṃ tairviśeṣyate // [54] //	sati-api-aNe (ne) kahetu-tve vijQAnam tEH-viSezyate // [54] //
   nityatvātkuśalatvācca nirvāṇaṃ dravyamañjasā /	nitya-tvAt-kuSala-tvAt-ca nirvANam dravyam-aQjasA /
   sāradravyena tenaiko dharmākhyo dravyavānmataḥ // [55] //	sAra-dravyena tena-ekaH Darma-AKyaH dravyavAn-mataH // [55] //
   prathamaṃ nirmalaṃ cittamasābhāgyātkṣaṇaḥ smṛtaḥ /	praTamam nirmalam cittam-asABAgyAt-kzaNaH smRtaH /
   tenādbhutakṣaṇenaite kṣaṇikāḥ paścimāstrayaḥ // [56] //	tena-adButa-kzaNena-ete kzaNikAH paScimAH-trayaH // [56] //
   ghrāṇaṃ jihvā ca kāyaśca tulyārthagrāhyadastrayam /	GrANam jihvA ca kAyaH-ca tulya-arTa-grAhya-daH-trayam /
   paścimasyāśrayo 'tītaḥ pañcānāṃ taiḥ sahāpi ca // [57] //	paScimasya-ASrayaH atItaH paQcAnAm tEH saha-api ca // [57] //
   niśritya khalvanāgamyaṃ niśrayāṃścaturo 'tha vā /	niSritya Kalu-ana-agamyam niSrayAn=-caturaH aTa vA /
   anāsravena (ṇa) mārgeṃṇa cakṣurdhāturnirudhyate // [58] //	anAsravena (Na) mArgeMNa cakzuH-DAtuH-niruDyate // [58] //
   anāgamyaṃ tu niśritya gandhadhāturṇi(rni)rudhyate /	anAgamyam tu niSritya ganDaDAturNi(rni)ruDyate /
   manodhāturaṇā(nā)gamyaṃ yadi vā saptaniśrayāt // [59] //	manaH-DAtuH-aNA(nA)-gamyam yadi vA sapta-niSrayAt // [59] //
   anāgamyaṃ tathaivādyaṃ cakṣurvijñānasaṃjñakaḥ /	anAgamyam taTA-eva-Adyam cakzuH-vijQAna-saMjQakaH /
   dharmadhātorvicitratvādyathāyogaṃ vinirdiśet // [60] //	DarmaDAtoH-vicitra-tvAt-yaTAyogam vinirdiSet // [60] //
   cakṣurdhātuṃ hi rūpāptaṃ parijānan pṛthagjanaḥ /	cakzuH-DAtum hi rUpa-Aptam parijAnan pRTagjanaH /
   kṛtsnādrūpamayāddhātorvairāgyamadhigacchati // [61] //	kRtsnAt-rUpa-mayAt-DAtoH-vErAgyam-aDigacCati // [61] //
   tasmādanuśayāndhātorekartriśajjahāti ca /	tasmAt-anuSayAn-DAtoH-eka-Rtri-Sat-jahAti ca /
   paryādatte na kiñcittu saṃyojanamasau tadā // [62] //	paryAdatte na kiQcid-tu saMyojanam-asO tadA // [62] //
   rūpavairāgyamāpnoti jahātyanuśayatrayam /	rUpa-vErAgyam-Apnoti jahA-ati-anuSaya-trayam /
   tadā saṃyojanaṃ tvāryaḥ paryādatte na kiñcanā // [63] //	tadA saMyojanam tu-AryaH paryAdatte na kiQcanAH // [63] //
   cakṣurvijñānadhātuṃ tu parijānaṃstameva ca /	cakzuH-vijQAna-DAtum tu parijAnan=-tam-eva ca /
   parijānātyavaśyaṃ ca brahmalokādvirajyate // [64] //	parijAnAti-avaSyam ca brahma-lokAt-virajyate // [64] //
   na tu saṃyojanaṃ kiñcitparyādatte tadā hyasau /	na tu saMyojanam kiQcid-paryAdatte tadA hi-asO /
   gandhadhātuṃ rasākhyaṃ ca parijānan pṛthagjanaḥ // [65] //	ganDaDAtum rasa-AKyam ca parijAnan pRTagjanaH // [65] //
   kāmavairāgyamāpnoti dhruvaṃ hyanuśayānapi /	kAma-vErAgyam-Apnoti Druvam hi-anuSayAn-api /
   tadā jahāti ṣaṭtriṃśadvartisaṃyojanatrayam // [66] //	tadA jahAti zawtriMSat-varti-saMyojana-trayam // [66] //
   āryastu kāmavairāgyaṃ karotyanuśayānapi /	AryaH-tu kAma-vErAgyam karoti-anuSayAn-api /
   caturaḥ parijānāti paryādatte 'pi ca trayam // [67] //	caturaH parijAnAti paryAdatte api ca trayam // [67] //
   parijānanmanodhātumārūpyebhyo virajyate /	parijAnan-manaH-DAtum-ArUpyeByaH virajyate /
   jahātyanuśayāṃstrīṃśca paryādatte trayaṃ tathā // [68] //	jahAti-anuSayAn=-trIn=-ca paryAdatte trayam taTA // [68] //
   parijānankhalu prītiṃ tāmeva prajahātyasau /	parijAnanKalu prItim tAm-eva prajahAti-asO /
   ābhāsvarācca vairāgyaṃ yāti hanti tu nāsravān // [69] //	ABAsvarAt-ca vErAgyam yAti hanti tu na-AsravAn // [69] //
   parijānansukhaṃ yogī prajahāti tadeha ca /	parijAnan-suKam yogI prajahAti tadA-iha ca /
   śubhakṛtsnācca vairāgyaṃ yāti kleśānna hanti tu // [70] //	SuBa-kRtsnAt-ca vErAgyam yAti kleSAt-na hanti tu // [70] //
   dvivijñeyāḥ guṇāḥ pañca hetuḥ sarve kṣarākṣarāḥ /	dvi-vijQeyAH guNAH paQca hetuH sarve kzara-akzarAH /
   anyatra dharmadhātvarthā(dhī)cchaḍbāhyā nendriyātmakāḥ // [71] //	anyatra DarmaDAtu-arTa-A(DI)=-CaxbAhyAH na-indriya-AtmakAH // [71] //
   abhidharmadīpe vibhāṣā [prabhāyāṃ vṛttau prathamo 'dhyāyaḥ /]	aBiDarma-dIpe viBAzA [praBAyAm vRttO praTamaH aDyAyaH /]
   dvitīyo 'dhyāyaḥ / prathamaḥ pādaḥ /	dvitIyaH aDyAyaH / praTamaH pAdaH /
   dvāviṃśatiprakārasya kṛtsnasyendriyaparvaṇaḥ /	dvAviMSati-prakArasya kRtsnasya-indriya-parvaNaH /
   saṃkṣepeṇābhidhāsyante dharmā ṇi(ni)rvacanādayaḥ // [72] //	saMkzepeNa-aBiDAsyante DarmAH Ni(-ni)rvacana-AdayaH // [72] //
   nāmnā dvāviṃśatistāni dravyato daśa sapta ca /	nAmnA dvAviMSatiH-tAni dravyataH daSa sapta ca /
   yasmānnānyaddvayaṃ kāryā(yā)tsukhādinavakatrayam // [73] //	yasmAt-na-anyat-dvayam kAryA(yA)t-suKa-Adi-navaka-trayam // [73] //
   nāmasallakṣaṇābhāvāttannāmnaḥ sārthakatvataḥ /	nAma-sat-lakzaNa-aBAvAt-tad-nAmnaH sArTaka-tvataH /
   trayānāṃ(ṇāṃ) vargavṛttitve 'pyarthamabhyeṣyate paraiḥ // [74] //	trayAnAM(NAM) varga-vRtti-tve api-arTam-aByezyate parEH // [74] //
   viśiṣṭabuddhihetutvādādhipatyaviśeṣataḥ /	viSizwa-budDi-hetu-tvAt-ADipatya-viSezataH /
   kāyendriyādviśiṣṭatvaṃ dvayorṇe(rne)trendriyādivat // [75] //	kAya-indriyAt-viSizwa-tvam dvaya-UrNe(H-ne)tra-indriya-Adi-vat // [75] //
   aiśvaryārtho vipaścidbhirindriyārtho 'bhidhīyate /	ESvarya-arTaH vipaScidBiH-indriya-arTaH aBiDIyate /
   svārthavyaktiṣu pañcānāṃ caturṇāṃ tvarthayordvayoḥ // [76] //	sva-arTa-vyaktizu paQcAnAm caturNAm tu-arTayoH-dvayoH // [76] //
   svagocaropalabdhyādāvīṣi (śi)tvamapare viduḥ /	sva-gocara-upalabDi-AdO=-Izi (Si)tvam-apare viduH /
   svārthavijñāna evānya āhuḥ paṇḍitamāninaḥ // [77] //	sva-arTa-vijQAnaH eva-anyaH AhuH paNxita-mAninaH // [77] //
   kleśotpattau sukhādīnāṃ śraddhādīnāṃ guṇāptiṣu /	kleSa-utpattO suKa-AdInAm SradDA-AdInAm guNa-Aptizu /
   phalasaṃkleśasaṃbhāraviśuddhitvādanukramaḥ // [78] //	Pala-saMkleSa-saMBAra-viSudDi-tvAt-anukramaH // [78] //
   sattvākhyā sattvavaicitrya(tryaṃ) dhṛti(tiḥ) kleśodbhavaśca yaiḥ /	sattva-AKyA sattva-vEcitrya(tryaM) DRti(tiH) kleSa-udBavaH-ca yEH /
   mārgopāyaḥ phalaprāptisteṣāmindriyatā matā // [79] //	mArga-upAyaH Pala-prAptiH-tezAm-indriya-tA matA // [79] //
   sparśāśrayodbhavādhārasaṃbhogatvāccaturdaśa /	sparSa-ASraya-udBava-ADAra-saMBoga-tvAt-caturdaSa /
   svargāpavargahetutvāt tadanyadvendriyāṣṭakam // [80] //	svarga-apavarga-hetu-tvAt tad-anyat-vA-indriya-azwakam // [80] //
   chandaṃ vīryāṅgabhūtatvāt sparśo vittyanubṛṃhaṇāt /	Candam vIrya-aFga-BUta-tvAt sparSaH vitti-anu-bRMhaNAt /
   saṃjñā prajñābhibhūtatvānnendriyaṃ munirabhyadhāt // [81] //	saMjQA prajQA-aBiBUta-tvAt-na-indriyam muniH-aByaDAt // [81] //
   śraddhādīnāṃ vidāṃ caiva doṣaḥ śuddhau malodaye /	SradDA-AdInAm vidAm ca-eva dozaH SudDO mala-udaye /
   pradhānatvānmanaskāro nendriyaṃ samudāhṛtam // [82] //	praDAna-tvAt-manaskAraH na-indriyam samudAhRtam // [82] //
   saṃbhāvanānukūlatvādadhimokṣo 'pi nendriyam /	saMBAvanA-anukUla-tvAt-aDimokzaH api na-indriyam /
   kālāntaraphalotpādasaṃdehābhyāṃ na cetanā // [83] //	kAla-antara-Pala-utpAda-saMdehAByAm na cetanA // [83] //
   nāpramādo 'pyasau vīryāt, na hrīḥ prāgalbhanigrahāt /	na-apramAdaH api-asO vIrya-at, na hrIH prAgalBa-nigrahAt /
   nopekṣā nāpi cālobho vīryaśraddhābhibhūtitaḥ // [84] //	na-upekzA na-api ca-aloBaH vIrya-SradDA-aBiBUtitaH // [84] //
   na prasrabdhirvidautkaṭyādvinindyatvācca nāsravāḥ /	na prasrabDiH-vida-OtkawyAt-vinindya-tvAt-ca na-AsravAH /
   jātyādayo na pārārthyāt niṣkriyatvānna nirvṛtiḥ // [85] //	jAti-AdayaH na pArArTyAt nizkriya-tvAt-na nirvRtiH // [85] //
   kāyasya bādhanaṃ duḥkhaṃ daurmanasyaṃ tu cetasaḥ /	kAyasya bADanam duHKam dOrmanasyam tu cetasaH /
   sukhaṃ ca sumanastā ca sātaṃ śārīramānasam // [86] //	suKam ca sumanaH-tA ca sAtam SArIra-mAnasam // [86] //
