   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   ākarṣanī karmaṇī vā JñS_11.17a	AkarzanI karmaNI vA JQH-_11.17a
   ākāśa iva tadrūpam Vṛh_58a	AkASaH iva tad-rUpam VRh_58a
   ākāśamaṇḍalaṃ prāpya MJ_38a	AkASa-maNxalam prApya M=-_38a
   ākāśam iva ākāśaṃ JñS_25.2c	AkASam iva AkASam JQH-_25.2c
   ākāśam iva nirmalam JñS_25.3d	AkASam iva nirmalam JQH-_25.3d
   ākāśaṃ bhasmasaṃyuktaṃ JñS_25.16a	AkASam Basma-saMyuktam JQH-_25.16a
   ākāśaḥ santataṃ dhruvaṃ Vṛh_58b	AkASaH santatam Druvam VRh_58b
   ākāśe jāyate puṣpaṃ MJ_9a	AkASe jAyate puzpam M=-_9a
   ākāśo buddhikā manaḥ Vṛh_62c	AkASaH budDikAH manaH VRh_62c
   āgninā malaśuddhaṃ ca ? MJ_38c	AgninA mala-SudDam ca ? M=-_38c
   ācāryyakṛtopadeśa ? MJ_77a	AcAryya-kRta-upadeSaH ? M=-_77a
   ātmajñānaṃ tu vijñāya MJ_12c	Atma-jQAnam tu vijQAya M=-_12c
   ātmatrayam iti smṛta JñS_14.1b	Atma-trayam iti smRta JQH-_14.1b
   ātmatrayam iti smṛtam GNP_2b	Atma-trayam iti smRtam GNP_2b
   ātmanaṃ ca ravis tathā JñS_18.2b	Atmanam ca raviH taTA JQH-_18.2b
   ātmanaḥ prakṛtis tathā GNP_28b	AtmanaH prakRtiH taTA GNP_28b
   ātmanaḥ prakṛtis tathā JñS_18.1b	AtmanaH prakRtiH taTA JQH-_18.1b
   ātmanaḥ svayam utpānnaṃ JñS_16.3a	AtmanaH svayam utpAnnam JQH-_16.3a
   ātmanā tu hatvā sarvva MJ_8c	AtmanA tu hatvA sarvva M=-_8c
   ātmani svayam utpannaṃ MJ_22a	Atmani svayam utpannam M=-_22a
   ātmane svayam utpannaṃ GNP_12a	Atmane svayam utpannam GNP_12a
   ātmanaiva kṛtaṃ rūpaṃ Vṛh_71a	AtmanA-eva kRtam rUpam VRh_71a
   ātmaliṅgavimohitaḥ JñS_16.8b	Atma-liFga-vimohitaH JQH-_16.8b
   ātmaliṅgaṃ na tatsamam JñS_16.4b	Atma-liFgam na tad-samam JQH-_16.4b
   ātmaliṅgaṃ procyate budhaiḥ GNP_12d	Atma-liFgam procyate buDEH GNP_12d
   ātmaliṅgaṃ viśiṣyate GNP_13d	Atma-liFgam viSizyate GNP_13d
   ātmaliṅgaṃ viśiṣyate JñS_16.4d	Atma-liFgam viSizyate JQH-_16.4d
   ātmaliṅgaṃ viśiṣyate MJ_23d	Atma-liFgam viSizyate M=-_23d
   ātmaliṅgān na tatsamam GNP_13b	Atma-liFgAt na tad-samam GNP_13b
   ātmaliṅgān na tatsamam MJ_23b	Atma-liFgAt na tad-samam M=-_23b
   ātmaliṅgān na tatsamam MJ_24d	Atma-liFgAt na tad-samam M=-_24d
   ātmaliṅge vimohitāḥ GNP_17b	Atma-liFge vimohitAH GNP_17b
   ātmaliṅge śivaḥ sthitaḥ MJ_86c	Atma-liFge SivaH sTitaH M=-_86c
   ātmaliṅge sa mohitāḥ MJ_28b	Atma-liFge sa mohitAH M=-_28b
   ātmaliṇgaṃ na tatsamam JñS_16.5b	Atma-liNgam na tad-samam JQH-_16.5b
   ātmaliṇgān na tatsamam GNP_14b	Atma-liNgAt na tad-samam GNP_14b
   ātmavat paraṃ kaivalyaṃ MJ_45c	Atma-vat param kEvalyam M=-_45c
   ātmā caiva parātmā ca JñS_13.2a	AtmA ca-eva para-AtmA ca JQH-_13.2a
   ātmā caivāntarātmā ca JñS_10.4a	AtmA ca-eva-antarAtmA ca JQH-_10.4a
   ātmā caivāntarātmā ca MJ_68a	AtmA ca-eva-antarAtmA ca M=-_68a
   ātmānaṃ ca ravis tathā GNP_29b	AtmAnam ca raviH taTA GNP_29b
   ātmā brahmā ca nābhiṣṭho JñS_10.10a	AtmA brahmA ca na-aBizWaH JQH-_10.10a
   ātmā viṣṇur iti jñeyaḥ MJ_69a	AtmA vizNuH iti jQeyaH M=-_69a
   ādikālaprasādākhyaḥ JñS_9.7c	Adi-kAla-prasAda-AKyaH JQH-_9.7c
   ādimadhyāvasānakam GNP_41d	Adi-maDya-avasAnakam GNP_41d
   ādimadhyāvasānakam JñS_19.2d	Adi-maDya-avasAnakam JQH-_19.2d
   ādhyātmikam āha prabhuḥ JñS_10.3d	ADyAtmikam Aha praBuH JQH-_10.3d
   ārjavatvam asaktatvaṃ Vṛh_17a	Arjava-tvam asakta-tvam VRh_17a
   ālasyaṃ bhīrutā tandrā Vṛh_19a	Alasyam BIru-tA tandrA VRh_19a
   āsīj jñānatrayaṃ jāgrat JñS_20.2a	AsIt jQAna-trayam jAgrat JQH-_20.2a
   āsīt tasmāt vilāśeva Vṛh_70a	AsIt tasmAt vilASA-iva VRh_70a
   āsīd niṣkalavinduṣṭho JñS_12.14a	AsIt nizkala-vinduzWaH JQH-_12.14a
   āhavaniyaṃ ca hṛdaye JñS_25.9b	Ahava-niyam ca hRdaye JQH-_25.9b
   āhlādanī pradānākhyā JñS_11.16a	AhlAdanI pradAna-AKyA JQH-_11.16a
   ikāraś ca akāraś ca JñS_12.8a	ikAraH ca akAraH ca JQH-_12.8a
   ikārākṣaravinduvān JñS_12.17d	ikAra-akza-ra-vinduvAn JQH-_12.17d
   ikāro vāmapādake JñS_26.8b	ikAraH vAma-pAdake JQH-_26.8b
   iḍā tu piṅgalā caiva Vṛh_37a	ixA tu piFgalA ca-eva VRh_37a
   iti devavido viduḥ MJ_82d	iti deva-vidaH viduH M=-_82d
   iti saptāgni procyate Vṛh_63d	iti sapta-agni procyate VRh_63d
   ity ucyate manīṣibhiḥ GNP_36d	iti ucyate manIziBiH GNP_36d
   ity etac cittalakṣaṇam Vṛh_15d	iti etat citta-lakzaNam VRh_15d
   ity etat kramalakṣaṇam GNP_27d	iti etat krama-lakzaNam GNP_27d
   ity etad ukāraḥ smṛtaḥ JñS_11.13b	iti etat ukAraH smRtaH JQH-_11.13b
   ity etad udānaḥ smṛtaḥ JñS_12.18d	iti etat udAnaH smRtaH JQH-_12.18d
   ity etad tattvalakṣaṇam JñS_17.3d	iti etat tattva-lakzaNam JQH-_17.3d
   ity ete saptadevatā JñS_10.5d	iti ete sapta-devatA JQH-_10.5d
   ity ete saptadhā smṛtāḥ JñS_10.7d	iti ete saptaDA smRtAH JQH-_10.7d
   ity ete saptadhā smṛtāḥ JñS_10.8d	iti ete saptaDA smRtAH JQH-_10.8d
   idaṃ bhedajñānaṃ proktaṃ GNP_40a	idam Beda-jQAnam proktam GNP_40a
   idaṃ bhedajñānaṃ proktaṃ JñS_19.1a	idam Beda-jQAnam proktam JQH-_19.1a
   indradhanur yathā JñS_21.2b	indraDanuH yaTA JQH-_21.2b
   indriyāṇīndriyārthebhyo GNP_4a	indriyANi-indriya-arTeByaH GNP_4a
   indriyāṇīndriyārthebhyo JñS_15.2a	indriyANi-indriya-arTeByaH JQH-_15.2a
   indriyāṇīndriyārthebhyo Vṛh_54a	indriyANi-indriya-arTeByaH VRh_54a
   indriyāyogamārgataḥ Vṛh_52b	indriya-ayoga-mArgataH VRh_52b
   indhikā dīptikā caiva JñS_12.3c	inDikA dIptikA ca-eva JQH-_12.3c
   iśānas tu makāro 'bhūd GNP_32a	iSAnaH tu makAraH aBUt GNP_32a
   iśānas tu makāro 'bhūd JñS_18.5a	iSAnaH tu makAraH aBUt JQH-_18.5a
   ihatra ca paratra ca Vṛh_3d	ihatra ca paratra ca VRh_3d
   ihatra ca mahadevi JñS_27.6e	ihatra ca mahat-evi JQH-_27.6e
   īśasārathisaṃyuktaṃ TJ_27c	ISa-sAraTi-saMyuktam Tu-_27c
   īśasārathisaṃyuktaṃ Vṛh_34c	ISa-sAraTi-saMyuktam VRh_34c
   īśitvaṃ nāmehocyate Vṛh_72d	ISitvam nAma-iha-ucyate VRh_72d
   īśvaratvaṃ kuśalatvaṃ Vṛh_17c	ISvara-tvam kuSala-tvam VRh_17c
   īśvaraś cādhidevatā JñS_12.20d	ISvaraH ca-aDidevatA JQH-_12.20d
   īśvaraḥ padmanāle vai MJ_34c	ISvaraH padma-nAle vE M=-_34c
   īśvaraḥ paramātmā ca JñS_10.12a	ISvaraH paramAtmA ca JQH-_10.12a
   īśvaraḥ sārathir jñeyo MJ_16c	ISvaraH sAraTiH jQeyaH M=-_16c
   īśvaro vā tathā pitā MJ_82b	ISvaraH vA taTA pitA M=-_82b
   ukaroccārayed budhaḥ JñS_25.20b	ukara-uccArayet buDaH JQH-_25.20b
   ukāram ca daśamātram JñS_11.1b	ukAram ca daSa-mAtram JQH-_11.1b
   ukāraś caiva jāyate GNP_34d	ukAraH ca-eva jAyate GNP_34d
   ukāraś caiva jāyate JñS_18.7d	ukAraH ca-eva jAyate JQH-_18.7d
   ukāraḥ paṇḍitair mataḥ GNP_31d	ukAraH paNxitEH mataH GNP_31d
   ukāraḥ paṇḍitaiḥ sadā JñS_18.4d	ukAraH paNxitEH sadA JQH-_18.4d
   ukāraḥ svapna eva ca MJ_70b	ukAraH svapnaH eva ca M=-_70b
   ukārākṣaro mūrtimān JñS_10.11d	ukAra-akzaraH mUrtimAn JQH-_10.11d
   ukāre līyate 'kāro JñS_18.12a	ukAre lIyate akAraH JQH-_18.12a
   ukāre līyate 'kāro hy GNP_39a	ukAre lIyate akAraH hi GNP_39a
   ukāro 'kārāditaḥ GNP_37b	ukAraH akAra-AditaH GNP_37b
   ukāro 'kārād bhāvitum JñS_18.10b	ukAraH akArAt BAvitum JQH-_18.10b
   ukāro daśamātrokto JñS_11.7a	ukAraH daSa-mAtra-uktaH JQH-_11.7a
   ukāro 'dhaś ca tadyogam GNP_32c	ukAraH aDas ca tad-yogam GNP_32c
   ukāro 'dhaś ca tadyogam JñS_18.5c	ukAraH aDas ca tad-yogam JQH-_18.5c
   ukāro līyate 'kāre JñS_3.1a	ukAraH lIyate akAre JQH-_3.1a
   ukāro viṣṇudevataḥ JñS_11.12d	ukAraH vizNu-devataH JQH-_11.12d
   ukāro viṣṇur vāmake JñS_26.12b	ukAraH vizNuH vAmake JQH-_26.12b
   uṅkārākṣaravinduṣṭhaḥ JñS_12.29c	uFkAra-akzara-vinduzWaH JQH-_12.29c
   uṅkārākṣaravinduṣṭho JñS_12.16a	uFkAra-akzara-vinduzWaH JQH-_12.16a
   uttaraṃ jāgrad ucyate MJ_30d	uttaram jAgrat ucyate M=-_30d
   utpattir iti gadyate JñS_26.14d	utpattiH iti gadyate JQH-_26.14d
   utpattisthitipralīnakaḥ JñS_26.13d	utpatti-sTiti-pralInakaH JQH-_26.13d
   utpattyartham idaṃ mantraṃ GNP_37c	utpatti-arTam idam mantram GNP_37c
   utpattyartham idaṃ mantraṃ JñS_18.10c	utpatti-arTam idam mantram JQH-_18.10c
   utpādako na sādhakaḥ Vṛh_12a	utpAdakaH na sADakaH VRh_12a
   udare tu gūḍho 'pānas JñS_12.21a	udare tu gUXaH apAnaH JQH-_12.21a
   udānabyāna eva tu JñS_13.1d	udAna-byAnaH eva tu JQH-_13.1d
   udāno nāma mārutaḥ Vṛh_44b	udAnaH nAma mArutaH VRh_44b
   udāno byāna eva ca JñS_12.7b	udAnaH byAnaH eva ca JQH-_12.7b
   udāno mastake jñeyaḥ JñS_12.17a	udAnaH mastake jQeyaH JQH-_12.17a
   udāno mastake jñeyo Vṛh_41c	udAnaH mastake jQeyaH VRh_41c
   udāno vyāna eva ca Vṛh_39d	udAnaH vyAnaH eva ca VRh_39d
   udgāre nāga ity uktaḥ Vṛh_46a	udgAre nAgaH iti uktaH VRh_46a
   udvejayati marmāṇi Vṛh_44a	udvejayati marmANi VRh_44a
   upadeśo nigadyate JñS_8.7d	upadeSaH nigadyate JQH-_8.7d
   upadeśo nigadyate MJ_54d	upadeSaH nigadyate M=-_54d
   upadeśo nigadyate MJ_84d	upadeSaH nigadyate M=-_84d
   uṃkāre vāyuṃ saṃnyaset GNP_54d	uMkAre vAyum saMnyaset GNP_54d
   ūtaprotañ ca gadidaṃ Vṛh_14a	Uta-protan ca gadidam VRh_14a
   ūtaṃ vyāptam iti protaṃ Vṛh_14c	Utam vyAptam iti protam VRh_14c
   ūrddhvātyūrddhvātiśūnyakam JñS_3.3d	UrdDvA-ati-UrdDvA-ati-SUnyakam JQH-_3.3d
   ūrddhvātyūrdhvo 'tiśūnyakaḥ GNP_53d	UrdDvA-ati-UrDvaH ati-SUnyakaH GNP_53d
   ūrdhvavindur ato jñeyo JñS_9.4c	UrDvavinduH atas jQeyaH JQH-_9.4c
   ūrdhvaṃ ca tu vinduṃ nyāset JñS_18.9b	UrDvam ca tu vindum nyAset JQH-_18.9b
   ūrdhvaṃ caiva binduṃ nyaset GNP_36b	UrDvam ca-eva bindum nyaset GNP_36b
   ūrdhvaṃ bisaṃ pramāṇena MJ_32a	UrDvam bisam pramANena M=-_32a
   ūrdhvātyūrdhvāntare saṃstho JñS_12.13c	UrDva-ati-UrDva-antare saMsTaH JQH-_12.13c
   ṛṣir yo jñāne cittakaḥ ? MJ_53b	RziH yaH jQAne cittakaH ? M=-_53b
   ṛṣīṇāṃ divi devatā GNP_16b	RzINAm divi devatA GNP_16b
   ṛṣīṇāṃ divi devatā JñS_16.7b	RzINAm divi devatA JQH-_16.7b
   ṛṣīṇāṃ divi devatā MJ_26b	RzINAm divi devatA M=-_26b
   ekadhā niṣkalo vinduḥ JñS_9.2c	ekaDA nizkalaH vinduH JQH-_9.2c
   ekaviṃśatikaṃ devi JñS_26.4a	ekaviMSatikam devi JQH-_26.4a
   ekas tvaṃ śṛṇu putraka MJ_77b	ekaH tvam SRNu putraka Mt-_77b
   ekātmā eva śūnyatā JñS_14.1d	eka-AtmA eva SUnyatA JQH-_14.1d
   ekā bhāryyā trayaḥ putrā MJ_4a	ekA BAryyA trayaH putrAH M=-_4a
   ekīkṛtaḥ sthitaḥ sadā JñS_17.2d	ekIkRtaH sTitaH sadA JQH-_17.2d
   etat te maṅgalaṃ dadmaḥ MJ_85d	etat te maFgalam dadmaH M=-_85d
   etad akāramātrakam JñS_11.2d	etat akAra-mAtrakam JQH-_11.2d
   etad ukāralakṣaṇam JñS_11.7d	etat ukAra-lakzaNam JQH-_11.7d
   etad brahmākṣaraṃ piṇḍaṃ GNP_36c	etat brahma-akzaram piNxam GNP_36c
   etad brahmākṣaraṃ piṇḍaṃ JñS_18.9c	etat brahma-akzaram piNxam JQH-_18.9c
   etad makāralakṣaṇam JñS_11.19d	etat makAra-lakzaNam JQH-_11.19d
   etad makāralakṣaṇaṃ JñS_11.14b	etat makAra-lakzaNam JQH-_11.14b
   evam akṣaravinyastaṃ JñS_26.17a	evam akzara-vinyastam JQH-_26.17a
   evam akṣarasiddhāntaṃ JñS_26.10a	evam akzara-sidDAntam JQH-_26.10a
   evam etāni sarvāṇi JñS_27.7c	evam etAni sarvANi JQH-_27.7c
   evam etāni sūktāni JñS_27.7a	evam etAni sUktAni JQH-_27.7a
   evaṃ jñānaṃ mahādevi JñS_27.8a	evam jQAnam mahAdevi JQH-_27.8a
   eṣa devo dahaty agniḥ Vṛh_65a	eza devaH dahati agniH VRh_65a
   eṣo byānas tu sarvadā JñS_12.24d	ezaH byAnaH tu sarvadA JQH-_12.24d
   aikātmya eva śūnyatā GNP_2d	EkAtmyaH eva SUnyatA GNP_2d
   airāvatī nadīśreṣṭhā JñS_24.1c	ErAvatI nadI-SrezWAH JQH-_24.1c
   aiśvaryeṇāpratihataḥ Vṛh_32a	ESvaryeNa-apratihataH VRh_32a
   okāraś ca nigadyate GNP_35d	okAraH ca nigadyate GNP_35d
   okārākṣaro mūrtimān JñS_10.13d	okAra-akzaraH mUrtimAn JQH-_10.13d
   okāre līyata ukāro GNP_51a	okAre lIyate ukAraH GNP_51a
   oṃkāra iti kathyate JñS_11.24d	oMkAraH iti kaTyate JQH-_11.24d
   oṃkāram iti tad viduḥ JñS_18.5d	oMkAram iti tat viduH JQH-_18.5d
   oṃkāram iti tadviduḥ GNP_32d	oMkAram iti tat-viduH GNP_32d
   oṃkāraś ca nigadyate JñS_11.20d	oMkAraH ca nigadyate JQH-_11.20d
