   [I. dānapāramitā]	[I. dAna pAramitA]
   ye pratipattitu pūjayi buddhān teṣu anusmṛti buddha a bhedyā | yeṣu	ye pratipattitu pUjayi budDAn tezu anusmRti budDa a BedyAH | yezu
   anusmṛti buddha a bhedyā | te sada paśyiya cintiya buddhān ||	anusmRti budDa a BedyAH | te sada paSyiya cintiya budDAn ||
   ye sada paśyiya cintiya buddhān | teṣa na jātu na tiṣṭhati buddhaḥ ||	ye sada paSyiya cintiya budDAn | teza na jAtu na tizWati budDaH ||
   yeṣa na jātu na tiṣṭhati buddhaḥ teṣa na jātu rahāyati dharmmaḥ | yeṣa na	yeza na jAtu na tizWati budDaH teza na jAtu rahAyati DarmmaH | yeza na
   jātu rahāyati dharmaḥ te sada dhiṣṭhita sarva jinebhir |	jAtu rahAyati DarmaH te sada DizWita sarva jineBiH |
   ity ādi śraddhā mūlo guṇa vistaro * an antas tatra + uktaḥ | tat	iti  Adi SradDA mUlaH guNa  vistaraH * an antaH tatra + uktaH | tat 
   parisamāpya saṃkṣepataḥ punar āha | dur llabha satva pṛthag jana kāyā | ye	parisamApya saMkzepataH punar Aha | dur llaBa  satva  pRTak  jana kAyAH | ye
   imi śraddadhi īdṛśi dharmmān | ye tu śubha upacitāḥ kṛta puṇyās te imi	imi SraddaDi IdRSi DarmmAn | ye tu SuBa upacitAH kRta  puNyAH te imi
   śraddadhi hetu balena ||	SraddaDi hetu balena ||
   yo daśa kṣetra raja upama satvān kalpam upasthihi sarva sukhena | na + uta	yaH daSa kzetra  raja upama satvAn kalpam upasTihi sarva  suKena | na + uta
   tu tādṛśu puṇya viśeṣo yādṛśa śraddadhato imi dharmmān ||	tu tAdRSu puNya  viSezaH yAdRSa SraddaDataH imi DarmmAn ||
   iti | tathā + ārya daśa dharma sūtre * api deśitaṃ ||	iti | taTA + Arya daSa  Darma sUtre * api deSitam ||
   śraddhā hi paramaṃ yānaṃ yena niryānti nāyakāḥ | tasmād buddha anuśāritvaṃ	SradDA hi paramam yAnam yena niryAnti nAyakAH | tasmAt budDa  anu SAri tvam
   bhajeta matimān naraḥ ||	Bajeta matimAn naraH ||
   a śrāddhasya manuṣyasya śuklo dharmo na rohati | vījānām agni dagdhānām	a SrAdDasya manuzyasya SuklaH DarmaH na rohati | vIjAnAm agni dagDAnAm
   aṅkuro harito yathā ||	aFkuraH haritaH yaTA ||
   iti | ata eva + ārya lalita vistara sūtre prativeditaṃ | śraddhāyām ānanda	iti | atas eva + Arya lalita vistara  sUtre prativeditam | SradDAyAm Ananda
   yogaḥ karaṇīya idaṃ tathā gato vijñapayati + iti ||	yogaH karaNIyaH idam taTA gataH vijQapayati + iti ||
   tathā siṃha paripṛcchāyāṃ | śraddhayā | kṣaṇam a kṣaṇaṃ varjayati ity	taTA siMha  paripRcCAyAm | SradDayA | kzaNam a kzaNam varjayati iti 
   uktam ||	uktam ||
   tad evaṃ | śraddhā mūlaṃ dṛḍhī kṛtya bodhi cittaṃ dṛḍhaṃ kartavyaṃ	tat evam | SradDA mUlam dRXI kRtya boDi  cittam dRXam kartavyam
   sarva puṇya saṃgrahatvāt tad yathā + ārya siṃha paripṛcchāyāṃ | siṃhena	sarva  puNya  saMgraha tvAt tat yaTA + Arya  siMha  paripRcCAyAm | siMhena
   rāja kumāreṇa bhagavān pṛṣtaḥ ||	rAja kumAreNa BagavAn pRztaH ||
   saṃgrahaḥ sarva dharmāṇāṃ | karmaṇā kena jāyate | priyaś ca bhoti satvānāṃ	saMgrahaH sarva  DarmANAm | karmaNA kena jAyate | priyaH ca Boti satvAnAm
   yatra yatra + upapadyate ||	yatra yatra + upapadyate ||
   bhagavān āha | sarva satva pramokṣāya cittaṃ bodhāya nāmayet | eṣa	BagavAn Aha | sarva  satva  pramokzAya cittam boDAya nAmayet | eza
   saṃgraha dharmāṇāṃ bhavate tena ca priyaḥ ||	saMgraha DarmANAm Bavate tena ca priyaH ||
   iti | tathā + ārya gaṇḍa vyūha sūtre * api varṇitaṃ | bodhi cittaṃ hi	iti | taTA + Arya gaNxa vyUha  sUtre * api varNitam | boDi  cittam hi
   kula putra vīja bhūtaṃ sarva buddha dharmāṇāṃ | kṣetra bhūtaṃ	kula putra vIja BUtam sarva budDa  DarmANAm | kzetra BUtam
   sarva jagac chukla dharma virohaṇatayā | dharaṇi bhūtaṃ	sarva jagac  Sukla  Darma  virohaNa tayA | DaraNi  BUtam
   sarva loka pratiśaraṇatayā yāvat pitṛ bhūtaṃ	sarva loka pratiSaraNa tayA yAvat pitR BUtam
   sarva bodhi satva ārakṣaṇatayā ||	sarva boDi  satva A rakzaNa tayA ||
   peyālaṃ ||	peyAlam ||
   vaiśravaṇa bhūtaṃ sarva dāridrya saṃchedanatayā | cintā maṇi rāja bhūtaṃ	vESravaNa BUtam sarva  dAridrya  saMCedana tayA | cintA maNi  rAja  BUtam
   sarva artha saṃsādhanatayā | bhadra ghaṭa bhūtaṃ	sarva  arTa  saMsADana tayA | Badra  Gawa BUtam
   sarva abhiprāya paripūraṇatayā | śakti bhūtaṃ kleśa śatru vijayāya |	sarva  aBiprAya  paripUraNa tayA | Sakti BUtam kleSa  Satru vijayAya |
   dharma bhūtaṃ yoniśo manas kāra saṃchedanatayā | khaḍga bhūtaṃ	Darma  BUtam yoniSas manas kAra  saMCedana tayA | Kaxga BUtam
   kleśa śiraḥ prapātanatayā | kuṭhāra bhūtaṃ duṣkha vṛkṣa saṃchedanatayā |	kleSa  SiraH  prapAtana tayA | kuWAra BUtam duzKa  vRkza  saMCedana tayA |
   praharaṇa bhūtaṃ sarva upadrava paritrāṇatayā | vaḍisa bhūtaṃ	praharaNa  BUtam sarva  upadrava  paritrANa tayA | vaxi sa BUtam
   saṃsāra jala cara abhyuddharaṇatayā | vāta maṇḍalī bhūtaṃ	saMsAra jala cara  aByudDaraNa tayA | vAta maNxalI  BUtam
   sarva āvaraṇa nivaraṇa tṛna vikiraṇatayā | uddāna bhūtaṃ	sarva  AvaraNa  nivaraNa  tRna  vikiraNa tayA | uddAna  BUtam
   sarva bodhi satva caryā praṇidhāna saṃgrahaṇatayā | caitya bhūtaṃ	sarva boDi  satva  caryA  praNiDAna  saMgrahaNa tayA | cEtya BUtam
   sa deva mānuṣa asurasya lokasya | iti hi kula putra bodhi cittam ebhiś ca	sa deva  mAnuza  asurasya lokasya | iti hi kula putra boDi  cittam eBiH ca
   + anyaiś ca + a pramāṇair guṇa viśeṣaiḥ samanvāgatam iti ||	+ anyEH ca + a pramANEH guNa  viSezEH samanvAgatam iti ||
   kathaṃ punar jñāyate | pṛthag janasya + api bodhi cittam utpadyate | na	kaTam punar jQAyate | pRTak  janasya + api boDi  cittam utpadyate | na
   vāṅ mātram etad iti | an eka sūtra anta darśanāt ||	vAF  mAtram etat iti | an eka  sUtra  anta  darSanAt ||
   yathā tāvad ārya vimalakīrtti nirdeśe nirdiṣṭaṃ | sumeru samāṃ	yaTA tAvat Arya  vimala kIrtti nirdeSe nirdizwam | sumeru  samAm
   sat kāya dṛṣṭim utpādya bodhi cittam utpadyate | tataś ca buddha dharmā	sat kAya  dRzwim utpAdya boDi  cittam utpadyate | tatas ca budDa DarmA
   virohanti + iti ||	virohanti + iti ||
   ratna karaṇḍa sūtrāc ca pṛthag jano * api bodhi satva iti jñāyate ||	ratna karaNxa  sUtrAt ca pRTak  janaH * api boDi  satvaH iti jQAyate ||
   yathā + uktaṃ | tad yathā + api nāma mañjuśrīḥ aṇḍa koṣa prakṣipto * api	yaTA + uktam | tat yaTA + api nAma maQjuSrIH aNxa koza  prakziptaH * api
   kalaviṅka poto | a saṃbhinna aṇḍa a niśkrāntaḥ koṣāt kalaviṅka rutam eva	kalaviFka  potaH | a saMBinna aNxa a niSkrAntaH kozAt kalaviFka  rutam eva
   muñcati ||	muQcati ||
   evam eva mañjuśrīḥ a vidyā aṇḍa koṣa prakṣipto * api bodhi satvo |	evam eva maQjuSrIH a vidyA aNxa koza  prakziptaH * api boDi  satvaH |
   a saṃbhinna ātma dṛṣṭir a niṣkrāntas traidhātukād buddha rutam eva muñcati	a  saMBinna a Atma  dRzwiH a nizkrAntaH trEDAtukAt budDa rutam eva muQcati
   | yad idaṃ śūnyatā nimitta a praṇihita rutam eva ||	| yat idam SUnyatA  nimitta a  praNihita  rutam eva ||
   sarva dharma pravṛtti nirdeśe * api kathitaṃ | jayamateś ca bodhi satvasya	sarva  Darma  pravRtti nirdeSe * api kaTitam | jaya mateH ca boDi  satvasya
   pṛthivī vidāram adāt | sa kāla gato mahā nirayaṃ prāpatad iti | sa hi	pRTivI vidAram adAt | sa kAla  gataH mahA  nirayam prApatat iti | sa hi
   śūnyatāṃ na + adhimuktavān śūnyatā vādini ca pratighaṃ kṛtavān ||	SUnyatAm na + aDimuktavAn SUnyatA vAdini ca pratiGam kRtavAn ||
   niyata a niyata avatāra mudrā sūtre * apy ākhyātaṃ ||	niyata  a niyata  avatAra  mudrA  sUtre * api AKyAtam ||
   katamaḥ paśu ratha gatiko bodhi satvaḥ | tad yathā | kaś cit puruṣaḥ	katamaH paSu raTa gatikaH boDi  satvaH | tat yaTA | kaS cid puruzaH
   pañca buddha kṣetra parama aṇu rajaḥ samān loka dhātūn abhikramitu kāmaḥ	paQca  budDa kzetra  parama  aNu  rajaH  samAn loka DAtUn aBikramitu  kAmaH
   syāt | sa paśu ratham abhiruhya mārgaṃ pratipadyate sa cireṇa dīrgheṇa +	syAt | sa paSu  raTam aBiruhya mArgam pratipadyate sa cireNa dIrGeNa +
   adhvanā yojana śataṃ gacchet | sa tatra mahatyā vāta maṇḍalyā paścāt khalu	aDvanA yojana  Satam gacCet | sa tatra mahatyA vAta maNxalyA paScAt Kalu
   punar aśītiṃ yojana sahasrāṇi pratyākṛṣya pratyudāvartya + iti | tat kiṃ	punar aSItim yojana  sahasrANi pratyAkRzya pratyudAvartya + iti | tat kim
   śaknuyāt sa puruṣas tān loka dhātūn paśu rathena + atikramitum | yāvad	SaknuyAt sa puruzaH tAn loka DAtUn paSu  raTena + atikramitum | yAvat 
   an abhilāpya an abhilāpyair api kalpair ekam api loka dhātum atikramitum |	an aBilApya an aBilApyEH api kalpEH ekam api loka DAtum atikramitum |
   āha | na + u hi + idaṃ bhagavan | bhagavān āha | evam eva mañjuśrīḥ yaḥ	Aha | na + u hi + idam Bagavan | BagavAn Aha | evam eva maQjuSrIH yaH
   kaś cid bodhi cittam utpādya mahā yānaṃ | na dhārayati | na paṭhati |	kaS cid boDi  cittam utpAdya mahA yAnam | na DArayati | na paWati |
   śrāvaka yānīyān sevate | taiś ca sārddhaṃ saṃstavaṃ karoti | śrāvaka yānaṃ	SrAvaka yAnIyAn sevate | tEH ca sArdDam saMstavam karoti | SrAvaka  yAnam
   ca paṭhati sva adhyāyati mīmāṃsate paribudhyate * arthāṃś ca pāṭhayati	ca paWati sva  aDyAyati mImAMsate paribuDyate * arTAn ca pAWayati
   yāvad bodhayati | sa tena dhanva prajño bhavati so *	yAvat boDayati | sa tena Danva  prajQaH Bavati saH *
   an uttara jñāna mārgāt pratyākṛṣyate pratyudāvarttyate | yad api tasya	an uttara  jQAna  mArgAt pratyAkRzyate pratyudAvarttyate | yat api tasya
   bodhi satvasya bodhi bhāvanā + ataḥ prajñā indriyaṃ prajñā cakṣuḥ tad api	boDi  satvasya boDi  BAvanA + atas prajQA  indriyam prajQA cakzuH tat api
   tasya dhanvī kriyate pratihanyate | śrayaṃ paśu ratha gatiko bodhi satva	tasya DanvI  kriyate pratihanyate | Srayam paSu raTa gatikaH boDi  satva
   iti ||	iti ||
   tad evam eṣā śūnyatā an adhimuktir mahā yāna an abhiratiś ca +	tat evam ezA SUnyatA  an aDi muktiH mahA yAna  an aBiratiH ca +
   a saṃpūrṇa adhimukti citta caryasya + api prāyo na saṃdṛśyate | prāg eva +	a  saMpUrNa  aDi mukti citta  caryasya + api prAyas na saMdRSyate | prAk eva +
   adhimātra adhimukti caryasya bodhi satvasya | sa hi ratna meghe |	aDimAtra  aDimukti caryasya boDi  satvasya | sa hi ratna  meGe |
   sarva bāla carita vipatti samatikrāntaḥ paṭhyate	sarva bAla  carita vipatti samatikrAntaH paWyate
   a saṃkhyeya samādhi dhāraṇī vimokṣa abhijñā vidyā vikrīdito |	a  saMKyeya  samADi  DAraNI  vimokza  aBijQA  vidyA  vikrIditaH |
   an anta dharma ārāma rati nir āmiṣa a para anta kalpa koṭy an ābhoga nir vikalpa prīti vega āloka pratilabdhaś	an anta  Darma ArAma rati  nir Amiza a para anta  kalpa  kowI  an A Boga  nir vikalpa  prIti vega Aloka  pratilabDa H 
   ca +	ca +
   a prameya kalpa koṭī niyuta śata sahasra parama mahā yāna prasthāna vicitra bhāvanā saṃpūrṇa	a prameya  kalpa  kowI  niyuta  Sata  sahasra  parama  mahA yAna  prasTAna  vicitra  BAvanA  saMpUrNa
   para artha pratipatti niryāṇa	para  arTa  pratipatti niryANa 
   puṇya jñāna saṃbhāra abhinihāra abhinirvṛttiḥ	puNya  jQAna  saMBAra  aBinihAra  aBinirvRttiH
   pūrva yoga śata sahasra samṛddhaś ca paṭhyate | atha + etan neya arthaṃ |	pUrva  yoga  Sata  sahasra samRdDaH ca paWyate | aTa + etat na iya arTam |
   kasmād anye bodhi citta utpādakā asyāṃ bhūmau na + iṣyante | na ca + atra	kasmAt anye boDi  citta  utpAdakAH asyAm BUmO na + izyante | na ca + atra
   + icchayā kiñ cid viśeṣa cihnaṃ nīta arthaṃ karttuṃ labhyate |	+ icCayA kiQ cid viSeza  cihnam nIta  arTam karttum laByate |
   adhimātra adhimukti caryā + a dharmatā vacanāc ca gamyate | yathā	aDimAtra  aDimukti  caryA + a Darma tA vacanAt ca gamyate | yaTA
   madhya mṛdu prakārā + apy adhimukti caryā + asty eva + iti ||	maDya  mRdu  prakArAH + api aDimukti caryA + asti eva + iti ||
   asya punas tathā gata guhya sūtrasya ko * abhiprāyo | yad uktaṃ | kasya	asya punar taTA gata guhya sUtrasya kaH * aBiprAyaH | yat uktam | kasya
   bhagavan bodhi citta utpādaḥ | āha | yasya mahā rāja + adhyāśayo *	Bagavan boDi  citta  utpAdaH | Aha | yasya mahA  rAja + aDyASayaH *
   a vikopitaḥ | āha | kasya bhagavann adhyāśayo * a vikopitaḥ | āha | yasya	a vikopitaH | Aha | kasya Bagavan aDyASayaH * a vikopitaH | Aha | yasya
   mahā rāja mahā karuṇā utpādaḥ | āha | kasya bhagavan mahā karuṇā utpādaḥ |	mahA rAja mahA karuNA utpAdaH | Aha | kasya Bagavat mahA karuNA utpAdaH |
   āha | yasya mahā rāja sarva satva a parityāgaḥ | āha | kathaṃ bhagavan	Aha | yasya mahA  rAja sarva  satva  a  parityAgaH | Aha | kaTam Bagavan
   satvā a parityaktā bhavanti | āha | yadā mahā rāja + ātma saukhyaṃ	satvAH a parityaktAH Bavanti | Aha | yadA mahA  rAja + Atma  sOKyam
   parityaktaṃ bhavati + iti | bodhi citta mātra a santuṣṭānāṃ	parityaktam Bavati + iti | boDi  citta  mAtra  a  santuzwAnAm
   karuṇā abhilāṣa saṃjana artham idam uktaṃ | yathā na te tathā gata śāsane	karuNA  aBilAza  saMjana  arTam idam uktam | yaTA na te taTA gata  SAsane
   pravrajitā yeṣāṃ na + asti tyāga iti | evam iha + anya bodhi citta nindā	pravrajitAH yezAm na + asti tyAgaH iti | evam iha + anya boDi  citta  nindA
   draṣṭavyā na tu bodhi cittam anyathā na + utpadyatae eva ||	drazwavyA na tu boDi  cittam anyaTA na + utpadyatae eva ||
   yathā daśa dharmaka sūtre deśitaṃ | iha kula putra bodhi satvo gotra sthaḥ	yaTA daSa Darmaka sUtre deSitam | iha kula putra boDi  satvaH gotra  sTaH
   sann an utpādita bodhi cittaḥ tathā gatena vā tathā gata śrāvakeṇa vā	san an utpAdita  boDi  cittaH taTA a  gatena vA taTA a gata  SrAvakeNa vA
   saṃcodyamānaḥ saṃvedyamānaḥ samādāpyamāno * an uttarāyāṃ samyak sambodhau	saMcodyamAnaH saMvedyamAnaH samAdApyamAnaH * an uttarAyAm samyak  samboDO
