   Vasudhārādhāraṇī	Vasu-DArA-DAraNI
   udgṛhṇīṣvemāṃ vasudhārādhāraṇīṃ dhāraya grāhaya / vācaya / paryavāpnuhi /	udgRhNIzu-a-imAm vasuDArA-DAraNIm DAraya grAhaya / vAcaya / paryavApnuhi /
   parebhyaś ca vistareṇa saṃprakāśaya / tad bhaviṣyati bahujanahitāya	pareByaH ca vistareNa saMprakASaya / tat Bavizyati bahu-jana-hitAya
   bahujanasukhāya lokānukampāyair mahato janakāyasyārthāya hitāya sukhāya	bahu-jana-suKAya loka-anukampAyEH mahataH jana-kAyasya-arTAya hitAya suKAya
   devamanuṣyāṇāṃ / nāham ānanda samanupaśyāmi sadevake loke samārake	deva-manuzyANAm / na-aham Ananda samanupaSyAmi sa-devake loke sa-mArake
   sabrahmake saśramaṇabrāhmaṇikāyāṃ prajāyāṃ / [GBM 1431(fol. 38)v1]	sa-brahmake sa-SramaNa-brAhmaNikAyAm prajAyAm / [GBm 1431(fol. 38)v1]
   sadevamānuṣāsurāyāṃ imāṃ dhāraṇīm anyathā kariṣyati / atikramiṣyati vā	sa-deva-mAnuza-asurAyAm imAm DAraNIm anyaTA karizyati / atikramizyati vA
   naitat sthānaṃ vidyate / tat kasya hetoḥ abhedyā hy ete ānanda	na-etat sTAnam vidyate / tat kasya hetoH aBedyAH hi ete Ananda
   dhāraṇīmantrapadāni na caiṣā kṣīṇakuśalamūlānāṃ satvānāṃ śrutipatham apy	DAraNI-mantra-padAni na ca-ezA kzINa-kuSala-mUlAnAm satvAnAm Sruti-paTam api-
   āgamiṣyati kaḥ punar vādo pustagatā vā hṛdayagatā dhāritā vā / tat kasya	Agamizyati kaH punar vAdaH pusta-gatAH vA hRdaya-gatAH DAritA vA / tat kasya
   hetoḥ sarvatathāgatānām eṣā vākyaṃ sarvatathāgatair eṣā dhāraṇī bhāṣitā	hetoH sarva-taTAgatAnAm ezA vAkyam sarva-taTAgatEH ezA DAraNI BAzitA
   adhiṣṭhitā / dharmamudrayā mudritā anumoditā prakāśitā prabhāvitā praśastā	aDizWitA / DarmamudrayA mudritA anumoditA prakASitA praBAvitA praSastA
   saṃvarṇitārocitā vivṛtottānīkṛtā ākhyātā sarvasatvānāṃ daridrāṇāṃ	saMvarNita-ArocitA vivRta-uttAnIkRtA AKyAtA sarva-satvAnAm daridrANAm
   vyādhiparipīḍitānāṃ sarvabhayopadrutānāṃ satvānām arthāyeti / āha /	vyADi-paripIxitAnAm sarva-Baya-upadrutAnAm satvAnAm arTAya-iti / Aha /
   udgṛhītā me bhagavaṃn iyaṃ vasudhārādhāraṇī dhāritā vācitā / paryavāptā	udgRhItA me Bagavan iyam vasu-DArA-DAraNI DAritA vAcitA / paryavAptA
   manasā ca suparicitā / ity athāyuṣmān ānanda utthāyāsanāt tasyāṃ velāyāṃ	manasA ca su-paricitA / iti aTa-AyuzmAn AnandaH utTAya-AsanAt tasyAm velAyAm
   kṛtakarapuṭo evam udānam udānayati sma //	kRta-kara-puwaH evam udAnam udAnayati sma //
   acintyo bhagavaṃ buddhā buddhadharmāpy acintiyā /	acintyaH Bagavam budDAH budDa-DarmA-api acintiyA /
   acintiye 'bhiprasannānāṃ vipāko 'cintiyasmṛtaḥ	acintiye aBiprasannAnAm vipAkaH acintiya-smRtaH
   (End of manuscript missing!)	(Ent of manuH-cript missing!)
