   praśnopaniṣad	praSna-upanizad
   te haite brahmaparā aparaṃ brahma paratvena gatāstadanuṣṭhānaniṣṭhāśca	te ha-ete brahma-parAH aparam brahma paratvena gatAH-tad-anuzWAna-nizWAH-ca
   brahmaniṣṭhāḥ paraṃ brahmānveṣamāṇāḥ - kiṃ tat?yannityaṃ vijñeyamiti	brahma-nizWAH param brahma-anvezamANAH  kim tat?yat-nityam vijQeyam-iti
   tatprāptyarthaṃ yathākāmaṃ yatiṣyāma ityevaṃ tadanveṣaṇaṃ	tad-prApti-arTam yaTAkAmam yatizyAmaH iti-evam tad-anvezaNam
   kurvantastadadhigamāyaiṣa ha vai tatsarvaṃ vakṣyatītyācāryamupajagmuḥ /	kurvantaH-tad-aDigamAya-eza ha vE tat-sarvam vakzyati-iti-AcAryam-upajagmuH /
   katham te ha samitpāṇayaḥ samidlāragṛhītahastāḥ santo bhagavantaṃ	kaTam te ha samiD-pANayaH samiD-lAra-gRhIta-hastAH santaH Bagavantam
   pippalādamācāryamupāsannā upajagmuḥ //	pippalAdam-AcAryam-upAsannAH upajagmuH //
   START PrUp 1.2	START PrUp 1.2
   tān ha sa ṛṣir uvāca |	tAn ha saH RziH uvAca |
   bhūya eva tapasā brahmacaryeṇa śraddhayā saṃvatsaraṃ saṃvatsyatha |	BUyas eva tapasA brahmacaryeNa SradDayA saMvatsaram saMvatsyaTa |
   yathākāmaṃ praśnān pṛcchata |	yaTAkAmam praSnAn pRcCata |
   yadi vijñāsyāmaḥ sarvaṃ ha vo vakṣyāma iti || PrUp_1.2 ||	yadi vijQAsyAmaH sarvam ha vaH vakzyAmaH iti || PrUp_1.2 ||
   PrUpBh_1.2	PrUpB=-_1.2
   tānevamupagatānha sa kila ṛṣiruvāca bhūyaḥ punareva yadyapi yūyaṃ pūrvaṃ	tAn-evam-upagatAn-ha sa kila RziH-uvAca BUyas punar-eva yadi-api yUyam pUrvam
   tapasmina eva tapasendriyasaṃyamena tathāpīha viśeṣato brahmacaryeṇa	tapasminaH eva tapasA-indriya-saMyamena taTA-api-iha viSezataH brahmacaryeNa
   śraddhayā cāstikyabuddhyādaravantaḥ saṃvatsaraṃ kālaṃ saṃvatsyatha	SradDayA ca-Astikya-budDi-AdaravantaH saMvatsaram kAlam saMvatsyaTa
   samyagguruśuśrūṣāparāḥ santo vatsyatha /	samyak-guru-SuSrUzA-parAH santaH vatsyaTa /
   tato yathākāmaṃ yo yasya kāmastamanatikramya yathākāmaṃ yadviṣaye yasya	tatas yaTAkAmam yaH yasya kAmaH-tam-anatikramya yaTAkAmam yat-vizaye yasya
   jijñāsā tadviṣayānpraśnānpṛcchata /	jijQAsA tad-vizayAn-praSnAn-pRcCata /
   yadi tadyuṣmatpṛṣṭama vijñāsyāmaḥ - anuddhatatvapradarśanārtho yadiśabdo	yadi tat-yuzmat-pRzwama vijQAsyAmaH  anudData-tva-pradarSana-arTaH yadi-SabdaH-
   nājñānasaṃśayārthaḥ praśnanirṇayādavasīyate - sarvaṃ ha vo vaḥ pṛṣṭaṃ	na-ajQAna-saMSaya-arTaH praSna-nirNayAt-avasIyate  sarvam ha vaH vaH pRzwam
   vakṣyāma iti //2//	vakzyAmaH iti //2//
   START PrUp 1.3	START PrUp 1.3
   atha kabandhī kātyāyana upetya papraccha |	aTa kabanDI kAtyAyane upetya papracCa |
   bhagavan kuto ha vā imāḥ prajāḥ prajāyanta iti || PrUp_1.3 ||	Bagavan kutas ha vE imAH prajAH prajAyante iti || PrUp_1.3 ||
   PrUpBh_1.3	PrUpB=-_1.3
   atha saṃvatsarādūdhvaṃ kabandhī kātyāyana upetyopagamya papraccha pṛṣṭavān	aTa saMvatsarAdUDvam kabanDI kAtyAyane upetya-upagamya papracCa pRzwavAn
   he bhagavan kutaḥ kasmāddha vā imā brāhmaṇādyāḥ prajāḥ prajāyanta	he Bagavan kutas kasmAt-ha vE imAH brAhmaNa-AdyAH prajAH prajAyanta
   utpadyante /	utpadyante /
   aparavidyākarmaṇoḥ samuccitayoryatkāryaṃ yā gatistadvaktavyamiti tadartho	apara-vidyA-karmaNoH samuccitayoH-yat-kAryam yA gatiH-tat-vaktavyam-iti tad-arTaH-
   'yaṃ praśnaḥ //3//	ayam praSnaH //3//
   START PrUp 1.4	START PrUp 1.4
   tasmai sa hovāca |	tasmE sa ha-uvAca |
   prajākāmo vai prajāpatiḥ |	prajA-kAmaH vE prajApatiH |
   sa tapo 'tapyata |	sa tapaH atapyata |
   sa tapas taptvā sa mithunam utpādayate rayiṃ ca prāṇaṃ ceti |	sa tapaH taptvA sa miTunam utpAdayate rayim ca prANam ca-iti |
   etau me bahudhāḥ prajāḥ kariṣyata iti || PrUp_1.4 ||	etO me bahuDAH prajAH karizyate iti || PrUp_1.4 ||
   PrUpBh_1.4	PrUpB=-_1.4
   tasmā evaṃ pṛṣṭavate sa hovāca tadapākaraṇāyāha /	tasmE evam pRzwavate sa ha-uvAca tad-apAkaraNAya-Aha /
   prajākāmaḥ prajā ātmanaḥ sisṛkṣurvai prajāpatiḥ sarvātmā sajjagatsrakṣyāmi	prajA-kAmaH prajAH AtmanaH sisRkzuH-vE prajApatiH sarva-AtmA sat-jagat-srakzyAmi
   ityevaṃ vijñānavānyathoktakārī tadbhāvabhāvitaḥ kalpādau nivṛtto	iti-evam vijQAnavAn-yaTA-ukta-kArI tad-BAva-BAvitaH kalpa-AdO nivRttaH-
   hiraṇyagarbhaḥ sṛjyamānānāṃ prajānāṃ sthāvarajaṅgamānāṃ patiḥ	hiraNyagarBaH sRjyamAnAnAm prajAnAm sTAvara-jaFgamAnAm patiH
   sajjanmāntarabhāvitaṃ jñānaṃ śrutiprakāśitārthaviṣayaṃ tapo	sat-janma-antara-BAvitam jQAnam Sruti-prakASita-arTa-vizayam tapaH-
   'nvālocayadatapyata /	anvAlocayat-atapyata /
   ata tu sa evaṃ tapastaptvā śrautaṃ jñānamanvālocya sṛṣṭisādhanabhūtaṃ	atas tu saH evam tapaH-taptvA SrOtam jQAnam-anvAlocya sRzwi-sADana-BUtam
   mithunamutpādayate mithunaṃ dvandvamutpāditavān /	miTunam-utpAdayate miTunam dvandvam-utpAditavAn /
   rayiṃ ca somamannaṃ praṇaṃ cāgnimattāram etāvagniṣomāvattrannabhūtau me	rayim ca somam-annam praNam ca-agni-mattAram etO=-agnizomAvattranna-BUtO me
   mama bahudhānekadhā prajāḥ kariṣyata ityevaṃ saṃcintyāṇḍotpattikrameṇa	mama bahuDA-anekaDA prajAH karizyate iti-evam saMcintya-aNxa-utpatti-krameNa
   sūryācandramasāvakalpayat //4//	sUryAcandramasO=-akalpayat //4//
   START PrUp 1.5	START PrUp 1.5
   ādityo ha vai prāṇo rayir eva candramāḥ |	AdityaH ha vE prANaH rayiH eva candramAH |
   rayir vā etat sarvaṃ yanmūrtaṃ cāmūrtaṃ ca |	rayiH vE etat sarvam yat-mUrtam ca-amUrtam ca |
   tasmān mūrtir eva rayiḥ || PrUp_1.5 ||	tasmAt mUrtiH eva rayiH || PrUp_1.5 ||
   PrUpBh_1.5	PrUpB=-_1.5
   tatrādityo ha vai prāṇo 'ttā agniḥ /	tatra-AdityaH ha vE prANaH attAH agniH /
   rayireva candramāḥ, rayiḥ, evānnaṃ soma eva /	rayiH-eva candramAH, rayiH, eva-annam somaH eva /
   tadetadekamattā cānnaṃ ca, prajāpatirekaṃ tu mithunam, guṇapradhānakṛto	tat-etat-eka-mattA ca-annam ca, prajApatiH-ekam tu miTunam, guNa-praDAna-kRtaH-
   bhedaḥ /	BedaH /
   katham?rayirvā annaṃ vā etan sarvam;kiṃ tadyanmūrtaṃ ta sthūlaṃ cāmūrtaṃ	kaTam-?rayiH-vA annam vE etat sarvam-;kim tat-yat-mUrtam te sTUlam ca-amUrtam
   ca sūkṣmaṃ ca mūrtāmūrte attrannarūpe rayireva /	ca sUkzmam ca mUrta-amUrte attranna-rUpe rayiH-eva /
   tasmātpravibhaktād amūrtādyadanyanmūrtārūpaṃ mūrtiḥ saiva	tasmAt-praviBaktAt amUrtAt-yat-anyat-mUrtA-rUpam mUrtiH sA-eva
   rayiramūrtenādyamānatvāt //5//	rayira-mUrtena-AdyamAna-tvAt //5//
   tathāmūrto 'pi prāṇottā sarvameva yaccādyam /	taTA-amUrtaH api prANa-uttA sarvam-eva yat-ca-Adyam /
   katham -	kaTam -
   START PrUp 1.6	START PrUp 1.6
   athāditya udayan yatprācīṃ diśaṃ praviśati tena prācyān prāṇān raśmiṣu	aTa-AdityaH udayan yat-prAcIm diSam praviSati tena prAcyAn prANAn raSmizu
   saṃnidhatte |	saMniDatte |
   yad dakṣiṇaṃ yat pratīcīṃ yad udīcīṃ yad adho yad ūrdhvaṃ yad antarā diśo	yat dakziNam yat pratIcIm yat udIcIm yat aDas yat UrDvam yat antarA diSaH-
   yat sarvaṃ prakāśayati tena sarvān prāṇān raśmiṣu saṃnidhatte || PrUp_1.6	yat sarvam prakASayati tena sarvAn prANAn raSmizu saMniDatte || PrUp_1.6
   PrUpBh_1.6	PrUpB=-_1.6
   athāditya udayannudgacchan prāṇināṃ cakṣurgocaramāgacchan yatprācīṃ diśaṃ	aTa-AdityaH udayan=-udgacCan prANinAm cakzuH-gocaram-AgacCan yat-prAcIm diSam
   svaprakāśena praviśati vyāpnoti;tena svātmāvabhāsarūpeṣu vyāptimatsu	sva-prakASena praviSati vyApnoti;tena sva-Atma-avaBAsa-rUpezu vyAptimatsu
   vyāptatvātprāṇinaḥ saṃnidhatte saṃniveśayati;	vyApta-tvAt-prANinaH saMniDatte saMniveSayati;
   ātmabhūtānkaroti ityarthaḥ /	Atma-BUtAn-karoti iti-arTaH /
   tathaiva yatpraviśati dakṣiṇāṃ yatpratīcīṃ yadudīcīmadha ūrdhvaṃ	taTA-eva yat-praviSati dakziNAm yat-pratIcIm yat-udIcIm-aDas UrDvam
   yatpraviśati yaccāntarā diśaḥ koṇadiśo 'vāntaradiśo yaccānyat sarvaṃ	yat-praviSati yat-ca-antarA diSaH koNa-diSaH avAntara-diSaH yat-ca-anyat sarvam
   prakāśayati tena svaprakāśavyāptyā sarvān sarvadiksthān prāṇān raśmiṣu	prakASayati tena sva-prakASa-vyAptyA sarvAn sarva-diS-sTAn prANAn raSmizu
   sannidatte //6//	san=-idatte //6//
   START PrUp 1.7	START PrUp 1.7
   sa eṣa vaiśvānaro viśvarūpaḥ prāṇo 'gnirudayate |	saH eza vESvAnaraH viSva-rUpaH prANaH agniH-udayate |
   tad etad dacābhyuktam || PrUp_1.7 ||	tat etat daca-aByuktam || PrUp_1.7 ||
   PrUpBh_1.7	PrUpB=-_1.7
   sa eṣo 'ttā praṇo vaiśvānaraḥ sarvātmā viśvarūpo viśvātmatvācca prāṇo	saH ezaH attA praNaH vESvAnaraH sarva-AtmA viSvarUpaH viSvAtma-tvAt-ca prANaH-
   'gniśca sa evāttodayata udgacchati pratyahaṃ sarvā diśa ātmasātkurvan /	agniH-ca saH eva-attodayataH udgacCati pratyaham sarvAH diSaH AtmasAt-kurvan /
   tadetaduktaṃ vastu ṛcā mantreṇāpyabhyuktam //7//	tat-etat-uktam vastu RcA mantreNa-api-aByuktam //7//
   START PrUp 1.8	START PrUp 1.8
   viśvarūpaṃ hariṇaṃ jātavedasaṃ parāyaṇaṃ jyotir ekaṃ tapantam /	viSvarUpam hariNam jAtavedasam parAyaNam jyotiH ekam tapantam /
   sahasraraśmiḥ śatadhā vartamānaḥ prāṇaḥ prajānām udayaty eṣa sūryaḥ //	sahasraraSmiH SataDA vartamAnaH prANaH prajAnAm udayati eza sUryaH //
   PrUp_1.8 //	PrUp_1.8 //
   PrUpBh_1.8	PrUpB=-_1.8
   viśvarūpaṃ sarvarūpaṃ hariṇaṃ raśmivantaṃ jātavedasaṃ jātaprajñānaṃ	viSva-rUpam sarva-rUpam hariNam raSmivantam jAtavedasam jAta-prajQAnam
   parāyaṇaṃ sarvaprāṇāśayaṃ jyotirekaṃ sarvaprāṇināṃ cakṣurbhūtamadvitīyaṃ	parAyaNam sarva-prANa-ASayam jyotiH-ekam sarva-prANinAm cakzuH-BUtam-advitIyam
   tapantaṃ tāpakriyāṃ kurvāṇaṃ svātmānaṃ sūryaṃ sūrayo vijñātavanto	tapantam tApa-kriyAm kurvANam sva-AtmAnam sUryam sUrayaH vijQAtavantaH-
   brahmavidaḥ /	brahma-vidaH /
   ko 'sau yaṃ vijñātavantaḥ?sahasraraśmiranekaraśmiḥ śatadhānekadhā	kaH asO yam vijQAtavantaH?-sahasraraSmiH-aneka-raSmiH SataDA-anekaDA
   prāṇibhedena vartamānaḥ prāṇaḥ prajānāmudayatyeṣa sūryaḥ //8//	prANi-Bedena vartamAnaH prANaH prajAnAm-udayati-eza sUryaH //8//
   yaścāsau candramā mūrtirannam amūrtiśca prāṇo 'ttādityastadekam	yaH-ca-asO candramAH mUrtiH-annam amUrtiH-ca prANaH atta-AdityaH-tat-ekam
   etanmithunaṃ sarvaṃ kathaṃ prajāḥ kariṣyata iti ucyate-	etat-miTunam sarvam kaTam prajAH karizyate iti ucyate-
   START PrUp 1.9	START PrUp 1.9
   saṃvatsaro vai prajāpatiḥ |	saMvatsaraH vE prajApatiH |
   tasyāyane dakṣiṇaṃ cottaraṃ ca |	tasya-ayane dakziNam ca-uttaram ca |
   tad ye ha vai tadiṣṭāpūrte kṛtim ity upāsate te cāndramasam eva lokam	tat ye ha vE tat-izwApUrte kRtim iti upAsate te cAndramasam eva lokam
   abhijayante |	aBijayante |
   ta eva punar āvartante |	te eva punar Avartante |
   tasmād eta ṛṣayaḥ prajākāmā dakṣiṇaṃ pratipadyante |	tasmAt ete RzayaH prajA-kAmAH dakziNam pratipadyante |
   eṣa ha vai rayir yaḥ pitṛyāṇaḥ || PrUp_1.9 ||	eza ha vE rayiH yaH pitRyANaH || PrUp_1.9 ||
   PrUpBh_1.9	PrUpB=-_1.9
   tadeva kālaḥ saṃvatsaro vai prajāpatistannirvartyatvātsaṃvatsarasya /	tat-eva kAlaH saMvatsaraH vE prajApatiH-tad-nirvartya-tvAt-saMvatsarasya /
   candrādityanirvartyatvātsaṃvatsarasya /	candra-Aditya-nirvartya-tvAt-saMvatsarasya /
   candrādityanirvartyatithyahorātrasamudāyo hi saṃvatsaraḥ	candra-Aditya-nirvarti-atiTi-ahorAtra-samudAyaH hi saMvatsaraH
   tadananyatvādrayiprāṇamithunātmaka evetyucyate /	tad-ananya-tvAt-rayi-prANa-miTuna-AtmakaH eva-iti-ucyate /
   tatkatham?tasya saṃvatsarasya prajāpaterayane mārgau dvau dakṣiṇaṃ	tat-kaTam-?tasya saMvatsarasya prajApateH-ayane mArgO dvO dakziNam
   cottaraṃ ca dve prasiddhe hyayane ṣaṇmāsalakṣaṇe yābhyāṃ dakṣiṇenottareṇa	ca-uttaram ca dve prasidDe hi-ayane zaz-mAsa-lakzaNe yAByAm dakziNena-uttareNa
   ca yāti savitā kevalakarmiṇāṃ jñānasaṃyuktakarmavatāṃ ca lokān vidadhat /	ca yAti savitA kevala-karmiNAm jQAna-saMyukta-karmavatAm ca lokAn vidaDat /
   katham?tat tatra ca brāhmaṇādiṣu ye ha vai tadupāsata iti, kriyāviśeṣaṇo	kaTam-?tat tatra ca brAhmaNa-Adizu ye ha vE tad-upAsate iti, kriyA-viSezaNaH-
   dvitīyastacchabdaḥ, iṣṭaṃ ca pūrtaṃ ceṣṭāpūrte ityādi kṛtamevopāsate	dvitIyaH-tad-SabdaH, izwam ca pUrtam cezwApUrte ityAdi kRtam-eva-upAsate
   nākṛtaṃ nityaṃ te cāndramasaṃ candramasi bhavaṃ prajāndramasya /	na-akRtam nityam te cAndramasam candramasi Bavam prajAndram-asya /
   te tatraiva ca kṛtakṣayātpunarāvartante"imaṃ lokaṃ hīnataraṃ vā	te tatra-eva ca kRta-kzayAt-punar-Avartante"imam lokam hInataram vA
   viśanti"(mu.u.1 / 2 / 10) iti hyuktam /	viSanti"(mu.u.1 / 2 / 10) iti hi-uktam /
   yasmādevaṃ prajāpatimannātmakaṃ phalatvenābhinirvartayanti candram	yasmAt-evam prajApatim-anna-Atmakam Pala-tvena-aBinirvartayanti candram
   iṣṭāpūrtakarmaṇaiva ṛṣayaḥ svargadraṣṭāraḥ prajākāmāḥ prajārthino	izwApUrta-karmaNA-eva RzayaH svarga-drazwAraH prajA-kAmAH prajA-arTinaH-
   gṛhasthāstasmātsvakṛtameva dakṣiṇaṃ dakṣiṇāyanopalakṣitaṃ candraṃ	gRhasTAH-tasmAt-sva-kRtam-eva dakziNam dakziNAyana-upalakzitam candram
   pratipadyante /	pratipadyante /
   eṣa ha vai rayirannaṃ yaḥ pitṛyāṇaḥ pitṛyāṇapalakṣitaḥ //9//	eza ha vE rayiH-annam yaH pitRyANaH pitR-yANa-pa-lakzitaH //9//
   START PrUp 1.10	START PrUp 1.10
   athottareṇa tapasā brahmacaryeṇa śraddhayā vidyayātmānam anviṣyādityam	aTa-uttareNa tapasA brahmacaryeNa SradDayA vidyayA-AtmAnam anvizya-Adityam
   abhijayante |	aBijayante |
   etad vai prāṇānām āyatanam etad amṛtam ayam etat parāyaṇam |	etat vE prANAnAm Ayatanam etat amRtam ayam etat parAyaNam |
   etasmān na punarāvartanta iti |	etasmAt na punar-Avartante iti |
   eṣa nirodhaḥ |	eza niroDaH |
   tad eṣa ślokaḥ || PrUp_1.10 ||	tat eza SlokaH || PrUp_1.10 ||
   PrUpBh_1.10	PrUpB=-_1.10
   athottareṇāyanena prajāpateḥ aṃśaṃ	aTa-uttareNa-ayanena prajApateH aMSam
   prāṇamattāramādityamabhijayante;kena?tapasendriyajayena viśeṣato	prANa-mattAram-Adityam-aBijayante;-kena?tapasa-indriya-jayena viSezataH-
   brahmacarye śraddhayā vidyayā ca prajāpatyātmaviṣayā ātmānaṃ prāṇaṃ sūryaṃ	brahmacarye SradDayA vidyayA ca prajApati-Atma-vizayA AtmAnam prANam sUryam
   jagatastasthuṣaścānviṣyāhamasmīti viditvādityamabhijayante 'bhiprāpnuvanti	jagataH-tasTuzaH-ca-anvizyAham-asmi-iti viditvA-Adityam-aBijayante aBiprApnuvanti
   etadvā āyatanaṃ sarvaprāṇānāṃ sāmānyamāyatanamāśrayametadamṛtamavināśi /	etat-vA Ayatanam sarva-prANAnAm sAmAnyam-Ayatanam-ASrayam-etat-amRtam-avinASi /
   abhayamata eva bhayavajitaṃ na candravatkṣayavṛddhibhayavat /	aBayam-atas eva Baya-vajitam na candra-vat-kzaya-vRdDi-Baya-vat /
   etatparāyaṇaṃ parā gatiḥ vidyāvatāṃ karmiṇāṃ ca jñānavatām /	etat-parAyaNam parA gatiH vidyAvatAm karmiNAm ca jQAnavatAm /
   etasmānna punarāvartante yathetare kevalakarmiṇā iti /	etasmAt-na punar-Avartante yaTA-itare kevala-karmiNA iti /
   yasmādeṣo 'viduṣāṃ nirodhaḥ /	yasmAt-ezaH aviduzAm niroDaH /
   ādityādi niruddhā avidvāṃso naite saṃvatsaramādityamātmānaṃ	AdityAdi nirudDAH avidvAMsaH na-ete saMvatsaram-Adityam-AtmAnam
   prāṇamabhiprāpnuvanti /	prANam-aBiprApnuvanti /
   sa hi saṃvatsaraḥ kālātmāviduṣāṃ nirodhaḥ /	sa hi saMvatsaraH kAla-Atma-aviduzAm niroDaH /
   tattatrāsminnartha eṣa śloko mantraḥ /	tat-tatra-asmin=-arTaH eza SlokaH mantraH /
   START PrUp 1.11	START PrUp 1.11
   pañcapādaṃ pitaraṃ dvādaśakṛtiṃ diva āhuḥ pare ardhe purīṣiṇam /	paQca-pAdam pitaram dvAdaSa-kRtim divaH AhuH pare arDe purIziNam /
   atheme anya u pare vicakṣaṇaṃ saptacakre ṣaḍara āhurarpitamiti //	aTa-ime anyaH u pare vicakzaNam sapta-cakre zaz-araH AhuH-arpitam-iti //
   PrUp_1.11 //	PrUp_1.11 //
   PrUpBh_1.11	PrUpB=-_1.11
   pañcapādaṃ pañcartavaḥ pādā ivāsya saṃvatsarātmana ādityasya tairasau	paQca-pAdam paQca-RtavaH pAdAH iva-asya saMvatsara-AtmanaH Adityasya tEH-asO
   pādairivartubhirāvartate /	pAdEH-iva-RtuBiH-Avartate /
   hemantaśiśirāvekīkṛtyeyaṃ kalpanā /	hemanta-SiSirO=-ekIkRtyeyam kalpanA /
   pitaraṃ sarvasya janayitṛtvātpitṛtvaṃ tasya /	pitaram sarvasya janayitR-tvAt-pitR-tvam tasya /
   taṃ dvādaśākṛtiṃ dvādaśamāsā ākṛtayo 'vayavā ākaraṇaṃ vākyavikaraṇam asya	tam dvAdaSa-AkRtim dvAdaSa-mAsAH AkRtayaH avayavAH AkaraNam vAkya-vikaraNam asya
   dvādaśamāsaistaṃ dvādaśākṛtiṃ divo dyulokātpara ūrdhver'the sthāne	dvAdaSa-mAsEH-tam dvAdaSa-AkRtim divaH dyu-lokAt-paraH UrDver-aTe sTAne
   tṛtīyāsyāṃ divītyarthaḥ purīṣiṇaṃ purīṣavantamudakavantamāhuḥ kālavidaḥ /	tRtIyA-asyAm divi-iti-arTaH purIziNam purIzavantam-udakavantam-AhuH kAla-vidaH /
   atha tamevānya ima u pare kālavido ticakṣaṇaṃ nipuṇaṃ sarvajñaṃ saptacakre	aTa tam-eva-anyaH ime u pare kAla-vidaH ti-cakzaNam nipuNam sarvajQam sapta-cakre
   saptahayarūpeṇa cakre satataṃ gatimati kālātmani ṣaḍare ṣaḍṛtumatyāhuḥ	sapta-haya-rUpeNa cakre satatam gatimati kAla-Atmani zaz-are zaz-Rtum-atI-AhuH
   sarvamidaṃ jagatkathayanti arpitamarā iva rathanābhau niviṣṭamiti /	sarvam-idam jagat-kaTayanti arpita-marAH iva raTa-nABO nivizwam-iti /
   yadi pañcapādo dvādaśākṛtiryadivā saptacakraḥ ṣaḍaraḥ sarvathāpi	yadi paQca-pAdaH dvAdaSa-akRtiH-yat-ivA sapta-cakraH zaz-araH sarvaTA-api
   saṃvatsaraḥ kālātmā prajāpatiḥ candrādityalakṣaṇo 'pi jagataḥ kāraṇam	saMvatsaraH kAla-AtmA prajApatiH candra-Aditya-lakzaNaH api jagataH kAraNam
   START PrUp 1.12	START PrUp 1.12
   yasminn idaṃ śritaṃ viśvaṃ sa eva prajāpatiḥ saṃvatsarākhyaḥ svāvayave	yasmin idam Sritam viSvam saH eva prajApatiH saMvatsara-AKyaH sva-avayave
   māse kṛtsnaḥ parisamāpyate /	mAse kRtsnaH parisamApyate /
   māso vai prajāpatiḥ |	mAsaH vE prajApatiH |
   tasya kṛṣṇapakṣa eva rayiḥ śuklaḥ prāṇaḥ |	tasya kRzNa-pakzaH eva rayiH SuklaH prANaH |
   tasmād eta ṛṣayaḥ śukla iṣṭaṃ kurvantītara itarasmin || PrUp_1.12 ||	tasmAt ete RzayaH SuklaH izwam kurvanti-itaraH itarasmin || PrUp_1.12 ||
   PrUpBh_1.12	PrUpB=-_1.12
   māso vai prajāpatiryathoktalakṣaṇa eva mithunātmakaḥ /	mAsaH vE prajApatiH-yaTA-ukta-lakzaNaH eva miTuna-AtmakaH /
   tasya māsātmanaḥ prajāpatereko bhāgaḥ kṛṣṇapakṣo rayirannaṃ candramāḥ /	tasya mAsa-AtmanaH prajApateH-ekaH BAgaH kRzNa-pakzaH rayiH-annam candramAH /
   aparo bhāgaḥ śuklapakṣo rayirannaṃ candramāḥ /	aparaH BAgaH Sukla-pakzaH rayiH-annam candramAH /
   aparo bhāgaḥ śuklapakṣaḥ prāṇa ādityo 'ttāgniḥ yasmācchuklapakṣātmānaṃ	aparaH BAgaH Sukla-pakzaH prANaH AdityaH atta-agniH yasmAt-Sukla-pakza-AtmAnam
   prāṇaṃ sarvameva paśyanti tasmātprāṇadarśina eta ṛṣayaḥ kṛṣṇapakṣastairna	prANam sarvam-eva paSyanti tasmAt-prANa-darSinaH ete RzayaH kRzNa-pakzaH-tEH-na
   dṛśyate yasmāt /	dRSyate yasmAt /
