   (Vajraṭ_95)	(Vajraj-_95)
   śatasāhasrikāprajñāpāramitādivipuladharmāṇāṃ deśanāt | cittotpādamahattvaṃ	Sata-sAhasrikA-prajQApAramitA-Adi-vipula-DarmANAm deSanAt | citta-utpAda-mahat-tvam
   tāvadanuttarāyāṃ samyaksambodhau cittotpādāt |	tAvat-anuttarAyAm samyaksamboDO citta-utpAdAt |
   (Vajraṭ_102)	(Vajraj-_102)
   adhimuktimahattvaṃ taminneva gambhīrodāra dharme 'dhimuktatvāt |	aDimukti-mahat-tvam tam-innA-iva gamBIra-udAra Darme aDimukta-tvAt |
   āśayamahattvaṃ tu sarvasattvahitasukhotpādāśayāt | sambhāramahattvaṃ	ASaya-mahat-tvam tu sarva-sattva-hita-suKa-utpAda-ASayAt | samBAra-mahat-tvam
   tāvadaparimitapuṇyajñānaṃsambharaṇāt | kālamahattvaṃ khalu	tAvat-aparimita-puNya-jQAnaMsamBaraNAt | kAla-mahat-tvam Kalu
   tribhirasaṃkhyeyakalpairbodhiprāpteḥ | sampratipattimahattvaṃ hi	triBiH-asaMKyeya-kalpEH-boDi-prApteH | sampratipatti-mahat-tvam hi
   anuttarasamyaksambodherniṣpādanāt |	anuttara-samyaksamboDeH-nizpAdanAt |
   viharati iti caturbhirīryāpathaiḥ, athavā anuttareṇa	viharati iti caturBiH-IryA-paTEH, aTavA anuttareNa
   brahma-deva-āryavihāreṇa viharati | sma iti vihṛtavāniti darśitam | tatra	brahma--deva-Arya-vihAreNa viharati | smaH iti vihRtavAn-iti darSitam | tatra
   bhikṣusaṃghastu kṛtakṛtyatvād mṛdukāruṇikatvācca sarvakālaṃ tathāgatasya	Bikzu-saMGaH-tu kRtakRtya-tvAt mRdu-kAruNika-tvAt-ca sarvakAlam taTAgatasya
   pādāntike niṣadyata iti viditvā syāsnutvasaṃdarśanārthaṃ pūrvamuktaḥ |	pAda-antike nizadyate iti viditvA syAsnu-tva-saMdarSana-arTam pUrvam-uktaH |
   bodhiasattvāstu aparimeyasattvārthakriyāsādhana-pariniṣpattau	boDia-sattvAH-tu aparimeya-sattva-arTa-kriyA-sADana--parinizpattO
   akṛtakāryatvāt, adhimātrakaruṇayā jagadarthakaraṇāya lokadhātuṣu viharaṇāt	akRta-kArya-tva-at, aDimAtra-karuNayA jagat-arTa-karaNAya lokaDAtuzu viharaNAt-
   sarvakālaṃ bhagavataḥ pādāntike 'niṣīdanācca paścāduktāḥ | ata eva	sarvakAlam BagavataH pAda-antike anizIdanAt-ca paScAt-uktAH | atas eva
   śrāvakasūtrānteṣu nocyante bodhisattvāḥ, na ca tāni (śrāvakasūtrāṇi)	SrAvaka-sUtra-antezu na-ucyante boDisattvAH, na ca tAni (SrAvaka-sUtrANi)
   tadarthāni, aniyatāni ceti |	tad-arTAni, aniyatAni ca-iti |
   atha iti tadanantaram | samaye iti niyate | etena niyatastāvat piṇḍakāla	aTa iti tad-anantaram | samaye iti niyate | etena niyataH-tAvat piNxa-kAla
   iti | kālaniyatatvaṃ tu asminneva kāle piṇḍapāto grahītavya iti, tadapi	iti | kAla-niyata-tvam tu asmin=-eva kAle piNxapAtaH grahItavyaH iti, tat-api
   kimiti aparijñānāt tadarthaṃ pūrvāhṇaḥ iti vacanenābhidhīyate |	kim-iti aparijQAnAt tad-arTam pUrvAhNaH iti vacanena-aBiDIyate |
   pūrvāhṇañca kālasamayaśceti samāsaḥ |	pUrvAhNaQca kAla-samayaH-ca-iti samAsaH |
   upavasatāṃ pravajitānāṃ ca piṇḍakālopalambhena pūrvāhṇalakṣaṇaṃ bhagavatā	upavasatAm pravajitAnAm ca piNxa-kAla-upalamBena pUrvAhNa-lakzaNam BagavatA
   deśitamekāntenetyavabodhanārthaṃ kālasamaye ityuktam | anyathā pūrvāhṇa	deSitam-ekAntena-iti-avaboDana-arTam kAla-samaye iti-uktam | anyaTA pUrvAhNa
   ityetadvacanena tadaekāntatvanirdeśo nāvagamyate | bhagavatā svecchayā	iti-etat-vacanena tad-aekAnta-tva-nirdeSaH na-avagamyate | BagavatA sva-icCayA
   kṛtamiti sambhāvyamānatvād etat padatrayamuktamiti vā | nivāsya iti	kRtam-iti samBAvyamAna-tvAt etat pada-trayam-uktam-iti vA | nivAsya iti
   gṛhapraveśānurūpaṃ vastradhāraṇam | tadapi śikṣāsu śrotṛṇāṃ	gRha-praveSa-anurUpam vastra-DAraNam | tat-api SikzAsu SrotRNAm
   gauravasampādanārtham, anyathā svasyaiva vineyatvābhāve kathaṃ parasya	gOrava-sampAdana-arTam, anyaTA svasya-eva vineya-tva-aBAve kaTam parasya
   vineyatā syāt | cīvaramādāya ityatra cīvarādānaṃ (Vajraṭ_103) tāvat	vineya-tA syAt | cIvaram-AdAya iti-atra cIvara-AdAnam (Vajraj-_103) tAvat-
   prāvaraṇalakṣaṇaṃ draṣṭavyam, nāstyantasyāvakāśa iti | mahānagarī iti	prAvaraNa-lakzaNam drazwavyam, na-asti-antasya-avakASaH iti | mahA-nagarI iti
   deśaviśeṣaḥ, śrāvastīmātravyavacchedārtham | kimarthaṃ bhagavān piṇḍāya	deSa-viSezaH, SrAvastI-mAtra-vyavacCeda-arTam | kim-arTam BagavAn piNxAya
   prāvikṣat iti | śrāvakeṣvalpecchatāpravṛttiḥ,	prAvikzat iti | SrAvakezu-alpet-CatA-pravRttiH,
   daridra-rogi-gṛhiṇī-vṛddhādiṣvanugrahaḥ, andhādibhyo netrādisamprāptiriti,	daridra-rogi--gRhiNI--vRdDa-Adizu-anugrahaH, anDa-AdiByaH netra-Adi-samprAptiH-iti,
   vividhavismayahetūnāmanavarataṃ pradarśanena bhagavati ca pareṣāṃ	viviDa-vismaya-hetUnAm-anavaratam pradarSanena Bagavati ca parezAm
   prasādotpādanārthaṃ ityetānyaparimitāni prayojanānyavagantavyāni |	prasAda-utpAdana-arTam iti-etAni-aparimitAni prayojanAni-avagantavyAni |
   kṛtabhaktakṛtyaḥ iti yaḥ khalu bhojanādibhaktakṛtyaṃ sampāditavān, sa	kRta-Bakta-kRtyaH iti yaH Kalu Bojana-Adi-Bakta-kRtyam sampAditavAn, sa
   evamucyate |	evam-ucyate |
   alpakuśalamūlebhyo nirjātā api brahmādayaḥ kavalīkārāhāravināgānnaiva	alpa-kuSala-mUleByaH nirjAtAH api brahma-AdayaH kavalIkAra-AhAra-vinAgAt-na-eva
   bhaktakṛtyaṃ kurvanti, tarhi acintyakuśalamūlanirjāto hi bhagavān	Bakta-kRtyam kurvanti, tarhi acintya-kuSala-mUla-nirjAtaH hi BagavAn
   (buddhaḥ) kathaṃ kuryāditi? tathā āryadharmasaṃgītau api bhāṣitam	(budDaH) kaTam kuryAt-iti? taTA Arya-Darma-saMgItO api BAzitam
   "tathāgatastu kṣutpipāsāvarjitaḥ mūtrapurīṣavirahito 'kṣīṇakāyaśca	"taTAgataH-tu kzuD-pipAsA-varjitaH mUtra-purIza-virahitaH akzINa-kAyaH-ca
   bhavati" iti | satyamevaitat tathāpi yadi bhagavataḥ sa kāyo na	Bavati" iti | satyam-eva-etat taTA-api yadi BagavataH sa kAyaH na
   paramārthabhūtaḥ, tadā syāt sarvopālambhāvasaro 'pi, yadā tvayaṃ bhagavato	parama-arTa-BUtaH, tadA syAt sarva-upAlamBa-avasaraH api, yadA tu-ayam BagavataH-
   nirmāṇakāyaḥ, evaṃvidhacaritapradarśanena veneyasattvāśayānurūpaṃ	nirmANa-kAyaH, evaMviDa-carita-pradarSanena veneya-sattva-ASaya-anurUpam
   pravartate, tadā kathamumālambhāvakāśaḥ |	pravartate, tadA kaTam-umA-AlamBa-avakASaH |
   manuṣyabhāve eva vīryārambheṇa etādṛśamanuttarapadaṃ labhyata iti	manuzya-BAve eva vIrya-AramBeNa etAdRSam-anuttara-padam laByate iti
   vineyānāmutsāhanārthaṃ manuṣyabhāvaṃ darśayitvā evaṃrūpaṃ piṇḍabhaktaṃ	vineyAnAm-utsAhana-arTam manuzya-BAvam darSayitvA evaMrUpam piNxa-Baktam
   darśitavān | ye dāyakā dānapatayaḥ teṣu piṇḍaparikarmaprakāśanena	darSitavAn | ye dAyakAH dAnapatayaH tezu piNxa-parikarma-prakASanena
   praharṣaḥ samupajāyate | bhāgyavanto 'pi kiñcitkarmāvaraṇavaśāt pretādiṣu	praharzaH samupajAyate | BAgyavantaH api kiQcid-karma-AvaraNa-vaSAt preta-Adizu
   samupajātāḥ mahaujaskā yakṣādayaḥ bhagavatāṃ karanakhāmṛtena saṃspṛsṭaṃ	samupajAtAH mahA-ojaskAH yakza-AdayaH BagavatAm karanaKa-amRtena saMspRswam
   paramākṣayadivyarasamādāya paribhuñjānāḥ paramasukhasaṃtṛptacetasa uttamāṃ	parama-akzaya-divya-rasam-AdAya pariBuQjAnAH parama-suKa-saMtRpta-cetasaH uttamAm
   samādhiṃ samavāpnuvanti | ataḥ aparimeyaṃ tāvad bhagavato bhaktakṛtyam |	samADim samavApnuvanti | atas aparimeyam tAvat BagavataH Bakta-kRtyam |
   (Vajraṭ_104)	(Vajraj-_104)
   kena prakāreṇa bhaktakṛtyaṃ kṛtamiti cet? tadarthaṃ paścād ityādyāha |	kena prakAreNa Bakta-kRtyam kRtam-iti cet? tad-arTam paScAt iti-Adi-Aha |
   sarvamādāya tadanu yat piṇḍapātaṃ bhaktaṃ tat paścādbhaktapiṇḍapātam |	sarvam-AdAya tadanu yat piNxa-pAtam Baktam tat paScAt-Bakta-piNxapAtam |
   pūrvametatsamādānaṃ tu śrāvakāṇāṃ dhūtaguṇeṣvavatāraṇārtham | bhaktamiti	pUrvam-etat-samAdAnam tu SrAvakANAm DUta-guNezu-avatAraNa-arTam | Baktam-iti
   (bhakṣaṇakṛtyaṃ) sampāditamityarthaḥ | athavā paścāditi yad	(BakzaNa-kRtyaM) sampAditam-iti-arTaH | aTavA paScAt-iti yat-
   dvitīyavāramādānaṃ tat paścādbhaktam | tadeva paścādbhaktamapi	dvitIya-vAram-AdAnam tat paScAt-Baktam | tat-eva paScAt-Baktam-api
   piṇḍaścāpīti padayojanā | athavā apārahṇabhaktatvena yaḥ paribhujyate	piNxaH-ca-api-iti pada-yojanAH | aTavA apArahNa-Bakta-tvena yaH pariBujyate
   piṇḍaḥ sa evamucyate |	piNxaH saH evam-ucyate |
   ataśca dhūtaguṇavattvāt vikālabhojanaparihṛtatvācca tadviorahitametad	atas-ca DUta-guNavat-tvAt vikAla-Bojana-parihRta-tvAt-ca tat-viorahitam-etat-
   bhaktaṃ syādityarthaḥ | pratiśāmya iti pratiṣṭhāpyetyarthaḥ | tacca	Baktam syAt-iti-arTaH | pratiSAmya iti pratizWApya-iti-arTaH | tat-ca
   śakrādayastu bhagavadājñāmādātuṃ samudyatāstadantike sadaivopatiṣṭhante,	Sakra-AdayaH-tu Bagavat-AjQAm-AdAtum samudyatAH-tad-antike sadA-eva-upatizWante,
