   oṃ	om
        tathaikonaviṃśatir mukhāny asya buddhīndriyāṇi karmendriyāṇi ca daśa	taTA-ekonaviMSatiH muKAni asya budDIndriyANi karmendriyANi ca daSa
   vāyavaś ca prāṇādayaḥpañca mano buddhirahaṅkāraccittam iti mukhānīva	vAyavaH ca prANa-AdayaH-paQca manaH budDiH-ahaFkArat-cittam iti muKAni-iva
   mukhāni tāny upalabdhidvārāṇityarthaḥ sa evaṃ viśiṣṭo vaiśvānaro	muKAni tAni upalabDi-dvArANiti-arTaH saH evam viSizwaH vESvAnaraH-
   yathoktair dvāraiḥ śabdādīn sthūlān viṣayān bhuṅkta iti sthūlabhuk /	yaTA-uktEH dvArEH Sabda-AdIn sTUlAn vizayAn BuFkte iti sTUla-Buj /
        viśveṣāṃ narāṇām anekadhā nayanād vaiśvānaraḥ /	viSvezAm narANAm anekaDA nayanAt vESvAnaraH /
        yad vā viśvaś cāsau naraś ceti viśvānaraḥ /	yat vA viSvaH ca-asO naraH ca-iti viSvAnaraH /
        viśvānara eva vaiśvānaraḥ /	viSvAnaraH eva vESvAnaraH /
        sarvapiṇḍātmananyatvāt saḥ prathamaḥ pādaḥ /	sarva-piNxa-Atmananya-tvAt saH praTamaH pAdaH /
        etat pūrvakatvād uttarapādādhigamasya prāthamyamasya /	etat pUrvaka-tvAt uttara-pAda-aDigamasya prATamyam-asya /
        katham ayamātmā brahmeti pratyagātmano 'sya catuṣpāttve prakṛte	kaTam ayam-AtmA brahma-iti pratyagAtmanaH asya catuzpAd-tve prakRte
   dyulokādīnāṃ mūrdhādyaṅgatvam iti /	dyu-loka-AdInAm mUrDa-Adi-aFga-tvam iti /
        naiṣa doṣaḥ /	na-eza dozaH /
        sarvasyaprapañcasya sādhidaivikasyānena ātmanā catuṣpāttvasya	sarvasya-prapaQcasya sADidEvikasya-anena AtmanA catuzpAd-tu-asya
   vivakṣitatvāt /	vivakzita-tvAt /
        evaṃ ca sati sarvaprapañca upaśame 'dvaitasiddhiḥ /	evam ca sati sarva-prapaQcaH upaSame advEta-sidDiH /
        sarvabhūtasthaś cātmaiko dṛṣṭaḥ syāt sarvabhūtāni cātmani /	sarva-BUta-sTaH ca-AtmA-ekaH dRzwaH syAt sarva-BUtAni ca-Atmani /
        "yas tu sarvāṇi bhūtāni"(ī.u.6) ity ādiśrutyarthopasaṃhṛtaś caivaṃ	"yaH tu sarvANi BUtAni"(I.u.6) iti AdiSruti-arTa-upasaMhRtaH ca-evam
   syāt /	syAt /
        anyathā hi svadehaparicchinna eva pratyāgātmā sāṃkhyādibhir iva	anyaTA hi sva-deha-paricCinnaH eva pratyAga-AtmA sAMKya-AdiBiH iva
   dṛṣṭaḥ syāt tathā ca satyadvaitam iti śrutikṛto viśeṣo na syāt	dRzwaH syAt taTA ca satya-dvEtam iti Sruti-kRtaH viSezaH na syAt-
   sāṃkhyādidarśanenāviśeṣāt /	sAMKya-Adi-darSanena-aviSezAt /
        iṣyate ca sarva upaniṣadāṃ sarvātmaikyapratipādakatvam /	izyate ca sarve upanizadAm sarva-Atma-Ekya-pratipAdaka-tvam /
        ato yuktam evāsyādhyātmikasya piṇḍātmano dyulokādy aṅgatvena	atas yuktam eva-asya-ADyAtmikasya piNxa-AtmanaH dyuloka-Adi aFga-tvena
   virāḍātmanādhidaivikenaikatvam abhipretya saptāṅgatvavacanam /	virAxa-AtmanA-aDidEvikena-eka-tvam aBipretya sapta-aFga-tva-vacanam /
        "mūrdhā te vyapatiṣyat"(chā.u 5 / 12 / 2) ity ādi liṅgadarśanāc ca /	"mUrDA te vyapatizyat"(CA.u 5 / 12 / 2) iti Adi liFga-darSanAt ca /
        virāja ekatvam upalakṣaṇārthaṃ hiraṇyagarbhāvyākṛtātmanoḥ /	virAjaH ekatvam upalakzaNa-arTam hiraNyagarBa-avyAkRta-AtmanoH /
        uktaṃ caitan madhubrāhmaṇe"yaś cāyam asyāṃ pṛthivyāṃ tejomayo	uktam ca-etat maDu-brAhmaNe"yaH ca-ayam asyAm pRTivyAm tejaH-mayaH-
   'mṛtamayaḥ puruṣo yac cāyam adhyātmam"(bṛ.u.2 / 5 / 1) ityādi /	amRta-mayaH puruzaH yat ca-ayam aDyAtma-m"(bR.u.2 / 5 / 1) ityAdi /
        suṣuptāvyākṛtayaḥ sa tv ekatvaṃ siddham eva nirviśeṣatvāt /	suzupta-avyAkRtayaH sa tu eka-tvam sidDam eva nirviSeza-tvAt /
        evaṃ ca satyetat siddhaṃ bhaviṣyati sarvadvaita upaśame cādvaitam iti	evam ca sati-etat sidDam Bavizyati sarva-dvEtaH upaSame ca-advEtam iti
        START MandUp 4	START MandUp 4
        svaprasthāno 'ntaḥprajñaḥ saptāṅga ekonaviṃśatimukhaḥ	sva-prasTAnaH antar-prajQaH sapta-aFgaH ekonaviMSati-muKaH
   praviviktabhuktaijaso dvitīyaḥ pādaḥ || MandUp_4 ||	pravivikta-Buj-tEjasaH dvitIyaH pAdaH || MandUp_4 ||
        MandUpC_4	Mandu-upC_4
        svapnaḥ sthānasya taijasasya svapnasthānaḥ /	svapnaH sTAnasya tEjasasya svapna-sTAnaH /
        jāgratprajñānekasādhanā bahir viṣaya evāvabhāsamānā	jAgrat-prajQA-aneka-sADanAH bahis vizayaH eva-avaBAsamAnA
   manaḥspandanamātrā satī tathābhūtaṃ saṃskāraṃ manasyādhatte /	manaH-spandana-mAtrA satI taTABUtam saMskAram manasi-ADatte /
        tan manas tathā saṃskṛtaṃ citrita iva paṭo bāhyasādhanān anapekṣam	tat manaH taTA saMskRtam citritaH iva pawaH bAhya-sADanAn anapekzam
   avidyākāmakarmabhiḥ preryamāṇaṃ jāgradvadavabhāsate /	avidyA-kAma-karmaBiH preryamANam jAgrat-vat-ava-BAsate /
        tathā coktam"asya lokasya sarvāvato mātrām apādāya"(bṛ.u.4 / 3 / 9)	taTA ca-uktam"asya lokasya sarvAvataH mAtrAm apAdAya-"(bR.u.4 / 3 / 9)
   iti /	iti /
        tathā"pare deve manasy ekībhavati"(pra.u.4 / 2) iti prastutya"atraiṣa	taTA-a"pare deve manasi ekIBavati"(pra.u.4 / 2) iti prastutya-"atra-eza
   devaḥ svapne mahimānam anubhavati"(pra.u.4 / 5) ityātharvaṇe /	devaH svapne mahimAnam anuBavati"(-pra.u.4 / 5) iti-ATarvaNe /
        indriyāpekṣayāntaḥsthatvān manasas tad vāsanārūpā ca svapne prajñā	indriya-apekzayA-antar-sTa-tvAt manasaH tat vAsanA-rUpA ca svapne prajQA
   yasyātyantaḥprajñaḥ /	yasya-atyantar-prajQaH /
        viṣayaśūnyānāṃ prajñāyāṃ kevalaprakāśasvarūpāyāṃ viṣayitvena	vizaya-SUnyAnAm prajQAyAm kevala-prakASa-svarUpAyAm vizayi-tvena
   bhavatīti taijasaḥ /	Bavati-iti tEjasaH /
        viśvasya saviṣayatvena prajñāyāḥ sthūlāyā bhojyatvam /	viSvasya sa-vizaya-tvena prajQAyAH sTUlAyAH Bojya-tvam /
        iha punaḥ kevalā vāsanāmātrā prajñā bhojyeti pravivikto bhoga iti /	iha punar kevalA vAsanA-mAtrA prajQA Bojya-iti praviviktaH BogaH iti /
        samānamanyat /	samAnam-anyat /
        dvitīyaḥ pādas taijasaḥ //4//	dvitIyaH pAdaH tEjasaH //4//
        START MandUp 5	START MandUp 5
        darśanādarśanavṛttyas tatvāprabodhalakṣaṇasya svāpasya tulyatvāt	darSana-adarSana-vRttyaH tatvA-apraboDa-lakzaNasya svApasya tulya-tvAt-
   suṣuptigrahaṇārthaṃ yatra supta ityādi viśeṣaṇam /	suzupti-grahaNa-arTam yatra suptaH ityAdi viSezaNam /
        atha vā triṣv api sthāneṣu tattvāpratibodhalakṣaṇaḥ svāpo 'viśiṣṭa	aTa vA trizu api sTAnezu tattva-apratiboDa-lakzaNaH svApaH aviSizwa
   iti pūrvābhyāṃ suṣuptaṃ vibhajate	iti pUrvAByAm suzuptam viBajate
        yatra supto na kañcana kāmaṃ kāmayate na kañcana svapnaṃ paśyati tat	yatra suptaH na kaQcana kAmam kAmayate na kaQcana svapnam paSyati tat-
   suṣuptam |	suzuptam |
        suṣuptasthāna ekībhūtaḥ prajñānaghana evāndamayo hy	suzupta-sTAnaH ekIBUtaH prajQAna-GanaH eva-anda-mayaH hi-
   ānandabhukcetomukhaḥ prājñaḥ tṛtīyaḥ pādaḥ || MandUp_5 ||	Ananda-Buj-cetomuKaH prAjQaH tRtIyaH pAdaH || MandUp_5 ||
        MandUpC_5	Mandu-upC_5
        yatra yasmin sthāne kāle vā supto na kañcana svapnaṃ paśyati na	yatra yasmin sTAne kAle vA suptaH na kaQcana svapnam paSyati na
   kañcana kāmaṃ kāmayate /	kaQcana kAmam kAmayate /
        na hi suṣupte pūrvayor ivānyathāgrahaṇalakṣaṇaṃ svapnadarśanaṃ kāmo	na hi suzupte pUrvayoH iva-anyaTA-grahaNa-lakzaNam svapna-darSanam kAmaH-
   vā kaścana vidyane /	vA kaScana vidyane /
        tadetat suṣuptaṃ sthānam asyeti suṣuptasthānaḥ /	tat-etat suzuptam sTAnam asya-iti suzupta-sTAnaH /
        sthānadvayapravibhaktaṃ manaḥ spanditaṃ dvaitajātaṃ tathā	sTAna-dvaya-praviBaktam manaH spanditam dvEta-jAtam taTA
   rūpāparityāgenāvivekāpannaṃ naiśatamograstamivāhaḥ saprapañcamekībhūtam	rUpa-aparityAgena-aviveka-Apannam nESa-tama-ugrastam-iva-ahar sa-prapaQcam-ekIBUtam
   ity ucyate /	iti ucyate /
        ata eva svapnajāgran manaḥspandanāni prajñānāni ghanībhūtānīva	atas eva svapna-jAgrat manaH-spandanAni prajQAnAni GanIBUtAni-iva
   seyamavasthāvivekarūpatvāt prajñānaghanocyate /	sA-iyam-avasTA-viveka-rUpa-tvAt prajQA-an-aGanA-ucyate /
        yathā rātrau naiśena tamasā vibhajyamānaṃ sarvaṃ ghanam iva tadvat	yaTA rAtrO nESena tamasA viBajyamAnam sarvam Ganam iva tadvat-
   prajñānaghana eva /	prajQAna-GanaH eva /
        eva śabdān na jātyantaraṃ prajñānavyatirekeṇāstītārthaḥ /	eva SabdAt na jAti-antaram prajQAna-vyatirekeNa-AstIta-arTaH /
        manaso viṣayīviṣayyākāraspandanāyāsaduḥkhābhāvādānandamaya	manasaH vizayI-vizayi-AkAra-spandana-AyAsa-duHKa-aBAvAt-Ananda-maya
   ānandaprāyo nānanda eva /	Ananda-prAyaH na-AnandaH eva /
        yathā loke nirāyāsasthitaḥ sukhyānandabhugucyate 'tyantānāyāsarūpā	yaTA loke nirAyAsa-sTitaH suKya-Ananda-Buj-ucyate atyanta-an-AyAsa-rUpA
   hīyaṃ sthitiranenānubhūyata ity ānandabhuk"eṣo 'sya parama ānandaḥ"(bṛ.u.4	hi-iyam sTitiH-anena-anuBUyate iti Ananda-Buj-"A-IzaH asya paramaH AnandaH"(bR.u.4
   / 3 / 32) iti śruteḥ /	/ 3 / 32) iti SruteH /
        svapnādipratibodhicetaḥ prati dvārībhūtatvāc cetomukhaḥ /	svapna-Adi-pratiboDi-cetaH prati dvArIBUta-tvAt cetaH-muKaH /
        bodhalakṣaṇaṃ vā ceto dvāraṃ mukham asya svapnādy āgamanaṃ pratīti	boDa-lakzaNam vA cetaH dvAram muKam asya svapna-Adi Agamanam prati-iti
   cetomukhaḥ /	cetaH-muKaH /
        bhūtabhaviṣyaj jñātṛtvaṃ sarvaviṣayajñātṛtvam asyaiti prājñaḥ /	BUta-Bavizyat jQAtR-tvam sarva-vizaya-jQAtR-tvam asya-eti prAjQaH /
        suṣupto 'pi hi bhūtapūrvagatyā prājñocyate /	suzuptaH api hi BUta-pUrva-gatyA prAjQA-ucyate /
