   śivopaniṣad	Siva-upanizad-
   ahiṃsā gomayaṃ proktaṃ % śāntiś ca salilaṃ param // 1.25 //	ahiMsA gomayam proktam % SAntiH ca salilam param // 1.25 //
   kuryāt saṃmārjanaṃ prājño $ vairāgyaṃ candanaṃ smṛtam &	kuryAt saMmArjanam prAjQaH $ vErAgyam candanam smRtam &
   pūjayed dhyāna-yogena % saṃtoṣaiḥ kusumaiḥ sitaiḥ // 1.26 //	pUjayet DyAna--yogena % saMtozEH kusumEH sitEH // 1.26 //
   dhūpaś ca guggulur deyaḥ $ prāṇā3yāma-samudbhavaḥ &	DUpaH ca gugguluH deyaH $ prANA3yAma--samudBavaH &
   pratyāhāraś ca naivedyam % asteyaṃ ca pradakṣiṇam // 1.27 //	pratyAhAraH ca nEvedyam % asteyam ca pradakziNam // 1.27 //
   iti divyo1pacāraiś ca $ saṃpūjya paramaṃ śivam &	iti divya-u1pacArEH ca $ saMpUjya paramam Sivam &
   japed dhyāyec ca mukty-arthaṃ % sarva-saṅga-vivarjitaḥ // 1.28 //	japet DyAyet ca mukti--arTam % sarva-saFga--vivarjitaH // 1.28 //
   jñāna-yoga-vinirmuktaḥ $ karma-yoga-samāvṛttaḥ &	jQAna---yoga--vinirmuktaH $ karma---yoga--samAvRttaH &
   mṛtaḥ śiva-puraṃ gacchet % sa tena śiva-karmaṇā // 1.29 //	mRtaH Siva-puram gacCet % sa tena Siva-karmaNA // 1.29 //
   tatra bhuktvā mahā-bhogān $ pralaye sarva-dehinām &	tatra BuktvA mahA-BogAn $ pralaye sarva-dehinAm &
   śiva-dharmāc chiva-jñānaṃ % prāpya muktim avāpnuyāt // 1.30 //	Siva--DarmAt Siva-jQAnam % prApya muktim avApnuyAt // 1.30 //
   jñāna-yogena mucyante $ deha-pātād anantaram &	jQAna---yogena mucyante $ deha--pAtAt anantaram &
   bhogān bhuktvā ca mucyante % pralaye karma-yoginaḥ // 1.31 //	BogAn BuktvA ca mucyante % pralaye karma---yoginaH // 1.31 //
   tasmāj jñāna-vido yogāt $ tathā9jñāḥ karma-yoginaḥ &	tasmAt jQAna--vidaH yogAt $ taTA9jQAH karma---yoginaH &
   sarva eva vimucyante % ye narāḥ śivam āśritāḥ // 1.32 //	sarve eva vimucyante % ye narAH Sivam ASritAH // 1.32 //
   sa bhogaḥ śiva-vidyā2rthaṃ $ yeṣāṃ karmā7sti nirmalam &	sa BogaH Siva-vidyA-2rTam $ yezAm karma-a7sti nirmalam &
   te bhogān prāpya mucyante % pralaye śiva-vidyayā // 1.33 //	te BogAn prApya mucyante % pralaye Siva-vidyayA // 1.33 //
   vidyā saṃkīrtanīyā hi $ yeṣāṃ karma na vidyate &	vidyA saMkIrtanIyAH hi $ yezAm karma na vidyate &
   te cā8vartya vimucyante % yāvat karma na tad bhavet // 1.34 //	te ca-a8vartya vimucyante % yAvat karma na tat Bavet // 1.34 //
   śiva-jñāna-vidaṃ tasmāt $ pūjayed vibhavair gurum &	Siva-jQAna--vidam tasmAt $ pUjayet viBavEH gurum &
   vidyā-dānaṃ ca kurvīta % bhoga-mokṣa-jigīṣayā // 1.35 //	vidyA-dAnam ca kurvIta % Boga-mokza-jigIzayA // 1.35 //
   śiva-yogī śiva-jñānī $ śiva-jāpī tapo'dhikaḥ &	Siva-yogI Siva-jQAnI $ Siva-jApI tapaH-aDikaH &
   kramaśaḥ karma-yogī ca % pañcai1te mukti-bhājanāḥ // 1.36 //	kramaSas karma-yogI ca % paQca-e1te mukti-BAjanAH // 1.36 //
   karma-yogasya yan mūlaṃ $ tad vakṣyāmi samāsataḥ &	karma-yogasya yat mUlam $ tat vakzyAmi samAsatas &
   liṅgam āyatanaṃ ce7ti % tatra karma pravartate // 1.37 //	liFgam Ayatanam ca-i7ti % tatra karma pravartate // 1.37 //
   // iti śivopaniṣadi muktinirdeśādhyāyaḥ prathamaḥ //	// iti Siva-upanizadi mukti-nirdeSa-aDyAyaH praTamaH //
   atha pūrva-sthito liṅge $ garbhaḥ sa tri-guṇo bhavet &	aTa pUrva-sTitaH liFge $ garBaH sa tri-guNaH Bavet &
   garbhād vā9pi vibhāgena % sthāpya liṅgaṃ śivā3laye // 2.1 //	garBAt vA-a9pi viBAgena % sTApya liFgam Siva-a3laye // 2.1 //
   yāval liṅgasya dairghyaṃ syāt $ tāvad vedyāś ca vistaraḥ &	yAvat liFgasya dErGyam syAt $ tAvat vedyAH ca vistaraH &
   liṅga-tṛtīya-bhāgena % bhaved vedyāḥ samucchrayaḥ // 2.2 //	liFga-tRtIya--BAgena % Bavet vedyAH samucCrayaH // 2.2 //
   bhāgam ekaṃ nyased bhūmau $ dvitīyaṃ vedi-madhyataḥ &	BAgam ekam nyaset BUmO $ dvitIyam vedi--maDyatas &
   tṛtīya-bhāge pūjā svād % iti liṅgaṃ tridhā sthitam // 2.3 //	tRtIya--BAge pUjA svAt % iti liFgam triDA sTitam // 2.3 //
   bhūmi-sthaṃ catur-aśraṃ svād $ aṣṭā1śraṃ vedi-madhyataḥ &	BUmi--sTam catur-aSram svAt $ azwA1Sram vedi--maDyatas &
   pūjā2rthaṃ vartulaṃ kāryaṃ % dairghyāt tri-guṇa-vistaram // 2.4 //	pUjA-2rTam vartulam kAryam % dErGyAt tri-guNa--vistaram // 2.4 //
   adho-bhāge sthitaḥ skandaḥ $ sthitā devī ca madhyataḥ &	aDo-BAge sTitaH skandaH $ sTitA devI ca maDyatas &
   ūrdhvaṃ rudraḥ kramād vā9pi % brahma-viṣṇu-maheśvarāḥ // 2.5 //	UrDvam rudraH kramAt vA-a9pi % brahma--vizNu--maheSvarAH // 2.5 //
   eta eva trayo lokā $ eta eva trayo guṇāḥ &	ete eva trayaH lokAH $ ete eva trayaH guNAH &
   eta eva trayo vedā $ etac cā7nyat sthitaṃ tridhā // 2.6 //	ete eva trayaH vedAH $ etat ca-a7nyat sTitam triDA // 2.6 //
   nava-hastaḥ smṛto jyeṣṭhaḥ $ ṣaḍ-ḍhastaś cā7pi madhyamaḥ &	nava--hastaH smRtaH jyezWaH $ zaz--XastaH ca-a7pi maDyamaH &
   vidyāt kanīyas trai-hastaṃ % liṅga-mānam idaṃ smṛtam // 2.7 //	vidyAt kanIyaH trE-hastam % liFga-mAnam idam smRtam // 2.7 //
   garbhasyā7nataḥ pravistāras $ tad-ūnaś ca na śasyate &	garBasya-a7nataH pravistAraH $ tad--UnaH ca na Sasyate &
   garbhasyā7nataḥ pravistārād % tad-upary api saṃsthitam // 2.8 //	garBasya-a7nataH pravistArAt % tad--upari api saMsTitam // 2.8 //
   prāsādaṃ kalpayec chrīmān $ vibhajeta tridhā punaḥ &	prAsAdam kalpayet SrImAn $ viBajeta triDA punar &
   bhāga eko bhavej jaṅghā % dvau bhāgau mañjarī smṛtā // 2.9 //	BAgaH ekaH Bavet jaFGA % dvO BAgO maQjarI smRtAH // 2.9 //
   mañjaryā ardha-bhāga-sthaṃ $ śuka-nāsaṃ prakalpayet &	maQjaryAH arDa-BAga--sTam $ Suka-nAsam prakalpayet &
   garbhād ardhena vistāram % āyāmaṃ ca suśobhanam // 2.10 //	garBAt arDena vistAram % AyAmam ca su-SoBanam // 2.10 //
   garbhād vā9pi tri-bhāgena $ śuka-nāsaṃ prakalpayet &	garBAt vA-a9pi tri-BAgena $ Suka-nAsam prakalpayet &
   garbhād ardhena vistīrṇā % garbhāc ca dvi-guṇā3yatā // 2.11 //	garBAt arDena vistIrNA % garBAt ca dvi-guNA3yatA // 2.11 //
   jaṅghābhiś ca bhavet kāryā $ mañjary-aṅgula-rāśinā &	jaFGABiH ca Bavet kAryA $ maQjarI--aFgula--rASinA &
   prāsādā1rdhena vijñeyo % maṇḍapas tasya vāmataḥ // 2.12 //	prAsAda-a1rDena vijQeyaH % maNxapaH tasya vAmatas // 2.12 //
   maṇḍapāt pāda-vistīrṇā $ jagatī tāvad-ucchritā &	maNxapAt pAda--vistIrNA $ jagatI tAvat--ucCritA &
   prāsādasya pramāṇena % jagatyā sārdham aṅgaṇam // 2.13 //	prAsAdasya pramANena % jagatyA sArDam aFgaNam // 2.13 //
   prākāraṃ tat-samantāc ca $ gu-purād āla-bhūṣitam &	prAkAram tat-samantAt ca $ gu-purAt Ala-BUzitam &
   prākārā1ntaḥ sthitaṃ kāryaṃ % vṛṣa-sthānaṃ samucchritam // 2.14 //	prAkAra-a1ntaH sTitam kAryam % vRza-sTAnam samucCritam // 2.14 //
   nandīśvara-mahākālau $ dvāra-śākhā-vyavasthitau &	nandISvara--mahAkAlO $ dvAra-SAKA--vyavasTitO &
   prākārād dakṣiṇe kāryaṃ % sarvo1pakaraṇā1nvitam // 2.15 //	prAkArAt dakziNe kAryam % sarva-u1pakaraNa-a1nvitam // 2.15 //
   pañca-bhaumaṃ tri-bhaumaṃ vā $ yogīndrāvasathaṃ mahat &	paQca-BOmam tri-BOmam vA $ yogi-indra-AvasaTam mahat &
   prākāra-guptaṃ tat kāryaṃ % maitra-sthāna-samanvitam // 2.16 //	prAkAra-guptam tat kAryam % mEtra--sTAna--samanvitam // 2.16 //
   sthānād daśa-samāyuktaṃ $ bhavya-vṛkṣa-jalā1nvitam &	sTAnAt daSa--samAyuktam $ Bavya-vRkza--jala-a1nvitam &
   tan mahā2nasam āgneyyāṃ % pūrvataḥ sattra-maṇḍapam // 2.17 //	tat mahA2nasam AgneyyAm % pUrvatas sattra--maNxapam // 2.17 //
   sthānaṃ caṇḍeśam aiśānyāṃ $ puṣpā3rāmaṃ tatho9ttaram &	sTAnam caNxeSam ESAnyAm $ puzpA3rAmam taTA-u9ttaram &
   koṣṭhā3gāraṃ ca vāyavyāṃ % vāruṇyāṃ varuṇā3layam // 2.18 //	kozWA3gAram ca vAyavyAm % vAruNyAm varuNa-a3layam // 2.18 //
   śamī2ndhana-kuśasthānam $ āyudhānāṃ ca nairṛtam &	SamI2nDana--kuSa-sTAnam $ AyuDAnAm ca nErRtam &
   sarva-loko1pakārāya % nagara-sthaṃ prakalpayet // 2.19 //	sarva-loka-u1pakArAya % nagara--sTam prakalpayet // 2.19 //
   śrīmad-āyatanaṃ śambhor $ yogināṃ vijane vane &	SrImat--Ayatanam SamBoH $ yoginAm vijane vane &
   śivasyā8yatane yāvat % sametāḥ paramā1ṇavaḥ // 2.20 //	Sivasya-A8yatane yAvat % sametAH parama-a1NavaH // 2.20 //
   manvantarāṇi tāvanti $ kartur bhogāḥ śive pure &	manvantarANi tAvanti $ kartuH BogAH Sive pure &
   mahā-pratima-liṅgāni % mahānty āyatanāni ca // 2.21 //	mahA--pratima-liFgAni % mahAnti AyatanAni ca // 2.21 //
   kṛtvā0pnoti mahā-bhogān $ ante muktiṃ ca śāśvatīm &	kRtvA-a0pnoti mahA-BogAn $ ante muktim ca SASvatIm &
   liṅga-pratiṣṭhāṃ kurvīta % yadā tal-lakṣaṇaṃ kṛtī // 2.22 //	liFga--pratizWAm kurvIta % yadA tal--lakzaNam kRtI // 2.22 //
   pañca-gavyena saṃśodhya $ pūjayitvā9dhivāsayet &	paQca-gavyena saMSoDya $ pUjayitvA-a9DivAsayet &
   pālāśo1dumbarā1śvattha- % pṛṣad-ājya-tilair yavaiḥ // 2.23 //	pAlASo1dumbarA1SvatTa % pRzad-a-Ajya--tilEH yavEH // 2.23 //
   agni-kāryaṃ prakurvīta $ dadyāt pūrṇā3huti-trayam &	agni-kAryam prakurvIta $ dadyAt pUrNA3huti--trayam &
   śivasyā7ṣṭa-śataṃ hutvā % liṅga-mūlaṃ spṛśed budhaḥ // 2.24 //	Sivasya-a7zwa-Satam hutvA % liFga--mUlam spRSet buDaH // 2.24 //
   evaṃ madhye 'vasāne tan $ mūrti-mantraiś ca mūrtiṣu &	evam maDye avasAne tat $ mUrti-mantrEH ca mUrtizu &
   aṣṭau mūrtī3śvarāḥ kāryāḥ % navamaḥ sthāpakaḥ smṛtaḥ // 2.25 //	azwO mUrtI3SvarAH kAryAH % navamaH sTApakaH smRtaH // 2.25 //
   prātaḥ saṃsthāpayel liṅgaṃ $ mantrais tu navabhiḥ kramāt &	prAtar saMsTApayet liFgam $ mantrEH tu navaBiH kramAt &
   mahā-snāpana-pūjāṃ ca % sthāpya liṅgaṃ prapūjayet // 2.26 //	mahA--snApana--pUjAm ca % sTApya liFgam prapUjayet // 2.26 //
   guror mūrti-dharāṇāṃ ca $ dadyād uttama-dakṣiṇām &	guroH mUrti-DarANAm ca $ dadyAt uttama--dakziNAm &
   yatīnāṃ ca samastānāṃ % dadyān madhyama-dakṣiṇām // 2.27 //	yatInAm ca samastAnAm % dadyAt maDyama-dakziNAm // 2.27 //
   dīnā1ndha-kṛpaṇebhyaś ca $ sarvāsām upakalpayet &	dIna-a1nDa--kRpaNeByaH ca $ sarvAsAm upakalpayet &
   sarva-bhakṣyā1nna-pānā3dyair % aniṣiddhaṃ ca bhojanam // 2.28 //	sarva--BakzyA1nna-pAnA3dyEH % anizidDam ca Bojanam // 2.28 //
   kalpayed āgatānāṃ ca $ bhūtebhyaś ca baliṃ haret &	kalpayet AgatAnAm ca $ BUteByaH ca balim haret &
   rātrau mātṛ-gaṇānāṃ ca % baliṃ dadyād viśeṣataḥ // 2.29 //	rAtrO mAtR--gaNAnAm ca % balim dadyAt viSezataH // 2.29 //
   evaṃ yaḥ sthāpayel liṅgaṃ $ tasya puṇya-phalaṃ śṛṇu &	evam yaH sTApayet liFgam $ tasya puNya-Palam SRNu &
   kula-triṃśakam uddhṛtya % bhṛtyaiś ca parivāritaḥ // 2.30 //	kula-triMSakam udDRtya % BRtyEH ca parivAritaH // 2.30 //
   kalatra-putra-mitrā3dyaiḥ $ sahitaḥ sarva-bāndhavaiḥ &	kalatra-putra-mitrA3dyEH $ sahitaH sarva--bAnDavEH &
   vimucya pāpa-kalilaṃ % śiva-lokaṃ vrajen naraḥ \	vimucya pApa--kalilam % Siva-lokam vrajet naraH \
   tatra bhuktvā mahā-bhogān # pralaye muktim āpnuyāt // 2.31 //	tatra BuktvA mahA-BogAn # pralaye muktim ApnuyAt // 2.31 //
   // iti śivopaniṣadi liṅgāyatanādhyāyo dvitīyaḥ //	// iti Siva-upanizadi liFga-Ayatana-aDyAyaH dvitIyaH //
   athā7nyair alpa-vittaiś ca $ nṛpaiś ca śiva-bhāvitaiḥ &	aTa-a7nyEH alpa-vittEH ca $ nRpEH ca Siva--BAvitEH &
   śaktitaḥ svā3śrame kāryaṃ % śiva-śānti-gṛha-dvayam // 3.1 //	Saktitas svA3Srame kAryam % Siva--SAnti-gRha--dvayam // 3.1 //
   gṛhasye8śāna-dig-bhāge $ kāryam uttarato 'pi vā &	gRhasye8-SAna-dig-BAge $ kAryam uttaratas api vA &
   khātvā bhūmiṃ samuddhṛtya % śalyān ākoṭya yatnataḥ // 3.2 //	KAtvA BUmim samudDRtya % SalyAn Akowya yatnatas // 3.2 //
   śiva-deva-gṛhaṃ kāryam $ aṣṭa-hasta-pramāṇataḥ &	Siva-deva--gRham kAryam $ azwa--hasta--pramANataH &
   dakṣiṇo1ttara-dig-bhāge % kiṃcic dīrghaṃ prakalpayet // 3.3 //	dakziNaH-1ttara--dig-BAge % kiMcid dIrGam prakalpayet // 3.3 //
   hasta-mātra-pramāṇaṃ ca $ dṛḍha-paṭṭa-catuṣṭayam &	hasta--mAtra--pramANam ca $ dRXa--pawwa--catuzwayam &
   catuṣ-koṇeṣu saṃyojyam % arghya-pātrā3di-saṃśrayam // 3.4 //	catuz--koNezu saMyojyam % arGya--pAtrA3di-saMSrayam // 3.4 //
   garbha-madhye prakurvīta $ śiva-vediṃ suśobhanām &	garBa--maDye prakurvIta $ Siva-vedim su-SoBanAm &
   udagarvāk cchritāṃ(?) kiṃcic % catuḥ-śīrṣaka-saṃyutām // 3.5 //	udagarvAk cCrita-aM(?) kiMcid % catur--SIrzaka--saMyutAm // 3.5 //
   tri-hastāyām avistārām $ ṣoḍaśā1ṅgulam ucchritām &	tri-hastAyAm avistArAm $ zoxaSa-a1Fgulam ucCritAm &
   tac-chīrṣāṇī7va hastā1rdham % āyāmād vistareṇa ca // 3.6 //	tac-SIrzANI7va hasta-a1rDam % AyAmAt vistareNa ca // 3.6 //
   śiva-sthaṇḍilam ity etac $ catur-hastaṃ samaṃ śiraḥ &	Siva-sTaNxilam iti etat $ catur-hastam samam SiraH &
   mūrti-naivedya-dīpānāṃ % vinyāsā1rthaṃ prakalpayet // 3.7 //	mUrti--nEvedya--dIpAnAm % vinyAsa-a1rTam prakalpayet // 3.7 //
   śaiva-liṅgena kāryaṃ syāt $ kāryaṃ maṇija-pārthivaiḥ &	SEva-liFgena kAryam syAt $ kAryam maNija--pArTivEH &
   sthaṇḍilā1rdhe ca kurvanti % vedim anyāṃ sa-vartulām // 3.8 //	sTaNxila-a1rDe ca kurvanti % vedim anyAm sa-vartulAm // 3.8 //
   ṣoḍaśā1ṅgulam utsedhāṃ $ vistīrṇāṃ dvi-guṇena ca &	zoxaSa-a1Fgulam utseDAm $ vistIrNAm dvi-guNena ca &
   gṛhe na sthāpayec chailaṃ % liṅgaṃ maṇijam arcayet // 3.9 //	gRhe na sTApayet SElam % liFgam maNijam arcayet // 3.9 //
   tri-saṃdhyaṃ pārthivaṃ vā9pi $ kuryād anyad dine-dine &	tri-saMDyam pArTivam vA9pi $ kuryAt anyat dine-dine &
   sarveṣām eva varṇānāṃ % sphāṭikaṃ sarva-kāma-dam // 3.10 //	sarvezAm eva varNAnAm % sPAwikam sarva-kAma-dam // 3.10 //
   sarva-doṣa-vinirmuktam $ anyathā doṣam āvahet &	sarva--doza--vinirmuktam $ anyaTA dozam Avahet &
   āyuṣmān balavāñ śrīmān % putravān dhanavān sukhī // 3.11 //	AyuzmAn balavAn SrImAn % putravAn DanavAn suKI // 3.11 //
   varam iṣṭaṃ ca labhate $ liṅgaṃ pārthivam arcayan &	varam izwam ca laBate $ liFgam pArTivam arcayan &
   tasmād dhi pārthivaṃ liṅgaṃ % jñeyaṃ sarvā1rtha-sādhakam // 3.12 //	tasmAt Di pArTivam liFgam % jQeyam sarva-a1rTa--sADakam // 3.12 //
   nirdoṣaṃ sulabhaṃ caiva $ pūjayet satataṃ budhaḥ &	nirdozam sulaBam ca-eva $ pUjayet satatam buDaH &
   yathā yathā mahā-liṅgaṃ % pūjā śraddhā yathā yathā // 3.13 //	yaTA yaTA mahA--liFgam % pUjA SradDA yaTA yaTA // 3.13 //
   tathā tathā mahat puṇyaṃ $ vijñeyam anurūpataḥ &	taTA taTA mahat puNyam $ vijQeyam anurUpatas &
   pratimā-liṅga-vedīṣu % yāvantaḥ paramā1ṇavaḥ \	pratimA-a-liFga-vedIzu % yAvantaH parama-a1NavaH \
   tāvat-kalpān mahā-bhogas # tat-kartā0ste śive pure // 3.14 //	tAvat--kalpAn mahA-BogaH # tat-kartA0H-te Sive pure // 3.14 //
   // iti śivopaniṣadi śivagṛhādhyāyas tṛtīyaḥ //	// iti Siva-upanizadi Siva-gRha-aDyAyaH tRtIyaH //
   athai1kabhinnā1vicchinnaṃ $ purataḥ śānti-maṇḍapam &	aTa-e1ka-BinnA1-vicCinnam $ puratas SAnti-maNxapam &
   pūrvā1parā1ṣṭa-hastaṃ syād % dvādaśo1ttara-dakṣiṇe // 4.1 //	pUrvA1-parA1zwa-hastam syAt % dvAdaSo1ttara--dakziNe // 4.1 //
   tad dvāra-bhitti-saṃbaddhaṃ $ kapi-cchuka-samāvṛtam &	tat dvAra-Bitti--saMbadDam $ kapi-cCuka--samAvRtam &
   paṭa-dvayaṃ bhavet sthāpya % sruvā3dy-āvāra-hetunā // 4.2 //	pawa--dvayam Bavet sTApya % sruvA3di--AvAra--hetunA // 4.2 //
   dvāraṃ triśākhaṃ vijñeyaṃ $ navaty-aṅgulam ucchritam &	dvAram tri-SAKam vijQeyam $ navati--aFgulam ucCritam &
