   śrīrāmajayam	SrI-rAma-jayam
   pārārthyātparibhāṣāpyucyate/ kaścitparibhāṣārūpa iti kaiyaṭaḥ/ dīpo yathā	pArArTyAt-pariBAzA-api-ucyate/ kaScid-pariBAzA-rUpaH iti kEyawaH/ dIpaH yaTA
   - prabhādvārā sarvagṛhaprakāśaka evametatsvabuddhijananadvārā	 praBA-dvArA sarva-gRha-prakASakaH evam-etat-sva-budDi-janana-dvArA
   sarvaśāstropakārakamiti tattātparyam/ etacca pakṣadvaya sādhāraṇaṃ	sarva-SAstra-upakArakam-iti tat-tAt-paryam/ etat-ca pakza-dvaya sADAraNam
   bhāṣyam, pakṣadvaye 'pi pradeśaikavākyatayā itaḥ pratīteḥ//	BAzyam, pakza-dvaye api pradeSa-eka-vAkya-tayA itas pratIteH//
   tatraitāvān viśeṣaḥ - yatoddeśe parbhāṣādeśe	tatra-etAvAn viSezaH  yata-uddeSe parBAzA-deSe
   sarvavidhisūtrabuddhāvātmabhedaṃ parikalpya tairekavākyatayā paribhāṣāṇām/	sarva-viDi-sUtra-budDO=-Atma-Bedam parikalpya tEH-eka-vAkya-tayA pariBAzANAm-/
   taduktam - 'kiṅiti ca' iti sūtre kaiyaṭe/ 'yatoddeśe	tat-uktam  akiFiti ca-a iti sUtre kEyawe/ ayata-uddeSe
   pradhānānyātmasaṃskārāya sannidhīyamānāni guṇabhedaṃ prayuñjata'iti/	praDAnAni-Atma-saMskArAya sanniDIyamAnAni guNa-Bedam prayuQjata-aiti/
   kāryakāle tu tattadvidhipradeśe paribhāṣābuddhyaikavākyateti/ atra	kArya-kAle tu tad-tad-viDi-pradeSe pariBAzA-budDyA-eka-vAkyatA-iti/ atra
   ekadeśastha ityanena tatra tatra buddhāvapi taddeśasthatvaṃ vārayati,	eka-deSa-sTaH iti-anena tatra tatra budDO=-api tad-deSa-sTa-tvam vArayati,
   yathā - vyavaharttṝṇāṃ kāryārthamanekadeśagamane 'pi na	yaTA  vyavaharttLNAm kArya-arTam-aneka-deSa-gamane api na
   tattaddeśīyatvavyavahāraḥ, kintvabhijanadeśīyatva vyavahāra eva,	tat-tad-deSIya-tva-vyavahAraH, kintu-aBijana-deSIya-tva vyavahAraH eva,
   tadvanniṣedhavākyānāmapi niṣedhyaviśeṣākāṅkṣatvādvidhyekavākyatayaivānvaya	tadvat-nizeDa-vAkyAnAm-api nizeDya-viSeza-AkAFkza-tvAt-viDi-eka-vAkya-tayA-eva-anvaya
   iti paribhāṣāsādṛśyātparibhāṣātvena vyavahāraḥ 'kiṅiti ca' ityatra bhāṣye/	iti pariBAzA-sAdRSyAt-pariBAzA-tvena vyavahAraH akiFiti ca-a iti-atra BAzye/
   tatraikavākyatā paryudāsena prasajya pratiṣedhe 'pi tena saha	tatra-eka-vAkyatA paryudAsena prasajya pratizeDe api tena saha
   vākyārthabodhamātreṇaikavākyatā vyavahāraḥ//	vAkya-arTa-boDa-mAtreNa-eka-vAkya-tA vyavahAraH//
   saṃjñāśāstrasya tu kāryakālapakṣe na pṛthakvākyārthabodhaḥ, kintu	saMjQA-SAstrasya tu kArya-kAla-pakze na pRTakvAkya-arTa-boDaH, kintu
   pradeśavākyena sahaiva/ ata evāṇo	pradeSa-vAkyena saha-eva/ atas eva-aNaH-
   'pragṛhyasyetyetadekavākyatāpannādasomādityetatprati na mutvādyasiddham,	apragRhyasya-iti-etat-eka-vAkyata-ApannAda-somAt-iti-etat-prati na mutvA-Adi-asidDam,
   asiddhatvasya kāryārthatayā kāryajñānottarameva tatpravṛttiḥ, kāryajñānaṃ	asidDa-tvasya kArya-arTa-tayA kArya-jQAna-uttaram-eva tad-pravRttiH, kArya-jQAnam
   ca pradeśa eveti taddeśasthāsiddhatvātpūrvagrahaṇenāgrahāt/ evaṃ	ca pradeSaH eva-iti tad-deSa-sTA-sidDa-tvAt-pUrva-grahaNena-agrahAt/ evam
   tadbodhottarameva virodhapratisandhānañceti tatratyaparatvena	tat-boDa-uttaram-eva viroDa-pratisanDAnaQca-iti tatratya-paratvena
   vipratiṣedhasūtrapravṛttau bījam/ ata eva kāryakālapakṣe"ayādibhyaḥ	vipratizeDa-sUtra-pravRttO bIjam/ atas eva kArya-kAla-pakze"aya-AdiByaH
   paraiva pragṛhya saṃjñā"iti 'adasomāt'	parA-eva pragRhya saMjQA"-iti aadasomAt-a
   iti sūtre bhāṣya uktam//	iti sUtre BAzya uktam//
   ākaḍārādhikārasthabhapadasaṃjñāviśaye tu yathoddeśapakṣa eveti	AkaxAra-aDikAra-sTa-Bapada-saMjQA-viSaye tu yaToddeSa-pakzaH eva-iti
   tatratyaparatvenaiva bādhyabhādhakabhāvaḥ/ padādisaṃjñanāṃ tatra	tatratya-paratvena-eva bADya-BADaka-BAvaH/ pada-Adi-saMjQanAm tatra
   jātaśaktigrahaṇeva tripādyamapi vyavahāraḥ/ ata eva pūrvatrāsiddhamiti	jAta-Sakti-grahaNA-iva tripAdyam-api vyavahAraH/ atas eva pUrvatra-asidDam-iti
   sūtre paribhāṣāṇāmevatripādyāmapravṛttimāśaṅkya, kāryakālapakṣāśrayeṇa	sUtre pariBAzANAm-eva-tripAdya-Am-a-pravRttim-ASaFkya, kArya-kAla-pakza-ASrayeNa
   samāhitamityāhuḥ/ yathoddeśapakṣaḥ pragṛhyasaṃjñāprakaraṇe bhāṣye//	samAhitam-iti-AhuH/ yaTA-uddeSa-pakzaH pragRhya-saMjQA-prakaraNe BAzye//
   kāryakālamityasya ca kāryeṇa kālyate svasannidhiṃ prāpyata ityarthaḥ/	kArya-kAlam-iti-asya ca kAryeNa kAlyate sva-sanniDim prApyate iti-arTaH/
   kāryeṇa svasaṃskārāya svavṛttiliṅgacinhitaparibhāṣāṇāmākṣepa iti yāvat/	kAryeNa sva-saMskArAya sva-vRtti-liFga-cinhita-pariBAzANAm-AkzepaH iti yAvat-/
   ata eva 'pūrvatrāsiddham' iti sūtre bhāṣye tripādyā asiddhatvāttatra	atas eva apUrvatra-asidDam-a iti sUtre BAzye tripAdyAH asidDa-tvAt-tatra
   sapādasaptādyāyīstha paribhāṣāṇāṃ apravṛttimāśaṅkya yadyapīdaṃ	sa-pAda-saptAdyAyI-sTa pariBAzANAm apravRttim-ASaFkya yadi-api-idam
   tatrāsiddhaṃ tatviha siddhamityuktvā, tāvatāpyasiddhirityabhiprāyake	tatra-asidDam tatu-iha sidDam-iti-uktvA, tAvatA-api-asidDiH-iti-aBiprAyake
   kathamiti praśne-'kāryakālaṃ saṃjñāparibhāṣam' yatra kāryaṃ tatropasthitaṃ	kaTam-iti praSne--akArya-kAlam saMjQA-pariBAzama yatra kAryam tatra-upasTitam
   draṣṭavyamityuktam/	drazwavyam-iti-uktam/
   na ca kāryakāla pakṣe 'ṅamo hrasvāt' ityadau ' tasmādityuttarasya'	na ca kArya-kAla pakze aFamaH hrasvAt-a iti-adO a tasmAt-iti-uttarasya-a
   'tasminnitinirdiṣṭe pūrvasya' iti paribhāṣādvayopasthitau paratvāt	atasmin=-iti-nirdizwe pUrvasya-a iti pariBAzA-dvaya-upasTitO paratvAt-
   'ubhayanirdeśe pañcamīnirdeśo balīyān' iti tasminniti	auBaya-nirdeSe paQcamI-nirdeSaH balIyAn-a iti tasmin=-iti
   sūtrasthabhāṣyāsaṅgatiḥ, ubhayorekadeśasthatvena	sUtra-sTa-BAzyA-saFgatiH, uBayoH-eka-deSa-sTa-tvena
   paratvādityasyāsaṅgatyāratteḥ, spaṣṭaṃ cedam 'ikoguṇa' ityatra kaiyaṭa iti	paratva-Adityasya-asaFga-tyAratteH, spazwam ca-idam aikoguNa-a iti-atra kEyawaH iti
   vācyam ;	vAcyam ;
   vipratiṣedhasūtre 'ṣṭādhyāyīsthapāṭhakṛtaparatvasya''śrayaṇenādoṣāt/ nahi	vipratizeDa-sUtre azwa-aDyAyI-sTa-pAWa-kRta-paratvasya-aaSrayaNena-AdozAt/ na-hi
   kāryakālapakṣa ityetāvatā tadapaiti/ pakṣadvaye 'pi pradeśeṣu	kArya-kAla-pakzaH iti-etAvatA tad-apEti/ pakza-dvaye api pradeSezu
   svabuddhijananenāviśeṣāt/ nahi tatpakṣe 'pyacetanasya śāstrasya svadeśaṃ	sva-budDi-jananena-aviSeza-at/ na-hi tat-pakze api-acetanasya SAstrasya sva-deSam
   vihāya taddeśagamanaṃ sambhavati/ nāpyasmadādibuddhijananena svadeśatyāgo	vihAya tad-deSa-gamanam samBavati/ na-api-asmad-Adi-budDi-jananena sva-deSa-tyAgaH-
   bhavati/ ata eva bhāṣye tasminniti sūtre kaiyaṭaḥ - sūtra pāṭhāpekṣayā	Bavati/ atas eva BAzye tasmin=-iti sUtre kEyawaH  sUtra pAWA-apekzayA
   paratvasya vyavasathāpakatvamiti/ ikoguṇeti sūtrastha kaiyaṭastu tintya	paratvasya vyavasaTApaka-tva-miti/ ikaH-guNa-iti sUtra-sTa kEyawaH-tu tintya
   eva ; anyathā sarvaśāstrāṇāṃ prayogārthatvena prayogarūpaikadeśastvena	eva ; anyaTA sarva-SAstrANAm prayoga-arTa-tvena prayoga-rUpa-eka-deSaH-tu-ena
   kvāpi paratvaṃ nasyāt/ kiñca kiṅiti ceti sūtrastha kaiyaṭarītyā	kvApi paratvam nasya-at/ kiQca kiF-iti ca-iti sUtra-sTa kEyawarItyA
   vidhisūtrāṇāṃ yathoddeśa pakṣe paribhāṣādeśe sannidhānena teṣāṃ paratvaṃ	viDi-sUtrANAm yaToddeSa pakze pariBAzA-deSe sanniDAnena tezAm para-tvam
   vyāhanyeta/ evañca vṛkṣebhya ityatra supicetyataḥ paratvāt 'bahuvacane	vyAhanyeta/ evaQca vRkzeByaH iti-atra su-pica-iti-atas paratvAt abahuvacane
   jhalyet' ityetvamityādyucchidyeta, ityalam//	Jalyet-a iti-etvam-iti-Adi-ucCidyeta, iti-alam//
   itsaṃjñakā anubandhāḥ, teṣvavayavānavayavatvasandeha āha-	id-saMjQakAH anubanDAH, tezu-avayava-an-avayava-tva-sandehaH Aha-
   anekāntāḥ anubandhāḥ // Paribh_3 //	anekAntAH anubanDAH // PariB_3 //
   anekāntā anavayavāḥ ityarthaḥ/ yo hyanavayava sa kadācittatropalabhyata	anekAntAH anavayavAH iti-arTaH/ yaH hi-anavayava sa kadAcid-tatra-upalaByata
   eva, ayaṃ tu na tathā, tadarthabhūte vidheye kadāpyadarśanāt/	eva, ayam tu na taTA, tad-arTa-BUte viDeye kadApi-adarSanAt/
   śitkidityādau samīpe 'vayavatvāropeṇa samāso bodhyaḥ/ 'vuṇchaṇkaṭh'	Sitkiditi-AdO samIpe avayava-tva-AropeNa samAsaH boDyaH/ avuNCaNkaW-a
   ityādau ṇitvaprayuktaṃ kāryaṃ pūrvasayaivetyādi tu vyākhyānate nirṇeyam/	ityAdO Nitva-prayuktam kAryam pUrvasayA-eva-ityAdi tu vyAKyAnate nirNeyam/
   'halantyam' ityatrāntya śabdaḥ parasamīpa bodhakaḥ//	ahalantyam-a iti-atra-antya SabdaH para-samIpa boDakaH//
   vastutasttu-	vastutas-ttu-
   ekāntāḥ // Paribh_4 //	ekAntAH // PariB_4 //
   ityeva nyāyyam, śāstre tatropalambhādanyatrānupalambhācca/ anavayavo hi	iti-eva nyAyyam, SAstre tatra-upalamBAt-anyatra-anupalamBAt-ca/ anavayavaH hi
   kākādirekajātīyasambandhena gṛhavṛkṣādiṣūpalabhyate/ naivamayam/ evaṃ hi	kAkAdiH-eka-jAtIya-sambanDena gRha-vRkza-Adizu-upalaByate/ na-evam-ayam/ evam hi
   bahuvrīhirapi nyāyata evopapannaḥ, antyādi śabde lakṣaṇā ca na//	bahuvrIhiH-api nyAyate eva-upapannaH, antyAdi Sabde lakzaNA ca na//
   kiñca anavayavatve ṇaśakapratyādau ṇāderitvānāpattiḥ, pratyayāditvābhāvāt,	kiQca anavayava-tve NaSaka-pratyAdO Na-AdeH-itvA-anApattiH, pratyaya-At-i-tva-aBAvAt,
   dadhnacaścakārasya vaiyyarthyāpattiśca/ idañca 'tasyalopaḥ' ityatra bhāṣye	daDna-caH-cakArasya vEyyarTya-ApattiH-ca/ idaQca atasya-lopaH-a iti-atra BAzye
   spaṣṭam/ tatra hyuktam,"ekāntāḥ anubandhāḥ"ityeva nyāyyamiti dik//	spazwam/ tatra hi-uktam-,"ekAntAH anubanDAH"iti-eva nyAyyam-iti dik//
   nanvekāntatve 'nekāltvādeva auśādīnāṃ sarvādeśatva siddhyā 'anekāl' sūtre	nanu-ekAnta-tve anekAltvAt-eva OSA-AdInAm sarva-AdeSa-tva sidDyA aanekAla sUtre
   śidgrahaṇaṃ vyarthamata āha -	Sit-grahaNam vyarTam-atas Aha -
   nānubandhakṛtamanekāltvam // Paribh_5 //	na-anubanDa-kRtam-anekAltvam // PariB_5 //
   śidgrahaṇamevaitadjñāpakam, tena 'arvaṇastṛ' ityāderna sarvādeśatvam/ ḍādi	Sit-grahaNam-eva-etat-jQApakam, tena aarvaNaH-tR-a iti-AdeH-na sarva-AdeSa-tvam/ xAdi
   viṣaye tu sarvādeśatvaṃ vinānubandhatvasyaivābhāvena''nupūrvyātsiddham//	vizaye tu sarva-AdeSa-tvam vinA-anubanDa-tvasya-eva-aBAvena-aanupUrvyAt-sidDam//
   nanvevamapi 'avadātaṃ mukham' ityatra palopottaramātve kṛte 'dābiti	nanu-evam-api aavadAtam muKam-a iti-atra pala-upottara-mAtve kRte adAbiti
   ghusaṃjñāpratiṣedho na syāt, daipaḥ pakārasatve 'nejantatvāprāptyā	Gu-saMjQA-pratizeDaH na syAt, dEpaH pakAra-satve anejanta-tva-aprAptyA
   palopottaraṃ pakārābhāvenāsya dāptvābhāvādata āha -	pala-upottaram pakAra-aBAvena-asya dAptvA-aBAvAt-atas Aha -
   nānubandhakṛtamanejamtatvam // Paribh_6 //	na-anubanDa-kRta-manejamta-tvam // PariB_6 //
   'udīcāmāṅaḥ' iti nirdeśo 'syā jñāpakaḥ/ 'ādeca upajeśe' iti	audIcA-mAFaHa iti nirdeSaH asyAH jQApakaH/ aAdeca upajeSe-a iti
   sūtreṇopadiśyamānasyaijantasyātvaṃ kriyate,	sUtreNa-upadiSyamAnasya-EjantasyAtvam kriyate,
   ṅakārasatvetvejantatvābhāvādātvāprāptestasyāsaṅgatiḥ//	FakA-ra-sa-tvetu-ejanta-tva-aBAvAH-t-Atva-aprApteH-tasya-asaFgatiH//
   na cāsyāmavasthāyāṃ tasya dhātutvābhāvātkathamātvam, tatra dhātorityasya	na ca-asyAm-avasTAyAm tasya DAtu-tva-aBAvAt-kaTam-Atvam, tatra DAtoH-iti-asya
   nivṛtterityanyatra vistaraḥ/ spaṣṭañcedam"dādhāghvadāp"iti sūtre bhāṣye//	nivRtteH-iti-anyatra vistaraH/ spazwaQca-idam"da-ADAGvat-A-ap"iti sUtre BAzye//
   nanvevamapi 'vāsarūpa' sūtreṇa kaviṣaye 'ṇopyāpattirityata āha-	nanu-evam-api avAsa-rUpa-a sUtreNa kavizaye aNopyApattiH-iti-atas Aha-
   nānubandhakṛtamasārūpyam // Paribh_7 //	na-anubanDa-kRtam-asArUpyam // PariB_7 //
   'dadātidadhātyorvibhāṣā' iti ṇabādhakaśasya vikalpavidhāyakamasyāṃ	adadAti-daDAti-oH-viBAzA-a iti Na-bADakaSasya vikalpa-viDAyakam-asyAm
   jñāpakam, tena 'godaḥ' ityādau nāṇiti 'vāsarūpa' sūtre bhāṣye spaṣṭam//	jQApakam, tena agodaH-a ityAdO na-aNiti avAsa-rUpa-a sUtre BAzye spazwam//
   nanu saṃkhyāgrahaṇe bahvādīnāmeva grahaṇaṃ syāt,	nanu saMKyA-grahaNe bahu-AdInAm-eva grahaNam syAt-,
   prakaraṇasyābhidhāniyāmakatvasiddhāt 'kṛtrimākṛtrimayoḥ kṛtrime	prakaraNasya-aBiDAni-yAmaka-tva-sidDAt akRtrima-akRtrimayoH kRtrime
   kāryasampratyayaḥ' iti nyāyāt/ asti ca prakṛte bahvādīnāṃ	kArya-sampratyayaH-a iti nyAyAt/ asti ca prakRte bahu-AdInAm
   saṅkhyāsaṃjñākṛteti jñānarūpaṃ prakaraṇam, natu	saFKyA-saMjQA-kRtA-iti jQAna-rUpam prakaraNam, na-tu
   lokaprasiddhaikadvyādīnāmityata āha -	loka-prasidDa-eka-dvi-AdInAm-iti-atas Aha -
   ubhayagatiriha bhavati // Paribh_8 //	uBaya-gatiH-iha Bavati // PariB_8 //
   ihauśāstre/ 'saṅkhyāyāḥ atiśadantāyāḥ' iti niṣedho 'syā jñāpakaḥ/ na hi	iha-OSAstre/ asaFKyAyAH ati-Sat-antAyAH-a iti nizeDaH asyAH jQApakaH/ na hi
   kṛtrimā saṅkhyā tyantā śadantā vāsti, tena 'kartari kartarikarmavyatihāre'	kRtrimA saFKyA tyantA SadantA vAsti, tena akartari kartari-karma-vyatihAre-a
   'kaṇvameghebhyaḥ karaṇe' 'vipratiṣiddhaṃ cānadhikaraṇe' ityādau	akaNva-meGeByaH karaNe-a avipratizidDam ca-anaDikaraNe-a iti-AdO
   laukikakriyādravyādyavagatiḥ/ tatra kvobhaya gatiḥ, kvākṛtrimasyaiva, kva	lOkika-kriyA-dravya-Adi-avagatiH/ tatra kva-uBaya gatiH, kva-akRtrimasya-eva, kva
   kṛtrimasyaivetyatra lakṣyānusāri vyākhyānameva śaraṇam/ ata eva āmreḍita	kRtrimasya-eva-iti-atra lakzya-anusAri vyAKyAnam-eva SaraNam/ atas eva Amrexita
   śabdena kṛtrimasyaiva grahaṇaṃ na tu dvistrirghuṣṭamātrasya/ spaṣṭañcedaṃ	Sabdena kRtrimasya-eva grahaNam na tu dvis-tris-Guzwa-mAtrasya/ spazwaQca-idam
   saṅkhyā saṃjñā sūtre bhāṣye/	saFKyA saMjQA sUtre BAzye/
   yattu - saṃjñāśāstrāṇāṃ macchāstre 'nena śabdenaita eveti niyamārthatvaṃ	yat-tu  saMjQA-SAstrANAm mad-SAstre anena Sabdena-ete eva-iti niyama-arTa-tvam
   kṛtrimākṛtrima nyāyabījamiti/ tanna ; teṣāmagṛhītaśaktigrāhakatvena	kRtrimA-kRtrima nyAya-bIjam-iti/ tat-naH ; tezAm-agRhIta-Sakti-grAhaka-tvena
   vidhitve sambhavati, niyamatvāyogāt/ 'sarve sarvārtha vācakāḥ'	viDi-tve samBavati, niyama-tva-ayogAt/ asarve sarva-arTa vAcakAH-a
   ityabhyupagamo 'pi yogidṛṣṭyā, natvasmaddṛṣṭyā, viśiṣya	iti-aByupagamaH api yogi-dRzwyA, na-tu-asmad-dRzwyA, viSizya
   sarvaśabdārthajñanasyāśakyatvāt/ sāmāmyajñānaṃ tubhodhopayogītyanyatra	sarva-Sabda-arTa-jQanasya-aSakya-tva-at/ sAmAmya-jQAnam tuBoDA-upayogI-iti-anyatra
   nirūpitam//	nirUpitam//
   nanu 'adhyetā' 'śayitā' ityādāviṅśīṅorṅitvād guṇaniṣedhaḥ syādata āha -	nanu aaDyetA-a aSayitA-a ityAt-AviFSIFA-UH-Fi-tvAt guNa-nizeDaH syAt-atas Aha -
   kāryamanubhavanhi kāryī nimittatayā nāśrīyate // Paribh_9 //	kAryam-anuBavan-hi kAryI nimitta-tayA na-ASrIyate // PariB_9 //
   'sthaṇḍilācchayitari' iti nirdeśaścāsyāṃ jñāpakaḥ/ 'ūrṇunaviṣati' ityādi	asTaNxilAt-Sayitaria iti nirdeSaH-ca-asyAm jQApakaH/ aUrNuna-vizati-a ityAdi
   siddhaye kāryamanubhavanniti/ atra hi 'dvirvacane 'ci' iti nu śabdasya	sidDaye kAryam-anuBavat-niti/ atra hi advirvacane aci-a iti nu Sabdasya
   dvitvam, anyathā 'sanyaṅoḥ' ityasya ṣaṣṭyantatvātsannantasya kāryitvena	dvi-tvam, anyaTA asanyaFoH-a iti-asya zazwi-anta-tvAt-sannantasya kAryitvena
   iso dvitvanimittatvābhāvāttatpravṛttirna syāt/	isaH dvi-tva-nimitta-tva-aBAvAt-tad-pravRttiH-na syAt-/
   vastutaḥ - samavāyikāraṇa nimittakāraṇayorbhadasya	vastutas  samavAyikAraNa nimitta-kAraNayoH-Badasya
   sakalalokatantraprasiddhatayā tasya tatvenā'śrayaṇābhāvena naiṣā	sakala-loka-tantra-prasidDa-tayA tasya tatvenA-aSrayaNa-aBAvena na-ezA
   jñāpakasādhyā/ ata eva haḥ prayuktaḥ/ sa hi tatvenānāśrayaṇe hetoḥ	jQApaka-sADyA/ atas eva haH prayuktaH/ sa hi tatvena-anASrayaNe hetoH
   prasiddhatvaṃ dyotayatīti tatvam/ 'dvirvacane 'ci' ityatra bhāṣye	prasidDa-tvam dyotayati-iti tatvam/ advirvacane aci-a iti-atra BAzye
   dhvanitaiṣā//	DvanitA-ezA//
   nanu 'praṇidāpayati' ityādau dārūpasya vidhīyamānā ghusaṃjñā	nanu apraNidApayati-a ityAdO dArUpasya viDIyamAnA Gu-saMjQA
   dāpernasyādata āha -	dApeH-nasya-Adatas Aha -
   yadāgamāstadguṇībhūtāstadgrahaṇena gṛhyante // Paribh_10 //	yad-AgamAH-tad-guNIBUtAH-tad-grahaNena gRhyante // PariB_10 //
   yamuddiśyā'gamo vihitaḥ, sa tadguṇībhūtaḥ śāstreṇa tadavayavatvena bodhito	yam-uddiSyA-agamaH vihitaH, sa tad-guNIBUtaH SAstreNa tad-avayava-tvena boDitaH-
   'tastadgrahaṇena tadgrāhakena tadbodhakena śabdhena gṛhyate bodhyata	atas-tad-grahaNena tad-grAhakena tat-boDakena SabDena gRhyate boDyata
   ityarthaḥ/ tatra tadguṇībhūtā ityaṃśo bījakathanam/ loke 'pi	iti-arTaH/ tatra tad-guNIBUtAH iti-aMSaH bIja-kaTanam/ loke api
   devadattasyāṅgādhikye tadviśiṣṭasyaiva devadattagrahaṇena grahaṇaṃ	devadattasya-aFga-ADikye tad-viSizwasya-eva deva-datta-grahaNena grahaNam
   dṛśyate/	dRSyate/
   yamuddiśya vihita ityukteḥ 'pranidārayati' ityādau na dārityasya ghutvam/	yam-uddiSya vihitaH iti-ukteH apranidArayati-a ityAdO na dArityasya Gutvam-/
   'ānemuk' iti mugvidhānasāmarthyādeṣānityā/ anyathā 'pacamānaḥ'	aAnemuk-a iti mugviDAna-sAmarTyA-deza-anityA/ anyaTA apacamAnaH-a
