   Paṇḍitāśokaviracitā	PaNxita aSoka viracitA
   tathāvidhapratyayotpādaprasaṅgo durvvārapracāraḥ / kriyopakārāpekṣāṇāṃ	taTAviDa pratyaya utpAda prasaFgaH durvvAra pracAraH / kriyA upakAra apekzANAm
   svalakṣaṇānāṃ sāmānyavyañjakatvādayamadoṣa iti cet / naitadasti /	sva lakzaNAnAm sAmAnya vyaQjaka tvAt ayam adozaH iti ced / na etat asti /
   nityānāmanādheyātiśayatayānupakāriṇi sahakāriṇyapekṣāyogāt / sātiśayatve	nityAnAm anADeya atiSaya tayA anupakAriNi saha kAriNI apekzA yogAt / sa atiSaya tve
   vā pratikṣaṇaṃ viśarārūśarīratvāt kriyā kuta iti doṣoduṣpariharaḥ /	vA pratikzaNam viSarArU SarIra tvAt kriyA kutas iti doza uduzpari haraH /
   kriyānibandhanatvāt pācakeṣvanugatākārapratyayasya nānaikāntikatādoṣa	kriyA nibanDana tvAt pAcakezu anugata AkAra pratyayasya nAnA ekAntika tA doza
   ityapi vārttaṃ / pratibhedaṃ bhidyamānānāṃ karmmaṇāṃ tannibandhanatvāyogāt	iti api vArttam / pratiBedam BidyamAnAnAm karmmaNAm tad nibanDanatva ayogAt
   / bhinnānāmapyabhinnākārajñānanibandhanatve vyaktīnāmapi tathā bhāvo na	/ BinnAnAm api aBinna AkAra jQAna nibanDana tve vyaktInAm api taTA BAvaH na
   rāja daṇḍanivāritaḥ / tataśca sāmānyameva nopeyaṃ syāt / iti mūlaharaṃ	rAja daNxa nivAritaH / tatas ca sAmAnyam eva na upeyam syAt / iti mUla haram
   pakṣamāśrayatā devānāṃ priyeṇa suṣṭha anukūlamācaritaṃ / anenaiva nyāyena	pakzam ASrayatA devAnAm priyeNa suzWa anukUlam Acaritam / anena eva nyAyena
   kriyākārakasambandhamabhinnajñānanibandhanamupakalpayan pratikṣiptaḥ /	kriyA kAraka sambanDam aBinna jQAna nibanDanam upakalpayan pratikziptaH /
   pākakriyātvanibandhanaḥ pācakeṣvanugatākāraḥ pratyayastato	pAka kriyA tva nibanDanaH pAcakezu anugata AkAraH pratyayaH tatas 
   nānaikāntikatādoṣa ityapi na mantavyaṃ / nahyarthāntarasambandhinī	nAnA ekAntika tA dozaH iti api na mantavyam / na hi arTa antara sambanDinI
   jātirarthāntarapratyayotpattihetuḥ, atiprasaṅgāt / syādetat	jAtiH arTa antara pratyaya utpatti hetuH, atiprasaFgAt / syAt etat 
   samavetasamavāyasambandhabalāt pākakriyāsāmānyaṃ pācakeṣvabhinnākāraṃ	samaveta samavAya sambanDa balAt pAka kriyA sAmAnyam pAcakezu aBinna AkAram
   parāmarśapratyayamupajanayati tato na yathoktadoṣaḥ / tadidamapyasāraṃ /	parAmarSa pratyayam upajanayati tatas na yaTA ukta dozaH / tat idam api asAram /
   yat udayānantarāpavarjjitayā karmmaṇāmevāsambhavāt, vinaṣṭe karmmaṇi tat	yat udaya anantarApa varjjitayA karmmaNAm eva asamBavAt, vinazwe karmmaNi tat 
   sāmānyaṃ na karmmaṇi tadabhāvādeva nāpi karttarīti sambadvasambandhopyasya	sAmAnyam na karmmaNi tad aBAvAt eva na api karttarI iti sambadvasambanDa upyasya
   nāstīti nābhinnapratyayahetuḥ / tasmāt	na asti iti na aBinna pratyaya hetuH / tasmAt 
   sthitametattadanaikāntikatādoṣaduṣṭatvānnedamanumānaṃ	sTitam etat tat anEkAntika tA doza duzwa tvAt na idam anumAnam
   sāmānyasattvāsādhanāya paryyāptamiti / itaścāpi na	sAmAnya sattva asADanAya paryyAptam iti / itas ca api na
   sāmānyasattvāsādhanamidamanumānaṃ / yathaiva hi parasparāsaṅkīrṇasvabhāvā	sAmAnya sattva asADanam idam anumAnam / yaTA eva hi paraspara asaFkIrNa svaBAvA
   api śābaleyādayobhāvāḥ kayācideva tadekakāryyapratiniyamalakṣaṇayā	api SAbaleyAt ayaH BAvAH kayAcid eva tad eka kAryya pratiniyama lakzaNayA
   svahetubalāyātayā prakṛtyā tadekamabhimatamanugatarūpamupakurbbate,	sva hetu bala AyAtayA prakRtyA tat ekam aBimatam anugata rUpam upakurbbate,
   tadaparasāmānyāntaramantareṇānyathānavasthāprasaṅgāt / tathā tamekaṃ	tad apara sAmAnya antaram antareNa anyaTA anavasTA prasaFgAt / taTA tam ekam
   parāmarśapratyayamupajanayantu kimantarālagaḍunā vyatirekavatā	parAmarSa pratyayam upajanayantu kim antarAla gaxunA vyatirekavatA
   sāmānyenopagatena /	sAmAnyena upagatena /
   athocyate pratiniyataśaktayaḥ sarvvabhāvāḥ / etacca sāmānyāpalāpibhirapi	aTa ucyate pratiniyata SaktayaH sarvu aBAvAH / etat ca sAmAnya apalApiBiH api
   niyatamabhyupagamanīyaṃ anyathā kutaḥ śālivījaṃ śālyaṅkurameva janayati na	niyatam aByupagamanIyam anyaTA kutas SAlivIjam SAli aFkuram eva janayati na
   kodravāṅkuramiti / paraparyyanuyoge bhāvaprakṛtiṃ muktvā kimaparamiha	kodrava aFkuram iti / para paryyanuyoge BAva prakRtim muktvA kim aparam iha
   vacanīyamasti / etaccottaramasmākamapi na vanaukaḥkulakavalitaṃ, tathāhi	vacanIyam asti / etat ca uttaram asmAkam api na vanOkaH kula kavalitaM, taTA hi
   vayamapyevaṃ śaktā eva vaktuṃ sāmānyamevopakarttuṃ śaktivyaktīnāṃ	vayam api evam SaktAH eva vaktum sAmAnyam eva upakarttum Sakti vyaktInAm
   bhedāviśeṣe 'pi na tadekaṃ vijñānamupajanayitumiti / anuttaraṃ vata	Beda aviSeze api na tat ekam vijQAnam upajanayitum iti / anuttaram vata
   doṣasaṅkaṭamatrabhavān dṛṣṭidoṣeṇa praviśyamāno 'pi nātmānamātmanā	doza saFkawam atraBavAn dRzwi dozeNa praviSyamAnaH api na AtmAnam AtmanA
   sambedayate / tathāhi śālivījatadaṅkurayoradhyakṣānupalambhanibandhane	sambedayate / taTA hi SAli vIja tad aFkurayoH aDyakza anupalamBa nibanDane
   kāryyakāraṇabhāve 'vagate śālivījaṃ śālyaṅkuraṃ janayituṃ śaktaṃ na	kAryya kAraNa BAve avagate SAli vIjam SAli aFkuram janayitum Saktam na
   kodravāṅkuramiti śakyamabhidhātuṃ / naivaṃ	kodrava aFkuram iti Sakyam aBiDAtum / na evam
   sāmānyatadvatorupakāryyopakārakabhāvaḥ kutaścana pramāṇānniścitaḥ /	sAmAnya tadvata urupakAryya upakAraka BAvaH kutaScana pramANAn niScitaH /
   tatkathamidamuttaramabhidhīyamānamādadhīta	tat kaTam idam uttaram aBiDIyamAnam AdaDIta
   sādhimānamityalamalīkanirbandhanena / na sādhakapramāṇavirahamātreṇa	sa aDimAnam iti alam alIka nirbanDanena / na sADaka pramANa viraha mAtreNa
   prekṣāvatāmasadvyavahāraḥ /	prekzAvatAm asat vyavahAraH /
   tatastadabhāvasādhakamanumānamabhidhīyamānamasmābhirākalyatāṃ /	tatas tad aBAva sADakam anumAnam aBiDIyamAnam asmABiH Akalya tAm /
   yadyadupalabdhilakṣaṇaprāptaṃ sannopalabhyate tattadasaditi	yat yat upalabDi lakzaNa prAptam sanna upalaByate tat tat asat iti
   prekṣāvadbhirvyavaharttavyaṃ, yathāmbarāmburuhaṃ, nopalabhyate	prekzAvadBiH vyavaharttavyan, yaTA ambara amburuhan, na upalaByate
   copalabdhilakṣaṇaprāptaṃ sāmānyaṃ kvacidapīti svabhāvānupalabdhiḥ / na	ca upalabDi lakzaNa prAptam sAmAnyam kvacid api iti svaBAva anupalabDiH / na
   cātrāsidvidoṣodbhāvanayā pratyavasthātavyam / tathā hyatrāsidvirbhavantī	ca atra asi dvi doza udBAvanayA pratyavasTAtavyam / taTA hi atra asi dvirBavantI
   svarūpato viśeṣaṇato vā bhavet / tatra na tāvadādyaṃ sambhavati /	svarUpataH viSezaNataH vA Bavet / tatra na tAvat Adyam samBavati /
   anyopalambharupasyānupalambhasyābhyupagamāt / tasya ca	anya upalamBarupasya anupalamBasya aByupagamAt / tasya ca
   svasambedanapratyakṣasākṣātkṛtasvarūpatvāt kutaḥ svarūpāsidvadoṣāvakāśaḥ /	sva sambedana pratyakza sAkzAt kRta svarUpa tvAt kutas svarUpa asi dvadoza avakASaH /
   athocyate svasambedanameva na sambhavati / svātmani kriyāvirodhāt / na hi	aTa ucyate sva sambedanam eva na samBavati / sva Atmani kriyA viroDAt / na hi
   tayaivāsidhārayā saivāsidhārā cchidyate / tadebāṅgalyagraṃ	tayA eva asiDArayA sA eva asi DArA cCidyate / tad ebAFgalI agram
   tenaivāṅgulyagreṇa spṛśyate iti / ato 'sidva evāyaṃ hetuḥ / tadidaṃ	tena eva aFgulI agreNa spRSyate iti / atas asidvaH eva ayam hetuH / tat idam
   svasambedanaśabdārthā parijñānavijṛmbhatameva prakaṭayati vāvaḥ / tathāhi	sva sambedana Sabda arTA parijQAna vijRmBatam eva prakawayati vAvaH / taTA hi
   kalasakaladhautakuvalayādibhyo vyāvṛttaṃ vijñānamupajāyate / tena	kalasa kala DOta kuvalaya AdiByaH vyAvRttam vijQAnam upajAyate / tena
   bodharūpatayotpattirevāsya svasambittirucyate, prakāśavat / na	boDa rUpatayA utpattiH eva asya sva sambittiH ucyate, prakASa vat / na
   karmmakarttṛkriyābhāvāt / ekasyānaṃśarūpasya trairūpyānupapattitaḥ /	karmma karttR kriyA BAvAt / ekasya anaMSa rUpasya trErUpya anupapattitaH /
   yathaiva hi prakāśakāntaranirapekṣaḥ prakāśaḥ prakāśamāna ātmanaḥ	yaTA eva hi prakASaka antara nirapekzaH prakASaH prakASamAnaH AtmanaH
   prakāśaka ucyate / tathā jñānamapi jñānāntaranirapekṣaṃ	prakASakaH ucyate / taTA jQAnam api jQAna antara nirapekzam
   prakāśamānamātmanaḥ prakāśamucyate / tato 'yaṃ paramārthaḥ / na jñānaṃ	prakASamAnam AtmanaH prakASam ucyate / tatas ayam parama arTaH / na jQAnam
   jñānāntarasaṃvedyamupapadyate nāpyasambiditamucyate / yathāprakāre ca	jQAna antara saMvedyam upapadyate na api asambiditam ucyate / yaTAprakAre ca
   svasambedanaśabdārtha vivakṣite na kiñcid vacanīyakamasti kuto	sva sambedana Sabda arTa vivakzite na kiQcid vacanIyakam asti kuto
   yathoktadoṣāvasaraḥ / nāpi viśeṣaṇāsidvyāsidvirūdbhāvanīyā /	yaTA ukta doza avasaraH / na api viSezaNa asidvyAsi dvirUt BAvanIyAH /
   upalabdhilakṣaṇaprāptatayā sāmānyasya svayameva parairupagamāt /	upalabDi lakzaNa prApta tayA sAmAnyasya svayam eva parEH upagamAt /
   tathānabhyupagame vā na sāmānyabalena vā kuleyādiṣvanugatākārau dhīdhvanī	taTA anaByupagame vA na sAmAnya balena vA kuleya Adizu anugata AkArO DI DvanI
   syātāṃ / na hi yato yatra jñānābhidhānapravṛttistadanupalakṣaṇe tasya	syAtAm / na hi yatas yatra jQAna aBiDAna pravRttiH tad anupalakzaNe tasya
   pratītirbhavati, daṇḍivat / yat punaridamudyotitamudyotakareṇa / kiṃ	pratItiH Bavati, daNxi vat / yat punar ida mudyotitam udyota kareNa / kim
   sāmānyaṃ pratipadyase, na vā / yadi pratipadyase kathamapanhuṣe / atha na	sAmAnyam pratipadyase, na vA / yadi pratipadyase kaTam apanhuze / aTa na
   pratipadyase tadā tasyāsidvatvādāśrayāsidvo hetuḥ / tadidaṃ tasya	pratipadyase tadA tasya asi dva tvAt ASraya asidvaH hetuH / tat idam tasya
   dharmmisvarūpitānabhijñatāvijṛmbhitamābhāti / yato na vayaṃ vahīrūpatayā	Darmmi svarUpita anaBijQa tA vijRmBitam ABAti / yatas na vayam vahIrUpa tayA
   sāmānyaṃ dharmmitayāṅgīkurmmahe / antarmmātrābhiniveśino	sAmAnyam DarmmitayA aFgIkurmmahe / antarmmAtrA aBiniveSino
   bhāvābhāvobhayānubhavāhitavāsanāparipākaprabhavasyādhyastavahirvastuno	BAva aBAva uBayA anuBava ahita vAsanA paripAka praBavasya aDyasta vahiH vastunaH 
   jñānākārasya dharmbhitayopayogāt /	jQAna AkArasya DarmBitaya upayogAt /
   sa ca svasambedanapratyakṣasidvatayā na śakyaḥ pratikṣeptuṃ / tadatra	sa ca sva sambedana pratyakza sidvatayA na SakyaH pratikzeptum / tat atra
   dharmmiṇi vyavasthitāḥ sadasatve cintayanti / kimayaṃ	DarmmiNi vyavasTitAH sat asatve cintayanti / kim ayam
   sāmānyaśabdavikalpapratibhāsārtho dharmmī	sAmAnya Sabda vikalpa pratiBAsa arTaH DarmmI
   paraparikalpitavahiḥsāmānyanibandhano veti / tasya vāhyānupādānatve	para parikalpita vahiH sAmAnya nibanDanaH vA iti / tasya vAhyAnupAdAna tve
   sādhyatayānupalambho hetuḥ / na punastasyaivābhāvaḥ sādhyate /	sADya tayA anupalamBaH hetuH / na punar tasya eva aBAvaH sADyate /
   tadviṣayaśabdaprayogaprasaṅgāt / evambidhe ca dharmmiṇi vivakṣite kuta	tad vizaya Sabda prayoga prasaFgAt / evambiDe ca DarmmiNi vivakzite kuta
   āśrayāsidvidoṣaḥ / yattūcyate / pratyakṣapramāṇasidvasvabhāvatayā	ASraya asi dvi dozaH / yat tu ucyate / pratyakza pramANa sidva svaBAva tayA
   sāmānyasyāsidva evāyaṃ heturiti / tadayuktaṃ, tasya svarūpeṇāpratibhāsanāt	sAmAnyasya asidvaH eva ayam hetuH iti / tad ayuktan, tasya sva rUpeNa apratiBAsanAt
   idameva hi pratyakṣasya pratyakṣatvaṃ yat svarūpasya svabudvau samarpaṇaṃ	idam eva hi pratyakzasya pratyakza tvam yat svarUpasya sva budvO samarpaNam
   / idaṃ punarmūlyādānakrayi sāmānyaṃ svarūpañca nādarśayati pratyakṣatāñca	/ idam punar mUlyAdAnakrayi sAmAnyam svarUpaQca na AdarSayati pratyakza tAQca
   svīkarttumicchati / tathāhi na vayaṃ	svIkarttum icCati / taTA hi na vayam
   parasparāsaṃkīrṇaśāvaleyādivyaktibhedapratibhāsanavelāyāṃ	paraspara asaMkIrNa SAvaleya Adi vyakti Beda pratiBAsana velAyAm
   tadvilakṣaṇamaparamanugatamadhyakṣeṇekṣāmahe / kaṇṭheśanamiva bhūteṣu /	tad vilakzaNam aparam anugatam aDyakzeNa IkzAmahe / kaNWa ISanam iva BUtezu /
   śāvaleyasāmānyabudverasidveḥ / tat kathamadṛṣṭakalpanayātmānamātmanā	SAvaleya sAmAnya budveH asidveH / tat kaTam adRzwa kalpa nayA AtmAnam AtmanA
   vipralabhemahi /	vipralaBemahi /
   iti nāsidvo hetuḥ / nāpyanaikāntikatā śaṅkāviṣayamatipatati,	iti na asidvas hetuH / na api anEkAntika tA SaFkA vizayam atipatati,
   vipakṣavṛttyadarśanāt / asapakṣe sambhavānupalambhāt /	vipakza vRtti adarSanAt / asapakze samBava anupalamBAt /
   sādhāraṇānaikāntikatā mābhūta / sandigdhavipakṣavyāvṛttikatā tu	sADAraNa anEkAntika tA mA aBUta / sandigDa vipakza vyAvRttika tA tu
   pratibandhādarśanādanivārita prasaraiva /	pratibanDa adarSanAt anivArita prasara eva /
   tadetanna samālocitatarkakarkaśadhiyāmabhidhānaṃ / viparyyaye	tat etat na samAlocita tarka karkaSa DiyAm aBiDAnam / viparyyaye
   bādhakapramāṇasāmarthyādapasāritasadbhāvatvāttadāśaṅkāyāḥ / tathāhyasattve	bADaka pramANa sAmarTyAt apasArita sadBAva tvAt tad ASaFkAyAH / taTA hi asattve
   sādhye sattvaṃ vipakṣaḥ / tatra pratyakṣavṛttyā bhavitavyaṃ / yato	sADye sattvam vipakzaH / tatra pratyakza vRttyA Bavitavyam / yatas 
   yadyadāvikalāpratihatasāmarthyaṃ tattadā bhavatyeva /	yat yadA vi kalA pratihata sAmarTyam tat tadA Bavati eva /
   tadyathāvikalabalasakalakāraṇakalāpo 'ṅkuraḥ / sati ca cakṣurādisākalye	tat yaTA vikala bala sakala kAraNa kalApaH aFkuraH / sati ca cakzuH Adi sAkalye
   dṛśye vastunyavikalāpratibadvaśaktikāraṇaṃ pratyakṣaṃ jñānamiti	dRSye vastuni avikalA pratibadva Sakti kAraNam pratyakzam jQAnam iti
   svabhāvahetuḥ / tato virudvopalambhādvipakṣādvyāvarttamāno hetuḥ /	svaBAva hetuH / tatas virudva upalamBAt vipakzAt vyAvarttamAnaH hetuH /
   asadvyavahārayogyatvena vyāpyata iti vyāptisidvernānaikāntikaḥ /	asat vyavahAra yogya tvena vyApyate iti vyApti sidveH na anEkAntikaH /
   abhimatasādhya pratibandhasidvestu virudvatā	aBimata sADya pratibanDa sidveH tu virudvatA
   dūratarasamutsāritarabhasaprasaraiva / ato	dUratara samutsArita raBasa prasara eva / atas 
   'sidvatādidūṣaṇaśaṅkākalaṅkālaṅki(kṛ)tādvetoḥ prastutavastusidvau	asidvata Adi dUzaNa SaFkA kalaFka alaFki(kR)tAdvetoH prastuta vastusidvO
   sidvamasattvaṃ sāmānyasyetyalamatibadvavistaravisāriṇyā kathayeti	sidvam asattvam sAmAnyasya iti alam ati badva vistara visAriNyA kaTaya iti
   viramyate /	viramyate /
   na ca vastusaṃsthānavat sāmānyaṃ vyakterlakṣaṇaṃ / na	na ca vastu saMsTAna vat sAmAnyam vyakteH lakzaNam / na
   cānuvṛttavyāvṛttavarṇādyātmake jātivyaktī	ca anuvRtta vyAvRtta varNa Adi Atmake jAti vyaktI
   varṇādiniyatapratibhāsapratītiprasaṅgāt / vyakterevāsau pratibhāsa iti cet	varNa Adi niyata pratiBAsa pratIti prasaFgAt / vyakteH eva asO pratiBAsaH iti ced 
   ko 'parastarhi sāmānyasyānugatākāra iti cet /	kaH aparaH tarhi sAmAnyasya anugata AkAraH iti ced /
   nanu varṇasaṃsthāne virahayya kimaparamanugāmi vidyate / jātibyaktayoḥ	nanu varNa saMsTAne virahayya kim aparam anugAmi vidyate / jAti byaktayoH
   samavāyabalādavibhāvitavibhāgayoḥ kṣīrodakayoriva parasparamiśraṇena	samavAya balAt aviBAvita viBAgayoH kzIrodakayoH iva paraspara miSraNena
   pratipatteriti cet / na tarhi sāmānyaviśeṣayorekatarasyāpi rūpaṃ gṛhītaṃ /	pratipatteH iti ced / na tarhi sAmAnya viSezayoH ekatarasya api rUpam gRhItam /
   svarūpāgrahaṇe 'nayorapyagrahaṇamiti nirālambanaiva sā tādṛśī	svarUpa agrahaNe anayoH api agrahaNam iti nirAlambanA eva sA tAdRSI
   pratipattiriti paramārtha āveditastāvat nirālambanayā ca pratītyā	pratipattiH iti parama arTaH AveditaH tAvat nirAlambanayA ca pratItyE 
   vyavasthāpyamānaṃ sāmānyaṃ suvyavasthāpitaṃ / tasmādviśeṣyāsidvyāpi	vyavasTApyamAnam sAmAnyam su vyavasTApitam / tasmAt viSezya asidvyApi
   nāyamasidvo hetuḥ / sapakṣe varttamāno virudva ityapi na mantavyaḥ /	na ayam asidvaH hetuH / sa pakze varttamAnaH virudvaH iti api na mantavyaH /
   anaikāntikatāpyasya na sambhāvanām arhati / asadvyavahārā napekṣatvena hi	anEkAntika tApyasya na samBAvanAm arhati / asat vyavahArAH napa Ikza tvena hi
   dṛśyānupalambho vyāptaḥ / yadi hi sannapi tatra na pravarttayet / iha	dRSya anupalamBaH vyAptaH / yadi hi san= api tatra na pravarttayet / iha
   sāpekṣaḥ syāt / tato vipakṣādvyāpakavirudvāvarudvāt / vyāvarttamāno	sa apekzaH syAt / tatas vipakzAt vyApaka virudvAvaru dvAt / vyAvarttamAnaH 
   'sadvyavahāre viśrāmyatīti atastenāsadvyavahāreṇānupalambho vyāpyata iti	asat vyavahAre viSrAmyati iti atas tena asat vyavahAreNa anupalamBaH vyApyate iti
   kuto 'nekāntaḥ / tataśca sa evārthaḥ samāyātaḥ /	kutas anekAntaH / tatas ca saH eva arTaH samAyAtaH /
   etāsu pañcasvavabhāsanīṣu pratyakṣavodhe sphuṭamaṅgurīṣu /	etAsu paQca su avaBAsanIzu pratyakza voDe sPuwam aFgurIzu /
   sādhāraṇaṃ ṣaṣṭhamihekṣate yaḥ śṛṅgaṃ śirasyātmana īkṣate saḥ //	sADAraNam zazWam iha Ikzate yaH SRFgam Sirasi AtmanaH Ikzate saH //
   iti //	iti //
   sarvvasya ca pūrvvoktasyāyaṃ paramārthaḥ /	sarvu asya ca pUrvva uktasya ayam parama arTaH /
   pratyakṣapratibhāsi vartmana pañcasvaṅgulīṣu sthitaṃ sāmānyaṃ pratibhāsate	pratyakza pratiBAsi vartmana paQca su aFgulIzu sTitam sAmAnyam pratiBAsate
   na ca vikalpākārabudvau tathā /	na ca vikalpa AkAra budvO taTA /
   tā evāsphuṭamūrttayotra hi vibhāsante na jātistataḥ	tAH eva asPuwa mUrttayotra hi viBAsante na jAtiH tatas 
   sādṛśyabhramakāraṇau punarimāvekopalabdhidhvanī iti //	sAdRSya Brama kAraNO punar imO= eka upalabDi DvanI iti //
   sāmānyasidvidūṣaṇadikprasāritā // 3 //	sAmAnya sidvidUzaNa diS prasAritAH // 3 //
   kṛtiriyaṃ paṇḍitāśokasya // 0 //	kRtiH iyam paNxita aSokasya // 0 //
