   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   ajitamanasaśca pramādonmādavato niṣprayojanaḥ /	ajita manasaH ca pramAda unmAdavataH nizprayojanaH /
   etāśca vacasāmaviśuddhīḥ chalajātinigrahasthāneṣu sūtrakāra eva	etAH ca vacasAm aviSudDIH Cala ja ati nigraha sTAnezu sUtrakAraH eva
   prapañcayiṣyati /	prapaQcayizyati /
   so 'yaṃ na tatheti bhavati vāgviśuddhīnāṃ nidhiḥ /	saH ayam na taTA iti Bavati vAc viSudDInAm niDiH /
   ata eva tāyī tattvādhyavasāyasaṃrakṣaṇakṣamasaṃpradāyapravartakaḥ //	atas eva tAyI tattva aDyavasAya saMrakzaNa kzama saMpradAya pravartakaH //
   evaṃ parāparagurūn natvā śiṣyabuddhisamādhānāya samāhitavaiśiṣṭyaṃ	evam parApara gurUn natvA Sizya budDi samADAnAya samAhita vESizwyam
   darśayati  grantheti /	darSayati  granTa iti /
   nanu tātparyaṭīketi vadatā pravṛttipāṭavārthaṃ granthasaṃkṣepo darśitaḥ,	nanu tAtparyawIka iti vadatA pravRtti pAwava arTam granTa saMkzepaH darSitaH,
   na ca śiṣyāṇāṃ kathantāsaṃboghavidhurāṇāṃ rāddhāntamātraparigrahaḥ	na ca SizyANAm kaTantA saMboGa viDurANAm rAdDAnta mAtra parigrahaH
   saṃkṣepato vivakṣitaḥ /	saMkzepataH vivakzitaH /
   tathātve vā upaniṣada eva santu /	taTA tve vA upanizadaH eva santu /
   santu vā śavamuṣṭinyāyenācāryopadeśāḥ /	santu vA Sava muzwi nyAyena AcArya upadeSAH /
   kimanenetyata āha  nirastākhiladūṣaṇeti /	kim anena iti atas Aha   nirasta aKila dUzaNA iti /
   nanvevaṃ granthatātparyāṃ vyākhyeyam, dūṣaṇāni ca nirasyānīti punarapi	nanu evam granTa tAtparyAm vyAKyeyam, dUzaNAni ca nirasyAni iti punar api
   granthagauravamityata āha  granthavyākhyācchalenaiveti //	granTa gOravam iti atas Aha  granTa vyAKyA= Calena eva iti //
   nanu cirantare 'smin nibandhe mahājanaparigṛhīte bahavo	nanu cirantare asmin nibanDe mahA jana parigRhIte bahavaH 
   nibandhāstathāvidhāḥ santīti kṛtamanene ityata āha   icchāmīti /	nibanDAH taTAviDAH santi iti kRtam anene iti atas Aha  icCAmi iti /
   nanu yadi granthakārasaṃpradāyavicchedena te nibandhāḥ, kathaṃ	nanu yadi granTakAra saMpradAya vicCedena te nibanDAH, kaTam
   kunibandhāḥ? atha saṃpradāyo vicchinnaḥ, kathaṃ tavāpīyaṃ	kunibanDAH? aTa saMpradAyaH vicCinnaH, kaTam tava api iyam
   vicchinnasaṃpradāyā tātparyaṭīkā sunibandha ityata āha  atijaratīnāmiti /	vicCinna saMpradAyA tAtparyawIkA su nibanDaH iti atas Aha  ati jaratInAm iti /
   uddyotakarasaṃpradāyo hyamūṣāṃ yauvanam /	uddyota kara saMpradAyaH hi amUzAm yOvanam /
   tacca kālaparipākavaśād galitamiva /	tat ca kAla paripAka vaSAt galitam iva /
   kiṃ nāmātra trilocanaguroḥ sakāśādupadeśarasāyanamāsāditamamūṣāṃ	kim nAma atra trilocana guroH sakASAt upadeSa rasAyanam AsAditamamUzAm
   punarnavībhāvāya dīyata iti yujyate /	punarnavIBAvAya dIyate iti yujyate /
   na ca kunibandhapaṅkamagnānāṃ taddātumucitamatastasmādutkṛṣya	na ca kunibanDa paFka magnAnAm tat dAtum ucita matas tasmAt utkRzya
   svanibandhasthale sanniveśanarūpasamuddharaṇameva sāṃpratamityarthaḥ //	sva nibanDa sTale sanniveSana rUpa samudDaraNam eva sAMpratam iti arTaH //
   tatra bhagavato 'kṣapādasya muniṣu madhye pravaratvaṃ śrutyādibhya eva	tatra BagavataH akzapAdasya munizu maDye pravara tvam Sruti AdiByaH eva
   suprasiddham kimanena saṃkīrtanena? na caitadatiśayena sāṃpratamupayujyate	su prasidDam kim anena saMkIrtanena? na ca etat atiSayena sAMpratam upayujyate
   jagadupaśamanidānaśāstrapraṇetṛtvaṃ ca tasya tatpraṇayanameva	jagat upaSama nidAna SAstra praNetR tvam ca tasya tad praNayanam eva
   prakaṭayadasti /	prakawayat asti /
   tenāpi kiṃ prakaṭitena? svanibandhasya tadviṣayatāpi tadvyākhyānādeva	tena api kim prakawitena? sva nibanDasya tat vizaya tA api tad vyAKyAnAt eva
   labhyata iti /	laByate iti /
   kiṃ tayāpi kathitayā? na cāsya nyāyamahodadherūttānatāpratibhāsa evāgrataḥ	kim tayA api kaTitayA? na ca asya nyAya mahodaDeru utta AnatA pratiBAsaH eva agratas 
   kartumucitaḥ /	kartum ucitaH /
   tasmād bhavitavyamatra tātparyeṇa /	tasmAt Bavitavyam atra tAtparyeNa /
   tadāha  atheti /	tat Aha  aTA iti /
   tadapanīyata iti /	tat apanIyate iti /
   taditi digrāgādisamutthāpitaṃ śāstrācchādakaṃ kuhetusaṃtamasamapaneyatvena	tat iti diS rAga Adi samutTApitam SAstra AcCAdakam kuhetu saMtama samapaneya tvena
   parāmṛśatā śāstrasyaivāyaṃ nibandha iti darśitam /	parAmRSatA SAstrasya eva ayam nibanDaH iti darSitam /
   bhāṣyasya ca tadvivaraṇarūpasya śāstraśarīrarūpatayā na śāstrādādhikyaṃ	BAzyasya ca tad vivaraNa rUpasya SAstra SarIra rUpa tayA na SAstrAt ADikyam
   manyate, mīmāṃsāyā iva vedāt /	manyate, mImAMsAyAH iva vedAt /
   ata eva nātratyaṭīkāyāḥ vāttikāntena virodhaḥ /	atas eva na atratyawIkAyAH vAttikAntena viroDaH /
   etena śāstrasya yo nibandho bhāṣyagranthaḥ sa kutārkikājñānanivṛttihetuḥ	etena SAstrasya yaH nibanDaH BAzya granTaH sa ku tArkikA jQAna nivRtti hetuH
   kariṣyata iti vyākhyānaṃ ṭīkāvirodhenopekṣaṇīyam /	karizyate iti vyAKyAnam wIkA viroDena upekzaNIyam /
   nanu sūtroktaprayojanānuvādaḥ punaḥ kimartham? na hīdamanūdya kiñcid	nanu sUtra ukta prayojana anuvAdaH punar kim arTam? na hi idam anUdya kiQcid 
   vidheyaṃ pratiṣedhyaṃ veha vidyate ityata āha  sūtreti /	viDeyam pratizeDyam vA iha vidyate iti atas Aha  sUtra iti /
   atha svanibandhasya prayojanavattāpradarśanena kiṃ siddhyatītyata	aTa sva nibanDasya prayojana vattA pradarSanena kim sidDi atIti ata
   āha  prekṣāvaditi /	Aha   prekzA vat iti /
   nanu vyutpitsavo vyutpattimaghikṛtya pravartante /	nanu vyutpitsavaH vyutpattim aGikRtya pravartante /
   ato vyutpādanapravṛttau vyutpattirevāmīṣāṃ prayojanamiti kimapareṇa	atas vyutpAdana pravRttO vyutpattiH eva amIzAm prayojanam iti kim apareNa
   prayojanenetyata āha  vyutpādamātrasyeti /	prayojanena iti atas Aha   vyutpAda mAtrasya iti /
   dvividhaṃ hi prayojanaṃ mukhyaṃ gauṇa ca /	dviviDam hi prayojanam muKyam gONa ca /
   tatra mukhyaṃ puruṣārtha eva /	tatra muKyam puruza arTaH eva /
   itarat tu tadaṅgamiti /	itarat tu tad aFgam iti /
   tatra mukhyārthinaḥ tatsādhānamabhyarthayamānāḥ tatra pravartanta iti	tatra muKya arTinaH tad sADAnam aByarTayamAnAH tatra pravartante iti
   tadapi prayojanamevati /	tat api prayojanam evati /
   ato mukhye prayojane sati gauṇaṃ prayojanam,	atas muKye prayojane sati gONam prayojanam,
   tasmistvasati tadapi na syāditi niṣprayojanataivāvatiṣṭhate /	tasmiH tu asati tat api na syAt iti nizprayojana tA eva avatizWate /
   na ca svātantryeṇaivāsya mukhyaṃ prayojanamastītyato yasyedamaṅga tasya	na ca svAtantryeNa eva asya muKyam prayojanam asti iti atas yasya idam aFga tasya
   mukhyaṃ prayojanamastīti darśite prekṣāvān pravarttito	muKyam prayojanam asti iti darSite prekzAvAn pravarttitaH 
   bhavatītyabhisandhiḥ vārttikakṛta ityarthaḥ /	Bavati iti aBisanDiH vArttika kRtaH iti arTaH /
   ito 'pi ṭīkākhaṇḍalakādantarbhāvitaphalavatsannidhāvaphalaṃ tadaṅgamiti	itas api wIkA KaNxalakAt antar BAvita Pala vat sanniDOvaPalam tat aFgam iti
   nyāyāt /	nyAyAt /
   śāstrāṅgāmevedaṃ na bhāṣyāṅgamiti mantavyam /	SAstra aFgAm eva idam na BAzya aFgam iti mantavyam /
   na hi bhāṣyasya svātantryeṇa mukhyaṃ prayojanamasti yena vārttikaṃ	na hi BAzyasya svAtantryeNa muKyam prayojanam asti yena vArttikam
   tadaṅgatāmiyāt /	tad aFga tAm iyAt /
   tasmād yathāśruti sundaramiti //	tasmAt yaTASruti sundaram iti //
   nanu karmendriyaniyamaḥ śama iti suprasiddhaṃ śānto dānta ityādi	nanu karmendriya niyamaH SamaH iti su prasidDam SAntaH dAntaH ityAdi
   upaniṣatsu, na cāsau puruṣārthaḥ /	upanizatsu, na ca asO puruza arTaH /
   ato na mukhyaṃ prayojanamityata āha  atra ceti /	atas na muKyam prayojanam iti atas Aha  atra ca iti /
   nanu jagataḥ śamāyeti durghaṭam, asaṃbhāvitātvādaśakyātvācca /	nanu jagataH SamAya iti durGawam, asaMBAvitA tvAt aSakyA tvAt ca /
   na tāvat kaścit jagadupacikīrṣuḥ kvacit pravartate yato munerapi tathātvaṃ	na tAvat kaScid jagat upacikIrzuH kvacid pravartate yatas muneH api taTAtvam
   saṃbhāvayāmaḥ /	saMBAvayAmaH /
   paṭhanti ca  munerapi vanasthasyetyādi /	paWanti ca   muneH api vanasTasya ityAdi /
   na ca śakyametat, bubhukṣūṇāṃ pravartayitumaśakyatvāt /	na ca Sakyam etat, buBukzUNAm pravartayitum aSakyatvAt /
   na ca jagadeva mumukṣati /	na ca jagat eva mumukzati /
   tasmādanuṣṭhātaiva vyutpādyaḥ śāstrāntaralabdhabrāhmaṇatvadirūpaḥ śiṣyaḥ /	tasmAt anuzWAtA eva vyutpAdyaH SAstra antara labDa brAhmaNa tva dirUpaH SizyaH /
   tasya ca rūpāṇi śamadamādisaṃpattiḥ nityānityavivekaḥ	tasya ca rUpANi Sama dama Adi saMpattiH nitya anitya vivekaH
   aihikāmuṣmikabhāgavairāgyaṃ mumukṣutā ceti /	EhikA muzmika BAga vErAgyam mumukzutA ca iti /
   yastu anadhikāryeva pravartate karmakāṇḍa iva brahmakāṇḍe sa na phalabhāg	yaH tu anaDikArI eva pravartate karma kANxaH iva brahma kANxe sa na Pala BAj 
   bhavati /	Bavati /
   tatraitat syāt /	tatra etat syAt /
   na tāvadupeyaviṣayeyamadhikāracintā, tasya puruṣaprayatnāviṣayatvāt,	na tAvat upeya vizayeyam aDikAra cintA, tasya puruza prayatna avizaya tvAt,
   iṣyamāṇatāmātrasya cāniṣadhāt /	izyamANa tA mAtrasya ca anizaDAt /
   kiṃ nāma upāyaviṣayā, tasyaiva śāstraviṣayatvāt,	kim nAma upAya vizayA, tasya eva SAstra vizaya tvAt,
   puruṣapravṛttiviṣayatvācca /	puruza pravRtti vizaya tvAt ca /
   iha cāpavarga iva tadarthatayā tattvajñānamapyupeyameva, asiddhatvāt /	iha ca apavargaH iva tad arTa tayA tattva jQAnam api upeyam eva, asidDa tvAt /
   upāyastu pramāṇam, na ca vedādhyayanavadanumānasya pratyakṣasya copādānaṃ	upAyaH tu pramANam, na ca veda aDyayana vat anumAnasya pratyakzasya ca upAdAnam
   śūdrādikaṃ prati niṣiddham, yena tatrāpyetasyānadhikāraḥ syāt /	SUdra Adikam prati nizidDam, yena tatra api etasya an aDikAraH syAt /
   tathā sati dhūmādapi vahimadhigacchan pratyakṣād vā pratyavāyī syāt,	taTA sati DUmAt api vahim aDigacCan pratyakzAt vA pratyavAyI syAt ,
   adhīyāna iva vedam /	aDIyAnaH iva vedam /
   na cātmagocare pratyakṣānumāne śūdrāderviśeṣato niṣiddhe snātasya	na ca Atma gocare pratyakza anumAne SUdra AdeH viSezataH nizidDe snAtasya
   caṇḍāladarśanamiva brāhmaṇādeḥ prāyaścittānupadeśāt pratyuta	caNxAla darSanam iva brAhmaNa AdeH prAyaScitta anupadeSAt pratyuta
   striyo vaiśyāstathā śūdrā ye cānye pāpayonayaḥ /	striyaH vESyAH taTA SUdrAH ye ca anye pApa yonayaH /
   ityādismṛteradhikāra evāvasīyate /	ityAdi smRteH aDikAraH eva avasIyate /
   tasmād yathā sa eva viśiṣṭaḥ svargo vaidikayāgādyanadhikṛtenāpi	tasmAt yaTA saH eva viSizwaH svargaH vEdika yAga Adi anaDikRtena api
   upāyāntareṇa traivarṇikaśuśrūṣādinā sādhyate, tathopāyānteṇānumānādinā	upAya antareNa trEvarNika SuSrUzA AdinA sADyate, taTA upAya anteNa anumAna AdinA
   yadyātmādhigamaḥ kriyate śūdreṇāpi, tadā kīdṛśo doṣaḥ? satyam, kiṃ	yadi Atma aDigamaH kriyate SUdreNa api, tadA kIdRSaH dozaH? satyam, kim
   tvanumānamapyāgamāvirodhenānusandhīyamānamathaniścāyakam, natu	tu anumAnam api Agama aviroDena anusanDIyamAnam aTa niScAyakam, na tu
   tadviruddhamapi /	tad virudDam api /
   yadāha  yattu pratyakṣāgamaviruddhaṃ nyāyābhāsaḥ saḥ iti /	yadA aha  yat tu pratyakza Agama virudDam nyAya ABAsaH saH iti /
   sa cāgamāvirodhādavirodhaniścayaḥ tadarthaniścayādhīnaḥ /	sa ca Agama aviroDAt aviroDa niScayaH tad arTa niScaya aDInaH /
   tatra cānadhikṛta evāyaṃ śūdrāti /	tatra ca anaDikRtaH eva ayam SUdrAti /
   tannirapekṣastu anumānamātraśaraṇo naraśiraḥpāvitryādivadanarthameva	tad nirapekzaH tu anumAna mAtra SaraNaH nara SiraH pAvitrya Adi vat anarTam eva
   samāsādayet /	samAsAdayet /
   tasmādāgamaikavākyatayā pravṛtte śāstre tadadhikāryevādhikārīti śūdrādayo	tasmAt Agama eka vAkya tayA pravRtte SAstre tad aDikArI eva aDikArI iti SUdra AdayaH 
   'nadhikṛtā iva /	anaDikRtAH iva /
   ato yāvadadhikāriparo 'yaṃ jagacchabda iti kecit /	atas yAvat aDikAri paraH ayam jagat SabdaH iti kecid /
   tatrāha  paramakārūṇiko hīti /	tatra aha   parama kArUNikaH hi iti /
   santyeva hi kecit karuṇāmṛdumanaso yeṣāṃ jagadeva mitram /	santi eva hi kecid karuNA mRdu manasaH yezAm jagat eva mitram /
   anyathā bhūtevo 'bhayaṃ dattveti vidhivaiyarthyaprasaṅgaḥ /	anyaTA BUtevaH aBayam dattvA iti viDi vEyarTya prasaFgaH /
   niṣkāraṇameva paraduḥkhaprahāṇecchā kāruṇyam /	nizkAraNam eva para duHKa prahANa icCA kAruNyam /
   sā ca yathaikaṃ duḥkhita paśyato bhavati, tathā jagadeva duḥkhita paśyataḥ	sA ca yaTA ekam duHKita paSyataH Bavati, taTA jagat eva duHKita paSyataH
   kiṃ na syāt? bhavati cet  tatprahāṇopāyapravṛttau kā nāmānupapattiḥ? nanu	kim na syAt? Bavati cet   tad prahANa upAya pravRttO kA nAma anupapattiH? nanu
   karuṇārdrahṛdayo 'pyaṃ vyutpisumeva vyutpādayenna tu viparītam, na hi	karuNA Ardra hRdayaH apyam vyutpisum A iva vyutpAdayet na tu viparItam, na hi
   badhireṣu gāyano gāyatītyata āha  tatra yadi na kaściditi /	baDirezu gAyanaH gAyati iti atas Aha  tatra yadi na kaScid iti /
   na hi rogī mandabhāgyatayā carakādyupadeśe na pravartata iti tadarthatā	na hi rogI mandaBAgya tayA caraka Adi upadeSe na pravartate iti tad arTa tA
   tasya nivartata ityarthaḥ //	tasya nivartate iti arTaH //
   nanvanadhikṛtavyutpādane pratyavāyamātrakamapaśyannayaṃ	nanu anaDikRta vyutpAdane pratyavAya mAtrakam apaSyan= ayam
   kathamavadheyavacanaḥ syāt, paśyan vā na pravarteta? kāruṇikatayā	kaTam avaDeya vacanaH syAt, paSyan vA na pravarteta? kAruNika tayA
   paśyannapi pravartate cet, pramādī syāt /	paSyan= api pravartate cet, pramAdI syAt /
   tathā ca paralokādabibhyato 'sya vacane kaḥ śraddhāsyatītyata āha  na ceti	taTA ca para lokAt abiByataH asya vacane kaH SradDA asyati iti atas Aha  na ca iti
   yadyapi prahīnamohatvādevāsya pāpapuṇyayorutpattireva nāsti, vakṣyati hi	yadi api prahIna moha tvAt eva asya pApa puNyayoH utpattiH eva nAsti, vakzyati hi
   na pravṛttiḥ pratisandhānāya hīnakleśasyeti /	na pravRttiH pratisanDAnAya hIna kleSasya iti /
   tathāpi kleśahānerdurūhatvāt pratyavāyotpattimabhyupagamya tadabhāvāya	taTA api kleSa hAneH durUha tvAt pratyavAya utpattim aByupagamya tad aBAvAya
   tapaḥprabhāva uktaḥ /	tapaH praBAvaH uktaH /
   nanvevamapi prakṣālanāddhi paṅkasya dūrādasparśanaṃ varam /	nanu evam api prakzAlanAt hi paFkasya dUrAt asparSanam varam /
   ityata āha  tathā ceti /	iti atas Aha  taTA ca iti /
   na hi gāḥ paṅkamagnāḥ paṅkapralepabhayādanukampāparavaśāḥ samarthā	na hi gAH paFka magnAH paFka pralepa BayAt anukampA paravaSAH samarTA
   noddharanti /	na udDaranti /
   api tūddhṛtya paḍkaṃ prakṣālayantītyarthaḥ /	api tu udDRtya paxkam prakzAlayanti iti arTaH /
   nanu yadyanadhikṛtaḥ kathaṃ phalabhāgī, tathā cet kathamanadhikṛta	nanu yadi anaDikRtaH kaTam Pala BAgI, taTA ced kaTam anaDikRta
   ityabhisandhāyoktaṃ prapañcayati  tapaḥprabhāva eva hīti /	iti aBisanDAya uktam prapaQcayati  tapaH praBAvaH eva hi iti /
   yathā hi teṣāṃ tapaḥprabhāvādevaṃvidhāḥ pāpmāno vilīyante, tathā	yaTA hi tezAm tapaH praBAvAt evaMviDAH pApmAnaH vilIyante, taTA
   tapaḥprabhāvādeva satyasaṃkalpatayā anadhikāriṇo 'pi phalabhāgina iti na	tapaH praBAvAt eva satya saMkalpa tayA anaDikAriNaH api Pala BAginaH iti na
   kaścid virodhaḥ /	kaScid viroDaH /
   na ca phalāpekṣayā teṣāmanadhikāraḥ /	na ca Pala apekzayA tezAm anaDikAraH /
   kiṃ tarhi? karmāpekṣayā /	kim tarhi? karma apekzayA /
   anadhikṛtena tu kṛtaṃ karma viguṇaṃ sanna phalāṃya paryāptamityapi na,	anaDikRtena tu kRtam karma viguNam sat na PalAMya paryAptam iti api na,
   viśiṣṭayājakasādguṇyādeva tasya paripūrṇatvāt /	viSizwa yAjaka sAt guNyAt eva tasya paripUrNa tvAt /
   yājaka eva tvayājyaṃ yājayan pratyavāyamāsādayet, rājñaḥ pratigṛhṇanniva	yAjakaH eva tvayA Ajyam yAjayan pratyavAyam AsAdayet, rAjQaH pratigRhNan= iva
   vidvān /	vidvAn /
   sa ca tīvratadeṇa tapasaiva vilīyata ityarthaḥ /	sa ca tIvra tadeNa tapasA eva vilIyate iti arTaH /
   tarhi mahājano yena gataḥ sa panthāḥ /	tarhi mahAjanaH yena gataH sa panTAH /
   iti nyāyena vayamapyanadhikṛtān vyutpādayāma ityata āha  na ceti /	iti nyAyena vayam api anaDikRtAn vyutpAdayAmaH iti atas Aha  na ca iti /
   nanu kutārkikāṇāmajñānaṃ nivartayatā kimanena śāstrasyopakṛtaṃ	nanu kutArkikANAm ajQAnam nivartayatA kim anena SAstrasya upakRtam
   syādityāha  kutārkikairiti /	syAt iti Aha  ku tArkikEH iti /
   ajñānamasamyagjñānam //	ajQAnam asamyak jQAnam //
   iha karmārambhe prārabdhasyāntarāyaviraheṇa parisamāpti kāmayamānā	iha karma AramBe prArabDasya antarAya viraheNa parisamApti kAmayamAnA
   abhīṣṭadevatā namaskārapūrvakaṃ prekṣāvantaḥ pravartante /	aBIzwa devatAH namaskAra pUrvakam prekzAvantaH pravartante /
   dṛśyate ca tatra tatra bahuśoṃ vyabhicāraḥ kṛtanamaskārasyāpi	dRSyate ca tatra tatra bahuSom vyaBicAraH kRta namaskArasya api
   samīhitāsiddheḥ, viparītasyāpi samīhitasiddhaḥ,	samIhita asidDeH, viparItasya api samIhita sidDaH,
   viparītasyāpi samīhitāsiddheḥ /	viparItasya api samIhita asidDeH /
   na cātra vṛṣṭikāmaḥ kārīrī nirvapet /	na ca atra vRzwi kAmaH kArIrI nirvapet /
   itivat prārabdhaparisamāptikāmo devatāṃ namaskuryāditi śrutirasti, yena	iti vat prArabDa parisamApti kAmaH devatAm namaskuryAt iti SrutiH asti, yena
   vyabhicore 'pi karmakartṛsādhanavaiguṇyaṃ kalpayāmaḥ /	vyaBicore api karma kartR sADana vEguNyam kalpayAmaH /
   tasmādar thakāma iha vaṭe prativasantaṃ yakṣaṃ pūjayeditiva	tasmAt ar Ta kAmaH iha vawe prativasantam yakzam pUjayet itiva
   daprāmāṇikaprasiddhivijṛmbhitametadityabhisandhāya kimu na kṛto	daprAmANika prasidDi vijRmBitam etat iti aBisanDAya kimu na kRtaH 
   vāttikakṛtā iṣṭadevatānamaskāra ityata āha  avigīteti /	vAttika kRtA izwadevatA namaskAraH iti atas Aha  a vigIta iti /
   pratyakṣamivāvigītaśiṣṭācāro 'pi śrutisadbhāve pramāṇameva, nirmūlasya ca	pratyakzam iva avigIta Sizwa AcAraH api Sruti sadBAve pramANam eva, nirmUlasya ca
   śiṣṭācārasyāsambhavāt /	Sizwa AcArasya asamBavAt /
   apramāṇamūlakasya ca prāmāṇikavigānavirahānupapatteḥ /	apramANa mUlakasya ca prAmANika vigAna viraha anupapatteH /
   tathā ca satyabhāvaḥ karmakartṛsādhanavaiguṇyamavalambate /	taTA ca satyaBAvaH karma kartR sADana vEguNyam avalambate /
   asati ca bhāvo janmāntarīyasukṛtasaṃpattim /	asati ca BAvaH janmAntarIya su kRta saMpattim /
   anvayavyatirekābhāvadarśanaṃ tvāgametarapramāṇagocaraṃ	anvaya vyatireka aBAva darSanam tu Agama itara pramANa gocaram
   kāryakāraṇabhāvamapākarotītyarthaḥ /	kArya kAraNa BAvam apAkaroti iti arTaH /
   yadyavaṃ kimanena na kṛta ityata āha  parameti /	yadyavam kim anena na kRtaH iti atas Aha   param a iti /
   yadi kṛtaḥ tat kimindraluptena gataḥ, yena na dṛśyata ityata āha  na	yadi kRtaH tat kim indraluptena gataH, yena na dRSyate iti atas Aha  na
   niveśita iti /	niveSitaH iti /
   atraiva dṛṣṭānto na khalviti /	atra eva dRzwAntaH na Kalu iti /
   na khalviṣṭadevatānamaskāravat tanniveśanamapi kvacidupayujyata ityarthaḥ	na Kalu izwa devatA namaskAra vat tad niveSanam api kvacid upayujyate iti arTaH
   nanvevaṃbhūtaṃ śiṣṭācāraṃ śiṣyā api grāhayitavyāḥ /	nanu evaMBUtam Sizwa AcAram SizyAH api grAhayitavyAH /
