   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   atha khalu bhagavān svayam eva siṃhāsanaṃ prajñapya nyaṣīdat paryaṅkaṃ	aTa Kalu BagavAn svayam eva siMhAsanam prajQapya nyazIdat paryaFkam
   baddhvā ṛjukāyaṃ praṇidhāya abhimukhīṃ smṛtim upasthāpya samādhirājaṃ nāma	badDvA Rju kAyam praNiDAya aBimuKIm smRtim upasTApya samADi rAjam nAma
   samādhiṃ samāpadyate sma, yatra sarvasamādhayo 'ntargamān saṃgrahaṃ	samADim samApadyate sma, yatra sarva samADayaH antargamAn saMgraham
   samavasaraṇaṃ gacchanti.	samavasaraNam gacCanti.
   atha khalu bhagavān smṛtimān saṃprajānaṃs tasmāt samādher vyutthāya	aTa Kalu BagavAn smRtimAn saMprajAnan tasmAt samADeH vyutTAya
   divyena cakṣuṣā sarvalokadhātuṃ vyavalokya sarvakāyāt smitam akarot,	divyena cakzuzA sarva loka DAtum vyavalokya sarva kAyAt smitam akarot,
   tasyādhastāt pādatalayoḥ sahasrābhyāṃ cakrābhyāṃ	tasya aDastAt pAda talayoH sahasrAByAm cakrAByAm
   ṣaṣṭiṣaṣṭīraśmikoṭīniyutaśatasahasrāṇi niśceruḥ, daśabhyaḥ pādāṅgulibhyaḥ	zazwi zazwI raSmi kowI niyuta Sata sahasrANi niSceruH, daSaByaH pAda aFguliByaH
   ṣaṣṭiṣaṣṭīraśmikoṭīniyutaśatasahasrāṇi niśceruḥ, evaṃ ṣaṣṭiṣaṣṭir	zazwi zazwI raSmi kowI niyuta Sata sahasrANi niSceruH, evam zazwi zazwiH 
   gulphābhyāṃ ṣaṣṭiṣaṣṭir jaṅghābhyāṃ ṣaṣṭiṣaṣṭir jānumaṇḍalābhyām, evaṃ	gulPAByAm zazwizazwiH jaFGAByAm zazwizazwiH jAnu maNxalAByAm, evam
   dvābhyām ūrubhyāṃ kaṭinābhimaṇḍalābhyāṃ dvābhyāṃ pārśvābhyāṃ	dvAByAm UruByAm kawinA aBimaNxalAByAm dvAByAm pArSvAByAm
   hṛdayaśrīvatsān mahāpuruṣalakṣaṇāt, evaṃ ṣaṣṭiṣaṣṭir daśabhyo	hRdaya SrIvatsAn mahApuruza lakzaNa at, evam zazwizazwiH daSaByaH 
   hastāṅgulibhyaḥ ṣaṣṭiṣaṣṭir dvābhyāṃ bāhubhyāṃ ṣaṣṭiṣaṣṭir dvābhyām	hasta aFguliByaH zazwizazwiH dvAByAm bAhuByAm zazwizazwiH dvAByAm
   aṃśābhyām, evaṃ grīvāyāś catvāriṃśadbhyo dantebhyo dvābhyāṃ ghrāṇābhyāṃ	aMSAByAm, evam grIvAyAH catvAriMSadByaH danteByaH dvAByAm GrANAByAm
   dvābhyāṃ śrotrābhyāṃ dvābhyāṃ cakṣurbhyāṃ madhyād ūrṇāyā upariṣṭād uṣṇīṣāt	dvAByAm SrotrAByAm dvAByAm cakzurByAm maDyAt UrNAyAH uparizwAt uzNIzAt 
   ṣaṣṭiṣaṣṭīraśmikoṭīniyutaśatasahasrāṇi niśceruḥ. yai raśmibhir ayaṃ	zazwi zazwI raSmi kowI niyuta Sata sahasrANi niSceruH. yEH raSmiBiH ayam
   trisāhasramahāsāhasro lokadhātur avabhāsito 'bhūt parisphuṭaḥ, pūrvasyāṃ	tri sAhasra mahA sAhasraH lokaDAtuH avaBAsitaH aBUt parisPuwaH, pUrvasyAm
   diśi gaṅgānadībālukopamā lokadhātavas tena mahatā raśmyavabhāsena sphuṭā	diSi gaFgA nadI bAlukA upamA lokaDAtavaH tena mahatA raSmi avaBAsena sPuwA
   avabhāsitāś cābhūvan, evaṃ dakṣiṇasyāṃ diśi paścimāyām uttarasyām	avaBAsitAH ca aBUvan, evam dakziNasyAm diSi paScimAyAm uttarasyAm
   uttarapūrvasyāṃ pūrvadakṣiṇasyāṃ dakṣiṇapaścimāyāṃ paścimottarasyām	uttara pUrvasyAm pUrva dakziNasyAm dakziNa paScimAyAm paScima uttarasyAm
   adhastād upariṣṭād diśi gaṅgānadībālukopamā lokadhātavas tena mahatā	aDastAt uparizwAt diSi gaFgA nadI bAlukA upamA lokaDAtavaH tena mahatA
   raśmyavabhāsena sphuṭā avabhāsitāś cābhūvan, ye ca sattvās tena mahatā	raSmi avaBAsena sPuwAH avaBAsitAH ca aBUvan, ye ca sattvAH tena mahatA
   raśmyavabhāsena sphuṭā avabhāsitās te sarve niyatā abhūvann anuttarāyāṃ	raSmi avaBAsena sPuwAH avaBAsitAH te sarve niyatAH aBUvan anuttarAyAm
   samyaksaṃbodhau.	samyaksaMboDO.
   (PvsP1 1: 3)	(Pu sP1 1: 3)
   atha khalu bhagavān punar eva sarvaromakūpebhyaḥ smitam akarot, ekaikataś	aTa Kalu BagavAn punar eva sarva romakUpeByaH smitam akarot, ekEkatas 
   ca romakūpāt ṣaṣṭiṣaṣṭīraśmikoṭīniyutaśatasahasrāṇi niśceruḥ, yair ayaṃ	ca romakUpAt zazwi zazwI raSmi kowI niyuta Sata sahasrANi niSceruH, yEH ayam
   trisāhasramahāsāhasro lokadhātur avabhāsitaḥ sphuṭo 'bhūt, taiś ca	tri sAhasra mahA sAhasraH lokaDAtuH avaBAsitaH sPuwaH aBUt, tEH ca
   pūrvasyāṃ diśi gaṅgānadībālukopamāḥ sarvalokadhātavo 'vabhāsenāvabhāsitāḥ	pUrvasyAm diSi gaFgA nadI bAlukA upamAH sarva loka DAtavaH avaBAsena avaBAsitAH
   sphuṭāś cābhūvan, evaṃ dakṣiṇasyāṃ paścimāyām uttarasyām uttarapūrvasyāṃ	sPuwAH ca aBUvan, evam dakziNasyAm paScimAyAm uttarasyAm uttara pUrvasyAm
   pūrvadakṣiṇasyāṃ dakṣiṇapaścimāyāṃ paścimottarasyām adhastād upariṣṭād	pUrva dakziNasyAm dakziNa paScimAyAm paScima uttarasyAm aDastAt uparizwAt 
   diśi gaṅgānadībālukopamā lokadhātavo 'vabhāsenāvabhāsitāḥ sphuṭāś	diSi gaFgA nadI bAlukA upamAH lokaDAtavaH avaBAsena avaBAsitAH sPuwAH 
   cābhūvan, tena ca raśmyavabhāsenaye sattvāḥ spṛṣṭās te sarve niyatā	ca aBUvan, tena ca raSmi avaBAsenaye sattvAH spRzwAH te sarve niyatA
   abhūvann anuttarāyāṃ samyaksaṃbodhau.	aBUvan anuttarAyAm samyaksaMboDO.
   atha khalu bhagavān punar eva yā sā buddhānāṃ bhagavatāṃ prakṛtiprabhā	aTa Kalu BagavAn punar eva yA sA budDAnAm BagavatAm prakRti praBA
   tayā prabhayā trisāhasramahāsāhasraṃ lokadhātum avabhāsayāmāsa, yāvat	tayA praBayA tri sAhasra mahA sAhasram lokaDAtum avaBAsayAmAsa, yAvat 
   sarvāsu daśasu dikṣu ekaikasyāṃ diśi gaṅgānadībālukopamā lokadhātavas tayā	sarvAsu daSasu dikzu ekEkasyAm diSi gaFgA nadI bAlukA upamA lokaDAtavaH tayA
   prabhayā avabhāsitā abhūvan, ye ca sattvās tayā prabhayā spṛṣṭās te sarve	praBayA avaBAsitAH aBUvan, ye ca sattvAH tayA praBayA spRzwAH te sarve
   niyatā abhūvann anuttarāyāṃ samyaksaṃbodhau.	niyatAH aBUvan anuttarAyAm samyaksaMboDO.
   atha khalu bhagavāṃs tasyāṃ velāyāṃ jihvendriyaṃ nirṇāmayāmāsa, yenemaṃ	aTa Kalu BagavAn tasyAm velAyAm jihvA indriyam nirNAmayAmAsa, yena imam
   trisāhasramahāsāhasraṃ lokadhātuṃ jihvendriyeṇācchādayāmāsa,	tri sAhasra mahA sAhasram lokaDAtum jihvA indriyeNa AcCAdayAmAsa,
   trisāhasramahāsāhasraṃ lokadhātuṃ jihvendriyeṇa sphuritvā tasmāj	tri sAhasra mahA sAhasram lokaDAtum jihvA indriyeNa sPuritvA tasmAt 
   jihvendriyāt smitam akarot, yato 'nekāni raśmikoṭīniyutaśatasahasrāṇi	jihvA indriyAt smitam akarot, yatas anekAni raSmi kowI niyuta Sata sahasrANi
   niśceruḥ, raśmimukhe caikaikasminn uttamamayāni suvarṇanirbhāsāni	niSceruH, raSmimuKe ca ekEkasmin uttama mayAni suvarNa nirBAsAni
   sahasrapatrāṇi padmāny utpannāny abhūvan, teṣu ca padmeṣu buddhavigrahā	sahasra patrANi padmAni utpannAni aBUvan, tezu ca padmezu budDa vigrahA
   niṣaṇṇāḥ saṃsthitāś cābhūvan dharmaṃ deśayanto yad uta imām eva	nizaNNAH saMsTitAH ca aBUvan Darmam deSayantaH yat uta imAm eva
   ṣaṭpāramitāpratisaṃyuktāṃ dharmadeśanām, te pūrvasyāṃ diśi	zaz pAramitA pratisaMyuktAm Darma deSa nAm, te pUrvasyAm diSi
   gaṅgānadībālukopamavyativṛttāsaṃkhyeṣu lokadhātuṣu gatvā sattvānāṃ dharmaṃ	gaFgA nadI bAlu kopama vyativRtta asaMKyezu lokaDAtuzu gatvA sattvAnAm Darmam
   deśayanti sma, evaṃ dakṣiṇasyāṃ paścimāyām uttarasyām adhastād ūrdhvaṃ	deSayanti sma, evam dakziNasyAm paScimAyAm uttarasyAm aDastAt UrDvam
   digvidikṣu, ekaikasyāṃ ca diśi daśasu dikṣu gaṅgānadībālukopameṣu	diS vidikzu, ekEkasyAm ca diSi daSasu dikzu gaFgA nadI bAlukA upamezu
   aparimāṇeṣu lokadhātuṣu gatvā sattvānāṃ dharmaṃ deśayanti sma, yad uta	aparimANezu lokaDAtuzu gatvA sattvAnAm Darmam deSayanti sma, yat uta
   imām eva ṣaṭpāramitāpratisaṃyuktāṃ dharmadeśanām, ye ca sattvās tāṃ	imAm eva zaz pAramitA pratisaMyuktAm Darma deSa nAm, ye ca sattvAH tAm
   dharmadeśanāṃ śmvanti te niyatā bhavanty anuttarāyāṃ samyaksaṃbodhau.	Darma deSanAm Smvanti te niyatAH Bavanti anuttarAyAm samyaksaMboDO.
   (PvsP1 1: 4)	(Pu sP1 1: 4)
   atha khalu bhagavāṃs tasminn eva siṃhāsane niṣaṇṇaḥ siṃhavikrīḍitaṃ nāma	aTa Kalu BagavAn tasmin eva siMhAsane nizaNNaH siMha vikrIxitam nAma
   samādhiṃ samāpede, tathārūpaṃ carddhyabhisaṃskāram abhisaṃskaroti sma	samADim samApede, taTArUpam ca Rdhi aBisaMskAram aBisaMskaroti sma
   yathārūpeṇarddhyabhisaṃskāreṇābhisaṃskṛtenāyaṃ trisāhasramahāsāhasro	yaTArUpeNa RdDi aBisaMskAreNa aBisaMskRtena ayam tri sAhasra mahA sAhasraH 
   lokadhātuḥ ṣaḍvikāram akampata prākampata saṃprākampata, acalat prācalat	lokaDAtuH zaz vikAram akampata prAkampata saMprAkampata, acalat prAcalat 
   saṃprācalat, avedhat prāvedhat saṃprāvedhat, araṇat prāraṇat saṃprāraṇat,	saMprAcalat, aveDat prAveDat saMprAveDat, araNat prAraNat saMprAraNat,
   akṣubhyat prākṣubhyat saṃprākṣubhyat, agarjat prāgarjat saṃprāgarjat, ante	akzuByat prAkzuByat saMprAkzuByat, agarjat prAk arjat saMprAgarjat, ante
   unnamati madhye avanamati, madhye unnamati ante avanamati, mṛdukaḥ	unnamati maDye avanamati, maDye unnamati ante avanamati, mRdukaH
   snigdhaḥ sarvasattvasukhajanano 'bhūt.	snigDaH sarva sattva suKa jananaH aBUt .
   atha khalu tena kṣaṇalavamuhūrtena ye 'smiṃs trisāhasramahāsāhasre	aTa Kalu tena kzaNa lava muhUrtena ye asmin tri sAhasra mahA sAhasre
   lokadhātau nirayā vā tiryagyonayo vā yamalokā vā te sarve samucchinnāḥ	lokaDAtO nirayAH vA tiryagyonayaH vA yama lokAH vA te sarve samucCinnAH
   śūnyā abhūvan, sarvākṣaṇāś cāstamitā abhūvan, ye ca sattvās tābhyo	SUnyAH aBUvan, sarva akzaNAH ca astamitAH aBUvan, ye ca sattvAH tAByaH 
   narakatiryagyoniyamalokagatibhyaś cyutās te sarve tenaiva prītiprāmodhyena	naraka tiryagyoni yama loka gatiByaH cyutAH te sarve tena eva prIti prAmoDyena
   manuṣyāṇāṃ sabhāgatāyām upapannāś cābhūvan, evaṃ cāturmahārājikānāṃ	manuzyANAm saBA gatAyAm upapannAH ca aBUvan, evam cAturmahArAjikAnAm
   devānāṃ trayastriṃśānāṃ yāmānāṃ tuṣitānāṃ nirmāṇaratīnāṃ	devAnAm trayastriMSAnAm yAmAnAm tuzitAnAm nirmANa ratInAm
   paranirmitavaśavartināṃ devānāṃ sabhāgatāyām upapannāś cābhūvan.	paranirmita vaSavartinAm devAnAm saBA gatAyAm upapannAH ca aBUvan.
   atha khalu te manuṣyās te ca devā bhagavata evānubhāvena pūrvajanmāny	aTa Kalu te manuzyAH te ca devAH BagavataH eva anuBAvena pUrva janmAni 
   anusmaranti sma, anusmṛtya ca tenaiva prītiprāmodyena yena bhagavāṃs	anusmaranti sma, anusmRtya ca tena eva prIti prAmodyena yena BagavAn= 
   tenopasaṃkrāntāḥ, upasaṃkramya bhagavataḥ pādau śirobhir abhivandya	tena upasaMkrAntAH, upasaMkramya BagavataH pAdO SiroBiH aBivandya
   bhagavantaṃ prāñjalayo bhūtvā namasyanti sma, evaṃ pūrvasyāṃ diśi	Bagavantam prAQjalayaH BUtvA namasyanti sma, evam pUrvasyAm diSi
   gaṅgānadībālukopameṣu lokadhātuṣu dakṣiṇasyāṃ paścimāyām uttarasyāṃ	gaFgA nadI bAlukA upamezu lokaDAtuzu dakziNasyAm paScimAyAm uttarasyAm
   vidikṣūrdhvam adhaḥ samantād daśasu dikṣv ekaikasmin digbhāge	vidikzu UrDvam aDas samantAt daSasu dikzu ekEkasmin digBAge
   gaṅgānadībālukopameṣu lokadhātuṣu sarve nirayāḥ sarvās tiryagyonayaḥ sarve	gaFgA nadI bAlukA upamezu lokaDAtuzu sarve nirayAH sarvAH tiryagyonayaH sarve
   yamalokāḥ samucchinnāḥ śūnyā abhūvan, sarvākṣaṇāś cāstamitā abhūvan, ye ca	yama lokAH samucCinnAH SUnyAH aBUvan, sarva akzaNAH ca astamitAH aBUvan, ye ca
   sattvās tābhyo nirayatiryagyoniyamalokagatibhyaś cyutās te sarve	sattvAH tAByaH niraya tiryagyoni yama loka gatiByaH cyutAH te sarve
   devamanuṣyeṣūpapadyante sma, te ca devamanuṣyeṣūpapannā bhagavata	deva manuzyezu upapadyante sma, te ca deva manuzyezu upapannA Bagavata
   evānubhāvena pūrvanivāsam (PvsP1 1: 5) anusmaranti sma, anusmṛtya ca	eva anuBAvena pUrva nivAsam (Pu sP1 1: 5) anusmaranti sma, anusmRtya ca
   tenaiva prītiprāmodyena svakasvakeṣu buddhakṣetreṣu ye tatra buddhā	tena eva prIti prAmodyena sva ka svakezu budDa kzetrezu ye tatra budDA
   bhagavanta utpannās teṣām antikān upasaṃkrāntāḥ, upasaṃkramya teṣāṃ	BagavantaH utpannAH tezAm antikAn upasaMkrAntAH, upasaMkramya tezAm
   buddhānāṃ bhagavatāṃ pādavandanāṃ kṛtvā sarve prāñjalayo bhūtvā bhagavato	budDAnAm BagavatAm pAda vandanAm kRtvA sarve prAQjalayaH BUtvA BagavataH 
   namasyanti sma.	namasyanti sma.
   atha khalu ye 'smiṃs trisāhasramahāsāhasre lokadhātau jātyandhāḥ sattvās	aTa Kalu ye asmin tri sAhasra mahA sAhasre lokaDAtO jAti anDAH sattva as
   te cakṣuṣā rūpāṇi paśyanti sma, vadhirāḥ sattvāḥ śrotreṇa śabdān śṛṇvanti	te cakzuzA rUpANi paSyanti sma, vaDirAH sattvAH SrotreNa SabdAn SRNvanti
   sma, unmattāḥ smṛtiṃ pratilabhante sma, vikṣiptacittā ekāgracittā bhavanti	sma, unmattAH smRtim pratilaBante sma, vikzipta cittAH ekAgra cittAH Bavanti
   sma, jighatsitāḥ pūrṇagātrā bhavanti sma, tṛṣitā vigatapipāsā bhavanti	sma, jiGatsitAH pUrNa gAtrAH Bavanti sma, tRzitAH vigata pipAsA Bavanti
   sma, rogaspṛṣṭā vigatarogā bhavanti sma, hīnendriyāḥ paripūrṇendriyā	sma, roga spRzwAH vigata rogAH Bavanti sma, hIna indriyAH paripUrNa indriyA
   bhavanti sma, avirahitākuśalakāyavāṅmanaskarmāntājīvā	Bavanti sma, avirahita akuSala kAya vAc manaskarma antA jIvA
   virahitākuśalakāyavāṅmanaskarmāntājīvāś ca bhavanti sma, sarvasattvāś ca	virahita akuSala kAya vAc manaskarma antAjIvAH ca Bavanti sma, sarva sattvAH ca
   mātāpitṛsamacittā bhavanti sma, bhrātṛbhaginīsamacittā	mAtA pitR sama cittAH Bavanti sma, BrAtR BaginI sama cittA
   mitrāmātyajñātisālohitasamacittā daśakuśalakarmapathasevinaś ca bhavanti	mitra amAtya jQAti sAlohita sama cittAH daSa kuSala karma paTa sevinaH ca Bavanti
   sma, brahmacāriṇaḥ śucayo nirāmayagandhāḥ sarvasattvāś ca	sma, brahmacAriNaH SucayaH nirAmaya ganDAH sarva sattvAH ca
   sarvasukhasamarpitā īdṛśaṃ sukhaṃ pratilabhante sma tadyathāpi nāma	sarva suKa samarpitAH IdRSam suKam pratilaBante sma tat yaTA api nAma
   tṛtīyadhyānasamāpannasya bhikṣoḥ tasminn eva ca samaye evaṃrūpayā prajñayā	tRtIya DyAna samApannasya BikzoH tasmin eva ca samaye evaMrUpayA prajQayA
   te samanvāgatā bhavanti sma, yad anyabuddhakṣetrasthā buddhā bhagavanta	te samanvAgatAH Bavanti sma, yat anya budDa kzetra sTAH budDAH Bagavanta
   evam udānayanti sma. sādhu damaḥ asādhu śamaḥ sādhu saṃyamaḥ sādhu cīrṇo	evam udAnayanti sma. sADu damaH asADu SamaH sADu saMyamaH sADu cIrNaH 
   brahmacaryāvāsaḥ sādhu prāṇibhūteṣv avihiṃseti.	brahmacarya AvAsaH sADu prANi BUtezu avihiMsa iti.
   atha khalu bhagavāṃs tasminn eva siṃhāsane niṣaṇṇaḥ, imaṃ	aTa Kalu BagavAn tasmin eva siMhAsane nizaNNaH, imam
   trisāhasramahāsāhasraṃ lokadhātum abhibhūya tiṣṭhati bhāsate tapati	tri sAhasra mahA sAhasram lokaDAtum aBiBUya tizWati BAsate tapati
   virocate sma, ābhayā varṇena śriyā tejasā ca, pūrvasyāṃ diśi dakṣiṇasyāṃ	virocate sma, ABayA varNena SriyA tejasA ca, pUrvasyAm diSi dakziNasyAm
   paścimāyām uttarasyām adhastād ūrdhvaṃ digvidikṣu gaṅgānadībālukopamān	paScimAyAm uttarasyAm aDastAt UrDvam diS vidikzu gaFgA nadI bAlukA upamAn
   lokadhātūn abhibhūya tathāgatas tiṣṭhati bhāsate tapati virocate sma,	lokaDAtUn aBiBUya taTAgataH tizWati BAsate tapati virocate sma,
   ābhayā varnena śriyā tejasā ca, tadyathāpi nāma sumeruḥ parvatarājaḥ	ABayA varnena SriyA tejasA ca, tat yaTA api nAma sumeruH parvata rAjaH
   sarvaparvatān abhibhūya tiṣṭhati bhāsate tapati virocate sma ābhayā	sarva parvatAn aBiBUya tizWati BAsate tapati virocate smaH ABayA
   varṇena śriyā tejasā ca, evam eva bhagavān (PvsP1 1: 6) sarvalokadhātūn	varNena SriyA tejasA ca, evam eva BagavAn (PvsP1 1: 6) sarva loka DAtUn
   abhibhūya tiṣṭhati bhāsate tapati virocate sma, ābhayā varṇena śriyā	aBiBUya tizWati BAsate tapati virocate sma, ABayA varNena SriyA
   tejasā ca.	tejasA ca.
   atha khalu bhagavān punar eva yādṛk trisāhasramahāsāhasre lokadhātau	aTa Kalu BagavAn punar eva yAdRS tri sAhasra mahA sAhasre lokaDAtO
   sattvānām ātmabhāvas tat samānam ātmabhāvaṃ prākṛtam upadarśayāmāsa.	sattvAnAm Atma BAvaH tat samAnam Atma BAvam prAkRtam upadarSayAmAsa.
   atha khalu ye 'smiṃs trisāhasramahāsāhasre lokadhātau śuddhāvāsakāyikā	aTa Kalu ye asmin tri sAhasra mahA sAhasre lokaDAtO SudDAvAsa kAyikA
   devāḥ śubhakṛtsnā ābhāsvarā brahmakāyikā devāḥ paranirmitavaśavartinaś ca	devAH SuBa kRtsnAH ABAsvarAH brahmakAyikAH devAH paranirmitavaSavartinaH ca
   nirmāṇaratayaś ca tuṣitāś ca yāmāś ca trāyastriṃśāś ca	nirmANaratayaH ca tuzitAH ca yAmAH ca trAyastriMSAH ca
   cāturmahārājakāyikāś ca devās te taṃ tathāgatasyāsecanakam ātmabhāvaṃ	cAturmahArAja kAyikAH ca devAH te tam taTAgatasya Asecanakam Atma BAvam
   dṛṣṭvā divyāḥ	dRzwvA divyAH
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchattradhvajapatākāvaijayantīr	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Cattra Dvaja patAkA vEjayantIH 
   gṛhītvā divyāni utpalakumudasaugandhikapuṇḍarīkapadmāni gṛhītvā divyāni ca	gRhItvA divyAni utpala kumuda sOganDika puNxarIka padmAni gRhItvA divyAni ca
   keśaratamālapatrāṇi gṛhītvā yena tathāgatasyāsecanaka ātmabhāvas	keSara ta mAla patrANi gRhItvA yena taTAgatasya AsecanakaH Atma BAvaH 
   tenopasaṃkrāntāḥ, ye ceha trisāhasramahāsāhasre lokadhātau manuṣyās te 'pi	tena upasaMkrAntAH, ye ca iha tri sAhasra mahA sAhasre lokaDAtO manuzyAH te api
   taṃ tathāgatasyāsecanakam ātmabhāvaṃ dṛṣṭvā sthalajalajāni puṣpāṇi gṛhītvā	tam taTAgatasya Asecanakam Atma BAvam dRzwvA sTala jala jAni puzpANi gRhItvA
   yena tathāgatasyāsecanaka ātmabhāvas tenopasaṃkrāntāḥ.	yena taTAgatasya AsecanakaH Atma BAvaH tena upasaMkrAntAH.
   atha khalu te devās te ca mānuṣās tābhir divyābhiḥ	aTa Kalu te devAH te ca mAnuzAH tABiH divyABiH
