   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   tarkaś ca bhedavādāṃśayukticchedaikapaṇḍitaḥ	tarkaH ca Beda-vAda-aMSa-yukti=-Ceda-eka-paNxitaH
   nanv abhede 'pi tarkasya kā cid asty upayogitā // 2.17 //	nanu aBede api tarkasya kA cit asti upayogitAH // 2.17 //
   paramādvayadṛṣṭau ca so 'pi naiva na saṃgataḥ	parama-advaya-dRzwO ca saH api na-eva na saMgataH
   ata eva parādvaitaṃ yad viśvānugrahātmakam	atas eva parAdvEtam yat viSva-anugraha-Atmakam
   tasyopāyaṃ paraṃ brūte hṛdayaṃ spandanātmakam // 2.18 //	tasya-upAyam param brUte hRdayam spandana-Atmakam // 2.18 //
   hṛdaye bodhamaye yaḥ svavimarśaḥ pūrṇaciccamatkāraḥ	hRdaye boDa-maye yaH sva-vimarSaH pUrNa-cit-camatkAraH
   yugapad drāgiti haṭhato līnīkṛtaviśvataḥsphuraṇaḥ // 2.19 //	yugapad drAk-iti haWataH lInIkRta-viSvatas-sPuraNaH // 2.19 //
   bhāvagrahādyacaramadaśāyor ullāsinirvṛtisupūrṇaḥ	BAva-graha-Adya-caram-adaSAyoH ullAsi-nirvRti-su-pUrNaH
   jagadānandamayo 'sau sāmānyaspanda ity uktaḥ // 2.20 //	jagat-Ananda-mayaH asO sAmAnya-spandaH iti uktaH // 2.20 //
   sphuraṇaṃ hṛdayasya yat kila prakaṭam idaṃ visargadhāmnaḥ	sPuraNam hRdayasya yat kila prakawam idam visarga-DAmnaH
   sad iti pratibhāti yāvatā trikaśaktau viśatīha tāvatā // 2.21 //	sat iti pratiBAti yAvatA trika-SaktO viSati-iha tAvatA // 2.21 //
   tad idaṃ hṛdayaṃ nirucyate paramaṃ bhairavasaṃvidāmṛtam	tat idam hRdayam nirucyate paramam BErava-saMvidA-amRtam
   iṣidṛkkṛtiśaktiśūlagaṃ parame dhāmni visṛjyate tataḥ // 2.22 //	izidRS-kRti-Sakti-SUla-gam parame DAmni visRjyate tatas // 2.22 //
   parame bhagavatparātmani sphuritaṃ viśvam idaṃ cidātmakam	parame Bagavat-para-Atmani sPuritam viSvam idam cit-Atmakam
   śaktitrayaśūlagaṃ tataḥ śāmbhavabhūmivisargavartmanā // 2.23 //	Sakti-traya-SUla-gam tatas SAmBava-BUmi-visarga-vartmanA // 2.23 //
   tad atho sad iti pragīyate tad idaṃ pūrṇam ihāhamātmakaṃ	tat aTo sat iti pragIyate tat idam pUrNam iha-aham-Atmakam
   hṛdayaṃ śivaśaktisaṃgamasphuraṇātmaiva sadāvabhāsate // 2.24 //	hRdayam Siva-Sakti-saMgama-sPuraNa-AtmA-eva sadA-avaBAsate // 2.24 //
   iha sṛṣṭilayasthitikramāḥ śataśo vāpi sahasrakoṭiśaḥ	iha sRzwi-laya-sTiti-kramAH SataSas vA-api sahasra-kowiSas-
   pravibhānti sadātanātmanā haraviṣṇvambujahetusaṃcitāḥ // 2.25 //	praviBAnti sadAtana-AtmanA hara-vizNu-ambuja-hetu-saMcitAH // 2.25 //
   iha tu puroktād yuktikalāpād yaḥ praviśet sadyo nāśaktaḥ	iha tu purA-uktAt yukti-kalApAt yaH praviSet sadyas na-aSaktaH
   taṃ prati śāktopāyapathena prakaṭīkriyate hṛdayaspandaḥ // 2.26 //	tam prati SAkta-upAya-paTena prakawIkriyate hRdaya-spandaH // 2.26 //
   triśūlaprāntagaprāṇapreraṇāvāptahṛtpathaḥ	triSUla-prAntaga-prANa-preraNa-avApta-hRt-paTaH
   tadantarvarticiccandrakalāviśrāntitatparaḥ // 2.27 //	tad-antar-varti-cit-candra-kalA-viSrAnti-tatparaH // 2.27 //
   jhaṭity evātha tadbhūmityāgena projjhya tā daśāḥ	Jawiti eva-aTa tad-BUmi-tyAgena projJya tAH daSAH
   nirānandādikāḥ pañcabhūtamadhyavyavasthitāḥ // 2.28 //	nirAnanda-AdikAH paQcaBUta-maDya-vyavasTitAH // 2.28 //
   tyajet pūrvāṃ parāṃ krāmet samyagviśrāntitatparaḥ	tyajet pUrvAm parAm krAmet samyak-viSrAnti-tatparaH
   yato nijānandamayī bhūmiḥ śāntapadānugā // 2.29 //	yatas nija-Ananda-mayI BUmiH SAnta-padAnugAH // 2.29 //
   nirānandaparānandau puruṣājātasaṃgatau	nirAnanda-para-AnandO puruza-ajAta-saMgatO
   abhedabhinnabhogyaughajanitānandajṛmbhaṇāt // 2.30 //	aBeda-Binna-Bogya-oGa-janita-Ananda-jRmBaNAt // 2.30 //
   mahānandasthitiḥ kāpi vāmācārā samullaset	mahAnanda-sTitiH kA-api vAma-AcArA samullaset-
   bhairavīyamahādhāmni svīkṛtāśeṣasaṃvidi // 2.31 //	BEravIya-mahA-DAmni svIkRta-aSeza-saMvidi // 2.31 //
   mahānandaś cidānandībhūya bhūyaḥ pravartate	mahAnandaH cit-AnandIBUya BUyas pravartate
   asmiṃs tu svīkṛtāśeṣadakṣavāmordhvagatrike // 2.32 //	asmin tu svIkRta-aSeza-dakza-vAma-UrDva-gatrike // 2.32 //
   trike sarvātmanā dvaitādvaitasaṃgrahaṇātmani	trike sarva-AtmanA dvEta-advEta-saMgrahaNa-Atmani
   abhinnā vātha bhinnā vā bhinnābhinnā athāpi vā // 2.33 //	aBinnAH vA-aTa BinnAH vA Binna-aBinnAH aTa-api vA // 2.33 //
   bhāvā nijādikānandadaśāpañcakayojitāḥ	BAvAH nija-Adika-Ananda-daSA-paQcaka-yojitAH
   jāyante jagadānandasamuddāmadaśājuṣaḥ // 2.34 //	jAyante jagat-Ananda-samuddAma-daSA-juzaH // 2.34 //
   nijānandaḥ pramātraṃśamātraniṣṭhanibandhanaḥ	nija-AnandaH pramAtR-aMSa-mAtra-nizWa-nibanDanaH
   śūnyatāmātraviśrānter nirānandātmikā sthitiḥ // 2.35 //	SUnyatA-mAtra-viSrAnteH nirAnanda-AtmikA sTitiH // 2.35 //
   prameyapadaviśrānteḥ parānando 'py udety alam	prameya-pada-viSrAnteH parAnandaH api udeti alam
   anantameyasaṃghaṭṭapūrṇe meye tu sarvataḥ // 2.36 //	ananta-meya-saMGawwa-pUrNe meye tu sarvatas // 2.36 //
   pramāṇāc carvaṇāyogān mahānanda iti sthitiḥ	pramANAt carvaNA-yogAt mahAnandaH iti sTitiH
   samastamānameyaughakalanāgrāsakovidaḥ // 2.37 //	samasta-mAna-meya-oGa-kalanA-grAsa-kovidaH // 2.37 //
   yadā viśrāntim abhyeti nirupādhisunirbharām	yadA viSrAntim aByeti nirupADi-su-nirBarAm
   tadā khalu cidānando yo jaḍānupabṛṃhitaḥ // 2.38 //	tadA Kalu cit-AnandaH yaH jaxa-anupabRMhitaH // 2.38 //
   na ca yatra sthitiḥ kāpi vibhaktā jaḍarūpiṇī	na ca yatra sTitiH kA-api viBaktA jaxa-rUpiNI
   yatra ko 'pi vyavacchedo nāsti yad viśvataḥ sphurat // 2.39 //	yatra kaH api vyavacCedaH na-asti yat viSvatas sPurat // 2.39 //
   yad anāhṛtasaṃvitti paramāmṛtabṛṃhitam	yat anAhRta-saMvitti parama-amRta-bRMhitam
   tad eva jagadānandadhāmāsmākaṃ gurur jagau // 2.40 //	tat eva jagat-Ananda-DAmA-asmAkam guruH jagO // 2.40 //
   yatrāsti bhāvanādīnāṃ na mukhyā kāpi saṃgatiḥ	yatra-asti BAvanA-AdInAm na muKyA kA-api saMgatiH
   tatra viśrāntir ādheyā hṛdayoccārayogataḥ // 2.41 //	tatra viSrAntiH ADeyAH hRdaya-uccAra-yogataH // 2.41 //
   yā tatra samyag viśrāntis tat parādvaitam ucyate	yA tatra samyak viSrAntiH tat parAdvEtam ucyate
   prāṇadaṇḍaprayogena pūrvāparasamīkṛteḥ // 2.42 //	prANa-daNxa-prayogena pUrva-apara-samIkRteH // 2.42 //
   catuṣkikāmbujālambilambikāsaudhasiktabhūḥ	catuzkika-ambuja-Alambi-lambikA-sODa-sikta-BUH
   bandhamokṣavibhāgena narād anyatra yoginā 43	banDa-mokza-viBAgena narAt anyatra yoginA 43
   anuttarasvabhāvena vāgvyāpārābhivartinā	anuttara-svaBAvena vAc-vyApAra-aBivartinA
   cidvimarśaparāhaṃkṛtpralayollāsayoginā // 2.44 //	cit-vimarSa-para-ahaMkRt-pralaya-ullAsa-yoginA // 2.44 //
   udyogavaśariktena saddvādaśakalātmanā	udyoga-vaSa-riktena sat-dvAdaSa-kalA-AtmanA
   sūryeṇābhāsite bhāve pūrite paricarcite // 2.45 //	sUryeNa-ABAsite BAve pUrite paricarcite // 2.45 //
   tadgrāsamantharavaśāḥ ṣoḍaśākhyakalājuṣā	tad-grAsa-manTaravaSAH zoxaSa-AKya-kalA-juzA
   praviṣṭeṇa vibodhāgnau samyag visṛjatā kalāḥ // 2.46 //	pravizweNa viboDa-agnO samyak visRjatA kalAH // 2.46 //
   catasro jīvanīḥ prāptavisargāvikṛtasthiteḥ	catasraH jIvanIH prApta-visarga-avikRta-sTiteH
   antaḥkṛtānantatattvakādikṣāntena sarvataḥ 47	antar-kRta-ananta-tattvaka-Adi-kzAntena sarvatas 47
   bhāvānāṃ bhāvatāsāravimarśābhāvahṛdyujā	BAvAnAm BAvatA-sAra-vimarSa-aBAva-hRd-yujA
   bahiḥprasavasadyogikulanetryadhiśāyinā // 2.48 //	bahis-prasava-sat-yogi-kula-netrI-aDiSAyinA // 2.48 //
   rudrayāmalabhāvena nityaṃ yā niṣṭhitaiva tām	rudrayAmala-BAvena nityam yA nizWitA-eva tAm
   citprāṇaguṇadehāntaśaktisopānamālikām // 2.49 //	cit-prANa-guNa-dehAnta-Sakti-sopAna-mAlikAm // 2.49 //
   visargena visṛjyātha spandanodaravartinā	visargena visRjya-aTa spandana-udara-vartinA
   visargabhūmim āśliṣya matsyodaradaśājuṣam // 2.50 //	visarga-BUmim ASlizya matsya-udara-daSAjuzam // 2.50 //
   sarvasarvagatāṃ sarvajīvanīṃ paramāṃ kalām	sarva-sarva-gatAm sarva-jIvanIm paramAm kalAm
   triśūlabhuvam ākramya nāḍītritayasaṃgatām // 2.51 //	triSUla-Buvam Akramya nAxI-tritaya-saMgatAm // 2.51 //
   vikasvarāṃ saṃkucitāṃ krameṇaikātmyam āśritām	vikasvarAm saMkucitAm krameNa-EkAtmyam ASritAm
   bhrūkuṭībindunādāntaśaktisopānamālikām // 2.52 //	BrUkuwI-bindunAda-anta-Sakti-sopAna-mAlikAm // 2.52 //
   rāsabhīvaḍavāsrāvasasaṃkocavikāsikām	rAsaBI-vaxa-vAsrAvasa-saMkoca-vikAsikAm
   muhur muhur līyamānasṛṣṭabhāvaughanirbharām // 2.53 //	muhur muhur lIyamAna-sRzwa-BAva-oGa-nirBarAm // 2.53 //
   ekīkṛtamahāmūlaśūlavaisargikāspadām	ekIkRta-mahA-mUla-SUla-vEsargika-AspadAm
   samagrabhāvabharaṇabhairavīyahṛdāśritām // 2.54 //	samagra-BAva-BaraNa-BEravIya-hRd-ASritAm // 2.54 //
   sarvāpūraṇahevākasamarjitaparābhidhām	sarva-ApUraNa-hevAka-samarjita-para-aBiDAm
   ādyantarahitām enāṃ viśvapravaṇaśālinīm // 2.55 //	Adi-anta-rahitAm enAm viSva-pravaNa-SAlinIm // 2.55 //
   hṛdbodhākāśaciccandracandrikāṃ tritayeśikām	hRd-boDa-AkASa-cit-candra-candrikAm tritayeSikAm
   devīṃ prāpya na kiṃ nāma labhate lambhyaty api // 2.56 //	devIm prApya na kim nAma laBate lamByati api // 2.56 //
   tad atra bhāvanādehagatopāyaiḥ pare sati	tat atra BAvanA-deha-gata-upAyEH pare sati
   yadaiṣa pravivikṣuḥ syād yogī tāvad prakampate // 2.57 //	yadA-eza pravivikzuH syAt yogI tAvat prakampate // 2.57 //
   pūrvajanmaśatābhyastadehatādātmyaniścayaḥ	pUrva-janma-Sata-aByasta-deha-tAdAtmya-niScayaH
   jalapāṃsuvad ekatvaṃ manvānaś ciccharīrayoḥ // 2.58 //	jala-pAMsu-vat eka-tvam manvAnaH cit-SarIrayoH // 2.58 //
   bhedākhyamāyārahite paripūrṇacidātmani	Beda-AKya-mAyA-rahite paripUrNa-cit-Atmani
   praviśet prathamaṃ yāvat svabalākramaṇakramāt // 2.59 //	praviSet praTamam yAvat sva-bala-AkramaNa-kramAt // 2.59 //
   bhaven nidrāsya sā dehāveśaśaithilyadāyinī	Bavet nidrA-asya sA deha-AveSa-SETilya-dAyinI
   kamprarūpaiva yāvan no rūḍhir jātā parātmani // 2.60 //	kampra-rUpA-eva yAvat naH rUXiH jAtA para-Atmani // 2.60 //
   etad avyaktaliṅgaṃ tannaraśaktiśivātmakam	etat avyakta-liFgam tat-nara-Sakti-Siva-Atmakam
   yatra viśvam idaṃ līnaṃ yad antaḥsthaṃ ca gamyate // 2.61 //	yatra viSvam idam lInam yat antaHsTam ca gamyate // 2.61 //
   kiṃ cādhvajātam etad dehasthatayaiva pūrvanirṇītam	kim ca-aDva-jAtam etat deha-sTa-tayA-eva pUrva-nirNItam
   tasyonmeṣavaśena sphuṭatāṃ yāyāt samāveśaḥ // 2.62 //	tasya-unmeza-vaSena sPuwa-tAm yAyAt samAveSaH // 2.62 //
   cittattvasya viśeṣaspandadaśāśālinaś cidānandaḥ	cit-tattvasya viSeza-spanda-daSA-SAlinaH cit-AnandaH
   śāktasamullāsabharād antaḥkṛtamantravīryaparasāraḥ // 2.63 //	SAkta-samullAsa-BarAt antar-kRta-mantra-vIrya-para-sAraH // 2.63 //
   naraśaktimayam idaṃ tadvyaktāvyaktaṃ bhavel liṅgaṃ	nara-Sakti-mayam idam tad-vyakta-avyaktam Bavet liFgam
   siddhiphalaprasavarasaprasūnam iti kathyate śāstre // 2.64 //	sidDi-Pala-prasava-rasa-prasUnam iti kaTyate SAstre // 2.64 //
   vyaktaliṅgaṃ tad uktaṃ tu yat kevalanarātmakam	vyakta-liFgam tat uktam tu yat kevala-nara-Atmakam
   ekasya spandanasyeyaṃ tridhā bhedavyavasthitiḥ // 2.65 //	ekasya spandanasya-iyam triDA Beda-vyavasTitiH // 2.65 //
   etalliṅgajñānapraviyuktahṛdā vṛthaiva hi bhajante	etad-liFga-jQAna-praviyukta-hRdA vRTA-eva hi Bajante
   bāhyasthaliṅgapūjāṃ prayāsamātraṃ phalāya na hi tat syāt // 2.66 //	bAhya-sTa-liFga-pUjAm prayAsa-mAtram PalAya na hi tat syAt // 2.66 //
   yad vyaktam ātmaliṅgākhyaṃ nararūpasamāśrayi	yat vyaktam Atma-liFga-AKyam nara-rUpa-samASrayi
   dehābhedamaye bāhye viśvasmin bharite sati // 2.67 //	deha-aBeda-maye bAhye viSvasmin Barite sati // 2.67 //
   samudeti mahānandabhūmau līnasya yoginaḥ	samudeti mahAnanda-BUmO lInasya yoginaH
   tenādyaṃ liṅgam abhyeti saṃmukhīnatvam añjasā // 2.68 //	tena-Adyam liFgam aByeti saMmuKIna-tvam aQjasA // 2.68 //
   atra liṅge sadā tiṣṭhet pūjāviśrāntitatparaḥ	atra liFge sadA tizWet pUjA-viSrAnti-tatparaH
   yadyoginīnāṃ hṛdayaṃ paramānandamandiram // 2.69 //	yat-yoginInAm hRdayam parama-Ananda-mandiram // 2.69 //
   pūrvoktabījayonyaṃśavisargānandamandirāḥ	pUrva-ukta-bIja-yoni-aMSa-visarga-Ananda-mandirAH
   yatra kāmapi tādātmyasampattiṃ cinvate budhāḥ // 2.70 //	yatra kAm-api tAdAtmya-sampattim cinvate buDAH // 2.70 //
   yatra prayāsavirahāt sarvo 'sau devatāgaṇaḥ	yatra prayAsa-virahAt sarvaH asO devatA-gaNaH
   ānandapūrṇe dhāmny āste nityoditacidātmakaḥ // 2.71 //	Ananda-pUrNe DAmni Aste nitya-udita-cit-AtmakaH // 2.71 //
   yattadbhairavanāthasya saṃkocetarabhāsanam	yat-tat-BErava-nATasya saMkoca-itara-BAsanam
   avidyamānasaṃkocavikāsasyāpi bhāsate // 2.71 //	avidyamAna-saMkoca-vikAsasya-api BAsate // 2.71 //
   yattatsamāptisaṃghaṭṭasamutthānandadhārayā	yat-tat-samApti-saMGawwa-samutTa-Ananda-DArayA
   avasiktam idaṃ viśvam apojjhati purāṇatām // 2.72 //	avasiktam idam viSvam apa-ujJati purANa-tAm // 2.72 //
   tatra praveśane yatnaḥ kāryatvena prayāsakṛt	tatra praveSane yatnaH kAryatvena prayAsa-kRt-
   yataḥ sadodito bhānuḥ kiṃ dīpena vicāryate // 2.73 //	yatas sadA-uditaH BAnuH kim dIpena vicAryate // 2.73 //
   yadi svātmasthito yogī śivacitspandabhūmigaḥ	yadi sva-Atma-sTitaH yogI Siva-cit-spanda-BUmi-gaH
   yadi vā bāhyabhāvaughaviśeṣayoginīkulanandanaḥ // 2.74 //	yadi vA bAhya-BAva-oGa-viSeza-yogi-nI-kula-nandanaH // 2.74 //
   ghaṭābhāve 'pi sāmānyaspandābhāsamayīṃ sthitim	Gawa-aBAve api sAmAnya-spanda-ABAsa-mayIm sTitim
   parabhairavamudrāṃ tām antarlakṣabahirdṛśam // 2.77 //	para-BErava-mudrAm tAm antar-lakza-bahis-dRSam // 2.77 //
   yad āśrayati śaivī sā parā devī tataḥ punaḥ	yat ASrayati SEvI sA parA devI tatas punar-
   svātantryahelānirmeye tattadarthakriyāmaye // 2.78 //	svAtantrya-helA-nirmeye tad-tad-arTa-kriyA-maye // 2.78 //
   bhāvaughe sotsukaunmukhyavimarśarasayogataḥ	BAva-oGe sa-utsuka-OnmuKya-vimarSa-rasa-yogataH
   viśeṣaspandasadbhūmiṃ śaktiṃ saṃspṛśya vartate // 2.79 //	viSeza-spanda-sat-BUmim Saktim saMspRSya vartate // 2.79 //
   etenādhiṣṭhitā dhāmnā svamantrāstatprakāśane	etena-aDizWitAH DAmnA sva-mantrAH-tad-prakASane
   yānti svātantrayogitvaṃ vicitrāsvapi siddhiṣu // 2.80 //	yAnti svAtantra-yogi-tvam vicitrAsu-api sidDizu // 2.80 //
   hānādānatiraskāravṛttau rūḍhim upāgataḥ	hAna-AdAna-tiraskAra-vRttO rUXim upAgataH
   sarvabhāsanayogena bhāsamānaṃ cidātmanā // 2.81 //	sarva-BAsana-yogena BAsamAnam cit-AtmanA // 2.81 //
   abhedavṛttitaḥ paśyan dṛśyaṃ citicamatkṛteḥ	aBeda-vRttitaH paSyan dRSyam citi-camatkRteH
   arthakriyārthitādainyakāritāṃ kātarāṃ sthitm // 2.82 //	arTa-kriyA-arTita-AdEnya-kAritAm kAtarAm sTitm // 2.82 //
   vihāya yāvad āsīta tāvac chāṃbhavabhūmikām	vihAya yAvat AsIta tAvat SAMBava-BUmikAm
   bhairavīm āviśaty eva parāṃ bhūmim ayatnataḥ // 2.83 //	BEravIm AviSati eva parAm BUmim ayatnataH // 2.83 //
   etadāviṣṭasaṃvitti sarvam eva nirīkṣyate	etat-Avizwa-saMvitti sarvam eva nirIkzyate
   prakāśarūpatākrāntaṃ caitanyaṃ hi prakāśate // 2.84 //	prakASa-rUpa-tA-AkrAntam cEtanyam hi prakASate // 2.84 //
   na cāprakāśaṃ prākāśyayogād eti prakāśatām	na ca-aprakASam prAkASya-yogAt eti prakASatAm
   iti vistarataḥ pūrvaṃ prakāśitam idaṃ yataḥ // 2.85 //	iti vistarataH pUrvam prakASitam idam yatas // 2.85 //
   mahāsāhasasaṃyogavilīnākhilavṛttikaḥ	mahA-sAhasa-saMyoga-vilIna-aKila-vRttikaH
   puñjībhūtasvaraśmyoghanirbharībhūtamānasaḥ // 2.86 //	puQjIBUta-sva-raSmi-oGa-nirBarIBUta-mAnasaH // 2.86 //
   akiṃciccintakaḥ spaṣṭadṛṣṭabhedojjhitasthitiḥ	akiMcid-cintakaH spazwa-dRzwa-Beda-ujJita-sTitiH
   yāvad āsīta tāvat tu pūrvoktā eva bhūmayaḥ // 2.87 //	yAvat AsIta tAvat tu pUrva-uktAH eva BUmayaH // 2.87 //
   sāṃmukhyaṃ yānti saṃsārasadmadāhaikahetavaḥ	sAMmuKyam yAnti saMsAra-sadma-dAha-eka-hetavaH
   yaś ca divyo 'kṣasaṃghāto bhedarūḍhitirohitaḥ // 2.88 //	yaH ca divyaH akza-saMGAtaH Beda-rUXi-tirohitaH // 2.88 //
   svātantryapoṣakakrīḍāmātropakaraṇātmakaḥ	svAtantrya-pozaka-krIxA-mAtra-upakaraNa-AtmakaH
   yadā nimīlanāvandhyas tiṣṭhaty ekaṃ kṣaṇaṃ tadā // 2.89 //	yadA nimIlana-avanDyaH tizWati ekam kzaNam tadA // 2.89 //
   taddvāroditasaṃbodhamahājvālāvilāpitam	tad-dvAra-udita-saMboDa-mahA-jvAlA-vilApitam
   viśvam abhyeti paramānandasāgaraśāyitām // 2.90 //	viSvam aByeti parama-Ananda-sAgara-SAyitAm // 2.90 //
   tadrasāpānaviśrāntaḥ saṃviddevīḥ pratarpayan	tad-rasa-apAna-viSrAntaH saMvid-devIH pratarpayan
   acirād eti maraṇajanmatrāsavihīnatām // 2.91 //	acirAt eti maraNa-janma-trAsa-vihIna-tAm // 2.91 //
   āśyānabhāvaṃ hi gatā svasaṃviddehendriyajñeyamayatvam āptā	ASyAna-BAvam hi gatA sva-saMvid-deha-indriya-jQeya-maya-tvam AptA
   yuktyā tu sā prāptavilīnabhāvāt saṃvidghanaṃ svaṃ vapur eva yāti // 2.92	yuktyA tu sA prApta-vilIna-BAvAt saMvid-Ganam svam vapuH eva yAti // 2.92
   yuktyā yayaiva bāhyārthavivaśīkṛtacetasām	yuktyA yayA-eva bAhya-arTa-vivaSIkRta-cetasAm
   vyutthitir jāyate saiva bhairavānandasaṃvidaḥ // 2.93 //	vyutTitiH jAyate sA-eva BErava-Ananda-saMvidaH // 2.93 //
   tayaiva yoginīvaktrasaṃpradāyakramāptayā	tayA-eva yoginI-vaktra-saMpradAya-krama-AptayA
   vidhūtakalmaṣāveśā tiṣṭhate cinmayī sthitiḥ // 2.94 //	viDUta-kalmazA-veSA tizWate cit-mayI sTitiH // 2.94 //
   vaktram īṣad yadā yogī vikāsayati saṃvidaḥ	vaktram Izat yadA yogI vikAsayati saMvidaH
   sarvā indriyanāḍyantaścakrākramaṇasaṃśrayāḥ // 2.95 //	sarvAH indriya-nAxI-antaH-cakra-AkramaNa-saMSrayAH // 2.95 //
   tadā vikāsaṃ grāhyārthabhedābhāvamayaṃ haṭhāt	tadA vikAsam grAhya-arTa-Beda-aBAva-mayam haWAt-
   prayānti cidunmukhatvāt nīlapītādibhedavān // 2.96 //	prayAnti cit-unmuKa-tvAt nIla-pIta-Adi-BedavAn // 2.96 //
   grāhyagrāhakasaṃbandhabhedaḥ sapadi bhidyate	grAhya-grAhaka-saMbanDa-BedaH sapadi Bidyate
