   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   abhīṣṭeti /	aBIzwa iti /
   abhīṣṭānāṃ phalānāmudārā dātrī /	aBIzwAnAm PalAnAm udArA dAtrI /
   yadvā abhīṣṭāni phalāni yasyāṃ sā udārā mahatī ca kalpavallī tāmiti	yat vA aBIzwAni PalAni yasyAm sA udArA mahatI ca kalpavallI tAm iti
   rūpakam /	rUpakam /
   "udāro dātṛmahato"rityamaraḥ /	"udAraH dAtR mahatA u"riti amaraH /
   saṅgatimudyotasyeti /	saFgatim udyotasya iti /
   prathamodyotena dvitīyodyotasya saṅgatimitatatatyarthaḥ /	praTama udyotena dvitIya udyotasya saFgatim itatatatyarTaH /
   uktena saha vakṣyamāṇasya saṅgatimiti yāvat /	uktena saha vakzyamANasya saFgatim iti yAvat /
   sā cātra prasaṅgarūpā bodhyā /	sA ca atra prasaFga rUpA boDyA /
   kurvāṇaḥ sampādayan /	kurvANaH sampAdayan /
   upakramate vaktumārabhate /	upakramate vaktum AraBate /
   sūtrakāreṇāprakāśitatvādāha  	sUtra kAreNa aprakASita tvAt Aha  
   mayetyādi /	mayA ityAdi /
   'tatre'tyādigranthamavatārayati  	atatre atyAdi granTam avatArayati  
   na cetyādi /	na ca ityAdi /
   etaditi /	etat iti /
   dviprakāratvamityarthaḥ /	dvi prakAra tvam iti arTaH /
   utsūtraṃ sūtramullaṅdhya sūtrakārānabhipretamiti yāvat /	utsUtram sUtram ullaFDya sUtrakArAn aBipretam iti yAvat /
   'tetre'ti tatpadamuktadvi prakāraprakāśanakriyāparāmarśa kamityabhipretya	atetre ati tat padam ukta dvi prakAra prakASana kriyA parAmarSa kam iti aBipretya
   vyācaṣṭe  	vyAcazwe  
   dviprakāraprakāśana iti /	dvi prakAra prakASanaH iti /
   nimittamiti /	nimittam iti /
   tralarthakathanaṃ pūritaṃ vā /	tralarTa kaTanam pUritam vA /
   asyaiva vivaraṇam  	asya eva vivaraNam  
   bījabhūtamiti /	bIja BUtam iti /
   'ucyata' ityanenāsyānvayaḥ /	aucyata a iti anena asya anvayaH /
   iti sambandha iti /	iti sambanDaH iti /
   evaṃ pūrvāparayossaṅgatirityarthaḥ /	evam pUrva aparayossaFgatiH iti arTaH /
   anyathā vyācaṣṭe  	anyaTA vyAcazwe  
   yadi vetyādi /	yadi vA ityAdi /
   pūrvaśeṣaḥ pūrvānvayi /	pUrva SezaH pUrva anvayi /
   prathamodyotānte vṛttikāreṇa locanam sambandhaḥ /	praTama udyota ante vRtti kAreNa locanam sambanDaH /
   yadi vā tatreti pūrvaśeṣaḥ /	yadi vA a tatra iti pUrva SezaH /
   tatra prathamoddyote vṛttikāreṇa prakāśitaḥ avivakṣitavācyasya yaḥ	tatra praTama uddyote vRttikAreNa prakASitaH avivakzita vAcyasya yaH
   prabhedo 'vāntaraprakārastatpratipādanāyedamucyate /	praBedaH avAntara prakAraH tad pratipAdanAya idam ucyate /
   tadavāntarabhedapratipādanadvāreṇaiva cānuvādadvāreṇāvivakṣitavācyasya yaḥ	tad avAntara Beda pratipAdana dvAreNa eva ca anuvAda dvAreNa avivakzita vAcyasya yaH
   prabhedo vivakṣitānyaparavācyātprabhinnatvaṃ tatpratipādanāyedamucyate /	praBedaH vivakzitAni apara vAcyAt praBinna tvam tat pratipAdanAya idam ucyate /
   bhavati mūlato dvibhedatvaṃ kārikākārasyāpi sammatameveti /	Bavati mUlataH dvi Beda tvam kArika AkArasya api sammatam eva iti /
   bhāvaḥ /	BAvaH /
   saṅkramitamiti ṇicā vyañcanāvyāpāre yaḥ sahakārivargastasyāyaṃ prabhāva	saFkramitam iti NicA vyaQcanA vyApAre yaH sahakAri vargaH tasya ayam praBAva
   ityuktaṃ tiraskṛtaśabdena ca /	iti uktam tiraskRta Sabdena ca /
   yena vācyenāvivakṣitena satāvivakṣitāvācyo dhvanirvyapadiśyate tadvācyaṃ	yena vAcyena avivakzitena satA vivakzita avAcyaH DvaniH vyapadiSyate tad vAcyam
   dvidheti sambandhaḥ /	dviDA iti sambanDaH /
   yo 'rthaṃ upapadyamano 'pi	yaH arTam upapadya manaH api
   tāvataivānupayogāddharmāntarasaṃvalanayānyatāmiva gato lakṣyamāṇo	tAvatA eva anupayogAt Darma antara saMvalanayA anya tAm iva gataH lakzyamANaH 
   'nugatadharmī sūtranyāyenāste sa rūpāntarapariṇata uktaḥ /	anugata DarmI sUtra nyAyena Aste sa rUpa antara pariNataH uktaH /
   bālapriyā "iti pratamodyota" ityuktatvādatra pakṣe tatreti tatpadena tasya	bAla priyA "iti pratama udyota" iti ukta tvAt atra pakze tatra iti tad padena tasya
   parāmarśa ityāhṛ  	parAmarSaH iti AhR  
   prathamodyota iti /	praTama udyotaH iti /
   asya pūrvoṇa sahānvayaṃ darśayitumāha  	asya pUrvoNa saha anvayam darSayitum Aha  
   vṛttikāreṇa prakāśita iti /	vRtti kAreNa prakASitaH iti /
   atra pakṣe ata iti śeṣo bodhyaḥ /	atra pakze atas iti SezaH boDyaH /
   'avivakṣite'tyādigranthaṃ vyācaṣṭe avivakṣitavācyasyetyādi /	aavivakzite atyAdi granTam vyAcazwe a vivakzita vAcyasya ityAdi /
   avāntaraprakāraḥ avāntaradharmaḥ /	avAntara prakAraH avAntara DarmaH /
   idamiti /	idam iti /
   'arthāntara' ityādi'mata'mityantaṃ sūtramityarthaḥ /	aarTa antara a ityAdi amata am iti antam sUtram iti arTaH /
   'athāsaṃlakṣyakramodyota' ityādinā vakṣyamāṇenāpi saṅgatiṃ	aaTa asaMlakzya krama udyota a ityAdinA vakzyamANena api saFgatim
   sampādayitumanyathāpi vyācaṣṭe tadavāntaretyādi /	sampAdayitum anyaTA api vyAcazwe  tat avAntara ityAdi /
   'arthāntare saṅkramitam' ityādinā yattadavāntarabhedapratipādanaṃ	aarTa antare saFkramitam a ityAdinA yat tat avAntara Beda pratipAdanam
   tadvāreṇaiva tatpūrvakameva /	tad vAreNa eva tat pUrvakam eva /
   avivakṣitavācyasya dhvaneriti yo 'nuvādastaddvareṇa /	avivakzita vAcyasya DvaneH iti yaH anuvAdaH tad dvareNa /
   asyocyata ityanena sambandhaḥ /	asya ucyate iti anena sambanDaH /
   avivakṣitavācyasyeti /	avivakzita vAcyasya iti /
   tadanuyogika ityarthaḥ /	tad anuyogikaH iti arTaH /
   vakṣyamāṇaṃ manasi kṛtya 'vivakṣitānyaparavācyādityuktam /	vakzyamANam manasi kRtya avivakzitA ani apara vAcyAt iti uktam /
   prabhinnatvamanyonyābhāvaḥ /	praBinna tvam anyonya aBAvaH /
   tatpratipādanāya tasya jñāpanāya /	tad pratipAdanAya tasya jQApanAya /
   idamiti /	idam iti /
   avivakṣitavācyamityarthaḥ /	avivakzita vAcyam iti arTaH /
   phalitamāha  	Palitam Aha  
   bhavatītyādi /	Bavati ityAdi /
   mūlato dvibhedatvamādimaṃ dvaividhyam /	mUlataH dvi Beda tvam Adimam dvEviDyam /
   'ṇice'tyasya 'ukta'mityanena sambandhaḥ /	aNice atyasya auktaH am iti anena sambanDaH /
   ya iti /	yaH iti /
   lakṣaṇāvaktṛvivakṣādirityarthaḥ /	lakzaNa avaktR vivakza AdiH iti arTaH /
   ayaṃ saṅkramaṇam /	ayam saFkramaNam /
   tasya prabhāvaḥ /	tasya praBAvaH /
   tena prayuktaḥ /	tena prayuktaH /
   sa eva prayojakakarteti bhāvaḥ /	saH eva prayojaka kartA iti BAvaH /
   uktaṃ bodhatam /	uktam boDatam /
   tiraskṛtaśabdena ceti /	tiraskRta Sabdena ca iti /
   ityuktamityanenāsya sambandhaḥ /	iti uktam iti anena asya sambanDaH /
   'avivakṣite'tyādikaṃ vivṛṇoti  	aavivakzite ati Adikam vivRNoti  
   yenetyādi /	yena ityAdi /
   vācyeneti /	vAcyena iti /
   tattatpadavācyajātyādidharmaviśiṣṭadharmiṇetyarthaḥ /	tad tad pada vAcya jAti Adi Darma viSizwa DarmiNA iti arTaH /
   'arthāntare saṅkramitam' ityādikaṃ vivṛṇoti yo 'rtha ityādi /	aarTa antare saFkramitam a iti Adikam vivRNoti yaH arTaH ityAdi /
   yo 'rthaḥ rāmo 'smītyādau śamādirūpo 'rthaḥ /	yaH arTaH rAmaH asmi ityAdO Sama Adi rUpaH arTaH /
   upapadyamāno 'pi vācyājātyādiprakāreṇānvayayogyo 'pi /	upapadyamAnaH api vAcya ajAti Adi prakAreNa anvaya yogyaH api /
   anupayogāditi /	anupayogAt iti /
   viśeṣānādhāyakatvena punaruktatvena vā upayogābhāvādityarthaḥ /	viSeza an ADAyaka tvena punarukta tvena vA upayoga aBAvAt iti arTaH /
   dharmāntarasaṃvalanayā vācyadharmātiriktadharmavatvena /	Darma antara saMvalanayA vAcya Darma atirikta Darmava tvena /
   lakṣyamāṇaḥ lakṣaṇayā pratīyamānaḥ /	lakzyamANaH lakzaNayA pratIyamAnaH /
   ata evānyatāṃ gata iva /	atas eva anya tAm gataH iva /
   yadvā  	yat vA  
   dharmāntarasaṃvalanayā vācyadharmātiriktadharmaprakārakapratītiviṣayatvena	Darma antara saMvalanayA vAcya Darma atirikta Darma prakAraka pratIti vizaya tvena
   hetunā anyatāṃ gata iva lakṣyamāṇaḥ pratīyamānaḥ /	hetunA anya tAm gataH iva lakzyamANaH pratIyamAnaH /
   anugatadharmī san lakṣyamāṇadharmāṇāṃ tatra tatra bhinnatve 'pi vyaktirūpo	anugata DarmI san lakzyamANa DarmANAm tatra tatra Binna tve api vyakti rUpaH 
   dharmī anustūta eveti bhāvaḥ /	DarmI anustUtaH eva iti BAvaH /
   sūtranyāyeneti /	sUtra nyAyena iti /
   yathā puṣpādiṣvekaṃ sūtramanusyūtantathetyarthaḥ /	yaTA puzpa Adizu ekam sUtram anusyUtan taTA iti arTaH /
   tathāvidhābhyāṃ ca tābhyāṃ vyaṅgyasyaiva viśeṣaḥ /	taTAviDAByAm ca tAByAm vyaFgyasya eva viSezaH /
   tatrārthāntarasaṅkramitavācyo yathā  	tatra arTa antara saFkramita vAcyaH yaTA  
   snigdhaśyāmalakāntiliptaviyato velladbalākā dhanā vātāḥ śīkariṇaḥ	snigDa SyAmala kAnti lipta viyataH vellat balAkAH DanAH vAtAH SIkariNaH
   payodasuhṛdāmānandakekāḥ kalāḥ /	payoda suhRdAm Ananda kekAH kalAH /
   locanam yastvanupapadyamāna upāyatāmātreṇārthāntarapratipattiṃ kṛtāv	locanam yaH tu anupapadyamAnaH upAya tA mAtreNa arTa antara pratipattim kRtO= 
   palāyata iva sa tiraskṛta iti /	palAyate iva sa tiraskRtaH iti /
   nanu vyaṅgyātmano yadā dhvanerbhedo nirūpyate tadā vācyasāya dvidheti	nanu vyaFgya AtmanaH yadA DvaneH BedaH nirUpyate tadA vAcyasAya dviDA iti
   bhedakathanaṃ na saṅgatamityāśaṅkyāha  	Beda kaTanam na saFgatam iti ASaFkya Aha  
   tathāvidhābhyāṃ ceti /	taTAviDAByAm ca iti /
   co yasmādarthe /	caH yasmAt arTe /
   vyañjakavaiciñyāddhi yuktaṃ vyaṅgyavaiciñyamiti bhāvaḥ /	vyaQjaka vEciQyAt hi yuktam vyaFgya vEciQyam iti BAvaH /
   vyañjake tvarthe yadi dhvaniśabdastadā na kaściddoṣa iti bhāvaḥ /	vyaQjake tu arTe yadi Dvani SabdaH tadA na kaScid dozaH iti BAvaH /
   bhedapratipādakenaivānvarthanāmnā lakṣaṇamapi	Beda pratipAdakena eva anvarTa nAmnA lakzaNam api
   siddhamityabhiprāyeṇodāharaṇamevāha  	sidDam iti aBiprAyeNa udAharaNam eva aha  
   arthāntarasaṅkramitavācyo yatheti /	arTa antara saFkramita vAcyaH yaTA iti /
   atra śloke rāmaśabda iti saṅgatiḥ /	atra Sloke rAma SabdaH iti saFgatiH /
   snigdhayā jalasambandhasarasayā śyāmalayā draviḍavanitocitāsitavarṇayā	snigDayA jala sambanDa sarasayA SyAmalayA dravixa vanitA ucita asita varNayA
   kāntyā cākacakyena liptamācchuritaṃ viyannabho yaiḥ vellantyo	kAntyA cAkacakyena liptam AcCuritam viyat naBaH yEH vellantyaH 
   vijṛmbhamāṇāstatā calantyaḥ parabhāgavaśātpraharṣavaśācca balākāḥ	vijRmBamANAH tatA calantyaH para BAga vaSAt praharza vaSAt ca balAkAH
   bālapriyā rūpāntarapariṇata iti arthāntare saṅkramitamityasyaiva vivaraṇam	bAla priyA rUpa antara pariNataH iti arTa antare saFkramitam iti asya eva vivaraNam
   yastviti /	yaH tu iti /
   'niśvāsāndha' ityādāvandhādipadārtha ityarthaḥ /	aniSvAsa anDa a iti AdO= anDa Adi padArTaH iti arTaH /
   anupapadyamānaḥ anvayāyogyaḥ /	anupapadyamAnaH anvayA yogyaH /
   upāyatāmātreṇeti /	upAya tA mAtreNa iti /
   mukhyārthasambandhasya lakṣaṇānimittatvāditi bhāvaḥ /	muKya arTa sambanDasya lakzaNa animitta tvAt iti BAvaH /
   tiraskṛta iti /	tiraskRtaH iti /
   ukta ityanuṣaṅgaḥ /	uktaH iti anuzaFgaH /
   nanviti /	nanu iti /
   vyaṅgyātmano dhvaneḥ dhvanipadārthasya vyaṅgyasya /	vyaFgya AtmanaH DvaneH Dvani padArTasya vyaFgyasya /
   yadā yadi /	yadA yadi /
   'vācyasya bhedakathanam' iti sambandhaḥ /	avAcyasya Beda kaTanam a iti sambanDaH /
   vṛttau 'tathāvidhābhyām' iti /	vRttO ataTAviDAByAm a iti /
   arthāntarasaṅkramitātyantatiraskṛtābhāyāmityarthaḥ /	arTa antara saFkramitA atyanta tiraskRta ABAyAm iti arTaH /
   'tābhyāṃ' vācyābhyām /	atAByAma vAcyAByAm /
   'viśeṣaḥ' bhedaḥ /	aviSezaH a BedaH /
   viśeṣa ityasyānantaraṃ 'iti vyaṅgyaprakāśanaparasya dhvanerevāyaṃ	viSezaH iti asya anantaram aiti vyaFgya prakASana parasya DvaneH eva ayam
   prakāraḥ' iti pāṭhaḥ kvācitkaḥ /	prakAraHa iti pAWaH kvAcid kaH /
   locane bhāvamāha  	locane BAvam Aha  
   vyañjake tvartha ityādi /	vyaQjake tu arTaH ityAdi /
   dhvaniśabdārthaḥ vyañjakaścedityarthaḥ /	Dvani Sabda arTaH vyaQjakaH ced iti arTaH /
   sa cārtho vā śabdo vā /	sa ca arTaH vA SabdaH vA /
   tatrādyapakṣe avivakṣitavācyasyetyasya avivakṣitaḥ apradhānīkṛto	tatra Adya pakze avivakzita vAcyasya iti asya avivakzitaH apraDAnIkRtaH 
   vācyassvātmā yena sa iti prathamodyotoktārthau bodhyaḥ /	vAcyassvAtmA yena saH iti praTama udyota ukta arTO boDyaH /
   doṣa iti /	dozaH iti /
   avatārikoktadeṣa ityarthaḥ /	avatArikA ukta dezaH iti arTaH /
   cākacakyeneti /	cAkacakyena iti /
   prabhātāralyenetyarthaḥ /	praBAtAralyena iti arTaH /
   vijṛmbhamāṇāḥ utsāhaśālinyaḥ /	vijRmBamANAH utsAha SAlinyaH /
   parabhāgavaśāditi /	para BAga vaSAt iti /
   medhānāṃ śayāmatvādbalākānāṃ sitatvāccetibhāvaḥ /	meDAnAm SayAma tvAt balAkAnAm sita tvAt ca iti BAvaH /
   praharṣeti /	praharza iti /
   meghasaṃsargalābhajanitapraharṣetyarthaḥ /	meGa saMsarga lABa janita praharzA iti arTaH /
   'ghanā' ityasya vivaraṇam  	aGanA a iti asya vivaraNam  
   medhā iti /	meDAH iti /
   'ghanā' ityanena nibiḍatvañca gamyate /	aGanA a iti anena nibixa tvaQca gamyate /
   'velladbalākā' ityanena sambhogasmārakatvañca /	avellat balAkA a iti anena samBoga smAraka tvaQca /
   ata eva āha  	atas eva Aha  
   evannabha ityādi /	evannaBaH ityAdi /
   'śīkariṇa' ityasya vivaraṇam  	aSIkariNa a iti asya vivaraNam  
   sūkṣmetyādi /	sUkzma ityAdi /
   itīti /	iti iti /
   kāmaṃ santu dṛḍhaṃ kaṭhorahṛdayo rāmo 'smi sarve sahe vaidehī tu kathaṃ	kAmam santu dRXam kaWora hRdayaH rAmaH asmi sarve sahe vEdehI tu kaTam
   bhaviṣyati hahā hā devi dhīrā bhava //	Bavizyati hahA hA devi DIrAH Bava //
   locanam sitapakṣiviśeṣā yeṣu ta evaṃ nabhastāvaddurālokaṃ vartate /	locanam sita pakzi viSezAH yezu te evam naBaH tAvat durAlokam vartate /
   diśo 'pi duḥsahāḥ /	diSaH api duHsahAH /
   yataḥ sūkṣmajalakaṇodgāriṇo vātā iti mandamandatvameṣāmaniyatadigāgamanaṃ	yatas sUkzma jala kaNA udgAriNaH vAtAH iti manda manda tvam ezAm aniyata diS Agamanam
   ca bahuvacanena sūcitam /	ca bahuvacanena sUcitam /
   tarhi guhāsu kvacitpraviśyāsyatāmityata āha  	tarhi guhAsu kvacid praviSya AsyatAm iti atas Aha  
   payodānāṃ ye suhṛdasteṣu ca satsu ye śobhanahṛdayā mayūrāsteṣāmānandena	payodAnAm ye suhRdaH tezu ca satsu ye SoBana hRdayAH mayUrAH tezAm Anandena
   harṣeṇa kalāḥ ṣaṅjasaṃvādinyo madhurāḥ kekāḥ śabdaviśeṣāḥ tāśca sarvaṃ	harzeNa kalAH zaFja saMvAdinyaH maDurAH kekAH Sabda viSezAH tAH ca sarvam
   payodavṛttāntaṃ dussahaṃ smārayanti; svayaṃ ca dussahā iti bhāvaḥ /	payoda vRttAntam dussaham smArayanti; svayam ca dussahAH iti BAvaH /
   evamuddīpanavibhāvodbodhitavipralambhaḥ parasparādhiṣṭānatvadrateḥ	evam uddIpana viBAva udboDita vipralamBaH paraspara aDizwAna tvadrateH
   vibhāvānāṃ sādhāraṇatāmabhimanyamānaḥ ita eva prabhṛti priyatamāṃ	viBAvAnAm sADAraNa tAm aBimanyamAnaH itas eva praBRti priyatamAm
   hṛdayenidhāyaiva svātmavṛttāntaṃ tāvadāha  	hRdayeniDAya eva sva Atma vRttAntam tAvat Aha  
   kāmaṃ santviti /	kAmam santu iti /
   dṛḍhamiti sātiśayam /	dRXam iti sa atiSayam /
   kaṭhorahṛdaya iti /	kaWora hRdayaH iti /
   rāmaśubdarthadhvaniviśeṣāvakāśadānāya kaṭhorahṛdayapadam /	rAma SubdarTa Dvani viSeza avakASa dAnAya kaWora hRdaya padam /
   yathā 'tadgehaṃ' ityukte 'pi 'natabhitti' iti /	yaTA atat gehama iti ukte api anata Bitti a iti /
   anyathā rāmapadaṃ	anyaTA rAma padam
   daśarathakulodbhavatvakausalyāsnehapātratvabālyacaritajānakīlābhādidharmāntarapariṇatamarthaṃ	daSaraTa kula udBava tva kOsalyA sneha pAtra tva bAlya carita jAnakI lABa Adi Darma antara pariNatam arTam
   kathaṃ na dhvanediti /	kaTam na Dvanet iti /
   asmīti /	asmi iti /
   sa bālapriyā śīkarima iti śīkarasambandhapratipādanena hetunetyarthaḥ /	sa bAlapriyA SIkarimaH iti SIkara sambanDa pratipAdanena hetunA iti arTaH /
   mandamandatvamityasya 'sūcitam' ityanena sambandhaḥ /	manda manda tvam iti asya asUcitam a iti anena sambanDaH /
   bahuvacavavyaṅgyaṃ darśayati  	bahuvacava vyaFgyam darSayati  
   eṣāmiti /	ezAm iti /
   suhṛda iti /	suhRdaH iti /
   bandhava ityarthaḥ /	banDavaH iti arTaH /
   arthāntarañcāha  	arTa antaraQca Aha  
   teṣviti /	tezu iti /
   śobhanahṛdayā iti ata evānanda iti bhāvaḥ /	SoBana hRdayAH iti atas eva AnandaH iti BAvaH /
   kalatvasyānandahetukatvāttadviśiṣṭakekānāmānandahetukatvamiti	kalatvasya Ananda hetuka tvAt tad viSizwa kekAnAm Ananda hetuka tvam iti
   darśayannāha  	darSayan= Aha  
   harṣema kalā iti /	harzema kalAH iti /
   evamityādi /	evam ityAdi /
   pūrvoktairuddīpanavibhāvairudvodhitaḥ vipralambhaḥ viyogakālāvacchinnā	pUrva uktEH uddIpana viBAvEH udvoDitaH vipralamBaH viyoga kAla avacCinnA
   ratiryasya saḥ /	ratiH yasya saH /
   parasparetyādi /	paraspara ityAdi /
   strīpuṃsayorjīvitasarvasvābhimānātmikāyā rateḥ	strIpuMsayoH jIvita sarva sva aBimAna AtmikAyAH rateH
   parasparasambandhitvādityarthaḥ /	paraspara sambanDi tvAt iti arTaH /
   vibhāvānāṃ sajalajaladharādīnām /	viBAvAnAm sa jala jalaDara AdInAm /
   sādhāraṇyaṃ priyatamāsādhāraṇyam /	sADAraNyam priyatamA sADa araNyam /
   abhimanyamāna iti /	aBimanyamAnaH iti /
   nirūpayannityarthaḥ /	nirUpayan= iti arTaH /
   ita iti /	itas iti /
   kāmamityādita ityarthaḥ /	kAmam iti Aditas iti arTaH /
   tāvaditi /	tAvat iti /
   prathamamityarthaḥ /	praTamam iti arTaH /
   kāmaṃ saṃntviti /	kAmam saMntu iti /
   yatheṣṭaṃ bhavantu ityarthaḥ /	yaTezwam Bavantu iti arTaH /
   rāmaśabdārtheti /	rAma Sabda arTa iti /
   rāmaśabdenārthaviśeṣāṇāṃ vyañjane sahakārītyarthaḥ /	rAma Sabdena arTa viSezANAm vyaQjane sahakArI iti arTaH /
   tadgehamiti /	tat geham iti /
   padyamidaṃ tṛtīyodyote udāhariṣyate /	padyam idam tRtIya udyote udAharizyate /
   anyatheti /	anyaTA iti /
   kaṭhorahṛdaya ityasyābhāva ityarthaḥ /	kaWora hRdayaH iti asya aBAvaH iti arTaH /
   bālpacariteti /	bAlpa caritA iti /
   vidyābhyāsatāṭakāvadhādītyarthaḥ /	vidyA aByAsa tAwaka avaDa Adi iti arTaH /
   ādipadena paraśurāmajayādikaṃ gṛhyate /	Adipadena paraSurAma jaya Adikam gRhyate /
   lābhādi yaddharmāntaraṃ tena pariṇataṃ tatprakārakapratītiviṣayam /	lABa Adi yat Darma antaram tena pariNatam tad prakAraka pratIti vizayam /
   kathaṃ na dhvanediti /	kaTam na Dvanet iti /
   tathāca kaṭhorahṛdayapadantadarthānuguṇānāmeva dharmāṇāṃ rāmaśabdena	taTA ca kaWora hRdaya padantad arTa anuguNAnAm eva DarmANAm rAma Sabdena
   vyañjene sahaṅkāritayā nirdiṣṭamiti bhāvaḥ /	vyaQjene sa haFkAri tayA nirdizwam iti BAvaH /
   'sarvaṃ sahe'ityasya yadyadduḥkhamāpatati tatsarvaṃ sahetyarthaḥ /	asarvam sahe aityasya yat yat duHKam Apatati tat sarvam saha iti arTaH /
   'vaidehī' ityatra rāmaśabdaḥ /	avEdehI a iti atra rAma SabdaH /
   anena hi vyaṅgyadharmāntarapariṇataḥ sañjñī pratyāyyate, na saṃjñimātram /	anena hi vyaFgya Darma antara pariNataH saQjQI pratyAyyate, na saMjQi mAtram /
   locanam evāhaṃ bhavāmītyarthaḥ /	locanam eva aham BavAmi iti arTaH /
   bhaviṣyatīti kriyāsāmānyam /	Bavizyati iti kriyA sAmAnyam /
   tena kiṃ kāriṣyatītyarthaḥ /	tena kim kArizyati iti arTaH /
   atha ca bhavanamevāsyā asambhāvyamiti /	aTa ca Bavanam eva asyAH asamBAvyam iti /
   uktaprakāreṇa hṛdayanihitāṃ priyāṃ smaraṇaśabdavikalpaparamparayā	ukta prakAreNa hRdaya nihitAm priyAm smaraNa Sabda vikalpa paramparayA
   pratyakṣībhāvitāṃ hṛdayasphoṭanonmukhīṃ sasaṃbhramamāha  	pratyakzI BAvitAm hRdaya sPowana unmuKIm sa saMBramam Aha  
   hahā heti /	hahA hA iti /
   devīti /	devI iti /
   yuktaṃ tava dhairyamityarthaḥ /	yuktam tava DEryam iti arTaH /
   aneneti /	anena iti /
   rāmaśabdenānupayujyamānārtheneti /	rAma Sabdena anupayujyamAna arTena iti /
   bhāvaḥ /	BAvaH /
   vyaṅgyaṃ dharmāntaraṃ prayojanarūpaṃ rājyanirvāsanādyasaṅkhyeyam /	vyaFgyam Darma antaram prayojana rUpam rAjya nirvAsana Adi asaFKyeyam /
   taccāsaṅkhyatvādabhidhāvyāpāreṇāśakyasamarpaṇam /	tat ca asaFKya tvAt aBiDA vyA pAreNa aSakya samarpaNam /
   krameṇārpyaṃmāṇamapyekadhīviṣayabhāvābhāvānna citracarvaṇāpadamiti na	krameNa arpyaMmANam api ekaDI vizaya BAva aBAvAt na citra carvaNa Apadam iti na
   cārutvātiśayakṛt /	cArutvA atiSaya kRt /
   pratīyamānaṃ tu tadasaṅkhyamanudbhi viseṣatvenaiva kiṃ kiṃ rūpaṃ na sahata	pratIyamAnam tu tad asaFKyam anudBi viseza tvena eva kim kim rUpam na sahata
   iti citrapānakarasāpūpaguḍamodakasthānīyavicitracarvaṇāpadaṃ bhavati /	iti citra pAnaka rasa apUpa guxa modaka sTAnIya vicitra carvaNa Apadam Bavati /
   yathoktam  	yaTA uktam  
   'uktyantareṇāśakyaṃ yat' iti /	aukti antareNa aSakyam yat a iti /
   bālapriyā tyanena ca duḥkhāsahiṣṇutvaṃ vyajyate /	bAlapriyA tyanena ca duHKa asahizNu tvam vyajyate /
   kriyāsāmānyamiti /	kriyA sAmAnyam iti /
   bodhayatīti śeṣaḥ /	boDayati iti SezaH /
   mukhyārthe 'pi vivakṣita ityāha  	muKya arTe api vivakzitaH iti Aha  
   ata ceti /	atas ca iti /
