   (KpSū 1)	(KpSU 1)
   ṣaḍbhikṣuṇīsahasraiḥ, yaśodharayā ca bhikṣuṇyā rāhulamātrā saparivārayā /	zaxBikzuNI sahasrEH, yaSaH DarayA ca BikzuNyA rAhula mAtrA sa parivArayA /
   aśītibhiśca bodhisattvasahasraiḥ	aSItiBiH ca boDisattva sahasrEH
   sarvairavaivartikairekajātipratibaddhairyadutānuttarāyāṃ samyaksaṃboddhau	sarvEH avEvartikEH eka jAti pratibadDEH yat uta anuttarAyAm samyaksaMbodDO
   dhāraṇīpratilabdhairmahāpratibhānapratiṣṭhitairavaivartyadharmacakrapravartakairbahubuddhaśatasahasraparyupāsitair	DAraNI pratilabDEH mahA pratiBAna pratizWitEH avEvarti aDarma cakra pravartakEH bahu budDa Sata sahasra paryupAsitEH 
   (KpSū 3)	(KpSU 3)
   bahubuddhaśatasahasrāvaropitakuśalamūlairbahubuddhaśatasahasrasaṃstutairmaitrīparibhāvitakāyacittaistathāgatajñānāvatāraṇakuśalairmahāprajñaiḥ	bahu budDa Sata sahasra avaropita kuSala mUlEH bahu budDa Sata sahasra saMstutEH mEtrI pariBAvita kAya cittEH taTAgata jQAna avatAraNa kuSalEH mahA pr
   prajñāpāramitāgatiṃgatairbahulokadhātuśatasahasraviśrutairbahuprāṇakoṭīniyutaśatasahasrasaṃpālakaiḥ	prajQApAramitA gatiMgatEH bahu loka DAtu Sata sahasra viSrutEH bahu prANa kowI niyuta Sata sahasra saMpAlakEH
   / tadyathā, mañjuśriyā ca kumārabhūtena bodhisattvena mahāsattvena	/ tat yaTA, maQju SriyA ca kumAra BUtena boDisattvena mahAsattvena
   avalokiteśvareṇa ca mahāsthāmaprāptena ca sarvārthanāmnā ca nityodyuktena	avalokita ISvareNa ca mahA sTAma prAptena ca sarva arTa nAmnA ca nitya udyuktena
   ca anikṣiptadhureṇa ca ratnapāṇinā ca bhaiṣajyarājena ca	ca anikzipta DureNa ca ratna pANinA ca BEzajya rAjena ca
   bhaiṣajyasamudgatena ca vyūharājena ca pradānaśūreṇa ca ratnacandreṇa ca	BEzajya samudgatena ca vyUha rAjena ca pradAna SUreNa ca ratnacandreNa ca
   pūrṇacandreṇa ca mahāvikramiṇā ca anantavikramiṇā ca trailokyavikramiṇā ca	pUrNa candreNa ca mahA vikramiNA ca ananta vikramiNA ca trElokya vikramiNA ca
   mahāpratibhānena ca satatasamitābhiyuktena ca dharaṇiṃdhareṇa ca	mahA pratiBAnena ca satata samita aBiyuktena ca DaraNiMDareNa ca
   akṣayamatinā ca mahāmatinā ca śāntamatinā ca nakṣatrarājena ca	akzaya matinA ca mahAmatinA ca SAnta matinA ca nakzatra rAjena ca
   ratnavairocanena ca maitreyeṇa ca bodhisattvena mahāsattvena siṃhena ca	ratna vErocanena ca mEtreyeNa ca boDisattvena mahAsattvena siMhena ca
   bodhisattvena mahāsattvena / bhadrapālapūrvaṃgamaiśca ṣoḍaśabhiḥ	boDisattvena mahAsattvena / BadrapAla pUrvaMgamEH ca zoxaSaBiH
   satpuruṣaiḥ sārdhaṃ / tadyathā, bhadrapālena ca ratnākareṇa ca	sat puruzEH sArDam / tat yaTA, BadrapAlena ca ratna AkareNa ca
   susārthavāhena ca naradattena ca guhaguptena ca varuṇadattena ca	su sArTavAhena ca naradattena ca guhaguptena ca varuNadattena ca
   indradattena ca uttaramatinā ca viśeṣamatinā ca vardhamānamatinā ca	indradattena ca uttara matinA ca viSeza matinA ca varDamAna matinA ca
   amoghadarśinā ca susaṃprasthitena ca suvikrāntavikramiṇā (KpSū 4) ca	amoGa darSinA ca su saMprasTitena ca su vikrAnta vikramiNA (KpSU 4) ca
   anupamamatinā ca sūryagarbheṇa ca dharaṇiṃdhareṇa ca / evaṃ	anupama matinA ca sUrya garBeNa ca DaraNiMDareNa ca / evam
   pramukhairaśītibhirbodhisattvasahasraiḥ sārdhaṃ / śakreṇa ca	pramuKEH aSItiBiH boDisattva sahasrEH sArDam / SakreNa ca
   devānāmindreṇa viṃśatidevaputrasahasraparivāreṇa / tadyathā, candreṇa ca	devAnAm indreNa viMSati deva putra sahasra parivAreNa / tat yaTA, candreNa ca
   devaputreṇa sūryeṇa ca samantagandhena ca ratnaprabheṇa ca	deva putreNa sUryeNa ca samantaganDena ca ratna praBeNa ca
   avabhāsaprabheṇa ca / evaṃ pramukhaiścānyairdevaputraiḥ / caturbhiśca	avaBAsa praBeNa ca / evam pramuKEH ca anyEH deva putrEH / caturBiH ca
   mahārājaiḥ sārdhaṃ saparivāraiḥ / brahmaṇā ca sahāpatinā sārdhaṃ	mahA rAjEH sArDam sa parivArEH / brahmaNA ca sahApatinA sArDam
   dvādaśabrahmakāyikāsahasreṇa śikhinā ca brahmaṇā jyotiḥprabheṇa ca	dvAdaSa brahmakAyikA sahasreNa SiKinA ca brahmaNA jyotiH praBeNa ca
   brahmanā / evaṃ pramukhairdvādaśabhiśca brahmakāyikadevaputrasahasraiḥ /	brahmanA / evam pramuKEH dvAdaSaBiH ca brahmakAyika deva putra sahasrEH /
   aṣṭābhiśca nāgarājaiḥ sārdhaṃ bahunāgakoṭīśatasahasraparivāraiḥ /	azwABiH ca nAga rAjEH sArDam bahu nAga kowI Sata sahasra parivArEH /
   caturbhiśca kinnararājaiḥ sārdhaṃ bahukinnarakoṭīśatasahasraparivāraiḥ /	caturBiH ca kinnara rAjEH sArDam bahu kinnara kowI Sata sahasra parivArEH /
   caturbhiśca gandharvakāyikairdevaputraiḥ sārdhaṃ	caturBiH ca ganDarva kAyikEH deva putrEH sArDam
   bahugandharvaśatasahasraparivāraiḥ / caturbhiścāsurendraiḥ sārdhaṃ	bahu ganDarva Sata sahasra parivArEH / caturBiH ca asura indrEH sArDam
   bahvasurakoṭīśatasahasraparivāraiḥ / caturbhiśca garuḍendraiḥ sārdhaṃ	bahu asura kowI Sata sahasra parivArEH / caturBiH ca garuxa indrEH sArDam
   bahugaruḍakoṭīniyutaśatasahasraparivāraiḥ / rājñā cājātaśatruṇā māgadhena	bahu garuxa kowI niyuta Sata sahasra parivArEH / rAjQA ca ajAtaSatruNA mAgaDena
   vaidehīputreṇa sārdhaṃ bahumanuṣyarājasāmātyapaurajānapadaparivāraiḥ //	vEdehI putreNa sArDam bahu manuzya rAjasa amAtya pOra jAnapada parivArEH //
   tena khalu punaḥ samayena bhagavāṃścatasṛbhiḥ parṣadbhiḥ parivṛtaḥ	tena Kalu punar samayena BagavAn= catasRBiH parzadBiH parivRtaH
   puraskṛtaḥ satkṛto gurukṛto mānitaḥ (KpSū 5) pūjito 'rcito 'pacāyitaḥ,	puraskRtaH satkRtaH gurukRtaH mAnitaH (KpSU 5) pUjitaH arcitaH apacAyitaH,
   tadā	tadA
   bodhisattvaviṣayasaṃdarśanapraṇidhānavyūhasamādhiviṣayadhāraṇīmukhavyūhaṃ	boDisattva vizaya saMdarSana praNiDAna vyUha samADi vizaya DAraNI muKa vyUham
   samādhānamukhanirdeśaṃ caryāvaiśāradyaṃ nāma dharmaparyāyaṃ sūtrāntaṃ	samADAna muKa nirdeSam caryAvESAradyam nAma Darma paryAyam sUtrAntam
   mahāvaipulyaṃ bodhisattvānugataṃ sarvabuddhaparigrahaṃ bhāṣitumārabdhavān,	mahA vEpulyam boDisattva anugatam sarva budDa parigraham BAzitum ArabDavAn ,
   tadā nānāvarṇaraśmayo niścaritā yatprabhābhirayaṃ trisāhasramahāsāhasro	tadA nAnA varNa raSmayaH niScaritAH yad praBABiH ayam tri sAhasra mahA sAhasraH 
   lokadhāturmahatāvabhāsena sphuṭo 'bhūt / tena cāvabhāsena lokāntarikā aghā	lokaDAtuH mahatA avaBAsena sPuwaH aBUt / tena ca avaBAsena loka antarikA aGA
   aghasphuṭā andhakāratamisrāḥ, yatremau candrasūryau eva maharddhikau	aGa sPuwAH anDakAra tamisrAH, yatra imO candra sUryO eva mahardDikO
   mahānubhāvau maheśākhyau nābhipatato na virocatastatra ye sattvā	mahA anuBAvO maheSa AKyO na aBipatataH na virocataH tatra ye sattvA
   upapannāste svakasvakamapi bāhuprasāritaṃ na paśyanti sma, tatrāpi	upapannAH te svaka svakam api bAhu prasAritam na paSyanti sma, tatra api
   tenāvabhāsena parisphuṭāḥ samānā anyonyaṃ paśyanti smānyonyaṃ saṃjānante	tena avaBAsena parisPuwAH samAnAH anyonyam paSyanti sma anyonyam saMjAnante
   sma / sarvāṇi buddhakṣetrāṇi ca parisphuṭāni saṃdṛśyante sma yāvad	sma / sarvANi budDa kzetrANi ca parisPuwAni saMdRSyante sma yAvat 
   avīcirmahānirayo yāvadbrahmalokaṃ parisphuṭaṃ dṛśyate sma / ye ca teṣu	avIciH mahAnirayaH yAvat brahma lokam parisPuwam dRSyate sma / ye ca tezu
   sarveṣu kṣetreṣu ṣaṭsu gatiṣu sattvāste sarve saṃdṛśyante sma / ye ca teṣu	sarvezu kzetrezu zawsu gatizu sattvAH te sarve saMdRSyante sma / ye ca tezu
   buddhakṣetreṣu buddhā bhagavantastiṣṭhanto dhriyanto yāpayanto yaṃ dharmaṃ	budDa kzetrezu budDAH BagavantaH tizWantaH DriyantaH yApayantaH yam Darmam
   bhāṣante sma sa ca sarvo nikhilena śrūyate sma / ye ca teṣu buddhakṣetreṣu	BAzante sma sa ca sarvaH niKilena SrUyate sma / ye ca tezu budDa kzetrezu
   bhikṣubhikṣuṇyupāsakopāsikā yogino yogācārāḥ prāptaphalāścāprāptaphalāśca	Bikzu BikzuNI upAsa kopAsikAH yoginaH yoga AcArAH prApta PalAH ca aprApta PalAH ca
   te 'pi (KpSū 6) sarve saṃdṛśyante sma / ye ca teṣu buddhakṣetreṣu	te api (KpSU 6) sarve saMdRSyante sma / ye ca tezu budDa kzetrezu
   bodhisattvā mahāsattvā	boDisattvAH mahAsattvA
   anekavividhāśravaṇārambaṇādhimuktihetukāraṇopāyakauśalyairbodhicaryācāriṇaste	aneka viviDa aSravaNa ArambaNa aDimukti hetu kAraNa upAya kOSalyEH boDi caryA cAriNaH te
   'pi sarve saṃdṛśyante sma / ye ca teṣu buddhakṣetreṣu buddhā bhagavantaḥ	api sarve saMdRSyante sma / ye ca tezu budDa kzetrezu budDAH BagavantaH
   parinirvṛtāste 'pi sarve saṃdṛśyante sma / ye ca teṣu parinirvṛtānāṃ	parinirvRtAH te api sarve saMdRSyante sma / ye ca tezu parinirvRtAnAm
   buddhānāṃ bhagavatāṃ ratnamayadhātustūpāste 'pi sarve saṃdṛśyante sma /	budDAnAm BagavatAm ratna maya DAtustu upAste api sarve saMdRSyante sma /
   antarīkṣācca puṣpavarṣam abhiprāvarṣat, manojñaśabdā amāradundubhyaḥ	antarIkzAt ca puzpa varzam aBiprAvarzat, manojQa SabdAH amAra dunduByaH
   prasasvanuḥ ; sarvaścāyaṃ trisāhasramahāsāhasro lokadhātuḥ ṣaḍvikāram	prasasvanuH ; sarvaH ca ayam tri sAhasra mahA sAhasraH lokaDAtuH zaz vikAram
   aṣṭādaśamahānimittam akampat prākampat saṃprākampat, avedhat prāvedhat	azwAdaSa mahA nimittam akampat prAkampat saMprAkampat, aveDat prAveDat 
   saṃprāvedhat, acalat prācalat saṃprācalat, akṣubhyat prākṣubhyat	saMprAveDat, acalat prAcalat saMprAcalat, akzuByat prAkzuByat
   saṃprākṣubhyat, araṇat prāraṇat saṃprāraṇat, agarjat prāgarjat	saMprAkzuByat, araNat prAraNat saMprAraNat, agarjat prAk arjat 
   saṃprāgarjat / tasmin kṣaṇe sarvato lokeṣu harṣaṇīyāstoṣaṇīyāḥ prasādanīyā	saMprAgarjat / tasmin kzaNe sarvatas lokezu harzaNIyAH tozaNIyAH prasAdanIyA
   avalokanīyāḥ prahlādanīyā manojñāḥ śabdāḥ śrūyante sma / na ca kasyacit	avalokanIyAH prahlAdanIyAH manojQAH SabdAH SrUyante sma / na ca kasyacid 
   sattvasya viheṭhā vā trāso vā bhayaṃ vā stambhitatvaṃ vā / na	sattvasya viheWA vA trAsaH vA Bayam vA stamBita tvam vA / na
   cānyadevalokānāṃ prabhāḥ prajñāyante /	ca anya deva lokAnAm praBAH prajQAyante /
   sarvanarakatiryagyoniyamalokopapannāḥ sattvā vigataduḥkhāḥ	sarva naraka tiryagyoni yama loka upapannAH sattvAH vigata duHKAH
   sarvasukhasamarpitāścābhuvān / na ca kasyacit sattvasya rāgo vā dveṣo vā	sarva suKa samarpitAH ca aBuvAn / na ca kasyacid sattvasya rAgaH vA dvezaH vA
   moho vā mātsaryo (KpSū 7) vā īrṣyā vā māno vā mrakṣo vā mado vā krodho vā	mohaH vA mAtsaryaH (KpSU 7) vE IrzyA vA mAnaH vA mrakzaH vA madaH vA kroDaH vA
   vyāpādo vā paridāho vā bādhate / sarvasattvāśca parasparamitracittā	vyApAdaH vA paridAhaH vA bADate / sarva sattvAH ca paraspara mitra cittA
   hitacittā mātṛpitṛsaṃjñino 'bhūvan //	hita cittAH mAtR pitR saMjQinaH aBUvan //
   atha ratnavairocano nāma bodhisattvo mahāsattvastaṃ mahānimittaprātihāryaṃ	aTa ratnavErocanaH nAma boDisattvaH mahAsattvaH tam mahAnimitta prAtihAryam
   dṛṣṭvā sahasotthāyaikāṃśamuttarāsaṅgaṃ kṛtvā dakṣiṇajānumaṇḍalaṃ pṛthivyāṃ	dRzwvA sahasA utTAya eka aMSam uttarAsaFgam kRtvA dakziNa jAnu maNxalam pRTivyAm
   pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ praṇamya bhagavantametadavocat /	pratizWApya yena BagavAn= tena aQjalim praNamya Bagavantam etat avocat /
   "paramāścaryādbhutaprāpto 'haṃ bhagavan, kuta ime raśmaya āgatāḥ?,	"parama AH caryA adButa prAptaH aham Bagavan, kutas ime raSmayaH AgatAH?,
   kasyaiṣa prabhāvaḥ?, ko nvatra bhagavan hetuḥ?, kaḥ pratyayo bhaviṣyati?"	kasya eza praBAvaH?, kaH nu atra Bagavan hetuH?, kaH pratyayaH Bavizyati?"
   atha khalu bhagavān ratnavairocanaṃ bodhisattvaṃ mahāsattvametadavocat  	aTa Kalu BagavAn ratna vErocanam boDisattvam mahAsattvam etat avocat  
   "śṛṇu kulaputra sādhu ca suṣṭhu ca manasikuru bhāṣiṣye 'haṃ te" / "sādhu	"SRNu kula putra sADu ca suzWu ca manasikuru BAzizye aham te" / "sADu
   sādhu bhagavan" niti ratnavairocano bhagavataḥ pratyaśroṣīt / bhagavān	sADu Bagavan" niti ratna vErocanaH BagavataH pratyaSrozIt / BagavAn
   ratnavairocanaṃ bodhisattvaṃ mahāsattvametadavocat /	ratna vErocanam boDisattvam mahAsattvam etat avocat /
   "asti kulaputra pūrvadakṣiṇasyāṃ diśi, ito	"asti kula putra pUrva dakziNasyAm diSi, itas 
   buddhakṣetrakoṭīśatasahasragaṅgānadīvālukāsamān buddhakṣetrān atikramya	budDa kzetra kowI Sata sahasragaFgA nadI vAlukA samAn budDa kzetrAn atikramya
   padmā nāma lokadhāturnānāguṇavibhūṣitā nānāpuṣpasamīritā nānāgandhaiśca	padmA nAma lokaDAtuH nAnA guNa viBUzitAH nAnA puzpa samIritAH nAnA ganDEH ca
   sphuṭā ratnavṛkṣairalaṅkṛtā ratnaparvatairākīrṇā; nīlavaiḍūryamayī tatra	sPuwA ratna vRkzEH alaFkRtA ratna parvatEH AkIrNA; nIla vExUrya mayI tatra
   bhūmir (KpSū 8) bodhisattvairākīrṇā dharmaśabdena sphuṭā; sā ca	BUmiH (KpSU 8) boDisattvEH AkIrNA Darma Sabdena sPuwA; sA ca
   punarvaiḍūryamayī bhūmirmṛdukācalindikasukhasaṃsparśa, nikṣipte ca caraṇe	punar vExUrya mayI BUmiH mRdukAcalindika suKa saMsparSa, nikzipte ca caraNe
   caturaṅgulamavanamati, utkṣipte ca caraṇe caturaṅgulamunnamati,	catur aFgulam avanamati, utkzipte ca caraNe catur aFgulam unnamati,
   nānāpadmaiścākīrṇā / tatra ca saptaratnamayā vṛkṣāḥ	nAnA padmEH ca AkIrNA / tatra ca sapta ratna mayAH vRkzAH
   saptayojanānyuccatvena; teṣu ca vṛkṣeṣu divyakāṣāyavastrāṇi pralambante,	sapta yojanAni ucca tvena; tezu ca vRkzezu divya kAzAya vastrANi pralambante,
   divyāni ca vādyāni manojñāni saṃpravādyante; teṣu ca vṛkṣeṣu nānāśakuntā	divyAni ca vAdyAni manojQAni saMpravAdi ante; tezu ca vRkzezu nAnA SakuntA
   indriyabalabodhyaṅgamanojñāṃ śabdāṃ pravyāharanti; teṣāṃ vṛkṣāṇāṃ patrāṇi	indriya bala boDi aFga manojQAm SabdAm pravyAharanti; tezAm vRkzANAm patrANi
   parasparaṃ spṛśya divyātikrāntaṃ pañcāṅgikatūryaśabdaṃ niścārayanti;	parasparam spRSya divya atikrAntam paQcAFgika tUrya Sabdam niScArayanti;
   ekaikasya ca vṛkṣasya divyātikrāntenodāreṇa gandhena yojanasahasraṃ	ekEkasya ca vRkzasya divya atikrAntena udAreNa ganDena yojana sahasram
   sphurati; teṣu ca vṛkṣeṣu divyānyalaṅkārāṇyabhipralambante sma / teṣu ca	sPurati; tezu ca vRkzezu divyAni alaFkArANi aBipralambante sma / tezu ca
   vṛkṣāntareṣu saptaratnamayāḥ kūṭāgārāḥ, pañcayojanaśatamuccatvena	vRkza antarezu sapta ratna mayAH kUwAgArAH, paQca yojana Satam ucca tvena
   sapādaśatayojanaṃ vistāreṇa / teṣu ca kūṭāgāreṣu samantāccaturdiśaṃ	sa pAda Sata yojanam vistAreNa / tezu ca kUwAgArezu samantAt caturdiSam
   toraṇāḥ / tebhyaśca toraṇāgrebhyo bahirdhā kūṭāgārebhyaḥ puṣkariṇyaḥ,	toraNAH / teByaH ca toraNa agreByaH bahirDA kUwAgAreByaH puzkariNyaH,
   aśītiyojanāni dīrghatvena pañcāśadyojanāni vistāreṇa / tābhyaśca	aSIti yojanAni dIrGa tvena paQcASat yojanAni vistAreNa / tAByaH ca
   puṣkariṇībhyaḥ samantāccaturdiśaṃ sopānāḥ saptaratnamayāḥ / sāmantakāśca	puzkariNIByaH samantAt caturdiSam sopAnAH sapta ratna mayAH / sAmantakAH ca
   puṣkariṇyaḥ saptaratnamayaiḥ padmaiḥ pūrṇāḥ, ekaikaṃ ca padmaṃ (KpSū 9)	puzkariNyaH sapta ratna mayEH padmEH pUrNAH, ekEkam ca padmam (KpSU 9)
   yojanaṃ vistāreṇa / tebhyaśca puṣpakeśarebhyo bodhisattvā mahāsattvāḥ	yojanam vistAreNa / teByaH ca puzpakeSareByaH boDisattvAH mahAsattvAH
   prajāyanti; te rātryāḥ prathame yāme teṣu padmakeśareṣupapadyante, tāṃ ca	prajAyanti; te rAtryAH praTame yAme tezu padmakeSarezupapadyante, tAm ca
   rātriṃ paryaṅkenātināmayanti, vimuktiprītisukhaṃ ca pratisaṃvedayanti /	rAtrim paryaFkena atinAmayanti, vimukti prIti suKam ca pratisaMvedayanti /
   tatra ca rātryāḥ pratyūṣakālasamaye śītalā vāyavaḥ sugandhikā mṛdukāḥ	tatra ca rAtryAH pratyUza kAla samaye SItalAH vAyavaH suganDikAH mRdukAH
   sukhasaṃsparśacalitāḥ pravāyante, te ca saṃkucitāni puṣpāṇi rohayanti / te	suKa saMsparSa calitAH pravAyante, te ca saMkucitAni puzpANi rohayanti / te
   ca bodhisattvāḥ samādhito vyutthāya vimuktiprītisukhaṃ pratiprasrabhya	ca boDisattvAH samADitaH vyutTAya vimukti prIti suKam pratiprasraBya
   padmakeśareṣvavatīryā, teṣu ca kūṭāgāreṣu praviśya saptaratnamayeṣvāsaneṣu	padmakeSarezu avatIryA, tezu ca kUwAgArezu praviSya sapta ratna mayezu Asanezu
   paryaṅkeṇa niṣaṇṇā dharmaṃ śṛṇvanti sma / teṣu ca vṛkṣakūṭāgārāntariteṣu	paryaFkeNa nizaNNAH Darmam SRNvanti sma / tezu ca vRkza kUwa AgAra antaritezu
   ca caturdiśaṃ jāmbunadamayāḥ parvatā, viṃśatiyojanānyuccatvena trīṇi	ca caturdiSam jAmbunada mayAH parvatA, viMSati yojanAni ucca tvena trINi
   yojanāni vistāreṇa; teṣu ca parvateṣu anekaśatasahasrāṇi	yojanAni vistAreNa; tezu ca parvatezu aneka Sata sahasrANi
   sūryakāntacandrakāntendranīlajyotīrasāśca maṇayo 'ntarāntare dṛśyanti sma	sUryakAnta candra kAnta indranIla jyotI rasAH ca maNayaH antarA antare dRSyanti sma
   / padmottarasya buddhasyābhā teṣu parvatemaṇiṣu nipatyā tayā ca	/ padma uttarasya budDasya ABA tezu parvatemaNizu nipatyA tayA ca
   buddhābhayā ca maṇiprabhayā sarvā sā padmā lokadhāturnityodāreṇāvabhāsena	budDa aBayA ca maNi praBayA sarvA sA padmA lokaDAtuH nitya udAreNa avaBAsena
   sphuṭā / na ca tatra candrasūryayoḥ prabhā prajñāyate, nānyatra yadā	sPuwAH / na ca tatra candra sUryayoH praBA prajQAyate, na anyatra yadA
   padmāḥ saṃkucanti pakṣiṇaścālpaśabdā bhavanti tadā rātrīti saṃjñā bhavati,	padmAH saMkucanti pakziNaH ca alpa SabdAH Bavanti tadA rAtrI iti saMjQA Bavati,
   viparyayāddivasaṃ / teṣāṃ ca (KpSū 10) parvatānāmupari nīlavaiḍūryamayāḥ	viparyayAt divasam / tezAm ca (KpSU 10) parvatAnAm upari nIla vExUrya mayAH
   kūṭāgārāḥ ṣaṣṭiyojanānyuccatvena viṃśatiyojanāni vistāreṇa, tebhyaśca	kUwAgArAH zazwi yojanAni ucca tvena viMSati yojanAni vistAreNa, teByaH ca
   kūṭāgārebhyaścaturdiśaṃ saptaratnamayāstoraṇāstebhyaḥ kūṭāgārebhyaśca	kUwAgAreByaH caturdiSam sapta ratna mayAH toraNAH teByaH kUwAgAreByaH ca
   saptaratnamayāḥ paryaṅkā yatraikajātipratibaddhā bodhisattvā dharmaṃ	sapta ratna mayAH paryaFkA yatra eka jAti pratibadDAH boDisattvAH Darmam
   śṛṇvanti / padmāyāṃ kulaputra lokadhātau indro nāma bodhivṛkṣastrīṇi	SRNvanti / padmAyAm kula putra lokaDAtO indraH nAma boDivRkzaH trINi
   yojanasahasrāṇyudvedhena pañcayojanaśatāni vistāreṇa, yojanasahasraṃ	yojana sahasrANi udveDena paQca yojana SatAni vistAreNa, yojana sahasram
   śākhāpatrapalāśaṃ susaṃsthitaṃ / tasya ca bodhivṛkṣasya mūle padmo	SAKA patra palASam su saMsTitam / tasya ca boDivRkzasya mUle padmaH 
   raupyamayo nālaḥ pañcayojanaśatānyudvedhena, tasya	rOpya mayaH nAlaH paQca yojana SatAni udveDena, tasya
   koṭīśatasahasrasuvarṇamayāni patrāṇi pañcadaśayojanānyudvedhena / sarveṣu	kowI Sata sahasra suvarNa mayAni patrANi paQcadaSa yojanAni udveDena / sarvezu
   ca keśareṣvaśmagarbhamayāni kiñjalkāni, saptaratnamayāḥ keśarā	ca keSarezu aSma garBa mayAni kiQjalkAni, sapta ratna mayAH keSarA
   daśayojanānyudvedhena saptayojanāni vistāreṇa / tatrādyarātrau	daSa yojanAni udveDena sapta yojanAni vistAreNa / tatra Adya rAtrO
   padmottareṇa tathāgatenārhatā samyaksaṃbuddhenānuttarā	padma uttareNa taTAgatena arhatA samyaksaMbudDena anuttarA
   samyaksaṃbodhirabhisaṃbuddhā, tasya buddhāsanapadmasya samantataḥ padmā	samyaksaMboDiH aBisaMbudDA, tasya budDa Asana padmasya samantataH padmA
   yatra bodhisattvā niṣaṇṇāḥ padmottarasya tathāgatasyārhataḥ	yatra boDisattvAH nizaNNAH padma uttarasya taTAgatasya arhataH
   samyaksaṃbuddhasya prātihāryāṇi paśyanti sma" /	samyaksaMbudDasya prAtihAryANi paSyanti sma" /
