   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   ṛṣibhistairanujñātaḥ pṛṣṭaḥ sarvamanāmayam /	RziBiH tEH anujQAtaH pRzwaH sarvam anAmayam /
   abhigamya munīnsarvāṃstejo brahma sanātanam /	aBigamya munIn sarvAn= tejaH brahma sanAtanam /
   sadasyānumate ramye svāstīrṇe samupāviśat // BndP_1,1.21 //	sadasya anumate ramye su AstIrNe samupAviSat // Bndu _1,1.21 //
   upaviṣṭe tadā tasminmunayaḥ śaṃsitavratāḥ /	upavizwe tadA tasmin munayaH SaMsita vratAH /
   mudānvitā yathānyāyaṃ vinayasthāḥ samāhitāḥ // BndP_1,1.22 //	mudA anvitAH yaTAnyAyam vinaya sTAH samAhitAH // Bndu _1,1.22 //
   sarve te ṛṣayaścainaṃ parivārya mahāvratam /	sarve te RzayaH ca enam parivArya mahA vratam /
   paramaprītisaṃyuktā ityūcuḥ sūtanandanam // BndP_1,1.23 //	parama prIti saMyuktAH iti UcuH sUta nandanam // Bndu _1,1.23 //
   svāgataṃ te mahābhāga diṣṭyā ca tvāṃnirāmayam /	svAgatam te mahABAga dizwyA ca tvAMnirAmayam /
   paśyāma dhīmannatrasthāḥ subrataṃ munisattamam // BndP_1,1.24 //	paSyAma DImat = atra sTAH subratam muni sattamam // Bndu _1,1.24 //
   aśūnyā me rasādyaiva bhavataḥ puṇyakarmaṇaḥ /	aSUnyA me rasa adya eva BavataH puNya karmaNaH /
   bhavāṃstasya muneḥ sūta vyāsasyāpi mahātmanaḥ // BndP_1,1.25 //	BavAn= tasya muneH sUta vyAsasya api mahAtmanaH // Bndu _1,1.25 //
   anugrāhyaḥ sadā dhīmātr śiṣyaḥ śiṣyaguṇānvitaḥ /	anugrAhyaH sadA DImAtr SizyaH Sizya guNa anvitaH /
   kṛtabuddhiśca te tattvamanugrāhyatayā prabho // BndP_1,1.26 //	kRtabudDiH ca te tattvam anugrAhya tayA praBo // Bndu _1,1.26 //
   avāpya vipulaṃ jñānaṃ sarvataśchinnasaṃśayaḥ /	avApya vipulam jQAnam sarvatas Cinna saMSayaH /
   pṛccatāṃ naḥ sadā prājña sarvamākhyātumarhasi // BndP_1,1.27 //	pRccatAm naH sadA prAjQa sarvam AKyAtum arhasi // Bndu _1,1.27 //
   tadicchāmaḥ kathāṃ divyāṃ paurāṇīṃ śrutisaṃmitām /	tat icCAmaH kaTAm divyAm pOrANIm Sruti saMmitAm /
   śrotuṃ dharmārthayuktāṃ tu etavdyāsācchrutaṃ tvayā // BndP_1,1.28 //	Srotum Darma arTa yuktAm tu etavdyAsAt Srutam tvayA // Bndu _1,1.28 //
   evasuktastadā sūtastvṛṣibhirvinayānvitaḥ /	eva suktaH tadA sUtaH tu RziBiH vinaya anvitaH /
   uvāca paramāprākjño vinītottara muttamam // BndP_1,1.29 //	uvAca parama aprAk jQaH vinIta uttara muttamam // Bndu _1,1.29 //
   ṛṣeḥ śuśrūṣaṇaṃ yacca tasmātprajñā ca yā mama /	RzeH SuSrUzaNam yat ca tasmAt prajQA ca yA mama /
   yasmācchuśūṣaṇārthaṃ ca tatsatyamiti niścayaḥ // BndP_1,1.30 //	yasmAt SuSUzaNa arTam ca tat satyam iti niScayaH // Bndu _1,1.30 //
   evaṃ gater'the yacchakyaṃ mayā vaktuṃ dvijottamāḥ /	evam gater aTe yat Sakyam mayA vaktum dvijottamAH /
   jijñāsā yatra yuṣmākaṃ tadājñātumihārhatha // BndP_1,1.31 //	jijQAsA yatra yuzmAkam tadA ajQAtum iha arhaTa // Bndu _1,1.31 //
   etacchrutvā tu munayo madhuraṃ tasya bhāṣitam /	etat SrutvA tu munayaH maDuram tasya BAzitam /
   pratyūcuste punaḥ sūtaṃ bāṣpaparyākulekṣaṇam // BndP_1,1.32 //	pratyUcuH te punar sUtam bAzpa paryAkula IkzaNam // Bndu _1,1.32 //
   bhavān viśeṣakuśalo vyāsaṃ sākṣāttu dṛṣṭavān /	BavAn viSeza kuSalaH vyAsam sAkzAt tu dRzwavAn /
   tasmāttvaṃ saṃbhavaṃ kṛtsnaṃ lokasyemaṃ vidarśaya // BndP_1,1.33 //	tasmAt tvam saMBavam kRtsnam lokasya imam vidarSaya // Bndu _1,1.33 //
   yasya yasyānvaye ye ye tāṃstānicchāma veditum /	yasya yasya anvaye ye ye tAn= tAn icCAma veditum /
   teṣāṃ pūrvavisṛṣṭiṃ ca vicitrāṃ tvaṃ prajāpateḥ /	tezAm pUrva visRzwim ca vicitrAm tvam prajApateH /
   satkṛtya paripṛṣṭaḥ sa mahātmā romaharṣaṇaḥ // BndP_1,1.34 //	satkRtya paripRzwaH sa mahAtmA romaharzaNaH // Bndu _1,1.34 //
   vistareṇānupūrvyā ca kathayāmāsa sattamaḥ /	vistareNa AnupUrvyA ca kaTayAmAsa sattamaH /
   sūta uvāca	sUtaH uvAca
   yo me dvaipāyanaprītaḥ kathāṃ vai dvijasattamāḥ // BndP_1,1.35 //	yaH me dvEpAyana prItaH kaTAm vE dvijasattamAH // Bndu _1,1.35 //
   puṇyāmākhyātavānviprāstāṃ vai vakṣyāmyanukramāt /	puNyAm AKyAtavAn viprAH tAm vE vakzyAmi anukramAt /
   purāṇaṃ saṃpravakṣyāmi yaduktaṃ mātariśvanā // BndP_1,1.36 //	purANam saMpravakzyAmi yat uktam mAtariSvanAH // Bndu _1,1.36 //
   pṛṣṭena munibhiḥ pūrvaṃ naimiṣīyairma hātmabhiḥ /	pRzwena muniBiH pUrvam nEmizIyEH ma ha AtmaBiH /
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca // BndP_1,1.37 //	sargaH ca pratisargaH ca vaMSaH manvantarANi ca // Bndu _1,1.37 //
   vaṃśyānucaritaṃ caiva purāṇaṃ pañcalakṣaṇam /	vaMSya anucaritam ca eva purANam paQca lakzaNam /
   prakriyā prathamaḥ pādaḥ kathāyāṃ syātparigrahaḥ // BndP_1,1.38 //	prakriyA praTamaH pAdaH kaTAyAm syAt parigrahaH // Bndu _1,1.38 //
   anuṣaṅga utpoddhāta upasaṃhāra eva ca /	anuzaFgaH utpodDAtaH upasaMhAraH eva ca /
   evaṃ pādāstu catvāraḥ samāsātkīṃrtitā mayā // BndP_1,1.39 //	evam pAdAH tu catvAraH samAsAt kIMrtitAH mayA // Bndu _1,1.39 //
   vakṣyāmi tānpurastāttu vistareṇa yathākramam /	vakzyAmi tAn purastAt tu vistareNa yaTAkramam /
   prathamaṃ sarvaśāstrāṇāṃ purāṇaṃ brahmaṇā śrutam // BndP_1,1.40 //	praTamam sarva SAstrANAm purANam brahmaNA Srutam // Bndu _1,1.40 //
   anantaraṃ ca vaktrebhyo vedāstasya viniḥsṛtāḥ /	anantaram ca vaktreByaH vedAH tasya viniHsRtAH /
   aṅgāni dharmaśāstraṃ ca vratāni niyamāstathā // BndP_1,1.41 //	aFgAni Darma SAstram ca vratAni niyamAH taTA // Bndu _1,1.41 //
   avyaktaṃ kāraṇaṃ yattannityaṃ sadasadātmakam /	avyaktam kAraNam yat tat nityam sat asat Atmakam /
   mahadādiviśeṣāntaṃ sṛjāmīti viniścayaḥ // BndP_1,1.42 //	mahat Adi viSeza antam sRjAmi iti viniScayaH // Bndu _1,1.42 //
   aṇḍaṃ hiraṇmayaṃ caiva brahmaṇaḥsūtiruttamā /	aNxam hiraNmayam ca eva brahmaNaH sUtiH uttamA /
   aḍasyāvaraṇaṃ vārdhirapāmapi ca tejasā // BndP_1,1.43 //	axasya AvaraNam vArDiH apAm api ca tejasA // Bndu _1,1.43 //
   vāyunā tasya vāyośca khena bhūtādinā tataḥ /	vAyunA tasya vAyoH ca Kena BUta AdinA tatas /
   bhūtādirmahatā caiva avyaktenāvṛto mahān // BndP_1,1.44 //	BUtAdiH mahatA ca eva avyaktena AvRtaH mahAn // Bndu _1,1.44 //
   antarvarti ca bhūtānāmaṇḍamevopavarṇitam /	antar varti ca BUtAnAm aNxam eva upavarNitam /
   nadīnāṃ parvatānāṃ ca prādurbhāvo 'tra paṭhyate // BndP_1,1.45 //	nadInAm parvatAnAm ca prAdurBAvaH atra paWyate // Bndu _1,1.45 //
   manvantarāṇāṃ sarveṣāṃ kalpānāṃ caiva varṇanam /	manvantarANAm sarvezAm kalpAnAm ca eva varNanam /
   kīrttanaṃ brahmavṛkṣasya brahmajanma prakīrtyate // BndP_1,1.46 //	kIrttanam brahmavRkzasya brahma janma prakIrtyate // Bndu _1,1.46 //
   ataḥ paraṃ brahmaṇaśca prajāsargopavarṇanam /	atas param brahmaNaH ca prajA sarga upavarNanam /
   avasthāścātra kīrtyante brahmaṇo 'vyaktajanmanaḥ // BndP_1,1.47 //	avasTAH ca atra kIrtyante brahmaNaH avyakta janmanaH // Bndu _1,1.47 //
   kalpānāṃ saṃbhavaśceva jagataḥ sthāpanaṃ tathā /	kalpAnAm saMBavaH ca iva jagataH sTApanam taTA /
   śayanaṃ ca harerapsu pṛthivyuddharaṇaṃ tathā // BndP_1,1.48 //	Sayanam ca hareH apsu pRTivI udDaraNam taTA // Bndu _1,1.48 //
   saviśeṣaḥ purādīnāṃ varṇāśramavibhājanam /	sa viSezaH pura AdInAm varNa ASrama viBAjanam /
   ṛkṣāṇāṃ grahasaṃsthānāṃ siddhānāṃ ca niveśanam // BndP_1,1.49 //	RkzANAm graha saMsTAnAm sidDAnAm ca niveSanam // Bndu _1,1.49 //
   yojanānāṃ yathā cava saṃcaro bahuvistaraḥ /	yojanAnAm yaTA cava saMcaraH bahu vistaraH /
   svargasthānavibhāgaśca sartyānāṃ śubhacāriṇām // BndP_1,1.50 //	svarga sTAna viBAgaH ca sartyAnAm SuBa cAriNAm // Bndu _1,1.50 //
   vṛkṣāṇāmauṣadhīnāṃ ca vīrudhāṃ ca prakīrttanam /	vRkzANAm OzaDInAm ca vIruDAm ca prakIrttanam /
   devatānāmṛṣīṇāṃ ca dve sṛtī parikīrtite // BndP_1,1.51 //	devatAnAm RzINAm ca dve sRtI parikIrtite // Bndu _1,1.51 //
   āmlādīnāṃ tarūṇāṃ ca sarjanaṃ vyañjanaṃ tathā /	Amla AdInAm tarUNAm ca sarjanam vyaQjanam taTA /
   paśūnāṃ puruṣāṇāṃ ca saṃbhavaḥ parikīrttitaḥ // BndP_1,1.52 //	paSUnAm puruzANAm ca saMBavaH parikIrttitaH // Bndu _1,1.52 //
   tathā nirvacanaṃ proktaṃ kalpasya ca parigrahaḥ /	taTA nirvacanam proktam kalpasya ca parigrahaH /
   nava sargāḥ punaḥ proktā brahmaṇo buddhipūrvakāḥ // BndP_1,1.53 //	nava sargAH punar proktAH brahmaNaH budDi pUrvakAH // Bndu _1,1.53 //
   trayo ye buddhipūrvāstu tathā yallokakalpanam /	trayaH ye budDi pUrvAH tu taTA yat loka kalpanam /
   brahmaṇo 'vayavebhyaśca dharmādīnāṃ samudbhavaḥ // BndP_1,1.54 //	brahmaNaH avayaveByaH ca Darma AdInAm samudBavaH // Bndu _1,1.54 //
   ye dvādaśa prasūyante prajākalpe punaḥ punaḥ /	ye dvAdaSa prasUyante prajA kalpe punar punar /
   kalpayorantare proktaṃ pratisaṃdhiśca yastayoḥ // BndP_1,1.55 //	kalpayoH antare proktam pratisaMDiH ca yaH tayoH // Bndu _1,1.55 //
   tamomātrā vṛtatvāttu brahmaṇo 'dharmasaṃbhavaḥ /	tamaH mAtrA vRta tvAt tu brahmaNaH aDarma saMBavaH /
   sattvodriktācca dehācca puruṣasya ca saṃbhavaḥ // BndP_1,1.56 //	sattva udriktAt ca dehAt ca puruzasya ca saMBavaH // Bndu _1,1.56 //
   tathaiva śatarūpāyāṃ tayoḥ putrāstataḥ param /	taTA eva SatarUpAyAm tayoH putrAH tatas param /
   priyavratottānapādau prasūtyākṛtayaḥ śubhāḥ // BndP_1,1.57 //	priyavrata uttAnapAdO prasUti AkRtayaH SuBAH // Bndu _1,1.57 //
   kīrtyante dhūtapāpmānastrailokye ye pratiṣṭhitāḥ /	kIrtyante DUta pApmAnaH trElokye ye pratizWitAH /
   ruceḥ prajāpateścorddhamākūtyāṃ mithunodbhavaḥ // BndP_1,1.58 //	ruceH prajApateH ca UrdDam AkUtyAm miTuna udBavaH // Bndu _1,1.58 //
   prasūtyamapi dakṣasya kanyānāmudbhavaḥ śubhaḥ /	prasUtyam api dakzasya kanyAnAm udBavaH SuBaH /
   dākṣāyaṇīṣu vāpyūrdhvaṃśabdādyāsu mahātmanaḥ // BndP_1,1.59 //	dAkzAyaNIzu vA api UrDvaMSabda AdyAsu mahAtmanaH // Bndu _1,1.59 //
   dharmasya kīrtyate sargaḥ sāttvikastu sukhodayaḥ /	Darmasya kIrtyate sargaH sAttvikaH tu suKa udayaH /
   tathādharmasya hiṃsāyāṃ tamaso 'śubhalakṣaṇaḥ // BndP_1,1.60 //	taTA aDarmasya hiMsAyAm tamasaH aSuBa lakzaNaH // Bndu _1,1.60 //
   bhṛgvādīnāmṛṣīṇāṃ ca prajāsargopavarṇanam /	BRgu AdInAm RzINAm ca prajA sarga upavarNanam /
   brahmarṣeśca vasiṣṭhasya yatra gotrānukīrttanam // BndP_1,1.61 //	brahmarzeH ca vasizWasya yatra gotra anukIrttanam // Bndu _1,1.61 //
   agneḥ prajāyāḥ saṃbhūtiḥ svāhāyāṃ yatra kīrtyate /	agneH prajAyAH saMBUtiH svAhAyAm yatra kIrtyate /
   pitṝṇāṃ dviprakārāṇāṃ svadhāyāṃ tadanantaram // BndP_1,1.62 //	pitLNAm dvi prakArANAm svaDAyAm tad anantaram // Bndu _1,1.62 //
   pitṛvaṃśaprasaṃgena kīrtyate ca maheśvarāt /	pitR vaMSa prasaMgena kIrtyate ca maheSvarAt /
   dakṣasya śāpaḥ satyāśca bhṛgvādīnāṃ ca dhīmatām // BndP_1,1.63 //	dakzasya SApaH satyAH ca BRgu AdInAm ca DImatAm // Bndu _1,1.63 //
   pratiśāpaśca dakṣasya rudrādadbhutakarmaṇaḥ /	pratiSApaH ca dakzasya rudrAt adButa karmaNaH /
   pratiṣedhaśca vairasya kīrtyate doṣadarśanāt // BndP_1,1.64 //	pratizeDaH ca vErasya kIrtyate doza darSanAt // Bndu _1,1.64 //
   manvantaraprasaṃgena kālākhyānaṃ ca kīrtyate /	manvantara prasaMgena kAla AKyAnam ca kIrtyate /
   prajāpateḥ karddamasya kanyāyāḥ śubhalakṣaṇam // BndP_1,1.65 //	prajApateH karddamasya kanyAyAH SuBa lakzaNam // Bndu _1,1.65 //
   priyavratasya putrāṇāṃ kīrtyate yatra vistaraḥ /	priyavratasya putrANAm kIrtyate yatra vistaraH /
   teṣāṃ niyogo dvīpeṣu deśeṣu ca pṛthak pṛthak // BndP_1,1.66 //	tezAm niyogaH dvIpezu deSezu ca pRTak pRTak // Bndu _1,1.66 //
   svāyaṃbhuvasya sargasya tataścāpyanukīrttanam /	svAyaMBuvasya sargasya tatas ca api anukIrttanam /
   varṣāṇāṃ ca nadīnāṃ ca tadbhedānāṃ ca sarvaśaḥ // BndP_1,1.67 //	varzANAm ca nadInAm ca tad BedAnAm ca sarvaSas // Bndu _1,1.67 //
   dvīpabhedasahasrāṇā mantarbhāvaśca saptasu /	dvIpa Beda sahasrANAH mantarBAvaH ca saptasu /
   vistarānmaṇḍalaṃ caiva jaṃbūdvīpasamudrayoḥ // BndP_1,1.68 //	vistarAt maNxalam ca eva jaMbUdvIpa samudrayoH // Bndu _1,1.68 //
   pramāṇaṃ yojanāgreṇa kīrtyante parvataiḥ saha /	pramANam yojana agreNa kIrtyante parvatEH saha /
   himavānhemakūṭaśca niṣadho merureva ca /	himavAn hemakUwaH ca nizaDaH meruH eva ca /
   nīlaḥ śvetaśca śṛṅgī ca kīrtyante sapta parvatāḥ // BndP_1,1.69 //	nIlaH SvetaH ca SRFgI ca kIrtyante sapta parvatAH // Bndu _1,1.69 //
   teṣāmantaraviṣkaṃbhā ucchrāyāyāmavistarāḥ // BndP_1,1.70 //	tezAm antara vizkaMBAH ucCrAya AyAma vistarAH // Bndu _1,1.70 //
   kīrtyante yojanāgreṇa ye ca tatra nivāsinaḥ /	kIrtyante yojana agreNa ye ca tatra nivAsinaH /
   bhāratādīni varṣāṇi nadībhiḥ parvataistathā // BndP_1,1.71 //	BArata AdIni varzANi nadIBiH parvatEH taTA // Bndu _1,1.71 //
   bhūtaiścopaniviṣṭāni gatimadbhirdhuvai stathā /	BUtEH ca upanivizwAni gatim adBiH DuvE staTA /
   jaṃbūdvīpādayo dvīpāḥ samudraiḥ saptabhirvṛtāḥ // BndP_1,1.72 //	jaMbUdvIpa AdayaH dvIpAH samudrEH saptaBiH vRtAH // Bndu _1,1.72 //
   tataḥ svarṇamayī bhūmirlokālokaśca kīrtyate /	tatas svarNa mayI BUmiH lokAlokaH ca kIrtyate /
   sapramāṇā ime lokāḥ saptadvīpā ca medinī // BndP_1,1.73 //	sa pramANAH ime lokAH saptadvIpA ca medinI // Bndu _1,1.73 //
   rūpādayaḥ prakīrtyante karaṇātprākṛtaiḥ saha /	rUpa AdayaH prakIrtyante karaNAt prAkRtEH saha /
   sarvaṃ caitatpradhānasya pariṇāmaikadeśikam // BndP_1,1.74 //	sarvam ca etat praDAnasya pariNAma eka deSikam // Bndu _1,1.74 //
   paryāyaparimāṇaṃ ca saṃkṣepeṇātra kīrtyate /	paryAya parimANam ca saMkzepeNa atra kIrtyate /
   sūryācandramasoścaiva pṛthivyāścāpyaśeṣataḥ // BndP_1,1.75 //	sUryAcandramasoH ca eva pRTivyAH ca api aSezatas // Bndu _1,1.75 //
   pramāṇaṃ yojanāgreṇa sāṃpratairabhimānibhiḥ /	pramANam yojana agreNa sAMpratEH aBimAniBiH /
   mahendrādyāḥ śubhāḥ puṇyā mānasottaramūrdhani // BndP_1,1.76 //	mahendra AdyAH SuBAH puNyA mAnasottara mUrDani // Bndu _1,1.76 //
   ata ūrdhdagatiścoktā sūryasyālātayakravat /	atas UrDda gatiH ca uktA sUryasya alAta yakra vat /
   nāgavīthyakṣavīthyośca lakṣaṇaṃ ca prakīrtyate // BndP_1,1.77 //	nAga vITI akza vITyoH ca lakzaNam ca prakIrtyate // Bndu _1,1.77 //
   koṣṭhayorlekhayoścaiva maṇḍalānāṃ ca yojanaiḥ /	kozWayoH leKayoH ca eva maNxalAnAm ca yojanEH /
   lokālokasya sandhyāyā ahno viṣuvatastathā // BndP_1,1.78 //	lokAlokasya sanDyAyAH ahnaH vizuvataH taTA // Bndu _1,1.78 //
   lokapālāḥ sthitāścorddhaṃ kīrtyante te caturddiśam /	lokapAlAH sTitAH ca UrdDam kIrtyante te caturddiSam /
   pitṝṇāṃ devatānāṃ ca panthānau dakṣiṇottarau // BndP_1,1.79 //	pitLNAm devatAnAm ca panTAnO dakziNa uttarO // Bndu _1,1.79 //
   gṛhiṇāṃ nyāsināṃ cokto rajaḥsattvasamāśrayaḥ /	gRhiNAm nyAsinAm ca uktaH rajaH sattva samASrayaH /
   kīrtyate ca padaṃ viṣṇordharmādyā yatra ca sthitāḥ // BndP_1,1.80 //	kIrtyate ca padam vizNoH Darma AdyAH yatra ca sTitAH // Bndu _1,1.80 //
   sūryācandramasoścāro grahāṇāṃ jyotiṣāṃ tathā /	sUryAcandramasoH cAraH grahANAm jyotizAm taTA /
   kīrtyate dhṛtasāmarthyātprajānāṃ ca śubhāśubham // BndP_1,1.81 //	kIrtyate DRta sAmarTyAt prajAnAm ca SuBa aSuBam // Bndu _1,1.81 //
   brahmaṇā nirmitaḥ sauraḥ sādanārthaṃ ca sa svayam /	brahmaNA nirmitaH sOraH sAdana arTam ca sa svayam /
   kīrtyate bhagavānyena prasarppati divaḥ kṣayam // BndP_1,1.82 //	kIrtyate BagavAn yena prasarppati divaH kzayam // Bndu _1,1.82 //
   sa ratho 'dhiṣṭhito devair ādityai ṛṣibhistathā /	sa raTaH aDizWitaH devEH AdityE RziBiH taTA /
   gandharvairapsarobhiśca grāmaṇīsarparākṣasaiḥ // BndP_1,1.83 //	ganDarvEH apsaroBiH ca grAmaNI sarpa rAkzasEH // Bndu _1,1.83 //
   apāṃ sāramayātsyandātkathyate ca rasastathā /	apAm sAra mayAt syandAt kaTyate ca rasaH taTA /
   vṛddhikṣayau ca somasya kīrtyete somakāritau // BndP_1,1.84 //	vRdDi kzayO ca somasya kIrti ete soma kAritO // Bndu _1,1.84 //
   sūryādīnāṃ syandanānāṃ dhruvādeva pravarttanam /	sUrya AdInAm syandanAnAm DruvAt eva pravarttanam /
   kīrtyate śiśumārasya yasya pucche dhruvaḥ sthitaḥ // BndP_1,1.85 //	kIrtyate SiSumArasya yasya pucCe DruvaH sTitaH // Bndu _1,1.85 //
   tārārūpāṇi sarvāṇi nakṣatrāṇi grahaiḥ saha /	tArA rUpANi sarvANi nakzatrANi grahEH saha /
   nivāsā yatra kīrtyante devānāṃ puṇyakarmaṇām // BndP_1,1.86 //	nivAsAH yatra kIrtyante devAnAm puNya karmaNAm // Bndu _1,1.86 //
   sūryaraśmisahasraṃ ca varṣaśītoṣṇaviśravaḥ /	sUrya raSmi sahasram ca varza SIta uzNa viSravaH /
   pravibhāgaścaraśmīnāṃ nāmataḥ karmatīrthataḥ // BndP_1,1.87 //	praviBAgaH caraSmInAm nAmataH karma tIrTataH // Bndu _1,1.87 //
   parimāṇaṃ gatiścoktā grahāṇāṃ sūryasaṃśrayāt /	parimANam gatiH ca uktAH grahANAm sUrya saMSrayAt /
