   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   Ipv: pūrvānubhavasaṃskāraprabodhajanmāpi smṛtir ātmamātraniṣṭhatvāt	Ipv: pUrva-anuBava-saMskAra-praboDa-janmA-api smRtiH Atma-mAtra-nizWa-tvAt-
   svarūpasaṃvedikaiva na tu pūrvānubhavāveśābhāvāt	svarUpa-saMvedikA-eva na tu pUrva-anuBava-AveSa-aBAvAt
   pūrvānubhūtārthavyavasthāpikā ghaṭate //	pUrva-anuBUta-arTa-vyavasTApikA Gawate //
   dṛksvābhāsaiva nānyena vedyā rūpadṛśeva dṛk /	dRS-svABAsa-eva na-anyena vedyAH rUpa-dRSA-iva dRS /
   rase saṃskārajatvaṃ tu tattulyatvaṃ na tadgatiḥ // Ipk_1,3.2 //	rase saMskAra-ja-tvam tu tad-tulya-tvam na tad-gatiH // IpS-_1,3.2 //
   Ipv: sarvā hi jñaptiḥ svasaṃvedanaikarūpānanyasaṃvid dvedhā,	Ipv: sarvA hi jQaptiH sva-saMvedana-eka-rUpa-ananya-saMvid dveDA,
   rūparasajñānayor anyonyavedane 'nyonyaviṣayavedanam api syāt tataś	rUpa-rasa-jQAnayoH anyonya-vedane anyonya-vizaya-vedanam api syAt tatas-
   cendriyaniyamābhāvaḥ / pūrvānubhavasaṃskārajatvena tatsādṛśyamātraṃ na tu	ca-indriya-niyama-aBAvaH / pUrva-anuBava-saMskAra-ja-tvena tad-sAdRSya-mAtram na tu
   pūrvānubhavāvagatiḥ, tatsādṛśyam api nāvaseyam //	pUrva-anuBava-avagatiH, tad-sAdRSyam api na-avaseyam //
   athātadviṣayatve 'pi smṛtes tadavasāyataḥ /	aTa-Atad-vizaya-tve api smRteH tad-avasAyataH /
   dṛṣṭālambanatā bhrāntyā tad etad asamañjasam // Ipk_1,3.3 //	dRzwa-AlambanatA BrAntyA tat etat asamaQjasam // Ipk-_1,3.3 //
   Ipv: na cāpi bhrāntyā pūrvānubhavaṃ tadviṣayaṃ ca śuktau rajatam	Ipv: na ca-api BrAntyA pUrva-anuBavam tat-vizayam ca SuktO rajatam
   ivāsaṃvedyamānam adhyavasyatīti smṛtis tadviṣayā //	iva-asaMvedyamAnam aDyavasyati-iti smRtiH tad-vizayAH //
   smṛtitaiva kathaṃ tāvad bhrānteś cārthasthitiḥ katham /	smRti-tA-eva kaTam tAvat BrAnteH ca-arTa-sTitiH kaTam /
   pūrvānubhavasaṃkārāpekṣā ca kim itīṣyate // Ipk_1,3.4 //	pUrva-anuBava-saMkAra-apekzA ca kim iti-izyate // IpS-_1,3.4 //
   Ipv: pūrvānubhavāprakāśāt tadviṣayasaṃpramoṣe 'dhyavasāyamātrāt smṛtitvaṃ	Ipv: pUrva-anuBava-aprakASAt tad-vizaya-saMpramoze aDyavasAya-mAtrAt smRti-tvam
   na yuktam / na ca bhrāntyā pūrvānubhūtārthavyavasthāpanam,	na yuktam / na ca BrAntyA pUrva-anuBUta-arTa-vyavasTApanam,
   pūrvānubhavāsparśe ca tadbhinnayogakṣemāyā bhrānteḥ saṃskārajatve ko	pUrva-anuBava-asparSe ca tad-Binna-yogakzemAyAH BrAnteH saMskAra-ja-tve kaH-
   grahaḥ //	grahaH //
   bhrāntitve cāvasāyasya na jaḍād viṣayasthitiḥ /	BrAnti-tve ca-avasAyasya na jaxAt vizaya-sTitiH /
   tato 'jāḍye nijollekha- niṣṭhān nārthasthitis tataḥ // Ipk_1,3.5 //	tatas ajAxye nija-ulleKa nizWAt na-arTa-sTitiH tatas // Ipk-_1,3.5 //
   Ipv: adhyavasāya eva bhrāntyā viṣayavyavasthāpako na tu svasaṃvit, sa ca	Ipv: aDyavasAyaH eva BrAntyA vizaya-vyavasTApakaH na tu sva-saMvit, sa ca
   jaḍaḥ katham arthavyavasthāyā hetuḥ ? cidrūpo 'py atītārthamātram	jaxaH kaTam arTa-vyavasTAyAH hetuH ? cit-rUpaH api atIta-arTa-mAtram
   ābhāsayed abāhyasvātmollekhamātraprakāśo vā na taddhetuḥ //	ABAsayet abAhya-sva-Atma-ulleKa-mAtra-prakASaH vA na tad-hetuH //
   evam anyonyabhinnānām aparasparavedinām /	evam anyonya-BinnAnAm aparaspara-vedinAm /
   jñānānām anusaṃdhāna- janmā naśyej janasthitiḥ // Ipk_1,3.6 //	jQAnAnAm anusaMDAna janmA naSyet jana-sTitiH // IpS-_1,3.6 //
   Ipv: jñānāni svātmamātrapariniṣṭhitāni svasaṃvidrūpatayā aparasaṃvedyāni /	Ipv: jQAnAni sva-Atma-mAtra-parinizWitAni sva-saMvid-rUpa-tayA apara-saMvedyAni /
   teṣām anyonyasaṃghaṭṭanāmayaḥ paramārthopadeśaparyanto lokavyavahāraḥ	tezAm anyonya-saMGawwana-AmayaH parama-arTa-upadeSa-paryantaH loka-vyavahAraH
   katham //	kaTam //
   na ced antaḥkṛtānanta- viśvarūpo maheśvaraḥ /	na ced antar-kRta-ananta viSvarUpaH maheSvaraH /
   syād ekaś cidvapur jñāna- smṛtyapohanaśaktimān // Ipk_1,3.7 //	syAt ekaH cit-vapuH jQAna smRti-apohana-SaktimAn // Ipk-_1,3.7 //
   Ipv: cittatvam eva viśvarūpamato 'tiriktasyānupapatteḥ,	Ipv: citta-tvam eva viSva-rUpam-atas atiriktasya-anupapatteH,
   aśeṣapadārthajñānānām anyonyānusaṃdhānam / asyaiva jñānādikāḥ śaktayaḥ /	aSeza-padArTa-jQAnAnAm anyonya-anusaMDAnam / asya-eva jQAna-AdikAH SaktayaH /
   mattaḥ smṛtir jñānam apohanaṃ ceti hy uktam //	mattaH smRtiH jQAnam apohanam ca-iti hi uktam //
   iti jñānādhikāre tṛtīyam āhnikam //	iti jQAna-aDikAre tRtIyam Ahnikam //
   sa hi pūrvānubhūtārthopalabdhā parato 'pi san /	sa hi pUrva-anuBUta-arTa-upalabDA paratas api san /
   vimṛśan sa iti svairī smaratīty apadiśyate // Ipk_1,4.1 //	vimRSan saH iti svErI smarati-iti apadiSyate // IpS-_1,4.1 //
   Ipv: paścād api pūrvānubhūtārthānubhavitṛtvāt	Ipv: paScAt api pUrva-anuBUta-arTa-anuBavitR-tvAt
   pūrvānubhūtārthaprakāśāsaṃpramoṣaṇam, tasyaikasya vibhoḥ kartuḥ sa ity	pUrva-anuBUta-arTa-prakASa-asaMpramozaNam, tasya-ekasya viBoH kartuH saH iti-
   atra pūrvānubhūtatvena pratyavamarśaḥ smṛtir nāma vyāparaḥ //	atra pUrva-anuBUta-tvena pratyavamarSaH smRtiH nAma vyAparaH //
   bhāsayec ca svakāle 'rthāt pūrvābhāsitam āmṛśan /	BAsayet ca sva-kAle arTAt pUrva-ABAsitam AmRSan /
   svalakṣaṇaṃ ghaṭābhāsa- mātreṇāthākhilātmanā // Ipk_1,4.2 //	sva-lakzaNam Gawa-ABAsa mAtreNa-aTa-aKila-AtmanA // Ipk-_1,4.2 //
   Ipv: smṛtiśaktyā sa iti pūrvānubhūtaṃ svalakṣaṇaṃ parāmṛśann ābhāsayaty	Ipv: smRti-SaktyA saH iti pUrva-anuBUtam sva-lakzaNam parAmRSan ABAsayati-
   evānyathā prakāśitasya parāmarśo na kṛtaḥ syāt svasattākāla eva ca, tena	eva-anyaTA prakASitasya parAmarSaH na kRtaH syAt sva-sattA-kAlaH eva ca, tena
   smaraṇakāle naṣṭasyāpy ābhāso na duṣyati / kadā cit tv arthitāvaśād	smaraNa-kAle nazwasya-api ABAsaH na duzyati / kadA cit tu arTitA-vaSAd
   ghaṭakāñcanadravyasattādyanyatamaikābhāsarūpeṇaivāsya sphuṭāvabhāsaḥ,	Gawa-kAQcana-dravya-satta-Adi-anyatama-eka-ABAsa-rUpeNa-eva-asya sPuwa-avaBAsaH,
   anyadā tu sarvātmanārthitvena tathaiva / atiśayanirantarāvahitacetasas tu	anyadA tu sarva-AtmanA-arTi-tvena taTA-eva / atiSaya-nirantara-avahita-cetasaH tu
   dṛṣṭārthapratyakṣīkāra eva //	dRzwa-arTa-pratyakzIkAraH eva //
   na ca yuktaṃ smṛter bhede smaryamāṇasya bhāsanam /	na ca yuktam smRteH Bede smaryamANasya BAsanam /
   tenaikyaṃ bhinnakālānāṃ saṃvidāṃ veditaiṣa saḥ // Ipk_1,4.3 //	tena-Ekyam Binna-kAlAnAm saMvidAm vedita-eza saH // IpS-_1,4.3 //
   Ipv: pūrvānubhūtaś cārtho 'nubhavena saha tātkālikasmṛtiprakāśe	Ipv: pUrva-anuBUtaH ca-arTaH anuBavena saha tAtkAlika-smRti-prakASe
   'vabhāsamānaḥ smṛtyabhinna eva prakāśād bhinnasya prakāśamānatānupapatteḥ	avaBAsamAnaH smRti-aBinnaH eva prakASAt Binnasya prakASam-AnatA-anupapatteH
   / evaṃ cānubhavasmṛtyādisaṃvidām aikyaṃ sa eva cātmā vedakaḥ / tathā hi //	/ evam ca-anuBava-smRti-Adi-saMvidAm Ekyam saH eva ca-AtmA vedakaH / taTA hi //
   naiva hy anubhavo bhāti smṛtau pūrvo 'rthavat pṛthak /	na-eva hi anuBavaH BAti smRtO pUrvaH arTavat pRTak /
   prāg anvabhūvam aham ity ātmārohaṇabhāsanāt // Ipk_1,4.4 //	prAk anvaBUvam aham iti Atma-ArohaNa-BAsanAt // Ipk-_1,4.4 //
   Ipv: smṛtau smaryamāṇo 'nubhūtārtho yathā pṛthagbhūto bhāti na	Ipv: smRtO smaryamANaH anuBUta-arTaH yaTA pRTak-BUtaH BAti na
   tathānubhavaḥ svātmana evāhaṃtāpratyeyasyānubhavamayatvena prathanāt, yaś	taTA-anuBavaH sva-AtmanaH eva-ahaMtA-pratyeyasya-anuBava-maya-tvena praTanAt, yaH-
   cānekakālo 'haṃvedyo 'rthaḥ sa evātmā //	ca-aneka-kAlaH ahaMvedyaH arTaH saH eva-AtmA //
   yoginām api bhāsante na dṛśo darśanāntare /	yoginAm api BAsante na dRSaH darSana-antare /
   svasaṃvidekamānās tā bhānti meyapade 'pi vā // Ipk_1,4.5 //	sva-saMvid-eka-mAnAH tAH BAnti meya-pade api vA // Ipk-_1,4.5 //
   Ipv: sarvajñānām api pramātrāntaragatopalambhāḥ	Ipv: sarvajQAnAm api pramAtrA-antara-gata-upalamBAH
   svasaṃvinmātravedyasvabhāvāḥ svātmārūḍhā eva bhāseran, ataś ca teṣāṃ	sva-saMvid-mAtra-vedya-svaBAvAH sva-Atma-ArUXAH eva BAseran, atas ca tezAm
   yogināṃ parātmatāpattir eva tattvam / prameyakakṣyāyām api ghaṭādivat	yoginAm para-Atma-tA-ApattiH eva tattvam / prameya-kakzyAyAm api Gawa-Adi-vat-
   prātisvikena śuddhabodhātmanā rūpeṇāvabhāseran yadi tathā saṃbhavet /	prAtisvikena SudDa-boDa-AtmanA rUpeNa-avaBAseran yadi taTA saMBavet /
   smaryate yad dṛg āsīn me saivam ity api bhedataḥ /	smaryate yat dRS AsIt me sA-evam iti api BedataH /
   tad vyākaraṇam evāsyā mayā dṛṣṭam iti smṛteḥ // Ipk_1,4.6 //	tat vyAkaraNam eva-asyAH mayA dRzwam iti smRteH // IpS-_1,4.6 //
   Ipv: mayā dṛṣṭam iti pramātrāntargatadarśanaparāmarśātmikāyā eva smṛter	Ipv: mayA dRzwam iti pramAtrA-antargata-darSana-parAmarSa-AtmikAyAH eva smRteH-
   vibhajya kathanam, etad evam anubhavo 'sau mamābhūd iti bhedenāpi nirdeśaḥ	viBajya kaTanam, etat evam anuBavaH asO mama-aBUt iti Bedena-api nirdeSaH
   yā ca paśyāmy aham imaṃ ghaṭo 'yam iti vāvasā /	yA ca paSyAmi aham imam GawaH ayam iti vA-avasA /
   manyate samavetaṃ sāpy avasātari darśanam // Ipk_1,4.7 //	manyate samavetam sA-api avasAtari darSanam // IpS-_1,4.7 //
   Ipv: paraḥsthitārthavikalpane 'pi ghaṭam imaṃ paśyāmi ghaṭo 'yam iti vā	Ipv: paraH-sTita-arTa-vikalpane api Gawam imam paSyAmi GawaH ayam iti vA
   pramātṛmayam eva darśanaṃ pratyavamṛśyate //	pramAtR-mayam eva darSanam pratyavamRSyate //
   tan mayā dṛśyate dṛṣṭo 'yaṃ sa ity āmṛśaty api /	tat mayA dRSyate dRzwaH ayam saH iti AmRSati api /
   grāhyagrāhakatābhinnāv arthau bhātaḥ pamātari // Ipk_1,4.8 //	grAhya-grAhaka-tA-BinnO arTO BAtaH pamAtari // IpS-_1,4.8 //
   Ipv: tasmād dṛkparāmarśapuraḥsārāyāṃ smṛtau vikalpamātre vā	Ipv: tasmAt dRS-para-AmarSa-puraHsArAyAm smRtO vikalpa-mAtre vA
   dṛkṣabdānuvedhaṃ vināpi sa ity ayam iti vārthamātranirdeśena	dRkzabda-anuveDam vinA-api saH iti ayam iti vA-arTa-mAtra-nirdeSena
