   prathamaṃ kośasthānam	praTamam koSa sTAnam
   katame punaste dharmā yeṣāṃ pravicayārthamabhidharmopadeśa ityāha	katame punar te DarmAH yezAm pravicaya arTam aBiDarma upadeSaH iti Aha
        sāsravā 'nāsravā dharmāḥ (1 4a)	sa AsravAH anAsravAH DarmAH (1 4a)
   eṣa sarvadharmāṇāṃ samāsanirddeśaḥ /	eza sarva DarmANAm samAsa nirddeSaH /
   tatra katame sāsravā dharmā ityāha	tatra katame sa AsravAH DarmAH iti Aha
        saṃskṛtā mārgavarjitāḥ /	saMskRtAH mArga varjitAH /
        sāsravāḥ (1 4b 4c1)	sa AsravAH (1 4b 4c1)
   mārgasatyaṃ varjayitvā 'nye saṃskṛtā dharmāḥ sāsravāḥ /	mArga satyam varjayitvA anye saMskRtAH DarmAH sa AsravAH /
   kiṃ kāraṇam /	kim kAraNam /
        āsravāsteṣu yasmāt samanuśerate (1 4c2 4d) // VAkK_1.4 //	AsravAH tezu yasmAt samanuSerate (1 4c2 4d) // VAkK_1.4 //
   kāmaṃ nirodhamārgasatyālambanā api āsravā upajāyante na tinuśerate tatreti	kAmam niroDa mArga satya AlambanAH api AsravAH upajAyante na tinuSerate tatra iti
   na tayoḥ sāsravatvaprasañgaḥ /	na tayoH sa asrava tva prasaQgaH /
   yathā 'tra nānuśerate tat paścādanuśayanirdeśa eva jñāpayiṣyāmaḥ /	yaTA atra na anuSerate tat paScAt anuSaya nirdeSaH eva jQApayizyAmaH /
   uktāḥ sāsravāḥ /	uktAH sa AsravAH /
   anasravāḥ katame /	anasravAH katame /
        anāsravā mārgasatyaṃ trividhaṃ cāpyasaṃskṛtam / (1 5a 5b)	anAsravAH mArga satyam triviDam ca api asaMskRtam / (1 5a 5b)
   katamattri vidham /	katamattri viDam /
        ākāśaṃ dvau nirodhau ca (1 5c)	AkASam dvO niroDO ca (1 5c)
   katamau dvau /	katamO dvO /
   pratisaṃkhyānirodho 'pratisaṃkhyānirodhaśca /	pratisaMKyA niroDaH apratisaMKyA niroDaH ca /
   ityetadākāśādi trividhamasaṃskṛtaṃ mārgasatyaṃ cānāsravā dharmāḥ /	iti etat AkASa Adi triviDam asaMskRtam mArga satyam ca anAsravAH DarmAH /
   kiṃ kāraṇam /	kim kAraNam /
   nahi teṣvāsravā anuśerata iti /	na hi tezu AsravAH anuSerate iti /
   yadetat trividhamasaṃskṛtamuddiṣṭam	yat etat triviDam asaMskRtam uddizwam
        tatrākāśamanāvṛtiḥ (1 5d) // VAkK_1.5 //	tatra AkASam anAvRtiH (1 5d) // VAkK_1.5 //
   anāvaraṇasvabhāvamākāśaṃ yatra rūpasya gatiḥ //	anAvaraNa svaBAvam AkASam yatra rUpasya gatiH //
        pratisaṃkhyānirodho yo visaṃyogaḥ (1 6a 6b1)	pratisaMKyA niroDaH yaH visaMyogaH (1 6a 6b1)
   yaḥ sāsravairdharmairvisaṃyogaḥ sa pratisaṃkhyānirodhaḥ /	yaH sa AsravEH DarmEH visaMyogaH sa pratisaMKyA niroDaH /
   duḥkhādīnāmāryasatyānāṃ pratisaṃkhyānaṃ pratisaṃkhyā prajñāviśeṣastena	duHKa AdInAm Arya satyAnAm pratisaMKyAnam pratisaMKyA prajQA viSezaH tena
   prāpyo nirodhaḥ /	prApyaH niroDaH /
   pratisaṃkhyānirodhaḥ /	pratisaMKyA niroDaH /
   madhyapadalopāt gorathavat /	maDya pada lopAt go raTa vat /
   kiṃ punareka eva sarveṣāṃ sāsravāṇāṃ dharmāṇāṃ pratisaṃkhyānirodhaḥ /	kim punar ekaH eva sarvezAm sa AsravANAm DarmANAm pratisaMKyA niroDaH /
   netyāha /	na iti Aha /
   kiṃ tarhi /	kim tarhi /
        pṛthak pṛthak / (1 6b2)	pRTak pRTak / (1 6b2)
   yāvanti hi saṃyogadravyāṇi tāvanti visaṃyogadravyāṇi /	yAvanti hi saMyoga dravyANi tAvanti visaMyoga dravyANi /
   anyathā hi duḥkhadarśanaheyakleśanirodhasākṣātk karaṇāt	anyaTA hi duHKa darSana heya kleSa niroDa sAkzAtk karaNAt 
   sarvakleśanirodhasākṣātkriyā prasajyeta /	sarva kleSa niroDa sAkzAt kriyA prasajyeta /
   sati caivaṃ śeṣapratipakṣabhāvanāvaiyarthyaṃ syāt /	sati ca evam Seza pratipakza BAva nA vEyarTyam syAt /
   yattarhyuktam "asabhāgonirodha" ityasya ko 'rthaḥ /	yat tarhi uktam "asa BA gaH niroDa" iti asya kaH arTaH /
   nāsya kaścit sabhāgaheturasti nāsau kasyacidityayamasya vākyasyārtho na tu	na asya kaScid sa BAga hetuH asti na asO kasyacid iti ayamasya vAkyasya arTaH na tu
   nāsya kaśicat sabhāgo 'stīti /	na asya kaSicat saBAgaH asti iti /
   uktaḥ pratisaṃkhyānirodhaḥ //	uktaH pratisaMKyA niroDaH //
        utpādātyantavighno 'nyo nirodho 'pratisaṃkhyayā (1 6c 6d) // VAkK_1.6	utpAda atyanta viGnaH anyaH niroDaH apratisaMKyayA (1 6c 6d) // VAkK_1.6
   anāgatānāṃ dharmāṇāmutpādasyātyantaṃ vighnabhūto visaṃyogād yo 'nyo	anAgatAnAm DarmANAm utpAdasya atyantam viGna BUtaH visaMyogAt yaH anyaH 
   nirodhaḥ so 'pratisaṃkhyānirodhaḥ /	niroDaH saH apratisaMKyA niroDaH /
   na hyasau pratisaṃkhyayā labhyate /	na hi asO pratisaMKyayA laByate /
   kiṃ tarhi /	kim tarhi /
   pratyayavaikalyāt /	pratyaya vEkalyAt /
   yathaikarūpavyāsaktacakṣurmanaso yāni rūpāṇi śabdagandharasaspraṣṭavyāni	yaTA eka rUpa vyAsakta cakzuH manasaH yAni rUpANi Sabda ganDa rasa sprazwavyAni
   cātyayante tadālambanaiḥ pañcabhirvijñānakāyairna śakyaṃ punarutpattum /	ca Atyayante tad AlambanEH paQcaBiH vijQAna kAyEH na Sakyam punar utpattum /
   na hi te satyā atītaṃ viṣayamālambayi tulmiti /	na hi te satyAH atItam vizayam Alambayi tulm iti /
   ataḥ sa teṣāmapratisaṃkhyānirodhaḥ pratyayavaikalyāt prāpyate /	atas sa tezAm apratisaMKyA niroDaH pratyaya vEkalyAt prApyate /
   catuṣkoṭikaṃ cātra bhavati /	catuzkowikam ca atra Bavati /
   santi te dharmā yeṣāṃ pratisaṃkhyānirodha eva labhyate /	santi te DarmAH yezAm pratisaMKyA niroDaH eva laByate /
   tadyathā atitapratyutpannotpattidharmāṇāṃ sāsravāṇām /	tat yaTA atita pratyutpanna utpatti DarmANAm sa AsravANAm /
   santi yeṣāmapratisaṃkhyānirodha eva /	santi yezAm apratisaMKyA niroDaH eva /
   tadyathā 'nutpattidharmāṇāmanāsravasaṃskṛtānām /	tat yaTA anutpatti DarmANAm anAsrava saMskRtAnAm /
   santi te yesāmubhayam /	santi te yesAm uBayam /
   tadyathā sāsravāṇāmanutpasttidharmāṇām /	tat yaTA sa AsravANAm anutpastti DarmANAm /
   santi yeṣāṃ nobhayam /	santi yezAm na uBayam /
   tadyathā atītapratyutpannotpattidharmāṇāmaṇāsravāṇāmiti /	tat yaTA atIta pratyutpanna utpatti DarmANAm aNa AsravANAm iti /
   uktaṃ trividhamasaṃskṛtam //	uktam triviDam asaMskRtam //
   yattūktaṃ "saṃskṛtā mārgavarjitāḥ /	yat tu uktam "saMskRtAH mArga varjitAH /
   sāsravā" iti katame te saṃskṛtāḥ /	sa AsravA" iti katame te saMskRtAH /
        te punaḥ saṃskṛtā dhārmā rūpādiskandhapañcakam / (1 7a 7b)	te punar saMskRtAH DArmA rUpa Adi skanDa paQcakam / (1 7a 7b)
   rūpaskandho vedanāskandhaḥ saṃskāraskandho vijñānaskandhaścetyete saṃskṛtā	rUpa skanDaH vedanA skanDaH saMskAra skanDaH vijQAna skanDaH ca iti ete saMskRtA
   dharmāḥ /	DarmAH /
   sametya saṃbhūya pratyayaiḥ kṛtāḥ iti saṃskṛtāḥ /	sametya saMBUya pratyayEH kRtAH iti saMskRtAH /
   nahyekapratyayajanitaṃ kiñcidastīti /	na hi eka pratyaya janitam kiQcid asti iti /
   tajjātīyatvādanāgateṣvavirodho dugdhendhanavat /	tad jAtIya tvAt anAgatezu aviroDaH dugDa inDana vat /
        ta evādhvā kathāvastu saniḥsārāḥ savastukāḥ (1 7c 7d) // VAkK_1.7 //	te eva aDvA kaTA vastu sa niHsArAH sa vastukAH (1 7c 7d) // VAkK_1.7 //
   ta eva saṃskṛtā gatagacchadgamiṣyadbhāvādadhvānaḥ adyante 'nitayatyeti vā	te eva saMskRtAH gata gacCat gamizyat BAvAt aDvAnaH adyante anitayati eti vA
   kathā vāvāyam tasyā vastu nāma /	kaTA vA AvAyam tasyAH vastu nAma /
   sārthakavastugrahaṇāt tu saṃskṛntaṃ kathāvastūcyate /	sArTaka vastu grahaNAt tu saMskRntam kaTA vastu ucyate /
   anyathā hi urakaraṇagrantho virudhyeta /	anyaTA hi ura karaNa granTaH viruDyeta /
   "kathāvastūnyaṣṭādaśabhirdhatubhiḥ saṃgṛhītāni /"	"kaTA vastUni azwAdaSaBiH DatuBiH saMgRhItAni /"
   niḥsaraṇaṃ niḥsāraḥ sarvasya saṃskṛtasya nirvāṇam /	niHsaraNam niHsAraH sarvasya saMskRtasya nirvANam /
   tadeṣāmastīti saniḥsārāḥ /	tat ezAm asti iti sa niHsArAH /
   sahetukatvāt savastukāḥ /	sa hetuka tvAt sa vastukAH /
   hetuvacanaḥ kila vastuśabda iti vaibhāṣicāḥ /	hetu vacanaH kila vastu SabdaH iti vEBAzicAH /
   ityete saṃskṛtadharmauaryāyāḥ /	iti ete saMskRta DarmOaryAyAH /
   ta eva puyaḥ saṃskṛtā dharamāḥ /	te eva puyaH saMskRtAH DaramAH /
        ye sāsravā upādānaskandhāste (1 8a 8b1)	ye sa AsravAH upAdAna skanDAH te (1 8a 8b1)
   ataḥ kiṃ diddhaṃ /	atas kim didDam /
   ya upādānaskandhāḥ skandhā api te syuḥ eva nopādānaskandhāḥ /	ye upAdAna skanDAH skanDAH api te syuH eva na upAdAna skanDAH /
   anāsravāḥ saṃskārā iti	anAsravAH saMskArAH iti
   tatra upādānāni kleśāḥ /	tatra upAdAnAni kleSAH /
   tatsaṃbhūtatvādupādānaskandhāḥ //	tad saMBUta tvAt upAdAna skanDAH //
   truṇatupāgnivat /	truNa tupa agni vat /
   taddhidheyatvādvā rājapurūpavat /	tat hiDeya tvAt vA rAja puru upavat /
   upādānāni vā tebhyaḥ saṃbhavantīti upādānaskandhāḥ puṣpaphalavṛkṣavat /	upAdAnAni vA teByaH saMBavanti iti upAdAna skanDAH puzpa Pala vRkza vat /
   ta eva sāsravā dharmā ucyante /	te eva sa AsravAH DarmAH ucyante /
        saraṇā api / (1 8b2)	saraNAH api / (1 8b2)
   raṇsā hi kleśāḥ /	raNsAH hi kleSAH /
   ātmapāravyāvādhanāt /	Atma pAravyAvADanAt /
   stadanuśayitatvāt saraṇāḥ /	stad anuSayita tvAt saraNAH /
   sāsravavat /	sa Asrava vat /
   punaḥ	punar 
        duḥkhaṃ samudayo loko dṛṣṭisthānaṃ bhavaśca te (1 8c 8d) // VAkK_1.8	duHKam samudayaH lokaH dRzwi sTAnam BavaH ca te (1 8c 8d) // VAkK_1.8
   āryāṇāṃ pratikūlatvādduḥkham /	AryANAm pratikUla tvAt duHKam /
   samudetyasmād duḥkhamiti samudayaḥ /	samudeti asmAt duHKam iti samudayaH /
   lakṣyata iti lokaḥ /	lakzyate iti lokaH /
   dṛṣṭirasmiṃstiṣṭhatyanuśayanāditi dṛṣṭisthānam /	dRzwiH asmin= tizWati anuSayanAt iti dRzwi sTAnam /
   bhavatīti bhavaḥ	Bavati iti BavaH
   ityete sāsravāṇasaṃ dharmāṇāmānvarthaparyāyāḥ	iti ete sa asravANasam DarmANAm AnvarTa paryAyAH
   pañca rūpādayaḥ skandhā ityuktam /	paQca rUpa AdayaH skanDAH iti uktam /
   tatra	tatra
        rūpaṃ pañcendriyāṇyarthāḥ pañcāvijñaptireva ca / (1 9a 9b)	rUpam paQca indriyANi arTAH paQca avijQaptiH eva ca / (1 9a 9b)
   pañcendriyāṇi cakṣuḥśtrotragrhāṇajihvākāyendariyā ṇa /	paQca indriyANi cakzuH Strotra grhANa jihvA kAya indariyA Na /
   pañcārthāsteṣāmevacakṣurādīnāmindriyāṇāṃ yathāsvaṃ ye pañca viṣayāḥ	paQcArTAH tezAm eva cakzuH AdInAm indriyANAm yaTAsvam ye paQca vizayAH
   rūpaśabdagandharasaspraṣṭavyākhyāḥ /	rUpa Sabda ganDa rasa sprazwavya AKyAH /
   avijñaptiśceti /	avijQaptiH ca iti /
   etāvān rūpaskandhaḥ	etAvAn rUpa skanDaH
   tatra ya ete pañca rūpādayo 'rthā uktāḥ /	tatra ye ete paQca rUpa AdayaH arTAH uktAH /
        tadvijñānāśrayā rūpaprasādāścakṣurādayaḥ (1 9c 9d) // VAkK_1.9 //	tad vijQAna ASrayAH rUpa prasAdAH cakzuH AdayaH (1 9c 9d) // VAkK_1.9 //
   rūpaśabdagandharasaspraṣṭavyavijñānānāmāśrayabhūtā ye pañca rūpātmakāḥ	rUpa Sabda ganDa rasa sprazwavya vijQAnAnAm ASraya BUtAH ye paQca rUpa AtmakAH
   prasādāste yathākramaṃ cakṣuḥśrotraghrāṇajihvākāyā veditavyāḥ /	prasAdAH te yaTAkramam cakzuH Srotra GrANa jihvA kAyAH veditavyAH /
   yathoktaṃ bhagavatā "cakṣurbhikṣo ādhyātmikamāyatanaṃ catvāri	yaTA uktam BagavatA "cakzuH BikzaH ADyAtmikam Ayatanam catvAri
   mahābhūtānyupādāya" rūpa prasāda iti vistaraḥ /	mahABUtAni upAdAya" rUpa prasAdaH iti vistaraH /
   yānyetāni cakṣurādīnyuktani tadvijñānāśrayā rūpaprasādāścakṣurādayaḥ /	yAni etAni cakzuH AdIni uktani tad vijQAna ASrayAH rUpa prasAdAH cakzuH AdayaH /
   cakṣurvijñānādyāśrayā ityarthaḥ /	cakzuH vijQAna Adi ASrayAH iti arTaH /
   evaṃ kṛtvā prakaraṇagraṇtho 'pyanuvṛtto bhavati /	evam kRtvA prakaraNa graNTaH api anuvRttaH Bavati /
   "cakṣuḥ katamat /	"cakzuH katamat /
   cakṣurvijñānāśrayo rūpaprasāda" iti vistaraḥ /	cakzuH vijQAna ASrayaH rUpa prasAda" iti vistaraH /
   nirddiṣṭāni pañcendriyāṇi /	nirddizwAni paQca indriyANi /
   arthāḥ pañcā nirddeśyāḥ /	arTAH paQcAH nirddeSyAH /
   tatra tāvat]	tatra tAvat ]
        rūpaṃ dvidhā	rUpam dviDA
   varṇaḥ saṃsthānaṃ ca /	varNaH saMsTAnam ca /
   tatra varṇaścaturvidho nīlādiḥ /	tatra varNaH caturviDaH nIla AdiH /
   tadbhedā anye /	tad BedAH anye /
   samsthānamaṣṭavidhaṃ dīrghadi visātāntam /	samsTAnam azwaviDam dIrGadi visAta antam /
   tadeva rūpāyatanaṃ punarucyate /	tat eva rUpa Ayatanam punar ucyate /
        vimśatidhā	vimSatiDA
   tadyathā nīlaṃ pītaṃ lohitamavadātaṃ dīrghaṃ hrasvaṃ vṛttaṃ parimaṇḍalaṃ	tat yaTA nIlam pItam lohitam avadAtam dIrGam hrasvam vRttam parimaNxalam
   unnatamavanataṃ sātaṃ visātaṃ abhraṃ dhūmo rajo mahikā cchāyā ātapaḥ	unnatam avanatam sAtam visAtam aBram DUmaH rajaH mahikA cCAyA AtapaH
   ālokaḥ andhakāramiti /	AlokaH anDakAram iti /
   kecinnabhaścaikavarṇamiti ekaviṃśatiṃ saṃpaṭhanti /	kecid naBaH ca eka varNam iti ekaviMSatim saMpaWanti /
   tatra sātaṃ samasthānam / visātaṃ viṣama sthānaml mahikā nīhāraḥ / ātapaḥ	tatra sAtam sama sTAnam / visAtam vizama sTAnaml mahikA nIhAraH / AtapaH
   sūryaprabhā /	sUrya praBA /
   ālokaḥ candratārakāgnyoṣadhimaṇīnaṃ prabhā /	AlokaH candra tAraka agni ozaDimaNInam praBA /
   chāyā yatra rūpāṇāṃ darśanam /	CAyA yatra rUpANAm darSanam /
   viparyayādandhakāram /	viparyayAt anDakAram /
   śeṣaṃ sugamatvānna vipañcitam /	Sezam sugama tvAt na vipaQcitam /
   asti rūpāyatanaṃ varṇato vidyate na saṃsthānataḥ	asti rUpa Ayatanam varNataH vidyate na saMsTAnataH
   nīlapītalohitavadātacchāyātapālokāndhakārākhyam /	nIla pIta lohita vat Ata= CAyA Atapa Aloka anDakAra AKyam /
   asti saṃsthānato na varṇataḥ /	asti saMsTAnataH na varNataH /
   ghādīnāṃ pradeṣaḥ kāyavijñaptisvabhāvaḥ /	GAdInAm pradezaH kAya vijQapti svaBAvaH /
   astyubhayathā /	asti uBayaTA /
   pariśiṣṭaṃ rūpāyatanam /	pariSizwam rUpa Ayatanam /
   ātapālokāveva varṇato vidyete ityapare /	Atapa alokO= eva varNataH vidyete iti apare /
   "dṛśyate hi nīlādīnaṃ dīrghādipariccheda" iti /	"dRSyate hi nIla AdInam dIrGa Adi paricCeda" iti /
   kathaṃ punarekaṃ dravyamubhayathā vidyate /	kaTam punar ekam dravyam uBayaTA vidyate /
   astyubhayasya tatra prajñānāt /	asti uBayasya tatra prajQAnAt /
   jñānārtho hyeṣa vidirna sattārthaḥ /	jQAna arTaH hi eza vidiH na satta arTaH /
   kāyavijñaptāvapi tarhi prasaṅgaḥ /	kAya vijQaptO= api tarhi prasaFgaH /
   uktaṃ rūpāyatanaṃ //	uktam rUpa Ayatanam //
        śabdastvaṣṭavidhaḥ /	SabdaH tu azwaviDaH /
   upāttānupāttamahābhūtahetukaḥ sattvāsattvākhyaśceti caturvidhaḥ /	upAtta anupAtta mahABUta hetukaH sattva asattva AKyaH ca iti caturviDaH /
   punarmanojñāmanojñabhedādaṣṭavidho bhavati /	punar manojQA manojQa BedAt azwaviDaH Bavati /
   tatropāttamahābhūtahetuko yathā hastavākchabdaḥ /	tatra upAtta mahABUta hetukaH yaTA hasta vAc SabdaH /
   anupāttamahābhutahetuko yathā vāyuvanaspatinadīśabdaḥ /	anupAtta mahA aButa hetukaH yaTA vAyu vanaspati nadI SabdaH /
   sattvākhyo vāgvijñaptiṣabdaḥ /	sattva AKyaH vAc vijQaptizabdaH /
   asattvākhyo 'nyaḥ	asattva AKyaH anyaH
   upāttānupāttamahābhūtahetuko 'pyasti śabda ityapare /	upAtta anupAtta mahABUta hetukaH api asti SabdaH iti apare /
   tadyathā hastamṛdaṅgasaṃyogaja iti /	tat yaTA hasta mRdaFga saMyoga jaH iti /
   sa tu yathaikau varṇaparamāṇurna bhūtacatuṣkadvayamupādāyeṣyate tathā	sa tu yaTA ekO varNa paramANuH na BUta catuzka dvayam upAdAya izyate taTA
   naivaiṣṭavya iti /	na eva ezwavyaH iti /
   uktaḥ śabdaḥ //	uktaH SabdaH //
        rasaḥ /	rasaH /
        ṣoḍha	zoXa
   madhurāmlalavaṇakaṭukatittakaṣāyabhedāt /	maDura amla lavaNa kawuka titta kazAya BedAt /
        caturvidho gandhaḥ	caturviDaH ganDaH
