   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   yadāsīd ekam avyaktaṃ nityaṃ cidrūpam avyayam // SatvT_1.9	yadA-AsIt ekam avyaktam nityam cit-rUpam avyayam // SatvT_1.9
   brahmeti yad vidur vijñā bhagavān iti sātvatāḥ /	brahma-iti yat viduH vijQAH BagavAn iti sAtvatAH /
   tadāsantam ivātmānaṃ matvā dṛśya vinā vibhuḥ // SatvT_1.10	tadA-asantam iva-AtmAnam matvA dRSya vinA viBuH // SatvT_1.10
   dviprakāram abhūt satyaṃ sattābhūtvā svayaṃ svayam /	dvi-prakAram aBUt satyam sattA-BUtvA svayam svayam /
   tac cicchaktisvarūpeṇa prakṛtiḥ puruṣo mahān // SatvT_1.11	tat cit-Cakti-svarUpeNa prakRtiH puruzaH mahAn // SatvT_1.11
   sarvalokaikanilayo bhagavān iti śabdyate /	sarva-loka-eka-nilayaH BagavAn iti Sabdyate /
   tasyaiva śaktiḥ prakṛtiḥ kāryakāraṇarūpiṇī // SatvT_1.12	tasya-eva SaktiH prakRtiH kArya-kAraNa-rUpiNI // SatvT_1.12
   guṇatrayasvarūpeṇa yā svayaṃ bhidyate punaḥ /	guNatraya-svarUpeNa yA svayam Bidyate punar /
   yaḥ kālas taṃ vadanty eke hareś ceṣṭāṃ duranvayām // SatvT_1.13	yaH kAlaH tam vadanti eke hareH cezwAm duranvayAm // SatvT_1.13
   yasmād guṇatrayakṣobhāt pṛthagbhūto 'bhavat purā /	yasmAt guNatraya-kzoBAt pRTak-BUtaH aBavat purA /
   jīvasya yasmād bhavati śubhāśubhaphalagrahaḥ // SatvT_1.14	jIvasya yasmAt Bavati SuBa-aSuBa-Pala-grahaH // SatvT_1.14
   tat karma mahato janmahetur avyaktamūrtimat /	tat karma mahataH janma-hetuH avyakta-mUrtimat /
   bhāvānāṃ pariṇāmo hi yato bhavati sarvadā // SatvT_1.15	BAvAnAm pariNAmaH hi yatas Bavati sarvadA // SatvT_1.15
   tam evāhur vedavidaḥ sūkṣmarūpaṃ svabhāvakam /	tam eva-AhuH veda-vidaH sUkzma-rUpam svaBAvakam /
   ukto 'yaṃ puruṣaḥ sākṣād īśvaro bhagavattanuḥ // SatvT_1.16	uktaH ayam puruzaH sAkzAt ISvaraH Bagavat-tanuH // SatvT_1.16
   kālakarmasvabhāvasthaḥ prakṛtiṃ prati noditaḥ /	kAla-karma-svaBAva-sTaH prakRtim prati na-uditaH /
   puruṣādhiṣṭhitā devī prakṛtir guṇasaṃgrahā // SatvT_1.17	puruza-aDizWitA devI prakRtiH guNa-saMgrahAH // SatvT_1.17
   mahattattvam abhūt tattatparijñānakriyātmakam /	mahat-tattvam aBUt tad-tad-parijQAna-kriyA-Atmakam /
   tasmāj jāto hy ahaṃkāras trividho daivanoditāt // SatvT_1.18	tasmAt jAtaH hi ahaMkAraH triviDaH dEva-noditAt // SatvT_1.18
   vaikārikas taijasaś ca tāmasaś ceti yaṃ viduḥ /	vEkArikaH tEjasaH ca tAmasaH ca-iti yam viduH /
   vaikārikān manodevā jātā jñānakriyādhipāḥ // SatvT_1.19	vEkArikAt manaH-devAH jAtAH jQAna-kriyA-aDipAH // SatvT_1.19
   marutkeśau diśaḥ sūryo nāsatyo jñānanodakāḥ /	marut-keSO diSaH sUryaH nAsatyaH jQAna-nodakAH /
   vahnīndramitrakopetā ete karmāpanodakāḥ // SatvT_1.20	vahni-indra-mitraka-upetAH ete karma-apanodakAH // SatvT_1.20
   rājasād viṣayagrāhajñānakarmasvarūpiṇaḥ /	rAjasAt vizaya-grAha-jQAna-karma-svarUpiNaH /
   tvagrasajñā śrutiś cakṣur ghrāṇaṃ buddhiś ca tanmayāḥ // SatvT_1.21	tvac-rasajQA SrutiH cakzuH GrANam budDiH ca tad-mayAH // SatvT_1.21
   vākpāṇipāyūpasthāś ca gatiś ceti kriyātmakāḥ /	vAc-pANi-pAyu-upasTAH ca gatiH ca-iti kriyA-AtmakAH /
   tāmasāt pañcabhūtāni tanmātrāṇi ca bhāgaśaḥ // SatvT_1.22	tAmasAt paQcaBUtAni tanmAtrANi ca BAgaSas // SatvT_1.22
   prathamaṃ tāmasāj jajñe śabdas tasmād abhūn nabhaḥ /	praTamam tAmasAt jajQe SabdaH tasmAt aBUt naBaH /
   śabdarūpāt tu nabhasaḥ sparśas tasmād abhūn marut // SatvT_1.23	Sabda-rUpAt tu naBasaH sparSaH tasmAt aBUt marut // SatvT_1.23
   maruto 'bhūt tatas tejas tejaso rūpam uttamam /	marutaH aBUt tatas tejaH tejasaH rUpam uttamam /
   rūpamātrād raso jajñe tasmād āpo 'bhavan śucīḥ // SatvT_1.24	rUpa-mAtrAt rasaH jajQe tasmAt ApaH aBavan SucIH // SatvT_1.24
   adbhyo jāto gandhaguṇo gandhād bhūmir ajāyata /	adByaH jAtaH ganDa-guNaH ganDAt BUmiH ajAyata /
   mahattattvam ahaṃkāraḥ saśabdasparśatejasaḥ // SatvT_1.25	mahat-tattvam ahaMkAraH sa-Sabda-sparSa-tejasaH // SatvT_1.25
   rasagandhāv ime sarve smṛtā prakṛtivikriyāḥ /	rasa-ganDO ime sarve smRtA prakRti-vikriyAH /
   śabdasya prakṛter eva saṃdṛśyante yato budhaiḥ // SatvT_1.26	Sabdasya prakRteH eva saMdRSyante yatas buDEH // SatvT_1.26
   ato 'bhavan prakṛtayo vikārān vikṛtīr viduḥ /	atas aBavan prakRtayaH vikArAn vikRtIH viduH /
   ākāśe śabdamātraṃ syād vāyau sparśaḥ saśabdakaḥ // SatvT_1.27	AkASe Sabda-mAtram syAt vAyO sparSaH sa-SabdakaH // SatvT_1.27
   rūpaṃ tejasi śabdaś ca sparśaś caiva jale tathā /	rUpam tejasi SabdaH ca sparSaH ca-eva jale taTA /
   rasaśabdasparśarūpaṃ pṛthivyāṃ sarvam eva hi // SatvT_1.28	rasa-Sabda-sparSa-rUpam pRTivyAm sarvam eva hi // SatvT_1.28
   kāraṇānāṃ yataḥ kārye samanvayavidhis tataḥ /	kAraNAnAm yatas kArye samanvaya-viDiH tatas /
   dṛśyate tv adhikas tatra guṇo yāvati kaś ca ha // SatvT_1.29	dRSyate tu aDikaH tatra guNaH yAvati kaH ca ha // SatvT_1.29
   mahadādīni tattvāni puruṣasya mahātmanaḥ /	mahat-AdIni tattvAni puruzasya mahAtmanaH /
   kāryāvatārarūpāṇi jānīhi dvijasattama // SatvT_1.30	kArya-avatAra-rUpANi jAnIhi dvijasattamaH // SatvT_1.30
   sarvāṇy etāni saṃgṛhya puruṣasyecchayā yā /	sarvANi etAni saMgRhya puruzasya-icCayA yA /
   aṃśair utpādayāmāsur virājaṃ bhuvanātmakam // SatvT_1.31	aMSEH utpAdayAmAsuH virAjam Buvana-Atmakam // SatvT_1.31
   tasya cāntargataṃ chidraṃ pañcāśatkoṭivistṛtam /	tasya ca-antargatam Cidram paQcASat-kowi-vistRtam /
   daśottarādhikair etaiḥ saptabhir bahir āvṛtam // SatvT_1.32	daSa-uttara-aDikEH etEH saptaBiH bahis AvRtam // SatvT_1.32
   tam āhuḥ puruṣasyaiva gehaṃ yatrāviśat svayam /	tam AhuH puruzasya-eva geham yatra-aviSat svayam /
   yato 'cetanam evāsīt kevalaṃ sarvavistaram // SatvT_1.33	yatas acetanam eva-AsIt kevalam sarva-vistaram // SatvT_1.33
   narād utpannatattvānāṃ saṃgrahe nārasaṃjñake /	narAt utpanna-tattvAnAm saMgrahe nAra-saMjQake /
   ayanaṃ tasya yad abhūt tasmān nārāyaṇaḥ smṛtaḥ // SatvT_1.34	ayanam tasya yat aBUt tasmAt nArAyaNaH smRtaH // SatvT_1.34
   virāḍdehe yad avasad bhagavān purasaṃjñake /	virAj-dehe yat avasat BagavAn pura-saMjQake /
   ataḥ puruṣanāmānam avāpa puruṣaḥ paraḥ // SatvT_1.35	atas puruza-nAmAnam avApa puruzaH paraH // SatvT_1.35
   yadā sa bhagavān devo mūlaprakṛtivistaraḥ /	yadA sa BagavAn devaH mUlaprakRti-vistaraH /
   nārāyaṇena rūpeṇa virajam aviśat svayam // SatvT_1.36	nArAyaNena rUpeNa virajam aviSat svayam // SatvT_1.36
   tadā cetanam āpādya cirād vigraha utthitaḥ /	tadA cetanam ApAdya cirAt vigrahaH utTitaH /
   samaṣṭiśabdatāvācyo dvisaptabhuvanāśrayaḥ // SatvT_1.37	samazwi-Sabda-tA-vAcyaH dvi-sapta-Buvana-ASrayaH // SatvT_1.37
   yasmin carācaraṃ bhūtaṃ sraṣṭā brahmāhares tanūḥ /	yasmin carAcaram BUtam srazwA brahma-ahareH tanUH /
   tatra lokamayaṃ yāvat taṃ virājaṃ vido viduḥ // SatvT_1.38	tatra loka-mayam yAvat tam virAjam vidaH viduH // SatvT_1.38
   tasyābhimāninaṃ jīvaṃ vairājaṃ puruṣābhidham /	tasya-aBimAninam jIvam vErAjam puruza-aBiDam /
   tadantaryāmiṇaṃ devaṃ nārāyaṇam anāmayam // SatvT_1.39	tad-antaryAmiNam devam nArAyaNam anAmayam // SatvT_1.39
   sarvajīvaikanilayaṃ bhagavantaṃ pracakṣate /	sarva-jIva-eka-nilayam Bagavantam pracakzate /
   avatārasahasrāṇāṃ nidhānaṃ bījam avyayam // SatvT_1.40	avatAra-sahasrANAm niDAnam bIjam avyayam // SatvT_1.40
   yasyāṃśena rajoyuktaḥ sṛṣṭau brahmā vyajāyata /	yasya-aMSena rajaH-yuktaH sRzwO brahmA vyajAyata /
   viṣṇuḥ sattvaguṇādhīśaḥ sthitau sthāpayituṃ jagat // SatvT_1.41	vizNuH sattva-guNa-aDISaH sTitO sTApayitum jagat // SatvT_1.41
   tamasā rudrarūpo 'bhūt pratisaṃcaraṇo vibhuḥ /	tamasA rudra-rUpaH aBUt pratisaMcaraNaH viBuH /
   ete viṣṇor guṇamayā avatārāḥ kriyākṛtāḥ // SatvT_1.42	ete vizNoH guNa-mayAH avatArAH kriyA-kRtAH // SatvT_1.42
   eṣām aṃśāvatārān me nibodha gadato mama /	ezAm aMSa-avatArAn me niboDa gadataH mama /
   brahmaṇo 'ṃśena samabhūn marīcir atrir aṅgirāḥ // SatvT_1.43	brahmaNaH aMSena samaBUt marIciH atriH aFgirAH // SatvT_1.43
   pulastyaḥ pulahaś caiva kratur dakṣo dvijottama /	pulastyaH pulahaH ca-eva kratuH dakzaH dvijottamaH /
   bhṛgur vasiṣṭho 'tharvā ca kardamādyāḥ prajeśvarāḥ // SatvT_1.44	BRguH vasizWaH aTarvA ca kardama-AdyAH prajA-ISvarAH // SatvT_1.44
   eṣāṃ putrāś ca pautrāś ca prapautrāś ca mahaujasaḥ /	ezAm putrAH ca pOtrAH ca prapOtrAH ca mahA-ojasaH /
   sṛṣṭyartham udgatāḥ sarve bhagavadvīryasaṃyutāḥ // SatvT_1.45	sRzwi-arTam udgatAH sarve Bagavat-vIrya-saMyutAH // SatvT_1.45
   viṣṇor aṃśena samabhūd dharmo yajño bṛhattrivṛt /	vizNoH aMSena samaBUt DarmaH yajQaH bRhat-trivRt /
   svāyambhuvādyā manavo dvisaptā lokaviśrutāḥ // SatvT_1.46	svAyamBuva-AdyAH manavaH dvi-saptAH loka-viSrutAH // SatvT_1.46
   eṣāṃ putrāś ca pautrāś ca tathendrādyāś ca devatāḥ /	ezAm putrAH ca pOtrAH ca taTA-indra-AdyAH ca devatAH /
   viṣṇvaṃśayuktā lokānāṃ pālakāḥ kathitā mayā // SatvT_1.47	vizNu-aMSa-yuktAH lokAnAm pAlakAH kaTitAH mayA // SatvT_1.47
   rudrasyāṃśena śataśo jātā rudragaṇāḥ pṛthak /	rudrasya-aMSena SataSas jAtAH rudra-gaNAH pRTak /
   sarpāś ca śataśo jātā ye ca hiṃsrāḥ svabhāvataḥ // SatvT_1.48	sarpAH ca SataSas jAtAH ye ca hiMsrAH svaBAvataH // SatvT_1.48
   ete saṃkṣepataḥ proktā rudrasyāṃśās tamojuṣaḥ /	ete saMkzepataH proktAH rudrasya-aMSAH tamaH-juzaH /
   saṃhāriṇo 'sya jagato ghorarūpā vilakṣaṇāḥ // SatvT_1.49	saMhAriNaH asya jagataH Gora-rUpAH vilakzaNAH // SatvT_1.49
   atha te sampravakṣyāmi līlādehān hareḥ pṛthak /	aTa te sampravakzyAmi lIlA-dehAn hareH pRTak /
   śuddhasattvamayān śāntān lokapremāspadān śṛṇu // SatvT_1.50	SudDa-sattva-mayAn SAntAn loka-prema-AspadAn SRNu // SatvT_1.50
   ya īśa eko bhagavān ananto brahmasvarūpī puruṣo 'dhiyajñaḥ /	yaH ISaH ekaH BagavAn anantaH brahma-svarUpI puruzaH aDiyajQaH /
   pātuṃ punar viśvam asau svakāryaṃ bheje tanūs taṃ praṇamāmi kṛṣṇam //	pAtum punar viSvam asO sva-kAryam Beje tanUH tam praNamAmi kRzNam //
   SatvT_1.51	SatvT_1.51
   iti śrīsātvatatantre śivanāradasaṃvāde prathamaḥ paṭalaḥ // SatvT_1.52	iti SrI-sAtvata-tantre Siva-nArada-saMvAde praTamaH pawalaH // SatvT_1.52
   Sātvatatantra, dvitīyaḥ paṭalaḥ	SAtvata-tantra, dvitIyaH pawalaH
   śrīsiva uvāca /	SrI-sivaH uvAca /
   sākṣād babhūva bhagavān paripātum īśo vedān yugādisamaye hayaśīrṣanāmā /	sAkzAt baBUva BagavAn paripAtum ISaH vedAn yuga-Adi-samaye hayaSIrza-nAmA /
   hatvā suretaravarau madhukaiṭabhākhyau nastaś cakāra viśrutīḥ śrutibhir	hatvA suretara-varO maDu-kEwaBa-AKyO nastas cakAra viSrutIH SrutiBiH-
   vimṛgyaḥ // SatvT_2.1	vimRgyaH // SatvT_2.1
   lokān nivṛttiparatāṃ pracikīrṣur ādau bhūtvā catuḥsanatayā bhagavān	lokAn nivRtti-para-tAm pracikIrzuH AdO BUtvA catuHsana-tayA BagavAn
   vimuktyai /	vimuktyE /
   provāca yogam amalaṃ viśadāśayebhyo bhogān viraktiparatāṃ svayam ācacāra	provAca yogam amalam viSada-ASayeByaH BogAn virakti-para-tAm svayam AcacAra
   // SatvT_2.2	// SatvT_2.2
   deveṣu nāradatanur bhagavān viśuddhaṃ naiṣkarmyayogam avahat khalu	devezu nArada-tanuH BagavAn viSudDam nEzkarmya-yogam avahat Kalu
   pāñcarātram /	pAQcarAtram /
   dharmaṃ tathā bhagavatā kathitaṃ viśeṣaśiṣyeṣv asau paramanirvṛtim	Darmam taTA BagavatA kaTitam viSeza-Sizyezu asO parama-nirvRtim
   ādadhānam // SatvT_2.3	AdaDAnam // SatvT_2.3
   ādau dadhāra dharaṇīdharaṇāya dhātuḥ svāyambhuvoktiparipālakakāla eva /	AdO daDAra DaraNI-DaraNAya DAtuH svAyamBuva-ukti-paripAlaka-kAle eva /
   nārāyaṇo 'khilagurur gurukoladehaṃ tenāhanad ditisutaṃ daśanāgraghātaiḥ //	nArAyaNaH aKila-guruH guru-kola-deham tena-ahanat diti-sutam daSana-agra-GAtEH //
   SatvT_2.4	SatvT_2.4
   bhūmer adho dharaṇimaṇḍalam aprameyaḥ śeṣākhya āsa jagataḥ sthitaye	BUmeH aDas DaraNi-maNxalam aprameyaH Seza-AKyaH Asa jagataH sTitaye
   nitāntam /	nitAntam /
   yasmin kalārpitam idaṃ likhivac cakāsti nāgādhipair munigaṇaiḥ	yasmin kalA-arpitam idam liKi-vat cakAsti nAga-aDipEH muni-gaNEH
   parisevitāṅghriḥ // SatvT_2.5	parisevita-aFGriH // SatvT_2.5
   tasmād adhaḥ kamaṭha āsa viśālarūpī brahmāṇḍabhāṇḍaparivistṛtādivyakāyaḥ /	tasmAt aDas kamaWaH Asa viSAla-rUpI brahmANxa-BANxa-parivistRta-Adivya-kAyaH /
   śeṣo 'pi yatra paribhāti sutantutulyo yaṃ cāryamā pitṛpatiḥ samupāsate vai	SezaH api yatra pariBAti su-tantu-tulyaH yam ca-aryamA pitR-patiH samupAsate vE
   // SatvT_2.6	// SatvT_2.6
   dṛṣṭvā dṛśārdhavayasāpi vihāya mātur dehaṃ dhruvaṃ madhuvane	dRzwvA dRSA-arDa-vayasA-api vihAya mAtuH deham Druvam maDuvane
   tapasābhitaptam /	tapasA-aBitaptam /
   bhūtvā kṛpāmayavapur bhagavān svalokaṃ prādāt stuvanti yatayo munayo 'pi	BUtvA kRpA-Amaya-vapuH BagavAn sva-lokam prAdAt stuvanti yatayaH munayaH api
   yaṃ vai // SatvT_2.7	yam vE // SatvT_2.7
   ālokya kardamatapo bhagavān vibhūtyai saṃśuddhadivyavapuṣāvirabhūt	Alokya kardama-tapaH BagavAn viBUtyE saMSudDa-divya-vapuzA-AviraBUt
   saśuklaḥ /	sa-SuklaH /
   tasmā adād varamajātmajaputrarūpam ānandabindupayasā ca cakāra tīrtham //	tasmE adAt varam-aja-Atmaja-putra-rUpam Ananda-bindu-payasA ca cakAra tIrTam //
   SatvT_2.8	SatvT_2.8
   yajñe sa eva rucinā manuputriputra āhūtisūtir asurāraṇivahnikalpaḥ /	yajQe saH eva rucinA manu-putri-putraH AhUti-sUtiH asura-araNi-vahni-kalpaH /
   trailokyagopanavidhau suranātha īśa nāmnā suyajña iti viśrutakīrtir āśiḥ	trElokya-gopana-viDO sura-nATaH ISa nAmnA suyajQaH iti viSruta-kIrtiH ASiH
   // SatvT_2.9	// SatvT_2.9
   siddheśvaraś ca samabhūt kapilākhya īśaḥ śrīdevahūtitanayo vitatāna tasyai	sidDeSvaraH ca samaBUt kapila-AKyaH ISaH SrI-devahUti-tanayaH vitatAna tasyE
   yogaṃ svaśaktisahitaṃ cidacidvibhāgaṃ sāṃkhyaṃ tathā svabhimukheṣu jagāda	yogam sva-Sakti-sahitam cit-acit-viBAgam sAMKyam taTA su-aBimuKezu jagAda
   śuddham // SatvT_2.10	SudDam // SatvT_2.10
   yogeśvaro 'tritanayo bhagavān ananto dattākhya āsa samatāvavadat svacaryām	yogeSvaraH atri-tanayaH BagavAn anantaH datta-AKyaH Asa samatAvavadat sva-caryAm
   prahlādahaihayayaduṣv aparāyaṇeṣu śiṣyeṣu śikṣitakathāṃ kathayan gurubhyaḥ	prahlAda-hEhaya-yaduzu aparAyaNezu Sizyezu Sikzita-kaTAm kaTayan guruByaH
   // SatvT_2.11	// SatvT_2.11
   nārāyaṇo nara ṛṣipravarāvabhūtāṃ dharmasya dakṣaduhitary adhimūrtipatnyām	nArAyaNaH naraH Rzi-pravarO=-aBUtAm Darmasya dakza-duhitari aDimUrti-patnyAm
   dhīropakārakaruṇāśayakāyaśuddhaṃ tīvraṃ tapaḥ pracaratāṃ surarājatāpam //	DIra-upakAra-karuNa-ASaya-kAya-SudDam tIvram tapaH pracaratAm surarAja-tApam //
   SatvT_2.12	SatvT_2.12
   nābher abhūd ṛṣabhasaṃjñasadāptakāmo yogeśvaraḥ sutaśatair avadat	nABeH aBUt RzaBa-saMjQa-sat-Apta-kAmaH yogeSvaraH suta-SatEH avadat-
   prajābhyaḥ /	prajAByaH /
   dharmaṃ tataḥ paramayogijanāvacaryāṃ naiṣkarmyalakṣaṇaparāṃ svayam ācacāra	Darmam tatas parama-yogi-jana-avacaryAm nEzkarmya-lakzaNa-parAm svayam AcacAra
   // SatvT_2.13	// SatvT_2.13
   dhātrantike susanakādibhir īryamāṇe cetoguṇān vigalituṃ bhagavān sa haṃsaḥ	DAtR-antike su-sanaka-AdiBiH IryamANe cetaH-guNAn vigalitum BagavAn sa haMsaH
   provāca tattvam amalaṃ sadayārdracittā yasmād guṇāguṇavibhāgam abhūn	provAca tattvam amalam sa-dayA-Ardra-cittAH yasmAt guNa-aguNa-viBAgam aBUt-
   munīnām // SatvT_2.14	munInAm // SatvT_2.14
   vene mṛte dvijajanair anu bāhuyugmaṃ saṃmathyamānasamaye pṛthurūpa āsīt /	vene mRte dvija-janEH anu bAhu-yugmam saMmaTyamAna-samaye pRTu-rUpaH AsIt /
   lokakṣudhāṃ praśamayan pṛthivīṃ dudoha sarvāṇi bhūtikaraṇāni ca	loka-kzuDAm praSamayan pRTivIm dudoha sarvANi BUti-karaNAni ca
   sarvabhūtyai // SatvT_2.15	sarva-BUtyE // SatvT_2.15
   dakṣasya yajñavihite śivaśaktihetoḥ prāptājyabhāmam adhikaṃ	dakzasya yajQa-vihite Siva-Sakti-hetoH prApta-Ajya-BAmam aDikam
   bhṛguṇābhidattam /	BRguNA-aBidattam /
   tatrāṣṭabāhur abhavad bhagavān bhavāya prāptā nutiḥ suranarādikṛtāpi tena	tatra-azwa-bAhuH aBavat BagavAn BavAya prAptA nutiH sura-nara-Adi-kRtA-api tena
   // SatvT_2.16	// SatvT_2.16
   jātaḥ priyavratakule gaya ity udārakīrtiṃ tatāna bhagavān tanuvāṅmanobhiḥ	jAtaH priyavrata-kule gayaH iti udAra-kIrtim tatAna BagavAn tanu-vAc-manoBiH
   tenāpi yajñatanur īśvara indrarūpī spardhāṃ cakāra mahatāṃ madam ādadhānaḥ	tena-api yajQa-tanuH ISvaraH indra-rUpI sparDAm cakAra mahatAm madam AdaDAnaH
   // SatvT_2.17	// SatvT_2.17
   saṃvatsarasya tanayaḥ sa ha yāminīnām ālokanādivividhaṃ mudam ācikīrṣuḥ /	saMvatsarasya tanayaH sa ha yAminInAm Alokana-Adi-viviDam mudam AcikIrzuH /
   śrīkāmadevavapuṣā hy avatīrya devo devyomayā madanakelibhir ārarāma //	SrI-kAmadeva-vapuzA hi avatIrya devaH devyA-umayA madana-keliBiH ArarAma //
   SatvT_2.18	SatvT_2.18
   prācīnabarhitanayāṃs tapasā sutaptān dṛṣṭvā svaśāntavapuṣāvirabhūd anantaḥ	prAcInabarhi-tanayAn tapasA su-taptAn dRzwvA sva-SAnta-vapuzA-AviraBUt anantaH
   dattvā svapādabhajanaṃ vasatāṃ gṛheṣu kanyāṃ ca vṛkṣajanitām adiśad	dattvA sva-pAda-Bajanam vasatAm gRhezu kanyAm ca vRkza-janitAm adiSat-
   dayāluḥ // SatvT_2.19	dayAluH // SatvT_2.19
   svārociṣe tuṣitayā dvijavedaśīrṣāj jāto vibhuḥ sakaladharmabhṛtāṃ	svArocize tuzitayA dvija-veda-SIrzAt jAtaH viBuH sakala-Darma-BRtAm
   variṣṭhaḥ /	varizWaH /
   yad brahmacaryāniyamān ṛṣayo 'py aśikṣan sākṣāj jagadgurutayāvacacāra	yat brahmacarya-aniyamAn RzayaH api aSikzan sAkzAt jagadguru-tayA-avacacAra
   śuddhān // SatvT_2.20	SudDAn // SatvT_2.20
   dharmād abhūt sutatayā bhagavāṃs tṛtīye manvantare trijagataḥ sthitaye	DarmAt aBUt suta-tayA BagavAn tRtIye manvantare trijagataH sTitaye
   kṛpāluḥ /	kRpAluH /
   śrīsatyasena iti durjanayakṣarakṣān yas tān apāharad asau suranāthamitraḥ	SrI-satyasenaH iti durjana-yakza-rakzAn yaH tAn apAharat asO sura-nATa-mitraH
   // SatvT_2.21	// SatvT_2.21
   turye 'ntare sarasi vāraṇarājarājaṃ grāheṇa tīvrabalinā parikarṣayantam /	turye antare sarasi vAraNa-rAja-rAjam grAheNa tIvra-balinA parikarzayantam /
   nārāyaṇety abhihite harir uddadhāra tasmād bhavārṇavajalād api devarājaḥ	nArAyaNa-iti aBihite hariH uddaDAra tasmAt Bava-arNava-jalAt api devarAjaH
   // SatvT_2.22	// SatvT_2.22
   vaikuṇṭha āsa bhagavān dvijavarya mudrā devyā mayā tadanurūpajayābhidhānaḥ	vEkuNWaH Asa BagavAn dvija-varya mudrA devyAH mayA tad-anurUpa-jaya-aBiDAnaH
   vaikuṇṭhadarśanam akārayad aprameyas tasyāu pañcamamanoḥ samaye prasiddham	vEkuNWa-darSanam akArayat aprameyaH tasyAu paQcama-manoH samaye prasidDam
   // SatvT_2.23	// SatvT_2.23
   ṣaṣṭhe 'ntare tu bhagavān dvijaśāpakhinnadehān surān avanatān avalokya	zazWe antare tu BagavAn dvija-SApa-Kinna-dehAn surAn avanatAn avalokya
   sannaḥ /	sannaH /
   vairājavipratanayo 'jitasaṃjña īśo devāsurair amathayat sahasā payodhim //	vErAja-vipra-tanayaH ajita-saMjQaH ISaH deva-asurEH amaTayat sahasA payoDim //
   SatvT_2.24	SatvT_2.24
   devāsure jalanidher mathanād viṣaṣṇe hastāc cyute girivare	devAsure jalaniDeH maTanAt vizazNe hastAt cyute giri-vare
   sahasārdracittaḥ /	sahasA-Ardra-cittaH /
   bhūtvā tu kūrmavapur adbhutam uddadhāra mene ca	BUtvA tu kUrma-vapuH adButam uddaDAra mene ca
   parvatavivartanagātrakaṇḍūm // SatvT_2.25	parvata-vivartana-gAtra-kaNxUm // SatvT_2.25
   dugdhāmbudhāv ururujāṃ pracikīrṣur īśa ādāya pūrṇakalaśaṃ sudhayā nitāntam	dugDa-ambuDO uru-rujAm pracikIrzuH ISaH AdAya pUrNa-kalaSam suDayA nitAntam
   āyurvidhānanigamaṃ khalu yajñabhoktā dhanvantariḥ samabhavad bhagavān	AyuH-viDAna-nigamam Kalu yajQa-BoktA DanvantariH samaBavat BagavAn
