   BhP_11.01.001/0 śrī-śuka uvāca	BhP_11.01.001/0 SrI-SukaH uvAca
   BhP_11.01.013/3 upasaṅgṛhya papracchur avinītā vinīta-vat	Bhu-_11.01.013/3 upasaFgRhya papracCuH avinItA vinIta-vat-
   BhP_11.01.014/1 te veṣayitvā strī-veṣaiḥ sāmbaṃ jāmbavatī-sutam	Bhu-_11.01.014/1 te vezayitvA strI--vezEH sAmbam jAmbavatI--sutam
   BhP_11.01.014/3 eṣā pṛcchati vo viprā antarvatny asitekṣaṇā	Bhu-_11.01.014/3 ezA pRcCati vaH viprAH antarvatnI asita-IkzaNA
   BhP_11.01.015/1 praṣṭuṃ vilajjatī sākṣāt prabrūtāmogha-darśanāḥ	Bhu-_11.01.015/1 prazwum vilajjatI sAkzAt prabrUta-amoGa--darSanAH
   BhP_11.01.015/3 prasoṣyantī putra-kāmā kiṃ svit sañjanayiṣyati	BhP_11.01.015/3 prasozyantI putra--kAmA kim svid san-janayizyati
   BhP_11.01.016/1 evaṃ pralabdhā munayas tān ūcuḥ kupitā nṛpa	Bhu-_11.01.016/1 evam pralabDAH munayaH tAn UcuH kupitA nRpa
   BhP_11.01.016/3 janayiṣyati vo mandā muṣalaṃ kula-nāśanam	Bhu-_11.01.016/3 janayizyati vaH mandAH muzalam kula-nASanam
   BhP_11.01.017/1 tac chrutvā te 'ti-santrastā vimucya sahasodaram	Bhu-_11.01.017/1 tat SrutvA te ati-santraH-tAH vimucya saha-sA-udaram
   BhP_11.01.017/3 sāmbasya dadṛśus tasmin muṣalaṃ khalv ayasmayam	Bhu-_11.01.017/3 sAmbasya dadRSuH tasmin muzalam Kalu ayasmayam
   BhP_11.01.018/1 kiṃ kṛtaṃ manda-bhāgyair naḥ kiṃ vadiṣyanti no janāḥ	Bhu-_11.01.018/1 kim kRtam manda-BAgyEH naH kim vadizyanti naH janAH
   BhP_11.01.018/3 iti vihvalitā gehān ādāya muṣalaṃ yayuḥ	Bhu-_11.01.018/3 iti vihvalitAH gehAn AdAya muzalam yayuH
   BhP_11.01.019/1 tac copanīya sadasi parimlāna-mukha-śriyaḥ	Bhu-_11.01.019/1 tat ca-upanIya sadasi parimlAna--muKa--SriyaH
   BhP_11.01.019/3 rājña āvedayāṃ cakruḥ sarva-yādava-sannidhau	Bhu-_11.01.019/3 rAjQaH AvedayAm cakruH sarva-yAda-va--sanniDO
   BhP_11.01.020/1 śrutvāmoghaṃ vipra-śāpaṃ dṛṣṭvā ca muṣalaṃ nṛpa	Bhu-_11.01.020/1 SrutvA-amoGam vipra-SApam dRzwvA ca muzalam nRpa
   BhP_11.01.020/3 vismitā bhaya-santrastā babhūvur dvārakaukasaḥ	Bhu-_11.01.020/3 vismitAH Baya--santrastAH baBUvuH dvArakOkasaH
   BhP_11.01.021/1 tac cūrṇayitvā muṣalaṃ yadu-rājaḥ sa āhukaḥ	Bhu-_11.01.021/1 tat cUrNayitvA muzalam yadu-rAjaH saH AhukaH
   BhP_11.01.021/3 samudra-salile prāsyal lohaṃ cāsyāvaśeṣitam	Bhu-_11.01.021/3 samudra--salile prAsyat loham ca-asya-avaSezitam
   BhP_11.01.022/1 kaścin matsyo 'grasīl lohaṃ cūrṇāni taralais tataḥ	Bhu-_11.01.022/1 kaScid matsyaH agrasIt loham cUrNAni taralEH tatas-
   BhP_11.01.022/3 uhyamānāni velāyāṃ lagnāny āsan kilairakāḥ	Bhu-_11.01.022/3 uhyamAnAni velAyAm lagnAni Asan kila-erakAH
   BhP_11.01.023/1 matsyo gṛhīto matsya-ghnair jālenānyaiḥ sahārṇave	Bhu-_11.01.023/1 matsyaH gRhItaH matsya--GnEH jAlena-anyEH saha-arNave
   BhP_11.01.023/3 tasyodara-gataṃ lohaṃ sa śalye lubdhako 'karot	Bhu-_11.01.023/3 tasya-udara--gatam loham sa Salye lubDakaH akarot-
   BhP_11.01.024/1 bhagavān jñāta-sarvārtha īśvaro 'pi tad-anyathā	Bhu-_11.01.024/1 BagavAn jQAta--sarva-arTaH ISvaraH api tat--anyaTA
   BhP_11.01.024/3 kartuṃ naicchad vipra-śāpaṃ kāla-rūpy anvamodata	BhP_11.01.024/3 kartum na-EcCat vipra-SApam kAla-rUpI anvamodata
   BhP_11.02.001/0 śrī-śuka uvāca	BhP_11.02.001/0 SrI-SukaH uvAca
   BhP_11.02.001/1 govinda-bhuja-guptāyāṃ dvāravatyāṃ kurūdvaha	Bhu-_11.02.001/1 govinda--Buja--guptAyAm dvAravatyAm kuru-udvaha
   BhP_11.02.001/3 avātsīn nārado 'bhīkṣṇaṃ kṛṣṇopāsana-lālasaḥ	Bhu-_11.02.001/3 avAtsIt nAradaH aBIkzNam kRzNa-upAsana--lAlasaH
   BhP_11.02.002/1 ko nu rājann indriyavān mukunda-caraṇāmbujam	Bhu-_11.02.002/1 kaH nu rAjan indriyavAn mukunda--caraNa-ambujam
   BhP_11.02.002/3 na bhajet sarvato-mṛtyur upāsyam amarottamaiḥ	Bhu-_11.02.002/3 na Bajet sarvatas--mRtyuH upAsyam amara-uttamEH
   BhP_11.02.003/1 tam ekadā tu devarṣiṃ vasudevo gṛhāgatam	Bhu-_11.02.003/1 tam ekadA tu devarzim vasudevaH gRha-Agatam
   BhP_11.02.003/3 arcitaṃ sukham āsīnam abhivādyedam abravīt	Bhu-_11.02.003/3 arcitam suKam AsInam aBivAdya-idam abravIt-
   BhP_11.02.004/0 śrī-vasudeva uvāca	Bhu-_11.02.004/0 SrI--vasudevaH uvAca
   BhP_11.02.004/1 bhagavan bhavato yātrā svastaye sarva-dehinām	Bhu-_11.02.004/1 Bagavan BavataH yAtrA svastaye sarva-dehinAm
   BhP_11.02.004/3 kṛpaṇānāṃ yathā pitror uttama-śloka-vartmanām	Bhu-_11.02.004/3 kRpaNAnAm yaTA pitroH uttama--Sloka-vartmanAm
   BhP_11.02.005/1 bhūtānāṃ deva-caritaṃ duḥkhāya ca sukhāya ca	Bhu-_11.02.005/1 BUtAnAm deva--caritam duHKAya ca suKAya ca
   BhP_11.02.005/3 sukhāyaiva hi sādhūnāṃ tvādṛśām acyutātmanām	Bhu-_11.02.005/3 suKAya-eva hi sADUnAm tvAdRSAm acyuta-AtmanAm
   BhP_11.02.006/1 bhajanti ye yathā devān devā api tathaiva tān	Bhu-_11.02.006/1 Bajanti ye yaTA devAn devAH api taTA-eva tAn
   BhP_11.02.006/3 chāyeva karma-sacivāḥ sādhavo dīna-vatsalāḥ	Bhu-_11.02.006/3 CAyA-iva karma-sacivAH sADavaH dIna--vatsalAH
   BhP_11.02.007/1 brahmaṃs tathāpi pṛcchāmo dharmān bhāgavatāṃs tava	Bhu-_11.02.007/1 brahman taTA-api pRcCAmaH DarmAn BAgavatAn tava
   BhP_11.02.007/3 yān śrutvā śraddhayā martyo mucyate sarvato bhayāt	Bhu-_11.02.007/3 yAn SrutvA SradDayA martyaH mucyate sarvatas BayAt-
   BhP_11.02.008/1 ahaṃ kila purānantaṃ prajārtho bhuvi mukti-dam	Bhu-_11.02.008/1 aham kila purA-anantam prajA-arTaH Buvi mukti--dam
   BhP_11.02.008/3 apūjayaṃ na mokṣāya mohito deva-māyayā	Bhu-_11.02.008/3 apUjayam na mokzAya mohitaH deva-mAyayA
   BhP_11.02.009/1 yathā vicitra-vyasanād bhavadbhir viśvato-bhayāt	Bhu-_11.02.009/1 yaTA vicitra--vyasanAt BavadBiH viSva-to-BayAt-
   BhP_11.02.009/3 mucyema hy añjasaivāddhā tathā naḥ śādhi su-vrata	Bhu-_11.02.009/3 mucyema hi aQjasA-eva-adDA taTA naH SADi su-vrata
   BhP_11.02.010/0 śrī-śuka uvāca	BhP_11.02.010/0 SrI-SukaH uvAca
   BhP_11.02.010/1 rājann evaṃ kṛta-praśno vasudevena dhīmatā	Bhu-_11.02.010/1 rAjan evam kRta-praSnaH vasudevena DImatA
   BhP_11.02.010/3 prītas tam āha devarṣir hareḥ saṃsmārito guṇaiḥ	Bha-a_11.02.010/3 prItaH tam Aha devarziH hareH saMsmAritaH guNEH
   BhP_11.02.011/0 śrī-nārada uvāca	Bhu-_11.02.011/0 SrI-nAradaH uvAca
   BhP_11.02.011/1 samyag etad vyavasitaṃ bhavatā sātvatarṣabha	Bhu-_11.02.011/1 samyak etat vyavasitam BavatA sAtvata-RzaBa
   BhP_11.02.011/3 yat pṛcchase bhāgavatān dharmāṃs tvaṃ viśva-bhāvanān	BhP-_11.02.011/3 yat pRcCase BAgavatAn DarmAn tvam viSva-BAvanAn
   BhP_11.02.012/1 śruto 'nupaṭhito dhyāta ādṛto vānumoditaḥ	Bhu-_11.02.012/1 SrutaH anupaWitaH DyAtaH AdRtaH vA-anumoditaH
   BhP_11.02.012/3 sadyaḥ punāti sad-dharmo deva-viśva-druho 'pi hi	Bhu-_11.02.012/3 sadyas punAti sad-DarmaH deva-viSva-druhaH api hi
   BhP_11.02.013/1 tvayā parama-kalyāṇaḥ puṇya-śravaṇa-kīrtanaḥ	Bhu-_11.02.013/1 tvayA parama--kalyANaH puNya--SravaNa--kIrtanaH
   BhP_11.02.013/3 smārito bhagavān adya devo nārāyaṇo mama	Bhu-_11.02.013/3 smAritaH BagavAn adya devaH nArAyaNaH mama
   BhP_11.02.014/1 atrāpy udāharantīmam itihāsaṃ purātanam	Bhu-_11.02.014/1 atra-api udAharanti-imam itihAsam purAtanam
   BhP_11.02.014/3 ārṣabhāṇāṃ ca saṃvādaṃ videhasya mahātmanaḥ	Bhu-_11.02.014/3 ArzaBANAm ca saMvAdam videhasya mahAtmanaH
   BhP_11.02.015/1 priyavrato nāma suto manoḥ svāyambhuvasya yaḥ	BhP_11.02.015/1 priyavrataH nAma sutaH manoH svAyamBuvasya yaH
   BhP_11.02.015/3 tasyāgnīdhras tato nābhir ṛṣabhas tat-sutaḥ smṛtaḥ	Bhu-_11.02.015/3 tasya-agnIDraH tatas nABiH RzaBaH tat-sutaH smRtaH
   BhP_11.02.016/1 tam āhur vāsudevāṃśaṃ mokṣa-dharma-vivakṣayā	Bhu-_11.02.016/1 tam AhuH vAsudeva-aMSam mokza--Darma--vivakzayA
   BhP_11.02.016/3 avatīrṇaṃ suta-śataṃ tasyāsīd brahma-pāragam	Bhu-_11.02.016/3 avatIrNam suta--Satam tasya-AsIt brahma-pAragam
   BhP_11.02.017/1 teṣāṃ vai bharato jyeṣṭho nārāyaṇa-parāyaṇaḥ	Bhu-_11.02.017/1 tezAm vE BarataH jyezWaH nArAyaNa--parAyaNaH
   BhP_11.02.017/3 vikhyātaṃ varṣam etad yan- nāmnā bhāratam adbhutam	Bhu-_11.02.017/3 viKyAtam varzam etat yan nAmnA BAratam adButam
   BhP_11.02.018/1 sa bhukta-bhogāṃ tyaktvemāṃ nirgatas tapasā harim	Bhu-_11.02.018/1 sa Bukta--BogAm tyaktvA-imAm nirgataH tapasA harim
   BhP_11.02.018/3 upāsīnas tat-padavīṃ lebhe vai janṛnabhis tribhiḥ	BhP-_11.02.018/3 upAsInaH tat--padavIm leBe vE janRnaBiH triBiH
   BhP_11.02.019/1 teṣāṃ nava nava-dvīpa- patayo 'sya samantataḥ	Bhu-_11.02.019/1 tezAm nava nava-dvIpa patayaH asya samantataH
   BhP_11.02.019/3 karma-tantra-praṇetāra ekāśītir dvijātayaḥ	BhP_11.02.019/3 karma-tantra--praNetAraH ekASItiH dvijAtayaH
   BhP_11.02.020/1 navābhavan mahā-bhāgā munayo hy artha-śaṃsinaḥ	Bhu-_11.02.020/1 nava-aBavan mahA-BAgAH munayaH hi arTa-SaMsinaH
   BhP_11.02.020/3 śramaṇā vāta-rasanā ātma-vidyā-viśāradāḥ	Bhu-_11.02.020/3 SramaNAH vAta--rasanAH Atma-vidyA--viSAradAH
   BhP_11.02.021/1 kavir havir antarīkṣaḥ prabuddhaḥ pippalāyanaḥ	BhP_11.02.021/1 kaviH haviH antarIkzaH prabudDaH pippalAyanaH
   BhP_11.02.021/3 āvirhotro 'tha drumilaś camasaḥ karabhājanaḥ	Bhu-_11.02.021/3 AvirhotraH aTa drumilaH camasaH karaBAjanaH
   BhP_11.02.022/1 ta ete bhagavad-rūpaṃ viśvaṃ sad-asad-ātmakam	Bhu-_11.02.022/1 te ete Bagavat--rUpam viSvam sat--asat--a-Atmakam
   BhP_11.02.022/3 ātmano 'vyatirekeṇa paśyanto vyacaran mahīm	Bhu-_11.02.022/3 AtmanaH avyatirekeNa paSyantaH vyacaran mahIm
   BhP_11.02.023/1 avyāhateṣṭa-gatayaḥ sura-siddha-sādhya-	Bhu-_11.02.023/1 avyAhata-izwa--gatayaH sura--sidDa--sADya-
   BhP_11.02.023/2 gandharva-yakṣa-nara-kinnara-nāga-lokān	Bhu-_11.02.023/2 ganDarva--yakza--nara--kinnara-nAga---lokAn
   BhP_11.02.023/3 muktāś caranti muni-cāraṇa-bhūtanātha-	Bhu-_11.02.023/3 muktAH caranti muni--cAraNa--BUta-nATa-
   BhP_11.02.023/4 vidyādhara-dvija-gavāṃ bhuvanāni kāmam	Bhu-_11.02.023/4 vidyADara--dvija--gavAm BuvanAni kAmam
   BhP_11.02.024/1 ta ekadā nimeḥ satram upajagmur yadṛcchayā	Bhu-_11.02.024/1 te ekadA nimeH satram upajagmuH yadRcCayA
   BhP_11.02.024/3 vitāyamānam ṛṣibhir ajanābhe mahātmanaḥ	Bhu-_11.02.024/3 vitAyamAnam RziBiH ajana-ABe mahAtmanaH
   BhP_11.02.025/1 tān dṛṣṭvā sūrya-saṅkāśān mahā-bhāgavatān nṛpa	Bhu-_11.02.025/1 tAn dRzwvA sUrya--saFkASAt mahA---BAgavatAt nRpa
   BhP_11.02.025/3 yajamāno 'gnayo viprāḥ sarva evopatasthire	Bhu-_11.02.025/3 yajamAnaH agnayaH viprAH sarve eva-upatasTire
   BhP_11.02.026/1 videhas tān abhipretya nārāyaṇa-parāyaṇān	Bhu-_11.02.026/1 videhaH tAn aBipretya nArAyaNa--parAyaNAn
   BhP_11.02.026/3 prītaḥ sampūjayāṃ cakre āsana-sthān yathārhataḥ	Bhu-_11.02.026/3 prItaH sampUjayAm cakre Asana--sTAn yaTArhataH
   BhP_11.02.027/1 tān rocamānān sva-rucā brahma-putropamān nava	Bhu-_11.02.027/1 tAn rocamAnAn sva--rucA brahma--putra-upamAn nava
   BhP_11.02.027/3 papraccha parama-prītaḥ praśrayāvanato nṛpaḥ	Bhu-_11.02.027/3 papracCa parama---prItaH praSraya-avanataH nRpaH
   BhP_11.02.028/0 śrī-videha uvāca	Bhu-_11.02.028/0 SrI--videhaH uvAca
   BhP_11.02.028/1 manye bhagavataḥ sākṣāt pārṣadān vo madhu-dvisaḥ	Bhu-_11.02.028/1 manye BagavataH sAkzAt pArzadAn vaH maDu-dvisaH
   BhP_11.02.028/3 viṣṇor bhūtāni lokānāṃ pāvanāya caranti hi	Bhu-_11.02.028/3 vizNoH BUtAni lokAnAm pAvanAya caranti hi
   BhP_11.02.029/1 durlabho mānuṣo deho dehināṃ kṣaṇa-bhaṅguraḥ	Bhu-_11.02.029/1 durlaBaH mAnuzaH dehaH dehinAm kzaNa-BaFguraH
   BhP_11.02.029/3 tatrāpi durlabhaṃ manye vaikuṇṭha-priya-darśanam	Bhu-_11.02.029/3 tatra-api durlaBam manye vEkuNWa--priya--darSanam
   BhP_11.02.030/1 ata ātyantikaṃ kṣemaṃ pṛcchāmo bhavato 'naghāḥ	Bhu-_11.02.030/1 atas Atyantikam kzemam pRcCAmaH BavataH anaGAH
   BhP_11.02.030/3 saṃsāre 'smin kṣaṇārdho 'pi sat-saṅgaḥ śevadhir nṛṇām	Bhu-_11.02.030/3 saMsAre asmin kzaNa-arDaH api sat-saFgaH SevaDiH nRNAm
   BhP_11.02.031/1 dharmān bhāgavatān brūta yadi naḥ śrutaye kṣamam	Bhu-_11.02.031/1 DarmAn BAgavatAn brUta yadi naH Srutaye kzamam
   BhP_11.02.031/3 yaiḥ prasannaḥ prapannāya dāsyaty ātmānam apy ajaḥ	Bhu-_11.02.031/3 yEH prasannaH prapannAya dAsyati AtmAnam api ajaH
   BhP_11.02.032/0 śrī-nārada uvāca	Bhu-_11.02.032/0 SrI-nAradaH uvAca
   BhP_11.02.032/1 evaṃ te niminā pṛṣṭā vasudeva mahattamāḥ	Bhu-_11.02.032/1 evam te niminA pRzwAH vasudeva mahattamAH
   BhP_11.02.032/3 pratipūjyābruvan prītyā sa-sadasyartvijaṃ nṛpam	Bhu-_11.02.032/3 pratipUjya-abruvan prItyA sa--sadasya-Rtvijam nRpam
   BhP_11.02.033/0 śrī-kavir uvāca	Bhu-_11.02.033/0 SrI-kaviH uvAca
   BhP_11.02.033/1 manye 'kutaścid-bhayam acyutasya pādāmbujopāsanam atra	Bhu-_11.02.033/1 manye akutaScid-Bayam acyutasya pAda-ambuja-upAsanam atra
   nityam	nityam
   BhP_11.02.033/3 udvigna-buddher asad-ātma-bhāvād viśvātmanā yatra	Bhu-_11.02.033/3 udvigna--budDeH asat--Atma--BAvAt viSva-AtmanA yatra
   nivartate bhīḥ	nivartate BIH
   BhP_11.02.034/1 ye vai bhagavatā proktā upāyā hy ātma-labdhaye	Bhu-_11.02.034/1 ye vE BagavatA proktAH upAyAH hi Atma--labDaye
   BhP_11.02.034/3 añjaḥ puṃsām aviduṣāṃ viddhi bhāgavatān hi tān	Bhu-_11.02.034/3 aQjaH puMsAm aviduzAm vidDi BAgavatAn hi tAn
   BhP_11.02.035/1 yān āsthāya naro rājan na pramādyeta karhicit	Bhu-_11.02.035/1 yAn AsTAya naraH rAjan na pramAdyeta karhicit-
   BhP_11.02.035/3 dhāvan nimīlya vā netre na skhalen na pated iha	Bhu-_11.02.035/3 DAvat nimIlya vA netre na sKalet na patet iha
   BhP_11.02.036/1 kāyena vācā manasendriyair vā buddhyātmanā	Bhu-_11.02.036/1 kAyena vAcA manasA-indriyEH vA budDi-AtmanA
   vānusṛta-svabhāvāt	vA-anusRta--svaBAvAt-
   BhP_11.02.036/3 karoti yad yat sakalaṃ parasmai nārāyaṇāyeti samarpayet	BhP_11.02.036/3 karoti yat yat sakalam parasmE nArAyaNAya-iti samarpayet-
   tat	tat-
   BhP_11.02.037/1 bhayaṃ dvitīyābhiniveśataḥ syād īśād apetasya viparyayo	Bhu-_11.02.037/1 Bayam dvitIya-aBiniveSataH syAt ISAt apetasya viparyayo
   'smṛtiḥ	asmRtiH
   BhP_11.02.037/3 tan-māyayāto budha ābhajet taṃ bhaktyaikayeśaṃ	Bhu-_11.02.037/3 tan-mAya-yAtas buDaH ABajet tam BaktyA-ekayA-ISam
   guru-devatātmā	guru--devatA-AtmA
   BhP_11.02.038/1 avidyamāno 'py avabhāti hi dvayo dhyātur dhiyā	Bhu-_11.02.038/1 avidyamAnaH api avaBAti hi dvayaH DyAtuH DiyA
   svapna-manorathau yathā	svapna--manoraTO yaTA
   BhP_11.02.038/3 tat karma-saṅkalpa-vikalpakaṃ mano budho nirundhyād	Bhu-_11.02.038/3 tat karma--saFkalpa--vikalpakam manaH buDaH nirunDyAt-
   abhayaṃ tataḥ syāt	aBayam tatas syAt-
   BhP_11.02.039/1 śṛṇvan su-bhadrāṇi rathāṅga-pāṇer janmāni karmāṇi ca yāni	Bhu-_11.02.039/1 SRNvan su-BadrANi raTAFga-pANeH janmAni karmANi ca yAni
   loke	loke
   BhP_11.02.039/3 gītāni nāmāni tad-arthakāni gāyan vilajjo vicared asaṅgaḥ	Bhu-_11.02.039/3 gItAni nAmAni tad--arTakAni gAyan vilajjaH vicaret asaFgaH
   BhP_11.02.040/1 evaṃ-vrataḥ sva-priya-nāma-kīrtyā jātānurāgo druta-citta	Bhu-_11.02.040/1 evaM-vrataH sva--priya-nAma---kIrtyA jAta-anurAgaH druta--citta
   uccaiḥ	uccEs-
   BhP_11.02.040/3 hasaty atho roditi rauti gāyaty unmāda-van nṛtyati	Bhu-_11.02.040/3 hasati aTo roditi rOti gAyati unmAda-vat nRtyati
   loka-bāhyaḥ	loka--bAhyaH
   BhP_11.02.041/1 khaṃ vāyum agniṃ salilaṃ mahīṃ ca jyotīṃṣi sattvāni diśo	Bhu-_11.02.041/1 Kam vAyum agnim salilam mahIm ca jyotIMzi sattvAni diSaH-
   drumādīn	druma-AdIn
   BhP_11.02.041/3 sarit-samudrāṃś ca hareḥ śarīraṃ yat kiṃ ca bhūtaṃ	Bhu-_11.02.041/3 sarit--samudrAn ca hareH SarIram yat kim ca BUtam
   praṇamed ananyaḥ	praNamet ananyaH
   BhP_11.02.042/1 bhaktiḥ pareśānubhavo viraktir anyatra caiṣa trika	BhP_11.02.042/1 BaktiH pareSa-anuBavaH viraktiH anyatra ca-eza trika
   eka-kālaḥ	eka-kAlaH
   BhP_11.02.042/3 prapadyamānasya yathāśnataḥ syus tuṣṭiḥ puṣṭiḥ kṣud-apāyo	Bhu-_11.02.042/3 prapadyamAnasya yaTA-aSnataH syuH tuzwiH puzwiH kzuD--apAyaH-
   'nu-ghāsam	anu-GAsam
   BhP_11.02.043/1 ity acyutāṅghriṃ bhajato 'nuvṛttyā bhaktir viraktir	Bhu-_11.02.043/1 iti acyuta-aFGrim BajataH anuvRttyA BaktiH viraktiH-
   bhagavat-prabodhaḥ	Bagavat--praboDaH
