   1st kāṇḍa	1st kANxa
   bhinnadarśanam āśritya vyavahāro 'nugamyate /	Binna darSanam ASritya vyavahAraH anugamyate /
   tatra yan mukhyam ekeṣāṃ tatrānyeṣāṃ viparyayaḥ // BVaky_1.75 //	tatra yat muKyam ekezAm tatra anyezAm viparyayaH // BVakI _1.75 //
   sphotasyābhinnakālasya dhvanikālānupātinaḥ /	sPotasya aBinna kAlasya Dvani kAla anupAtinaH /
   grahaṇopādhibhedena vṛttibhedaṃ pracakṣate // BVaky_1.76 //	grahaNa upADi Bedena vRtti Bedam pracakzate // BVakI _1.76 //
   svabhāvabhedān nityatve hrasvadīrghaplutādiṣu /	svaBAva BedAt nitya tve hrasva dIrGa pluta Adizu /
   prākṛtasya dhvaneḥ kālaḥ śabdasyety upacaryate // BVaky_1.77 //	prAkRtasya DvaneH kAlaH Sabdasya iti upacaryate // BVakI _1.77 //
   śabdasya grahaṇe hetuḥ prākṛto dhvanir iṣyate /	Sabdasya grahaNe hetuH prAkRtaH DvaniH izyate /
   sthitibhedanimittatvaṃ vaikṛtaḥ pratipadyate // BVaky_1.78 //	sTiti Beda nimitta tvam vEkRtaH pratipadyate // BVakI _1.78 //
   śabdasyordhvam abhivyakter vṛttibhedaṃ tu vaikṛtaḥ /	Sabdasya UrDvam aBivyakteH vRtti Bedam tu vEkRtaH /
   dhvanayaḥ samupohante sphoṭātmā tair na bhidyate // BVaky_1.79 //	DvanayaH samupohante sPowa AtmA tEH na Bidyate // BVakI _1.79 //
   indriyasyaivasaṃskāraḥ śabdasyaivobhavasya vā /	indriyasya eva asaMskAraH Sabdasya eva uBavasya vA /
   kriyate dhvanibhir vādās trayo 'bhivyaktivādinām // BVaky_1.80 //	kriyate DvaniBiH vAdAH trayaH aBivyakti vAdinAm // BVakI _1.80 //
   indriyasyaiva saṃskāraḥ samādhānāñjanādibhiḥ /	indriyasya eva saMskAraH samADAna aQjana AdiBiH /
   viṣayasya tu saṃskāraḥ tadgandhapratipattaye // BVaky_1.81 //	vizayasya tu saMskAraH tad ganDa pratipattaye // BVakI _1.81 //
   cakṣuṣaḥ prāpyakāritve tejasā tu dvayor api /	cakzuzaH prApya kAri tve tejasA tu dvayoH api /
   viṣayendriyayor iṣṭā saṃskāraḥ sa kramo dhvaneḥ // BVaky_1.82 //	vizaya indriyayoH izwA saMskAraH sa kramaH DvaneH // BVakI _1.82 //
   sphoṭarūpāvibhāgena dhvaner grahaṇam iṣyate /	sPowa rUpa aviBAgena DvaneH grahaNam izyate /
   kaiś cit dhvanir asaṃvedyaḥ svatantro 'nyaiḥ prakalpitaḥ // BVaky_1.83 //	kEH cit DvaniH asaMvedyaH svatantraH anyEH prakalpitaH // BVakI _1.83 //
   yathānuvākaḥ śloko vā soḍhatvam upagacchate /	yaTA anuvAkaH SlokaH vA soXa tvam upagacCate /
   āvṛttyā na tu sa granthaḥ pratyāvṛtti nirūpyate // BVaky_1.84 //	AvRttyA na tu sa granTaH pratyAvRtti nirUpyate // BVakI _1.84 //
   pratyayair anupākhyeyair grahaṇānuguṇais tathā /	pratyayEH anupAKyeyEH grahaNa anuguNEH taTA /
   dhvaniprakāśite śabde svarūpam avadhāryate // BVaky_1.85 //	Dvani prakASite Sabde svarUpam avaDAryate // BVakI _1.85 //
   nādair āhitabījāyām antyena dhvaninā saha /	nAdEH Ahita bIjAyAm antyena DvaninA saha /
   āvṛttaparipākāyāṃ buddhau śabdo 'vadhāryate // BVaky_1.86 //	AvRtta paripAkAyAm budDO SabdaH avaDAryate // BVakI _1.86 //
   asataś cāntarāle yāñ chabdān astīti manyate /	asataH ca antarAle yAn SabdAn asti iti manyate /
   pratipattur aśaktiḥ sā grahaṇopāya eva saḥ // BVaky_1.87 //	pratipattuH aSaktiH sA grahaNa upAyaH eva saH // BVakI _1.87 //
   bhedānukāro jñānasya vācaś copaplavo dhruvaḥ /	Beda anukAraH jQAnasya vAcaH ca upaplavaH DruvaH /
   kramopasṛṣṭarūpā vāg jñānaṃ jñeyavyapāśrayam // BVaky_1.88 //	krama upasRzwa rUpA vAc jQAnam jQeya vyapASrayam // BVakI _1.88 //
   *jñeyena na vinā jñānaṃ vyavahāre 'vatiṣṭhate /	*jQeyena na vinA jQAnam vyavahAre avatizWate /
   nālabdhakramayā vācā kaś cid artho 'bhidhīyate // BVaky_1.89 *//	na alabDa kramayA vAcA kaH cit arTaH aBiDIyate // BVakI _1.89 *//
   yathādyasaṃkhyāgrahaṇam upāyaḥ pratipattaye /	yaTA AdyasaMKyA grahaNam upAyaH pratipattaye /
   saṃkhyāntarāṇāṃ bhede 'pi tathā śabdāntaraśrutiḥ // BVaky_1.90 //	saMKyA antarANAm Bede api taTA Sabda antara SrutiH // BVakI _1.90 //
   pratyekaṃ vyañjakā bhinna varṇavākyapadeṣu ye /	pratyekam vyaQjakAH Binna varNa vAkya padezu ye /
   teṣām atyantabhede 'pi saṃkīrṇā iva śaktayaḥ // BVaky_1.91 //	tezAm atyanta Bede api saMkIrNAH iva SaktayaH // BVakI _1.91 //
   yathaiva darśanaiḥ pūrvair dūrāt saṃtamase 'pi vā /	yaTA eva darSanEH pUrvEH dUrAt saMtamase api vA /
   anyathākṛtya viṣayam anyathaivādhyavasyati // BVaky_1.92 //	anyaTA AkRtya vizayam anyaTA eva aDyavasyati // BVakI _1.92 //
   vyajyamāne tathā vākye vākyābhivyaktihetubhiḥ /	vyajyamAne taTA vAkye vAkya aBivyakti hetuBiH /
   bhāgāvagraharūpeṇa pūrvaṃ buddhiḥ pravartate // BVaky_1.93 //	BAga a= agraha rUpeNa pUrvam budDiH pravartate // BVakI _1.93 //
   yathānupūrvīniyamo vikāre kṣīrabījayoḥ /	yaTA AnupUrvI niyamaH vikAre kzIra bIjayoH /
   tathaiva pratipattṝṇāṃ niyato buddhiṣu kramaḥ // BVaky_1.94 //	taTA eva pratipattLNAm niyataH budDizu kramaH // BVakI _1.94 //
   bhāgavatsv api teṣv eva rūpabhedo dhvaneḥ kramāt /	BAgavatsu api tezu eva rUpa BedaH DvaneH kramAt /
