   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   sa ca dvividhaḥ---" ityādinā /	sa ca dviviDaH---" ityAdinA /
   tatra samānadharmaḥ sādhāraṇo dharmaḥ /	tatra samAna-DarmaH sADAraNaH DarmaH /
   tajjanito yathā---ūrdhvatvāviśeṣāt sthāṇurvā puruṣo veti /	tat-janitaH yaTA---UrDva-tva-aviSezAt sTANuH-vA puruzaH vA-iti /
   agṛhyamāṇabalatāratamyaviruddhānekajñāpakopasthāpanamiha vipratipattiḥ /	agRhyamANa-bala-tAratamya-virudDa-aneka-jQApaka-upasTApanam-iha vipratipattiH /
   sā ca sajātīyavijātīyābhāsarūpadvitricaturādijñāpakabhedādbahuprakārā /	sA ca sajAtIya-vijAtIya-ABAsa-rUpa-dvi-tri-catur-Adi-jQApaka-BedAt-bahu-prakArAH /
   pratyakṣatadābhāsavipratipatteḥ saṃśayo yathā--- cakṣuṣā samukhaṃ	pratyakza-tad-ABAsa-vipratipatteH saMSayaH yaTA-- cakzuzA samuKam
   pratibhāti darpaṇatalam, sparśanena tvanyathā; kimidaṃ samukhaṃ nirmukhaṃ	pratiBAti darpaNa-talam, sparSanena tu-anyaTA; kim-idam samuKam nirmuKam
   veti /	vA-iti /
   anumānatadābhāsavipratipatteryathā--- dhūmavattvāt parvato 'gnimān,	anumAna-tad-ABAsa-vipratipatteH-yaTA-- DUmavat-tvAt parvataH agnimAn,
   nirālokatvādanagnirityatra sāgniranagnirveti /	nirAloka-tvAt-anagniH-iti-atra sa-agniH-anagniH-vA-iti /
   śrutivipratipatteryathā---bhedābhedavyapadeśābhyāṃ jīvo brahmaṇo bhinno	Sruti-vipratipatteH-yaTA----Beda-aBeda-vyapadeSAByAm jIvaH brahmaNaH Binno
   'bhinno vetyādi /	aBinnaH vA-ityAdi /
   vādivipratipatteryathā---vaiśeṣikaupaniṣadavākyadvayaśrāviṇo	vAdi-vipratipatteH-yaTA-a----vESezika-Opanizada-vAkya-dvaya-SrAviNaH-
   madhyasthabuddheḥ kimindriyāṇi bhautikāni, āhaṅkārikāṇi veti /	maDyasTa-budDeH kim-indriyANi BOtikAni, AhaFkArikANi vA-iti /
   evaṃ pāmarādivākyavipratipatterapi ---nadyāstīre phalāni santi, na santi	evam pAmara-Adi-vAkya-vipratipatteH-api ---nadyAH-tIre PalAni santi, na santi
   vetyādi /	vA-ityAdi /
   pratyakṣānumānavipratipatteryathā---cakṣuṣā pītaśaṅkhabhrame śaṅkhatvācca	pratyakza-anumAna-vipratipatteH-yaTA---cakzuzA pIta-SaFKa-Brame SaFKa-tvAt-ca
   sitatvānumāne, kimayaṃ śaṅkhaḥ pītaḥ sito veti /	sita-tva-anumAne, kim-ayam SaFKaH pItaH sitaH vA-iti /
   pratyakṣāgamavipratipatteryathā---kimahamarthaḥ sthūlo 'ṇurve 'ti /	pratyakza-Agama-vipratipatteH-yaTA---kim-aham-arTaH sTUlaH aNuH-ve ati /
   anumānāgamavipratipatteryathā --- kiṃ paramāṇūpādānaṃ jagat, uta	anumAna-Agama-vipratipatteH-yaTA -- kim paramANu-upAdAnam jagat, uta
   brahmopādānamiti eṣā dik //	brahma-upAdAnam-iti ezA diS //
   kecittu vipratipattiśabdamātre muhyanto vādivipratipattimeva vipratipattiṃ	kecid-tu vipratipatti-Sabda-mAtre muhyantaH vAdi-vipratipattim-eva vipratipattim
   manyante, tadayuktam, viśeṣābhāvāt //	manyante, tat-ayuktam, viSeza-aBAvAt //
   yaduktaṃ prajñāparitrāṇe --- "sādhāraṇākṛterdṛṣṭyānekākāragrahāttathā /	yat-uktam prajQA-paritrANe -- "sADAraNa-AkRteH-dRzwyA-aneka-AkAra-grahAt-taTA /
   vipaścitāṃ vivādācca tridhā saṃśaya iṣyate" //	vipaScitAm vivAdAt-ca triDA saMSayaH izyate" //
   iti ; tadapi nūnaṃ parānukāramātram, dvitīyatṛtīyayorakairāśyāt	iti ; tat-api nUnam para-anukAra-mAtram, dvitIya-tRtIyayoH-akEH-ASyAt-
   grāhakāvāntarabhedasyātiprasaṅgitvāt aprayojakatvācca /	grAhaka-ava-antara-Bedasya-atiprasaFgi-tvAt aprayojaka-tvAt-ca /
   atra cānekākāragraho nānākāragraho vivakṣitaḥ, na	atra ca-aneka-AkAra-grahaH nAnA-AkAra-grahaH vivakzitaH, na
   tvanekavyāvṛttāsādhāraṇākāragrahaḥ, anantaram "artheṣveṣvaviśeṣeṇa	tu-aneka-vyAvRtta-asADAraNa-AkAra-grahaH, anantaram "arTezu-ezu-aviSezeNa
   dvyākāragrāhidhīdvayam /	dvi-AkAra-grAhiDI-dvayam /
   " ityādinā tasyaivodāharaṇāt //	" ityAdinA tasya-eva-udAharaNAt //
   asādhāraṇadharmādapi kecit saṃśayamāhuḥ; yathā---gandhavattvāt pṛthivī	asADAraNa-DarmAt-api kecid saMSayam-AhuH; yaTA---ganDavat-tvAt pRTivI
   nityā anityā vetyādi /	nityAH anityA vA-ityAdi /
   atra gandhavattvasya nityātmādivyāvṛtteḥ	atra ganDavat-tvasya nitya-Atma-Adi-vyAvRtteH
   kṛtakatvādivadanityatvasmārakatvam,	kRtaka-tva-Adi-vat-anitya-tva-smAraka-tvam,
   anityābādivyāvṛtterniravayavatvādivannityatvasmārakatvamiti	anitya-AbAdi-vyAvRtteH-niravayava-tva-Adi-vat-nitya-tva-smAraka-tvam-iti
   viruddhaviśeṣadvayānvitasamānadharmasyeva	virudDa-viSeza-dvaya-anvita-samAna-Darmasya-iva
   tadubhayavyāvṛttāsādhāraṇadharmasyāpi saṃśayahetutvamupapannamiti,	tad-uBaya-vyAvRtta-asADAraNa-Darmasya-api saMSaya-hetu-tvam-upapannam-iti,
   tadayuktam; na hi tatra gandhavattvādinā saṃśayotpattiḥ, api tu	tat-ayuktam; na hi tatra ganDavat-tva-AdinA saMSaya-utpattiH, api tu
   vyatirekanirūpaṇavilambāprāgeva gandhādiviśiṣṭadravyasya	vyatireka-nirUpaNa-vilambA-prAk-eva ganDa-Adi-viSizwa-dravyasya
   nityānityasādhāraṇatayā bhāsamānairdravyatvādibhireva /	nitya-anitya-sADAraNa-tayA BAsamAnEH-dravya-tva-AdiBiH-eva /
   tatrānyataraśironirṇinīṣayā viśeṣakadharmacintāyāṃ tu	tatra-anyatara-SiraH-nirNinIzayA viSezaka-Darma-cintAyAm tu
   gandhavattvamubhayānanvitatvādubhayorapyaniṣkarṣamityetāvadeva cintyate /	ganDavat-tvam-uBayAn-anvita-tvAt-uBayoH-api-anizkarzam-iti-etAvat-eva cintyate /
   kevalavyatirekibhaṅge caitadviśadaṃ bhaviṣyati /	kevala-vyatireki-BaFge ca-etat-viSadam Bavizyati /
   gandhavattvāt pṛthivī nityā vā anityā veti tu yadā kaścidvyavaharet,	ganDavat-tvAt pRTivI nityAH vA anityA vA-iti tu yadA kaScid-vyavaharet,
   tatrāpi gandhavattvaṃ nityatvānityatvayoranyatarasya prayojakaṃ na vā	tatra-api ganDavat-tvam nitya-tva-anitya-tvayoH-anyatarasya prayojakam na vA
   ityeva saṃdehaḥ /	iti-eva saMdehaH /
   so 'pi dharmatvādilakṣaṇasamānadharmādeva /	saH api Darma-tva-Adi-lakzaNa-samAna-DarmAt-eva /
   atha nityavyāvṛttadharmavattvādanityatvam anityavyāvṛttadharmavattvācca	aTa nitya-vyAvRtta-Darmavat-tvAt-anitya-tvam anitya-vyAvRtta-Darmavat-tvAt-ca
   nityatvaṃ puraskṛtya nityā anityā veti saṃśate; tadāpi	nitya-tvam puraskRtya nityAH anityA vA-iti saMSate; tadA-api
   hetubhūtadharmadvayanimitto 'yaṃ saṃśayaḥ /	hetu-BUta-Darma-dvaya-nimittaH ayam saMSayaH /
   na hyeka evātra hetuḥ /	na hi-ekaH eva-atra hetuH /
   gandhastu tatra sāmānyarūpastaṭasthaḥ; na tu hetuḥ //	ganDaH-tu tatra sAmAnya-rUpaH-tawa-sTaH; na tu hetuH //
   vipratipattimapi kecit samānadharma evāntarbhāvayanti /	vipratipattim-api kecid samAna-DarmaH eva-antar-BAvayanti /
   yathā hi ūrdhvatvamubhayasādhāraṇam, tathā vādiparigṛhītatvāderapi	yaTA hi UrDva-tvam-uBaya-sADAraNam, taTA vAdi-parigRhIta-tva-AdeH-api
   sādhāraṇatvāt vimativiṣayasya dharmiṇo vā sāmānyaveṣasya	sADAraNa-tvAt vimati-vizayasya DarmiNaH vA sAmAnya-vezasya
   tadubhayasādhāraṇyāditi /	tad-uBaya-sADAraNyAt-iti /
   tathāpi sādhāraṇadharmasya sahānubhūtasthāṇutvapuruṣatvasmārakatvavat	taTA-api sADAraNa-Darmasya saha-anuBUta-sTa-aNu-tva-puruza-tva-smArakatva-vat-
   vipratipatterapisamānadharmonnītinirapekṣāyā eva tadupajīvyatayā	vipratipatteH-apisamAna-Darma-unnIti-nirapekzAyAH eva tad-upajIvyatayA
   tatpūrvabhāvinyāḥ sākṣāttadviśeṣasmārakatvasiddherdvaidhamuktamasmābhiḥ //	tad-pUrva-BAvinyAH sAkzAt-tad-viSeza-smAraka-tva-sidDeH-dvEDam-uktam-asmABiH //
   punaścāyaṃ dvitricaturādiśirodhikaraṇabhedādbahuvidhaḥ; yathā--- ayaṃ	punar-ca-ayam dvi-tri-catur-Adi-SiroDi-karaNa-BedAt-bahuviDaH; yaTA-- ayam
   sthāṇurvā puruṣo veti, ghaṭaḥ satyo 'satyo nirvacanīyo 'nirvacanīyo	sTANuH-vA puruzaH vA-iti, GawaH satyaH asatyaH nirvacanIyaH anirvacanIyo
   vetyādi /	vA-ityAdi /
   tathā imau sthāṇū vā puruṣau vā, ete padārthāḥ satyā asatyā nirvacanīyā	taTA imO sTANU vA puruzO vA, ete padArTAH satyA asatyA nirvacanIyA
   anirvacanīyā vetyādi /	anirvacanIyA vA-ityAdi /
   yastu dvayoranyatarasya coratve siddhe ayaṃ coraḥ ayaṃ vā cora iti	yaH-tu dvayoH-anyatarasya cora-tve sidDe ayam coraH ayam vA coraH iti
   saṃdehaḥ, sa tu ayaṃ coro na vā ityevaṃrūpasaṃśayadvayasamāhāraḥ /	saMdehaH, sa tu ayam coraH na vA iti-evaMrUpa-saMSaya-dvaya-samAhAraH /
   yadvā yaścoraḥ, saḥ ayam ayaṃ vā ityeka eva /	yat-vA yaH-ca-uraH, saH ayam ayam vA iti-ekaH eva /
   atha vā coratvametanniṣṭham etanniṣṭhaṃ veti /	aTa vA cora-tvam-etat-nizWam etat-nizWam vA-iti /
   yadyapyubhayavyatiriktapuruṣacoratvābhāvo tayoranyatarasya coratve vā	yadi-api-uBaya-vyatirikta-puruza-cora-tva-aBAvaH tayoH-anyatarasya cora-tve vA
   tātparyānnirṇayagarbhatvam, tathāpi ubhayoranyataraviśeṣanirṇayābhāvāt	tAtparyAt-nirNaya-garBa-tvam, taTA-api uBayoH-anyatara-viSeza-nirNaya-aBAvAt
   tasminnaṃśe saṃśaya eva /	tasmin=-aMSe saMSayaH eva /
   na caikasyāpi jñānasya saṃśayanirṇayātmatāvirodhaḥ, sarvasminnapi saṃśaye	na ca-ekasya-api jQAnasya saMSaya-nirNaya-Atma-tA-viroDaH, sarvasmin=-api saMSaye
   dharmyaśādau nirṇayasya dustyajatvāt //	Darmya-SAdO nirNayasya dustyaja-tvAt //
   punardvividho 'yam--- anyatarakoṭipariśeṣayogyatvatadayogyatvabhedāt /	punar-dviviDaH ayam-- anyatara-kowi-pariSeza-yogya-tva-tada-yogya-tva-BedAt /
   pūrvo yathā--sthāṇvātmake vastuni sthāṇuḥ puruṣo veti /	pUrvaH yaTA--sTANu-Atmake vastuni sTANuH puruzaH vA-iti /
   uttarastu palālakūṭe dvirado giriśikharaṃ veti /	uttaraH-tu palAlakUwe dviradaH giri-SiKaram vA-iti /
   tatra nirūpakāṇāṃ prāyaśaḥ pūrva eva bhavati /	tatra nirUpakANAm prAyaSas pUrvaH eva Bavati /
   tenaiva ca pravṛttasya pākṣikor'thalābhaḥ /	tena-eva ca pravRttasya pAkzikor-aTalABaH /
   yadvā nirīhasyaiva kadācit dvitīyena saṃśayena viparyayeṇa ca pravṛttasya	yat-vA nirIhasya-eva kadAcid dvitIyena saMSayena viparyayeNa ca pravRttasya
   daivāt tadātanārthasaṃnipātenābhimatalābha iti //	dEvAt tad-Atana-arTa-saMnipAtena-aBimata-lABaH iti //
   punarapi imau saṃśayaviparyayau sāmānyadharmiṇo viśeṣāṇāṃ	punar-api imO saMSaya-viparyayO sAmAnya-DarmiNaH viSezANAm
   cānubhūyamānatvasmaryamāṇatvādibhedāt bahuvidhāvūhanīyāviti //	ca-anuBUyamAna-tva-smaryamANa-tva-Adi-BedAt bahuviDa-AvUhanIyO=-iti //
   kiṃsajñako 'yaṃ vṛkṣa ityevamādirūpo 'nadhyavasāyo nāmānyo jñānaviśeṣa iti	kiMsajQakaH ayam vRkzaH iti-evamAdi-rUpaH anaDyavasAyaH nAmAnyaH jQAna-viSezaH iti
   kecit; tadasāram, tasya	kecit; tad-asAram, tasya
   saṃjñādiviśeṣasaṃdehasamanantarabhāvitadviśeṣabubhutsātmakatvāt /	saMjQA-Adi-viSeza-saMdeha-samanantara-BAvita-dviSeza-buButsa-Atmaka-tvAt /
   athavā avacchedakādarśanādanavacchinnakoṭiviśeṣaḥ saṃśaya eva //	aTavA avacCedaka-adarSanAt-anavacCinna-kowi-viSezaH saMSayaH eva //
   ūhastu prāyaḥ puruṣeṇānena bhavitavyamityādirūpa	UhaH-tu prAyas puruzeNa-anena Bavitavyam-ityAdi-rUpa
   ekakoṭisahacaritabhūyodharmadarśanādanutkaṭānyakoṭikaḥ sa eva /	eka-kowi-sahacarita-BUyoDarma-darSanAt-anutkawa-ani-akowikaH saH eva /
   prāyaḥ puruṣeṇa bhavitavyamiti puruṣa evetyabhiprāyaścet yathocitaṃ	prAyas puruzeNa Bavitavyam-iti puruzaH eva-iti-aBiprAyaH-ced yaTocitam
   pratyakṣānumānādiṣvanupraveśaḥ /	pratyakza-anumAna-Adizu-anupraveSaH /
   tarkarūpamūhaṃ tu anumāne vakṣyāmaḥ //	tarka-rUpam-Uham tu anumAne vakzyAmaH //
   trividhaṃ pramāṇam---pratyakṣānumānaśabdabhedāt /	triviDam pramANam-----pratyakza-anumAna-Sabda-BedAt /
   bhagavatāmanunāpyuktam --- "pratyakṣamanumānaṃ ca śāstraṃ ca vividhāgamam	BagavatA-m-anunA-api-uktam -- "pratyakzam-anumAnam ca SAstram ca viviDa-Agamam
   trayaṃ suviditaṃ kāryaṃ dharmasiddhimabhīpsatā" //	trayam su-viditam kAryam Darma-sidDim-aBIpsatA" //
   iti //	iti //
   āha ca bhagavān śaunakaḥ--- "dṛṣṭānumānāgamajaṃ dhyānasyālambanaṃ tridhā /	Aha ca BagavAn SOnakaH-- "dRzwa-anumAna-Agama-jam DyAnasya-Alambanam triDA /
   " iti /	" iti /
   bhāṣyakāreṇa ca pratyakṣāditrayaṃ svaśabdenopādāya "pramāṇasaṃkhyāvivāde	BAzya-kAreNa ca pratyakza-Adi-trayam sva-Sabdena-upAdAya "pramANa-saMKyA-vivAde
   'pi sarvābhyupagatapramāṇānāmayameva viṣaya iti na kenāpi pramāṇena	api sarva-aByupagata-pramANa-anAm-ayam-eva vizayaH iti na kena-api pramANena
   nirviśeṣavastusiddhiḥ" ityanyeṣāmanādaraḥ kṛtaḥ /	nirviSeza-vastu-sidDiH" iti-anyezAm-anAdaraH kRtaH /
   sarvābhyupagatapramāṇānāmiti ca parābhyupagamamātraṃ dyotayati, tatra	sarva-aByupagata-pramANAnAm-iti ca para-aByupagama-mAtram dyotayati, tatra
   prativādinaḥ ṣaṭpramāṇābhyupagamāt /	prativAdinaH zaz-pramANa-aByupagamAt /
   pratyakṣānumānāgamānāmeva ca mitho bhedo vedārthasaṃgrahe	pratyakza-anumAna-AgamAnAm-eva ca miTas BedaH veda-arTa-saMgrahe
   viśadamupapāditaḥ //	viSadam-upapAditaH //
   yattu "mattaḥ smṛtijñārnamapohanaṃ ca" ityatra bhāṣyam---	yat-tu "mattaH smRti-jQArnam-apohanam ca" iti-atra BAzyam---
   "jñānamindriyaliṅgāgamayogajo vastuniścayaḥ" iti, tatrāpi yogajasya	"jQAnam-indriya-liFga-Agama-yoga-jaH vastu-niScayaH" iti, tatra-api yoga-jasya
   pratyakṣasya prādhānyāt pṛthagvyapadeśaḥ /	pratyakzasya prADAnyAt pRTak-vyapadeSaH /
   antarbhāvaṃ ca vakṣyāmaḥ /	antarBAvam ca vakzyAmaH /
   uktaṃ ca śrīviṣṇucittaiḥ prameyasaṃgrahe--- "pramāṇasaṃkhyāvivāde	uktam ca SrI-vizNu-cittEH prameya-saMgrahe-- "pramANa-saMKyA-vivAde
   'pītyatra tripramāṇatvaṃ bhāṣyoktam" iti /	api-iti-atra tri-pramANa-tvam BAzya-uktam" iti /
   bhāṣye ca keṣucit kośeṣu yathārthakhyātisamarthanadaśāyām--- "athavā	BAzye ca kezucid koSezu yaTArTa-KyAti-samarTanadaSAyAm-- "aTavA
   kimanena bahunopapādanaprakāreṇa /	kim-anena bahunA-upapAdana-prakAreNa /
   pratyakṣānumānāgamākhyaṃ pramāṇajātamāgamagamyaṃ ca	pratyakza-anumAna-Agama-AKyam pramANa-jAtam-Agama-gamyam ca
   nirastanikhiladoṣagandhamanavadhikātiśayāsaṃkhyeyakalyāṇaguṇagaṇaṃ	nirasta-niKila-doza-ganDa-mana-vaDika-atiSaya-asaMKyeya-kalyANa-guNa-gaNam
   sarvajñaṃ satyasaṃkalpaṃ paraṃ brahmābhyupagacchatāṃ kiṃ na setsyati kiṃ	sarvajQam satya-saMkalpam param brahma-aByupagacCatAm kim na setsyati kim
   nopapadyate---" ityādiḥ pāṭho dṛśyate //	na-upapadyate---" ityAdiH pAWaH dRSyate //
   yadyapi smṛtirapi yathārthā pramāṇamiti vakṣyate, tathāpi	yadi-api smRtiH-api yaTArTA pramANam-iti vakzyate, taTA-api
