   REFERENCE SYSTEM:	RA-eFA-eRENCE SYSTEM:
   1 1 1 0107a ehyū ṣu bravāṇi te 'gna itthetarā giraḥ .	1 1 1 0107aH ehyU zu bravANi te agne itTetarAH giraH .
   1 1 1 0107c ebhirvardhāsa indubhiḥ .. 7	1 1 1 0107t eBiH-varDAsaH induBiH .. 7
   1 1 1 0108a ā te vatso mano yamatparamāccitsadhasthāt .	1 1 1 0108aH A te vatsaH manaH yamat-paramAt-cit-saDa-sTAt .
   1 1 1 0108c agne tvāṃ kāmaye girā .. 8	1 1 1 0108c agne tvAm kAmaye girA .. 8
   1 1 1 0109a tvāmagne puṣkarādadhyatharvā niramanthata .	1 1 1 0109a tvAm-agne puzkarAt-aDi-aTarvA niramanTata .
   1 1 1 0109c mūrdhno viśvasya vāghataḥ .. 9	1 1 1 0109t mUrDnaH viSvasya vA-aGataH .. 9
   1 1 1 0110a agne vivasvadā bharāsmabhyamūtaye mahe .	1 1 1 0110a agne vivasvadAH Bara-asmaByamUtaye mahe .
   1 1 1 0110c devo hyasi no dṛśe .. 10	1 1 1 0110t devaH hi-asi naH dRSe .. 10
   1 1 1 0201a namaste agna ojase gṛṇanti deva kṛṣṭayaḥ .	1 1 1 0201a namaH-te agne ojase gRNanti deva kRzwayaH .
   1 1 1 0201c amairamitramardaya .. 11	1 1 1 0201t amEH-amitram-ardayaH .. 11
   1 1 1 0202a dūtaṃ vo viśvavedasaṃ havyavāhamamartyam .	1 1 1 0202a dUtam vaH viSva-vedasam havyavAham-amartyam .
   1 1 1 0202c yajiṣṭhamṛñjase girā .. 12	1 1 1 0202t yajizWamRQjase girA .. 12
   1 1 1 0203a upa tvā jāmayo giro dediśatīrhaviṣkṛtaḥ .	1 1 1 0203aH upa tvA jAmayaH giraH dedi-SatIH-havizkRtaH .
   1 1 1 0203c vāyoranīke asthiran .. 13	1 1 1 0203t vAyoH-anIke asTiran .. 13
   1 1 1 0204a upa tvāgne divedive doṣāvastardhiyā vayam .	1 1 1 0204aH upa tvA-agne divedive doza-a=-astarDiyAH vayam .
   1 1 1 0204c namo bharanta emasi .. 14	1 1 1 0204d namaH Barante emasi .. 14
   1 1 1 0205a jarābodha tadviviḍḍhi viśeviśe yajñiyāya .	1 1 1 0205a jarAboDa tad-vivixXi viSeviSe yajQiyAya .
   1 1 1 0205c stomaṃ rudrāya dṛśīkam .. 15	1 1 1 0205t stomam rudrAya dRSIkam .. 15
   1 1 1 0206a prati tyaṃ cārumadhvaraṃ gopīthāya pra hūyase .	1 1 1 0206a prati tyam cArum-aDvaram gopITAya pra hUyase .
   1 1 1 0206c marudbhiragna ā gahi .. 16	1 1 1 0206c marudBiH-agne A gahi .. 16
   1 1 1 0207a aśvaṃ na tvā vāravantaṃ vandadhyā agniṃ namobhiḥ .	1 1 1 0207a aSvam na tvA vAravantam vandaDyAH agnim namoBiH .
   1 1 1 0207c samrājantamadhvarāṇām .. 17	1 1 1 0207c samrAjantam-aDvarANAm .. 17
   1 1 1 0208a aurvabhṛguvacchucimapnavānavadā huve .	1 1 1 0208aH Orva-BRgu-vat-Sucim-apnavAn-avadAH huve .
   1 1 1 0208c agniṃ samudravāsasam .. 18	1 1 1 0208c agnim samudra-vAsasam .. 18
   1 1 1 0209a agnimindhāno manasā dhiyaṃ saceta martyaḥ .	1 1 1 0209a agnim-inDAnaH manasA Diyam saceta martyaH .
   1 1 1 0209c agnimindhe vivasvabhiḥ .. 19	1 1 1 0209c agnim-inDe vivasvaBiH .. 19
   1 1 1 0210a āditpratnasya retaso jyotiḥ paśyanti vāsaram .	1 1 1 0210aH Aditpratnasya retasaH jyotiH paSyanti vAsaram .
   1 1 1 0210c paro yadidhyate divi .. 20	1 1 1 0210d paraH yat-iDyate divi .. 20
   1 1 1 0301a agniṃ vo vṛdhantamadhvarāṇāṃ purūtamam .	1 1 1 0301a agnim vaH vRDantam-aDvarANAm purUtamam .
   1 1 1 0301c acchā naptre sahasvate .. 21	1 1 1 0301c acCA naptre sahasvate .. 21
   1 1 1 0302a agnistigmena śociṣā yaṃsadviśvaṃ nyā3triṇam .	1 1 1 0302a agniH-tigmena SocizA yaMsa-dviSvam nyA3triNam .
   1 1 1 0302c agnirno vaṃsate rayim .. 22	1 1 1 0302c agniH-naH vaMsate rayim .. 22
   1 1 1 0303a agne mṛḍa mahāṃ asyaya ā devayuṃ janam .	1 1 1 0303a agne mRxa mahAm asyayaH A devayum janam .
   1 1 1 0303c iyetha barhirāsadam .. 23	1 1 1 0303c iyeTa barhirAsadam .. 23
   1 1 1 0304a agne rakṣā ṇo aṃhasaḥ prati sma deva rīṣataḥ .	1 1 1 0304a agne rakzA NaH aMhasaH prati sma deva rIzataH .
   1 1 1 0304c tapiṣṭhairajaro daha .. 24	1 1 1 0304c tapizWEH-ajaraH dahaH .. 24
   1 1 1 0305a agne yuṅkṣvā hi ye tavāśvāso deva sādhavaḥ .	1 1 1 0305a agne yuFkzvA hi ye tava-ASvAsaH deva sADavaH .
   1 1 1 0305c araṃ vahantyāśavaḥ .. 25	1 1 1 0305t aram vahanti-ASavaH .. 25
   1 1 1 0306a ni tvā nakṣya viśpate dyumantaṃ dhīmahe vayam .	1 1 1 0306a ni tvA nakzya viSpate dyumantam DImahe vayam .
   1 1 1 0306c suvīramagna āhuta .. 26	1 1 1 0306c suvIra-magne Ahuta .. 26
   1 1 1 0307a agnirmūrdhā divaḥ kakutpatiḥ pṛthivyā ayam .	1 1 1 0307a agniH-mUrDA divaH kakutpatiH pRTivyAH ayam .
   1 1 1 0307c apāṃ retāṃsi jinvati .. 27	1 1 1 0307t apAm retAMsi jinvati .. 27
   1 1 1 0308a imamū ṣu tvamasmākaṃ saniṃ gāyatraṃ navyāṃsam .	1 1 1 0308aH imamU zu tvam-asmAkam sa-nim gAyatram navya-aMsam .
   1 1 1 0308c agne deveṣu pra vocaḥ .. 28	1 1 1 0308c agne devezu pra vocaH .. 28
   1 1 1 0309a taṃ tvā gopavano girā janiṣṭhadagne aṅgaraḥ .	1 1 1 0309a tam tvA gopavanaH girA janizWa-dagne aFgaraH .
   1 1 1 0309c sa pāvaka śrudhī havam .. 29	1 1 1 0309c sa pAvaka SruDI havam .. 29
   1 1 1 0310a pari vājapatiḥ kaviragnirhavyānyakramīt .	1 1 1 0310a pari vAja-patiH kaviH-agniH-havyAni-akramIt .
   1 1 1 0310c dadhadratnāni dāśuṣe .. 30	1 1 1 0310t daDat-ratnAni dASuze .. 30
   1 1 1 0311a udu tyaṃ jātavedasaṃ devaṃ vahanti ketavaḥ .	1 1 1 0311aH udu tyam jAtavedasam devam vahanti ketavaH .
   1 1 1 0311c dṛśe viśvāya sūryam .. 31	1 1 1 0311t dRSe viSvAya sUryam .. 31
   1 1 1 0312a kavimagnimupa stuhi satyadharmāṇamadhvare .	1 1 1 0312a kavim-agnim-upa stuhi satya-DarmANam-aDvare .
   1 1 1 0312c devamamīvacātanam .. 32	1 1 1 0312t devam-amIvacAtanam .. 32
   1 1 1 0313a śaṃ no devīrabhiṣṭaye śaṃ no bhavantu pītaye .	1 1 1 0313a Sam naH devIH-aBizwaye Sam naH Bavantu pItaye .
   1 1 1 0313c śaṃ yorabhi sravantu naḥ .. 33	1 1 1 0313c Sam yoH-aBi sravantu naH .. 33
   1 1 1 0314a kasya nūnaṃ parīṇasi dhiyo jinvasi satpate .	1 1 1 0314a kasya nUnam parINasi DiyaH jinvasi sat-pate .
   1 1 1 0314c joṣātā yasya te giraḥ .. 34	1 1 1 0314c jozAtA yasya te giraH .. 34
   1 1 1 0401a yajñāyajñā vo agnaye girāgirā ca dakṣase .	1 1 1 0401a yajQAyajQA vaH agnaye girA-girA ca dakzase .
   1 1 1 0401c prapra vayamamṛtaṃ jātavedasaṃ priyaṃ mitraṃ na śaṃsiṣam .. 35	1 1 1 0401d prapra vayam-amRtam jAtavedasam priyam mitram na SaMsizam .. 35
   1 1 1 0402a pāhi no agna ekayā pāhyū3ta dvitīyayā .	1 1 1 0402a pAhi naH agne ekayA pAhyU3ta dvitIyayA .
   1 1 1 0402c pāhi gīrbhistisṛbhirūrjāṃ pate pāhi catasṛbhirvaso .. 36	1 1 1 0402d pAhi gIrBiH-tisRBiH-UrjAm pate pAhi catasRBiH-vasaH .. 36
   1 1 1 0403a bṛhadbhiragne arcibhiḥ śukreṇa deva śociṣā .	1 1 1 0403a bRhadBiH-agne arciBiH SukreNa deva SocizA .
   1 1 1 0403c bharadvāje samidhāno yaviṣṭhya revatpāvaka dīdihi .. 37	1 1 1 0403c BaradvAje samiDAnaH yavizWya revat-pAvakaH dIdihi .. 37
   1 1 1 0404a tve agne svāhuta priyāsaḥ santu sūrayaḥ .	1 1 1 0404a tve agne svAhuta priyAsaH santu sUrayaH .
   1 1 1 0404c yantāro ye maghavāno janānāmūrvaṃ dayanta gonām .. 38	1 1 1 0404t yantAraH ye maGavAnaH janAnAm-Urvam dayanta gonAm .. 38
   1 1 1 0405a agne jaritarviśpatistapāno deva rakṣasaḥ .	1 1 1 0405a agne jaritarviSpatiH-tapAnaH deva rakzasaH .
   1 1 1 0405c aproṣivāngṛhapate mahāṃ asi divaspāyurduroṇayuḥ .. 39	1 1 1 0405t aprozivAn-gRhapate mahAm asi divaspAyuH-duroNayuH .. 39
   1 1 1 0406a agne vivasvaduṣasaścitraṃ rādho amartya .	1 1 1 0406a agne vivasvat-uzasaH-citram rADaH amartya .
   1 1 1 0406c ā dāśuṣe jātavedo vahā tvamadyā devāṃ uṣarbudhaḥ .. 40	1 1 1 0406t A dASuze jAtavedaH vahA tvam-adyAH devAm uzarbuDaH .. 40
   1 1 1 0407a tvaṃ naścitra ūtyā vaso rādhāṃsi codaya .	1 1 1 0407a tvam naH-citraH UtyAH vasaH rADAMsi codaya .
   1 1 1 0407c asya rāyastvamagne rathīrasi vidā gādhaṃ tuce tu naḥ .. 41	1 1 1 0407c asya rAyaH-tvam-agne raTIrasi vidA gADam tuce tu naH .. 41
   1 1 1 0408a tvamitsaprathā asyagne trātarṛtaḥ kaviḥ .	1 1 1 0408a tvamitsa-praTAH asi-agne trAta-rRtaH kaviH .
   1 1 1 0408c tvāṃ viprāsaḥ samidhāna dīdiva ā vivāsanti vedhasaḥ .. 42	1 1 1 0408d tvAm viprAsaH samiDAna dIdivaH A vivAsanti veDasaH .. 42
   1 1 1 0409a ā no agne vayovṛdhaṃ rayiṃ pāvaka śaṃsyam .	1 1 1 0409aH A naH agne vayaH-vRDam rayim pAvaka SaMsyam .
   1 1 1 0409c rāsvā ca na upamāte puruspṛhaṃ sunītī suyaśastaram .. 43	1 1 1 0409d rAsvA ca naH upamAte puruspRham sunItI suyaSastaram .. 43
   1 1 1 0410a yo viśvā dayate vasu hotā mandro janānām .	1 1 1 0410a yaH viSvA dayate vasu hotA mandraH janAnAm .
   1 1 1 0410c madhorna pātrā prathamānyasmai pra stomā yantvagnaye .. 44	1 1 1 0410t maDoH-na pAtrA praTama-ani-asmE pra stomAH yantu-agnaye .. 44
   1 1 1 0501a enā vo agniṃ namasorjo napātamā huve .	1 1 1 0501aH enA vaH agnim namasA-UrjaH napAtamA huve .
   1 1 1 0501c priyaṃ cetiṣṭhamaratiṃ svādhvaraṃ viśvasya dūtamamṛtam .. 45	1 1 1 0501c priyam cetizWam-aratim sva-aDvaram viSvasya dUtam-amRtam .. 45
   1 1 1 0502a śeṣe vaneṣu mātṛṣu saṃ tvā martāsa indhate .	1 1 1 0502a Seze vanezu mAtRzu sam tvA martAsaH inDate .
   1 1 1 0502c atandro havyaṃ vahasi haviṣkṛta ādiddeveṣu rājasi .. 46	1 1 1 0502c atandraH havyam vahasi havizkRtaH Adiddevezu rAjasi .. 46
   1 1 1 0503a adarśi gātuvittamo yasminvratānyādadhuḥ .	1 1 1 0503a adarSi gAtu-vittamaH yasmin-vratAni-AdaDuH .
   1 1 1 0503c upo ṣu jātamāryasya vardhanamagniṃ nakṣantu no giraḥ .. 47	1 1 1 0503c upaH zu jAtam-Aryasya varDanam-agnim nakzantu naH giraH .. 47
   1 1 1 0504a agnirukthe purohito grāvāṇo barhiradhvare .	1 1 1 0504a agniH-ukTe purohitaH grAvANaH barhiH-aDvare .
   1 1 1 0504c ṛcā yāmi maruto brahmaṇaspate devā avo vareṇyam .. 48	1 1 1 0504t RcA yAmi marutaH brahmaNaspate devAH avaH vareNyam .. 48
   1 1 1 0505a agnimīḍiṣvāvase gāthābhiḥ śīraśociṣam .	1 1 1 0505a agnim-IxizvAvase gATABiH SIra-Socizam .
   1 1 1 0505c agniṃ rāye purumīḍha śrutaṃ naro 'gniḥ sudītaye chardiḥ .. 49	1 1 1 0505c agnim rAye purumIXa Srutam naraH agniH sudItaye CardiH .. 49
   1 1 1 0506a śrudhi śrutkarṇa vahnibhirdevairagne sayāvabhiḥ .	1 1 1 0506a SruDi SrutkarNa vahniBiH-devEH-agne sa-yAvaBiH .
   1 1 1 0506c ā sīdatu barhiṣi mitro aryamā prātaryāvabhiradhvare .. 50	1 1 1 0506t A sIdatu barhizi mitraH aryamA prAtar-yAvaBiH-aDvare .. 50
   1 1 1 0507a pra daivodāso agnirdeva indro na majmanā .	1 1 1 0507a pra dEvodAsaH agniH-devaH indraH na majmanA .
   1 1 1 0507c anu mātaraṃ pṛthivīṃ vi vāvṛte tasthau nākasya śarmaṇi .. 51	1 1 1 0507t anu mAtaram pRTivIm vi vA-AvRte tasTO nAkasya SarmaNi .. 51
   1 1 1 0508a adha jmo adha vā divo bṛhato rocanādadhi .	1 1 1 0508aH aDa jmaH aDas vA divaH bRhataH rocanA-daDi .
   1 1 1 0508c ayā vardhasva tanvā girā mamā jātā sukrato pṛṇa .. 52	1 1 1 0508t ayA varDasva tanvA girA mamA jAtA sukrataH pRNaH .. 52
   1 1 1 0509a kāyamāno vanā tvaṃ yanmātR^īrajagannapaḥ .	1 1 1 0509a kAyamAnaH vanA tvam yat-mAtR-^IrajagannapaH .
   1 1 1 0509c na tatte agne pramṛṣe nivartanaṃ yaddūre sannihābhuvaḥ .. 53	1 1 1 0509d na tat-te agne pramRze nivartanam yat-dUre san=-ihABuvaH .. 53
   1 1 1 0510a ni tvāmagne manurdadhe jyotirjanāya śaśvate .	1 1 1 0510a ni tvAm-agne manurdaDe jyotiH-janAya SaSvate .
   1 1 1 0510c dīdetha kaṇva ṛtajāta ukṣito yaṃ namasyanti kṛṣṭayaḥ .. 54	1 1 1 0510c dIdeTa kaNvaH Rta-jAte ukzitaH yam namasyanti kRzwayaH .. 54
   prathama prapāṭhakaḥ . dvitīyo 'rdhaḥ	praTama prapAWakaH . dvitIyaH arDaH
   1 1 2 0601a devo vo draviṇodāḥ pūrṇāṃ vivaṣṭvāsicam .	1 1 2 0601a devaH vaH draviNa-udAH pUrNAm vivazwvA-asicam .
   1 1 2 0601c udvā siñjadhvamupa vā pṛṇadhvamādidvo deva ohate .. 55	1 1 2 0601c udvA siQjaDvam-upa vA pRNaDvam-AdidvaH devaH ohate .. 55
   1 1 2 0602a praitu brahmaṇaspatiḥ pra devyetu sūnṛtā .	1 1 2 0602a prEtu brahmaNaspatiH pra devI-etu sUnRtA .
   1 1 2 0602c acchā vīraṃ naryaṃ paṅktirādhasaṃ devā yajñaṃ nayantu naḥ ..	1 1 2 0602c acCA vIram naryam paFktiH-ADasam devAH yajQam nayantu naH ..
   1 1 2 0603a ūrdhva ū ṣu ṇa ūtaye tiṣṭhā devo na savitā .	1 1 2 0603aH UrDvaH U zu NaH Utaye tizWAH devaH na savitA .
   1 1 2 0603c ūrdhvo vājasya sanitā yadañjibhirvāghadbhirvihvayāmahe .. 57	1 1 2 0603t UrDvaH vAjasya sanitA yat-aQjiBiH-vAGadBiH-vihvayAmahe .. 57
   1 1 2 0604a pra yo rāye ninīṣati marto yaste vaso dāśat .	1 1 2 0604a pra yaH rAye ninIzati martaH yaH-te vasaH dASat .
   1 1 2 0604c sa vīraṃ dhatte agna ukthaśaṃsinaṃ tmanā sahasrapoṣiṇam .. 58	1 1 2 0604c sa vIram Datte agne ukTa-SaMsinam tmanA sahasra-poziNam .. 58
   1 1 2 0605a pra vo yahvaṃ purūṇāṃ viśāṃ devayatīnām .	1 1 2 0605a pra vaH yahvam purUNAm viSAm devayatInAm .
   1 1 2 0605c agniṃ sūktebhirvacobhirvṛṇīmahe yaṃsamidanya indhate .. 59	1 1 2 0605c agnim sUkteBiH-vacoBiH-vRNImahe yaMsam-idanyaH inDate .. 59
   1 1 2 0606a ayamagniḥ suvīryasyeśe hi saubhagasya .	1 1 2 0606aH ayam-agniH su-vIryasya-ISe hi sOBagasya .
   1 1 2 0606c rāya īśe svapatyasya gomata īśe vṛtrahathānām .. 60	1 1 2 0606d rAyaH ISe svapati-asya gomate ISe vRtrahaTAnAm .. 60
   1 1 2 0607a tvamagne gṛhapatistvaṃ hotā no adhvare .	1 1 2 0607a tvam-agne gRhapatiH-tvam hotA naH aDvare .
   1 1 2 0607c tvaṃ potā viśvavāra pracetā tākṣi yāsi ca vāryam .. 61	1 1 2 0607c tvam potA viSva-vAra pracetA tAkzi yAsi ca vAryam .. 61
   1 1 2 0608a sakhāyastvā vavṛmahe devaṃ martāsa ūtaye .	1 1 2 0608a saKAyaH-tvA vavRmahe devam martAsaH Utaye .
   1 1 2 0608c apāṃ napātaṃ subhagaṃ sudaṃsasaṃ supratūrtimanehasam .. 62	1 1 2 0608t apAm na-pAtam suBagam su-daMsasam su-pratUrti-manehasam .. 62
   1 1 2 0701a ā juhotā haviṣā marjayadhvaṃ ni hotāraṃ gṛhapatiṃ dadhidhvam .	1 1 2 0701aH A juhotA havizA marjayaDvam ni hotAram gRhapatim daDiDvam .
   1 1 2 0701c iḍaspade namasā rātahavyaṃ saparyatā yajataṃ pastyānām .. 63	1 1 2 0701t ixaspade namasA rAtahavyam sa-paryatA yajatam pastyAnAm .. 63
   1 1 2 0702a citra icchiśostaruṇasya vakṣatho na yo mātarāvanveti dhātave .	1 1 2 0702a citraH icCiSoH-taruNasya vakzaTaH na yaH mAtarO=-anvA-iti DAtave .
   1 1 2 0702c anūdhā yadajījanadadhā cidā vavakṣatsadyo mahi dūtyā3ṃ caran	1 1 2 0702t anUDA yat-ajIja-nadaDA cidAH vavakzat-sadyas mahi dUtyA3m caran
   1 1 2 0703a idaṃ ta ekaṃ para ū ta ekaṃ tṛtīyena jyotiṣā saṃ viśasva .	1 1 2 0703aH idam te ekam paraH U te ekam tRtIyena jyotizA sam viSasva .
   1 1 2 0703c saṃveśanastanve3 cāruredhi priyo devānāṃ parame janitre .. 65	1 1 2 0703c saMveSanaH-tanve3 cAruH-eDi priyaH devAnAm parame janitre .. 65
   1 1 2 0704a imaṃ stomamarhate jātavedase rathamiva saṃ mahemā manīṣayā .	1 1 2 0704aH imam stomam-arhate jAtavedase raTam-iva sam mahA-imA manIzayA .
   1 1 2 0704c bhadrā hi naḥ pramatirasya saṃsadyagne sakhye mā riṣāmā vayaṃ	1 1 2 0704t BadrA hi naH pramatiH-asya saMsadi-agne saKye mA rizAmAH vayam
   tava .. 66	tava .. 66
   1 1 2 0705a mūrdhānaṃ divo aratiṃ pṛthivyā vaiśvānaramṛta ā jātamagnim .	1 1 2 0705a mUrDAnam divaH aratim pRTivyAH vESvAnara-mRtaH A jAtam-agnim .
   1 1 2 0705c kaviṃ samrājamatithiṃ janānāmāsannāḥ pātraṃ janayanta devāḥ ..	1 1 2 0705c kavim samrAjam-atiTim janAnAm-AsannAH pAtram janayanta devAH ..
   1 1 2 0706a vi tvadāpo na parvatasya pṛṣṭhādukthebhiragne janayanta devāḥ	1 1 2 0706a vi tvad-ApaH na parvatasya pRzWAt-ukTeBiH-agne janayanta devAH
   1 1 2 0706c taṃ tvā giraḥ suṣṭutayo vājayantyājiṃ na girvavāho jigyuraśvāḥ	1 1 2 0706c tam tvA giraH suzwutayaH vAjayantyAjim na girvavAhaH jigyuH-aSvAH
   1 1 2 0707a ā vo rājānamadhvarasya rudraṃ hotāraṃ satyayajaṃ rodasyoḥ .	1 1 2 0707aH A vaH rAjAnam-aDvarasya rudram hotAram satyayajam rodasyoH .
   1 1 2 0707c agniṃ purā tanayitnoracittāddhiraṇyarūpamavase kṛṇudhvam .. 69	1 1 2 0707c agnim purA tanayitnoH-acittAt-hiraNya-rUpam-avase kRNuDvam .. 69
   1 1 2 0708a indhe rājā samaryo namobhiryasya pratīkamāhutaṃ ghṛtena .	1 1 2 0708aH inDe rAjA samaryaH namoBiH-yasya pratIkam-Ahutam GRtena .
   1 1 2 0708c naro havyebhirīḍate sabādha āgniragramuṣasāmaśoci .. 70	1 1 2 0708d naraH havyeBiH-Ixate sa-bADaH AgniH-agramuzasAm-aSoci .. 70
   1 1 2 0709a pra ketunā bṛhatā yātyagnirā rodasī vṛṣabho roravīti .	1 1 2 0709a pra ketunA bRhatA yA-ati-agnirA rodasI vRzaBaH roravIti .
   1 1 2 0709c divaścidantādupamāmudānaḍapāmupasthe mahiṣo vavardha .. 71	1 1 2 0709t divaH-cid-antAt-upamAm-udAnaxapAm-upasTe mahizaH vavarDaH .. 71
   1 1 2 0710a agniṃ naro dīdhitibhiraṇyorhastacyutaṃ janayata praśastam .	1 1 2 0710a agnim naraH dIDitiBiH-aNyoH-hasta-cyutam janayata praSastam .
   1 1 2 0710c dūredṛśaṃ gṛhapatimathavyum .. 72	1 1 2 0710t dUra-IdRSam gRhapatim-aTavyum .. 72
   1 1 2 0801a abodhyagniḥ samidhā janānāṃ prati dhenumivāyatīmuṣāsam .	1 1 2 0801a aboDi-agniH samiDA janAnAm prati Denum-iva-AyatIm-uzAsam .
   1 1 2 0801c yahvā iva pra vayāmujjihānāḥ pra bhānavaḥ sasrate nākamaccha	1 1 2 0801t yahvAH iva pra vayAm-ujjihAnAH pra BAnavaH sasrate nAkam-acCa
   1 1 2 0802a pra bhūrjayantaṃ mahāṃ vipodhāṃ mūrairamūraṃ purāṃ darmāṇam .	1 1 2 0802a pra BUrjayantam mahAm vipoDAm mUrEH-amUram purAm darmANam .
   1 1 2 0802c nayantaṃ gīrbhirvanā dhiyaṃ dhā hariśmaśruṃ na vārmaṇā	1 1 2 0802t nayantam gIrBiH-vanAH Diyam DA hari-SmaSrum na vArmaNA
   dhanarcim .. 74	Danarcim .. 74
   1 1 2 0803a śukraṃ te anyadyajataṃ te anyadviṣurūpe ahanī dyaurivāsi .	1 1 2 0803a Sukram te anyat-yajatam te anyat-vizu-rUpe ahanI dyOH-iva-asi .
   1 1 2 0803c viśvā hi māyā avasi svadhāvanbhadrā te pūṣanniha rātirastu..	1 1 2 0803t viSvA hi mAyA avasi svaDA-vanBadrA te pUzan=-iha rAtiH-astu..
   1 1 2 0804a iḍāmagne purudaṃsaṃ saniṃ goḥ śaśvattamaṃ havamānāya sādha .	1 1 2 0804aH ixAm-agne purudaMsam sa-nim goH SaSvattamam havamAnAya sADa .
   1 1 2 0804c syānnaḥ sūnustanayo vijāvāgne sā te sumatirbhūtvasme .. 76	1 1 2 0804c syAt-naH sUnuH-tanayaH vijAvAgne sA te sumatiH-BUtu-asme .. 76
   1 1 2 0805a pra hotā jāto mahānnabhovinnṛṣadmā sīdadapāṃ vivarte .	1 1 2 0805a pra hotA jAtaH mahAn-naBaH-vinnRzadmA sIda-dapAm vivarte .
   1 1 2 0805c dadhadyo dhāyī sute vayāṃsi yantā vasūni vidhate tanūpāḥ .. 77	1 1 2 0805t daDadyaH DAyI sute vayAMsi yantA vasUni viDate tanUpAH .. 77
   1 1 2 0806a pra samrājamasurasya praśstaṃ puṃsaḥ kṛṣṭīnāmanumādyasya .	1 1 2 0806a pra samrAjam-asurasya praSstam puMsaH kRzwInAm-anum-Adyasya .
   1 1 2 0806c indrasyeva pra tavasaskṛtāni vandadvārā vandamānā vivaṣṭu ..	1 1 2 0806t indrasya-iva pra tavasaskRtAni vanda-dvArAH vandamAnA vivazwu ..
   1 1 2 0807a araṇyornihito jātavedā garbha ivetsubhṛto garbhiṇībhiḥ .	1 1 2 0807a araNyoH-nihitaH jAtavedAH garBaH iva-itsu-BRtaH garBiNIBiH .
   1 1 2 0807c divediva īḍyo jāgṛvadbhirhaviṣmadbhirmanuṣyebhiragniḥ .. 79	1 1 2 0807t divet-ivaH IxyaH jAgRvadBiH-havizmadBiH-manuzyeBiH-agniH .. 79
   1 1 2 0808a sanādagne mṛṇasi yātudhānānna tvā rakṣāṃsi pṛtanāsu jigyuḥ .	1 1 2 0808a sanAt-agne mRNasi yAtuDAnAt-na tvA rakzAMsi pRtanAsu jigyuH .
   1 1 2 0808c anu daha sahamūrānkayādo mā te hetyā mukṣata daivyāyāḥ .. 80	1 1 2 0808t anu daha saha-mUrAn-kayAdaH mA te hetyAH mukzata dEvyAyAH .. 80
   1 1 2 0901a agna ojiṣṭhamā bhara dyumnamasmabhyamadhrigo .	1 1 2 0901a agne ojizWamA Bara dyumnam-asmaByam-aDri-gaH .
   1 1 2 0901c pra no rāye panīyase ratsi vājāya panthām .. 81	1 1 2 0901d pra naH rAye panIyase ratsi vAjAya panTAm .. 81
   1 1 2 0902a yadi vīro anu ṣyādagnimindhīta martyaḥ .	1 1 2 0902a yadi vIraH anu zyAt-agnim-inDIta martyaH .
   1 1 2 0902c ājuhvaddhavyamānuṣakśarma bhakṣīta daivyam .. 82	1 1 2 0902t Ajuhvat-havya-mAnuzak-Sarma BakzIta dEvyam .. 82
   1 1 2 0903a tveṣaste dhūma ṛṇvati divi saṃ cchukra ātataḥ .	1 1 2 0903a tu-ezaH-te DUmaH RNvati divi sam cSukraH AtataH .
