   Samantabhadra: Āptamīmāṃsā	SamantaBadra: ĀptamImAMsA
   tathobhayamavācyaṃ ca nayayogānna sarvathā // SAm_14 //	taTA-uBayam-avAcyam ca naya-yogAt-na sarvaTA // SAm_14 //
   sadeva sarvaṃ ko necchetsvarūpādicatuṣṭayāt /	sat-eva sarvam kaH na-icCet-sva-rUpa-Adi-catuzwayAt /
   asadeva viparyāsānna cenna vyavatiṣṭhate // SAm_15 //	asat-eva viparyAsAt-na ced-na vyavatizWate // SAm_15 //
   kramārpitadvayād dvaitaṃ sahāvācyamaśaktitaḥ /	krama-arpita-dvayAt dvEtam saha-avAcyam-aSaktitaH /
   avaktavyottarāḥ śeṣāstrayo bhaṅgāḥ svahetutaḥ // SAm_16 //	avaktavya-uttarAH SezAH-trayaH BaFgAH sva-hetutaH // SAm_16 //
   astitvaṃ pratiṣedhyenāvinābhāvyekadharmiṇi /	astitvam pratizeDyena-avinABA-vi-eka-DarmiNi /
   viśeṣaṇatvātsādharmyaṃ yathā bhedavivakṣayā // SAm_17 //	viSezaNa-tvAt-sADarmyam yaTA Beda-vivakzayA // SAm_17 //
   nāstitvaṃ pratiṣedhyenāvinābhāvyekadharmiṇi /	nAstitvam pratizeDyena-avinABA-vi-eka-DarmiNi /
   viśeṣaṇatvādvaidharmyaṃ yathā 'bhedavivakṣayā // SAm_18 //	viSezaNa-tvAt-vEDarmyam yaTA aBeda-vivakzayA // SAm_18 //
   vidheyapratiṣedhyātmā viśeṣyaḥ śabdagocaraḥ /	viDeya-pratizeDya-AtmA viSezyaH Sabda-gocaraH /
   sādhyadharmo yathā heturahetuścāpyapekṣayā // SAm_19 //	sADya-DarmaH yaTA hetuH-ahetuH-ca-api-apekzayA // SAm_19 //
   śeṣabhaṅgāśca netavyā yathoktanayayogataḥ /	Seza-BaFgAH-ca netavyAH yaTA-ukta-naya-yogataH /
   na ca kaścidvirodho 'sti munīndra tava śāsane // SAm_20 //	na ca kaScid-viroDaH asti muni-indra tava SAsane // SAm_20 //
   evaṃ vidhiniṣedhābhyāmanavasthitamarthakṛt /	evam viDi-nizeDAByAm-anavasTitam-arTa-kRt /
   neti cenna yathākāryaṃ bahirantarupādhibhiḥ // SAm_21 //	na-iti ced-na yaTAkAryam bahis-antarupADiBiH // SAm_21 //
   dharme dharme 'nya evārtho dharmiṇo 'nantadharmaṇaḥ /	Darme Darme anyaH eva-arTaH DarmiNaH ananta-DarmaNaH /
   aṅgitve 'nyatamāntasya śeṣāntānāṃ tadaṅgatā // SAm_22 //	aFgi-tve anyatama-antasya Seza-antAnAm tad-aFga-tA // SAm_22 //
   ekānekavikalpādāvuttaratrāpi yojayet /	eka-aneka-vikalpa-AdO=-uttaratra-api yojayet /
   prakriyāṃ bhaṅginīmenāṃ nayairnayaviśāradaḥ // SAm_23 //	prakriyAm BaFginIm-enAm nayEH-naya-viSAradaH // SAm_23 //
   advaitākāntapakṣe 'pi dṛṣṭo bhedo virudhyate /	advEtAkAnta-pakze api dRzwaH BedaH viruDyate /
   kārakāṇāṃ kriyāyāśca naikaṃ svasmātprajāyate // SAm_24 //	kArakANAm kriyAyAH-ca na-ekam svasmAt-prajAyate // SAm_24 //
   karmadvaitaṃ phaladvaitaṃ lokadvaitaṃ ca no bhavet /	karma-dvEtam Pala-dvEtam loka-dvEtam ca naH Bavet /
   vidyāvidyādvayaṃ na syādbandhamokṣadvayaṃ tathā // SAm_25 //	vidyA-avidyA-dvayam na syAt-banDa-mokza-dvayam taTA // SAm_25 //
   hetoradvaitasiddhiśced dvaitaṃ syāddhetusādhyayoḥ /	hetoH-advEta-sidDiH-ced dvEtam syAt-hetu-sADyayoH /
   hetunā cedvinā siddhirdvaitaṃ vāṅmātrato na kim // SAm_26 //	hetunA ced-vinA sidDiH-dvEtam vAc-mAtrataH na kim // SAm_26 //
   advaitaṃ na vinā dvaitādaheturiva hetunā /	advEtam na vinA dvEtAt-ahetuH-iva hetunA /
   saṃjñinaḥ pratiṣedho na pratiṣedhyādṛte kvacit // SAm_27 //	saMjQinaH pratizeDaH na pratizeDyAt-Rte kvacid // SAm_27 //
   pṛthaktvaikāntapakṣe 'pi pṛthaktvādapṛthakkṛtau /	pRTaktvA-ekAnta-pakze api pRTaktvAt-apRTak-kRtO /
   pṛthaktve na pṛthaktvaṃ syādanekastho hyasau guṇaḥ // SAm_28 //	pRTaktve na pRTaktvam syAt-aneka-sTaH hi-asO guNaH // SAm_28 //
   santānaḥ samudāyaśca sādharmyaṃ ca niraṅkuśaḥ /	santAnaH samudAyaH-ca sADarmyam ca niraFkuSaH /
   pretyabhāvaśca tatsarvaṃ na syādekatvanihnave // SAm_29 //	pretyaBAvaH-ca tat-sarvam na syAt-ekatva-nihnave // SAm_29 //
   sadātmanā ca bhinnaṃ cejjñānaṃ jñeyād dvidhā 'pyasat /	sat-A-AtmanA ca Binnam ced-jQAnam jQeyAt dviDA api-asat /
   jñānābhāve kathaṃ jñeyaṃ bahirantaśca te dviṣām // SAm_30 //	jQAna-aBAve kaTam jQeyam bahis-antar-ca te dvizAm // SAm_30 //
   sāmānyārthā giro 'nyeṣāṃ viśeṣo nābhilapyate /	sAmAnya-arTAH giraH anyezAm viSezaH na-aBilapyate /
   sāmānyābhāvatasteṣāṃ mṛṣaiva sakalā giraḥ // SAm_31 //	sAmAnya-aBAvataH-tezAm mRzA-eva sakalAH giraH // SAm_31 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_32 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_32 //
   anapekṣe pṛthaktvaikyaṃ hyavastu dvayahetutaḥ /	anapekze pRTak-tvA-Ekyam hi-avastu dvaya-hetutaH /
   tadevaikyaṃ pṛthaktvaṃ ca svabhedaiḥ sādhanaṃ yathā // SAm_33 //	tat-eva-Ekyam pRTaktvam ca sva-BedEH sADanam yaTA // SAm_33 //
   satsāmānyāttu sarvaikyaṃ pṛthagdravyādibhedataḥ /	sat-sAmAnyAt-tu sarva-Ekyam pRTak-dravya-Adi-BedataH /
   bhedābhedavivakṣāyāmasādhāraṇahetuvat // SAm_34 //	Beda-aBeda-vivakza-AyAm-asADAraNa-hetu-vat // SAm_34 //
   vivakṣā cāvivakṣā ca viśeṣye 'nantadharmiṇi /	vivakzA ca-avivakzA ca viSezye ananta-DarmiNi /
   sato viśeṣaṇasyātra nāsatastaistadarthibhiḥ // SAm_35 //	sataH viSezaNasya-atra na-AsataH-tEH-tad-arTiBiH // SAm_35 //
   pramāṇagocarau santau bhedābhedau na saṃvṛtī /	pramANa-gocarO santO Beda-aBedO na saMvRtI /
   tāvekatrāviruddhau te guṇamukhyavivakṣayā // SAm_36 //	tO=-ekatra-avirudDO te guNa-muKya-vivakzayA // SAm_36 //
   nityatvaikāntapakṣe 'pi vikriyā nopapadyate /	nitya-tva-ekAnta-pakze api vikriyA na-upapadyate /
   prāgeva kārakābhāvaḥ kva pramāṇaṃ kva tatphalam // SAm_37 //	prAk-eva kAraka-aBAvaH kva pramANam kva tad-Palam // SAm_37 //
   pramāṇakārakairvyaktaṃ vyaktaṃ cedindriyārthavat /	pramANa-kArakEH-vyaktam vyaktam ced-indriya-arTa-vat /
   te ca nityaṃ vikāryaṃ kiṃ sādhoste śāsanādbahiḥ // SAm_38 //	te ca nityam vikAryam kim sADoH-te SAsanAt-bahis // SAm_38 //
   yadi satsarvathā kāryaṃ puṃvannotpattumarhati /	yadi sat-sarvaTA kAryam puMvat-na-utpattum-arhati /
   pariṇāmaprakḷptiśca nityatvaikāntabādhinī // SAm_39 //	pariNAma-prak?ptiH-ca nitya-tva-ekAnta-bADinI // SAm_39 //
   puṇyapāpakriyā na syātpretyabhāvaḥ phalaṃ kutaḥ /	puNya-pApa-kriyA na syAt-pretya-BAvaH Palam kutas /
   bandhamokṣau ca teṣāṃ na yeṣāṃ tvaṃ nāsi nāyakaḥ // SAm_40 //	banDa-mokzO ca tezAm na yezAm tvam na-asi nAyakaH // SAm_40 //
   kṣaṇikaikāntapakṣe 'pi pretyabhāvādyasambhavaḥ /	kzaNikA-ekAnta-pakze api pretyaBAva-Adi-asamBavaH /
   pratyabhijñādyabhāvānna kāryārambhaḥ kutaḥ phalam // SAm_41 //	pratyaBijQA-Adi-aBAvAt-na kArya-AramBaH kutas Palam // SAm_41 //
   yadyasatsarvathā kāryaṃ tanmā jani khapuṣpavat /	yadi-asat-sarvaTA kAryam tat-mA jani Ka-puzpa-vat /
   mopādānaniyāmo bhūnmāśvāsaḥ kāryajanmani // SAm_42 //	mA-upAdAna-niyAmaH BUnmA-ASvAsaH kArya-janmani // SAm_42 //
   na hetuphalabhāvādiranyabhāvādananvayāt /	na hetu-Pala-BAva-AdiH-anya-BAvAt-ananvayAt /
   santānāntaravannaikaḥ santānastadvataḥ pṛthak // SAm_43 //	santAna-antara-vat-na-ekaH santAnaH-tadvatas pRTak // SAm_43 //
   anyeṣvananyaśabdo 'yaṃ saṃvṛtirna mṛṣā katham /	anyezu-ananya-SabdaH ayam saMvRtiH-na mRzA kaTam /
   mukhyārthaḥ saṃvṛtirnāsti vinā mukhyānna saṃvṛtiḥ // SAm_44 //	muKya-arTaH saMvRtiH-na-asti vinA muKyAt-na saMvRtiH // SAm_44 //
   catuṣkoṭervikalpasya sarvānteṣūktyayogataḥ /	catuzkoweH-vikalpasya sarva-antezu-ukti-ayogataH /
   tattvānyatvamavācyaṃ ca tayoḥ santānatadvatoḥ // SAm_45 //	tattva-anya-tvam-avAcyam ca tayoH santAna-tadvatoH // SAm_45 //
   avaktavyacatuṣkoṭivikalpo 'pi na kathyatām /	avaktavya-catuzkowi-vikalpaH api na kaTyatAm /
   asarvāntamavastu syādaviśeṣyaviśeṣaṇam // SAm_46 //	asarva-antam-avastu syAt-aviSezya-viSezaNam // SAm_46 //
   dravyādyantarabhāvena niṣedhaḥ saṃjñinaḥ sataḥ /	dravya-Adi-antara-BAvena nizeDaH saMjQinaH sataH /
   asadbhedo na bhāvastu sthānaṃ vidhiniṣedhayoḥ // SAm_47 //	asat-BedaH na BAvaH-tu sTAnam viDi-nizeDayoH // SAm_47 //
   avastvanabhilāpyaṃ syātsarvāntaiḥ parivarjitam /	avastu-anaBilApyam syAt-sarva-antEH parivarjitam /
   vastvevāvastutāṃ yāti prakriyāyā viparyayāt // SAm_48 //	vastu-eva-avastu-tAm yAti prakriyAyAH viparyayAt // SAm_48 //
   sarvāntāścedavaktavyāsteṣāṃ kiṃ vacanaṃ punaḥ /	sarva-antAH-ceda-vaktavyAH-tezAm kim vacanam punar /
   saṃvṛttiścenmṛṣaivaiṣā paramārthaviparyayāt // SAm_49 //	saMvRttiH-ced-mRzA-eva-ezA parama-arTa-viparyayAt // SAm_49 //
   aśakyatvādavācyaṃ kimabhāvātkimabodhataḥ /	aSakya-tvAt-avAcyam kim-aBAvAt-kim-aboDataH /
   ādyatoktidvayaṃ na syātkiṃ vyājenocyatāṃ sphuṭam // SAm_50 //	Adyatokti-dvayam na syAt-kim vyAjena-ucyatAm sPuwam // SAm_50 //
   hinastyanabhisaṃdhātṛ na hinastyabhisandhimat /	hinasti-anaBisaMDAtR na hinasti-aBisanDimat /
   badhyate taddvayāpetaṃ cittaṃ baddhaṃ na mucyate // SAm_51 //	baDyate tad-dvaya-apetam cittam badDam na mucyate // SAm_51 //
   ahetukatvānāśasya hiṃsāheturna hiṃsakaḥ /	ahetuka-tvAnASasya hiMsA-hetuH-na hiMsakaH /
   cittasantatināśaśca mokṣo nāṣṭāṅgahetukaḥ // SAm_52 //	citta-santati-nASaH-ca mokzaH na-azwa-aFga-hetukaH // SAm_52 //
   virūpakāryārambhāya yadi hetusamāgamaḥ /	virUpa-kArya-AramBAya yadi hetu-samAgamaH /
   āśrayibhyāmananyo 'sāvaviśeṣādayuktavat // SAm_53 //	ASrayiByAm-ananyaH asO=-aviSezAt-ayukta-vat // SAm_53 //
   skandhāḥ santatayaścaiva saṃvṛtitvādasaṃskṛtāḥ /	skanDAH santatayaH-ca-eva saMvRti-tvAt-asaMskRtAH /
   sthityutpattivyayāsteṣāṃ na syuḥ kharaviṣāṇavat // SAm_54 //	sTiti-utpatti-vyayAH-tezAm na syuH Kara-vizANa-vat // SAm_54 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_55 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_55 //
   nityaṃ tatpratyabhijñānānnākasmāttadavicchidā /	nityam tad-pratyaBijQAnAt-na-akasmAt-tad-avicCidA /
   kṣaṇikaṃ kālabhedātte buddhyasañcaradoṣataḥ // SAm_56 //	kzaNikam kAla-BedAt-te budDi-asaQcara-dozataH // SAm_56 //
   na sāmānyātmanodeti na vyeti vyaktamanvayāt /	na sAmAnya-AtmanA-udeti na vyeti vyaktam-anvayAt /
   vyetyudeti viśeṣātte sahaikatrodayādi sat // SAm_57 //	vyeti-udeti viSezAt-te saha-ekatra-udaya-Adi sat // SAm_57 //
   kāryotpādaḥ kṣayo heturniyamāllakṣaṇātpṛthak /	kArya-utpAdaH kzayaH hetuH-niyamAt-lakzaNAt-pRTak /
   na tau jātyādyavasthānādanapekṣāḥ khapuṣpavat // SAm_58 //	na tO jAti-Adi-avasTAnAt-anapekzAH Ka-puzpa-vat // SAm_58 //
   ghaṭamaulisuvarṇārthī nāśotpādasthitiṣvayam /	Gawa-mOli-suvarNa-arTI nASa-utpAda-sTitizu-ayam /
   śokapramohamādhyasthyaṃ jano yāti sahetukam // SAm_59 //	Soka-pramoha-mADyasTyam janaH yAti sa-hetukam // SAm_59 //
   payovrato na dadhyatti na payo 'tti dadhivrataḥ /	payaH-vrataH na daDyatti na payaH atti daDi-vrataH /
   agorasavrato nobhe tasmāttattvaṃ trayātmakam // SAm_60 //	agorasa-vrataH na-uBe tasmAt-tattvam traya-Atmakam // SAm_60 //
   kāryakāraṇanānātvaṃ guṇaguṇyanyatāpi ca /	kArya-kAraNa-nAnA-tvam guNa-guNI-anyatA-api ca /
   sāmānyatadvadanyatvaṃ caikāntena yadīṣyate // SAm_61 //	sAmAnya-tadvat-anya-tvam ca-ekAntena yadi-izyate // SAm_61 //
   ekasyānekavṛttirna bhāgābhāvādbahūni vā /	ekasya-aneka-vRttiH-na BAga-aBAvAt-bahUni vA /
   bhāgitvādvāsya naikatvaṃ doṣo vṛtteranārhate // SAm_62 //	BAgi-tvAt-vA-asya na-ekatvam dozaH vRtteranA-arhate // SAm_62 //
   deśakālaviśeṣe 'pi syādvṛttiryutasiddhivat /	deSa-kAla-viSeze api syAt-vRttiH-yuta-sidDi-vat /
   samānadeśatā na syānmūrtakāraṇakāryayoḥ // SAm_63 //	samAna-deSa-tA na syAt-mUrta-kAraNa-kAryayoH // SAm_63 //
   āśrayāśrayibhāvānna svātantryaṃ samavāyinām /	ASraya-ASrayi-BAvAt-na svAtantryam samavAyinAm /
   ityayuktaḥ sa sambandho na yuktaḥ samavāyibhiḥ // SAm_64 //	iti-ayuktaH sa sambanDaH na yuktaH samavAyiBiH // SAm_64 //
   sāmānyaṃ samavāyaścāpyekaikatra samāptitaḥ /	sAmAnyam samavAyaH-ca-api-ekEkatra samAptitaH /
   antareṇāśrayaṃ na syānnāśotpādiṣu ko vidhiḥ // SAm_65 //	antareNa-ASrayam na syAt-nASa-utpAdizu kaH viDiH // SAm_65 //
   sarvathānabhisambandhaḥ sāmānyasamavāyayoḥ /	sarvaTA-anaBisambanDaH sAmAnya-samavAyayoH /
   tābhyāmartho na sambaddhastāni trīṇi khapuṣpavat // SAm_66 //	tAByAm-arTaH na sambadDaH-tAni trINi Ka-puzpa-vat // SAm_66 //
   ananyataikānte 'ṇūnāṃ saṃghāte 'pi vibhāgavat /	ananyata-ekAnte aNUnAm saMGAte api viBAga-vat /
   asaṃhatatvaṃ syādbhūtacatuṣkaṃ bhrāntireva sā // SAm_67 //	asaMhata-tvam syAt-BUta-catuzkam BrAntiH-eva sA // SAm_67 //
   kāryabhrānteraṇubhrāntiḥ kāryaliṅgaṃ hi kāraṇam /	kArya-BrAnteH-aNu-BrAntiH kArya-liFgam hi kAraNam /
   ubhayābhāvatastatsthaṃ guṇajātītaracca na // SAm_68 //	uBaya-aBAvataH-tad-sTam guNa-jAtI-tarat-ca na // SAm_68 //
   ekatve 'nyatarābhāvaḥ śeṣābhāvo 'vinābhuvaḥ /	eka-tve anyatara-aBAvaH Seza-aBAvaH avinABuvaH /
   dvitvasaṅkhyāvirodhaśca saṃvṛtiścenmṛṣaiva sā // SAm_69 //	dvi-tva-saFKyA-viroDaH-ca saMvRtiH-ced-mRzA-eva sA // SAm_69 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_70 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_70 //
   dravyaparyāyayoraikyaṃ tayoravyatirekataḥ /	dravya-paryAyayoH-Ekyam tayoH-avyatirekataH /
   pariṇāmaviśeṣācca śaktimacchaktibhāvataḥ // SAm_71 //	pariNAma-viSezAt-ca Saktimat-Sakti-BAvataH // SAm_71 //
   saṃjñāsaṃkhyāviśeṣācca svalakṣaṇaviśeṣataḥ /	saMjQA-saMKyA-viSezAt-ca sva-lakzaNa-viSezataH /
   prayojanādibhedācca tannānātvaṃ na sarvathā // SAm_72 //	prayojana-Adi-BedAt-ca tad-nAnA-tvam na sarvaTA // SAm_72 //
   yadyāpekṣikasiddhiḥ syānna dvayaṃ vyavatiṣṭhate /	yadi-Apekzika-sidDiH syAt-na dvayam vyavatizWate /
   anāpekṣikasiddhau ca na sāmānyaviśeṣatā // SAm_73 //	anApekzika-sidDO ca na sAmAnya-viSeza-tA // SAm_73 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_74 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_74 //
   dharmadharmyavinābhāvaḥ sidhyatyanyonyavīkṣayā /	Darma-Darmya-vinABAvaH siDyati-anyonya-vIkzayA /
   na svarūpaṃ svato hyetatkārakajñāpakāṅgavat // SAm_75 //	na svarUpam svatas hi-etad-kAraka-jQApaka-aFga-vat // SAm_75 //
   siddhaṃ ceddhetutaḥ sarvaṃ na pratyakṣādito gatiḥ /	sidDam ced-hetutaH sarvam na pratyakza-AditaH gatiH /
   siddhaṃ cedāgamātsarvaṃ viruddhārthamatānyapi // SAm_76 //	sidDam ced-AgamAt-sarvam virudDa-arTa-matAni-api // SAm_76 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_77 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_77 //
   vaktaryanāpte yaddhetoḥ sādhyaṃ taddhetusādhitam /	vaktari-anApte yat-hetoH sADyam tad-hetu-sADitam /
   āpte vaktari tadvākyātsādhyamāgamasādhitam // SAm_78 //	Apte vaktari tad-vAkyAt-sADyam-Agama-sADitam // SAm_78 //
   antaraṅgārthataikānte buddhivākyaṃ mṛṣākhilam /	antaraFga-arTa-tA-ekAnte budDi-vAkyam mRzA-aKilam /
   pramāṇābhāsamevātastatpramāṇādṛte katham // SAm_79 //	pramANa-ABAsam-eva-atas-tad-pramANAt-Rte kaTam // SAm_79 //
   sādhyasādhanavijñapteryadi vijñaptimātratā /	sADya-sADana-vijQapteH-yadi vijQaptimAtra-tA /
   na sādhyaṃ na ca hetuśca pratijñāhetudoṣataḥ // SAm_80 //	na sADyam na ca hetuH-ca pratijQA-hetu-dozataH // SAm_80 //
   bahiraṅgārthataikānte pramāṇābhāsanihnavāt /	bahis-aFga-arTa-tA-ekAnte pramANa-ABAsa-nihnavAt /
   sarveṣāṃ kāryasiddhiḥ syādviruddhārthābhidhāyinām // SAm_81 //	sarvezAm kArya-sidDiH syAt-virudDa-arTa-aBiDAyinAm // SAm_81 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_82 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_82 //
   bhāvaprameyāpekṣāyāṃ pramāṇābhāsanihnavaḥ /	BAva-prameya-apekzAyAm pramANa-ABAsa-nihnavaH /
   bahiḥprameyāpekṣāyāṃ pramāṇaṃ tannibhaṃ ca te // SAm_83 //	bahis-prameya-apekzAyAm pramANam tad-niBam ca te // SAm_83 //
   jīvaśabdaḥ sabāhyārthaḥ saṃjñātvāddhetuśabdavat /	jIva-SabdaH sa-bAhya-arTaH saMjQA-tvAt-hetu-Sabda-vat /
   māyādibhrāntisaṃjñāśca māyādyaiḥ svaiḥ pramoktivat // SAm_84 //	mAyA-Adi-BrAnti-saMjQAH-ca mAyA-AdyEH svEH pramokti-vat // SAm_84 //
   buddhiśabdārthasaṃjñāstāstisro buddhyādivācikāḥ /	budDi-Sabda-arTa-saMjQAH-tAH-tisraH budDi-Adi-vAcikAH /
   tulyā buddhyādibodhāśca trayastatpratibimbikāḥ // SAm_85 //	tulyAH budDi-Adi-boDAH-ca trayaH-tad-pratibimbikAH // SAm_85 //
   vaktṛśrotṛpramātṝṇāṃ vākyabodhapramāḥ pṛthak /	vaktR-SrotR-pramAtLNAm vAkya-boDa-pramAH pRTak /
   bhrāntāveva pramābhrāntau bāhyārthau tādṛśetarau // SAm_86 //	BrAntO=-eva pramA-Bra-antO bAhya-arTO tAdRSa-itarO // SAm_86 //
   buddhiśabdapramāṇatvaṃ bāhyārthe sati nāsati /	budDi-Sabda-pramANa-tvam bAhya-arTe sati na-asati /
   satyānṛtavyavasthaivaṃ yujyate 'rthāptyanāptiṣu // SAm_87 //	satya-anRta-vyavasTA-evam yujyate arTApti-anAptizu // SAm_87 //
   daivādevārthasiddhiśceddaivaṃ pauruṣataḥ katham /	dEvAt-eva-arTa-sidDiH-ced-dEvam pOruzataH kaTam /
   daivataścedanirmokṣaḥ pauruṣaṃ niṣphalaṃ bhavet // SAm_88 //	dEvataH-ced-anirmokzaH pOruzam nizPalam Bavet // SAm_88 //
   pauruṣādeva siddhiścetpauruṣaṃ daivataḥ katham /	pOruzAt-eva sidDiH-ced-pOruzam dEvataH kaTam /
   pauruṣāccedamoghaṃ syātsarvaprāṇiṣu pauruṣam // SAm_89 //	pOruzAt-ced-amoGam syAt-sarva-prANizu pOruzam // SAm_89 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_90 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_90 //
   abuddhipūrvāpekṣāyāmiṣṭāniṣṭaṃ svadaivataḥ /	abudDi-pUrva-apekzAyAm-izwa-anizwam sva-dEvataH /
   buddhipūrvavyapekṣāyāmiṣṭāniṣṭaṃ svapauruṣāt // SAm_91 //	budDi-pUrva-vyapekzAyAm-izwa-anizwam sva-pOruzAt // SAm_91 //
