   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   bhuśuṇḍopākhyāne vasiṣṭhavākyam /	BuSuNxa-upAKyAne vasizWa-vAkyam /
   asādhyaḥ kasyacidyogaḥ kasyacijjñānaniścayaḥ /	asADyaH kasyacid-yogaH kasyacid-jQAna-niScayaH /
   dvau prakārau tato devo jagāda paramaḥ śivaḥ /	dvO prakArO tatas devaH jagAda paramaH SivaH /
   prāṇānāṃ vā nirodhena vāsanānodanena vā /	prANAnAm vA niroDena vAsanA-nodanena vA /
   no cetsaṃvidam ucchāṇāṃ karoṣi tadayogavān /	no ced-saMvidam ucCANAm karozi tat-ayogavAn /
   dvāveva hi samau rāma jñānayogāvimau smṛtau // RCint_1.12 //	dvO=-eva hi samO rAma jQAna-yogO=-imO smRtO // RCint-_1.12 //
   tatrādyayoḥ kevalaṃ pakvakaṣāyāṇāmapi kathañcana sādhyatvāccarame tu	tatra-AdyayoH kevalam pakva-kazAyANAm-api kaTaQcana sADya-tvAt-carame tu
   punarbhogalolupānām apyadhikāritvāttābhyāṃ samīcīno'yamiti kasya na	punar-Boga-lolupAnAm api-aDikAri-tvAt-tAByAm samIcInaH-ayam-iti kasya na
   pratibhāti // RCint_1.13 //	pratiBAti // RCint-_1.13 //
   kiṃca asya bhagavanniryāsatayā sevakānāṃ	kiMca asya Bagavat-niryAsa-tayA sevakAnAm
   svasambhūtasakaladhātutvāpādakasya bhagavato rasarājasya guṇasindhoḥ	sva-samBUta-sakala-DAtu-tva-ApAdakasya BagavataH rasarAjasya guNa-sinDoH
   kiyantaḥ pṛṣatāḥ prasaṅgāllikhyante // RCint_1.14 //	kiyantaH pRzatAH prasaFgAt-liKyante // RCint-_1.14 //
   acirājjāyate devi śarīramajarāmaram /	acirAt-jAyate devi SarIram-ajara-amaram /
   manasaśca samādhānaṃ rasayogādavāpyate // RCint_1.15 //	manasaH-ca samADAnam rasa-yogAt-avApyate // RCint-_1.15 //
   sattvaṃ ca labhate devi vijñānaṃ jñānapūrvakam /	sattvam ca laBate devi vijQAnam jQAna-pUrvakam /
   satyaṃ mantrāśca sidhyanti yo'śnāti mṛtasūtakam // RCint_1.16 //	satyam mantrAH-ca siDyanti yaH-aSnAti mRta-sUtakam // RCint-_1.16 //
   yāvanna śaktipātastu na yāvatpāśakṛntanam /	yAvat-na SaktipAtaH-tu na yAvat-pASa-kRntanam /
   tāvattasya kutaḥ śuddhirjāyate mṛtasūtake // RCint_1.17 //	tAvat-tasya kutas SudDiH-jAyate mRta-sUtake // RCint-_1.17 //
   yāvanna harabījaṃ tu bhakṣayetpāradaṃ rasam /	yAvat-na harabIjam tu Bakzayet-pAradam rasam /
   tāvattasya kuto muktiḥ kutaḥ piṇḍasya dhāraṇam // RCint_1.18 //	tAvat-tasya kutas muktiH kutas piNxasya DAraNam // RCint-_1.18 //
   svadehe khecaratvaṃ vai śivatvaṃ yena labhyate /	sva-dehe Kecara-tvam vE Siva-tvam yena laByate /
   tādṛśe tu rasajñāne nityābhyāsaṃ kuru priye // RCint_1.19 //	tAdRSe tu rasa-jQAne nitya-aByAsam kuru priye // RCint-_1.19 //
   tvaṃ mātā sarvabhūtānāṃ pitā cāhaṃ sanātanaḥ /	tvam mAtA sarva-BUtAnAm pitA ca-aham sanAtanaH /
   dvayośca yo raso devi mahāmaithunasambhavaḥ // RCint_1.20 //	dvayoH-ca yaH rasaH devi mahA-mETuna-samBavaH // RCint-_1.20 //
   darśanāt sparśanāt tasya bhakṣaṇāt maraṇātpriye /	darSanAt sparSanAt tasya BakzaNAt maraNAt-priye /
   pūjanādrasadānācca dṛśyate ṣaḍvidhaṃ phalam // RCint_1.21 //	pUjanAt-rasa-dAnAt-ca dRSyate zaxviDam Palam // RCint-_1.21 //
   kedārādīni liṅgāni pṛthivyāṃ yāni kānicit /	kedAra-AdIni liFgAni pRTivyAm yAni kAnicid /
   tāni dṛṣṭvā ca yatpuṇyaṃ tatpuṇyaṃ rasadarśanāt // RCint_1.22 //	tAni dRzwvA ca yat-puNyam tat-puNyam rasa-darSanAt // RCint-_1.22 //
   candanāgurukarpūrakuṅkumāntargato rasaḥ /	candana-aguru-karpUra-kuFkuma-antargataH rasaH /
   mūrchitaḥ śivapūjā sā śivasāṃnidhyasiddhaye // RCint_1.23 //	mUrCitaH Siva-pUjA sA Siva-sAMniDya-sidDaye // RCint-_1.23 //
   bhakṣaṇātparameśāni hanti tāpatrayaṃ rasaḥ /	BakzaNAt-parameSAni hanti tApa-trayam rasaH /
   durlabhaṃ brahmaviṣṇvādyaiḥ prāpyate paramaṃ padam // RCint_1.24 //	durlaBam brahma-vizNu-AdyEH prApyate paramam padam // RCint-_1.24 //
   hṛtpadmakarṇikāntaḥsthaṃ rasendraṃ parameśvari /	hRd-padma-karNikA-antaHsTam rasendram parameSvari /
   smaranvimucyate pāpaiḥ sadyo janmāntarārjitaiḥ // RCint_1.25 //	smaran-vimucyate pApEH sadyas janma-antara-arjitEH // RCint-_1.25 //
   svayambhūliṅgasāhasrairyatphalaṃ samyagarcanāt /	svayamBU-liFga-sAhasrEH-yat-Palam samyak-arcanAt /
   tatphalaṃ koṭiguṇitaṃ rasaliṅgārcanādbhavet // RCint_1.26 //	tat-Palam kowi-guNitam rasaliFga-arcanAt-Bavet // RCint-_1.26 //
   rogibhyo yo rasaṃ datte śuddhipākasamanvitam /	rogiByaH yaH rasam datte SudDi-pAka-samanvitam /
   tulādānāśvamedhānāṃ phalaṃ prāpnoti śāśvatam // RCint_1.27 //	tulA-dAna-aSvameDAnAm Palam prApnoti SASvatam // RCint-_1.27 //
   rasavidyā parā vidyā trailokye'pi ca durlabhā /	rasa-vidyA parA vidyA trElokye-api ca durlaBA /
   bhuktimuktikarī yasmāttasmājjñeyā guṇānvitā // RCint_1.28 //	Bukti-mukti-karI yasmAt-tasmAt-jQeyAH guNa-anvitAH // RCint-_1.28 //
   brahmajñānena so'yukto yaḥ pāpī rasanindakaḥ /	brahma-jQAnena saH-ayuktaH yaH pApI rasa-nindakaH /
   nāhaṃ trātā bhave tasya janmakoṭiśatairapi // RCint_1.29 //	na-aham trAtA Bave tasya janma-kowi-SatEH-api // RCint-_1.29 //
   ālāpaṃ gātrasaṃsparśaṃ yaḥ kuryādrasanindakaiḥ /	AlApam gAtra-saMsparSam yaH kuryAt-rasa-nindakEH /
   yāvajjanmasahasrāṇi sa bhavetpāpapīḍitaḥ // RCint_1.30 //	yAvat-janma-sahasrANi sa Bavet-pApa-pIxitaH // RCint-_1.30 //
   hemajīrṇo bhasmasūto rudratvaṃ bhakṣito diśet /	hema-jIrNaH Basma-sUtaH rudra-tvam BakzitaH diSet /
   viṣṇutvaṃ tārajīrṇastu brahmatvaṃ bhāskareṇa tu // RCint_1.31 //	vizNu-tvam tAra-jIrNaH-tu brahma-tvam BAskareNa tu // RCint-_1.31 //
   tīkṣṇajīrṇo dhaneśatvaṃ sūryatvaṃ cāpi tālake /	tIkzNa-jIrNaH DaneSa-tvam sUrya-tvam ca-api tAlake /
   rājare tu śaśāṅkatvamamaratvaṃ ca rohaṇe // RCint_1.32 //	rAjare tu SaSAFka-tvam-amara-tvam ca rohaNe // RCint-_1.32 //
   sāmānyena tu tīkṣṇena naraḥ śakratvamāpnuyāt // RCint_1.33 //	sAmAnyena tu tIkzNena naraH Sakra-tvam-ApnuyAt // RCint-_1.33 //
   doṣahīno raso brahmā mūrchitastu janārdanaḥ /	doza-hInaH rasaH brahmA mUrCitaH-tu janArdanaH /
   mārito rudrarūpī syād baddhaḥ sākṣāt sadāśivaḥ // RCint_1.34 //	mAritaH rudra-rUpI syAt badDaH sAkzAt sadASivaH // RCint-_1.34 //
   īdṛśasya guṇānāṃ paryavasānamambujasambhavo'pi mahākalpairapi	IdRSasya guNAnAm paryavasAnam-ambuja-samBavaH-api mahA-kalpEH-api
   vacobhirnāsādayitumalamityalaṃ bahunā // RCint_1.35 //	vacoBiH-na-AsAdayitum-alam-iti-alam bahunA // RCint-_1.35 //
   yadyanmayākriyata kārayituṃ ca śakyaṃ sūtendrakarma tadiha	yat-yat-mayA-akriyata kArayitum ca Sakyam sUtendra-karma tat-iha
   prathayāṃbabhūve /	praTayAMbaBUve /
   adhyāpayanti ya idaṃ natu kārayanti kurvanti nedamadhiyantyubhaye	aDyApayanti ye idam na-tu kArayanti kurvanti na-idam-aDiyanti-uBaye
   mṛṣārthāḥ // RCint_1.36 //	mRzA-arTAH // RCint-_1.36 //
   RCint, 2	RCint, 2
   atha mūrcchanādhyāyaṃ vyācakṣmahe // RCint_2.1 //	aTa mUrcCanA-aDyAyam vyAcakzmahe // RCint-_2.1 //
   <mūrcchanā:: (medic.) definition>	<mUrcCanA:: (medi-c.) defi-nition>
   avyabhicaritavyādhighātakatvaṃ mūrcchanā // RCint_2.2 //	avyaBicarita-vyADi-GAtaka-tvam mUrcCanA // RCint-_2.2 //
   tattattantranigaditadevatāparicaraṇasmaraṇānantaraṃ	tad-tad-tantra-nigadita-devatA-paricaraNa-smaraNa-anantaram
   tattacchodhanaprakriyābhir bahvībhiḥ pariśuddhānāṃ rasendrāṇāṃ	tad-tad-SoDana-prakriyABiH bahvIBiH pariSudDAnAm rasendrANAm
   tṛṇāraṇimaṇijanyavahṇinyāyena tāratamyam avalokamānaiḥ sūkṣmamatibhiḥ	tRNa-araNi-maNi-janya-vahNi-nyAyena tAratamyam avalokamAnEH sUkzma-matiBiH
   palārdhenāpi kartavyaḥ saṃskāraḥ sūtakasya ceti rasārṇavavacanād	pala-arDena-api kartavyaH saMskAraH sUtakasya ca-iti rasArNava-vacanAt-
   vyāvahārikatolakadvayaparimāṇenāpi pariśuddho raso mūrchayitavyaḥ //	vyAvahArika-tolaka-dvaya-parimANena-api pariSudDaH rasaH mUrCayitavyaH //
   RCint_2.3 //	RCint-_2.3 //
   mūrcchanāprakārastu bahuvidhaḥ // RCint_2.4 //	mUrcCanA-prakAraH-tu bahuviDaH // RCint-_2.4 //
   <jāraṇa:: central for medic. activation of mercury>	<jAraNa:: centrat foH medic. activation of mercuH-y>
   rasaguṇabalijāraṇaṃ vināyaṃ na khalu rujāharaṇakṣamo rasendraḥ /	rasa-guNa-bali-jAraNam vinA-ayam na Kalu rujA-haraNa-kzamaH rasendraH /
   na jaladakaladhautapākahīnaḥ spṛśati rasāyanatāmiti prasiddhiḥ //	na jalada-kalaDOta-pAka-hInaH spRSati rasAyana-tAm-iti prasidDiH //
   RCint_2.5 //	RCint-_2.5 //
   <vālukāyantra>	<vAlukAyantra>
   tannimittakaṃ sikatāyantradvayaṃ kathyate // RCint_2.6 //	tad-nimittakam sikatAyantra-dvayam kaTyate // RCint-_2.6 //
   yathā niravadhiniṣpīḍitamṛdambarādipariliptām atikaṭhinakācaghaṭīm agre	yaTA niravaDi-nizpIxita-mRd-ambara-Adi-pariliptAm ati-kaWina-kAca-GawIm agre
   vakṣyamāṇaprakārāṃ rasagarbhiṇīm adhastarjanyaṅgulipramāṇitacchidrāyām	vakzyamANa-prakArAm rasa-garBiNIm aDas-tarjanI-aFguli-pramANita=-CidrAyAm
   anurūpasthālikāyām āropya paritastāṃ dvitryaṅgulimitena lavaṇena	anurUpa-sTAlikAyAm Aropya paritas-tAm dvi-tri-aFguli-mitena lavaNena
   nirantarālīkaraṇapuraḥsaraṃ sikatābhir ā galam āpūrya vardhamānakam	nirantara-AlIkaraNa-puraHsaram sikatABiH A galam ApUrya varDamAnakam
   āpūraṇīyaṃ kramataśca tricaturāṇi pañcaṣāṇi vā vāsarāṇi jvalanajvālayā	ApUraNIyam kramataH-ca tricaturANi paQcazANi vA vAsarANi jvalana-jvAlayA
   pācanīyam ityekaṃ yantram // RCint_2.7 //	pAcanIyam iti-ekam yantram // RCint-_2.7 //
   <vālukāyantra>	<vAlukAyantra>
   hastaikamātrapramāṇavasudhāntarnikhātāṃ prāgvatkācaghaṭīṃ nāticipiṭamukhīṃ	hasta-eka-mAtra-pramANa-vasuDA-antar-niKAtAm prAgvat-kAca-GawIm na-ati-cipiwa-muKIm
   nātyuccamukhīṃ maṣībhājanaprāyāṃ kharparacakrikayā kācacakrikayā vā	na-ati-ucca-muKIm mazI-BAjana-prAyAm Karpara-cakrikayA kAca-cakrikayA vA
   niruddhavadanavivarāṃ mṛṇmayīṃ vā ghaṭīṃ vidhāya karīṣairupari puṭo deya	nirudDa-vadana-vivarAm mRNmayIm vA GawIm viDAya karIzEH-upari puwaH deya
   ityanyadyantram // RCint_2.8 //	iti-anyat-yantram // RCint-_2.8 //
   <jāraṇa:: further apparatus>	<jAraNa:: furTeH apparatus>
   asamaśakaladvayātmakalohasampuṭakena sikatāyantramadhye bhūdhare veti	asama-Sakala-dvaya-Atmaka-loha-sampuwakena sikatAyantra-maDye BUDare vA-iti
   trilocanaḥ // RCint_2.9 //	trilocanaH // RCint-_2.9 //
   <mercury:: jāraṇa>	<mercuH-y:: jAraNa>
   kūrmayantre rase gandhaṃ ṣaḍguṇaṃ jārayedbudhaḥ ityanye // RCint_2.10 //	kUrmayantre rase ganDam zaxguNam jArayet-buDaH iti-anye // RCint-_2.10 //
   <jāraṇa:: producing colour>	<jAraNa:: producing ca-ulouH->
   atra pakṣe rāgastathā na syāt tenādau pañcaguṇān jārayitvā śeṣaikaḥ	atra pakze rAgaH-taTA na syAt tena-AdO paQcaguNAn jArayitvA Seza-ekaH
   kūpikādau jāraṇīyastadā rāgaḥ sādhuḥ syāt // RCint_2.11 //	kUpikA-AdO jAraNIyaH-tadA rAgaH sADuH syAt // RCint-_2.11 //
   atra kajjalim antareṇa kevalagandhakamapi sātmyena jārayanti // RCint_2.12	atra kajjalim antareNa kevala-ganDakam-api sAtmyena jArayanti // RCint-_2.12
   <mercury:: jāraṇa:: sindūra colour>	<mercuH-y:: jAraNa:: sindUra ca-ulouH->
   kūpīkoṭaramāgataṃ rasaguṇairgandhaistulāyāṃ vibhuṃ vijñāya jvalanakrameṇa	kUpI-kowaram-Agatam rasa-guNEH-ganDEH-tulAyAm viBum vijQAya jvalana-krameNa
   sikatāyantre śanaiḥ pācayet /	sikatAyantre SanEs pAcayet /
   vāraṃvāramanena vahṇividhinā gandhakṣayaṃ sādhayet sindūradyutito'nubhūya	vAraMvAram-anena vahNi-viDinA ganDa-kzayam sADayet sindUra-dyutitaH-anuBUya
   bhaṇitaḥ karmakramo'yaṃ mayā // RCint_2.13 //	BaNitaH karma-kramaH-ayam mayA // RCint-_2.13 //
   <rasasindūra:: production>	<rasasindUra:: productiA-Un>
   āroṭakam antareṇa hiṅgulagandhakābhyāṃ piṣṭābhyāmapi rasasindūraḥ	Arowakam antareNa hiFgula-ganDakAByAm pizwAByAm-api rasasindUraH
   saṃpādyaḥ // RCint_2.14 //	saMpAdyaH // RCint-_2.14 //
   <piṣṭī/kajjalī (?)>	<pizwI-/-kajjalI (?)>
   triguṇam iha rasendramekamaṃśaṃ kanakapayodharatārapaṅkajānām /	triguNam iha rasendram-ekam-aMSam kanaka-payoDara-tAra-paFkajAnAm /
   rasaguṇabalibhir vidhāya piṣṭiṃ racaya nirantarambubhiḥ kumāryāḥ //	rasa-guNa-baliBiH viDAya pizwim racaya nirantarambuBiH kumAryAH //
   RCint_2.15 //	RCint-_2.15 //
   ā ṣaḍguṇam adharottarasamādibalijāraṇena yojyeyam /	A zaxguNam aDara-uttara-samAdi-bali-jAraNena yojyA-iyam /
   yoge piṣṭiḥ pācyā kajjalikārthaṃ jāraṇārthaṃ ca // RCint_2.16 //	yoge pizwiH pAcyA kajjalikA-arTam jAraNa-arTam ca // RCint-_2.16 //
   prakāro'yam adhoyantreṇaiva sidhyati na punarūrdhvayantreṇa // RCint_2.17	prakAraH-ayam aDas-yantreNa-eva siDyati na punar-UrDva-yantreNa // RCint-_2.17
   <bottle:: appr. material>	<bA-uttle:: appr. mateH-ial>
   kācamṛttikayoḥ kūpī hemno'yastārayoḥ kvacit /	kAca-mRttikayoH kUpI hemnaH-ayaH-tArayoH kvacid /
   <bottle:: appr. coating>	<bA-uttle:: appr. ca-uating>
   kīlālāyaḥkṛto lepaḥ khaṭikālavaṇādhikaḥ // RCint_2.18 //	kIlAla-ayaH-kRtaH lepaH KawikA-lavaNa-aDikaH // RCint-_2.18 //
   anena yantradvitayena bhūri hemābhrasattvādyapi jārayanti /	anena yantra-dvitayena BUri hema-aBra-sattva-Adi-api jArayanti /
   yathecchamacchaiḥ sumanovicārair vicakṣaṇāḥ pallavayantu bhūyaḥ //	yaTecCam-acCEH su-manaH-vicArEH vicakzaNAH pallavayantu BUyas //
   RCint_2.19 //	RCint-_2.19 //
   <mercury:: rañjana:: antardhūma>	<mercuH-y:: raQjana:: antarDUma>
   antardhūmavipācitaśataguṇagandhena rañjitaḥ sūtaḥ /	antar-DUma-vipAcita-SataguNa-ganDena raQjitaH sUtaH /
   sa bhavetsahasravedhī tāre tāmre bhujaṅge ca // RCint_2.20 //	sa Bavet-sahasra-veDI tAre tAmre BujaFge ca // RCint-_2.20 //
   <mercury:: jāraṇa>	<mercuH-y:: jAraNa>
   sūtapramāṇaṃ sikatākhyayantre dattvā baliṃ mṛdghaṭite 'lpabhāṇḍe /	sUta-pramANam sikata-AKya-yantre dattvA balim mRd-Gawite alpa-BANxe /
   tailāviśeṣe 'tra rasaṃ nidadhyānmagnārdhakāyaṃ pravilokya bhūyaḥ //	tEla-aviSeze atra rasam nidaDyAt-magna-arDa-kAyam pravilokya BUyas //
   RCint_2.21 //	RCint-_2.21 //
   ā ṣaḍguṇaṃ gandhakam alpam alpaṃ kṣipedasau jīrṇabalirbalī syāt /	A zaxguNam ganDakam alpam alpam kzipet-asO jIrNa-baliH-balI syAt /
   raseṣu sarveṣu niyojito'yamasaṃśayaṃ hanti gadaṃ javena // RCint_2.22 //	rasezu sarvezu niyojitaH-ayam-asaMSayam hanti gadam javena // RCint-_2.22 //
   nāgādiśulvādibhir atra piṣṭiṃ vādeṣu yogeṣu ca nikṣipanti // RCint_2.23 //	nAga-Adi-Sulva-AdiBiH atra pizwim vAdezu yogezu ca nikzipanti // RCint-_2.23 //
   <mercury:: nigaḍa>	<mercuH-y:: nigaxa>
   snuhyarkasambhavaṃ kṣīraṃ brahmabījāni gugguluḥ /	snuhI-arka-samBavam kzIram brahma-bIjAni gugguluH /
   saindhavaṃ dviguṇaṃ mardyaṃ nigaḍo'yaṃ mahottamaḥ // RCint_2.24 //	sEnDavam dviguNam mardyam nigaxaH-ayam mahA-uttamaH // RCint-_2.24 //
   <mercury:: rasasindūra? nigaḍa?>	<mercuH-y:: rasasindUra? nigaxa?>
   mārakāmbusitasaindhavamiśraḥ kūpikodaragataḥ sikatāyām /	mAraka-ambu-sita-sEnDava-miSraH kUpikA-udara-gataH sikatAyAm /
   pācito yadi muhurmuhuritthaṃ bandhamṛcchati tadaiṣa rasendraḥ //	pAcitaH yadi muhur-muhur-itTam banDam-RcCati tadA-eza rasendraH //
   RCint_2.25 //	RCint-_2.25 //
   sthālyāṃ dṛḍhaghaṭitāyām ardhaṃ paripūrya tūryalavaṇāṃśaiḥ /	sTAlyAm dRXa-GawitAyAm arDam paripUrya tUrya-lavaNa-aMSEH /
   rakteṣṭikārajobhistadupari sūtasya turyāṃśam // RCint_2.26 //	rakta-izwikA-rajoBiH-tad-upari sUtasya turya-aMSam // RCint-_2.26 //
   sitasaindhavaṃ nidhāya sphaṭikārīṃ tatsamāṃ ca tasyordhve /	sita-sEnDavam niDAya sPawikArIm tad-samAm ca tasya-UrDve /
   sphaṭikāridhavalasaindhavaśuddharasaiḥ kanyakāmbuparighṛṣṭaiḥ //	sPawikAri-Davala-sEnDava-SudDa-rasEH kanyakA-ambu-pariGRzwEH //
   RCint_2.27 //	RCint-_2.27 //
   kṛtvā parpaṭamucitaṃ taduparyādhāya tadvadeva punaḥ /	kRtvA parpawam-ucitam tad-upari-ADAya tadvat-eva punar /
   sphaṭikārisaindhavarasau dadyāditaḥ skhalato rasasya // RCint_2.28 //	sPawikAri-sEnDava-rasO dadyAt-itas sKalataH rasasya // RCint-_2.28 //
   lābhāya tadupari kharparakhaṇḍakān dhṛtvāparayā dṛḍhasthālyā /	lABAya tad-upari Karpara-KaNxakAn DRtvA-aparayA dRXa-sTAlyA /
   ācchādya mudrayitvā divasatritayaṃ pacedvidhinā // RCint_2.29 //	AcCAdya mudrayitvA divasa-tritayam pacet-viDinA // RCint-_2.29 //
   atrānuktamapi bhallātakaṃ dadati vṛddhāḥ pāradatulyam // RCint_2.30 //	atra-anuktam-api BallAtakam dadati vRdDAH pArada-tulyam // RCint-_2.30 //
   RCint, 3	RCint, 3
   athāto bandhanādhyāyaṃ vyācakṣmahe /	aTa-atas banDana-aDyAyam vyAcakzmahe /
   svābhāvikadravatve sati vahninānucchidyamānatvaṃ mūrtibaddhatvam //	svABAvika-drava-tve sati vahninA-anucCidyamAna-tvam mUrti-badDa-tvam //
   RCint_3.1 //	RCint-_3.1 //
   vipinauṣadhipākasiddham etadghṛtatailādyapi durnivāravīryam /	vipina-ozaDi-pAka-sidDam etat-GRta-tEla-Adi-api durnivAra-vIryam /
   kimayaṃ punar īśvarāṅgajanmā ghanajāmbūnadacandrabhānujīrṇaḥ // RCint_3.2	kim-ayam punar ISvara-aFga-janmA Gana-jAmbUnada-candra-BAnu-jIrNaH // RCint-_3.2
