   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   tasmād yatheccham avicchedam evedaṃ prastūyatām |	tasmAt yaTecCam avicCedam eva idam prastUyatAm |
   [4]madhukaṇṭha uvāca 	[4] maDu kaNWaH uvAca 
   mukhaṃ śaśimukhī gaṇa pracura moha saṃrohaṇaṃ	muKam SaSi muKI  gaNa  pracura  moha  saMrohaNam
   dṛśor yugam amūdṛśāṃ mṛga dṛśāṃ ghūrṇanam |	dRSoH yugam amUdRSAm mRga dRSAm GUrNanam |
   tanuḥ sutanu maṇḍalī dhṛti vikhaṇḍanī śrī hares	tanuH su tanu  maNxalI  DRti  viKaNxanI SrI  hareH 
   tadājani yadā janiṃ mṛgayate sma rāsotsavaḥ ||JGc_1,23.4|| [pṛthvī]	tadA ajani yadA janim mRgayate sma rAsa utsavaH ||JGc_1,23.4|| [pRTvI]
   mukhaṃ vidhu vimohanaṃ nayanam abja dṛg lobhanaṃ	muKam viDu vimohanam nayanam ap ja  dRS  loBanam
   rucir ghana rucī hita prathama saṅga raṅga pradā |	ruciH Gana rucI  hita  praTama  saFga raFga  pradA |
   ramā ramaṇa rāmaṇīyaka vibhūṣi rāmāvales	ramA ramaNa  rAmaNIya ka viBUzi  rAma avaleH 
   tadājani yadā janiṃ mṛgayate sma rāsotsavaḥ ||JGc_1,23.5|| [pṛthvī]	tadA ajani yadA janim mRgayate sma rAsa utsavaH ||JGc_1,23.5|| [pRTvI]
   [5] atha pūrva krameṇa pūrṇimāśrame pūrṇāḥ pulindyaḥ [BhP 10.21.17] ity	[5] aTa pUrva krameNa pUrNima ASrame pUrNAH pulindyaH [Bhu 10.21.17] iti 
   ādié vṛtte nirvṛtte satya pūrnaṃ manyatayā rādhikā mātra karṣāya haris	Adié vRtte nirvRtte satya  pUrnaM manyatayA rADikA  mAtra  karzAya haris
   tarṣaṃ dhṛtavān katham aho, nibhṛtamīdaṃ sambhṛtaṃ syāt?iti |	tarzam DRtavAn  kaTam aho, niBRtam Idam samBRtam syAt ?iti |
   [6] tatra kācit tat kuṅkuma lipta carī vana carī śrī rādhām anu karuṇayā	[6] tatra kAcid tat kuFkuma lipta carI vana carI SrI rADAm anu karuNayA
   taruṇāruṇa kamala locanam uvāca 	taruNa aruNa  kamala  locanam uvAca 
   tava muralīm iva nitarāṃ viṣama śaraḥ sa vijito bhavatā |	tava muralIm iva nitarAm vizama SaraH sa vijitaH BavatA |
   ahaha na jāne katham iva śuṣkāṃ biddhāṃ ca tām kurute ||JGc_1,23.6||	ahaha na jAne kaTam iva SuzkAm bidDAm ca tAm kurute ||JGc_1,23.6||
   [upagīti]	[upagIti]
   [7] tadā ca vana gīrvāṇibhir ākāśa vāṇīyam udbhāvitā 	[7] tadA ca vana gIrvANiBiH AkASa vANIyam udBAvitA 
   śuṣkā tapta śalākayā ca parito biddhā suvaṃśodbhavā	SuzkA tapta  SalAkayA ca paritas bidDA su vaMSa udBavA
   seyaṃ te muralī priyeti niyataṃ vijñātavān manmathaḥ|	sA iyam te muralI priyA iti niyatam vijQAtavAn manmaTaH|
   tāṃ śuṣyad vapuṣaṃ vidhāya kulajāṃ bāṇair nijaiḥ pañcabhir	tAm Suzyat  vapuzam viDAya kula jAm bANEH nijEH paQcaBiH 
   biddhāṅgīṃ vidadhāti hā bakaripo tvat prītaye samprati ||JGc_1,23.7||	bidDa aFgIm vidaDAti hA baka ripaH tu at  prItaye samprati ||JGc_1,23.7||
   [śārdūla vikrīḍītam]	[SArdUla vikrIxItam]
   [8] tarhy eva cādhīratayā bhraman vanamālī kvacana tamāle kuṅkumālekham	[8] tarhi eva ca aDIra tayA Braman vanamAlI kvacana tamAle kuFkuma AleKam
   imam ālokayāmāsa 	imam AlokayAmAsa 
   ānaṅgārcir bhinnā tvad atiśubhagāṅgāvṛta manā	AnaFga arciH BinnA tvad  ati SuBa gAFgAvRta manA
   muralyāṃ rāga śrī parimala kulaṃ sambhṛtavatī |	muralyAm rAga  SrI  parimala kulam samBRtavatI |
   sadā śyāmāṃ kāntiṃ diśī vidiśi cābhāvayamato	sadA SyAmAm kAntim diSI vidiSi ca aBAvayamatas 
   mayāptaṃ kṛṣṇatvaṃ tad api na hi kṛṣṇa tvam abhitaḥ ||JGc_1,23.8||	mayA Aptam kRzNa tvam tat api na hi kRzNa tvam aBitas ||JGc_1,23.8||
   [śikhariṇī]	[SiKariNI]
   [9] tad etan niśamana pūrvakān niśāmanān muraśamanena tad idaṃ	[9] tat etat niSamana  pUrvakAn niSAmanAt mura Samanena tat idam
   vicāritam hanta hanta ! rādhāyā eveyam asādhāraṇa vāg arthavatī lipiḥ |	vicAritam  hanta hanta ! rADAyAH eva iyam asADAraNa  vAc  arTavatI lipiH |
   seyaṃ sambhavet | evam api kula janmatayā tayā manmatha vikāram	sA iyam samBavet | evam api kula janma tayA tayA manmaTa  vikAram
   ācchādayantyā sthīyate | tasmān nikhilāvṛti dhvaṃsanaṃ vaṃśī śaṃsanaṃ	AcCAdayantyA sTIyate | tasmAt niKila AvRti  DvaMsanam vaMSI  SaMsanam
   paraṃ mama śaraṇam iti |	param mama SaraNam iti |
   [10] tad evaṃ rādhā sudhā durbhikṣāditas titikṣām abhajan sa punar	[10] tat evam rADA  suDA durBikzA AditaH titikzAm aBajan sa punar 
   veṇu śikṣā bhikṣam eva kevalāṃ sevate sma, yatra varṣā api tarṣākaratayā	veNu SikzA Bikzam eva kevalAm sevate sma, yatra varzAH api tarzAkara tayA
   vyatīyuḥ, samṛddha gardhanatayā śarad apy ardhaṃ vardhate sma |	vyatIyuH, samRdDa  garDana tayA Sarad api arDam varDate sma |
   [11] tatrāha, rahaḥ śikṣā tu yathā 	[11] tatra aha, rahaH SikzA tu yaTA 
   yarhy ākarṣa vidhiṃ harir muralikā śikṣāsu tasyāh kramāc	yarhi Akarza  viDim hariH muralikA  SikzAsu tasyAh kramAt 
   cakre tarhi gatāś cirāt para para kṣobhās ta ete tayā |	cakre tarhi gatAH cirAt para para kzoBAH te ete tayA |
   kampo ghūrṇanam āsanād vicalanaṃ dvitra kramā vāstuto	kampaH GUrNanam AsanAt vicalanam dvitra kramA vAstuto
   niṣkrāntir vana vartma vartanam upavrajyā ca dūrādhvani ||JGc_1,23.9||	nizkrAntiH vana vartma  vartanam upavrajyA ca dUra aDvani ||JGc_1,23.9||
   [śārdūla]	[SArdUla]
   kiṃ ca 	kim ca 
   rādhākarṣa kṛte kṛtā muralikā śikṣātha yā yā tadā	rADA karza kRte kRtA muralikA  SikzA aTa yA yA tadA
   sā sā tena sadāśayā valayitāpy āsīd alaṃ niṣkalā |	sA sA tena sadA ASayA valayitA api AsIt alam nizkalA |
   tām etāṃ nata kandharaḥ sa pulakaṃ vande' ham uccaiḥ sadā	tAm etAm nata  kanDaraH sa pulakam vande a ham uccEs sadA
   yā kṛṣṇasya manorathāvalim aho pūrṇam akārsīn muhuḥ ||JGc_1,23.10||	yA kRzNasya manoraTa Avalim aho pUrNam akArsIt muhur ||JGc_1,23.10||
   [śārdūla vikrīḍītam]	[SArdUla vikrIxItam]
   [12] tathā hi, tad evaṃ prāvṛṣi veṇu śikṣā parīkṣā tṛṣṇag asau kṛṣṇaḥ	[12] taTA hi, tat evam prAvRzi veNu  SikzA  parIkzA  tRzNaj asO kRzNaH
   samayaṃ pratīkṣamāṇaḥ śaral lakṣmīm āgatāṃ lakṣitavān | lakṣayann eva ca	samayam pratIkzamANaH Saral  lakzmIm AgatAm lakzitavAn | lakzayan eva ca
   vicāritavān 	vicAritavAn  
   [13] iyaṃ khalu svabhāvataḥ svacchā mal līlā paricchadatāṃ yadi gacchati,	[13] iyam Kalu svaBAvataH su acCA mal lIlA  paricCadatAm yadi gacCati,
   tadā pramadāvalim ṛcchāmaḥ | kintu, samaya mayatayā sarvavaśya kāriṇam api	tadA pramadA Avalim RcCAmaH | kintu, samaya maya tayA sarva vaSya  kAriNam api
   bhāvaṃ vaśyaṃ kurvatīm enāṃ paśyāmi, yathā mām api rādhā |	BAvam vaSyam kurvatIm enAm paSyAmi, yaTA mAm api rADA |
   [14] tato yady asyāṃ api vaśyatām vyasyan bhāvāntara bhāvitatvaṃ	[14] tatas yadi asyAm api vaSya tAm vyasyan BAva antara  BAvita tvam
   bhāvayituṃ prabhavāmi, tad ārādhāyām api tad ādhānāya nirbādhatāṃ gatavān	BAvayitum praBavAmi, tad  ArADAyAm api tad  ADAnAya nirbADa tAm gatavAn
   asmīty avadadhāmi |	asmi iti avadaDAmi |
   [15] tad evaṃ vicārayann agrecaraṃ maṅgalaṃ vilocayann uvāca āho !	[15] tat evam vicArayan agrecaram maFgalam vilocayan uvAca AhaH !
   śvo vasīyasam evādhyavasīyate | yataḥ 	Svas  vasIyasam eva aDyavasIyate | yatas  
   khañjana khelā rañjita kañja nayanaṃ nayan vidhiḥ sa mama |	KaQjana   KelA  raQjita  kaQja   nayanam nayan viDiH sa mama |
   rādhā mañjula netra sphurad ānanam āsu sañjayitā ||JGc_1,23.11|| [upagīti]	rADA  maQjula  netra  sPurat  Ananam Asu saQjayitA ||JGc_1,23.11|| [upagIti]
   [16] tad etacchubha ṣakunamanubhavatā, yāvat paurṇamāsaṃṃā sameva sarvata	[16] tat etat SuBa zakunam anuBavatA, yAvat pOrNamAsaMMA sameva sarvata
   eva veṇudhareṇa ve nusvanacaryāsañcāryate sma | tataś ca 	eva veNuDareNa ve nusvana caryA saQcAryate sma | tatas ca 
   vaṃśī kalād udayataḥ śaradi prabhāvān	vaMSI kalAt udayataH Saradi praBAvAn
   mallībhir apy atula phulla daśāṃ gatābhiḥ |	mallIBiH api atula  Pulla daSAm gatABiH |
   rātrīr nibhālya muhur ullasitāh sa ṛāma 	rAtrIH niBAlya muhur ullasitAh saH RAma 
   bhrātā ratiṃ rati kṛte' kṛta vallavībhiḥ ||JGc_1,23.12|| [vasantatilakā]	BrAtA ratim rati kRte a kRta vallavIBiH ||Ju c_1,23.12|| [vasanta tilakA]
   [17] tataś ca tūrṇam eva pūrṇa candrā bahu tithī tithir atithir iva tasya	[17] tatas ca tUrNam eva pUrNa candrA bahu tiTI tiTiH atiTiH iva tasya
   prasannatāṃ vidhātum āsannavatī | tatra cājñāyāhni vana vihāra śālī	prasanna tAm viDAtum AsannavatI | tatra ca AjQAya ahni vana  vihAra  SAlI
   vana mālī dhenūr ādāya vrajāgamanaṃ vidhāya sāyaṃ pratyavasāya	vana mAlI DenUH AdAya vraja Agamanam viDAya sAyam pratyavasAya
   nija candra śālikālindaṃ vindamānaḥ sphuṭam āditye' staṅgatya sthite	nija  candra SAli kAlindam vindamAnaH sPuwam Aditye a staFgatya sTite
   sa tārā samudayaṃ taṃ sāndra candrikaṃ candram udayantaṃ paśyaṃs	sa tArA  samudayam tam sAndra candrikam candram udayantam paSyan= 
   tad vaśya bhāva viśeṣa śleṣatas tad idaṃ cintayāmāsa 	tad  vaSya  BAva  viSeza  SlezataH tat idam cintayAmAsa 
   jāguḍa piṇḍa sapiṇḍaṃ kiṃ vidhu bimbaṃ tad etad unnamati |	jAguxa  piNxa  sapiNxam kim viDu  bimbam tat etat unnamati |
   kiṃ vā roṣāruṇa ruci mukham idam udbhāti kāmasya? ||JGc_1,23.13|| [āryā]	kim vA roza aruNa  ruci muKam idam udBAti kAmasya? ||JGc_1,23.13|| [AryA]
   punaś ca,	punar ca,
   kuṅkuma rasa saṅkulam iva kiṃ vidhu bimbaṃ puraḥ sphurati |	kuFkuma  rasa  saFkulam iva kim viDu bimbam puras sPurati |
   athavā rādhā mukham idam udayati yamunā vanāt purataḥ ? ||JGc_1,23.14||	aTavA rADA muKam idam udayati yamunA vanAt puratas ? ||JGc_1,23.14||
   [upagīti]	[upagIti]
   [18] tatra yadi vidhu bimbam evedaṃ, tadā tad idaṃ vibhāvyate 	[18] tatra yadi viDu bimbam eva idaM, tadA tat idam viBAvyate 
   pūrṇa candro' yam aindrīṃ haritam anugataḥ preyasīṃ dūradeśād	pUrNa candraH a yam EndrIm haritam anugataH preyasIm dUra deSAt 
   asyāvaktraṃ vilimpan ghusṛṇa śavaliteneva śaśvat kareṇa |	asya avaktram vilimpan GusRNa Savalitena iva SaSvat kareNa |
   tad vyājān mām amūdṛk kṛtim upadiśatīvādya sadyaḥ kiśoraṃ	tat  vyAjAt mAm amUdRk kRtim upadiSati iva adya sadyas kiSoram
   śubhrātmā yas tadīyaṃ bhavati viracanaṃ sarvato bhadram eva	SuBra AtmA yaH tadIyam Bavati viracanam sarvato Badram eva
   ||JGc_1,23.15|| [śārdūla]	||JGc_1,23.15|| [SArdUla]
   [19] kiṃ cāyam idam apy upadiśann iva sambhāvyate 	[19] kim ca ayam idam api upadiSan iva samBAvyate 
   vidhur ahaṃ haritaḥ pratidik pati 	viDuH aham haritaH pratidik pati 
   praṇayiṇi ramayan jana śarmadaḥ |	praNayiNi ramayan jana Sarma daH |
   tvam iha kiṃ nu vidho sthagitāyase	tvam iha kim nu viDaH sTagita Ayase
   para ramā ramaṇaṃ prati samprati? ||JGc_1,23.16|| [drutavilambita]	para  ramA ramaNam prati samprati? ||JGc_1,23.16|| [druta vilambita]
   [20] tad evaṃ sarvathaiva daivānukūlyataś candra candrikā sāndrita śubhaṃ	[20] tat evam sarvaTA eva dEva AnukUlyatas candra candrikA  sAndrita SuBam
   tasya kakubham eva gantuṃ śantur asmi, yataḥ 	tasya kakuBam eva gantum SantuH asmi, yatas  
   nikhilam eva vanaṃ vidhunāmunā	niKilam eva vanam viDunA amunA
   diśi diśi pratirañjitam īkṣyate |	diSi diSi pratiraQjitam Ikzyate |
   mad anukūlam idaṃ śakunaṃ bhaved	mad  anukUlam idam Sakunam Bavet 
   iti gatir mama tatra śubhāvahā ||JGc_1,23.17|| [drutavilambita]	iti gatiH mama tatra SuBa AvahA ||JGc_1,23.17|| [druta vilambita]
   [21] atha yadi kāmābhidhānasya kopa dhāmānanam idam, tadā viṣama bāṇasya	[21] aTa yadi kAma aBiDAnasya kopa  DAma Ananam idam, tadA vizama bANasya
   tasyānuyānam eva bhaya nirvāṇaṃ viśrāṇayati | yadi ca tasyā eva	tasya anuyAnam eva Baya nirvANam viSrANayati | yadi ca tasyAH eva
   kānti sadanaṃ vanam idaṃ vidyate, tadā tu sutarām eva tad diśaṃ praviśatas	kAnti  sadanam vanam idam vidyate, tadA tu sutarAm eva tat  diSam praviSatas
   tan mama śarma marma praviśatiti | kiṃ ca 	tat mama Sarma  marma praviSatiti | kim ca 
   rayāṇe vartate cittaṃṇrtyaty akṣīca dakṣiṇam |	rayANe vartate cittaMNrtyati akzIca dakziNam |
   tasmād vṛttaṃ caṇrtyaṃ ca kānt abhirbhavitāmama ||JGc_1,23.18|| [anuṣṭubh]	tasmAt vRttam caNrtyam ca kAnt aBiH BavitAm ame ||Ju c_1,23.18|| [anuzwuB]
   [22] tad etad uṭṭaṅkya niṣṭaṅkya ca praṇaya paṇa santuṣṭaṃ	[22] tat etat uwwaFkya nizwaFkya ca praNaya paNa  santuzwam
   dāmādi kumāra catuṣṭayaṃ saṅgataḥ prasajya, tad dvārā nidrā vyājād anyān	dAma Adi  kumAra  catuzwayam saFgataH prasajya, tad  dvArAH nidrA  vyAjAt anyAn
   dvāra pālakatayā tatraiva saṃvalayya, nibhṛta kṛta pratīhārataś	dvAra pAlaka tayA tatra eva saMvalayya, niBRta  kRta  pratIhArataH 
   caraṇa vihāratas tām eva haritaṃ harir muralī dhara karatayānusaran	caraNa  vihArataH tAm eva haritam hariH muralI Dara karatayA anusaran
   dina kara tanayā tīram anvatīrṇavān | āvatīrya ca vicāritavān 	dina kara  tanayA  tIram anvatIrNavAn | AvatIrya ca vicAritavAn  
   na kruddha kāmānanam etad asti	na krudDa  kAma Ananam etat asti
   prayāti yac chubra daśām udañcat |	prayAti yat Subra daSAm udaQcat |
   viyogi rādhāsyam idaṃ ca na syād	viyogi  rADa Asyam idam ca na syAt 
   yataḥ kalaṅkādi bhaved vibhedi ||JGc_1,23.19|| [upajāti 11]	yatas kalaFka Adi Bavet viBedi ||Ju c_1,23.19|| [upajAti 11]
   [23] tataś ca mrga lāñchana evāyam iti niścitya punar vicāritavān 	[23] tatas ca mrga lAQCanaH eva ayam iti niScitya punar vicAritavAn  
   śārvaraṃ ṣarvarīśānaḥ saṃhartuṃ siṃhatāṃ gataḥ |	SArvaram zarvarISAnaH saMhartum siMha tAm gataH |
   pūrva parvatam ārohan sarvaṃ parvati parvaṇa ||JGc_1,23.20|| [anuṣṭubh]	pUrva parvatam Arohan sarvam parvati parvaNa ||Ju c_1,23.20|| [anuzwuB]
   kintu,	kintu,
   candramā rādhikā vaktram anukurvan virājate |	candramAH rADikA  vaktram anukurvan virAjate |
   tadākāram idaṃ cetaḥ kathaṃ mama vidūyate? ||JGc_1,23.21|| [anuṣṭubh]	tad AkAram idam cetaH kaTam mama vidUyate? ||JGc_1,23.21|| [anuzwuB]
   [24] punar vibhāvya candraṃ prati prāha sma 	[24] punar viBAvya candram prati prAha sma 
   anupama rucir asmi sarva lokeṣv	anupama ruciH asmi sarva lokezu 
   iti bhagavann amṛta dyute na dṛpya |	iti Bagavan amRta dyute na dRpya |
   na tu bhavad upamā daśāpi tasyāś	na tu Bavat  upamA daSA api tasya AS
   caraṇa nakhā vilasanti rādhikāyāh ||JGc_1,23.22|| [puṣpitāgrā]	caraNa naKAH vilasanti rADikAyAh ||JGc_1,23.22|| [puzpita agrA]
   [25] tad evaṃ vicintya samucita sthānaṃ vicitya dūrataś caturāṃś caturaḥ	[25] tat evam vicintya samucita  sTAnam vicitya dUratas caturAn caturaH
   kumāran vartmani vartamānatayā vidhāya, svayam upasaritam	kumAran vartmani vartamAna tayA viDAya, svayam upasaritam
   uccatara catvaram ātmanā rūḍhaṃ sandhāya, vraja diśam avadhāya, veṇuṃ	uccatara  catvaram AtmanA rUXam sanDAya, vraja  diSam avaDAya, veNum
   mukhe nidhāya, vādayiṣyamānaś cintayāmāsa prathamaṃ rādhā 	muKe niDAya, vAdayizyamAnaH cintayAmAsa  praTamam rADA 
   gamanam eva sādhayāmaḥ | tām vinā phalasya ca viphalatām kalayāmi |	gamanam eva sADayAmaH | tAm vinA Palasya ca viPala tAm kalayAmi |
   tad āgamana kamanīyatayā tu ramaṇīnāṃ anyāsām apy āgatir mama manasi	tat  Agamana  kamanIya tayA tu ramaNInAm anyAsAm api AgatiH mama manasi
   ramaṇīyatām āyāmam ānayati | kintu tad eva bhavyaṃ kathaṃ bhavyam ity eva	ramaNIya tAm AyAmam Anayati | kintu tat eva Bavyam kaTam Bavyam iti eva
   pratipattavyam | ām ām, bāṇa vidyā pravīṇenaiva vaiṇavikena mayā tathā	pratipattavyam | Am Am, bANa vidyA  pravINena eva vENavikena mayA taTA
   yoktavyam, yathā tena saivāviṣṭākṛṣṭā ca bhavati nāparā iti |	yoktavyam, yaTA tena sA eva Avizwa AkRzwA ca Bavati na aparA iti |
   [26] tad evaṃ sampradhāryāvadhārya ca tena, veṇum evaṃ vādayiṣyāmīti yadā	[26] tat evam sampraDArya avaDArya ca tena, veNum evam vAdayizyAmi iti yadA
   vicāryate sma, tadā ca tābhiḥ sāndra candrika candramasaḥ sandṛṣṭ vaśatayā	vicAryate sma, tadA ca tABiH sAndra candrika  candramasaH sandRzw  vaSa tayA
   sāndṛṣṭikam idaṃ parāmṛṣṭam 	sAndRzwikam idam parAmRzwam 
   hanta ! sa khalv ayam oṣadhīśo' py ādhi vyādhita janān asmān adya sadyaḥ	hanta ! sa Kalu ayam ozaDISaH a pi ADi vyADi ta  janAn asmAn adya sadyas 
   pratiritsed eva, na tu cikitset iti |	pratiritset eva, na tu cikitset iti |
   [27] tataś ca tat kṣaṇaṃ kiñcid vilakṣaṇaṃ śaśa lakṣmāṇam ālakṣya vṛndā	[27] tatas ca tat  kzaNam kiQcid vilakzaNam SaSa  lakzmANam Alakzya vRndA
   cedaṃ cintitavatī 	ca idam cintitavatI 
   hanta hanta !	hanta hanta !
   tāsāṃ kṛṣṇa viyogāgni bāṣpair viṣvag viniḥśrtaiḥ |	tAsAm kRzNa  viyoga agni  bAzpEH vizvak   viniHSrtEH |
   ādarśa iva paśyāndhaś candramā mandatāṃ gatah ||JGc_1,23.23|| [anuṣṭubh]	AdarSe iva paSya anDaH candramAH manda tAm gatah ||Ju c_1,23.23|| [anuzwuB]
   [28] atha camūru dṛśām amūṣāṃ muhur api saṃmukhatayā vaśīkṛtim ivāpannaḥ	[28] aTa camU ru dRSAm amUzAm muhur api saMmuKa tayA vaSIkRtim iva ApannaH
   śaśī svadiśi tadā madād unnatena kṛṣṇasya gabhasti śatena tasya sphūrtiṃ	SaSI sva diSi tadA madAt unnatena kRzNasya gaBasti Satena tasya sPUrtim
   samānināyeti |	samAninAya iti |
   [29] tad avalokanāya vyākulatākulāyamanāsu tāsu 	[29] tad  avalokanAya vyAkulatA Akula AyamanAsu tAsu 
   śāradena śaśinā hariṃ prati	SAradena SaSinA harim prati
   prasthitiḥ samam ayoji subhruvām |	prasTitiH samam ayoji suBruvAm |
   pratyayoji kila tena sā tadā	pratyayoji kila tena sA tadA
   maṅkṣu tasya muralī kalena tu ||JGc_1,23.24|| [rathoddhatā]	maFkzu tasya muralI kalena tu ||JGc_1,23.24|| [raTa udDatA]
   [30] yatas tadaiva ca 	[30] yatas tadA eva ca 
   anurāgeṇa rāgeṇa varṇa bhāgena mādhurīḥ |	anurAgeNa rAgeNa varNa BAgena mADurIH |
   kalayantaṃ kalaṃ veṇoḥ kalayāmāsa keśavaḥ ||JGc_1,23.25|| [anuṣṭubh]	kalayantam kalam veNoH kalayAmAsa keSavaH ||Ju c_1,23.25|| [anuzwuB]
   [31] tatrānurāgo yathā,	[31] tatra anurAgaH yaTA,
   sāśru kaṇṭha nayanaṃ sakaṇṭakaṃ	sa aSru  kaNWa  nayanam sa kaNwakam
   kampa sampad ayanaṃ sa mādhavaḥ |	kampa  sampad  ayanam sa mADavaH |
   rādhikā virahajādhibādhitaḥ	rADikA  viraha jADi bADitaH
   śravya veṇu kalabhavyam ājagau ||JGc_1,23.26|| [rathoddhatā]	Sravya  veNu  kalaBavyam AjagO ||JGc_1,23.26|| [raTa udDatA]
   [32] rāgo yathā 	[32] rAgaH yaTA 
   rāgam īdṛśam asāv acīkpat	rAgam IdRSam asO acIkpat 
   prāpa rāgaīva yaḥ priyā hṛdi |	prApa rAgaIva yaH priyA  hRdi |
   yaḥ sphuṭaṃ na rasitaḥ purā bhuvi	yaH sPuwam na rasitaH purA Buvi
   kvāpi nāmṛtavad aṅga viśrutaḥ ||JGc_1,23.27|| [rathoddhatā]	kvApi na amRta vat aFga viSrutaH ||Ju c_1,23.27|| [raTa udDatA]
   [33] tat praṇāda maya varṇa vibhāgo, yathā 	[33] tat  praNAda maya  varNa  viBAgo, yaTA 
   ayi sudhāṃśu sudhā mukhi rādhike	ayi suDAMSu  suDA  muKi rADike
   madhura bhāva dhurā madhu mādhavi |	maDura BAva  DurAH maDu mADavi |
   mayi sadā dayite dayite ciraṃ	mayi sadA dayite dayite ciram
   tava guṇair hṛdayaṃ mama dīryati ||JGc_1,23.28|| [drutavilambita]	tava guNEH hRdayam mama dIryati ||JGc_1,23.28|| [druta vilambita]
   [34] atha bāṇaīva veṇu nāde pravīṇaḥ svayamaṣav anena tasyāh siddhāṃ	[34] aTa bANaIva veNu nAde pravINaH svayam azau anena tasyAh sidDAm
   biddhatām avabudhya sudhy agraṇīr anyāś ca tan nyāyam ājuhāva | [35] tatra	bidDa tAm avabuDya suDy a graNIH anyAH ca tan nyAyam AjuhAva | [35] tatra
   varṇa vibhāgas tv evam 	varNa viBAgaH tu evam 
   ahaha gopa sutā mama gīḥ sitā	ahaha gopa sutA mama gIH sitA
   dharatha hanta manoratha durdharāḥ |	DaraTa hanta manoraTa  durDarAH |
   iti bhavāmi bhavaj jita lajjitas	iti BavAmi Bavat  jita  lajjita H 
   tad udayaṃ sudayaṃ kuruta priyāh ||JGc_1,23.29|| [drutavilambita]	tad  udayam su dayam kuruta priyAh ||JGc_1,23.29|| [druta vilambita]
   [36] atha yadā pīta vasanena gītam evam udgītam, tadā tāsam eva	[36] aTa yadA pIta  vasanena gItam evam udgItam, tadA tAsam eva
   karṇābhyarṇatām āgataṃ tatra ca yathāyatham abhirucitam eva cittī kṛtaṃ	karNa aByarNa tAm Agatam tatra ca yaTAyaTam aBirucitam eva cittI kRtam
   rāgādikam avadhārya nivārtyatātikrama niratāsthiratāh pratasthire | tatra	rAga Adikam avaDArya nivArtyatA atikrama  nirata asTira tAh pratasTire | tatra
   ca kṛṣṇābhimukhatām evātasthire, nānyat kim api | tathā hi,	ca kRzNa aBimuKa tAm eva AtasTire, na anyat kim api | taTA hi,
   yā yatra karmaṇi gatās tad anusthitiṃ tā	yAH yatra karmaNi gatAH tad  anusTitim tA
   vismṛtya tasya muralī śruti divya netrāh |	vismRtya tasya muralI  Sruti divya  netrAj |
   dṛśya prabhaṃ tam abhivavrajur aśru nīra 	dRSya  praBam tam aBivavrajuH aSru nIra 
   srotasvatī mayatayā nija jīvaneśam ||JGc_1,23.30|| [vasantatilakā]	srotasvatI maya tayA nija jIvana ISam ||JGc_1,23.30|| [vasanta tilakA]
   tadā ca 	tadA ca 
