   // smṛtyadhyāyaḥ //	// smRti-aDyAyaH //
   // dvitīyamāhnikam //	// dvitIyam-Ahnikam //
   evamanyeṣāmapi /	evam-anyezAm-api /
   pratyabhijñā tāvat grahaṇātmikaivetyeke; tathāhi--- "pratyabhijñāyāmapi	pratyaBijQA tAvat grahaNa-AtmikA-eva-iti-eke; taTA-hi-- "pratyaBijQAyAm-api
   smṛtiranubhava ityaṃśabhedosti cet" ityāśaṅkya pratyuktaṃ	smRtiH-anuBavaH iti-aMSa-Beda-usti cet" iti-ASaFkya pratyuktam
   śrīviṣṇucittaiḥ--- "yadi viṣayabhedaḥ, tadā aṃśabhedaḥ saṃbhavet;	SrI-vizNu-cittEH-- "yadi vizaya-BedaH, tadA aMSa-BedaH saMBavet-;
   aikyameva hi niraṃśaṃ pratyabhijñāpratyakṣaviṣayaḥ /	Ekyam-eva hi niraMSam pratyaBijQA-pratyakza-vizayaH /
   kathaṃ saṃskāraḥaparokṣadhījanakaḥ iti cet, na, cakṣurādīndriyasahakṛtasya	kaTam saMskAraHaparokzaDI-janakaH iti cet, na, cakzuH-Adi-indriya-sahakRtasya
   saṃskārasya jñāturaikyāt tadidamityaparokṣadhīhetutvopapatteḥ /	saMskArasya jQAtuH-EkyAt tat-idam-iti-aparokzaDI-hetutva-upapatteH /
   aparokṣārthaikyasādhikā /	aparokza-arTa-Ekya-sADikAH /
   sā pratyabhijñā soyaṃ vai pumānityevamātmikā /	sA pratyaBijQA soyam vE pumAn-iti-evam-AtmikAH /
   saṃskāramātrajanyatvānna smṛtirmānameva tat" //	saMskAra-mAtra-janya-tvAt-na smRtiH-mAnam-eva tat" //
   iti /	iti /
   dīpe ca 'anusmṛteśca' iti sūtre bhāṣitam- "pratyabhijñānācca na paṭādeḥ	dIpe ca aanusmRteH-ca-a iti sUtre BAzitam "pratyaBijQAnAt-ca na pawa-AdeH
   kṣaṇikatvam; tadevedamiti pratyabhijñāyate; pratyabhijñā hi	kzaNika-tvam; tat-eva-idam-iti pratyaBijQAyate; pratyaBijQA hi
   nāmātītavartamānakālavartyekavastuviṣayamekaṃ pratyakṣajñānam /	nAma-atIta-vartamAna-kAla-varti-eka-vastu-vizayam-ekam pratyakza-jQAnam /
   tasya kāladvayasambandhāviśiṣṭamekameva vastu viṣayaḥ /	tasya kAla-dvaya-sambanDa-aviSizwam-ekam-eva vastu vizayaH /
   na ca tadityaṃśaḥ smaraṇam, idamaṃśaśca grahaṇam,	na ca tat-iti-aMSaH smaraNam, idam-aMSaH-ca grahaNam,
   atītasambandhinīndriyasaṃprayogābhāvāt iti vācyam, tadidamiti	atIta-sambanDini-indriya-saMprayoga-aBAvAt iti vAcyam, tat-idam-iti
   sāmānādhikaraṇyena grahaṇasyaikatvasphuraṇāt /	sAmAnADikaraNyena grahaNasya-ekatva-sPuraNAt /
   pūrvānubhavajanitasaṃskārasacivendriyasaṃprayogayuktasya puruṣasya tathā	pUrva-anuBava-janita-saMskAra-saciva-indriya-saMprayoga-yuktasya puruzasya taTA
   grahaṇamupapadyata eva; anvayavyatirekādhīnaṃ hi sarvatra	grahaNam-upapadyate eva; anvaya-vyatireka-aDInam hi sarvatra
   sāmagrīparikalpanam" iti /	sAmagrI-parikalpa-nam" iti /
   anye tu atra dhībhedabāddhyaparihārau matvā tadidamaṃśayostadaṃśe	anye tu atra DI-Beda-bAdDya-parihArO matvA tat-idam-aMSayoH-tad-aMSe
   saṃskārānvayavyatirekānuvidhānadarśanāt parokṣarūpatayā idamaṃśe ca	saMskAra-anvaya-vyatireka-anuviDAna-darSanAt parokza-rUpa-tayA idam-aMSe ca
   patyakṣarūpatayā cobhayātmakatvamāhuḥ /	pati-akza-rUpa-tayA ca-uBaya-Atmaka-tvam-AhuH /
   tanmate saṃskārādhīnaprakāśā smṛtiriti lakṣaṇam, aparokṣajñānaṃ	tad-mate saMskAra-aDIna-prakASA smRtiH-iti lakzaNam, aparokza-jQAnam
   pratyakṣam, ubhayalakṣaṇayogāt pratyabhijñāyāmubhayātmakatvam, iti /	pratyakzam, uBaya-lakzaNa-yogAt pratyaBijQAyAm-uBaya-Atmaka-tvam, iti /
   abhyupagantavyaṃ cāsmatsiddhāntibhiḥ sarvaiḥ pratyakṣetarajñānānāṃ	aByupagantavyam ca-asmad-sidDAntiBiH sarvEH pratyakza-itara-jQAnAnAm
   parokṣāparokṣarūpatvam, svayaṃprakāśatvāt, sarvajñānānāṃ	parokza-aparokza-rUpa-tvam, svayaMprakASa-tvAt, sarva-jQAnAnAm
   vedyetarāṃśāpekṣayā ca pratyakṣatvāt /	vedya-itara-aMSa-apekzayA ca pratyakza-tvAt /
   uktaṃ cedaṃ śrīviṣṇucittairapi --- "svaprakāśakaṃ viṣayaprakāśakaṃ	uktam ca-idam SrI-vizNu-cittEH-api -- "sva-prakASakam vizaya-prakASakam
   caikameva jñānam; tatra smṛtriranubhūtiriti kuto bhedaḥ ?" iti paricodya,	ca-ekam-eva jQAnam; tatra smRtriH-anuBUtiH-iti kutas BedaH ?" iti paricodya,
   "prakāśamānabhedāt, iti brūmaḥ; yathā--- gaurayamityekasminneva jñāne	"prakASa-mAna-Beda-at, iti brUmaH; yaTA-- gOH-ayam-iti-ekasmin=-eva jQAne
   prakāriprakāraviṣayabhedena jñānāṃśabhedaḥ; yathā---	prakAri-prakAra-vizaya-Bedena jQAna-aMSa-BedaH; yaTA---
   gaurayamityekasminneva jñāne prakāriprakāraviṣayabhedena jñānāṃśabhedaḥ;	gOH-ayam-iti-ekasmin=-eva jQAne prakAri-prakAra-vizaya-Bedena jQAna-aMSa-BedaH;
   yathā ca ghaṭapaṭāvityekasminneva jñāneṃśabhedaḥ; yathā vā	yaTA ca Gawa-pawO=-iti-ekasmin=-eva jQAneMSa-BedaH; yaTA vA
   parābhyupagatabhramajñāneṣvadhiṣṭhānāṃśe prāmāṇyam, itaratrāprāmāṇyaṃ ca"	para-aByupagata-Brama-jQAnezu-aDizWAna-aMSe prAmANyam, itaratra-aprAmANyam ca"
   iti parihārāt; tathā "smṛteḥ svaprakāśāṃśopi saṃskāramātraja eva,	iti parihArAt; taTA "smRteH sva-prakASa-aMSa-upi saMskAra-mAtrajaH eva,
   indriyādipratiniyatakāraṇāntarābhāvāt" iti paricodya "naivam, jñānānāṃ	indriya-Adi-pratiniyata-kAraNa-antara-aBAva-at" iti paricodya "nEvam, jQAnAnAm
   prakāśamānatvasya svābhāvikatvāt" iti parihārācca /	prakASamAna-tvasya svABAvika-tva-at" iti parihArAt-ca /
   tasmāt sarvatra viṣayāpekṣayaiva aparokṣatvānumititvasmṛtitvādivibhāgaḥ /	tasmAt sarvatra vizaya-apekzayA-eva aparokzatva-anumiti-tva-smRti-tva-Adi-viBAgaH /
   jātisaṃkarāsaṃkarādi tu darśanādarśanābhyāṃ vyavasthāpyam,	jAti-saMkara-asaMkara-Adi tu darSana-adarSanAByAm vyavasTApyam,
   aupādhikasaṃkarādivacca /	OpADika-saMkara-Adi-vat-ca /
   tadevamubhayātmakatvopapatteḥ pratyabhijñāpyubhayātmikā iti //	tat-evam-uBaya-Atmaka-tva-upapatteH pratyaBijQA-api-uBaya-AtmikAH iti //
   nyā. pa. śa. 52 pratyabhijñāpyabhijñāvat tridhā cākṣādibhedataḥ /	nyA. pa. Sa. 52 pratyaBijQA-api-aBijQAvat triDA ca-akza-Adi-BedataH /
   tattatsaṃskārasaṃbhedamūlatvānnavadhā bhavet //	tad-tad-saMskAra-saMBeda-mUla-tva-anna-vaDAH Bavet //
   pratyakṣatoktirdīpādau pradarśanapareṣyatām /	pratyakza-toktiH-dIpa-AdO pradarSana-parezya-tAm /
   na hi liṅgādibhiḥ soyamiti jñānaṃ na jāyate //	na hi liFga-AdiBiH soyam-iti jQAnam na jAyate //
   śabdajaṃ pratyabhijñānamupajīvya pravartate /	Sabda-jam pratyaBijQAnam-upajIvya pravartate /
   śākhāntarādhikaraṇanyāyaśca kratuvidyayoḥ //	SAKA-antara-aDikaraNa-nyAyaH-ca kratu-vidyayoH //
   dīpādiṣviva sarvatra bādhakāderasaṃbhavāt /	dIpa-Adizu-iva sarvatra bADaka-AdeH-asaMBavAt /
   vigītaṃ pratyabhijñānaṃ pramāṇaṃ savikalpavat //	vigItam pratyaBijQAnam pramANam sa-vikalpavat //
   karaṇākaraṇādīnāṃ kālabhedādyupādhitaḥ /	karaNa-akaraNa-AdInAm kAla-Beda-Adi-upADitaH /
   avirodhānna bījādau śakyate bhedakalpanam //	aviroDAt-na bIja-AdO Sakyate Beda-kalpanam //
   anyathā deśabhedena karaṇākaraṇādibhiḥ /	anyaTA deSa-Bedena karaNa-akaraNa-AdiBiH /
   ekaṃ jagati naiva syāditi syāt sarvaśūnyatā //	ekam jagati na-eva syAt-iti syAt sarva-SUnyatA //
   tasmād viruddhasaṃspṛṣṭaviṣayapratyabhijñayā /	tasmAt virudDa-saMspRzwa-vizaya-pratyaBijQayA /
   sthiratvamātmanāṃ siddhaṃ bāhyānāmapi vāstavam //	sTira-tvam-AtmanAm sidDam bAhyAnAm-api vAstavam //
   nyā. pa. śa. 53 pratisandhānamapyātmagocaraṃ pratyabhijñāviśeṣa eva;	nyA. pa. Sa. 53 pratisanDAnam-api-Atma-gocaram pratyaBijQA-viSezaH eva;
   yohamadrākṣaṃ sa eva spṛśāmi, ityevamādirūpatvāt /	yoham-adrAkzam saH eva spRSAmi, iti-evamAdi-rUpa-tvAt /
   pratisandhirarthadvayaviṣayaikabuddhirityeke /	pratisanDiH-arTa-dvaya-vizaya-ekabudDiH-iti-eke /
   tatrāpi pṛthaganubhūtānekārthagocaraikakartṛkaikabuddhiriti pūraṇīyam, iti	tatra-api pRTak-anuBUta-aneka-arTa-gocara-eka-kartRka-ekabudDiH-iti pUraNIyam, iti
   saṃvādo nāma jñānajātyantaram, iti kecit; tadayuktam,	saMvAdaH nAma jQAna-jAti-antaram, iti kecit; tat-ayuktam-,
   saṃkhyāntarāsaṃbhavāt /	saMKyA-antara-asaMBavAt /
   yattu varadaviṣṇumiśrairuktam--- "gṛhītārthaviṣayaṃ śabdakāraṇakaṃ jñānaṃ	yat-tu vara-da-vizNu-miSrEH-uktam-- "gRhIta-arTa-vizayam Sabda-kAraNakam jQAnam
   saṃvādaḥ" iti, tadapi śābdāvāntarabhede saṃjñāviśeṣaniveśamātraparam;"na	saMvAdaH" iti, tat-api SAbda-avAntara-Bede saMjQA-viSeza-niveSa-mAtra-param;"na
   hi gṛhītārthaviṣayatve śabdaśaktiprasūtatvamapaiti;	hi gRhIta-arTa-vizaya-tve Sabda-Sakti-prasUta-tvam-apEti;
   gṛhītamātragocarapramāṇāntarepi tadanyatvaprasaṅgāt; bhavati hi	gRhIta-mAtra-gocara-pramANa-antarepi tad-anyatva-prasaFga-at; Bavati hi
   parvatoyamagnimāniti śabdaśravaṇānantaraṃ dhūmaṃ parāmṛśatopi tādṛśī	parva-toyam-agni-mAn-iti Sabda-SravaNa-anantaram DUmam parAmRSatopi tAdRSI
   buddhiḥ /	budDiH /
   tathā dvitīyayogipratyakṣādāvapi draṣṭavyam /	taTA dvitIya-yogi-pratyakza-AdO=-api drazwavyam /
   anapekṣitatvādikamapi śrutaviṣayānumānādau samam /	anapekzita-tva-Adikam-api Sruta-vizaya-anumAna-AdO samam /
   na cāpekṣāyuktaṃ prāmāṇyaṃ bhedobhedo vā, tṛṇādipratyakṣasyāpi tathā	na ca-apekzA-yuktam prAmANyam BedaH-BedaH vA, tRNa-Adi-pratyakzasya-api taTA
   prasaṅgāt" ityuktam /	prasaFga-at" iti-uktam /
   kimarthaṃ tarhi vedānāṃ vedāntānāṃ cāprāptaviṣayatvaṃ samarthyate ? iti	kimarTam tarhi vedAnAm vedAntAnAm ca-aprApta-vizaya-tvam samarTyate ? iti
   cet, atathāprāptau sākṣādaprāmāṇyaprasaṅgāt; tathāprāptāvapi	cet, ataTA-prAptO sAkzAt-aprAmANya-prasaFgAt; taTA-prAptO=-api
   anapekṣitatayā prekṣāvadbhirnirarthakaprayāsabhīrubhistyājyatvāpātena	anapekzita-tayA prekzAvadBiH-nirarTaka-prayAsa-BIruBiH-tyAjya-tva-ApAtena
   phalatoprāmāṇyaprasaṅgāt, iti paśya //	PalatA-uprAmANya-prasaFga-at, iti paSya //
   nyā. pa. śa. 54 upamānamapi yadi gṛhyamāṇapadārthagatasādṛśyavijñānāt	nyA. pa. Sa. 54 upamAnam-api yadi gRhyamANa-padArTa-gata-sAdRSya-vijQAnAt
   smaryamāṇapadārthagatasādṛśyavijñānam, tadā smṛtiḥ,	smaryamANa-padArTa-gata-sAdRSya-vijQAnam, tadA smRtiH,
   tattadvastusaṃsthānaviśeṣādyatiriktasya sādṛśyasyābhāvāt, tasya ca	tad-tad-vastu-saMsTAna-viSeza-Adi-atiriktasya sAdRSyasya-aBAvAt, tasya ca
   pūrvadṛṣṭatvāt, smaryamāṇatvācca /	pUrva-dRzwa-tva-at, smaryamANa-tvAt-ca /
   vyavahāropyastvapūrvaḥ tattadvyavahāravat	vyavahAropyaH-tu-apUrvaH tad-tad-vyavahAra-vat
   pratisambandhaviśeṣaparāmarśopādhikaḥ /	pratisambanDa-viSeza-parAmarSa-upADikaH /
   yadvā yo yatsadṛśaḥ, sa tadgatasādṛśyapratiyogī; yathā---mithaḥ svahastau,	yat-vA yaH yat-sadRSaH, sa tad-gata-sAdRSya-pratiyogI; yaTA---miTas sva-hastO,
   iti vyāptisiddhau gauretatsadṛśaḥ, etadgatasādṛśyapratiyogitvāt,	iti vyApti-sidDO gOH-etat-sadRSaH, etad-gata-sAdRSya-pratiyogi-tva-at,
   ityanumānāt smaryamāṇagatasādṛśyāsiddhiḥ; anyathā	iti-anumAnAt smaryamANa-gata-sAdRSya-asidDiH; anyaTA
   gṛhyamāṇagatavaisādṛśyajñānāt smaryamāṇagatavaisādṛśyapratītirapi	gRhyamANa-gata-vEsAdRSya-jQAnAt smaryamANa-gata-vEsAdRSya-pratItiH-api
   mānāntaraṃ syāt /	mAna-antaram syAt /
   sā cet arthāpattiḥ, sādṛśyadhīrapi tathā kiṃ na syāt ? iti /	sA ced arTApattiH, sAdRSya-DIH-api taTA kim na syAt ? iti /
   athavā yugapadeva tatsadṛśoyamiti	aTavA yugapad-eva tat-sadRSa-uyam-iti
   pratyayenaivobhayavṛttisādṛśyasphuraṇānna taddhetukam, anyathā	pratyayena-eva-uBaya-vRtti-sAdRSya-sPuraNAt-na tad-hetukam, anyaTA
   pṛthaganubhūtayostadānīmapratītasādṛśyayoḥ parastādyugapat	pRTak-anuBUtayoH-tadAnIma-pratIta-sAdRSyayoH parastAt-yugapad-
   smaryamāṇayoryugapadeva pratīyamānasādṛyayoḥko nirvāhaḥ ?, tatrāpi vā	smaryamANayoH-yugapad-eva pratIyamAna-sAdRyayoHkaH nirvAhaH ?, tatra-api vA
   pramāṇāntaraṃ kalpyate ? /	pramANa-antaram kalpyate ? /
   yathā gauḥ tathā gavayaḥ, govad dviśapho na bhavatyaśvaḥ, dīrghagrīvaḥ	yaTA gOH taTA gavayaH, go-vat dviSaPaH na Bavati-aSvaH, dIrGa-grIvaH
   pralamboṣṭho vikaṭākṛtiḥ paśuḥ kramelakaḥ, iti tu	pralamba-uzWaH vikawa-AkRtiH paSuH kramelakaH, iti tu
   sādharmyavaidharmyadharmyamātraviṣayam /	sADarmya-vEDarmya-Darmya-mAtra-vizayam /
   trividhamapyatideśavākyamāgama eva /	triviDam-api-atideSa-vAkyam-AgamaH eva /
   yattu--	yat-tu--
   "śrutātideśavākyasyagavayādāvatideśavākyārthapratyabhijñānamupamānam,	"Sruta-atideSa-vAkyasyagavaya-AdO=-ati-deSa-vAkya-arTa-pratyaBijQAnam-upamAnam,
   tacca vyutpattiphalakam" iti, tadapyanupapananam, prāgeva vyutpattisiddheḥ	tat-ca vyutpatti-Palakam" iti, tat-api-anupapananam, prAk-eva vyutpatti-sidDeH
   yattu--- "sādṛśyasya nimittattvānnimittasyāpratītitaḥ /	yat-tu-- "sAdRSyasya nimittattvAt-nimittasya-apratItitaH /
   samayo durgrahaḥ pūrvaṃ śabdenānumayāpi vā" //	samayaH durgrahaH pUrvam Sabdena-anumayA-api vA" //
   iti, tatra nimittasyāpratītitaḥ, iti tvasiddham, gavayatvādereva	iti, tatra nimittasya-apratItitaH, iti tu-asidDam, gavayatva-AdeH-eva
   jātiviśeṣasya gosādṛśyākāropalakṣitasya prathamameva vākyārthatayā	jAti-viSezasya go-sAdRSya-AkAra-upalakzitasya praTamam-eva vAkya-arTa-tayA
   pratītiḥ; gosādṛśyākāropalakṣitasya prathamameva vākyārthatayā pratītiḥ;	pratItiH; go-sAdRSya-AkAra-upalakzitasya praTamam-eva vAkya-arTa-tayA pratItiH;
   gosādṛśyopalakṣitaḥ kaścid vyaktiviśeṣo gavaya iti hi pratītiḥ /	go-sAdRSya-upalakzitaH kaScid vyakti-viSezaH gavayaH iti hi pratItiH /
   paścāt pratyakṣitagavayasya tadvaiśadyamātrameva; uktaṃ ca	paScAt pratyakzita-gavayasya tat-vESadya-mAtram-eva; uktam ca
   śrīviṣṇucitteḥ--- "gosadṛśo gavayaḥ iti gosādṛśyaikādhikaraṇaṃ sāmānyaṃ	SrI-vizNu-citteH-- "go-sadRSaH gavayaH iti gosAdRSya-eka-aDikaraNam sAmAnyam
   vācyamiti vyutpannam, prathamaṃ vākyārthatayā pratīteḥ /	vAcyam-iti vyutpannam, praTamam vAkya-arTa-tayA pratIteH /
   gosādṛśyopalakṣitasyānirṇaye paścādapyanirṇayaḥ /	go-sAdRSya-upalakzitasya-anirNaye paScAt-api-anirNayaH /
   anyathānirṇaye tathā paścādapi /	anyaTA-nirNaye taTA paScAt-api /
   tato vākyaśravaṇavelāyāmeva nirṇitam" iti /	tatas vAkya-SravaNa-velAyAm-eva nirNitam" iti /
   evaṃ cānabhyupagame kathaminrdādiśabdavyutpattiḥ ?; na hyatra	evam ca-anaByupagame kaTam-inrdA-Adi-Sabda-vyutpattiH ?; na hi-atra
   nimittabhūtasaṃsthānaviśeṣādidṛṣṭiḥ /	nimitta-BUta-saMsTAna-viSeza-Adi-dRzwiH /
   na ca nityaṃ tatrāvyutpattiḥ, tadarthaviśiṣṭavākyārthabodhāpātāt /	na ca nityam tatra-avyutpattiH, tad-arTa-viSizwa-vAkya-arTa-boDa-ApAtAt /
   evaṃ nityātīndriyaviṣayasaṃskārādiśabdānāmapi nityamavyutpattireva syāt /	evam nitya-atIndriya-vizaya-saMskAra-Adi-SabdAnAm-api nityam-avyutpattiH-eva syAt /
   tatra cet kathañcinnirvāhaḥ, tathātrāpi /	tatra ced kaTaQcid-nirvAhaH, taTA-atra-api /
   tat siddhaṃ nopamānamatiriktam, iti /	tat sidDam na-upamAnam-atiriktam, iti /
   arthāpattistvanumānameva;	arTApattiH-tu-anumAnam-eva;
   tathāhi---anupapadyamānadarśanādupapādakakalpanaṃ nāma	taTA-ahi---anupapadyamAna-darSanAt-upapAdaka-kalpanam nAma
   vyāpyādvyāpakajñānam, avyāpyasya tena vinānupapadyamānatvābhāvāt,	vyApyAt-vyApaka-jQAnam, avyApyasya tena vinA-anupapadyamAna-tva-aBAvAt,
   avyāpakasya ca tadupapādakatvāyogāt, iti /	avyApakasya ca tad-upapAdaka-tva-ayoga-at, iti /
   pramāṇadvayavirodhe sati viṣayavyavasthāpanamarthāpattiḥ, ityapi na	pramANa-dvaya-viroDe sati vizaya-vyavasTApanam-arTApattiH, iti-api na
   vācyam, pramāṇayoḥ satorvirodhābhāvāt, viruddhayorapi prāmāṇyāyogāt /	vAcyam, pramANayoH satoH-viroDa-aBAvAt, virudDayoH-api prAmANya-ayogAt /
   nanu devadattasya jīvane kutaścit pramāṇāt pramite, jīvatā kvacit	nanu devadattasya jIvane kutaScid pramANAt pramite, jIvatA kvacid-
   sthātavyam, ityaviśeṣeṇa deśasāmānyasambandhāvagatau gṛhamapyāskandantyāṃ	sTAtavyam, iti-aviSezeNa deSa-sAmAnya-sambanDa-avagatO gRham-api-AskandantyAm
   satyāṃ pratyakṣe ca gṛhe tadabhāvaṃ pratipādayati spaṣṭo virodhaḥ,	satyAm pratyakze ca gRhe tad-aBAvam pratipAdayati spazwaH viroDaH,
   atastacchānyai bahirbhāvakalpanamarthāpattiḥ, iti; maivam, kvaciditi	atas-tat-SAnyE bahis-BAva-kalpanam-arTApattiH, iti; mA-evam, kvacid-iti
   viditasya jīvanasya niyamābhāvāt, bahirvidyamānatāsaṃdehe niścayarūpeṇa	viditasya jIvanasya niyama-aBAvAt, bahis-vidyam-Ana-tA-saMdehe niScaya-rUpeNa
   gṛhābhāvapratyakṣeṇa pratispardhitumasāmarthyāt /	gRha-aBAva-pratyakzeNa pratisparDi-tum-asAmarTyAt /
   na ca viruddhaviṣayayorvāstavaṃ kutrāpi samabalatvaṃ	na ca virudDa-vizayayoH-vAstavam kutra-api sama-bala-tvam
   samasti;ubhayāprāmāṇye tu kathañcit syāt /	samasti;u-BayA-prAmANye tu kaTaQcid syAt /
   ābhimānikabalasāmyepi tathaiva /	ABimAnika-bala-sAmya-Ipi taTA-eva /
   yadā vaiṣamyagrahaḥ, tadā tata eva balābalasiddhau kimarthāpattyā sādhyam	yadA vEzamya-grahaH, tadA tatas eva bala-abala-sidDO kim-arTa-ApattyA sADyam
   ataḥ kevalaniravakāśavirodhiviśeṣasannidhau sati sāvakāśaṃ sāmānyaṃ	atas kevala-niravakASa-viroDi-viSeza-sanniDO sati sa-avakASam sAmAnyam
   saṃkocayitavyamiti vyavasthā syāt /	saMkocayitavyam-iti vyavasTA syAt /
   sāpi ca tathaiva vyāpteḥ, ityanumānaphalameva; anyathā virodhiviṣayatyāga	sA-api ca taTA-eva vyApteH, iti-anumAna-Palam-eva; anyaTA viroDi-vizaya-tyAga
   ivāvirodhiviśeṣaparyavasānādāvapi mānāntarakḷptiḥ kiṃ na syāt ? /	iva-aviroDi-viSeza-paryavasAna-AdO=-api mAna-antara-k?ptiH kim na syAt ? /
   evamanabhyupagame ca dhūmānumānādāvapyarthāpattitvaprasaṅgaḥ /	evam-anaByupagame ca DUma-anumAna-AdO=-api-arTApatti-tva-prasaFgaH /
   agniṃ vinānupapadyamānatvasvaya liṅgapratyakṣarūpapramāṇadvayavirodhasya	agnim vinA-anupapadyamAna-tva-svaya liFga-pratyakza-rUpa-pramANa-dvaya-viroDasya
   ca vaktuṃ śakyatvāt /	ca vaktum Sakya-tvAt /
   dhūmo hi kāraṇabhūtaṃ vahnimākṣipati, pratikṣipati tu pratyakṣam, iti	DUmaH hi kAraNa-BUtam vahnim-Akzipati, pratikzipati tu pratyakzam, iti
   virodhe parvatārvāgbhāge vahniriti vyavasthākalpanasyārthāpattitvaṃ syāt /	viroDe parvatArvAc-BAge vahniH-iti vyavasTA-kalpanasya-arTApatti-tvam syAt /
   vyāptinirūpaṇamantareṇa gamakatā gamakasyaiva dharmāntarayogitayā gamyate	vyApti-nirUpaNam-antareNa gamakatA gamakasya-eva Darma-antara-yogi-tayA gamyate
   ityādibhedāstvāśāmātrakalpitāḥ, iti /	ityAdi-BedAH-tu-ASA-mAtra-kalpitAH, iti /
   uktaṃ ca śrīviṣṇuttittaiḥ--- "arthāpattiranumānam" ityādi /	uktam ca SrI-vizNut-tittEH-- "arTApattiH-anumAnam" ityAdi /
   kecittu kevalavyatirekiṇi arthāpattisaṃjñāṃ niveśayanti /	kecid-tu kevala-vyatirekiNi arTApatti-saMjQAm niveSayanti /
   tasya prāgeva nirāsānna pramāṇavargānupraveśaḥ /	tasya prAk-eva nirAsAt-na pramANa-varga-anupraveSaH /
   anupraveśepi vā na pṛthaktvam //	anupraveSepi vA na pRTaktvam //
   nyā. pa. śa. 55 yattu āgamaprāmāṇye	nyA. pa. Sa. 55 yat-tu Agama-prAmANye
   "anubhavaścendriyaliṅgaśabdasadṛśānyathānupapadyamānārthapūrvakaḥ"	"anuBavaH-ca-indriya-liFga-Sabda-sadRSAni-aTa-anupapadyamAna-arTa-pUrvakaH"
   ityādiṣu upamānārthāpattiparigrahaḥ pratibhāti, tadapi	ityAdizu upamAna-arTa-Apatti-parigrahaH pratiBAti, tat-api
   pūrvapakṣapradeśagatatvānna siddhāntatvāya kalpate /	pUrva-pakza-pradeSa-gata-tvAt-na sidDAnta-tvAya kalpate /
   abhāvastvasmanmate bhāvāntarātmā /	aBAvaH-tu-asmad-mate BAva-antarAtmA /
   sa cākṣādibhiryathāsaṃbhavaṃ sidhyati /	sa ca-akza-AdiBiH-yaTAsaMBavam siDyati /
   abhāvātmanā tu grahaṇepi pratiyogismaraṇādisahakārisahitāni tānyeva	aBAva-AtmanA tu grahaNepi pratiyogi-smaraNa-Adi-sahakAri-sahitAni tAni-eva
   pramāṇanīti na tadatiriktakalpanāvakāśaḥ /	pramANani-iti na tad-atirikta-kalpanA-avakASaH /
