   daśa-gītikā-pāda	daSa-gItikA--pAda
   AB_1.8c/ śani-guru-kuja $kha-$ka-$ga-%ardham bhṛgu-budha $kha $sca-aṅgulas	AB_1.8c/ Sani--guru-kujaH $Ka-$ka-$ga-%arDam BRgu-buDaH $KaH $sca-aFgula-s
   $gha-hastas $nā//	$Ga--hastaH $nA//
   AB_1.9a/ budha-bhṛgu-kuja-guru-śani $na-$va-$rā-$ṣa-$ha @gatvā aṃśakān	AB_1.9a/ buDa-BRgu--kuja-guru-Sani $na-$va-$rA-$za-$ha @gatvA aMSakAn
   %prathama-pātās/	%praTama-pAtAs/
   AB_1.9c/ savitur amīṣām ca tathā $dvā-$ñakhi-$sā-$hdā-$hlya-$khicya	AB_1.9c/ savituH amIzAm ca taTA $dvA--$QaKi-$sA-$hdA-$-hlya--$Kicya
   manda-uccam//	manda--uccam//
   AB_1.10a/ $jha-%ardhāni manda-vṛttam śaśinas $cha	AB_1.10a/ $Ja-%arDAni manda-vRttam SaSinaH $Ca
   $ga-$cha-$gha-$ḍha-$cha-$jha yathā uktebhyas/	$ga-$Ca-$Ga-$Xa-$-Ca-$Ja yaTA ukteByas/
   AB_1.10c/ $jhā-$gḍa-$glā-$rdha-$dḍa tathā	AB_1.10c/ $JA-$gxa-$glA-$rDa-$dxa taTA
   śani-guru-kuja-bhṛgu-budha-ucca-śīghrebhyas//	Sani--guru-kuja-BRgu--buDa-ucca--SIGreBya-s//
   AB_1.11a/ mandāt $ṅa-$kha-$da-$ja-$ḍā vakriṇām %dvitīye pade %caturthe ca/	AB_1.11a/ mandAt $Fa-$Ka-$da--$ja--$xA vakriNAm %dvitIye pade %caturTe ca/
   AB_1.11c/ $jā-$ṇa-$kla-$chla-$jhna uccāt śīghrāt $giyiṅaśa	AB_1.11c/ $ja-A-$Na--$kla-$-Cla-$JnaH uccAt SIGrAt $giyiFaSa
   ku-vāyu-kakṣyā-antyā//	ku-vAyu--kakzyA-antyA//
   AB_1.12a/ $makhi $bhaki $phakhi $dhakhi $ṇakhi $ñakhi $ṅakhi $hasjha	AB_1.12a/ $maKi $Baki $PaKi $DaKi $NaKi $QaKi $FaKi $hasJa
   $skaki $kiṣga $śghaki $kighva/	$skaki $kizga $SGaki $kiGva/
   AB_1.12c/ $ghlaki $kigra $hakya $dhaki $kica $sga $jhaśa $ṅva $kla $pta	AB_1.12c/ $Glaki $kigraH $hakyaH $Daki $kica $sga $JaSa $FvaH $kla $pta
   $pha $cha kalā-%ardha-jyās//	$Pa $Ca kalA-%arDa-jyAs//
   AB_1.13a/ %daśa-gītika-sūtram idam bhū-graha-caritam bha-pañjare @jñātvā/	AB_1.13a/ %daSa-gItika-sUtram idam BU--graha--caritam Ba-paQjare @jQA-tvA/
   AB_1.13c/ graha-bha-gaṇa-paribhramaṇam sas @yāti @bhittvā param brahma//	AB_1.13c/ graha-Ba-gaNa--pariBramaNam saH @yAti @BittvA param brahma//
   gaṇita-pāda	gaNita-pAda
   AB 2.1a/ brahma-ku-śaśi-budha-bhṛgu-ravi-kuja-guru-koṇa-bha-gaṇān	AB 2.1a/ brahma--ku-Sa-Si-buDa-BRgu--ravi-kuja-guru--koNa-Ba-gaNAn
   @namas-kṛtya/	@namas-kRtya/
   AB_2.1c/ āryabhaṭas tu iha @nigadati kusuma-pure abhyarcitam jñānam//	AB_2.1c/ Arya-BawaH tu iha @nigadati kusuma-pure aByarcitam jQAnam//
   AB_2.2a/ %ekam %daśa ca %śatam ca %sahasram %ayuta-%niyute tathā	AB_2.2a/ %ekam %daSa ca %Satam ca %sahasram %ayuta-%-niyute taTA
   %prayutam/	%prayutam/
   AB_2.2c/ %koṭi-%arbudam ca %vṛndam sthānāt sthānam %daśa-guṇam @syāt//	AB_2.2c/ %kowi-%arbudam ca %vRndam sTAnAt sTAnam %daSa-guNam @syAt//
   AB_2.3a/ vargas sama-%catur-aśras phalam ca sadṛśa-%dvayasya saṃvargas/	AB_2.3a/ vargaH sama-%catur-aSraH Palam ca sadRSa-%-dvayasya saMvargas/
   AB_2.3c/ sadṛśa-%traya-saṃvargas ghanas tathā %dvādaśa-aśris @syāt//	AB_2.3c/ sadRSa-%traya--saMvargaH GanaH taTA %dvAdaSa-aSriH @syAt//
   AB_2.4a/ bhāgam @haret avargān nityam %dvi-guṇena varga-mūlena/	AB_2.4a/ BAgam @haret avargAt nityam %dvi-guNena varga--mUlena/
   AB_2.4c/ vargāt varge śuddhe labdham sthāna-antare mūlam//	AB_2.4c/ vargAt varge SudDe labDam sTAna--antare mUlam//
   AB_2.5a/ aghanāt @bhajet %dvitīyāt %tri-guṇena ghanasya mūla-vargeṇa/	AB_2.5a/ aGanAt @Bajet %dvitIyAt %tri-guNena Ganasya mUla-vargeNa/
   AB_2.5c/ vargas %tri-pūrva-guṇitas śodhyas %prathamāt ghanas ca ghanāt//	AB_2.5c/ vargaH %tri--pUrva--guNitaH SoDyaH %praTamAt GanaH ca GanAt//
   AB_2.6a/ %tri-bhujasya phala-śarīram	AB_2.6a/ %tri-Bujasya Pala--SarIram
   sama-#dala-koṭī-bhujā-%ardha-saṃvargas/	sama-#dala--kowI-BujA-%arDa--saMvarga-s/
   AB_2.6c/ ūrdhva-bhujā-tad-saṃvarga-%ardham sas ghanas %ṣaṣ-aśris iti//	AB_2.6c/ UrDva---BujA--tad-saMvarga-%arDam saH GanaH %zaz-a-SriH iti//
   AB_2.7a/ sama-pariṇāhasya-%ardham viṣkambha-%ardha-hatam eva vṛtta-phalam/	AB_2.7a/ sama--pariNAhasya-%arDam vizkamBa-%arDa--hatam eva vRtta-Palam/
   AB_2.7c/ tad-nija-mūlena hatam ghana-gola-phalam niravaśeṣam//	AB_2.7c/ tad--nija--mUlena hatam Gana-gola--Palam niravaSezam//
   AB_2.8a/ āyāma-guṇe pārśve tad-yoga-hṛte sva-pāta-lekhe/	AB_2.8a/ AyAma-guNe pArSve tad--yoga--hRte sva--pAta--leKe/
   AB_2.8c/ vistara-yoga-%ardha-guṇe jñeyam kṣetra-phalam āyāme//	AB_2.8c/ vistara--yoga--%arDa-guNe jQeyam kzetra-Palam AyAme//
   AB_2.9a/ sarveṣām kṣetrāṇām @prasādhya pārśve phalam tad-abhyāsas/	AB_2.9a/ sarvezAm kzetrANAm @prasADya pArSve Palam tad--aByAsas/
   AB_2.9c/ paridhes %ṣaṣ-bhāga-jyā viṣkambha-%ardhena sā tulyā//	AB_2.9c/ pariDeH %zaz-BAga-jyA vizkamBa-%arDena sA tulyA//
   AB_2.10a/ %catur-adhikam %śatam %aṣṭa-guṇam %dvāṣaṣṭis tathā %sahasrāṇām/	AB_2.10a/ %catur--aDikam %Satam %azwa-guNam %dvAzazwiH taTA %sahasrANAm-/
   AB_2.10c/ %ayuta-%dvaya-viṣkambhasya āsannas vṛtta-pariṇāhas//	AB_2.10c/ %ayuta-%-dvaya--vizkamBasya AsannaH vRtta--pariNAha-s//
   AB_2.11a/ sama-vṛtta-paridhi-pādam @chindyāt %tri-bhujāt %catur-bhujāt ca	AB_2.11a/ sama-vRtta--pariDi-pAdam @CindyAt %tri-BujAt %catur-BujAt ca
   eva/	eva/
   AB_2.11c/ sama-cāpa-jyā-%ardhāni tu viṣkambha-%ardhe yathā iṣṭāni//	AB_2.11c/ sama-ca-apa-jya-a-%arDAni tu vizkamBa--%arDe yaTA izwAni//
   AB_2.12a/ %prathamāt cāpa-jyā-%ardhāt yair ūnam khaṇḍitam	AB_2.12a/ %praTamAt ca-apa-jyA--%arDAt yEH Unam KaNxitam
   %dvitīya-%ardham/	%dvitIya--%arDam/
   AB_2.12c/ tad-%prathama-jyā-%ardha-aṃśais tais tais ūnāni śeṣāṇi//	AB_2.12c/ tat--%praTama--jyA-%arDa--aMSEH tEH tEH UnAni SezANi//
   AB_2.13a/ vṛttam bhrameṇa sādhyam ca %catur-bhujam ca karṇābhyām/	AB_2.13a/ vRttam BrameNa sADyam ca %catur-Bujam ca karNAByAm/
   AB_2.13c/ sādhyā jalena sama-bhūs adhas-ūrdhvam lambakena eva//	AB_2.13c/ sADyAH jalena sama-BUH aDas-UrDvam lambakena eva//
   AB_2.14a/ śaṅkos pramāṇa-vargam chāyā-vargeṇa saṃyutam @kṛtvā/	AB_2.14a/ SaFkoH pramANa--vargam CAyA--vargeNa saMyutam @kRtvA/
   AB_2.14c/ yat tasya varga-mūlam viṣkambha-%ardham sva-vṛttasya//	AB_2.14c/ yat tasya varga-mUlam vizkamBa-%arDam sva--vRttasya//
   AB_2.15a/ śaṅku-guṇam śaṅku-bhujā-vivaram śaṅku-bhujayor viśeṣa-hṛtam/	AB_2.15a/ SaFku-guNam SaFku-BujA--vivaram SaFku--BujayoH viSeza--hRtam/
   AB_2.15c/ yat labdham sā chāyā jñeyā śaṅkos sva-mūlāt hi//	AB_2.15c/ yat labDam sA CAyA jQeyA SaFkoH sva--mUlAt hi//
   AB_2.16a/ chāyā-guṇitam chāyā-agra-vivaram ūnena bhājitam koṭī/	AB_2.16a/ CAyA--guNitam CAyA--agra--vivaram Unena BAjitam kowI/
   AB_2.16c/ śaṅku-guṇā koṭī sā chāyā-bhaktā bhujā @bhavati//	AB_2.16c/ SaFku-guNA kowI sA CAyA-BaktA BujA @Bavati//
   AB_2.17a/ yas ca eva bhujā-vargas koṭī-vargas ca karṇa-vargas sas/	AB_2.17a/ yaH ca eva BujA--vargaH kowI-vargaH ca karNa-vargaH sa-s/
   AB_2.17c/ vṛtte śara-saṃvargas %ardha-jyā-vargas sas khalu dhanuṣos//	AB_2.17c/ vRtte Sara--saMvargaH %arDa--jyA--vargaH saH Kalu Danuzos//
   AB_2.18a/ grāsa-ūne %dve vṛtte grāsa-guṇe @bhājayet pṛthaktvena/	AB_2.18a/ grAsa--Une %dve vRtte grAsa--guNe @BAjayet pRTaktvena/
   AB_2.18c/ grāsa-ūna-yoga-labdhau saṃpāta-śarau paraspara-tas//	AB_2.18c/ grAsa--Una--yoga-labDO saMpAta--SarO paraspara--tas//
   AB_2.19a/ iṣṭam vi-%ekam dalitam sa-pūrvam uttara-guṇam sa-mukham madhyam/	AB_2.19a/ izwam vi-%ekam dalitam sa-pUrvam uttara--guNam sa-muKam maDyam/
   AB_2.19c/ iṣṭa-guṇitam iṣṭa-dhanam tu atha vā ādi-antam	AB_2.19c/ izwa--guNitam izwa--Danam tu aTa vA Adi-antam
   pada-%ardha-hatam//	pada-%arDa-hatam//
   AB_2.20a/ gacchas %aṣṭa-uttara-guṇitāt	AB_2.20a/ gacCaH %azwa-uttara--guNitAt
   %dvi-guṇa-ādi-uttara-viśeṣa-varga-yutāt/	%dvi-guNa-Adi--uttara--viSeza--varga--yutAt/
   AB_2.20c/ mūlam %dvi-guṇa-ādi-ūnam sva-uttara-bhajitam sa-#rūpa-ardham//	AB_2.20c/ mUlam %dvi-guNa-Adi--Unam sva--uttara--Bajitam sa-#ru-upa-arDam//
   AB_2.21a/ %eka-uttara-ādi-upacites gacca-ādi-%eka-uttara-%tri-saṃvargas/	AB_2.21a/ %eka-uttara-Adi-upaciteH gacca--Adi-%eka--uttara--%tri-saMvarga-s/
   AB_2.21c/ %ṣaṣ-bhaktas sas citi-ghanas sa-%eka-pada-ghanas vi-mūlas vā//	AB_2.21c/ %zaz-BaktaH saH citi-GanaH sa-%eka-pada-GanaH vi-mUlaH vA//
   AB_2.22a/ sa-%eka-sa-gaccha-padānām kramāt %tri-saṃvargitasya %ṣaṣṭhas	AB_2.22a/ sa-%eka--sa-ga=-Ca-padAnAm kramAt %tri--saMvargitasya %zazWas
   aṃśas/	aMSas/
   AB_2.22c/ varga-citi-ghanas sas @bhavet citi-vargas ghana-citi-ghanas ca//	AB_2.22c/ varga-citi-GanaH saH @Bavet citi-vargaH Gana--citi-GanaH ca//
   AB_2.23a/ samparkasya hi vargāt @viśodhayet eva varga-samparkam/	AB_2.23a/ samparkasya hi vargAt @viSoDayet eva varga--samparkam/
   AB_2.23c/ yat tasya @bhavati %ardham @vidyāt guṇa-kāra-saṃvargam//	AB_2.23c/ yat tasya @Bavati %arDam @vidyAt guNa--kAra--saMvargam//
   AB_2.24a/ %dvi-kṛti-guṇāt saṃvargāt %dvi-antara-vargeṇa saṃyutāt mūlam/	AB_2.24a/ %dvi-kRti-guNAt saMvargAt %dvi-antara--vargeNa saMyutAt mUlam/
   AB_2.24c/ antara-yuktam hīnam tad-guṇa-kāra-%dvayam dalitam//	AB_2.24c/ antara--yuktam hInam tad--guNa-kAra-%-dvayam dalitam//
   AB_2.25a/ mūla-phalam sa-phalam kāla-mūla-guṇam %ardha-mūla-kṛti-yuktam/	AB_2.25a/ mUla-Palam sa-Palam kAla-mUla-guNam %arDa--mUla-kRti-yuktam-/
   AB_2.25c/ tad-mūlam mūla-%ardha-ūnam kāla-hṛtam sva-mūla-phalam//	AB_2.25c/ tad-mUlam mUla-%arDa--Unam kAla-hRtam sva--mUla-Palam//
   AB_2.26a/ trairāśika-phala-rāśim tam atha icchā-rāśinā hatam @kṛtvā/	AB_2.26a/ trErASika-Pala--rASim tam aTa icCA-rASinA hatam @kRtvA/
   AB_2.26c/ labdham pramāṇa-bhajitam tasmāt icchā-phalam idam @syāt//	AB_2.26c/ labDam pramANa--Bajitam tasmAt icCA--Palam idam @syAt//
   AB_2.27a/ chedās paraspara-hatās @bhavanti guṇa-kāra-bhāga-hārāṇām/	AB_2.27a/ CedAH paraspara--hatAH @Bavanti guNa-kAra-BAga--hArANAm-/
   AB_2.27c/ cheda-guṇam sa-chedam parasparam tat savarṇatvam//	AB_2.27c/ Ceda-guNam sa-Cedam parasparam tat savarNa-tvam//
   AB_2.28a/ guṇa-kārās bhāga-harās bhāga-harās te @bhavanti guṇa-kārās/	AB_2.28a/ guNa--kArAH BAga--harAH BAga--harAH te @Bavanti guNa-kArAs/
   AB_2.28c/ yas kṣepas sas apacayas apacayas kṣepas ca viparīte//	AB_2.28c/ yaH kzepaH saH apacayaH apacayaH kzepaH ca viparIte//
   AB_2.29a/ rāśi-ūnam rāśi-ūnam gaccha-dhanam piṇḍitam pṛthaktvena/	AB_2.29a/ rASi--Unam rASi--Unam gacCa--Danam piNxitam pRTaktvena/
   AB_2.29c/ vi-%ekena padena hṛtam sarva-dhanam tat @bhavati evam//	AB_2.29c/ vi-%ekena padena hRtam sarva--Danam tat @Bavati evam//
   AB_2.30a/ gulikā-antareṇa @vibhajet %dvayos puruṣayos tu rūpaka-viśeṣam/	AB_2.30a/ gulikA-antareNa @viBajet %dvayoH puruzayoH tu rUpaka-viSezam/
   AB_2.30c/ labdham gulikā-mūlyam yadi artha-kṛtam @bhavati tulyam//	AB_2.30c/ labDam gulikA--mUlyam yadi arTa-kRtam @Bavati tulyam//
   AB_2.31a/ bhakte viloma-vivare gati-yogena anuloma-vivare %dvau/	AB_2.31a/ Bakte viloma--vivare gati-yogena anuloma--vivare %dvO/
   AB_2.31c/ gati-antareṇa labdhau %dvi-yoga-kālau atīta-aiṣyau//	AB_2.31c/ gati-antareNa labDO %dvi--yoga--kAlO atIta--EzyO//
   AB_2.32a/ adhika-agra-bhāga-hāram @chindyāt ūna-agra-bhāga-hāreṇa/	AB_2.32a/ aDika--agra--BAga--hAram @CindyAt Una-agra--BAga--hAreNa/
   AB_2.32c/ śeṣa-paraspara-bhaktam mati-guṇam agra-antare kṣiptam//	AB_2.32c/ Seza--paraspara--Baktam mati-guNam agra-antare kziptam//
   AB_2.33a/ adhas-upari-guṇitam antya-yuj-ūna-agra-cheda-bhājite śeṣam/	AB_2.33a/ aDas-u-pari-guNitam antya-yuj-Una-agra-Ceda--BAjite Sezam/
   AB_2.33c/ adhika-agra-cheda-guṇam %dvi-cheda-agram adhika-agra-yutam//	AB_2.33c/ aDika--agra--Ceda-guNam %dvi-Ceda--agram aDika--agra---yutam//
   kāla-kriyā-pāda	kAla-kriyA--pAda
   AB 3.1a/ varṣam %dvādaśa-māsās %triṃśat-divasas @bhavet sas māsas tu/	AB 3.1a/ varzam %dvAdaSa-mAsAH %triMSat--divasaH @Bavet saH mAsaH tu/
   AB_3.1c/ %ṣaṣṭis nāḍyas divasas %ṣaṣṭis ca vināḍikā nāḍī//	AB_3.1c/ %zazwiH nAxyaH divasaH %zazwiH ca vinAxikA nAxI//
   AB_3.2a/ guru-akṣarāṇi %ṣaṣṭis vināḍikā ārkṣī %ṣaṭ eva vā prāṇās/	AB_3.2a/ guru-akzarANi %zazwiH vinAxikA ArkzI %zaw eva vA prANAs/
   AB_3.2c/ evam kāla-vibhāgas kṣetra-vibhāgas tathā bha-gaṇāt//	AB_3.2c/ evam kAla-viBAgaH kzetra-viBAgaH taTA Ba-gaNAt//
   AB_3.3a/ bha-gaṇās %dvayos %dvayos ye viśeṣa-śeṣās yuge %dvi-yogās te/	AB_3.3a/ Ba-gaNAH %dvayoH %dvayoH ye viSeza--SezAH yuge %dvi-yogAH te/
   AB_3.3c/ ravi-śaśi-nakṣatra-gaṇās sammiśrās ca vyatīpātās//	AB_3.3c/ ravi-SaSi--nakzatra--gaNAH sammiSrAH ca vyatIpa-AtAs//
   AB_3.4a/ sva-ucca-bha-gaṇās sva-bha-gaṇais viśeṣitās	AB_3.4a/ sva-ud-ca-Ba--gaNAH sva-Ba-gaNEH viSezitAH-
   sva-ucca-nīca-parivartās/	sva--ucca-nIca--parivartAs/
   AB_3.4c/ guru-bha-gaṇās rāśi-guṇās aśvayuja-ādyās guror abdās//	AB_3.4c/ guru-Ba-gaNAH rASi--guNAH aSva-yuja-a-AdyAH guroH ap-dAs//
   AB_3.5a/ ravi-bha-gaṇās ravi-abdās ravi-śaśi-yogās @bhavanti śaśi-māsās/	AB_3.5a/ ravi-Ba-gaNAH ravi--abdAH ravi-SaSi--yogAH @Bavanti SaSi-mAsAs/
   AB_3.5c/ ravi-bhū-yogās divasās bha-āvartās ca api nākṣatrās//	AB_3.5c/ ravi-BU--yogAH divasAH Ba-a-AvartAH ca api na-akzatrAs//
   AB_3.6a/ adhimāsakās yuge te ravi-māsebhyas adhikās tu ye cāndrās/	AB_3.6a/ aDimAsakAH yuge te ravi--mAseByaH aDikAH tu ye cAndrAs/
   AB_3.6c/ śaśi-divasās vijñeyās bhū-divasa-ūnās tithi-pralayās//	AB_3.6c/ SaSi--divasAH vijQeyAH BU-divasa--UnAH tiTi-pralayAs//
   AB_3.7a/ ravi-varṣam mānuṣyam tat api triṃśat-guṇam @bhavati pitryam/	AB_3.7a/ ravi-varzam mAnuzyam tat api triMSat--guNam @Bavati pitryam/
   AB_3.7c/ pitryam %dvādaśa-guṇitam divyam varṣam vinirdiṣṭam//	AB_3.7c/ pitryam %dvAdaSa--guNitam divyam varzam vinirdizwam//
   AB_3.8a/ divyam varṣa-%sahasram graha-sāmānyam yugam %dvi-5ṣaṭka-guṇam/	AB_3.8a/ divyam varza-%-sahasram graha--sAmAnyam yugam %dvi-5zawka-guNam/
   AB_3.8c/ %aṣṭa-uttaram %sahasram brāhmas divasas graha-yugānām//	AB_3.8c/ %azwa-uttaram %sahasram brAhmaH divasaH graha-yugAnAm//
   AB_3.9a/ utsarpiṇī yuga-%ardham paścāt apasarpiṇī yuga-%ardham ca/	AB_3.9a/ utsarpiNI yuga-%arDam paScAt apasarpiNI yuga-%arDam ca/
   AB_3.9c/ madhye yugasya suṣamā ādau ante duṣṣamā indu-uccāt//	AB_3.9c/ maDye yugasya suzamAH AdO ante duzzamAH indu-uccAt//
   AB_3.10a/ %ṣaṣṭi-abdānām %ṣaṣṭis yadā vyatītās trayas ca yuga-pādās/	AB_3.10a/ %zazwi--abdAnAm %zazwiH yadA vyatItAH trayaH ca yuga-pAda-As/
   AB_3.10c/ %tri-adhikā %viṃśatis abdās tadā iha mama janmanas atītās//	AB_3.10c/ %tri--aDikA %viMSatiH abdAH tadA iha mama janmanaH atIta-as//
   AB_3.11a/ yuga-varṣa-māsa-divasās samam pravṛttās tu caitra-śukla-ādes/	AB_3.11a/ yuga-varza--mAsa-divasAH samam pravRttAH tu cEtra--Sukla-Ades/
   AB_3.11c/ kālas ayam anādi-antas graha-bhais @anumīyate kṣetre//	AB_3.11c/ kAlaH ayam anAdi-antaH graha-BEH @anumIyate kzetre//
   AB_3.12a/ %ṣaṣṭyā sūrya-abdānām @prapūrayanti grahās bha-pariṇāham/	AB_3.12a/ %zazwyA sUrya--abdAnAm @prapUrayanti grahAH Ba-pariNAham/
   AB_3.12c/ divyena nabhas-paridhim samam bhramantas sva-kakṣyāsu//	AB_3.12c/ divyena naBas-pariDim samam BramantaH sva--kakzyAsu//
   AB_3.13a/ maṇḍalam alpam adhastāt kālena alpena @pūrayati candras/	AB_3.13a/ maNxalam alpam aDastAt kAlena alpena @pUrayati candras/
   AB_3.13c/ upariṣṭāt sarveṣām mahat ca mahatā śanaiścārī//	AB_3.13c/ uparizwAt sarvezAm mahat ca mahatA SanEs-cArI//
   AB_3.14a/ alpe hi maṇḍale alpā mahati mahāntas ca rāśayas jñeyās/	AB_3.14a/ alpe hi maNxale alpAH mahati mahAntaH ca rASayaH jQeyAs/
   AB_3.14c/ aṃśās kalās tathā evam vibhāga-tulyās sva-kakṣyāsu//	AB_3.14c/ aMSAH kalAH taTA evam viBAga--tulyAH sva--kakzyAsu//
   AB_3.15a/ bhānām adhas	AB_3.15a/ BAnAm aDas
   śanaiścara-suraguru-bhauma-arka-śukra-budha-candrās/	SanEScara--sura-guru-BOma--arka--Sukra--buDa-candrAs/
   AB_3.15c/ eṣām adhas ca bhūmis medhī-bhūtā kha-madhya-sthā//	AB_3.15c/ ezAm aDas ca BUmiH meDI--BUtA Ka-maDya--sTA//
   AB_3.16a/ %sapta ete horā-īśās śanaiścara-ādyās yathā-kramam śīghrās/	AB_3.16a/ %sapta ete horA--ISAH SanEScara-a-AdyAH yaTA-kramam SIGrAs/
   AB_3.16c/ śīghra-kramāt %caturthās @bhavanti sūrya-udayāt dinapās//	AB_3.16c/ SIGra-kramAt %caturTAH @Bavanti sUrya--udayAt dina-pAs//
   AB_3.17a/ kakṣyā-pratimaṇḍala-gās @bhramanti sarve grahās sva-cāreṇa/	AB_3.17a/ kakzyA--pratimaNxala--gAH @Bramanti sarve grahAH sva--cAreNa/
   AB_3.17c/ manda-uccāt anulomam pratilomam ca eva śīghra-uccāt//	AB_3.17c/ manda--uccAt anulomam pratilomam ca eva SIGra-uccAt//
   AB_3.18a/ kakṣyā-maṇḍala-tulyam svam svam pratimaṇḍalam @bhavati eṣām/	AB_3.18a/ kakzyA--maNxala--tulyam svam svam prati-maNxalam @Bavati ezAm/
   AB_3.18c/ pratimaṇḍalasya madhyam ghana-bhū-madhyāt atikrāntam//	AB_3.18c/ prati-maNxalasya maDyam Gana-BU--maDyAt atikrAntam//
   AB_3.19a/ pratimaṇḍala-bhū-vivaram vyāsa-%ardham sva-ucca-nīca-vṛttasya/	AB_3.19a/ prati-maNxala-BU--vivaram vyAsa-%arDam sva--ucca-nIca-vRttasya/
   AB_3.19c/ vṛtta-paridhau grahās te madhyama-cārāt @bhramanti evam//	AB_3.19c/ vRtta--pariDO grahAH te maDyama-cArAt @Bramanti evam//
   AB_3.20a/ yas śīghra-gatis sva-uccāt pratiloma-gatis sva-vṛtta-kakṣyāyām/	AB_3.20a/ yaH SIGra--gatiH sva-uccAt pratiloma--gatiH sva--vRtta-kakzyAyAm/
   AB_3.20c/ anuloma-gatis vṛtte manda-gatis yas grahas @bhavati//	AB_3.20c/ anuloma--gatiH vRtte manda--gatiH yaH grahaH @Bavati//
   AB_3.21a/ anuloma-gāni mandāt śīghrāt pratiloma-gāni vṛttāni/	AB_3.21a/ anuloma-gAni mandAt SIGrAt pratiloma-gAni vRttAni/
   AB_3.21c/ kakṣyā-maṇḍala-lagna-sva-vṛtta-madhye grahas madhyas//	AB_3.21c/ kakzyA--maNxala--lagna--sva---vRtta--maDye grahaH maDyas//
   AB_3.22a/ kṣaya-dhana-dhana-kṣayās @syur manda-uccāt vyatyayena	AB_3.22a/ kzaya--Dana--Dana--kzayAH @syuH manda--uccAt vyatyayena
   śīghra-uccāt/	SIGra-uccAt/
   AB_3.22c/ śani-guru-kujeṣu mandāt %ardham ṛṇam dhanam @bhavati pūrve//	AB_3.22c/ Sani--guru-kujezu mandAt %arDam RNam Danam @Bavati pUrve//
