   mātṛkā 1	mAtRkA 1
   sāmādyupāyasādhyatvāc catuḥsādhana ucyate /	sAma-Adi-upAya-sADya-tvAt catur-sADanaH ucyate /
   caturṇām āśramāṇāṃ ca rakṣaṇāt sa caturhitaḥ // Nar_M1.12 //	caturNAm ASramANAm ca rakzaNAt sa catur-hitaH // Nar_M1.12 //
   kartṝn atho sākṣiṇaś ca sabhyān rājānam eva ca /	kartLn aTo sAkziNaH ca saByAn rAjAnam eva ca /
   vyāpnoti pādaśo yasmāc caturvyāpī tataḥ smṛtaḥ // Nar_M1.13 //	vyApnoti pAdaSas yasmAt catur-vyApI tatas smRtaH // Nar_M1.13 //
   dharmasyārthasya yaśaso lokapaktes tathaiva ca /	Darmasya-arTasya yaSasaH loka-pakteH taTA-eva ca /
   caturṇāṃ karaṇād eṣāṃ catuṣkārī prakīrtitaḥ // Nar_M1.14 //	caturNAm karaNAt ezAm catuzkArI prakIrtitaH // Nar_M1.14 //
   rājā sapuruṣaḥ sabhyāḥ śāstraṃ gaṇakalekhakau /	rAjA sa-puruzaH saByAH SAstram gaNaka-leKakO /
   hiraṇyam agnir udakam aṣṭāṅgaḥ sa udāhṛtaḥ // Nar_M1.15 //	hiraNyam agniH udakam azwa-aFgaH saH udAhRtaH // Nar_M1.15 //
   ṛṇādānaṃ hy upanidhiḥ saṃbhūyotthānam eva ca /	RNa-AdAnam hi upaniDiH saMBUya-utTAnam eva ca /
   dattasya punar ādānam aśuśrūṣābhyupetya ca // Nar_M1.16 //	dattasya punar AdAnam aSuSrUzA-aByupetya ca // Nar_M1.16 //
   vetanasyānapākarma tathaivāsvāmivikrayaḥ /	vetanasya-anapAkarma taTA-eva-asvAmi-vikrayaH /
   vikrīyāsaṃpradānaṃ ca krītvānuśaya eva ca // Nar_M1.17 //	vikrIya-asaMpradAnam ca krItvA-anuSayaH eva ca // Nar_M1.17 //
   samayasyānapākarma vivādaḥ kṣetrajas tathā /	samayasya-anapAkarma vivAdaH kzetrajaH taTA /
   strīpuṃsayoś ca saṃbandho dāyabhāgo 'tha sāhasam // Nar_M1.18 //	strIpuMsayoH ca saMbanDaH dAya-BAgaH aTa sAhasam // Nar_M1.18 //
   vākpāruṣyaṃ tathaivoktaṃ daṇḍapāruṣyam eva ca /	vAc-pAruzyam taTA-eva-uktam daNxa-pAruzyam eva ca /
   dyūtaṃ prakīrṇakaṃ caivety aṣṭādaśapadaḥ smṛtaḥ // Nar_M1.19 //	dyUtam prakIrNakam ca-eva-iti azwAdaSa-padaH smRtaH // Nar_M1.19 //
   eṣām eva prabhedo 'nyaḥ śatam aṣṭottaraṃ smṛtam /	ezAm eva praBedaH anyaH Satam azwa-uttaram smRtam /
   kriyābhedān manuṣyāṇāṃ śataśākho nigadyate // Nar_M1.20 //	kriyA-BedAt manuzyANAm Sata-SAKaH nigadyate // Nar_M1.20 //
   kāmāt krodhāc ca lobhāc ca tribhyo yasmāt pravartate /	kAmAt kroDAt ca loBAt ca triByaH yasmAt pravartate /
   triyoniḥ kīrtyate tena trayam etad vivādakṛt // Nar_M1.21 //	tri-yoniH kIrtyate tena trayam etat vivAda-kRt // Nar_M1.21 //
   dvyabhiyogas tu vijñeyaḥ śaṅkātattvābhiyogataḥ /	dvi-aBiyogaH tu vijQeyaH SaFkA-tattva-aBiyogataH /
   śaṅkāsatāṃ tu saṃsargāt tattvaṃ hoḍhādidarśanāt // Nar_M1.22 //	SaFkA-asatAm tu saMsargAt tattvam hoXa-Adi-darSanAt // Nar_M1.22 //
   pakṣadvayābhisaṃbandhād dvidvāraḥ samudāhṛtaḥ /	pakza-dvaya-aBisaMbanDAt dvi-dvAraH samudAhRtaH /
   pūrvavādas tayoḥ pakṣaḥ pratipakṣas taduttaram // Nar_M1.23 //	pUrvavAdaH tayoH pakzaH pratipakzaH tad-uttaram // Nar_M1.23 //
   bhūtacchalānusāritvād dvigatiḥ sa udāhṛtaḥ /	BUta=-Cala-anusAri-tvAt dvi-gatiH saH udAhRtaH /
   bhūtaṃ tattvārthasaṃyuktaṃ pramādābhihitaṃ chalam // Nar_M1.24 //	BUtam tattva-arTa-saMyuktam pramAda-aBihitam Calam // Nar_M1.24 //
   tatra śiṣṭaṃ chalaṃ rājā marṣayed dharmasādhanaḥ /	tatra Sizwam Calam rAjA marzayet Darma-sADanaH /
   bhūtam eva prapadyeta dharmamūlā yataḥ śriyaḥ // Nar_M1.25 //	BUtam eva prapadyeta Darma-mUlAH yatas SriyaH // Nar_M1.25 //
   dharmeṇoddharato rājño vyavahārān kṛtātmanaḥ /	DarmeNa-udDarataH rAjQaH vyavahArAn kRtAtmanaH /
   saṃbhavanti guṇāḥ sapta sapta vahner ivārciṣaḥ // Nar_M1.26 //	saMBavanti guNAH sapta sapta vahneH iva-arcizaH // Nar_M1.26 //
   dharmaś cārthaś ca kīrtiś ca lokapaktir upagrahaḥ /	DarmaH ca-arTaH ca kIrtiH ca loka-paktiH upagrahaH /
   prajābhyo bahumānaś ca svarge sthānaṃ ca śāśvatam // Nar_M1.27 //	prajAByaH bahu-mAnaH ca svarge sTAnam ca SASvatam // Nar_M1.27 //
   tasmād dharmāsanaṃ prāpya rājā vigatamatsaraḥ /	tasmAt Darma-Asanam prApya rAjA vigata-matsaraH /
   samaḥ syāt sarvabhūteṣu bibhrad vaivasvataṃ vratam // Nar_M1.28 //	samaH syAt sarva-BUtezu biBrat vEvasvatam vratam // Nar_M1.28 //
   dharmaśāstraṃ puraskṛtya prāḍvivākamate sthitaḥ /	Darma-SAstram puraskRtya prAxvivAka-mate sTitaH /
   samāhitamatiḥ paśyed vyavahārān anukramāt // Nar_M1.29 //	samAhita-matiH paSyet vyavahArAn anukramAt // Nar_M1.29 //
   āgamaḥ prathamaṃ kāryo vyavahārapadaṃ tataḥ /	AgamaH praTamam kAryaH vyavahAra-padam tatas /
   vivitsā nirṇayaś caiva darśanaṃ syāc caturvidham // Nar_M1.30 //	vivitsA nirNayaH ca-eva darSanam syAt caturviDam // Nar_M1.30 //
   dharmaśāstrārthaśāstrābhyām avirodhena mārgataḥ /	Darma-SAstra-arTa-SAstrAByAm aviroDena mArgataH /
   samīkṣamāṇo nipuṇaṃ vyavahāragatiṃ nayet // Nar_M1.31 //	samIkzamANaH nipuNam vyavahAra-gatim nayet // Nar_M1.31 //
   yathā mṛgasya viddhasya vyādho mṛgapadaṃ nayet /	yaTA mRgasya vidDasya vyADaH mRga-padam nayet /
   kakṣe śoṇitaleśena tathā dharmapadaṃ nayet // Nar_M1.32 //	kakze SoNita-leSena taTA Darma-padam nayet // Nar_M1.32 //
   yatra vipratipattiḥ syād dharmaśāstrārthaśāstrayoḥ /	yatra vipratipattiH syAt Darma-SAstra-arTa-SAstrayoH /
   arthaśāstroktam utsṛjya dharmaśāstroktam ācāret // Nar_M1.33 //	arTaSAstra-uktam utsRjya Darma-SAstra-uktam AcAret // Nar_M1.33 //
   dharmaśāstravirodhe tu yuktiyukto 'pi dharmataḥ /	Darma-SAstra-viroDe tu yukti-yuktaH api DarmataH /
   vyavahāro hi balavān dharmas tenāvahīyate // Nar_M1.34 //	vyavahAraH hi balavAn DarmaH tena-avahIyate // Nar_M1.34 //
   sūkṣmo hi bhagavān dharmaḥ parokṣo durvicāraṇaḥ /	sUkzmaH hi BagavAn DarmaH parokzaH durvicAraNaH /
   ataḥ pratyakṣamārgeṇa vyavahāragatiṃ nayet // Nar_M1.35 //	atas pratyakza-mArgeNa vyavahAra-gatim nayet // Nar_M1.35 //
   yāty acauro 'pi cauratvaṃ cauraś cāyāty acauratām /	yAti acOraH api cOra-tvam cOraH ca-AyAti acOra-tAm /
   acauraś cauratāṃ prāpto māṇḍavyo vyavahārataḥ // Nar_M1.36 //	acOraH cOra-tAm prAptaH mANxavyaH vyavahArataH // Nar_M1.36 //
   strīṣu rātrau bahir grāmād antarveśmany arātiṣu /	strIzu rAtrO bahis grAmAt antarveSmani arAtizu /
   vyavahāraḥ kṛto 'py eṣu punaḥ kartavyatām iyāt // Nar_M1.37 //	vyavahAraH kRtaH api ezu punar kartavyatAm iyAt // Nar_M1.37 //
   gahanatvād vivādānām asāmarthyāt smṛter api /	gahana-tvAt vivAdAnAm asAmarTyAt smRteH api /
   ṛṇādiṣu haret kālaṃ kāmaṃ tattvabubhutsayā // Nar_M1.38 //	RNa-Adizu haret kAlam kAmam tattva-buButsayA // Nar_M1.38 //
   gobhūhiraṇyastrīsteya- pāruṣyātyayikeṣu ca /	go-BU-hiraNya-strI-steya pAruzya-Atyayikezu ca /
   sāhaseṣv abhiśāpe ca sadya eva vivādayet // Nar_M1.39 //	sAhasezu aBiSApe ca sadyas eva vivAdayet // Nar_M1.39 //
   anāvedya tu yo rājñe saṃdigdhe 'rthe pravartate /	anAvedya tu yaH rAjQe saMdigDe arTe pravartate /
   prasahya sa vineyaḥ syāt sa cāsyārtho na sidhyati // Nar_M1.40 //	prasahya sa vineyaH syAt sa ca-asya-arTaH na siDyati // Nar_M1.40 //
   vaktavye 'rthe na tiṣṭhantam utkrāmantaṃ ca tadvacaḥ /	vaktavye arTe na tizWantam utkrAmantam ca tad-vacaH /
   āsedhayed vivādārthī yāvad āhvānadarśanam // Nar_M1.41 //	AseDayet vivAda-arTI yAvat AhvAna-darSanam // Nar_M1.41 //
   sthānāsedhaḥ kālakṛtaḥ pravāsāt karmaṇas tathā /	sTAna-AseDaH kAla-kRtaH pravAsAt karmaNaH taTA /
   caturvidhaḥ syād āsedho nāsiddhas taṃ vilaṅghayet // Nar_M1.42 //	caturviDaH syAt AseDaH na-asidDaH tam vilaFGayet // Nar_M1.42 //
   nadīsaṃtārakāntāra- durdeśopaplavādiṣu /	nadI-saMtAra-kAntAra durdeSa-upaplava-Adizu /
   āsiddhas taṃ parāsedham utkrāman nāparādhnuyāt // Nar_M1.43 //	AsidDaH tam parAseDam utkrAman na-aparADnuyAt // Nar_M1.43 //
   āsedhakāla āsiddha āsedham yo vyatikramet /	AseDa-kAle AsidDaH AseDam yaH vyatikramet /
   sa vineyo 'nyathā kurvann āseddhā daṇḍabhāg bhavet // Nar_M1.44 //	sa vineyaH anyaTA kurvan AsedDA daNxa-BAj Bavet // Nar_M1.44 //
   nirveṣṭukāmo rogārto yiyakṣur vyasane sthitaḥ /	nirvezwu-kAmaH roga-ArtaH yiyakzuH vyasane sTitaH /
   abhiyuktas tathānyena rājakāryodyatas tathā // Nar_M1.45 //	aBiyuktaH taTA-anyena rAja-kArya-udyataH taTA // Nar_M1.45 //
   gavāṃ pracāre gopālāḥ sasyabandhe kṛṣīvalāḥ /	gavAm pracAre gopAlAH sasya-banDe kRzIvalAH /
   śilpinaḥ cāpi tatkālam āyudhīyāś ca vigrahe // Nar_M1.46 //	SilpinaH ca-api tad-kAlam AyuDIyAH ca vigrahe // Nar_M1.46 //
   aprāptavyavahāraś ca dūto dānonmukho vratī /	aprApta-vyavahAraH ca dUtaH dAna-unmuKaH vratI /
   viṣamasthaś ca nāsedhyo na cainān āhvayen nṛpaḥ // Nar_M1.47 //	vizama-sTaH ca na-aseDyaH na ca-enAn Ahvayet nRpaH // Nar_M1.47 //
   nābhiyukto 'bhiyuñjīta tam atīrtvārtham anyataḥ /	na-aBiyuktaH aBiyuQjIta tam atIrtvA-arTam anyatas /
   na cābhiyuktam anyena na viddhaṃ veddhum arhati // Nar_M1.48 //	na ca-aBiyuktam anyena na vidDam vedDum arhati // Nar_M1.48 //
   yam artham abhiyuñjīta na taṃ viprakṛtiṃ nayet /	yam arTam aBiyuQjIta na tam viprakRtim nayet /
   nānyat pakṣāntaraṃ gacched gacchan pūrvāt sa hīyate // Nar_M1.49 //	na-anyat pakza-antaram gacCet gacCan pUrvAt sa hIyate // Nar_M1.49 //
   na ca mithyābhiyuñjīta doṣo mithyābhiyoginaḥ /	na ca miTyA-aBiyuQjIta dozaH miTyA-aBiyoginaH /
   yas tatra vinayaḥ proktaḥ so 'bhiyoktāram āvrajet // Nar_M1.50 //	yaH tatra vinayaH proktaH saH aBiyoktAram Avrajet // Nar_M1.50 //
   sāpadeśaṃ haran kālam abruvaṃś cāpi saṃsadi /	sa-apadeSam haran kAlam abruvan ca-api saMsadi /
   uktvā vaco vibruvaṃś ca hīyamānasya lakṣaṇam // Nar_M1.51 //	uktvA vacaH vibruvan ca hIyamAnasya lakzaNam // Nar_M1.51 //
   palāyate ya āhūtaḥ prāptaś ca vivaden na yaḥ /	palAyate yaH AhUtaH prAptaH ca vivadet na yaH /
   vineyaḥ sa bhaved rājñā hīna eva sa vādataḥ // Nar_M1.52 //	vineyaH sa Bavet rAjQA hInaH eva sa vAdataH // Nar_M1.52 //
   nirṇiktavyavahāreṣu pramāṇam aphalaṃ bhavet /	nirNikta-vyavahArezu pramANam aPalam Bavet /
   likhitaṃ sākṣiṇo vāpi pūrvam āveditaṃ na cet // Nar_M1.53 //	liKitam sAkziNaH vA-api pUrvam Aveditam na ced // Nar_M1.53 //
   yathā pakveṣu dhānyeṣu niṣphalāḥ prāvṛṣo guṇāḥ /	yaTA pakvezu DAnyezu nizPalAH prAvRzaH guNAH /
   nirṇiktavyavahārāṇāṃ pramāṇam aphalaṃ tathā // Nar_M1.54 //	nirNikta-vyavahArANAm pramANam aPalam taTA // Nar_M1.54 //
   abhūtam apy abhihitaṃ prāptakālaṃ parīkṣyate /	aBUtam api aBihitam prApta-kAlam parIkzyate /
   yat tu pramādān nocyeta tad bhūtam api hīyate // Nar_M1.55 //	yat tu pramAdAt na-ucyeta tat BUtam api hIyate // Nar_M1.55 //
   tīritaṃ cānuśiṣṭaṃ ca yo manyeta vidharmataḥ /	tIritam ca-anuSizwam ca yaH manyeta viDarmataH /
   dviguṇaṃ daṇḍam āsthāya tat kāryaṃ punar uddharet // Nar_M1.56 //	dviguNam daNxam AsTAya tat kAryam punar udDaret // Nar_M1.56 //
   durdṛṣṭe vyavahāre tu sabhyās taṃ daṇḍam āpnuyuḥ /	durdRzwe vyavahAre tu saByAH tam daNxam ApnuyuH /
   na hi jātu vinā daṇḍaṃ kaścin mārge 'vatiṣṭhate // Nar_M1.57 //	na hi jAtu vinA daNxam kaScid mArge avatizWate // Nar_M1.57 //
   rāgād ajñānato vāpi lobhād vā yo 'nyathā vadet /	rAgAt ajQAnataH vA-api loBAt vA yaH anyaTA vadet /
   sabhyo 'sabhyaḥ sa vijñeyas taṃ rājā vinayed bhṛśam // Nar_M1.58 //	saByaH asaByaH sa vijQeyaH tam rAjA vinayet BRSam // Nar_M1.58 //
   kiṃtu rājñā viśeṣeṇa svadharmam anurakṣatā /	kiMtu rAjQA viSezeNa svaDarmam anurakzatA /
   manuṣyacittavaicitryāt parīkṣyā sādhvasādhutā // Nar_M1.59 //	manuzya-citta-vEcitryAt parIkzyA sADu-asADu-tA // Nar_M1.59 //
   puruṣāḥ santi ye lobhāt prabrūyuḥ sākṣyam anyathā /	puruzAH santi ye loBAt prabrUyuH sAkzyam anyaTA /
   santi cānye durātmānaḥ kūṭalekhyakṛto janāḥ // Nar_M1.60 //	santi ca-anye durAtmAnaH kUwa-leKya-kRtaH janAH // Nar_M1.60 //
   ataḥ parīkṣyam ubhayam etad rājñā viśeṣataḥ /	atas parIkzyam uBayam etat rAjQA viSezataH /
   lekhyācāreṇa likhitaṃ sākṣyācāreṇa sākṣiṇaḥ // Nar_M1.61 //	leKya-AcAreNa liKitam sAkzi-AcAreNa sAkziNaH // Nar_M1.61 //
   asatyāḥ satyasaṃkāśāḥ satyāś cāsatyadarśanāḥ /	asatyAH satya-saMkASAH satyAH ca-asatya-darSanAH /
   dṛśyante vividhā bhāvās tasmād yuktaṃ parīkṣaṇam // Nar_M1.62 //	dRSyante viviDAH BAvAH tasmAt yuktam parIkzaNam // Nar_M1.62 //
   talavad dṛśyate vyoma khadyoto havyavāḍ iva /	tala-vat dRSyate vyoma KadyotaH havyavAw iva /
   na talaṃ vidyate vyomni na khadyote hutāśanaḥ // Nar_M1.63 //	na talam vidyate vyomni na Kadyote hutASanaH // Nar_M1.63 //
   tasmāt pratyakṣadṛṣṭo 'pi yuktam arthaḥ parīkṣitum /	tasmAt pratyakza-dRzwaH api yuktam arTaH parIkzitum /
   parīkṣya jñāpayan arthān na dharmāt parihīyate // Nar_M1.64 //	parIkzya jQApayan arTAn na DarmAt parihIyate // Nar_M1.64 //
   evaṃ paśyan sadā rājā vyavahārān samāhitaḥ /	evam paSyan sadA rAjA vyavahArAn samAhitaH /
   vitatyeha yaśo dīptaṃ bradhnasyāpnoti viṣṭapam // Nar_M1.65 //	vitatya-iha yaSaH dIptam braDnasya-Apnoti vizwapam // Nar_M1.65 //
   mātṛkā 2 ( mātṛkā 2 is found only in ms P. )	mAtRkA 2 ( mAtRkA 2 iH found onlI id ms P. )
   [The second chapter of the mātṛkā included in Jolly's edition and	[The secA-Und CapteH of Te mAtRkAH includet id Jolly-as edition and
   translation	tran-slatiA-un
   is not to be part of the original Nāradasmṛti (see the Introduction to the	iH na-ut taH be part of Te originan NArada-smRti (see Te Intra-uduction taH Te
   text).	text).
   Its translation is given in the Appendix.]	Its tran-slation iH givet id Te Appendix.]
   [bhāṣā]	[BAzA]
   suniścitabalādhānas tv arthī svārthapracoditaḥ /	su-niScita-bala-ADAnaH tu arTI sva-arTa-pracoditaH /
   lekhayet pūrvapakṣaṃ tu kṛtakāryaviniścayaḥ // Nar_M2.1 //	leKayet pUrva-pakzam tu kRta-kArya-viniScayaH // Nar_M2.1 //
   pūrvapakṣaśrutārthas tu pratyarthī tadanantaram /	pUrva-pakza-Sruta-arTaH tu pratyarTI tad-anantaram /
   pūrvapakṣārthasaṃbandhaṃ pratipakṣaṃ niveśayet // Nar_M2.2 //	pUrva-pakza-arTa-saMbanDam pratipakzam niveSayet // Nar_M2.2 //
   śvo lekhanaṃ vā sa labhet tryahaṃ saptāham eva vā /	Svas leKanam vA sa laBet tri-aham sapta-aham eva vA /
   arthī tṛtīyapāde tu yuktaṃ sadyo dhruvaṃ jayī // Nar_M2.3 //	arTI tRtIya-pAde tu yuktam sadyas Druvam jayI // Nar_M2.3 //
   mithyā saṃpratipattir vā pratyavaskandam eva vā /	miTyA saMpratipattiH vA pratyavaskandam eva vA /
   prāṅnyāyavidhisādhyaṃ vā uttaraṃ syāc caturvidham // Nar_M2.4 //	prAFnyAya-viDi-sADyam vA uttaram syAt caturviDam // Nar_M2.4 //
   mithyaitan nābhijānāmi tadā tatra na saṃnidhiḥ /	miTyA-etat na-aBijAnAmi tadA tatra na saMniDiH /
   ajātaś cāsmi tatkāla evaṃ mithyā caturvidhā // Nar_M2.5 //	ajAtaH ca-asmi tad-kAle evam miTyA caturviDAH // Nar_M2.5 //
   mithyā ca viparītaṃ ca punaḥ śabdasamāgamam /	miTyA ca viparItam ca punar Sabda-samAgamam /
   pūrvapakṣārthasaṃbandham uttaraṃ syāc caturvidham // Nar_M2.6 //	pUrva-pakza-arTa-saMbanDam uttaram syAt caturviDam // Nar_M2.6 //
   bhāṣāyā uttaraṃ yāvat pratyarthī na niveśayet /	BAzAyAH uttaram yAvat pratyarTI na niveSayet /
   arthī tu lekhayet tāvad yāvad vastu vivakṣitam // Nar_M2.7 //	arTI tu leKayet tAvat yAvat vastu vivakzitam // Nar_M2.7 //
   anyārtham arthahīnaṃ ca pramāṇāgamavarjitam /	anya-arTam arTa-hInam ca pramANa-Agama-varjitam /
   lekhyaṃ hīnādhikaṃ bhraṣṭaṃ bhāṣādoṣās tūdāhṛtāḥ // Nar_M2.8 //	leKyam hIna-aDikam Brazwam BAzA-dozAH tu-udAhRtAH // Nar_M2.8 //
   labdhavyaṃ yena yad yasmāt sa tat tasmād avāpnuyāt /	labDavyam yena yat yasmAt sa tat tasmAt avApnuyAt /
   na tv anyo 'nyad athānyasmād ity anyārtham idaṃ tridhā // Nar_M2.9 //	na tu anyaH anyat aTa-anyasmAt iti anya-arTam idam triDA // Nar_M2.9 //
   manasāham api dhyātas tvanmitreṇeha śatruvat /	manasA-aham api DyAtaH tvad-mitreNa-iha Satru-vat /
   ato 'nyathā mahākṣāntyā tvam ihāvedito mayā // Nar_M2.10 //	atas anyaTA mahA-kzAntyA tvam iha-AveditaH mayA // Nar_M2.10 //
   dravyapramāṇahīnaṃ yat phalopāśrayavarjitam /	dravya-pramANa-hInam yat Pala-upASraya-varjitam /
   pramāṇavarjitaṃ nāma lekhyadoṣaṃ tad utsṛjet // Nar_M2.11 //	pramANa-varjitam nAma leKya-dozam tat utsRjet // Nar_M2.11 //
   āgamavarjitaṃ doṣaṃ pūrvapāde vivarjayet /	Agama-varjitam dozam pUrva-pAde vivarjayet /
   ekasya bahubhiḥ sārdhaṃ purarāṣṭravirodhakam // Nar_M2.12 //	ekasya bahuBiH sArDam pura-rAzwra-viroDakam // Nar_M2.12 //
   bindumātrāpadavarṇeṣv ekāvidhiṣṭayā (?) /	bindu-mAtrA-pada-varNezu eka-aviDizwayA (?) /
   hīnādhikā bhaved vyarthā tāṃ yatnena vivarjayet // Nar_M2.13 //	hIna-aDikA Bavet vyarTA tAm yatnena vivarjayet // Nar_M2.13 //
   bhraṣṭaṃ tu duḥsthitaṃ yat syāj jalatailādibhir hatam /	Brazwam tu duHsTitam yat syAt jala-tEla-AdiBiH hatam /
   bhāṣāyāṃ tad api spaṣṭaṃ vispaṣṭārthaṃ vivarjayet // Nar_M2.14 //	BAzAyAm tat api spazwam vispazwa-arTam vivarjayet // Nar_M2.14 //
   satyā bhāṣā na bhavati yady api syāt pratiṣṭhitā /	satyA BAzA na Bavati yadi api syAt pratizWitA /
   bahiś ced bhraśyate dharmān niyatād vyavahārikāt // Nar_M2.15 //	bahis ced BraSyate DarmAt niyatAt vyavahArikAt // Nar_M2.15 //
   gandhamādanasaṃsthasya mayāsyāsīt tad arpitam /	ganDamAdana-saMsTasya mayA-asya-AsIt tat arpitam /
   vyavahārikadharmasya bāhyam etan na sidhyati // Nar_M2.16 //	vyavahArika-Darmasya bAhyam etat na siDyati // Nar_M2.16 //
   anyākṣaraniveśena anyārthagamanena ca /	anya-akzara-niveSena anya-arTa-gamanena ca /
   ākulaṃ ca kriyādānaṃ kriyā caivākulā bhavet // Nar_M2.17 //	Akulam ca kriyA-dAnam kriyA ca-eva-AkulAH Bavet // Nar_M2.17 //
   rāgādīnāṃ yad ekena kopitaḥ karaṇe vadet /	rAga-AdInAm yat ekena kopitaH karaNe vadet /
   tad ādau tu likhet sarvaṃ vādinaḥ phalakādiṣu // Nar_M2.18 //	tat AdO tu liKet sarvam vAdinaH Palaka-Adizu // Nar_M2.18 //
   nirākulāvabodhāya dharmasthaiḥ suvicāritam /	nirAkula-avaboDAya Darma-sTEH su-vicAritam /
   tasmād anyad vyapohyaṃ syād vādinaḥ phalakādiṣu // Nar_M2.19 //	tasmAt anyat vyapohyam syAt vAdinaH Palaka-Adizu // Nar_M2.19 //
   vādibhyām abhyanujñātaṃ śeṣaṃ ca phalake sthitam /	vAdiByAm aByanujQAtam Sezam ca Palake sTitam /
   sasākṣikaṃ likheyus te pratipattiṃ ca vādinoḥ // Nar_M2.20 //	sa-sAkzikam liKeyuH te pratipattim ca vAdinoH // Nar_M2.20 //
   vādibhyāṃ likhitāc cheṣaṃ yat punar vādinā smṛtam /	vAdiByAm liKitAt Sezam yat punar vAdinA smRtam /
   tat pratyākalitaṃ nāma svapāde tasya likhyate // Nar_M2.21 //	tat pratyAkalitam nAma sva-pAde tasya liKyate // Nar_M2.21 //
   arthinā saṃniyukto vā pratyarthiprahito 'pi vā /	arTinA saMniyuktaH vA pratyarTi-prahitaH api vA /
   yo yasyārthe vivadate tayor jayaparājayau // Nar_M2.22 //	yaH yasya-arTe vivadate tayoH jaya-parAjayO // Nar_M2.22 //
   yo na bhrātā na ca pitā na putro na niyogakṛt /	yaH na BrAtA na ca pitA na putraH na niyoga-kRt /
   parārthavādī daṇḍyaḥ syād vyavahāre 'pi vibruvan // Nar_M2.23 //	para-arTa-vAdI daNxyaH syAt vyavahAre api vibruvan // Nar_M2.23 //
   pūrvavādaṃ parityajya yo 'nyam ālambate punaḥ /	pUrvavAdam parityajya yaH anyam Alambate punar /
