   Vajravidāraṇī	VajravidAraNI
   rakṣakaraṃ śāntikaṃ puṣṭikaṃ sarvasatvānāṃ stambhanakaraṃ sarvasatvānāṃ	rakza-karam SAntikam puzwikam sarva-satvAnAm stamBana-karam sarva-satvAnAm
   mohanakaram idaṃ mantramahābalaṃ sarvabuddhānubhāvena yakṣendro vajrapāṇiḥ	mohana-karam idam mantra-mahA-balam sarva-budDa-anuBAvena yakza-indraH vajrapANiH
   prabhāṣate sma //	praBAzate sma //
   namo ratnatrayāya /	namaH ratnatrayAya /
   namo caṇḍavajrapāṇaye mahāyakṣasenāpataye //	namaH caNxa-vajrapANaye mahA-yakza-senApataye //
   (Vv_8)	(Vu-_8)
   tadyathā / taṭa 2 trotaya 2 sphuṭa 2 sphoṭaya 2 ghuṇa 2 ghuṇāpaya 2	tat-yaTA / tawa 2 trotayaH 2 sPuwa 2 sPowaya 2 GuNaH 2 GuNApaya 2
   sarvasatvāni bodhaya 2 saṃbodhaya 2 trasa 2 soṃtrāsaya 2	sarva-satvAni boDaya 2 saMboDaya 2 trasa 2 soMtrAsayaH 2
   sarvabuddhābodhinī 2 kūṭa 2 kūṭaya 2 saṃkuṭaya 2 sarvaśatrūn ghaṭa 2	sarva-budDa-AboDinI 2 kUwaH 2 kUwaye 2 saMkuwaya 2 sarva-SatrUn Gawa 2
   saṃghaṭaya 2 sarvavidyāvajra 2 sphoṭaya vajra 2 kaṭa vajra 2 maṭa vajra 2	saMGawaya 2 sarva-vidyA-avajraH 2 sPowaya vajraH 2 kawa vajra 2 mawa vajra 2
   pratha vajra 2 tatha sahanīlavajra suvajrāya svāhā //	praTa vajraH 2 taTa saha-nIla-vajra su-vajrAya svAhA //
   oṃ he phalini 2 gṛhṇa 2 kuru 2 mili 2 curu 2 kara 2 vajravijayāya svāhā //	om he Palini 2 gRhNa 2 kuru 2 mili 2 curu 2 karaH 2 vajra-vijayAya svAhA //
   oṃ vajrakilikilmiṣa svāhā //	om vajrakili-kilmiza svAhA //
   oṃ kaṭa 2 maṭa 2 raṭa 2 moṭaya pramoṭanāya svāhā //	om kawa 2 mawaH 2 rawaH 2 mowaya pramowanAya svAhA //
   oṃ cara 2 vicara 2 husara 2 māraya 2 vajravidāraṇāya svāhā //	om cara 2 vicara 2 husara 2 mAraya 2 vajra-vidAraNAya svAhA //
   oṃ chinda 2 bhinda 2 mahākilikilāya svāhā //	om Cinda 2 Binda 2 mahA-kili-kilAya svAhA //
   oṃ bandha 2 krodhavajrāya kilikilāya svāhā //	om banDa 2 kroDa-vajrAya kili-kilAya svAhA //
   oṃ culu 2 caṇḍāli kilikilāya svāhā //	om culu 2 caNxAli kili-kilAya svAhA //
   oṃ trāsaya kilikilāya svāhā //	om trAsaya kili-kilAya svAhA //
   oṃ hara 2 vajradharāya svāhā //	om hara 2 vajraDarAya svAhA //
   oṃ prahara 2 vajraprabhañjanāya svāhā //	om prahara 2 vajra-praBaQjanAya svAhA //
   ṛddhisthiravajra śrutisthiravajra pratisthiravajra mahāvajra	RdDi-sTiH-avajra Sruti-sTira-vajra pratisTiH-avajra mahA-vajra
   apratihatavajra amoghavajra ehy ehi vajra śīghraṃ vajrāya svāhā //	apratihata-vajra amoGa-vajraH ehi ehi vajra SIGram vajrAya svAhA //
   aṃ dhara 2 dhiri 2 dhuru 2 huṃ huṃ phaṭ phaṭ svāhā //	am Dara 2 Diri 2 Duru 2 hum hum Paw Paw svAhA //
   oṃ namaḥ samantabuddhānāṃ /	om namaH samantabudDAnAm /
   oṃ mahābala kaṭa vegatare acale maṇḍala māraya ativajre mahāvegaraṇapūjite	om mahA-bala kawa vegatare acale maNxala mAraya ati-vajre mahA-vegaraNa-pUjite
   jvala 2 ṭi ṭi ṭi ṭi ṭi //	jvala 2 wi wi wi wi wi //
   (Vv_9)	(Vu-_9)
   nara daha 2 dhara 2 vajra tejovati tiri 2 bandha 2 mahābala vajra	nara daha 2 DaraH 2 vajra tejovati tiri 2 banDa 2 mahA-bala vajra
   vajrāṅkuśa jvālaya svāhā //	vajrAFkuSa jvAlaya svAhA //
   oṃ namo ratnatrayāya / namaś caṇḍavajrapāṇaye mahāyakṣasenāpataye //	om namaH ratnatrayAya / namaH caNxa-vajrapANaye mahA-yakza-senApataye //
   tadyathā / oṃ hara 2 vajra matha 2 vajra dhuru 2 vajra dhara 2	tat-yaTA / om hara 2 vajra maTa 2 vajra Duru 2 vajra Dara 2
   vajradharāya 2 vajraripuna vajra cchinda 2 vajra bhinda 2 vajra huṃ phaṭ	vajraDarAya 2 vajra-ripuna vajra cCinda 2 vajra Binda 2 vajra hum Paw-
   oṃ namaś caṇḍavajrapāṇaye mahākrodhāya huru 2 vajra bandha hara 2 amṛte	om namaH caNxa-vajrapANaye mahA-kroDAya huru 2 vajra banDa hara 2 amRte
   huṃ phaṭ svāhā //	hum Paw svAhA //
   hṛadayamantraḥ //	hRa-daya-mantraH //
   oṃ namo ratnatrayāya //	om namaH ratnatrayAya //
   namaś caṇḍavajrapāṇaye huru 2 tiṣṭha 2 bandha 2 amṛte huṃ phaṭ svāhā //	namaH caNxa-vajrapANaye huru 2 tizWa 2 banDa 2 amRte hum Paw svAhA //
   iti śrī vajravidāraṇā nāma dhāraṇīhṛdayopahṛdayaṃ mūlasūtraṃ samāptam //	iti SrI vajravidAraNA nAma DAraNI-hRdaya-upahRdayam mUlasUtram samAptam //
