   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   aṭavīviṭapādiṣu Bca_8.76d	awavI-viwapa-Adizu Bca_8.76d
   ataeva na me parārthacintā Bca_1.2c	ataeva na me para-arTa-cintA Bca_1.2c
   ata eva vicāro 'yaṃ Bca_9.93a	atas eva vicAraH ayam Bca_9.93a
   ata evāha bhagavān Bca_4.20a	atas eva-Aha BagavAn Bca_4.20a
   ata tvadicchayā siddhaṃ Bca_6.88a	atas tvad-icCayA sidDam Bca_6.88a
   ataḥ paraṃ pritaṣṭhantāṃ Bca_2.20a	atas param pritazWantAm Bca_2.20a
   ataḥ parārthaṃ kṛtvāpi Bca_8.109a	atas para-arTam kRtvA-api Bca_8.109a
   ataḥ supuṣpacandreṇa Bca_8.106a	atas su-puzpa-candreNa Bca_8.106a
   atītānāgataṃ cittaṃ Bca_9.74a	atIta-anAgatam cittam Bca_9.74a
   atītya yuṣmadvacanaṃ Bca_2.54a	atItya yuzmad-vacanam Bca_2.54a
   ato mamārthāya parārthacintā Bca_2.7c	atas mama-arTAya para-arTa-cintA Bca_2.7c
   ato yadi na rakṣyate Bca_8.97b	atas yadi na rakzyate Bca_8.97b
   ato 'yaṃ bahudoṣo 'pi Bca_8.184c	atas ayam bahu-dozaH api Bca_8.184c
   atyaniṣṭāgamenāpi Bca_6.9a	ati-anizwa-Agamena-api Bca_6.9a
   atyapramattastiṣṭhāmi Bca_2.58a	atyapramattaH-tizWAmi Bca_2.58a
   atyayamatyayatvena Bca_2.66a	atyayam-atyaya-tvena Bca_2.66a
   atra kopo na yujyate Bca_6.102b	atra kopaH na yujyate Bca_6.102b
   atra grahī bhaviṣyāmi Bca_4.43a	atra grahI BavizyAmi Bca_4.43a
   atra me cetanā nāsti Bca_4.27a	atra me cetanA na-asti Bca_4.27a
   atra vādo vṛthā nanu Bca_9.72d	atra vAdaH vRTA nanu Bca_9.72d
   atha jñaścetanāyogād Bca_9.69c	aTa jQaH-cetanA-yogAt Bca_9.69c
   atha jñeyavaśājjñānaṃ Bca_9.113a	aTa jQeya-vaSAt-jQAnam Bca_9.113a
   atha jñeyādbhavetpaścāt Bca_9.106a	aTa jQeyAt-Bavet-paScAt Bca_9.106a
   atha doṣo 'yamāgantuḥ Bca_6.40a	aTa dozaH ayam-AgantuH Bca_6.40a
   atha na śrūyate teṣāṃ Bca_8.11c	aTa na SrUyate tezAm Bca_8.11c
   atha nāsti pratīkāro Bca_6.10c	aTa na-asti pratIkAraH Bca_6.10c
   atha pratyapakārī syāṃ Bca_6.51a	aTa pratyapakArI syAm Bca_6.51a
   atha matsamadhātureva paśyed Bca_1.3c	aTa mad-sama-DAtuH-eva paSyet Bca_1.3c
   atha yasya manaḥ prasādameti Bca_1.35a	aTa yasya manaH prasAdam-eti Bca_1.35a
   atha sāpyanyasaṃvṛtyā Bca_9.107c	aTa sA-api-anya-saMvRtyA Bca_9.107c
   athānyonyavaśātsattvam Bca_9.113c	aTa-anyonya-vaSAt-sattvam Bca_9.113c
   athāpi hastapādādi Bca_7.20a	aTa-api hasta-pAda-Adi Bca_7.20a
   athāpyartho bhavedevam Bca_6.88c	aTa-api-arTaH Bavet-evam Bca_6.88c
   athāpyavidyamāno 'sau Bca_9.146c	aTa-api-avidyamAnaH asO Bca_9.146c
   athāvikṛta evātmā Bca_9.70a	aTa-avikRtaH eva-AtmA Bca_9.70a
   athāhamacikitsyo 'sya Bca_8.145a	aTa-aham-acikitsyaH asya Bca_8.145a
   athāhamātmadoṣeṇa Bca_6.103a	aTa-aham-Atma-dozeNa Bca_6.103a
   athaivamucyamāne 'pi Bca_8.168a	aTa-evam-ucyamAne api Bca_8.168a
   athotpannamahaṃ cittaṃ Bca_9.74c	aTa-utpannam-aham cittam Bca_9.74c
   adaridraṃ jagatkṛtvā Bca_5.9a	adaridram jagat-kRtvA Bca_5.9a
   adāntā mattamātaṅgā Bca_5.2a	adAntA matta-mAtaFgAH Bca_5.2a
   adyaprabhṛtyastu ca puṣpavṛṣṭiḥ Bca_10.9b	adyapraBRti-astu ca puzpa-vRzwiH Bca_10.9b
   adya buddhakule jāto Bca_3.25c	adya budDa-kule jAtaH Bca_3.25c
   adya me saphalaṃ janma Bca_3.25a	adya me saPalam janma Bca_3.25a
   adyāpi cettathaiva syāṃ Bca_4.14a	adya-api ced-taTA-eva syAm Bca_4.14a
   adyāpyasti mama svārtha Bca_8.170a	adya-api-asti mama sva-arTa Bca_8.170a
   adyaiva maraṇaṃ neti Bca_2.59a	adya-eva maraNam na-iti Bca_2.59a
   adyaiva śaraṇaṃ yāmi Bca_2.48a	adya-eva SaraNam yAmi Bca_2.48a
   adhunā vada kasmāttvaṃ Bca_5.64c	aDunA vada kasmAt-tvam Bca_5.64c
   adhyatiṣṭhadatho nāthaḥ Bca_8.118a	aDyatizWat-aTo nATaH Bca_8.118a
   adhvānaṃ pratipannasya Bca_8.34a	aDvAnam pratipannasya Bca_8.34a
   anadhīṣṭopakāriṇām Bca_5.74b	anaDIzwa-upakAriNAm Bca_5.74b
   anantaduḥkhasāgarāḥ Bca_9.159b	ananta-duHKa-sAgarAH Bca_9.159b
   anantaratisaṃtatim Bca_7.15b	ananta-rati-saMtatim Bca_7.15b
   anantāṃśairguṇārṇavaiḥ Bca_6.116d	ananta-aMSEH-guNa-arNavEH Bca_6.116d
   anapekṣaṃ ca dṛśyate Bca_9.20b	anapekzam ca dRSyate Bca_9.20b
   anarthaḥ kasyacinmā bhūn Bca_3.14c	anarTaH kasyacid-mA BUn Bca_3.14c
   anarthaḥ konvataḥ paraḥ Bca_6.88d	anarTaH konvataH paraH Bca_6.88d
   anavadyeṣu vastuṣu Bca_5.57b	anavadyezu vastuzu Bca_5.57b
   anāthabālavṛddhānāṃ Bca_10.26c	anATa-bAla-vRdDAnAm Bca_10.26c
   anāthānāmahaṃ nāthaḥ Bca_3.17a	anATAnAm-aham nATaH Bca_3.17a
   anādikālopacitāt Bca_4.21c	anAdi-kAla-upacitAt Bca_4.21c
   anādimati saṃsāre Bca_2.28a	anAdimati saMsAre Bca_2.28a
   anādyantaṃ mahādīrghaṃ Bca_4.32c	anAdi-antam mahA-dIrGam Bca_4.32c
   anārambho varaṃ nāma Bca_7.47c	anAramBaH varam nAma Bca_7.47c
   anityajīvitāsaṅgād Bca_2.43a	anitya-jIvita-AsaFgAt Bca_2.43a
   anitye sthaulyasūkṣmate Bca_9.134b	anitye sTOlya-sUkzmate Bca_9.134b
   anivarttī bhaviṣyāmi Bca_4.42c	anivarttI BavizyAmi Bca_4.42c
   anivartyena cetasā Bca_1.18d	anivartyena cetasA Bca_1.18d
   aniṣṭakaraṇājjātam Bca_6.7a	anizwa-karaNAt-jAtam Bca_6.7a
   aniṣyamāṇamapyetac Bca_6.23a	anizyamANam-api-etat Bca_6.23a
   aniṣyamāṇo 'pi balāt Bca_6.23c	anizyamANaH api balAt Bca_6.23c
   anīlatve na tannīlaṃ Bca_9.20c	anIlatve na tat-nIlam Bca_9.20c
   anīlatve na tannīlaṃ Bca_9.21c	anIlatve na tat-nIlam Bca_9.21c
   anugrāhyā mayānye 'pi Bca_8.94c	anugrAhyAH mayA-anye api Bca_8.94c
   anutpannaṃ hi tannāsti Bca_6.28a	anutpannam hi tat-na-asti Bca_6.28a
   anunītaṃ pratihataṃ Bca_5.48a	anunItam pratihatam Bca_5.48a
   anubrūyācca toṣataḥ Bca_5.76b	anubrUyAt-ca tozataH Bca_5.76b
   anumode ca tāyinām Bca_3.2d	anumode ca tAyinAm Bca_3.2d
   anumode ca śāsinām Bca_3.3d	anumode ca SAsinAm Bca_3.3d
   anumode pramodena Bca_3.1c	anumode pramodena Bca_3.1c
   anumode śarīriṇāṃ Bca_3.2b	anumode SarIriNAm Bca_3.2b
   anuśaṃsāṃśca bhāvayan Bca_7.31d	anuSaMsAn=-ca BAvayan Bca_7.31d
   anekadoṣaduṣṭena Bca_2.31a	aneka-doza-duzwena Bca_2.31a
   aneke śrutavanto 'pi Bca_5.26a	aneke SrutavantaH api Bca_5.26a
   anena mama puṇyena Bca_10.31a	anena mama puNyena Bca_10.31a
   anena śataśaḥ sarve Bca_8.154c	anena SataSas sarve Bca_8.154c
   anena hi vihāreṇa Bca_5.21a	anena hi vihAreNa Bca_5.21a
   andhaḥ saṅkarakūṭebhyo Bca_3.27a	anDaH saFkara-kUweByaH Bca_3.27a
   andhāḥ paśyantu rūpāṇi Bca_10.19a	anDAH paSyantu rUpANi Bca_10.19a
   annapānapravarṣaṇaiḥ Bca_3.8b	anna-pAna-pravarzaNEH Bca_3.8b
   annādo 'medhyabhakṣaḥ syāt Bca_9.136c	anna-AdaH ameDya-BakzaH syAt Bca_9.136c
   anya eva prajāyate Bca_8.98d	anyaH eva prajAyate Bca_8.98d
   anya eva mṛto yasmād Bca_8.98c	anyaH eva mRtaH yasmAt Bca_8.98c
   anyacittena mandena Bca_5.16c	anya-cittena mandena Bca_5.16c
   anyacca kāryakālaṃ ca Bca_7.48c	anyat-ca kArya-kAlam ca Bca_7.48c
   anyato nāpi cāyātaṃ Bca_9.143a	anyatas na-api ca-AyAtam Bca_9.143a
   anyatra tadvidhātkleśāt Bca_4.43c	anyatra tadviDAt-kleSAt Bca_4.43c
   anyatra mayi vā prītyā Bca_6.95a	anyatra mayi vA prItyA Bca_6.95a
   anyatrācārasetutaḥ Bca_5.83d	anyatra-AcAra-setutaH Bca_5.83d
   anyatrāpi na labhyate Bca_9.103d	anyatra-api na laByate Bca_9.103d
   anyathā nobhayaṃ bhavet Bca_5.44b	anyaTA na-uBayam Bavet Bca_5.44b
   anyathā me kathaṃ kṣāntir Bca_6.110c	anyaTA me kaTam kzAntiH Bca_6.110c
   anyathā lokabādhā syād Bca_9.8c	anyaTA loka-bADA syAt Bca_9.8c
   anyathā vardhate vyathā Bca_6.16d	anyaTA varDate vyaTA Bca_6.16d
   anyathā syādasaṃvṛtaḥ Bca_5.95d	anyaTA syAt-asaMvRtaH Bca_5.95d
   anyadīyaścaro bhūtvā Bca_8.159a	anyadIyaH-caraH BUtvA Bca_8.159a
   anyadīyena gandhena Bca_8.65c	anyadIyena ganDena Bca_8.65c
   anyadīyena gandhena Bca_8.67c	anyadIyena ganDena Bca_8.67c
   anyadīyaiḥ karādibhiḥ Bca_8.138d	anyadIyEH kara-AdiBiH Bca_8.138d
   anyadevekṣate jagat Bca_2.44d	anyat-eva-Ikzate jagat Bca_2.44d
   anyadduḥkhaṃ mayātmanā Bca_8.93b	anyat-duHKam mayA-AtmanA Bca_8.93b
   anyadrūpamasatyaṃ cen Bca_9.67a	anyat-rUpam-asatyam ced Bca_9.67a
   anyasaṃbaddhamasmīti Bca_8.137a	anya-saMbadDam-asmi-iti Bca_8.137a
   anyā cennāsti vastutaḥ Bca_9.27d	anyA ced-na-asti vastutas Bca_9.27d
   anyādhikayaśovādair Bca_8.163a	anya-aDika-yaSaH-vAdEH Bca_8.163a
   anyāni vā pūjyavibhūṣaṇāni Bca_2.5b	anyAni vA pUjya-viBUzaNAni Bca_2.5b
   anyānubhūte saṃbandhāt Bca_9.24c	anya-anuBUte saMbanDAt Bca_9.24c
   anyenāpi kṛtaṃ doṣaṃ Bca_8.162a	anyena-api kRtam dozam Bca_8.162a
   anye śūlasamarpitāḥ Bca_8.78b	anye SUla-samarpitAH Bca_8.78b
   anyaiḥ stutvā guṇorjitam Bca_6.76b	anyEH stutvA guNa-Urjitam Bca_6.76b
   anyo 'nyaduḥkhanādghoraṃ Bca_8.133c	anyaH anya-duHKanAt-Goram Bca_8.133c
   anyonyabhakṣaṇabhayaṃ Bca_10.17a	anyonya-BakzaNa-Bayam Bca_10.17a
   anyobhayeṣṭasatyatve Bca_9.43c	anya-uBaya-izwa-satya-tve Bca_9.43c
   anyo 'sau pūrvakaḥ kālas Bca_8.169c	anyaH asO pUrvakaH kAlaH Bca_8.169c
   apakārāśayo 'syeti Bca_6.110a	apakAra-ASayaH asya-iti Bca_6.110a
   apanetuṃ janasya hi Bca_8.118d	apanetum janasya hi Bca_8.118d
   aparāddhaṃ vimānayet Bca_6.129d	aparAdDam vimAnayet Bca_6.129d
   aparān guṇamānena Bca_8.146c	aparAn guNa-mAnena Bca_8.146c
   aparaiḥ kartumicchasi Bca_6.86d	aparEH kartum-icCasi Bca_6.86d
   aparo 'pyenamato 'pi sārthako 'yaṃ Bca_1.3d	aparaH api-enam-atas api sArTakaH ayam Bca_1.3d
   apaśyannaratiṃ yāti Bca_8.6a	apaSyan=-aratim yAti Bca_8.6a
   apāyaduḥkhaviśrāmaṃ Bca_3.1a	apAya-duHKa-viSrAmam Bca_3.1a
   apāyaduḥkhaiḥ saṃmūḍhaḥ Bca_4.18c	apAya-duHKEH saMmUXaH Bca_4.18c
   apāyapātarakṣārthaṃ Bca_6.99c	apAya-pAta-rakzA-arTam Bca_6.99c
   api tvaneke 'nityāśca Bca_9.120a	api tu-aneke anityAH-ca Bca_9.120a
   api nāma guṇā ye 'sya Bca_8.148c	api nAma guNAH ye asya Bca_8.148c
   api sattvavyasanāni hartukāmaiḥ Bca_1.8b	api sattva-vyasanAni hartu-kAmEH Bca_1.8b
   api sarvatra me loke Bca_8.148a	api sarvatra me loke Bca_8.148a
   apuṇyavānasmi mahādaridraḥ Bca_2.7a	apuNyavAn-asmi mahAdaridraH Bca_2.7a
   apuṇyācaraṇena ca Bca_6.36d	apuNya-AcaraNena ca Bca_6.36d
   apūrva iva sarvatra Bca_8.16c	apUrvaH iva sarvatra Bca_8.16c
   apūrveyaṃ tadekatā Bca_9.66d	apUrvA-iyam tad-ekatA Bca_9.66d
   apūrvo jāyate kathaṃ Bca_1.25b	apUrvaH jAyate kaTam Bca_1.25b
   apekṣate cetsāmagrīṃ Bca_9.125a	apekzate ced-sAmagrIm Bca_9.125a
   apyacintyaṃ kimucyate Bca_9.121d	api-acintyam kim-ucyate Bca_9.121d
   aprakampyaṃ sumeruvat Bca_5.58d	aprakampyam sumeru-vat Bca_5.58d
   apramādakathāṃ smaran Bca_7.74b	apramAda-kaTAm smaran Bca_7.74b
   apramādakathāṃ smṛtvā Bca_8.185c	apramAda-kaTAm smRtvA Bca_8.185c
   aprameya udāhṛtaḥ Bca_5.97b	aprameyaH udAhRtaH Bca_5.97b
   aprameyaguṇaṃ sattvam Bca_1.22c	aprameya-guNam sattvam Bca_1.22c
   aprameyavyathābhājye Bca_7.34c	aprameya-vyaTA-BAjye Bca_7.34c
   aprameyā gatā buddhāḥ Bca_4.13a	aprameyAH gatAH budDAH Bca_4.13a
   aprameyā gatāḥ kalpāḥ Bca_8.155a	aprameyAH gatAH kalpAH Bca_8.155a
   aprameyā mayā doṣā Bca_7.33a	aprameyAH mayA dozAH Bca_7.33a
   aprameyāyuṣaścaiva Bca_10.33a	aprameya-AyuzaH-ca-eva Bca_10.33a
   aprameyeṇa puṇyena Bca_1.21c	aprameyeNa puNyena Bca_1.21c
   aprameyopakāriṇām Bca_6.119b	aprameya-upakAriNAm Bca_6.119b
   apraveśe na miśratvam Bca_9.95c	apraveSe na miSra-tvam Bca_9.95c
   aprasādiṣu te kṣamā Bca_6.63b	aprasAdizu te kzamA Bca_6.63b
   aprahīṇā hi tatkartur Bca_9.32a	aprahINAH hi tad-kartuH Bca_9.32a
   apriyā na bhaviṣyanti Bca_2.37a	apriyAH na Bavizyanti Bca_2.37a
   aprītiduḥkhaṃ dveṣaistu Bca_5.78c	aprIti-duHKam dvezEH-tu Bca_5.78c
   abhayaṃ kena me dattaṃ Bca_2.60a	aBayam kena me dattam Bca_2.60a
   abhaviṣyadidaṃ karma Bca_8.157a	aBavizyat-idam karma Bca_8.157a
   abhāvaḥ syāddvayorapi Bca_9.113d	aBAvaH syAt-dvayoH-api Bca_9.113d
   abhinandantu vilokya nārakāste Bca_10.15d	aBinandantu vilokya nArakAH-te Bca_10.15d
   abhinandantu surāsurādayaḥ Bca_3.33d	aBinandantu sura-asura-AdayaH Bca_3.33d
   abhilāṣavighātāśca Bca_7.41c	aBilAza-viGAtAH-ca Bca_7.41c
   abhivandyānyatīṃstathā Bca_2.25d	aBivandya-anyatIn=-taTA Bca_2.25d
   abhuktvāpāyikaṃ duḥkhaṃ Bca_10.47a	aBuktvA-apAyikam duHKam Bca_10.47a
   abhyarcayāmyarcyatamānmunīndrān Bca_2.15c	aByarcayAmi-arcyatamAn-muni-indrAn Bca_2.15c
   abhyākhyāsyanti māṃ ye ca Bca_3.16a	aByAKyAsyanti mAm ye ca Bca_3.16a
   abhyāsādanyadīyeṣu Bca_8.111a	aByAsAt-anyadIyezu Bca_8.111a
   amameṣu pradeśeṣu Bca_8.28a	amamezu pradeSezu Bca_8.28a
   amiśratve na saṃgatiḥ Bca_9.95d	amiSra-tve na saMgatiH Bca_9.95d
   amedhyakṣetrasaṃbhūtaṃ Bca_8.59c	ameDya-kzetra-saMBUtam Bca_8.59c
   amedhyaghaṭitaṃ yantraṃ Bca_5.61c	ameDya-Gawitam yantram Bca_5.61c
   amedhyajamapīcchasi Bca_8.60d	ameDya-jam-api-icCasi Bca_8.60d
   amedhyabhavamalpatvān Bca_8.60a	ameDya-Bavam-alpa-tvAn Bca_8.60a
   amedhyabhastrāmaparāṃ Bca_8.53c	ameDya-BastrAm-aparAm Bca_8.53c
   amedhyabhāṇḍānaparān Bca_8.61c	ameDya-BANxAn-aparAn Bca_8.61c
   amedhyaśauṇḍacittasya Bca_8.57c	ameDya-SONxa-cittasya Bca_8.57c
   amedhyaṃ nādhimucyase Bca_8.63b	ameDyam na-aDimucyase Bca_8.63b
   ayameva hi kāyo me Bca_8.31a	ayam-eva hi kAyaH me Bca_8.31a
   ayaśaścetyanīpsitam Bca_6.11b	ayaSaH-ca-iti-anIpsitam Bca_6.11b
   ayaśaścetyayaṃ gaṇaḥ Bca_6.53b	ayaSaH-ca-iti-ayam gaNaH Bca_6.53b
   ayaṃ kila mahā/lloke Bca_8.142c	ayam kila mahA/lloke Bca_8.142c
   ayaṃ susthaḥ paro duḥstho Bca_8.160a	ayam susTaH paraH duHsTaH Bca_8.160a
   ayuktamapi cedetad Bca_8.100a	ayuktam-api ced-etat Bca_8.100a
   ayuktaṃ tena nāsti tat Bca_9.129b	ayuktam tena na-asti tat Bca_9.129b
   arjanarakṣaṇanāśaviṣādair Bca_8.79a	arjana-rakzaNa-nASa-vizAdEH Bca_8.79a
   arthamanarthamanantamavaihi Bca_8.79b	arTam-anarTam-anantam-avEhi Bca_8.79b
   alabhyamāne mānuṣye Bca_4.17c	alaByamAne mAnuzye Bca_4.17c
   alpamapyasya doṣaṃ ca Bca_8.162c	alpam-api-asya dozam ca Bca_8.162c
   alpamātre 'pi vastuni Bca_4.5d	alpa-mAtre api vastuni Bca_4.5d
   alpādapi bhayādbhayam Bca_8.121b	alpAt-api BayAt-Bayam Bca_8.121b
   alpāsvādastu kāminām Bca_8.80b	alpa-AsvAdaH-tu kAminAm Bca_8.80b
   alpaujasaśca ye sattvās Bca_10.29a	alpa-ojasaH-ca ye sattvAH Bca_10.29a
   avatāragaveṣakaḥ Bca_5.28b	avatAra-gavezakaH Bca_5.28b
   avadhyāyanti lābhinam Bca_8.23b	avaDyAyanti lABinam Bca_8.23b
   avarṇavādini dveṣaḥ Bca_6.62a	avarNa-vAdini dvezaH Bca_6.62a
   avarṇāt pratighaśceti Bca_8.12c	avarNAt pratiGaH-ca-iti Bca_8.12c
   avaśyameti sā velā Bca_2.59c	avaSyam-eti sA velA Bca_2.59c
   avaśyaṃ ganturalpasya Bca_8.82a	avaSyam gantuH-alpasya Bca_8.82a
   avaśyaṃ na bhaviṣyāmi Bca_2.60c	avaSyam na BavizyAmi Bca_2.60c
   avicchinnāḥ puṇyadhārāḥ Bca_1.19c	avicCinnAH puNya-DArAH Bca_1.19c
   aviṣādabalavyūha- Bca_7.16a	avizAda-bala-vyUha Bca_7.16a
   avīcimavagāhante Bca_8.107c	avIcim-avagAhante Bca_8.107c
   avīcau kalpamāpsyate Bca_4.21b	avIcO kalpam-Apsyate Bca_4.21b
   avyāpārasukhāsvāda- Bca_7.3a	avyApAra-suKa-AsvAda Bca_7.3a
   avyāpāritasādhustu Bca_1.31c	avyApArita-sADuH-tu Bca_1.31c
   aśakyamicchataḥ kleśa Bca_8.176a	aSakyam-icCataH kleSa Bca_8.176a
   aśāśvatena mitrena Bca_8.8c	aSASvatena mitrena Bca_8.8c
   aśucipratimā ghorā Bca_8.178c	aSuci-pratimA GorA Bca_8.178c
   aśucipratimāmimāṃ gṛhītvā Bca_1.10a	aSuci-pratimAm-imAm gRhItvA Bca_1.10a
   aśucistrīnirūpaṇe Bca_9.8d	aSuci-strI-nirUpaNe Bca_9.8d
   aśucyādiṣu śucyādi- Bca_9.6c	aSuci-Adizu Suci-Adi Bca_9.6c
   aśuddhe karuṇāśaye Bca_5.87b	aSudDe karuNA-ASaye Bca_5.87b
   aśubhānniyataṃ duḥkhaṃ Bca_2.63c	aSuBAt-niyatam duHKam Bca_2.63c
   aśeṣākāśaparyanta- Bca_4.10c	aSeza-AkASa-paryanta Bca_4.10c
   aśrameṇa ca gacchantu Bca_10.25c	aSrameNa ca gacCantu Bca_10.25c
   aśramopārjitastasmād Bca_6.107a	aSrama-upArjitaH-tasmAt Bca_6.107a
   asattvāditi cenmatam Bca_9.135d	asattvAt-iti ced-matam Bca_9.135d
   asatyapi yathā māyā Bca_9.28a	asatI-api yaTA mAyA Bca_9.28a
   asatyapi hi vastuni Bca_8.111d	asati-api hi vastuni Bca_8.111d
   asatsahāyamekaṃ hi Bca_9.29c	asat-sahAyam-ekam hi Bca_9.29c
   asahadbhirivādhunā Bca_8.45b	asahadBiH-iva-aDunA Bca_8.45b
   asahiṣṇvalasaṃ bhītaṃ Bca_5.53a	asahizNu-alasam BItam Bca_5.53a
   asaṃprajanyakleśo 'pi Bca_5.44c	asaMprajanya-kleSaH api Bca_5.44c
   asaṃprajanyacittasya Bca_5.25a	asaMprajanya-cittasya Bca_5.25a
   asaṃprajanyacaureṇa Bca_5.27a	asaMprajanya-cOreNa Bca_5.27a
   asaṃprajanyadoṣeṇa Bca_5.26c	asaMprajanya-dozeNa Bca_5.26c
   asaṃstavāvirodhābhyām Bca_8.36a	asaMstava-aviroDAByAm Bca_8.36a
   asidhārā tathā manaḥ Bca_9.18b	asi-DArA taTA manaH Bca_9.18b
   asipatravanaṃ teṣāṃ Bca_10.6a	asipatravanam tezAm Bca_10.6a
   asipatravanaṃ yadvad Bca_6.46a	asipatravanam yadvat Bca_6.46a
   asihastairadhiṣṭhitaḥ Bca_7.70b	asi-hastEH-aDizWitaH Bca_7.70b
   asti kasmānna paśyati Bca_9.138b	asti kasmAt-na paSyati Bca_9.138b
   astitvamatidūrataḥ Bca_9.130b	astitvam-ati-dUrataH Bca_9.130b
   asti sūkṣmatayā duḥkhaṃ Bca_9.91a	asti sUkzma-tayA duHKam Bca_9.91a
   asthipañjarato māṃsaṃ Bca_5.62c	asTi-paQjarataH mAMsam Bca_5.62c
   asthīnyapi pṛthak kṛtvā Bca_5.63a	asTIni-api pRTak kRtvA Bca_5.63a
   asmatkarma karoti cet Bca_8.153d	asmad-karma karoti ced Bca_8.153d
   asyāpi hi varākasya Bca_8.151a	asya-api hi varAkasya Bca_8.151a
   asyaikasyāpi kāyasya Bca_8.32a	asya-ekasya-api kAyasya Bca_8.32a
   asyaivaṃ patitasyāpi Bca_8.175a	asya-evam patitasya-api Bca_8.175a
   asvāmikāni duḥkhāni Bca_8.102a	asvAmikAni duHKAni Bca_8.102a
   ahameva tadāpīti Bca_8.98a	aham-eva tadA-api-iti Bca_8.98a
   ahameva na kiṃcicced Bca_9.57c	aham-eva na kiMcid-ced Bca_9.57c
   ahamevāpakāryeṣāṃ Bca_6.49a	aham-eva-apakArI-ezAm Bca_6.49a
   ahaṃ kathaṃ svāmiṣu teṣu teṣu Bca_6.121c	aham kaTam svAmizu tezu tezu Bca_6.121c
   ahaṃ karomi karmāṇi Bca_8.142a	aham karomi karmANi Bca_8.142a
   ahaṃ kasmāttu kātaraḥ Bca_6.13d	aham kasmAt-tu kAtaraH Bca_6.13d
   ahaṃkārātpravartate Bca_8.100b	ahaMkArAt-pravartate Bca_8.100b
   ahaṃ ca na bhaviṣyāmi Bca_2.37c	aham ca na BavizyAmi Bca_2.37c
   ahaṃ ca prāpnuyāṃ sadā Bca_10.51b	aham ca prApnuyAm sadA Bca_10.51b
   ahaṃ jeyo na kenacit Bca_7.55b	aham jeyaH na kenacid Bca_7.55b
   aho duḥkhaparamparā Bca_9.163d	aho duHKa-paramparA Bca_9.163d
   aho batātiśocyatvam Bca_9.164a	aho bata-ati-Socya-tvam Bca_9.164a
   aṃśā apyaṇubhedena Bca_9.87a	aMSAH api-aNu-Bedena Bca_9.87a
   aṃśā aṃśeṣu vartante Bca_9.81c	aMSAH aMSezu vartante Bca_9.81c
   ākasmikamahāśaniḥ Bca_2.34d	Akasmika-mahA-aSaniH Bca_2.34d
