   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   ātmalābhān na paraṃ vidyate || Parks_1.28 ||	Atma-lABAt na param vidyate || ParkH-_1.28 ||
   saiṣā śāstraśailī || Parks_1.29 ||	sA-ezA SAstra-SElI || ParkH-_1.29 ||
   veśyā iva prakaṭā vedādividyāḥ |	veSyAH iva prakawAH veda-Adi-vidyAH |
   sarveṣu darśaneṣu gupteyaṃ vidyā || Parks_1.30 ||	sarvezu darSanezu guptA-iyam vidyA || ParkH-_1.30 ||
   tatra sarvathā matimān dīkṣeta || Parks_1.31 ||	tatra sarvaTA matimAn dIkzeta || ParkH-_1.31 ||
   dīkṣās tisraḥ śāktī śāmbhavī māntrī ceti |	dIkzAH tisraH SAktI SAmBavI mAntrI ca-iti |
   tatra śāktī śaktipraveśanāt śāmbhavī caraṇavinyāsāt	tatra SAktI Sakti-praveSanAt SAmBavI caraNa-vinyAsAt-
   māntrī mantropadiṣṭayā sarvāś ca kuryāt || Parks_1.32 ||	mAntrI mantra-upadizwayA sarvAH ca kuryAt || ParkH-_1.32 ||
   ekaikāṃ vety eke || Parks_1.33 ||	ekEkAm vA-iti eke || ParkH-_1.33 ||
   sadguruḥ kramaṃ pravartya sāṅgaṃ hutvā taruṇollāsavān śiṣyam āhūya vāsasā	sat-guruH kramam pravartya sa-aFgam hutvA taruNa-ullAsavAn Sizyam AhUya vAsasA
   mukhaṃ baddhvā gaṇapatilalitāśyāmāvārtālīparāpātrabindubhis tam avokṣya	muKam badDvA gaNapati-lalita-aSyAmA-vArtAlI-parA-pAtra-binduBiH tam avokzya
   siddhāntaṃ śrāvayitvā || Parks_1.34 ||	sidDAntam SrAvayitvA || ParkH-_1.34 ||
   tacchirasi raktaśuklacaraṇaṃ bhāvayitvā tadamṛtakṣālitaṃ sarvaśarīram	tad-Sirasi rakta-Sukla-caraNam BAvayitvA tat-amRta-kzAlitam sarva-SarIram
   alaṅkuryāt || Parks_1.35 ||	alaFkuryAt || ParkH-_1.35 ||
   tasyāmūlam ābrahmabilaṃ prajvalantīṃ prakāśalaharīṃ jvaladanalanibhāṃ	tasya-amUlam Abrahmabilam prajvalantIm prakASa-laharIm jvalat-anala-niBAm
   dhyātvā tadraśmibhis tasya pāpapāśān dagdhvā || Parks_1.36 ||	DyAtvA tad-raSmiBiH tasya pApa-pASAn dagDvA || ParkH-_1.36 ||
   trikaṭutriphalācaturjātatakkolamadayantīsahadevīdūrvābhasmamṛttikācandanakuṅkumarocanākarpūravāsitajalapūrṇaṃ	trikawu-triPalA-caturjAta-takkolam-adayantI-sahadevI-dUrvA-Basma-mRttikA-candana-kuFkuma-rocanA-karpUra-vAsita-jala-pUrNam
   vastrayugaveṣṭitaṃ nūtanakalaśaṃ bālāṣaḍaṅgenābhyarcya	vastra-yuga-vezwitam nUtana-kalaSam bAlA-zaxaFgena-aByarcya
   śrīśyāmāvārtālīcakrāṇi nikṣipya tisṛṇām āvaraṇamantrair abhyarcya	SrI-SyAmA-vArtAlI-cakrANi nikzipya tisRNAm AvaraNa-mantrEH aByarcya
   saṃrakṣyāstreṇa pradarśya dhenuyonī || Parks_1.37 ||	saMrakzya-astreNa pradarSya Denu-yonI || ParkH-_1.37 ||
   śivayuksauvarṇakarṇike svaradvandvajuṣṭakiñjalkāṣṭake ka ca ṭa ta pa ya śa	Siva-yuj-sOvarNa-karNike svara-dvandva-juzwa-kiQjalka-azwake kaH ca wa te pa yaH Sa
   lākṣaravargāṣṭayuktāṣṭadale digaṣṭakasthita ṭhaṃ vaṃ caturaśre	lAkzara-varga-azwa-yukta-azwa-dale diS-azwaka-sTitaH Wam vam caturaSre
   mātṛkāyantre śiṣyaṃ niveśya tena kumbhāmbhasā tisṛbhiḥ vidyābhiḥ snapayet	mAtRkAyantre Sizyam niveSya tena kumBa-amBasA tisRBiH vidyABiH snapayet-
   || Parks_1.38 ||	|| ParkH-_1.38 ||
   sadukūlaṃ sālepaṃ sābharaṇaṃ samālaṃ suprasannaṃ śiṣyaṃ pārśve niveśya	sa-dukUlam sa-Alepam sa-ABaraNam sa-mAlam su-prasannam Sizyam pArSve niveSya
   mātṛkāṃ tadaṅge vinyasya vimuktamukhakarpaṭasya tasya haste trīn	mAtRkAm tad-aFge vinyasya vimukta-muKa-karpawasya tasya haste trIn
   prathamasiktān candanokṣitān dvitīyakhaṇḍān puṣpakhaṇḍān nikṣipya	praTama-siktAn candana-ukzitAn dvitIya-KaNxAn puzpa-KaNxAn nikzipya
   tattvamantrair grāsayitvā dakṣiṇakarṇe bālam upadiśya paścād iṣṭamanuṃ	tattva-mantrEH grAsayitvA dakziNa-karNe bAlam upadiSya paScAt izwam-anum
   vadet || Parks_1.39 ||	vadet || ParkH-_1.39 ||
   tatas tasya śirasi svacaraṇaṃ nikṣipya sarvān mantrān sakṛd vā krameṇa vā	tatas tasya Sirasi sva-caraNam nikzipya sarvAn mantrAn sakRt vA krameNa vA
   yathādhikāram upadiśya svāṅgeṣu kimapy aṅgaṃ śiṣyaṃ sparśayitvā	yaTA-aDikAram upadiSya sva-aFgezu kim-api aFgam Sizyam sparSayitvA
   tadaṅgamātṛkāvarṇādi dvyakṣaraṃ tryakṣaraṃ caturakṣaraṃ vā	tad-aFga-mAtRkA-varNa-Adi dvi-akzaram tri-akzaram catur-akzaram vA
   ānandanāthaśabdāntaṃ tasya nāma diśet || Parks_1.40 ||	Ananda-nATa-Sabda-antam tasya nAma diSet || ParkH-_1.40 ||
   bālopadiṣṭeḥ pūrvam ātmanaḥ pādukāṃ ṣaṭtārayuktāṃ dadyāt || Parks_1.41 ||	bAla-upadizweH pUrvam AtmanaH pAdukAm zaz-tAra-yuktAm dadyAt || ParkH-_1.41 ||
   ācārān anuśiṣya, hārdacaitanyam āmṛśya, vidyātrayeṇa tadaṅgaṃ triḥ	AcArAn anuSizya, hArda-cEtanyam AmRSya, vidyA-trayeNa tad-aFgam tris-
   parimṛjya parirabhya mūrdhany avaghrāya svātmarūpaṃ kuryāt || Parks_1.42	parimRjya pariraBya mUrDani avaGrAya sva-Atma-rUpam kuryAt || ParkH-_1.42
   śiṣyo 'pi pūrṇatāṃ bhāvayitvā kṛtārthas taṃ guruṃ yathāśakti vittair	SizyaH api pUrNa-tAm BAvayitvA kRtArTaH tam gurum yaTASakti vittEH-
   upacarya viditaveditavyo 'śeṣamantrādhikārī bhaved iti śivam || Parks_1.43	upacarya vidita-veditavyaH aSeza-mantra-aDikArI Bavet iti Sivam || ParkH-_1.43
   2. Khaṇḍa: Gaṇanāyakapaddhati	2. KhaNxa: GaNa-nAyaka-padDati
   itthaṃ sadguror āhitadīkṣaḥ mahāvidyārādhanapratyūhāpohāya gāṇanāyakīṃ	itTam sat-guroH Ahita-dIkzaH mahAvidyA-ArADana-pratyUha-apohAya gANanAyakIm
   paddhatim āmṛśet || Parks_2.1 ||	padDatim AmRSet || ParkH-_2.1 ||
   brāhme muhūrta utthāya dvādaśānte	brAhme muhUrte utTAya dvAdaSAnte
   sahasradalakamalakarṇikāmadhyaniviṣṭagurucaraṇayugalavigaladamṛtarasavisarapariplutākhilāṅgo	sahasra-dala-kamala-karNikA-maDya-nivizwa-guru-caraNa-yugala-vigalat-amRta-rasa-visara-paripluta-aKila-aFgaH-
   hṛdayakamalamadhye jvalantam udyadaruṇakoṭipāṭalam aśeṣadoṣanirveṣabhūtam	hRdaya-kamala-maDye jvalantam udyat-aruNa-kowi-pAwalam aSeza-doza-nirveza-BUtam
   anekapānanaṃ niyamitapavanamanogatir dhyātvā	aneka-pAnanam niyamita-pavana-manaH-gatiH DyAtvA
   tatprabhāpaṭalapāṭalīkṛtatanuḥ bahir nirgatya muktamalamūtro	tad-praBA-pawala-pAwalIkRta-tanuH bahis nirgatya mukta-mala-mUtraH-
   dantadhāvanasnānavastraparidhānasūryārghyadānāni vidhāya	danta-DAvana-snAna-vastra-pariDAna-sUrya-arGya-dAnAni viDAya
   udyadādityavartine mahāgaṇapataye "tatpuruṣāya vidmahe, vakratuṇḍāya	udyat-Aditya-vartine mahAgaNapataye "tatpuruzAya vidmahe, vakratuNxAya
   dhīmahi || tan no dantī pracodayāt" ity arghyaṃ datvā nityakṛtyaṃ vidhāya	DImahi || tat naH dantI pracodayAt" iti arGyam datvA nitya-kRtyam viDAya
   caturāvṛttitarpaṇaṃ kuryāt | [69]	caturAvRtti-tarpaNam kuryAt | [69]
   āyur ārogyam aiśvaryaṃ balaṃ puṣṭir mahadyaśaḥ |	AyuH Arogyam ESvaryam balam puzwiH mahat-yaSaH |
   kavitvaṃ bhuktimuktī ca caturāvṛttitarpaṇāt || Parks_2.2 ||	kavi-tvam Bukti-muktI ca catur-AvRtti-tarpaNAt || ParkH-_2.2 ||
   prathamaṃ dvādaśavāraṃ mūlamantreṇa tarpayitvā mantrāṣṭāviṃśativarṇān	praTamam dvAdaSa-vAram mUlamantreNa tarpayitvA mantra-azwAviMSati-varNAn
   svāhāntān ekaikaṃ caturvāraṃ mūlaṃ ca caturvāraṃ tarpayitvā punaḥ	svAhA-antAn ekEkam catur-vAram mUlam ca catur-vAram tarpayitvA punar-
   śrīśrīpatigirijāgirijāpatiratiratipatimahīmahīpatimahālakṣmīmahālakṣmīpatiṛddhyāmodasamṛddhipramodakāntisumukhamadanāvatīdurmukhamadadravāvighnadrāviṇīvighnakartṛvasudhārāśaṅkhanidhivasumatīpadmanidhitrayodaśamithuneṣv	SrI-SrIpati-girijA-girijA-pati-ratirati-pati-mahI-mahIpati-mahA-lakzmI-mahA-lakzmIpatiRdDi-Amoda-samRdDi-pramoda-kAnti-sumuKa-madanAvatI-durmuKam-a
   ekaikāṃ devatāṃ caturvāraṃ mūlaṃ caturvāraṃ ca tarpayet, evaṃ	ekEkAm devatAm catur-vAram mUlam catur-vAram ca tarpayet, evam
   catuścatvāriṃśadadhikacatuśśatatarpaṇāni bhavanti || Parks_2.3 ||	catuScatvAriMSat-aDika-catur-Sata-tarpaNAni Bavanti || ParkH-_2.3 ||
   atha yāgavidhiḥ gṛham āgatya sthaṇḍilam upalipya dvāradeśa ubhayapārśvayor	aTa yAga-viDiH gRham Agatya sTaNxilam upalipya dvAra-deSaH uBaya-pArSvayoH-
   bhadrakālyai bhairavāya dvārordhve lambodarāya namaḥ iti antaḥpraviśya	BadrakAlyE BEravAya dvAra-UrDve lambodarAya namaH iti antar-praviSya
   āsanamantreṇa āsane sthitvā prāṇān āyamya ṣaḍaṅgāni vinyasya mūlena	Asana-mantreNa Asane sTitvA prANAn Ayamya zaz-aFgAni vinyasya mUlena
   vyāpakaṃ kṛtvā svātmani devaṃ siddhalakṣmīsamāśliṣṭapārśvam	vyApakam kRtvA sva-Atmani devam sidDa-lakzmI-samASlizwa-pArSvam
   ardhenduśekharam āraktavarṇaṃ	arDa-indu-SeKaram Arakta-varNam
   mātuluṅgagadāpuṇḍrekṣukārmukaśūlasudarśanaśaṅkhapāśotpaladhānyamañjarīnijadantāñcalaratnakalaśapariṣkṛtapāṇyekādaśakaṃ	mAtuluFga-gadA-puNxra-ikzu-kArmuka-SUla-sudarSana-SaFKa-pASa-utpala-DAnya-maQjarI-nija-danta-aQcala-ratna-kalaSa-parizkRta-pANi-ekAdaSakam
   prabhinnakaṭam ānandapūrṇam aśeṣavighnadhvaṃsanighnaṃ vighneśvaraṃ dhyātvā	praBinna-kawam Ananda-pUrNam aSeza-viGna-DvaMsa-niGnam viGneSvaram DyAtvA
   || Parks_2.4 ||	|| ParkH-_2.4 ||
   purato mūlasaptābhimantritena gandhākṣatapuṣpapūjitena śuddhena vāriṇā	puratas mUla-sapta-aBimantritena ganDa-akzata-puzpa-pUjitena SudDena vAriNA
   trikoṇaṣaṭkoṇavṛttacaturaśrāṇi vidhāya tasmin puṣpāṇi vikīrya	trikoNa-zawkoNa-vRtta-caturaSrANi viDAya tasmin puzpANi vikIrya
   vahnīśāsuravāyuṣu madhye dikṣu ca ṣaḍaṅgāni vinyasya agnimaṇḍalāya	vahni-ISa-asura-vAyuzu maDye dikzu ca zaz-aFgAni vinyasya agni-maNxalAya
   daśakalātmane arghyapātrādhārāya namaḥ sūryamaṇḍalāya dvādaśakalātmane	daSa-kala-Atmane arGya-pAtra-ADArAya namaH sUrya-maNxalAya dvAdaSa-kalA-Atmane
   arghyapātrāya namaḥ somamaṇḍalāya ṣoḍaśakalātmane arghyāmṛtāya namaḥ iti	arGya-pAtrAya namaH soma-maNxalAya zoxaSa-kalA-Atmane arGya-amRtAya namaH iti
   śuddhajalam āpūrya astreṇa saṃrakṣya kavacenāvakuṇṭhya dhenuyonimudrāṃ	SudDa-jalam ApUrya astreNa saMrakzya kavacena-avakuNWya Denu-yonimudrAm
   pradarśayet || Parks_2.5 ||	pradarSayet || ParkH-_2.5 ||
   saptavāram abhimantrya tajjalavipruḍbhir ātmānaṃ pūjopakaraṇāni ca	sapta-vAram aBimantrya tad-jala-vipruxBiH AtmAnam pUjA-upakaraNAni ca
   saṃprokṣya tajjalena pūrvoktaṃ maṇḍalaṃ parikalpya tadvad ādimaṃ saṃyojya	saMprokzya tad-jalena pUrva-uktam maNxalam parikalpya tadvat Adimam saMyojya
   tatro [79] pādimaṃ madhyamaṃ ca nikṣipya vahnyarkendukalāḥ abhyarcya	tatro [79] pAdimam maDyamam ca nikzipya vahni-arka-indu-kalAH aByarcya
   vakratuṇḍagāyatryā gaṇānāṃ tvety anayā ṛcā cābhimantrya astrādirakṣaṇaṃ	vakratuNxa-gAyatryA gaNAnAm tvA-iti anayA RcA ca-aBimantrya astra-Adi-rakzaNam
   kṛtvā tadbindubhis triśaḥ śirasi gurupādukām ārādhayet || Parks_2.6 ||	kRtvA tad-binduBiH triSas Sirasi guru-pAdukAm ArADayet || ParkH-_2.6 ||
   purato raktacandananirmite pīṭhe mahāgaṇapatipratimāyāṃ vā	puratas raktacandana-nirmite pIWe mahAgaNapati-pratimAyAm vA
   caturasrāṣṭadalaṣaṭkoṇatrikoṇamaye cakre vā tīvrāyai jvālinyai nandāyai	catur-asra-azwa-dala-zawkoNa-trikoNa-maye cakre vA tIvrAyE jvAlinyE nandAyE
   bhogadāyai kāmarūpiṇyai ugrāyai tejovatyai satyāyai vighnanāśinyai ṛṃ	Boga-dAyE kAmarUpiNyE ugrAyE tejovatyE satyAyE viGna-nASinyE RM
   dharmāya ṝṃ jñānāya ḷṃ vairāgyāya ḹṃ aiśvaryāya ṛṃ adharmāya ṝṃ ajñānāya	DarmAya Lm jQAnAya ?m vErAgyAya ?m ESvaryAya Rm aDarmAya Lm ajQAnAya
   ḷṃ avairāgyāya ḹṃ anaiśvaryāya nama iti pīṭhaśaktīr dharmādyaṣṭakaṃ	?m avErAgyAya ?m anESvaryAya namaH iti pIWa-SaktIH Darma-Adi-azwakam
   cābhyarcya mūlam uccārya mahāgaṇapatim āvāhayāmīty āvāhya pañcadhopacarya	ca-aByarcya mUlam uccArya mahAgaNapatim AvAhayAmi-iti AvAhya paQcaDA-upacarya
   daśadhā saṃtarpya mūlena mithunāṅgabrāhmyādīndrādirūpapañcāvaraṇapūjāṃ	daSaDA saMtarpya mUlena miTuna-aFga-brAhmI-At-i-indra-Adi-rUpa-paQca-AvaraNa-pUjAm
   kuryāt || Parks_2.7 ||	kuryAt || ParkH-_2.7 ||
   trikoṇe devaḥ tasya ṣaḍasrasyāntarāle śrīśrīpatyādicaturmithunāni aṅgāni	trikoNe devaH tasya zaz-asrasya-antarAle SrI-SrIpati-Adi-catur-miTunAni aFgAni
   ca ṛddhyāmodādiṣaṇmithunāni ṣaḍasre mithunadvayaṃ ṣaḍasrobhayapārśvayos	ca RdDi-Amoda-Adi-zaNmiTunAni zaz-asre miTuna-dvayam zaz-asra-uBaya-pArSvayoH-
   tatsandhiṣv aṅgāni brāhmyādyā aṣṭadale caturasrāṣṭadikṣv indrādyāḥ pūjyāḥ	tad-sanDizu aFgAni brAhmI-AdyAH azwa-dale catur-asra-azwa-dikzu indra-AdyAH pUjyAH
   sarvatra devatānāmasu śrīpūrvaṃ pādukām uccārya pūjayāmīty aṣṭākṣarīṃ	sarvatra devatA-nAmasu SrI-pUrvam pAdukAm uccArya pUjayAmi-iti azwa-akzarIm
   yojayet || Parks_2.8 ||	yojayet || ParkH-_2.8 ||
   evaṃ pañcāvaraṇīm iṣṭvā punar devaṃ gaṇanāthaṃ daśadhopatarpya	evam paQca-AvaraNIm izwvA punar devam gaNanATam daSaDA-upatarpya
   ṣoḍaśopacārair upacarya praṇavamāyānte sarvavighnakṛdbhyaḥ sarvabhūtebhyo	zoxaSa-upacArEH upacarya praNava-mAyA-ante sarva-viGna-kRdByaH sarva-BUteByaH-
   huṃ svāhā iti triḥ paṭhitvā baliṃ datvā gaṇapatibuddhyaikaṃ baṭukaṃ	hum svAhA iti tris paWitvA balim datvA gaNapati-budDyA-ekam bawukam
   siddhalakṣmībuddhyaikāṃ śaktiṃ cāhūya gandhapuṣpākṣatair	sidDa-lakzmI-budDyA-ekAm Saktim ca-AhUya ganDa-puzpa-akzatEH-
   abhyarcyādimopādimamadhyamān datvā mama nirvighnaṃ mantrasiddhir bhūyād	aByarcya-Adima-upAdima-maDyamAn datvA mama nirviGnam mantra-sidDiH BUyAt-
   ity anugrahaṃ kārayitvā namaskṛtya yathāśakti japet || Parks_2.9 ||	iti anugraham kArayitvA namaskRtya yaTASakti japet || ParkH-_2.9 ||
   yady agnikāryasaṃpattiḥ baleḥ pūrvaṃ vidhivat saṃskṛte 'gnau svāhāntaiḥ	yadi agni-kArya-saMpattiH baleH pUrvam viDivat saMskRte agnO svAhA-antEH
   śrīśrīpatyādivighnakartṛparyantaiḥ mantrair hutvā punar āgatya devaṃ	SrI-SrIpati-Adi-viGna-kartR-paryantEH mantrEH hutvA punar Agatya devam
   trivāraṃ saṃtarpya yogyais saha mapañcakam urarīkṛtya mahāgaṇapatim ātmany	tri-vAram saMtarpya yogyEH saha mapaQcakam urarIkRtya mahAgaNapatim Atmani-
   udvāsya siddhasaṅkalpaḥ sukhī viharet iti śivam || Parks_2.10 ||	udvAsya sidDa-saFkalpaH suKI viharet iti Sivam || ParkH-_2.10 ||
   3. Khaṇḍa: Śrīkrama	3. KhaNxa: ŚrIkrama
   evaṃ gaṇapatim iṣṭvā vidhūtasamastavighnavyatikaraḥ śakticakraikanāyikāyāḥ	evam gaNapatim izwvA viDUta-samasta-viGna-vyatikaraH Sakti-cakra-eka-nAyikAyAH
   śrīlalitāyāḥ kramam ārabheta || Parks_3.1 ||	SrI-lalitAyAH kramam AraBeta || ParkH-_3.1 ||
   brāhme muhūrte brāhmaṇo muktasvāpaḥ pāpavilāpāya paramaśivarūpaṃ gurum	brAhme muhUrte brAhmaNaH mukta-svApaH pApa-vilApAya paramaSiva-rUpam gurum
   abhimṛśya || Parks_3.2 ||	aBimRSya || ParkH-_3.2 ||
   mūlādividhibilaparyantaṃ taḍitkoṭikaḍārāṃ taruṇadivākarapiñjarāṃ jvalantīṃ	mUla-Adi-viDi-bila-paryantam taxit-kowi-kaxArAm taruNa-divAkara-piQjarAm jvalantIm
   mūlasaṃvidaṃ dhyātvā tadraśminihatakaśmalajālaḥ kādiṃ hādiṃ vā mūlavidyāṃ	mUla-saMvidam DyAtvA tad-raSmi-nihata-kaSmala-jAlaH kAdim hAdim vA mUla-vidyAm
   manasā daśavāram āvartya || Parks_3.3 ||	manasA daSa-vAram Avartya || ParkH-_3.3 ||
   snānakarmaṇi prāpte mūlena datvā triḥ salilāñjalīn tris tadabhimantritāḥ	snAna-karmaNi prApte mUlena datvA tris salila-aQjalIn tris tad-aBimantritAH
   pītvāpas tris santarpya triḥ prokṣyātmānaṃ paridhāya vāsasī hrāṃ hrīṃ hrūṃ	pItvA-apaH tris santarpya tris prokzya-AtmAnam pariDAya vAsasI hrAm hrIm hrUm
   saḥ ity uktvā mārtāṇḍabhairavāya prakāśaśaktisahitāya svāheti tris savitre	saH iti uktvA mArta-aNxa-BEravAya prakASa-Sakti-sahitAya svAhA-iti tris savitre
   dattārghyaḥ || Parks_3.4 ||	datta-arGyaH || ParkH-_3.4 ||
   tanmaṇḍalamadhye navayonicakram anucintya vācam uccārya tripurasundari	tad-maNxala-maDye nava-yoni-cakram anucintya vAcam uccArya tripurasundari
   vidmahe kāmam uccārya pīṭhakāmini dhīmahi śaktim uccārya, tan naḥ klinnā	vidmahe kAmam uccArya pIWa-kAmini DImahi Saktim uccArya, tat naH klinnA
   pracodayād iti trir maheśyai dattārghyaḥ śatam aṣṭottaram āmṛśya manuṃ	pracodayAt iti tris maheSyE datta-arGyaH Satam azwa-uttaram AmRSya manum
   maunam ālambya || Parks_3.5 ||	mOnam Alambya || ParkH-_3.5 ||
   yāgamandiraṃ gatvā kḷptākalpas saṅkalpākalpo vā pīṭhamanunā āsane	yAga-mandiram gatvA k?ptAkalpaH saFkalpa-AkalpaH vA pIWa-manunAH Asane
   samupaviṣṭaḥ || Parks_3.6 ||	samupavizwaH || ParkH-_3.6 ||
   tritārīm uccārya raktadvādaśaśaktiyuktāya dīpanāthāya nama iti bhūmau	tritArIm uccArya rakta-dvAdaSa-Sakti-yuktAya dIpa-nATAya namaH iti BUmO
   muñcet puṣpāñjalim || Parks_3.7 ||	muQcet puzpa-aQjalim || ParkH-_3.7 ||
   sarveṣāṃ mantrāṇām ādau tritārīsaṃyogaḥ | tritārī vāṅmāyākamalāḥ ||	sarvezAm mantrANAm AdO tritArI-saMyogaH | tritArI vAc-mAyA-kamalAH ||
   Parks_3.8 ||	ParkH-_3.8 ||
   purataḥ pañcaśakticatuḥśrīkaṇṭhamelanarūpaṃ	puratas paQca-Sakti-catur-SrIkaNWa-melana-rUpam
   bhūsadanatrayavalitrayabhūpapatradikpatrabhuvanāradruhiṇāravidhikoṇadikkoṇatrikoṇabinducakramayaṃ	BU-sadana-traya-vali-traya-BUpa-patra-diS-patra-BuvanAradru-hiNa-Ara-viDi-koNa-diS-koNa-trikoNa-bindu-cakra-mayam
   mahācakrarājaṃ sindūrakuṅkumalikhitaṃ	mahA-cakrarAjam sindUra-kuFkuma-liKitam
   cāmīkarakaladhautapañcaloharatnasphaṭikādyutkīrṇaṃ vā niveśya || Parks_3.9	cAmIkara-kalaDOta-paQcaloha-ratna-sPawika-Adi-utkIrNam vA niveSya || ParkH-_3.9
   tatra mahācakre amṛtāmbhonidhaye ratnadvīpāya nānāvṛkṣamahodyānāya	tatra mahA-cakre amRta-amBaH-niDaye ratnadvIpAya nAnA-vRkza-mahA-udyAnAya
   kalpavṛkṣavāṭikāyai santānavāṭikāyai haricandanavāṭikāyai mandāravāṭikāyai	kalpavRkza-vAwikAyE santAna-vAwikAyE haricandana-vAwikAyE mandAra-vAwikAyE
