   haṭha-yoga-pradīpikā	haWa-yoga--pradIpikA
   alpa-dvāram arandhra-garta-vivaraṃ nātyucca-nīcāyataṃ	alpa-dvAram aranDra--garta--vivaram na-ati-ucca-nIca-Ayatam
   samyag-gomaya-sāndra-liptam amalaṃ niḥśesa-jantūjjhitam /	samyak--gomaya-sAndra-liptam amalam niHSesa--jantu-ujJitam /
   bāhye maṇḍapa-vedi-kūpa-ruciraṃ prākāra-saṃveṣṭitaṃ	bAhye maNxapa-vedi-kUpa--ruciram prAkAra--saMvezwitam
   proktaṃ yoga-maṭhasya lakṣaṇam idaṃ siddhair haṭhābhyāsibhiḥ // HYP_1.13	proktam yoga-maWasya lakzaNam idam sidDEH haWa-aByAsiBiH // HYc-_1.13
   evaṃ vidhe maṭhe sthitvā sarva-cintā-vivarjitaḥ /	evam viDe maWe sTitvA sarva-cintA--vivarjitaH /
   gurūpadiṣṭa-mārgeṇa yogam eva samabhyaset // HYP_1.14 //	guru-upadizwa--mArgeNa yogam eva samaByaset // HYc-_1.14 //
   atyāhāraḥ prayāsaś ca prajalpo niyamāgrahaḥ /	atyAhAraH prayAsaH ca prajalpaH niyama-AgrahaH /
   jana-saṅgaś ca laulyaṃ ca ṣaḍbhir yogo vinaśyati // HYP_1.15 //	jana-saFgaH ca lOlyam ca zaxBiH yogaH vinaSyati // HYc-_1.15 //
   utsāhāt sāhasād dhairyāt tattva-jñānāś ca niścayāt /	utsAhAt sAhasAt DEryAt tattva--jQAnAH ca niScayAt /
   jana-saṅga-parityāgāt ṣaḍbhir yogaḥ prasiddhyati // HYP_1.16 //	jana--saFga--parityAgAt zaxBiH yogaH prasidDyati // HYc-_1.16 //
   atha yama-niyamāḥ	aTa yama--niyamAH
   ahiṃsā satyam asteyaṃ brahmacaryaṃ kṣamā dhṛtiḥ /	ahiMsA satyam asteyam brahmacaryam kzamA DRtiH /
   dayārjavaṃ mitāhāraḥ śaucaṃ caiva yamā daśa // HYP_1.17 //	dayA-Arjavam mita-AhAraH SOcam ca-eva yamAH daSa // HYc-_1.17 //
   tapaḥ santoṣa āstikyaṃ dānam īśvara-pūjanam /	tapaH santozaH Astikyam dAnam ISvara--pUjanam /
   siddhānta-vākya-śravaṇaṃ hrīmatī ca tapo hutam /	sidDAnta--vAkya--SravaNam hrImatI ca tapaH hutam /
   niyamā daśa samproktā yoga-śāstra-viśāradaiḥ // HYP_1.18 //	niyamAH daSa samproktAH yoga-SAstra--viSAradEH // HYc-_1.18 //
   atha āsanam	aTa Asanam
   haṭhasya prathamāṅgatvād āsanaṃ pūrvam ucyate /	haWasya praTama-aFga-tvAt Asanam pUrvam ucyate /
   kuryāt tad āsanaṃ sthairyam ārogyaṃ cāṅga-lāghavam // HYP_1.19 //	kuryAt tat Asanam sTEryam Arogyam ca-aFga-lAGavam // HYc-_1.19 //
   vaśiṣṭhādyaiś ca munibhir matsyendrādyaiś ca yogibhiḥ /	vaSizWa-AdyEH ca muniBiH matsya-indra-AdyEH ca yogiBiH /
   aṅgīkṛtāny āsanāni kathyante kānicin mayā // HYP_1.20 //	aFgIkRtAni AsanAni kaTyante kAnicid mayA // HYc-_1.20 //
   jānūrvor antare samyak kṛtvā pāda-tale ubhe /	jAnu-UrvoH antare samyak kRtvA pAda-tale uBe /
   ṛju-kāyaḥ samāsīnaḥ svastikaṃ tat pracakṣate // HYP_1.21 //	Rju--kAyaH samAsInaH svastikam tat pracakzate // HYc-_1.21 //
   savye dakṣiṇa-gulphaṃ tu pṛṣṭha-pārśve niyojayet /	savye dakziNa--gulPam tu pRzWa--pArSve niyojayet /
   dakṣiṇe'pi tathā savyaṃ gomukhaṃ gomukhākṛtiḥ // HYP_1.22 //	dakziNe-api taTA savyam gomuKam gomuKa-AkRtiH // HYc-_1.22 //
   ekaṃ pādaṃ tathaikasmin vinyased uruṇi sthiram /	ekam pAdam taTA-ekasmin vinyaset uruNi sTiram /
   itarasmiṃs tathā coruṃ vīrāsanam itīritam // HYP_1.23 //	itarasmin taTA ca-Urum vIrAsanam iti-Iritam // HYc-_1.23 //
   gudaṃ nirudhya gulphābhyāṃ vyutkrameṇa samāhitaḥ /	gudam niruDya gulPAByAm vyutkrameNa samAhitaH /
   kūrmāsanaṃ bhaved etad iti yoga-vido viduḥ // HYP_1.24 //	kUrmAsanam Bavet etat iti yoga-vidaH viduH // HYc-_1.24 //
   padmāsanaṃ tu saṃsthāpya jānūrvor antare karau /	padmAsanam tu saMsTApya jAnu-UrvoH antare karO /
   niveśya bhūmau saṃsthāpya vyomasthaṃ kukkuṭāsanam // HYP_1.25 //	niveSya BUmO saMsTApya vyoma-sTam kukkuwAsanam // HYc-_1.25 //
   kukkuṭāsana-bandha-stho dorbhyāṃ sambadya kandharām /	kukkuwa-Asana--banDa--sTaH dorByAm sambadya kanDarAm /
   bhaved kūrmavad uttāna etad uttāna-kūrmakam // HYP_1.26 //	Bavet kUrma-vat uttAnaH etat uttAna--kUrmakam // HYc-_1.26 //
   pādāṅguṣṭhau tu pāṇibhyāṃ gṛhītvā śravaṇāvadhi /	pAdAFguzWO tu pANiByAm gRhItvA SravaNa-avaDi /
   dhanur ākarṣaṇaṃ kuryād dhanur-āsanam ucyate // HYP_1.27 //	DanuH AkarzaNam kuryAt DanuH--Asanam ucyate // HYc-_1.27 //
   vāmoru-mūlārpita-dakṣa-pādaṃ	vAma-Uru--mUla-arpita--dakza--pAdam
   jānor bahir veṣṭita-vāma-pādam /	jAnoH bahis vezwita-vAma--pAdam /
   pragṛhya tiṣṭhet parivartitāṅgaḥ	pragRhya tizWet parivartita-aFgaH
   śrī-matysanāthoditam āsanaṃ syāt // HYP_1.28 //	SrI--mati-sanATa-uditam Asanam syAt // HYc-_1.28 //
   matsyendra-pīṭhaṃ jaṭhara-pradīptiṃ	matsya-indra--pIWam jaWara--pradIptim
   pracaṇḍa-rug maṇḍala-khaṇḍanāstram /	pracaNxa--ruj maNxala---KaNxana-astram /
   abhyāsataḥ kuṇḍalinī-prabodhaṃ	aByAsataH kuNxalinI--praboDam
   candra-sthiratvaṃ ca dadāti puṃsām // HYP_1.29 //	candra-sTira-tvam ca dadAti puMsAm // HYc-_1.29 //
   prasārya pādau bhuvi daṇḍa-rūpau	prasArya pAdO Buvi daNxa--rUpO
   dorbhyāṃ padāgra-dvitayaṃ gṛhītvā /	dorByAm pada-agra-dvitayam gRhItvA /
   jānūparinyasta-lalāṭa-deśo	jAnu-uparinyasta--lalAwa-deSaH-
   vased idaṃ paścimatānam āhuḥ // HYP_1.30 //	vaset idam paScimatAnam AhuH // HYc-_1.30 //
   iti paścimatānam āsanāgryaṃ	iti paScimatAnam Asana-agryam
   pavanaṃ paścima-vāhinaṃ karoti /	pavanam paScima--vAhinam karoti /
   udayaṃ jaṭharānalasya kuryād	udayam jaWara-analasya kuryAt-
   udare kārśyam arogatāṃ ca puṃsām // HYP_1.31 //	udare kArSyam aroga-tAm ca puMsAm // HYc-_1.31 //
   dharām avaṣṭabhya kara-dvayena	DarAm avazwaBya kara--dvayena
   tat-kūrpara-sthāpita-nābhi-pārśvaḥ /	tat--kUrpara--sTApita-nABi--pArSvaH /
   uccāsano daṇḍavad utthitaḥ khe	ucca-AsanaH daNxa-vat utTitaH Ke
   māyūram etat pravadanti pīṭham // HYP_1.32 //	mAyUram etat pravadanti pIWam // HYc-_1.32 //
   harati sakala-rogān āśu gulmodarādīn	harati sakala--rogAn ASu gulmodara-AdIn
   abhibhavati ca doṣān āsanaṃ śrī-mayūram /	aBiBavati ca dozAn Asanam SrI--mayUram /
   bahu kadaśana-bhuktaṃ bhasma kuryād aśeṣaṃ	bahu kadaSana--Buktam Basma kuryAt aSezam
   janayati jaṭharāgniṃ jārayet kāla-kūṭam // HYP_1.33 //	janayati jaWara-agnim jArayet kAla-kUwam // HYc-_1.33 //
   uttānaṃ śabavad bhūmau śayanaṃ tac chavāsanam /	uttAnam Sabavat BUmO Sayanam tat SavAsanam /
   śavāsanaṃ śrānti-haraṃ citta-viśrānti-kārakam // HYP_1.34 //	SavAsanam SrAnti-haram citta-viSrAnti-kArakam // HYc-_1.34 //
   caturaśīty āsanāni śivena kathitāni ca /	caturaSIti AsanAni Sivena kaTitAni ca /
   tebhyaś catuṣkam ādāya sārabhūtaṃ bravīmy aham // HYP_1.35 //	teByaH catuzkam AdAya sAra-BUtam bravImi aham // HYc-_1.35 //
   siddhaṃ padmaṃ tathā siṃhaṃ bhadraṃ veti catuṣṭayam /	sidDam padmam taTA siMham Badram vA-iti catuzwayam /
   śreṣṭhaṃ tatrāpi ca sukhe tiṣṭhet siddhāsane sadā // HYP_1.36 //	SrezWam tatra-api ca suKe tizWet sidDAsane sadA // HYc-_1.36 //
   atha siddhāsanam-	aTa sidDAsanam-
   yoni-sthānakam aṅghri-mūla-ghaṭitaṃ kṛtvā dṛḍhaṃ vinyaset	yoni-sTAnakam aFGri--mUla--Gawitam kRtvA dRXam vinyaset-
   meṇḍhre pādam athaikam eva hṛdaye kṛtvā hanuṃ susthiram /	meNXre pAdam aTa-ekam eva hRdaye kRtvA hanum susTiram /
   sthāṇuḥ saṃyamitendriyo'cala-dṛśā paśyed bhruvor antaraṃ	sTANuH saMyamita-indriyaH-acala-dRSA paSyet BruvoH antaram
   hy etan mokṣa-kapāṭa-bheda-janakaṃ siddhāsanaṃ procyate // HYP_1.37 //	hi etat mokza-kapAwa-Beda--janakam sidDAsanam procyate // HYc-_1.37 //
   meṇḍhrād upari vinyasya savyaṃ gulphaṃ tathopari /	meNXrAt upari vinyasya savyam gulPam taTA-upari /
   gulphāntaraṃ ca nikṣipya siddhāsanam idaṃ bhavet // HYP_1.38 //	gulPa-antaram ca nikzipya sidDAsanam idam Bavet // HYc-_1.38 //
   etat siddhāsanaṃ prāhur anye vajrāsanaṃ viduḥ /	etat sidDAsanam prAhuH anye vajrAsanam viduH /
   muktāsanaṃ vadanty eke prāhur guptāsanaṃ pare // HYP_1.39 //	muktAsanam vadanti eke prAhuH guptAsanam pare // HYc-_1.39 //
   yameṣv iva mitāhāram ahiṃsā niyameṣv iva /	yamezu iva mita-AhAram ahiMsA niyamezu iva /
   mukhyaṃ sarvāsaneṣv ekaṃ siddhāḥ siddhāsanaṃ viduḥ // HYP_1.40 //	muKyam sarva-Asanezu ekam sidDAH sidDAsanam viduH // HYc-_1.40 //
   caturaśīti-pīṭheṣu siddham eva sadābhyaset /	caturaSIti-pIWezu sidDam eva sadA-aByaset /
   dvāsaptati-sahasrāṇāṃ nāḍīnāṃ mala-śodhanam // HYP_1.41 //	dvAsaptati--sahasrANAm nAxInAm mala-SoDanam // HYc-_1.41 //
   ātma-dhyāyī mitāhārī yāvad dvādaśa-vatsaram /	Atma-DyAyI mita-AhArI yAvat dvAdaSa-vatsaram /
   sadā siddhāsanābhyāsād yogī niṣpattim āpnuyāt // HYP_1.42 //	sadA sidDAsana-aByAsAt yogI nizpattim ApnuyAt // HYc-_1.42 //
   kim anyair bahubhiḥ pīṭhaiḥ siddhe siddhāsane sati /	kim anyEH bahuBiH pIWEH sidDe sidDAsane sati /
   prāṇānile sāvadhāne baddhe kevala-kumbhake /	prANa-anile sa-avaDAne badDe kevala--kumBake /
   utpadyate nirāyāsāt svayam evonmanī kalā // HYP_1.43 //	utpadyate nirAyAsAt svayam eva-unmanI kalA // HYc-_1.43 //
   tathaikāsminn eva dṛḍhe siddhe siddhāsane sati /	taTA-ekA-asmin eva dRXe sidDe sidDAsane sati /
   bandha-trayam anāyāsāt svayam evopajāyate // HYP_1.44 //	banDa--trayam anAyAsAt svayam eva-upajAyate // HYc-_1.44 //
   nāsanaṃ siddha-sadṛśaṃ na kumbhaḥ kevalopamaḥ /	na-Asanam sidDa--sadRSam na kumBaH kevala-upamaH /
   na khecarī-samā mudrā na nāda-sadṛśo layaḥ // HYP_1.45 //	na KecarI--samA mudrA na nAda--sadRSaH layaH // HYc-_1.45 //
   atha padmāsanam-	aTa padmAsanam-
   vāmorūpari dakṣiṇaṃ ca caraṇaṃ saṃsthāpya vāmaṃ tathā	vAma-Uru-upari dakziNam ca caraNam saMsTApya vAmam taTA
   dakṣorūpari paścimena vidhinā dhṛtvā karābhyāṃ dṛḍham /	dakza-Uru-upari paScimena viDinA DRtvA karAByAm dRXam /
   aṅguṣṭhau hṛdaye nidhāya cibukaṃ nāsāgram ālokayet	aFguzWO hRdaye niDAya cibukam nAsA-agram Alokayet-
   etad vyādhi-vināśa-kāri yamināṃ padmāsanaṃ procyate // HYP_1.46 //	etat vyADi--vinASa--kAri yaminAm padmAsanam procyate // HYc-_1.46 //
   uttānau caraṇau kṛtvā ūru-saṃsthau prayatnataḥ /	uttAnO caraNO kRtvA Uru--saMsTO prayatnataH /
   ūru-madhye tathottānau pāṇī kṛtvā tato dṛśau // HYP_1.47 //	Uru--maDye taTA-uttAnO pANI kRtvA tatas dRSO // HYc-_1.47 //
   nāsāgre vinyased rājad-anta-mūle tu jihvayā /	nAsA-agre vinyaset rAjat--anta--mUle tu jihvayA /
   uttambhya cibukaṃ vakṣasy utthāpy pavanaṃ śanaiḥ // HYP_1.48 //	uttamBya cibukam vakzasi utTApi pavanam SanEs // HYc-_1.48 //
   idaṃ padmāsanaṃ proktaṃ sarva-vyādhi-vināśanam /	idam padmAsanam proktam sarva--vyADi--vinASanam /
   durlabhaṃ yena kenāpi dhīmatā labhyate bhuvi // HYP_1.49 //	durlaBam yena kena-api DImatA laByate Buvi // HYc-_1.49 //
   kṛtvā sampuṭitau karau dṛḍhataraṃ baddhvā tu padmāsanaṃ	kRtvA sampuwitO karO dRXataram badDvA tu padmAsanam
   gāḍhaṃ vakṣasi sannidhāya cibukaṃ dhyāyaṃś ca tac cetasi /	gAXam vakzasi sanniDAya cibukam DyAyan ca tat cetasi /
   vāraṃ vāram apānam ūrdhvam anilaṃ protsārayan pūritaṃ	vAram vAram apAnam UrDvam anilam protsArayan pUritam
   nyañcan prāṇam upaiti bodham atulaṃ śakti-prabhāvān naraḥ // HYP_1.50 //	nyaQcan prANam upEti boDam atulam Sakti-praBAvAt naraH // HYc-_1.50 //
   padmāsane sthito yogī nāḍī-dvāreṇa pūritam /	padmAsane sTitaH yogI nAxI-dvAreNa pUritam /
   mārutaṃ dhārayed yas tu sa mukto nātra saṃśayaḥ // HYP_1.51 //	mArutam DArayet yaH tu sa muktaH na-atra saMSayaH // HYc-_1.51 //
   atha siṃhāsanam-	aTa siMhAsanam-
   gulphau ca vṛṣaṇasyādhaḥ sīvanyāḥ pārśvayoḥ kṣipet /	gulPO ca vRzaNasya-aDas sIvanyAH pArSvayoH kzipet /
   dakṣiṇe savya-gulphaṃ tu dakṣa-gulphaṃ tu savyake // HYP_1.52 //	dakziNe savya--gulPam tu dakza-gulPam tu savyake // HYc-_1.52 //
   hastau tu jānvoḥ saṃsthāpya svāṅgulīḥ samprasārya ca /	hastO tu jAnvoH saMsTApya sva-aFgulIH samprasArya ca /
   vyātta-vaktro nirīkṣeta nāsāgraṃ susamāhitaḥ // HYP_1.53 //	vyAtta--vaktraH nirIkzeta nAsA-agram su-samAhitaH // HYc-_1.53 //
   siṃhāsanaṃ bhaved etat pūjitaṃ yogi-puṅgavaiḥ /	siMhAsanam Bavet etat pUjitam yogi--puFgavEH /
   bandha-tritaya-sandhānaṃ kurute cāsanottamam // HYP_1.54 //	banDa--tritaya--sanDAnam kurute ca-Asana-uttamam // HYc-_1.54 //
   atha bhadrāsanam-	aTa BadrAsanam-
   gulphau ca vṛṣaṇasyādhaḥ sīvanyāḥ pārśvayoḥ kṣipte /	gulPO ca vRzaNasya-aDas sIvanyAH pArSvayoH kzipte /
   savya-gulphaṃ tathā savye dakṣa-gulphaṃ tu dakṣiṇe // HYP_1.55 //	savya--gulPam taTA savye dakza-gulPam tu dakziNe // HYc-_1.55 //
   pārśva-pādau ca pāṇibhyāṃ dṛḍhaṃ baddhvā suniścalam /	pArSva-pAdO ca pANiByAm dRXam badDvA su-niScalam /
   bhadrāsanaṃ bhaved etat sarva-vyādhi-vināśanam /	BadrAsanam Bavet etat sarva--vyADi--vinASanam /
   gorakṣāsanam ity āhur idaṃ vai siddha-yoginaḥ // HYP_1.56 //	gorakzAsanam iti AhuH idam vE sidDa-yoginaH // HYc-_1.56 //
   evam āsana-bandheṣu yogīndro vigata-śramaḥ /	evam Asana--banDezu yogi-indraH vigata--SramaH /
   abhyasen nāḍikā-śuddhiṃ mudrādi-pavanī-kriyām // HYP_1.57 //	aByaset nAxikA--SudDim mudrA-Adi--pavanI--kriyAm // HYc-_1.57 //
   āsanaṃ kumbhakaṃ citraṃ mudrākhyaṃ karaṇaṃ tathā /	Asanam kumBakam citram mudrA-AKyam karaNam taTA /
   atha nādānusandhānam abhyāsānukramo haṭhe // HYP_1.58 //	aTa nAda-anusanDAnam aByAsa-anukramaH haWe // HYc-_1.58 //
   brahmacārī mitāhārī tyāgī yoga-parāyaṇaḥ /	brahmacArI mita-AhArI tyAgI yoga-parAyaNaH /
   abdād ūrdhvaṃ bhavet siddho nātra kāryā vicāraṇā // HYP_1.59 //	abdAt UrDvam Bavet sidDaH na-atra kAryA vicAraNAH // HYc-_1.59 //
   susnigdha-madhurāhāraś caturthāṃśa-vivarjitaḥ /	su-snigDa--maDura-AhAraH caturTa-aMSa--vivarjitaH /
   bhujyate śiva-samprītyai mitāhāraḥ sa ucyate // HYP_1.60 //	Bujyate Siva--samprItyE mita-AhAraH saH ucyate // HYc-_1.60 //
   kaṭvāmla-tīkṣṇa-lavaṇoṣṇa-harīta-śāka-	kawvA-amla--tIkzNa--lavaNa-uzNa--harI-ta-SAka-
   sauvīra-taila-tila-sarṣapa-madya-matsyān /	sOvIra--tEla-tila---sarzapa--madya-matsyAn /
   ājādi-māṃsa-dadhi-takra-kulatthakola-	Aja-Adi-mAMsa-daDi-takra-kulatTa-kola-
   piṇyāka-hiṅgu-laśunādyam apathyam āhuḥ // HYP_1.61 //	piNyAka--hiFgu--laSuna-Adyam apaTyam AhuH // HYc-_1.61 //
   bhojanam ahitaṃ vidyāt punar asyoṣṇī-kṛtaṃ rūkṣam /	Bojanam ahitam vidyAt punar asya-uzNI-kRtam rUkzam /
   atilavaṇam amla-yuktaṃ kadaśana-śākotkaṃ varjyam // HYP_1.62 //	ati-lavaNam amla-yuktam kadaSana-SAka-utkam varjyam // HYc-_1.62 //
   vahni-strī-pathi-sevānām ādau varjanam ācaret // HYP_1.63 //	vahni-strI--paTi--sevAnAm AdO varjanam Acaret // HYc-_1.63 //
   tathā hi gorakṣa-vacanam-	taTA hi gorakza-vacanam-
   varjayed durjana-prāntaṃ vahni-strī-pathi-sevanam /	varjayet durjana--prAntam vahni-H-trI--paTi--sevanam /
   prātaḥ-snānopavāsādi kāya-kleśa-vidhiṃ tathā // HYP_1.64 //	prAtar---snAna-upavAsa-Adi kAya--kleSa--viDim taTA // HYc-_1.64 //
   godhūma-śāli-yava-ṣāṣṭika-śobhanānnaṃ	goDUma--SAli-yava-za-azwika-SoBana-annam
   kṣīrājya-khaṇḍa-navanīta-siddhā-madhūni /	kzIra-Ajya---KaNxa--navanIta--sidDA--maDUni /
   śuṇṭhī-paṭola-kaphalādika-pañca-śākaṃ	SuNWI--pawa-ula-ka-Pala-Adika-paQca--SAkam
   mudgādi-divyam udakaṃ ca yamīndra-pathyam // HYP_1.65 //	mudga-Adi-divyam udakam ca yami-indra--paTyam // HYc-_1.65 //
   puṣṭaṃ sumadhuraṃ snigdhaṃ gavyaṃ dhātu-prapoṣaṇam /	puzwam su-maDuram snigDam gavyam DAtu--prapozaNam /
   manobhilaṣitaṃ yogyaṃ yogī bhojanam ācaret // HYP_1.66 //	manoBilazitam yogyam yogI Bojanam Acaret // HYc-_1.66 //
   yuvo vṛddho'tivṛddho vā vyādhito durbalo'pi vā /	yuvaH vRdDaH-ativRdDaH vA vyADitaH durbalaH-api vA /
   abhyāsāt siddhim āpnoti sarva-yogeṣv atandritaḥ // HYP_1.67 //	aByAsAt sidDim Apnoti sarva--yogezu atandritaH // HYc-_1.67 //
   kriyā-yuktasya siddhiḥ syād akriyasya kathaṃ bhavet /	kriyA--yuktasya sidDiH syAt akriyasya kaTam Bavet /
   na śāstra-pāṭha-mātreṇa yoga-siddhiḥ prajāyate // HYP_1.68 //	na SAstra-pAWa--mAtreNa yoga--sidDiH prajAyate // HYc-_1.68 //
   na veṣa-dhāraṇaṃ siddheḥ kāraṇaṃ na ca tat-kathā /	na veza--DAraNam sidDeH kAraNam na ca tat-kaTA /
   kriyaiva kāraṇaṃ siddheḥ satyam etan na saṃśayaḥ // HYP_1.69 //	kriyA-eva kAraNam sidDeH satyam etat na saMSayaH // HYc-_1.69 //
   pīṭhāni kumbhakāś citrā divyāni karaṇāni ca /	pIWAni kumBakAH citrAH divyAni karaNAni ca /
   sarvāṇy api haṭhābhyāse rāja-yoga-phalāvadhi // HYP_1.70 //	sarvANi api haWa-aByAse rAja--yoga--Pala-avaDi // HYc-_1.70 //
   iti haṭha-pradīpikāyāṃ prathamopadeśaḥ /	iti haWa-pradIpikAyAm praTama-upadeSaH /
   dvitīyopadeśaḥ	dvitIya-upadeSaH
   athāsane dṛdhe yogī vaśī hita-mitāśanaḥ /	aTa-Asane dRDe yogI vaSI hita--mita-aSanaH /
   gurūpadiṣṭa-mārgeṇa prāṇāyāmān samabhyaset // HYP_2.1 //	guru-upadizwa--mArgeNa prANAyAmAn samaByaset // HYc-_2.1 //
   cale vāte calaṃ cittaṃ niścale niścalaṃ bhavet // HYP_2.	cale vAte calam cittam niScale niScalam Bavet // HYc-_2.
   yogī sthāṇutvam āpnoti tato vāyuṃ nirodhayet // HYP_2.2 //	yogI sTANu-tvam Apnoti tatas vAyum niroDayet // HYc-_2.2 //
   yāvad vāyuḥ sthito dehe tāvaj jīvanam ucyate /	yAvat vAyuH sTitaH dehe tAvat jIvanam ucyate /
   maraṇaṃ tasya niṣkrāntis tato vāyuṃ nirodhayet // HYP_2.3 //	maraNam tasya nizkrAntiH tatas vAyum niroDayet // HYc-_2.3 //
   malākalāsu nāḍīṣu māruto naiva madhyagaḥ /	malAkalAsu nAxIzu mArutaH na-eva maDya-gaH /
   kathaṃ syād unmanībhāvaḥ kārya-siddhiḥ kathaṃ bhavet // HYP_2.4 //	kaTam syAt unmanIBAvaH kArya--sidDiH kaTam Bavet // HYc-_2.4 //
   śuddham eti yadā sarvaṃ nāḍī-cakraṃ malākulam /	SudDam eti yadA sarvam nAxI-cakram mala-Akulam /
   tadaiva jāyate yogī prāṇa-saṃgrahaṇe kṣamaḥ // HYP_2.5 //	tadA-eva jAyate yogI prANa--saMgrahaNe kzamaH // HYc-_2.5 //
   prāṇāyāmaṃ tataḥ kuryān nityaṃ sāttvikayā dhiyā /	prANAyAmam tatas kuryAt nityam sAttvikayA DiyA /
   yathā suṣumṇā-nāḍīsthā malāḥ śuddhiṃ prayānti ca // HYP_2.6 //	yaTA suzumNA--nAxI-sTAH malAH SudDim prayAnti ca // HYc-_2.6 //
   baddha-padmāsano yogī prāṇaṃ candreṇa pūrayet /	badDa--padmAsanaH yogI prANam candreNa pUrayet /
   dhārayitvā yathā-śakti bhūyaḥ sūryeṇa recayet // HYP_2.7 //	DArayitvA yaTA-Sakti BUyas sUryeNa recayet // HYc-_2.7 //
   prāṇaṃ sūryeṇa cākṛṣya pūrayed udaraṃ śanaiḥ /	prANam sUryeNa ca-AkRzya pUrayet udaram SanEs /
   vidhivat kumbhakaṃ kṛtvā punaś candreṇa recayet // HYP_2.8 //	viDivat kumBakam kRtvA punar candreNa recayet // HYc-_2.8 //
   yena tyajet tena pītvā dhārayed atirodhataḥ /	yena tyajet tena pItvA DArayet ati-roDataH /
