   prathamas+sargas+	praTama-s+sarga-s+
   uktais+kim+atha bhūyobhis+adya śvas+vā+āgamiṣyati &	uktEs+kim-+aTa BUyoBis+adya Svas+vA+Agamizyati &
   paryutsukitakiṣkindhas+satyasandhas+harīśvaraḥ // Rc_1.59 //	paryutsukita-kizkinDas+satya-sanDa-s+hari-ISvaraH // Rt-_1.59 //
   vyatireke+api yat+kāryam+tadapyārya pradhāryatām &	vyatireke+-api yat+kAryam-+tat-api-Arya praDAryatAm &
   gṛhyatām+kāryasiddhis+nas+tadvilambatiraskṛtā // Rc_1.60 //	gRhyatAm-+kArya-sidDi-s+nas+tad-vilamba-tiraskRtAH // Rt-_1.60 //
   yas+tathā+upakṛtas+pūrvam+āryeṇa+āryākṛte+adhunā &	yas+-taTA-a+upakRta-s+pUrvam+AryeNa-+Arya-AkRte+aDunA &
   sa śītalas+syāt+athavā paracittāni vetti kaḥ // Rc_1.61 //	sa SItala-s+syAt-+aTavA para-cittAni vetti kaH // Rt-_1.61 //
   sa pratiśrutam+artham+nas+sphītas+vismṛtavān+iva &	sa pratiSrutam-+arTa-m+nas+-sPIta-s+vismRtavAn-+iva &
   gatvā+āśu smāryatām+ārya kāryataptasya kā kṣamā // Rc_1.62 //	gatvA-a+ASu smAryatAm-+Arya kArya-taptasya kA kzamA // Rt-_1.62 //
   tam+aham+bodhayiṣyāmi daṇḍagarbhābhis+uktibhiḥ &	tam-+aham-+boDayizyAmi daNxa-garBa-aBis+uktiBiH &
   sāma saṃmīlayati+eva sukhasaktān+pramādinaḥ // Rc_1.63 //	sAma saMmIlayati+eva suKa-saktAn+pramAdinaH // Rt-_1.63 //
   prasīda jīyatām+mohas+kas+aham+iti+avadhīyatām &	prasIda jIyatAm-+moha-s+kas+aham+iti+avaDIyatAm &
   drutam+uttīrṇas+eva+āste vyasanābdhis+kiyān+ayam // Rc_1.64 //	drutam-+uttIrNa-s+eva+AH-te vyasana-abDi-s+kiyAn-+ayam // Rt-_1.64 //
   sūnṛtais+iti saumitres+prītas+pīyūṣavarṣibhiḥ &	sUnRtA-es+iti sOmitres+-prIta-s+pIyUza-varziBiH &
   tam+antarvedanāvegam+jigāya+iva raghūdvahaḥ // Rc_1.65 //	tam-+antar-vedanA-vegam-+jigAya-+iva raGu-udvahaH // Rt-_1.65 //
   unmīlayāmāsa dṛśau diśas+kiṃcit+alokata &	unmIlayAmAsa dRSO diSas+-kiMcit+a-lokataH &
   unnanāma ca talpāntāt+mocayan+pakṣmalās+jaṭāḥ // Rc_1.66 //	unna-nAma ca talpa-antAt+mocayan+-pakzma-lAs+-jawAH // Rt-_1.66 //
   satvaraprahvasaumitricīrotsāritareṇuni &	sa-tvara-prahva-sOmitri-cIra-utsArita-reNuni &
   śucini kvacit+āsanne niṣasāda śilātale // Rc_1.67 //	Sucini kvacit+a-Asanne nizasAda SilA-tale // Rt-_1.67 //
   upaviṣṭas+tadā rāmas+na reje sītayā vinā &	upavizwa-s+tadA rAmas+na reje sItayA vinA &
   dhvajas+nirvaijayantīkas+paurandaras+iva+ucchritaḥ // Rc_1.68 //	Dvaja-s+nirvEjayantIka-s+pOrandara-s+iva+ucCritaH // Rt-_1.68 //
   anūpaviṣṭam+anujam+danujārim+iva+adrijit &	anUpa-vizwam+anuja-m+da-nujA-arim+iva+adri-jit &
   pratyabhāṣata vātsalyagadgadāni padāni saḥ // Rc_1.69 //	pratyaBAzata vAtsalya-gadgadAni padAni saH // Rt-_1.69 //
   ehi+ehi priyasaṃlāpa hlādayā+āliṅgitena mām &	ehi+ehi priya-saMlApa hlAdayA+AliFgitena mAm &
   ruddham+ruddham+upaiti+aśru tvām+api+īkṣe na lakṣmaṇa // Rc_1.70 //	rudDam-+rudDam-+upEti-+aSru tvAm-+api+Ikze na lakzmaNa // Rt-_1.70 //
   hā vatsa bhavatas+api+iyam+avasthā+aṅgeṣu vartate &	hA vatsa Bavata-s+api+iyam-+avasTA-+aFgezu vartate &
   dhriyatām+rāmahatakas+kleśayan+ekabāndhavam // Rc_1.71 //	DriyatAm-+rAma-hataka-s+kleSayan-+eka-bAnDavam // Rt-_1.71 //
   na+asti vatsa cikitsā+asya vyādhes+vidhurajanmanaḥ &	na+asti vatsa cikitsA+asya vyADes+viDura-janmanaH &
   yasya yāpanayā kṣīṇam+idam+te sāntvanāmṛtam // Rc_1.72 //	yasya yApanayA kzINam-+idam-+te sAntvanA-amRtam // Rt-_1.72 //
   naikadurvāraghorādhighaṭṭanācalitās+api &	na-eka-durvAra-Gora-aDiGawwana-Acalita-As+-api &
   tava+āśvāsanayā vatsa na gacchanti mama+asavaḥ // Rc_1.73 //	tava+ASvAsanayA vatsa na gacCanti mama+asavaH // Rt-_1.73 //
   pitus+nas+priyamitrasya lūnapakṣasya maddviṣā &	pitu-s+nas+priya-mitrasya lUna-pakzasya mad-dvizA &
   saṃsmaran+na+utsahe vatsa marmacchedam+jaṭāyuṣaḥ // Rc_1.74 //	saMsmaran+na+utsahe vatsa marma=-Cedam-+jawAyuzaH // Rt-_1.74 //
   tātasya tātamitrasya vatsavatsalayos+tayoḥ &	tAtasya tAta-mitrasya vatsa-vat-salayos+tayoH &
   aham+eva gatas+pāpas+nidhanāya nimittatām // Rc_1.75 //	aham-+eva gata-s+pApa-s+niDanAya nimitta-tAm // Rt-_1.75 //
   priyāpahārajas+śāmyet+samyak+unmūlite ripau &	priya-apahAra-jas+-SAmyet+samyak+ud-mUlite ripO &
   manyus+dehāvadhis+ayam+tātamitravipattibhūḥ // Rc_1.76 //	manyu-s+deha-avaDi-s+ayam+tAtamitra-vipatti-BUH // Rt-_1.76 //
   nabhastalāt+khagapatau patati cchinnapakṣatau &	naBaH-talAt+Kaga-patO patati cCinna-pakzatO &
   kas+aparas+tām+mama suhṛt+mā bhaiṣīs+iti+abhāṣata // Rc_1.77 //	kas+a-paras+tAm-+mama suhRt+mA BEzIs+iti+aBAzata // Rt-_1.77 //
   syāt+vatsa rāmahatakāt+klības+kas+puruṣas+aparaḥ &	syAt+vat-sa rAma-hata-kAt+-klIba-s+kas+puruza-s+a-paraH &
   ekapatnīm+anugatām+arātes+yas+na rakṣati // Rc_1.78 //	eka-patnIm-+anuga-tAm+arAtes+yas+na rakzati // Rt-_1.78 //
   tayā teṣu tapasvinyā sīdatos+āvayos+api &	tayA tezu tapasvinyA sIdataH-s+Avayos+api &
   daṇḍakāraṇyakaṣṭeṣu mukham+na vidhurīkṛtam // Rc_1.79 //	daNxaka-araNya-kazwezu muKam+na viDurIkRtam // Rt-_1.79 //
   videharājasya sutā snuṣā daśarathasya sā &	videha-rAjasya sutA snuzA daSaraTasya sA &
   hatarāmasya jāyā+iti bhramati sma vane vane // Rc_1.80 //	hata-rAmasya jAyA+-iti Bramati sma vane vane // Rt-_1.80 //
   svam+api+apuṣṇatā kāyam+api jāyām+arakṣatā &	svam-+api-+a-puzNa-tA kAyam-+api jAyAm+a-rakzatA &
   mayā samas+śrutas+kas+api jātas+klības+raghos+kule // Rc_1.81 //	mayA samas+Sruta-s+kas+api jAta-s+klIba-s+raGa-us+kule // Rt-_1.81 //
   tvam+kevalam+na subhrātā tathā vilapatā muhuḥ &	tvam-+kevala-m+na suBrAtA taTA vilapatAH muhur &
   tiryañcas+api mayā+amuṣmin+vane lakṣmaṇa roditāḥ // Rc_1.82 //	tiryaQcas+api mayA-a+amuzmin+-vane lakzmaNa roditAH // Rt-_1.82 //
   dikṣu sannaddhameghāsu mama ghorādhisākṣiṇām &	dikzu sannadDa-meGAsu mama Gora-aDisAkziNAm &
   avahan+nirjharanibhān+nagānām+aśrunimnagāḥ // Rc_1.83 //	avahan+-nirJara-niBAn+nagAnAm-+aSru-nimnagAH // Rt-_1.83 //
   ārāt+ākarṇitasnigdhanavābdaninadais+api &	ArAt+a-AkarNita-snigDa-nava-abda-ninada-es+api &
   matkāruṇyāt+araṇye+api na+anṛtyata kalāpibhiḥ // Rc_1.84 //	matka-aruNyAt+araNye+api na+a-nRtyata kalApiBiH // Rt-_1.84 //
   satyam+eṣyati sugrīvas+satyam+jīvati jānakī &	satyam-+ezyati sugrIva-s+satyam-+jIvati jAnakI &
   tvadvacas+na viparyeti bhrātar+brūhi punas+punaḥ // Rc_1.85 //	tvad-vacas+na viparyeti BrAtar+brUhi punar-+punar // Rt-_1.85 //
   tvadvākyaśīkarais+ebhis+niruddhabahirudgamaḥ &	tvad-vAkya-SIkarEs+eBis+-nirudDa-bahis-udgamaH &
   mama+antar+leḍhi marmāṇi sītāvirahamurmuraḥ // Rc_1.86 //	mama+antar+-leXi marmANi sItA-viraha-m-urmuraH // Rt-_1.86 //
   tasmāt+api dahati+uccair+ayam+mām+aparas+śikhī &	tasmAt+api dahati+-uccEs-+ayam-+mAm-+aparas+SiKI &
   yat+vanaukasi nirvaire muktas+vālini mārgaṇaḥ // Rc_1.87 //	yat+vanOkasi nirvEre mukta-s+vAlini mArgaNaH // Rt-_1.87 //
   gurvī punas+ca lajjā+iyam+uttamarṇais+iva+adhunā &	gurvI punar-+ca lajjA-a+iyam-+uttama-rNa-es+iva-+aDunA &
   mārgitavyas+yat+asmābhis+plavagās+pratyupakriyām // Rc_1.88 //	mArgita-vyas+yat+asmABis+plava-gAs+-pratyupakriyAm // Rt-_1.88 //
   na+asti pratyupakārāśā tatra nas+capale kapau &	na+asti pratyupakAra-ASA tatra nas+capale kapO &
   yena+atilaghunā+uttuṅgas+laṅghitas+satyapādapaḥ // Rc_1.89 //	yena-+ati-laGunA+uttuFga-s+-laFGita-s+satya-pAdapaH // Rt-_1.89 //
   uttiṣṭha vatsa gacchāvas+sādhayāmas+anyatas+adhunā &	uttizWa vatsa gacCAvas+-sADa-yAma-s+anyata-s+aDunA &
   navaiśvaryasukhavyagras+sugrīvas+nāgam+iṣyati // Rc_1.90 //	nava-ESvarya-suKa-vyagras+-sugrIva-s+nAgam+izyati // Rt-_1.90 //
   tapasvī ramatām+evam+cirāt+dārais+samāgataḥ &	tapasvI ramatAm-+evam-+cirAt+-dAra-es+-samAgataH &
