   śrīḥ //	SrIH //
   nanvanupakāryānupakārakayorviśeṣaṇaviśeṣyabhāve kathamatiprasaṅgo	nanu-anupakArya-anupakArakayoH-viSezaNa-viSezya-BAve kaTam-atiprasaFgaH-
   vāraṇīyaḥ? vyavacchittipratyāyanena; vyavacchittau svabhāvena /	vAraNIyaH? vyavacCitti-pratyAyanena; vyavacCittO svaBAvena /
   anyathā tatrā(vā)vyanavasthānāditi /	anyaTA tatra-a(vA)vyanavasTAnAt-iti /
   [ku.4.505] jñātataivopādhiriti cenna- nirākariṣyamāṇatvāt /	[ku.4.505] jQAta-tA-eva-upADiH-iti ca-id-na nirAkarizyamANa-tvAt /
   tatsadbhāvepi vā smṛterapi tathaiva prāmāṇyaprasaṅgāt /	tad-sadBAvepi vA smRteH-api taTA-eva prAmANya-prasaFgAt /
   janakāgocaratvepyuttarottarasmṛtau	janaka-agocara-tvepi-uttarottarasmRtO
   pūrvapūrvasmaraṇajanitajñātatāvabhāsanāt /	pUrva-pUrva-smaraNa-janita-jQAta-tAvaBAsanAt /
   [ku.4.506] astu vā pratyakṣe yathātathā /	[ku.4.506] astu vA pratyakze yaTA-taTA /
   gṛhītavismṛtārthaśrutau kā vārtā? apramaivāsāviti cet- gatamidānīṃ	gRhIta-vismRta-arTa-SrutO kA vArtA? apramA-eva-asO=-iti cet gatam-idAnIm
   vedaprāmāṇyapratyāśayā /	veda-prAmANya-pratyASayA /
   nahyanādau saṃsāre,"svargakāmo yajete'ti vākyārthaḥ kenacinnāvagataḥ;	na-hi-anAdO saMsAre,"svarga-kAmaH yajete-ati vAkya-arTaH kenacid-na-avagataH;
   sandehe 'pi prāmāṇyasandehāt /	sandehe api prAmANya-sandehAt /
   na ca tatrāpi kālakalāviśeṣāḥ parisphuranti /	na ca tatra-api kAla-kalA-viSezAH parisPuranti /
   na caikajanmāvacchedaparibhāṣayedaṃ lakṣaṇam,	na ca-eka-janma-avacCeda-pariBAzaya-idam lakzaNam,
   tatrāpyanubhūtavismṛtavedārthaṃ pratyaprāmāṇyaprasaṅgāt /	tatra-api-anuBUta-vismRta-veda-arTam pratyaprAmANya-prasaFgAt /
   [ku.4.507] kathaṃ tarhi smṛtervyavacchedaḥ? ananubhavatvenaiva /	[ku.4.507] kaTam tarhi smRteH-vyavacCedaH? ananuBava-tvena-eva /
   yathārthohyanubhavaḥ prameti prāmāṇikāḥ paśya(ṭha)nti;	yaTArTa-Uhi-anuBavaH pramA-iti prAmANikAH paSya(Wa)nti;
   "tatvajñānā(214)'diti sūtraṇāt; "avyabhicāri jñāna'miti ca /	"tatva-jQAna-a(214)-aditi sUtraNAt; "avyaBicAri jQAna-am-iti ca /
   nanu smṛtiḥ pramaiva kiṃ na syāt yathārthajñānatvāt	nanu smRtiH pramA-eva kim na syAt yaTA-arTa-jQAna-tvAt
   pratyakṣādyanubhūtivaditi cenna, siddhe vyavahāre nimittānusaraṇāt /	pratyakza-Adi-anuBUti-vat-iti ced-na, sidDe vyavahAre nimitta-anusaraNAt /
   na ca svecchākalpitena nimittena lokavyavahāraniyamanam; avyavasthayā	na ca sva-icCA-kalpitena nimittena loka-vyavahAra-niyamanam; avyavasTayA
   lokavyavahāraviplavaprasaṅgāt /	loka-vyavahAra-viplava-prasaFgAt /
   na ca smṛtihetau pramāṇābhiyuktānāṃ (prāmāṇavyavahārābhiyuktānāṃ)	na ca smRti-hetO pramANa-aBiyuktAnAm (prAmANa-vyavahAra-aBiyuktAnAM)
   maharṣīṇāṃ pramāṇavyavahāro 'sti; pṛthaganupadeśāt /	mahA-RzINAm pramANa-vyavahAraH asti; pRTak-anupadeSAt /
   ukteṣvanantarbhāvādanupadeśa iti cenna-	uktezu-anantarBAvAt-anupadeSaH iti ced-na-
   pratyakṣasyāsākṣātkāriphalatvānupapatteḥ /	pratyakzasya-asAkzAt-kAri-Pala-tva-anupapatteH /
   liṅgaśabdādeśca sattāmātreṇa pratītyasādhanatvāditi /	liFga-Sabda-AdeH-ca sattA-mAtreNa pratItya-sADana-tvAt-iti /
   [ku.4.508] evaṃ vyavasthite tarkyate 'pi yat- iyamanubhavaikaviṣayā satī	[ku.4.508] evam vyavasTite tarkyate api yat iyam-anuBava-eka-vizayA satI
   tanmukhanirīkṣaṇena tadyathārthatvāyathārthatve anuvidhīyamānā	tad-muKa-nirIkzaNena tat-yaTArTa-tva-ayaTa-arTa-tve anuviDIyamAnA
   tatprāmāṇyamavya(na)vasthāpya na yathārthatayā vyavahartuṃ śakyata (215)	tad-prAmANyam-avya(na-)vasTApya na yaTArTa-tayA vyavahartum Sakyate (215)
   iti vyavahāre 'pi pūrvānubhava eva pramitiḥ, anapekṣatvāt; na tu smṛtiḥ,	iti vyavahAre api pUrva-anuBavaH eva pramitiH, anapekza-tvAt; na tu smRtiH,
   nityaṃ tadapekṣaṇāt /	nityam tad-apekzaNAt /
   asamīcīne hyanubhave smṛtirapi tathaiva /	asamI-cIne hi-anuBave smRtiH-api taTA-eva /
   nanvevamanumānamapyapramāṇamāpadyeta, mūlapratyakṣānuvidhānāt /	nanu-evam-anumAnam-api-apramANam-Apadyeta, mUla-pratyakza-anuviDAnAt /
   na- viṣayabhedāt /	na vizaya-BedAt /
   āgamastarhi na pramāṇam, tadviṣayamānāntarānuvidhānāt /	AgamaH-tarhi na pramANam, tad-vizaya-mAna-antara-anuviDAnAt /
   na- pramātṛbhedāt /	na pramAtR-BedAt /
   dhārāvāhikabuddhayastarhi na pramāṇam ādyapramāṇānuvidhānāt /	DArAvAhika-budDayaH-tarhi na pramANam Adya-pramANa-anuviDAnAt /
   na, kāraṇaviśuddhimātrāpekṣayā prathamavaduttarāsāmapi	na, kAraNa-viSudDi-mAtra-apekzayA praTama-vat-uttarAsAm-api
   pūrvamukhanirīkṣaṇābhāvāt /	pUrva-muKa-nirIkzaNa-aBAvAt /
   kāraṇabalāyātaṃ kākatālīyaṃ paurvāparyamiti /	kAraNa-bala-AyAtam kAkatAlIyam pOrvAparyam-iti /
   [ku.4.509] yadi hi (yadi tarhi) smṛtirna pramitiḥ, pūrvānubhave kiṃ	[ku.4.509] yadi hi (yadi tarhi) smRtiH-na pramitiH, pUrva-anuBave kim
   pramāṇam? smṛtyanyathānupapattiriti cenna- tayā kāraṇamātrasiddheḥ /	pramANam? smRti-anyaTA-anupapattiH-iti ced-na tayA kAraNa-mAtra-sidDeH /
   na tu tenānubhavenaiva bhavitavyamiti niyāmakamasti /	na tu tena-anuBavena-eva Bavitavyam-iti niyAmakam-asti /
   ananubhūtepi tarhi smaraṇaṃ syāditi cet- kiṃ na syāt /	ananuBUtepi tarhi smaraNam syAt-iti cet kim na syAt /
   nahyatra pramāṇamasti /	na-hi-atra pramANam-asti /
   pūrvānaubhavākāro(bhavo)llekhaḥsmṛterdṛśyate; so 'nyathā na syāditi cet-	pUrva-anOBava-AkAraH-(-Bava-u)lleKaH-smRteH-dRSyate; saH anyaTA na syAt-iti ced--
   tat kiṃ bauddhavat viṣayākārānyathānupapattyā viṣayasiddhistvayāpīṣyate?	tat kim bOdDa-vat vizaya-AkArAni-aTa-anupapattyA vizaya-sidDiH-tvayA-api-izyate?
   tathābhūtaṃ jñānameva vā tatsiddhiḥ? ādye tadvadevānaikāntikatvam /	taTABUtam jQAnam-eva vA tad-sidDiH? Adye tadvat-eva-anEkAntika-tvam /
   na hi yadākāraṃ jñānam, tatpūrvakatvaṃ tasyeti niyamaḥ; anāgatajñāne	na hi yat-AkAram jQAnam, tad-pUrvaka-tvam tasya-iti niyamaH; anAgata-jQAne
   vibhrame ca vyabhicārāt /	viBrame ca vyaBicArAt /
   dvitīye ca (tu) smṛtiprāmāṇyamavarjanīyam /	dvitIye ca (tu) smRti-prAmANyam-avarjanIyam /
   mā bhūt pūrvānubhavasiddhiḥ; kiṃ naśchinnamiti cet- na tarhi	mA BUt pUrva-anuBava-sidDiH; kim naH-Cinnam-iti cet na tarhi
   smṛtyanubhavayoḥ kāryakāraṇabhāvasiddhiriti /	smRti-anuBavayoH kArya-kAraNa-BAva-sidDiH-iti /
   na, tadaprāmāṇye 'pi pūrvāparāvasthāvadātmapratyabhijñānaprāmāṇyādeva	na, tad-aprAmANye api pUrva-apara-avasTAvat-Atma-pratyaBijQAna-prAmANyAt-eva
   tadupapatteḥ /	tad-upapatteH /
   yo 'hamanvabhavamamumartham, so 'haṃ smarāmīti mānasapratyakṣamastīti /	yaH aham-anvaBavam-amum-arTam, saH aham smarAmi-iti mAnasa-pratyakzam-asti-iti /
   [ku.4.510] na ca gṛhītagrāhitvamīśvarajñānasya; tadīyajñānāntarāgocaratvād	[ku.4.510] na ca gRhIta-grAhi-tvam-ISvara-jQAnasya; tadIya-jQAna-antara-agocara-tvAt-
   viśvasya /	viSvasya /
   na ca tadeva jñānaṃ kālabhedenāpramāṇam; anapekṣatvasyāparāvṛtteḥ /	na ca tat-eva jQAnam kAla-Bedena-apramANam; anapekza-tvasya-aparAvRtteH /
   tathāpi vāprāmāṇye atiprasaṅgāditi /	taTA-api vA-prAmANye atiprasaFgAt-iti /
   [ku.4.511] syādetat- anupakārakaṃ (216) viṣayasya tadīyametadīyaṃ vā na	[ku.4.511] syAt-etat anupakArakam (216) vizayasya tadIyam-etadIyam vA na
   bhavitumarhati, aviśeṣāt /	Bavitum-arhati, aviSezAt /
   na ca tasyetyaniyataṃ tatra pramāṇam, atiprasaṅgāt /	na ca tasya-iti-aniyatam tatra pramANam, atiprasaFgAt /
   na ca tadabhijñāna(bhijña)mantareṇa tadupakārasyotpattiḥ,	na ca tad-aBijQAna-(BijQa)m-antareNa tad-upakArasya-utpattiH,
   tathānabhyupagamāt /	taTA-anaByupagamAt /
   abhyupagame vā, kāryatvasyānaikāntikatvāt /	aByupagame vA, kAryatvasya-anEkAntika-tvAt /
   atrocyate-[ku.4.512] svabhāvaniyamābhāvādupakāro 'pi durghaṭaḥ /	atra-ucyate-[ku.4.512] svaBAva-niyama-aBAvAt-upakAraH api durGawaH /
   sughaṭatve 'pi satyarthe 'sati kā gatiranyathā //2 //	su-Gawa-tve api satyarTe asati kA gatiH-anyaTA //2 //
   viśeṣābhāvāttatraiva phalaṃ nānyatretyasyāpi niyamasyānupapatteḥ /	viSeza-aBAvAt-tatra-eva Palam na-anyatra-iti-asya-api niyamasya-anupapatteH /
   svabhāvaniyamena copapattau tathaiva viṣayavyavasthopapatteḥ /	svaBAva-niyamena ca-upapattO taTA-eva vizaya-vyavasTA-upapatteH /
   avaśyañcaitadanuma(bhyupaga)ntavyam, atītādiviṣayatvā(yā)nurodhāt /	avaSyaQca-etat-anuma(Byupaga)ntavyam, atIta-Adi-vizaya-tva-A(yA)nuroDAt /
   na hi tatra jñānena kiñcit kriyate iti śakyamavagantum; asatvāt /	na hi tatra jQAnena kiQcid kriyate iti Sakyam-avagantum; asatvAt /
   na ca taddharmasāmānyādhāraṃ kiñcit kriyate iti yuktam; tena tasyaiva	na ca tad-Darma-sAmAnya-ADAram kiQcid kriyate iti yuktam; tena tasya-eva
   viṣayatvaprāpteḥ /	vizaya-tva-prApteH /
   tādātmyādviśeṣasyāpi saiva jñātateti cet, tat kiṃ cakṣuṣā ghaṭe jñāyamāne	tAdAtmyAt-viSezasya-api sA-eva jQAta-tA-iti cet, tat kim cakzuzA Gawe jQAyamAne
   raso 'pi jñāyate, tādātmyāt? ghaṭākāreṇa jñāyata evāsau (rasaḥ) iti cet-	rasaH api jQAyate, tAdAtmyAt? Gawa-AkAreNa jQAyate eva-asO (rasaH) iti ced--
   atha rasākāreṇa kiṃ na jñāyate? tena rūpeṇa jñātatānādhāratvāditi cet- na	aTa rasa-AkAreNa kim na jQAyate? tena rUpeNa jQAta-tAnADAra-tvAt-iti cet na
   tarhi vartamānasāmānyajñāne 'pyatītānāgatādijñānam; tenākāreṇa	tarhi vartamAna-sAmAnya-jQAne api-atIta-anAgata-Adi-jQAnam; tena-AkAreNa
   prākaṭyānādhāratvāditi /	prAkawya-ana-ADAra-tvAt-iti /
   [ku.4.513] nanu kriyayā karmaṇi kiñcit karttavyamitivyāpterastvanumānam	[ku.4.513] nanu kriyayA karmaNi kiQcid karttavyam-iti-vyApteraH-tu-anumAnam
   na;- (anaikāntyā) anekāntādasiddhervā na ca liṅgamiha kriyā /	na; (ana-EkAntyA) anekAntAt-asidDeH-vA na ca liFgam-iha kriyA /
   tadvaiśiṣṭyaprakāśatvānnādhyakṣānubhavo 'dhike (3) //3 //	tad-vESizwya-prakASa-tvAt-na-aDyakza-anuBavaH aDike (3) //3 //
   dhātvarthamātrābhiprāyeṇ.a prayoge saṃyogādibhiranekāntāt /	DAtu-arTa-mAtra-aBiprAyeN.a prayoge saMyoga-AdiBiH-anekAntAt /
   na hi śarasaṃyogena gagane kiñcit kriyate; antyaśabdābhivyaktyā (217) vā	na hi Sara-saMyogena gagane kiQcid kriyate; antya-Sabda-aBivyaktyA (217) vA
   (śabde?) /	(Sabde?) /
   spandābhiprāyeṇa, asiddheḥ /	spanda-aBiprAyeNa, asidDeH /
   vyāpārābhiprāyeṇa, śabdaliṅgendriyavyāpārairvyabhicārāt /	vyApAra-aBiprAyeNa, Sabda-liFga-indriya-vyApArEH-vyaBicArAt /
   na hi taiḥ prameye kiñcit kriyate; api tu pramātaryeva /	na hi tEH prameye kiQcid kriyate; api tu pramAtari-eva /
   phalābhiprāyeṇāpi tathā /	Pala-aBiprAyeNa-api taTA /
   antatastenaivānekāntāt, anavasthānācca /	antatas-tena-eva-anekAnta-at, anavasTAnAt-ca /
   āśuvināśidharmābhiprāyeṇa, dvitvādibhiraniyamāt /	ASu-vinASi-Darma-aBiprAyeNa, dvi-tva-AdiBiH-aniyamAt /
   āśukārakābhiprāyeṇa, karmaṇyasiddheḥ /	ASu-kAraka-aBiprAyeNa, karmaNi-asidDeH /
   karmaṇyāśukārakaṃ jñānamityeva hi sādhyam /	karmaNi-ASu-kArakam jQAnam-iti-eva hi sADyam /
   kartaryāśukārakatvasya karmopakārakatvenāvyāpteḥ;	kartari-ASu-kAraka-tvasya karma-upakAraka-tvena-avyApteH;
   śabdādivyāpārairevānekāntāt /	Sabda-Adi-vyApArEH-eva-anekAntAt /
   [ku.4.514] (3)syādetat- anubhavasiddhameva prākaṭyam /	[ku.4.514] (3)syAt-etat anuBava-sidDam-eva prAkawyam /
   tathā hi jñāto 'yamartha iti sāmānyataḥ, sākṣātkṛto 'yamartha iti viśeṣato	taTA hi jQAtaH ayam-arTaH iti sAmAnyatas-, sAkzAtkRtaH ayam-arTaH iti viSezataH-
   viṣayaviśeṣaṇameva kiñcit parisphuratīti cet /	vizaya-viSezaNam-eva kiQcid parisPurati-iti ced /
   tadasat /	tat-asat /
   yathā hi- " arthenaiva viśeṣo hi nirākāratayādhiyām" /	yaTA hi " arTena-eva viSezaH hi nirAkAra-tayA-aDiyAm" /
   tathā- kriyayaiva viśeṣo hi vyavahāreṣu karmaṇām //4 //	taTA kriyayA-eva viSezaH hi vyavahArezu karmaNAm //4 //
   kiṃ na paśyasi, ghaṭakriyā paṭakriyetivat kṛto ghaṭaḥ kariṣyate ghaṭa	kim na paSyasi, Gawa-kriyA pawa-kriyA-iti-vat kRtaH GawaH karizyate Gawa
   ityādi /	ityAdi /
   tathaiva gṛhāṇa, ghaṭajñānaṃ paṭajñānamitivat jñāto ghaṭo jñāsyate jñāyate	taTA-eva gRhANa, Gawa-jQAnam pawa-jQAnam-iti-vat jQAtaH GawaH jQAsyate jQAyate
   iti /	iti /
   kathamasambaddhayordharmadharmibhāva iti cet- dhvasto ghaṭa iti yathā /	kaTam-asambadDayoH-Darma-Darmi-BAvaH iti cet DvastaH GawaH iti yaTA /
   etadapi kathamiti cet- nūnaṃ dhvaṃsenāpi ghaṭe kiñcit kriyate iti	etat-api kaTam-iti cet nUnam DvaMsena-api Gawe kiQcid kriyate iti
   vaktumadhyavasito 'si /	vaktu-maDya-vasitaH asi /
   tannirūpaṇādhīnanirūpaṇo dhvaṃsaḥ svabhāvādeva tadīya iti kimatra	tad-nirUpaNa-aDIna-nirUpaNaH DvaMsaH svaBAvAt-eva tadIyaH iti kim-atra
   sambandhāntareṇeti cet- prakṛte 'pyevameva /	sambanDa-antareNa-iti cet prakRte api-evam-eva /
   [ku.4.515] (4) etena phalānādhāratvādarthaḥ kathaṃ karmeti nirastam /	[ku.4.515] (4) etena Pala-anADAra-tvAt-arTaH kaTam karma-iti nirastam /
   vināśyavat karaṇavyāpāraviṣayatvena tadupapatteḥ /	vinASya-vat karaNa-vyApAra-vizaya-tvena tad-upapatteH /
   svābhāvikaphalanirūpakatvañca tulyam /	svABAvika-Pala-nirUpaka-tvaQca tulyam /
   [ku.4.516] (5) nanu jñānamatīndriyatvādasādhāraṇakāryānumeyaṃ tadabhāve	[ku.4.516] (5) nanu jQAnam-atIndriya-tvAt-asADAraNa-kArya-anumeyam tad-aBAve
   kathamanumīyeta, apratītañca kathaṃ vyavahārapathamavatarediti	kaTam-anumIyeta, apratItaQca kaTam vyavahAra-paTam-avataret-iti
   jñānavyavahārānyathānupapattyā jñātatākalpanam /	jQAna-vyavahArAni-aTa-anupapattyA jQAta-tA-kalpanam /
   tadapyasat-parasparāśrayaprasaṅgāt /	tad-api-asat--paraspara-ASraya-prasaFgAt /
   jñātatayā hi jñānamanumīyeta, jñāte ca tadvyavahārānyathānupapattistāṃ	jQAta-tayA hi jQAna-manumIyeta, jQAte ca tad-vyavahArAni-aTa-anupapattiH-tAm
   jñāpayet /	jQApayet /
   [ku.4.517] kutaśca jñānamatīndriyam? (1) indriyeṇānupalabhyamānatvāditi	[ku.4.517] kutas-ca jQAnam-atIndriyam? (1) indriyeNa-anupalaByamAna-tvAt-iti
   cet /	ced /
   na /	na /
   anumānopanyāse (napakṣe) sādhyāviśiṣṭatvāt /	anumAna-upanyAse (napakze) sADya-aviSizwa-tvAt /
   a(218)nupalabdhimātropanyāse tu yogyatāviśeṣitāsau	a(218)nupalabDi-mAtra-upanyAse tu yogyatA-viSezitA-asO
   kathamaindriyikopalambhābhāvaṃ gamayet /	kaTam-EndriyikA-upalamBa-aBAvam gamayet /
   tadviśeṣaṇe tu kathamatīndriyaṃ jñānamiti /	tad-viSezaNe tu kaTam-atIndriyam jQAnam-iti /
   [ku.4.518] (2) tathāvidhajñātatānāśrayatvāditi cenna- āśrayāsiddheḥ /	[ku.4.518] (2) taTAviDa-jQAta-tAna-ASraya-tvAt-iti ced-na ASraya-asidDeH /
   vyavahārānyathānupapattyaiva siddha āśraya iti cenna- jñānahetunaiva	vyavahArAnyaTa-anupapattyA-eva sidDaH ASrayaH iti ced-na jQAna-hetunA-eva
   tadupapatteḥ /	tad-upapatteH /
   tasyātmamanaḥsaṃyogādirūpasya sattve 'pi	tasya-Atma-manaH-saMyoga-Adi-rUpasya sattve api
   suṣuptidaśāyāmarthavyavahārābhāvānnaivamiti cenna- tāvanmātrasya	suzupti-daSAyAm-arTa-vyavahAra-aBAvAt-na-evam-iti ced-na tAvat-mAtrasya
   vyavahārāhetutvāt /	vyavahAra-ahetu-tvAt /
   anyathā jñānasvīkāre 'pi tulyatvāt /	anyaTA jQAna-svIkAre api tulya-tvAt /
   smaraṇānyathānupapatyeti cenna- tasyāpyasiddheḥ /	smaraNAni-aTa-anupapatya-iti ced-na tasya-api-asidDeH /
   asti tāvadvyavahāranimittaṃ	asti tAvat-vyavahAra-nimittam
   kiñciditi cet- kimataḥ? /	kiQcid-iti cet kim-ataH? /
   na hyetāvatā jñānaṃ taditi siddhyati, tasyaivāsiddheḥ /	na hi-etAvatA jQAnam tat-iti sidDi-ati, tasya-eva-asidDeH /
   tathāpi niyatasya kartuḥ pravṛtteḥ kartṛdharmeṇaiva kenacit pravṛttihetunā	taTA-api niyatasya kartuH pravRtteH kartR-DarmeNa-eva kenacid pravRtti-hetunA
   bhavitavyamiti cet- astvicchā pratyakṣasiddhā; na tu jñānam /	Bavitavyam-iti cet astu-icCA pratyakza-sidDA; na tu jQAnam /
   saiva kathaṃ niyatādhikaraṇe (ṇa) utpadyatāmiti cenna- jñānābhyupagame 'pi	sA-eva kaTam niyata-aDikaraNe (Na) utpadyatAm-iti ced-na jQAna-aByupagame api
   tulyatvāt /	tulya-tvAt /
   svahetoḥ kutaściditi cet- tata evecchāstu, kiṃ jñānakalpanayeti /	sva-hetoH kutaScid-iti cet tatas eva-icCA-astu, kim jQAna-kalpanayA-iti /
   syādetat- prakāśamāne khalvarthe tadupāditsādirupajāyate; na tu	syAt-etat prakASamAne Kalu-arTe tad-upAditsAdiH-upajAyate; na tu
   suṣuptyavasthāyāmaprakāśamāne 'pyarthe ityanubhavasiddham /	suzupti-avasTAyAma-prakASamAne api-arTe iti-anuBava-sidDam /
   tata icchāyāḥ kāraṇaṃ vilakṣaṇameva kiñcit parikalpanīyam, yasmin sati	tatas icCAyAH kAraNam vilakzaNam-eva kiQcid parikalpanIyam, yasmin sati
   susvāpalakṣaṇamaudasīnyamarthaviṣayamātmano nivartate iti cet- hantaivaṃ	susvApa-lakzaNam-OdasInyam-arTa-vizayam-AtmanaH nivartate iti cet hantA-evam
   susvāpanivṛttimanubhavaniddhāṃ pratijānānena jñānamevāparokṣyamiṣyante /	susvApa-nivRttim-anuBava-nidDAm pratijAnAnena jQAnam-eva-aparokzyam-izyante /
   acetayanneva hi suṣupta ityucyate; acaitanyanivṛttireva hi caitanyaṃ	acetayan=-eva hi suzuptaH iti-ucyate; acEtanya-nivRttiH-eva hi cEtanyam
   jñānamiti /	jQAnam-iti /
   tathā ca kālātyayāpadiṣṭo hetuḥ /	taTA ca kAla-atyaya-apadizwaH hetuH /
   [ku.4.519] etena (3) kṣaṇikatvāditi nistam /	[ku.4.519] etena (3) kzaNika-tvAt-iti nistam /
   apica kimidaṃ kṣaṇikatvaṃ nāma? yadyāśutaravināśitvam, tadānaikāntikam /	api-ca kim-idam kzaNika-tvam nAma? yadi-a-aSutara-vinASi-tvam, tadA-anEkAntikam /
   athaikakṣaṇāvasthāyitvam, tadasiddhaṃ pramāṇābhāvāt /	aTa-ekakzaNa-avasTAyi-tvam, tat-asidDam pramANa-aBAvAt /
   nanu sthāyi vijñānaṃ yādṛśamarthakṣaṇaṃ gṛhṇadutpadyate, dvitīye 'pi kṣaṇe	nanu sTAyi vijQAnam yAdRSam-arTa-kzaNam gRhNat-utpadyate, dvitIye api kzaNe
   kiṃ tādṛśameva gṛṇhāti, anyādṛśaṃ vā, na vā kamapīti /	kim tAdRSam-eva gRNhAti, anyAdRSam vA, na vA kam-api-iti /
   na prathamaḥ, tasya kṣaṇasyātītatvāt; pratyakṣajñānasya ca	na praTamaH, tasya kzaNasya-atIta-tvAt; pratyakza-jQAnasya ca
   vartamānābhavatvāt /	vartamAnA-aBava-tvAt /
   na cātītameva vartamānatayollikhati(219), bhrāntatvaprasaṅgāt /	na ca-atItam-eva vartamAna-tayA-ulliKati(219), BrAnta-tva-prasaFgAt /
   na dvitīyaḥ, viramyavyāpārāyogāt /	na dvitIyaH, viramya-vyApAra-ayogAt /
   prathamato 'pi tathābhyupagame 'nāgatāvekṣaṇaprasaṅgāt /	praTamatas api taTA-aByupagame anAgata-avekzaNa-prasaFgAt /
   na tṛtīyaḥ, jñānatvahāneriti mahāvratīyāḥ /	na tRtIyaH, jQAna-tva-hAneH-iti mahAvratIyAH /
   tadasat /	tat-asat /
