   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   vārtikakāreṇa kṛtā /	vArtikakAreNa kRtA /
   sarvavakṣyamāṇapramāṇaprapañcasya hīdameva sādhāraṇaṃ sthānam /	sarva vakzyamANa pramANa prapaQcasya hi idam eva sADAraNam sTAnam /
   anena ca ślokena samarthitārambhāvasara' prapañco viśeṣato vyākhyāsyata	anena ca Slokena samarTita AramBa avasara a prapaQcaH viSezataH vyAKyAsyata
   iti /	iti /
   tadetaduktaṃ bhavati /	tat etat uktam Bavati /
   nātra naiyāyikādivadalokikaṃ pramāṇānāṃ svarūpamupadarśayituṃ lakṣaṇāni	na atra nEyAyika Adi vat alokikam pramANAnAm svarUpam upadarSayitum lakzaNAni
   praṇītāni /	praNItAni /
   lokaprasiddhapramā(ṇā) vyabhicāritvānmīmāṃsakānām /	loka prasidDa pramA(NA) vyaBicAri tvAt mI mAMsakAnAm /
   kintu śaṅkitavyabhicārāpāditaparīkṣāpratyākhyāvanārthaṃ lokaprasiddhameva	kintu SaFkita vyaBicAra ApAdita parIkzA pratyAKyA vana arTam loka prasidDam eva
   svarūpamupadarśyate /	svarUpam upadarSyate /
   ato napramāṇalakṣaṇe saṅgati' pratyakṣādilakṣaṇasyāśaṅkitavyeti ||1 ||	atas na pramANa lakzaNe saFgati a pratyakza Adi lakzaNasya ASaFkitavyA iti ||1 ||
   idānīṃ lakṣaṇabhāṣyavyākhyānāvasare	idAnIm lakzaNa BAzya vyAKyAna avasare
   prāthamyādanumānalakṣaṇamanusandhāsyati /	prATamyAt anumAna lakzaNam anusanDAsyati /
   tatra ca 'jñātasambandhasye'tyucyate /	tatra ca ajQAta sambanDasye ati ucyate /
   tatra na vidma' ko jñātasambandhasamāsārtha iti /	tatra na vidma a kaH jQAta sambanDa samAsa arTaH iti /
   na tāvata puruṣa' sambandhī samudāyo vā /	na tAvata puruza a sambanDI samudAyaH vA /
   anupādānāt /	anupAdAnAt /
   na hyanupāttānyapadārthako bahuvrīhirbhavati /	na hi anupAtta anyapadArTakaH bahuvrIhiH Bavati /
   nanu buddhisambandhopasthāpita' puruṣa' samudāyidvayākṣipta' samudāyo vā	nanu budDi sambanDa upasTApita a puruza a samudAyi dvaya Akzipta a samudAyaH vA
   viśeṣyate /	viSezyate /
   buddhirhi svaśabdādavagatā tadvantamantareṇātmānamalabhamānopasthāpayati	budDiH hi sva SabdAt avagatA tadvantam antareNa AtmAnam alaBamAna upasTApayati
   svāśrayamiti nānupādānadoṣa' /	sva ASrayam iti na anupAdAna doza a /
   naitadevam /	na etat evam /
   gamyamānasyāviśeṣāt /	gamyamAnasya aviSezAt /
   na khalu dhūmaśabdārthāvinābhāvādavagato 'gnirjvalatīti viśeṣyate /	na Kalu DUma Sabda arTa a= inA BAvAt avagataH agniH jvalati iti viSezyate /
   vakṣyati ca 	vakzyati ca 
   gamyamānasya cārthasya naiva dṛṣṭaṃ viśeṣaṇam /	gamyamAnasya ca arTasya na eva dRzwam viSezaNam /
   iti /	iti /
   syānmatam /	syAt matam /
   satyam /	satyam /
   anupāttaṃ na viśeṣyate /	anupAttam na viSezyate /
   upātta eva tviha sambandhī /	upAttaH eva tu iha sambanDI /
   tathāhi ayamatra padānvaya' /	taTA hi ayam atra padAnvaya a /
   anumānamekadeśadarśanādekadeśāntare buddhiriti /	anumAnam eka deSa darSanAt eka deSa antare budDiH iti /
   ata' kasyaigadeśasyetyākāṅkṣāyāṃ sa evaikadeśo jñātasambandhasyeti	ata a kasya ega deSasya iti AkAFkzAyAm saH eva eka deSaH jQAta sambanDasya iti
   viśeṣyate /	viSezyate /
   nanu darśanopasarjanatvādekadeśo na viśeṣaṇamarhati /	nanu darSana upasarjana tvAt eka deSaH na viSezaNam arhati /
   na hyupasarjanaṃ padaṃ padāntareṇa sambadhyate /	na hi upasarjanam padam pada antareNa sambaDyate /
   na hi bhavati puruṣaṃ pratyupasarjanībhutasya rājña' ṛddhasya rājapuraṣa	na hi Bavati puruzam pratyupasarjanIButasya rAjQa a RdDasya rAja puraza
   iti viśeṣaṇam /	iti viSezaNam /
   ucyate /	ucyate /
   kanopasarjanatvadasambandha' /	kanopasarjana tvat asambanDa a /
   ka ākāṅkṣitaṃ hi pūraṇasamarthamupasarjanenāpi sambadhyata eva /	kaH AkAFkzitam hi pUraNa samarTam upasarjanena api sambaDyate eva /
   atraikadeśadarśanādityukte 'sti kasyaikadeśasyetyākāṅkṣā /	atra eka deSa darSanAt iti ukte asti kasya eka deSasya iti AkAFkzAH /
   arthasambandhe 'pyākāṅkṣaiva hetu' /	arTa sambanDe api AkAFkzA eva hetu a /
   upasarjanasaṃjñā tu"upasarjanaṃ pūrvam(2 2 30) iti /	upasarjana saMjQA tu"upasarjanam pUrvam (2 2 30) iti /
   pūrveprayogasiddhyarthaiva /	pUrveprayoga sidDi arTa eva /
   ata eva hi kasya gurukulamiti vyavahāropapatti' /	atas eva hi kasya guru kulam iti vyavahAra upapatti a /
   tatra hi kulopasarjanasyaiva guro' kasyeti viśeṣaṇam /	tatra hi kula upasarjanasya eva guraH a kasya iti viSezaNam /
   api ca darśanakriyākarmaṇo dṛśyasyaikadeśasya prādhānyamaprādhanasya	api ca darSana kriyA karmaNaH dRSyasya eka deSasya prADAnyam aprADanasya
   sāpekṣasyāpi padāntareṇa sambandho dṛṣṭa', yathā rājapuruṣa'śobhana iti /	sa apekzasya api pada antareNa sambanDaH dRzwa a, yaTA rAja puruza aSoBanaH iti /
   ata upapannaṃ jñātasambandhasyaikadeśadarśanāditi /	atas upapannam jQAta sambanDasya eka deSa darSanAt iti /
   nopapannam /	na upapannam /
   uktaṃ hi guruṇaiva "nopasarjanaṃ padaṃ padāntareṇa samabadhyate ṛddhasya	uktam hi guruNA eva "nA upasarjanam padam pada antareNa samabaDyate RdDasya
   rājapuruṣa itivat"iti /	rAja puruzaH itivat"iti /
   na ca parihṛtam upasarjana /	na ca parihRtam upasarjana /
   pramātā jñātasambandha ekadaśyathavocyate /	pramAtA jQAta sambanDaH ekadaSyaTavA ucyate /
   karmadhārayapakṣo vā sambandhinyekadeśatā // Msv_5,4.2 //	karma DAraya pakzaH vA sambanDini eka deSa tA // Msu _5,4.2 //
   viśeṣaṇe hi ṛddhī rājānaṃ viśiṣyāt /	viSezaNe hi RdDiH rAjAnam viSizyAt /
   yattūktam  ākāṅkṣā sambandhe hetu'' iti tadayuktam /	yat tu uktam AkAFkzA sambanDe hetu aa iti tat ayuktam /
   ākāṅkṣāvato 'pyayogyatvamuktam /	AkAFkzAvataH api ayogya tvam uktam /
   athocyeta ekavākyatāyāmayaṃ doṣa' ekadeśadarśanāda ekadeśāntare	aTa ucyeta eka vAkya tAya Amayam doza a eka deSa darSanAdaH eka deSa antare
   buddhiranumānam /	budDiH anumAnam /
   ata' paryavasite vākye kasyaikadeśasyetyākāṅkṣāyāṃ vākyagatamekadeśasyeti	ata a paryavasite vAkye kasya eka deSasya iti AkAFkzAyAm vAkya gatam eka deSasya iti
   padaṃ jñātasambandhasyeti viśeṣyata iti /	padam jQAta sambanDasya iti viSezyate iti /
   tanna /	tat na /
   ākāṅkṣāvākyasyāśravaṇāt /	AkAFkzA vAkyasya aSravaNAt /
   sa evānupāttānyapadārthadoṣa' /	saH eva anupAtta anya padArTa doza a /
   yatra tūpādānaṃ tatropasarjanatvādayogyatvamuktam /	yatra tu upAdAnam tatra upasarjana tvAt ayogya tvam uktam /
   api ca vākyabheda	api ca vAkya Beda
   evātra doṣa' /	eva atra doza a /
   yacca darśanaṃ dṛśyapradhānamityuktaṃ tadapyayuktam /	yat ca darSanam dRSya praDAnam iti uktam tat api ayuktam /
   uttarapadārthapradhānatvāt tatpuruṣasya /	uttara padArTa praDAna tvAt tatpuruzasya /
   na ca vāstavaṃ guṇapradhānabhāvamāśritya padāntarasambandho dṛṣṭa' /	na ca vAstavam guNa praDAna BAvam ASritya pada antara sambanDaH dRzwa a /
   rājapuruṣe 'darśanāt /	rAja puruze adarSanAt /
   nanu śābdamevaikadeśasya prādhānyaṃ gamyate /	nanu SAbdam eva eka deSasya prADAnyam gamyate /
   kṛdyogalakṣaṇā hīyaṃ karmaṇi ṣaṣṭhī /	kRdyoga lakzaNA hi iyam karmaNi zazWI /
   na /	na /
   aśravaṇāt /	aSravaNAt /
   nahi samāse ṣaṣṭhī śrūyate /	na hi samAse zazWI SrUyate /
   na cāśrūyamāṇā svārthamabhidhatte /	na ca aSrUyamANA sva arTam aBiDatte /
   kintu niṣādasthapativallakṣaṇayā tadartho 'vagamyate /	kintu nizAda sTa pati vat lakzaNayA tad arTaH avagamyate /
   śrutyā tu dṛśyāvacchinnaṃ darśanameva pradhānatayāvagamyate /	SrutyA tu dRSya avacCinnam darSanam eva praDAna tayA avagamyate /
   uttarapadārthapradhānānuśāsanamapyata eva /	uttara padArTa praDAna anuSAsanam api atas eva /
   samāsāt tathaivāvagate' /	samAsAt taTA eva avagate a /
   naca vāstavaṃ prādhānyamupasarjanasya padāntarasambandhe sāpekṣasamāse vā	na ca vAstavam prADAnyam upasarjanasya pada antara sambanDe sa apekza samAse vA
   hetu' /	hetu a /
   kasya gurukulamiti nityasāpekṣatvād guruśabdasya nāsāmarthyaṃ doṣa' na	kasya guru kulam iti nitya sApekza tvAt guru Sabdasya na asAmarTyam doza a na
   hyanantarbhāvya pratisambandhinaṃ gurvartho 'vagamyate /	hi anantar BAvya pratisambanDinam guru arTaH avagamyate /
   sambandhiśabdatvāt tasya /	sambanDi Sabda tvAt tasya /
   ato 'pekṣitārthāntara evāsau vṛttāvanupraviśatīti na doṣa' /	atas apekzita arTa antaraH eva asO vRttO= anupraviSati iti na doza a /
   na tvevamekadeśaśabda iti vaiṣamyam /	na tu evam eka deSa SabdaH iti vEzamyam /
   ato duradhigamo jñātasambandhasamāsārtha' /	atas duraDigamaH jQAta sambanDa samAsa arTa a /
   ata āha pramāteti /	atas Aha  pramAtA iti /
   ayamabhiprāya'  satyam /	ayam aBiprAya a satyam /
   ekadeśo nānyapadārtha' /	eka deSaH na anya padArTa a /
   kintu pramātaiva buddhisambandhopasthāpito jñātasambandha iti nirdiśyate /	kintu pramAtA eva budDi sambanDa upasTApitaH jQAta sambanDaH iti nirdiSyate /
   gamyamānamapi cāvyabhicāriṇā cihnenopasthāpitaṃ viśeṣyata eva /	gamyamAnam api ca avyaBicAriNA cihnena upasTApitam viSezyate eva /
   na hi nama' pinākapāṇaya ityanayapadārthānupādānaṃ doṣāya /	na hi nama a pinAkapANayaH iti anaya padArTa anupAdAnam dozAya /
   api ca aindravāyavaṃ gṛhṇātīti bahuvrīhisamāsārtho devatātaddhita'	api ca Endra vAyavam gRhNAti iti bahu vrIhi samAsa arTaH devatA tadhita a
   kathamāhṛtyānupātte somarase vartate /	kaTam AhRtya anupAtte soma rase vartate /
   atha somaṃ krīṇāti abhiṣuṇoti pāvayatidhārayā gṛhṇātīti prakaraṇavagata'	aTa somam krINAti aBizuNoti pAvayati DArayA gRhNAti iti prakaraNa vagata a
   somaraso 'nyapadārtha ityucyate /	soma rasaH anya padArTaH iti ucyate /
   ihāpi buddhyavināmāvāvagatasya pramāturbahuvrīhyarthatvaṃ nānupapannam /	iha api budDi avinA amO= Avagatasya pramAtuH bahu vrIhi arTa tvam na anupapannam /
   pūrvapakṣasthitena vārtikakṛtā gamyamānaṃ na viśeṣyata iti yaduktaṃ tadeva	pUrva pakza sTitena vArtika kRtA gamyamAnam na viSezyate iti yat uktam tat eva
   durlabhalabdhamivamanvānai' kaiścidvalgitamityupekṣaṇīyameva /	durlaBa labDam ivam anvAnE a kEScid valgitam iti upekzaNIyam eva /
   siddhānte hi gamyamānāyā eva vyaktergāvau gāva' śuklo gauriti ca vibhaktyā	sidDAnte hi gamyamAnAyAH eva vyakteH gAvO gAva a SuklaH gOH iti ca viBaktyA
   śabdāntareṇa ca viśeṣaṇaṃ bhaviṣyati /	Sabda antareNa ca viSezaNam Bavizyati /
   mañcā' krośantīti ca /	maQcA a kroSanti iti ca /
   āha ca 	Aha ca 
   jāterastitvanāstitve na hi kaścida vivakṣati /	jAteH astitvana astitve na hi kaScid a vivakzati /
   nityatvāllakṣyamāṇāyā vyakteste hi viśeṣaṇe||	nitya tvAt lakzyamANAyAH vyakteH te hi viSezaNe||
   iti /	iti /
   dhūmo 'yaṃ jvalatīti na bhavati /	DUmaH ayam jvalati iti na Bavati /
   anabhidhānāt /	anaBiDAnAt /
   na hi loka' paryanuyoktumarhati /	na hi loka a paryanuyoktum arhati /
   yastu vaiyātyād dhūmaśabdenāgniṃ lakṣayitvā tathā prayuyuṅkṣati na taṃ	yaH tu vEyAtyAt DUma Sabdena agnim lakzayitvA taTA prayuyuFkzati na tam
   nivārayāma' /	nivArayAma a /
   nanvevaṃ pramātari jñātasambandhe sati naikadeśo viśeṣita iti	nanu evam pramAtari jQAta sambanDe sati na eka deSaH viSezitaH iti
   vyāpakakaikadeśadṛśo vyāpyasmṛtiranumānamāpadyeta /	vyApakaka eka deSa dRSaH vyApya smRtiH anumAnam Apadyeta /
   na tvetadiṣṭam /	na tu etat izwam /
   vyāpyāddhi vyāpakajñānamanumānam /	vyApyAt hi vyApaka jQAnam anumAnam /
   jñātasambandhasyaikadeśasyeti sambandhe syādapi viśiṣṭaikadeśalābha' /	jQAta sambanDasya eka deSasya iti sambanDe syAt api viSizwa eka deSa lABa a /
   tatra hi jñātasambandhasyaikadeśasyeti ṣaṣṭhyā vyāpya eva sambandhī	tatra hi jQAta sambanDasya eka deSasya iti zazWyA vyApyaH eva sambanDI
   pratipādyate /	pratipAdyate /
   sarvatra hi vyāpya eva hi ṣaṣṭhī dṛṣṭā /	sarvatra hi vyApyaH eva hi zazWI dRzwAH /
   ucyate /	ucyate /
   uktamasmābhirnedamalokikaṃ kiñcit pramāṇānāṃ svarūpamupavarṇyate /	uktam asmABiH nedam alokikam kiQcid pramANAnAm svarUpam upavarNyate /
   lokaprasiddhameva tvaparīkṣāpratipādanārthaṃ svarūpamanūdyate loke hi	loka prasidDam eva tu aparIkzA pratipAdana arTam svarUpam anUdyate loke hi
   niyāmyaikadeśadarśana eva niyāmakaikadeśajñānamanumānamiti prasiddhamiti /	niyAmya eka deSa darSanaH eva niyAmaka eka deSa jQAnam anumAnam iti prasidDam iti /
   asatyapi hi viśeṣaṇe viśiṣṭaikadeśo labhyate /	asati api hi viSezaNe viSizwa eka deSaH laByate /
   api cāsannikṛṣṭer'tha iti vadati /	api ca AsannikRzwer aTa iti vadati /
   na cavyāpakadṛśa' sāhacaryamātrāt vyāpyasma tirasannikṛṣṭaviṣayā /	na cavyApakadRSa a sAhacarya mAtrAt vyApyasma tiH asat nikRzwa vizayAH /
   pūrvapramāṇānadhikārthāviṣayatvāt smate' /	pUrva pramANAn aDika arTa avizaya tvAt smate a /
   vyāpyādeva tvanubhūtapūrvaniyamād vyāpakaviśiṣṭa' parvatādiravagamyate /	vyApyAt eva tu anuBUta pUrva niyamAt vyApaka viSizwa a parvata AdiH avagamyate /
   ata upapanno viśiṣṭaikadeśalābha iti /	atas upapannaH viSizwa eka deSa lABaH iti /
   yattu jñātasambandhasyaikadeśasyetyatra ṣaṣṭhyā viśeṣapratipādanamuktam /	yat tu jQAta sambanDasya eka deSasya iti atra zazWyA viSeza pratipAdanam uktam /
   tadayuktaṃ vyāpakādapi ṣaṣṭhyutpatte' /	tat ayuktam vyApakAt api zazWI utpatte a /
   bhavati hi kṛtakatvamanityatāyā heturiti vyavahāra' /	Bavati hi kRtaka tvam anitya tAyAH hetuH iti vyavahAra a /
   vyāpikā cānityatā kṛtakatvasya /	vyApikA ca anitya tA kRtaka tvasya /
   tasmādaviśeṣitopādāne 'pi vyākhyānata'	tasmAt aviSezita upAdAne api vyAKyAna ta a
   sambandhaviśeṣā(deka)deśaviśeṣalābho nānupapanna' /	sambanDa viSezA(deka) deSa viSeza lABaH na anupapanna a /
   bhavati hi 'vyākhyānato viśeṣapratipattirna tu sandehādalakṣaṇam' iti	Bavati hi avyAKyAnataH viSeza pratipattiH na tu sandehAt alakzaNam a iti
   sūktaṃ pramātā jñātasambandha iti /	sUktam pramAtA jQAta sambanDaH iti /
   dvayaṃ vā jñātasambandhamupalabdhaṃ parasparam /	dvayam vA jQAta sambanDam upalabDam parasparam /
   tasyaikadeśaśabdābhyāmucyete samudāyinau // Msv_5,4.3 //	tasya eka deSa SabdAByAm ucyete samudAyinO // Msu _5,4.3 //
   vyākhyānāntaramāha  ekadeśīti /	vyAKyAna antaram Aha eka deSI iti /
   ekadeśau hi naikadeśinamantareṇa syātāmiti ākṣiptasyaikadeśino	eka deSO hi na eka deSinam antareNa syAtAm iti Akziptasya eka deSinaH 
   yuktamanyapadārthatvam /	yuktam anya padArTa tvam /
   nanvevaṃ jñātasambandhasyaikadeśino ya ekadeśastasyaikaddeśasya	nanu evam jQAta sambanDasya eka deSinaH yaH eka deSaH tasya ekat deSasya
   darśanādityucyamāne sa eva darśanopasarjanatvādekadeśasyaikadeśina'	darSanAt iti ucyamAne saH eva darSana upasarjana tvAt eka deSasya eka deSina a
   sambandha' sambandhiviśeṣāpekṣasya vā samāsadoṣa' prasajyate /	sambanDa a sambanDi viSeza apekzasya vA samAsa doza a prasajyate /
   bhavedetadevam /	Bavet etat evam /
   yadyekatadapi paramparayā vājapeyasya yūpa itivadekadeśino bhavatyeva /	yadi ekatat api paramparayA vAjapeyasya yUpaH itivat eka deSinaH Bavati eva /
   ka' punaratraikakadeśī jñātasambandha' pakṣa' sapakṣo vā /	kaH a punar atra ekaka deSI jQAta sambanDa a pakza a sa pakzaH vA /
   na tāvat pakṣa' jñāyamānasambandhasakṛddarśananirgrāhyā /	na tAvat pakza a jQAyamAna sambanDa sakRt darSana nirgrAhyAH /
   bhūyobhistu darśanai'	BUyoBiH tu darSanE a
   pūrvapūrvāvagatasakaladeśakālaviviktadhūmavanmātrasyāgnimattayā	pUrva pUrva avagata sakala deSa kAla vivikta DUma vat mAtrasya agni mattayA
   vyāptivadhāritā /	vyApti vaDAri tAH /
   na punaratrāyāmidānīṃ vā dhūmavānagnimāniti /	na punar atrAyAm idAnIm vA DUmavAn agnimAn iti /
   ata' pakṣaikadeśino 'pi sāmānyato dhūmavattaupādhikasambandho jñāta iti sa	ata a pakza eka deSinaH api sAmAnyatas DUmavat ta OpADika sambanDaH jQAtaH iti sa
   eva jñātasaṃbandha' /	eva jQAta saMbanDa a /
   sāmānyato gṛhīte 'pi deśādi ekadeśyaikadeśau cāśrayāśrayiṇāvabhimatau /	sAmAnyatas gRhIte api deSa Adi eka deSya eka deSO ca ASraya ASrayiNO= aBimatO /
   na	na
   punavayavāvayavināviti draṣṭavyamiti ||1||	punavayava a= ayavinO= iti drazwavyam iti ||1||
   karmadhārayasamāso vāyamityāha  karmadhārayeti /	karmaDAraya samAsaH vAyamiti Aha karmaDAraya iti /
   ayamartha'  jñātaścāsau saṃbandhaśceti karmadhārayo 'yam /	ayam arTa a jQAtaH ca asO saMbanDaH ca iti karmaDArayaH ayam /
   atra ca pakṣe saṃbandhini gamye gamake caikadeśatā /	atra ca pakze saMbanDini gamye gamake ca eka deSa tA /
   kathaṃ sambandhyādhārasya sambandhasya sambandhināvekadeśau /	kaTam sambanDya ADArasya sambanDasya sambanDinO= eka deSO /
   na hi bhūdharādhārasya dhūmasyaikadeśo	na hi BUDara ADArasya DUmasya eka deSaH 
   giri' /	giri a /
   ādheyameva tu dhūmastadekadeśatayā manyate /	ADeyam eva tu DUmaH tad eka deSa tayA manyate /
   ucyate /	ucyate /
   bhavatyādhārāṃśe 'pyekadeśavācoyukti' /	Bavati ADAra aMSe api eka deSa vAcaH yukti a /
   yathā avayavyādhāreṣvavayaveṣu ca samūhiṣviti nivadyam ||2||	yaTA avayavi ADArezu avayavezu ca samUhizu iti nivadyam ||2||
   dvayaṃ vānyapadārtha ityāha  dvayaṃ veti /	dvayam vA anya padArTaH iti Aha dvayam vA iti /
   sambandhagrahaṇakāle parasparasambandhamupalabdhaṃ vyāpyavyāpakadvayaṃ	sambanDa grahaNa kAle paraspara sambanDam upalabDam vyApya vyApaka dvayam
   jñātasambandhamucyate, tasya ca samudāyināvekadeśau /	jQAta sambanDam ucyate, tasya ca samudAyinO= eka deSO /
   yathā caitadevaṃ tathā pragevoktamiti /	yaTA ca etat evam taTA prageva uktam iti /
   kiṃ puna' karmadhārayapakṣe dvayānyapadārthve vā prameyam /	kim puna a karma DAraya pakze dvaya ani apadArTve vA prameyam /
   na tāvat sambandhasamudāyāveva /	na tAvat sambanDa samudAyO= eva /
   tayo' pūrvamevāvagatatvāt /	tayaH a pUrvam eva avagata tvAt /
   adhunā ca dharmadharmivibhāgenānavagamāt /	aDunA ca Darma Darmi viBAgena anavagamAt /
   na cānya ekadeśī /	na ca anyaH eka deSI /
   tasyānupādānāt /	tasya anupAdAnAt /
   na caikadeśābhyāmākṣepa' /	na ca eka deSAByAm Akzepa a /
   sambandhasamudāyanirākāṅkṣatvāt /	sambanDa samudAya nirAkAFkza tvAt /
   na ca svatantraikadeśadarśanāt svatantraikadeśāntare jñānamanumānaṃ,	na ca svatantra eka deSa darSanAt svatantra eka deSa antare jQAnam anumAnaM,
   siddhatvāt /	sidDa tvAt /
   vakṣyati hi na dharmamātraṃ, siddhatvāditi /	vakzyati hi na Darma mAtraM, sidDa tvAt iti /
   atrābhidhīyate  ayamatrārtho jñātasya sambandhasya jñātasambandhasya vā	atra aBiDIyate ayam atra arTaH jQAtasya sambanDasya jQAta sambanDasya vA
   dvayasya kvacidekadeśadarśanāt tatraivaikadeśāntare buddhiranumānamiti /	dvayasya kvacid eka deSa darSanAt tatra eva eka deSa antare budDiH anumAnam iti /
   kuta etat /	kutas etat /
   asannikṛṣṭagrahaṇāt /	asannikRzwa grahaNAt /
   na hi svatantraikadeśo 'sannikṛṣṭa' /	na hi svatantra eka deSaH asat nikRzwa a /
   kvacideva parvatādāvekadeśo 'sannikṛṣṭo bhavati /	kvacid eva parvata AdO= eka deSaH asat nikRzwaH Bavati /
   tatrānavagatapūrvatvāditi kimanupapannamiti /	tatra anavagata pUrva tvAt iti kim anupapannam iti /
   ka' punaratra sambandho 'numānāṅgamiṣyate /	kaH a punar atra sambanDaH anumAna aFgam izyate /
   avinābhāvastādātmyatadutpattinimittaka iti kecit /	avinABAvaH tAdAtmya tad utpatti nimittakaH iti kecid /
   evaṃ hi tairuktam /	evam hi tEH uktam /
   "kāryakāraṇabhāvādvā svabhāvādvā niyāmakāt /	"kArya kAraNa BAvAt vA svaBAvAt vA niyAmakAt /
   avinābhāvaniyamo 'darśanānna na darśanāt ||"	avinA aBO= a niyamaH adarSanAt na na darSanAt ||"
   iti /	iti /
   na hi vipakṣasapakṣayoradarśanād darśanādvāvinābhāvasiddhi' /	na hi vipakza sa pakzayoH adarSanAt darSanAt vAvinA aBAva sidDi a /
   tenāniyatasyāpi tatra vṛtte' sambhavāt /	tena aniyatasya api tatra vRtte a samBavAt /
   kiñcidavipakṣavyāvṛttyā ca sarvavipakṣavyāvṛttyāsiddhe' /	kiQcid avipakza vyAvRttyA ca sarva vipakza vyAvRttyA asidDe a /
   sarvavipakṣāṇāṃ ca yugapad grahītumaśakte' /	sarva vipakzANAm ca yugapad grahItum aSakte a /
   kintu agnyādau sati dhūmāderbhāvādasati cābhāvāt tadāyattasvabhāvo	kintu agni AdO sati DUma AdeH BAvAt asati ca aBAvAt tad Ayatta svaBAvaH 
   dhūmādiriti vidite tadavinābhāva' siddhyati /	DUma AdiH iti vidite tad avinA BAva a sidDyati /
   tatkāryasya tamantareṇātmalābhābhāvāt /	tad kAryasya tam antareNa Atma lABa aBAvAt /
   tadatrāgnau darśanamitaratrādarśanaṃ tadutpattau hetu' /	tat atra agnO darSanam itaratra adarSanam tad utpattO hetu a /
   tato 'vinābhāvasiddhi' /	tatas avinA aBAva sidDi a /
   tādātmye 'pi tatsiddhi' taṃ vinā bhavatastādātmyānupapatte' /	tAdAtmye api tad sidDi a tam vinA BavataH tAdAtmyAn upapatte a /
   nanvevaṃvidhānvayavirahiṇo gandhanna rūparasādayo 'numīyeran /	nanu evaMviDa anvaya virahiNaH ganDan na rUpa rasa AdayaH anumIyeran /
   na ca khalu tasya rūpamātmā /	na ca Kalu tasya rUpam AtmA /
