   Bhavasaṅkrāntisūtram	Bhava-saFkrAnti-sUtram
   / sā cyutiriti saṃjñā / yaḥ prathamavijñānasya prādurbhāvaḥ /	/ sA cyutiH-iti saMjQA / yaH praTama-vijQAnasya prAdurBAvaH /
   sopapattiriti / caramavijñānaṃ mahārāja nirodhe 'pi na svacidgacchati /	sa-upapattiH-iti / caram-a-vijQAnam mahA-rAja niroDe api na sva-cit-gacCati /
   aupapattyaṃśikaṃ prathamavijñānamutpāde 'pi na kutaścidāgacchati / tat	Opapatti-aMSikam praTama-vijQAnam-utpAde api na kutaScid-AgacCati / tat-
   kasya hetoḥ /	kasya hetoH /
   svabhāvarahitatvāt / tatra mahārāja caramavijñānaṃ caramavijñānena śūnyam	svaBAva-rahita-tvAt / tatra mahA-rAja caram-a-vijQAnam carama-vijQAnena SUnyam
   / cyutiścayutyā śūnyā / karma karmaṇā śūnyam / prathamavijñānaṃ	/ cyutiH-ca-yutyA SUnyA / karma karmaNA SUnyam / praTama-vijQAnam
   prathamavijñānena śūnyam / upapattirupapattyā śūnyā /	praTama-vijQAnena SUnyam / upapattiH-upapattyA SUnyA /
   karmaṇāmavipraṇāśaścaprajñāyate / prathamavijñānasya mahārāja	karmaNAm-avipraNASaH-caprajQAyate / praTama-vijQAnasya mahA-rAja
   aupapattyaṃśikasya samanantaraniruddhasya nirantarā cittasantatiḥ	Opapatti-aMSikasya samanantara-nirudDasya nirantarA citta-santatiH
   pravartate / yatra vipākasya pratisaṃvedanī prajñāyate / evaṃ bhagavānāha	pravartate / yatra vipAkasya pratisaMvedanI prajQAyate / evam BagavAn-Aha
   / sugata evamuktvā anyadevamavocat śāstā //	/ sugataH evam-uktvA anyadevam-avocat SAstA //
   8. sarvametannāmamātraṃ saṃjñāmātre pratiṣṭhitam /	8. sarvam-etat-nAma-mAtram saMjQA-mAtre pratizWitam /
   abhidhānātpṛthakbhūtamabhidheyaṃ na vidyate //	aBiDAnAt-pRTak-BUtam-aBiDeyam na vidyate //
   9. yena yena hi nāmnā vai yo yo dharmo 'bhilapyate /	9. yena yena hi nAmnA vE yaH yaH DarmaH aBilapyate /
   nāsau saṃvidyate tatra dharmāṇāṃ sā hi dharmatā //	na-asO saMvidyate tatra DarmANAm sA hi DarmatA //
   10. nāmnā hi nāmatā śūnyā nāmnā nāma na vidyate /	10. nAmnA hi nAmatA SUnyA nAmnA nAma na vidyate /
   anāmakāḥ sarvadharmā nāmna tu paridīpitāḥ //	anAmakAH sarva-DarmAH nAmna tu paridIpitAH //
   11. ime dharmā asantaśca kalpanāyāḥ samuddhitāḥ /	11. ime DarmAH asantaH-ca kalpanAyAH samudDitAH /
   sāpyatra kalpanā śūnyā yayā śūnyā vikalpitāḥ //	sA-api-atra kalpanA SUnyAH yayA SUnyAH vikalpitAH //
   12. cakṣūrūpaṃ paśyatīti samyagdraṣṭrā yaducyate /	12. cakzU-rUpam paSyati-iti samyak-drazwrA yat-ucyate /
   mithyāśraddhastha lokasya tatsatyaṃ saṃvṛtīritam //	miTyA-SradDa-sTa lokasya tat-satyam saMvRti-Iritam //
   13. sāmagrayā darśanaṃ yatra prakāśayati nāyakaḥ /	13. sAmagrayA darSanam yatra prakASayati nAyakaH /
   prāhopacārabhūmiṃ tāṃ paramārthasya buddhimān //	prAha-upacAra-BUmim tAm parama-arTasya budDimAn //
   14. na cakṣūḥ prekṣate rūpaṃ mano dharmānna vetti ca /	14. na cakzUH prekzate rUpam manaH DarmAt-na vetti ca /
   etattu paramaṃ satyaṃ yatra loko na gāhate //	etat-tu paramam satyam yatra lokaH na gAhate //
   15. evamavocadbhagavān / magadhadeśarājaḥ śreṇyaḥ bimbisāraḥ te	15. evam-avocat-BagavAn / magaDa-deSa-rAjaH SreNyaH bimbisAraH te
   bodhisattvāste ca bhikṣavaḥ sadevamānuṣāsuragandharvaśca loko muditvā	boDisattvAH-te ca BikzavaH sa-deva-mAnuza-asura-ganDarvaH-ca lokaH muditvA
   bhagavato bhāṣitamabhyanandan //	BagavataH BAzitam-aByanandan //
   āryabhavasaṅkrāntirnāma mahāyānasūtraṃ saṃpūrṇam /	Arya-Bava-saFkrAntiH-nAma mahAyAna-sUtram saMpUrNam /
