   Rmañj, 1	RmaQj, 1
   anekarasapūrṇeyaṃ kriyate rasamañjarī // Rmañj_1.4 //	aneka-rasa-pUrNA-iyam kriyate rasamaQjarI // RmaQt-_1.4 //
   harati sakalarogānmūrchito yo narāṇāṃ vitarati kila baddhaḥ khecaratvaṃ	harati sakala-rogAn-mUrCitaH yaH narANAm vitarati kila badDaH Kecara-tvam
   javena /	javena /
   sakalasuramunīndrair vanditaṃ śambhubījaṃ sa jayati bhavasindhuḥ pāradaḥ	sakala-sura-muni-indrEH vanditam SamBubIjam sa jayati Bava-sinDuH pAradaH
   pārado'yam // Rmañj_1.5 //	pAradaH-ayam // RmaQt-_1.5 //
   śuṣkendhanamahārāśiṃ yadvaddahati pāvakaḥ /	Suzka-inDana-mahA-rASim yadvat-dahati pAvakaH /
   tadvaddahati sūto'yaṃ rogān doṣatrayodbhavān // Rmañj_1.6 //	tadvat-dahati sUtaH-ayam rogAn dozatraya-udBavAn // RmaQt-_1.6 //
   tejo mṛgāṅkamaule soḍhuṃ yannaiva tejasāṃ puñjaiḥ /	tejaH mRgAFka-mOle soXum yat-na-eva tejasAm puQjEH /
   ajarāmaratāṃ vitarati kalpataruṃ ca raseśvaraṃ vande // Rmañj_1.7 //	ajara-amara-tAm vitarati kalpatarum ca raseSvaram vande // RmaQt-_1.7 //
   yo na vetti kṛpārāśiṃ rasahariharātmakam /	yaH na vetti kRpA-rASim rasa-hari-hara-Atmakam /
   vṛthā cikitsāṃ kurute sa vaidyo hāsyatāṃ vrajet // Rmañj_1.8 //	vRTA cikitsAm kurute sa vEdyaH hAsyatAm vrajet // RmaQt-_1.8 //
   gurusevāṃ vinā karma yaḥ kuryānmūḍhacetasaḥ /	guru-sevAm vinA karma yaH kuryAt-mUXa-cetasaH /
   sa yāti niṣphalatvaṃ hi svapnalabdhadhanaṃ yathā // Rmañj_1.9 //	sa yAti nizPala-tvam hi svapna-labDa-Danam yaTA // RmaQt-_1.9 //
   vidyāṃ gṛhītumicchanti cauryacchadmabalādinā /	vidyAm gRhItum-icCanti cOrya=-Cadma-bala-AdinA /
   na teṣāṃ sidhyate kiṃcinmaṇimantrauṣadhādikam // Rmañj_1.10 //	na tezAm siDyate kiMcid-maNi-mantra-OzaDa-Adikam // RmaQt-_1.10 //
   mantrasiddho mahāvīro niścalaḥ śivavatsalaḥ /	mantra-sidDaH mahAvIraH niScalaH Siva-vatsalaH /
   devībhaktaḥ sadā dhīro devatāyāgatatparaḥ // Rmañj_1.11 //	devI-BaktaH sadA DIraH devatA-yAga-tatparaH // RmaQt-_1.11 //
   sarvaśāstrārthatattvajñaḥ kuśalo rasakarmaṇi /	sarva-SAstra-arTa-tattva-jQaH kuSalaH rasakarmaNi /
   etallakṣaṇasaṃyukto rasavidyāgururbhavet // Rmañj_1.12 //	etad-lakzaNa-saMyuktaH rasa-vidyA-guruH-Bavet // RmaQt-_1.12 //
   śiṣyo nijagurorbhaktaḥ satyavaktā dṛḍhavrataḥ /	SizyaH nija-guroH-BaktaH satya-vaktA dRXa-vrataH /
   nirālasyaḥ svadharmajño devyārādhanatatparaḥ // Rmañj_1.13 //	nirAlasyaH svaDarma-jQaH devI-ArADana-tatparaH // RmaQt-_1.13 //
   <pāradanāmāni>	<pArada-nAmAni>
   śivabījaṃ sūtarājaḥ pāradaśca rasendrakaḥ /	SivabIjam sUtarAjaH pAradaH-ca rasendrakaH /
   etāni rasanāmāni tathānyāni śive yathā // Rmañj_1.14 //	etAni rasa-nAmAni taTA-anyAni Sive yaTA // RmaQt-_1.14 //
   antaḥsunīlo bahirujjvalo vā madhyāhṇasūryapratimaprakāśaḥ /	antar-su-nIlaH bahis-ujjvalaH vA maDyAhNa-sUrya-pratima-prakASaH /
   śasto'tha dhūmraḥ paripāṇḍuraśca citro na yojyo rasakarmasiddhaye //	SastaH-aTa DUmraH paripANxuraH-ca citraH na yojyaH rasakarma-sidDaye //
   Rmañj_1.15 //	RmaQt-_1.15 //
   doṣamukto yadā sūtastadā mṛtyurujāpahaḥ /	doza-muktaH yadA sUtaH-tadA mRtyu-rujA-apahaH /
   sākṣādamṛtam evaiṣa doṣayukto raso viṣam // Rmañj_1.16 //	sAkzAt-amRtam eva-eza doza-yuktaH rasaH vizam // RmaQt-_1.16 //
   <pāradadoṣāḥ>	<pArada-dozAH>
   nāgo vaṅgo'gnicāpalyam asahyatvaṃ viṣaṃ giriḥ /	nAgaH vaFgaH-agni-cApalyam asahya-tvam vizam giriH /
   malā hyete ca vijñeyā doṣāḥ pāradasaṃsthitāḥ // Rmañj_1.17 //	malAH hi-ete ca vijQeyAH dozAH pArada-saMsTitAH // RmaQt-_1.17 //
   jāḍyaṃ kuṣṭhaṃ mahādāhaṃ vīryanāśaṃ ca mūrcchanām /	jAxyam kuzWam mahA-dAham vIrya-nASam ca mUrcCanAm /
   mṛtyuṃ sphoṭaṃ rogapuñjaṃ kurvantyete kramānnṛṇām // Rmañj_1.18 //	mRtyum sPowam roga-puQjam kurvanti-ete kramAt-nRNAm // RmaQt-_1.18 //
   <pāradaśodhana>	<pArada-SoDana>
   athātaḥ sampravakṣyāmi pāradasya ca śodhanam /	aTa-atas sampravakzyAmi pAradasya ca SoDanam /
   raso grāhyaḥ sunakṣatre palānāṃ śatamātrakam // Rmañj_1.19 //	rasaH grAhyaH su-nakzatre palAnAm Sata-mAtrakam // RmaQt-_1.19 //
   pañcāśat pañcaviṃśadvā daśa pañcaikameva vā /	paQcASat paQcaviMSat-vA daSa paQca-ekam-eva vA /
   palād ūnaṃ na kartavyaṃ rasasaṃskāramuttamam // Rmañj_1.20 //	palAt Unam na kartavyam rasa-saMskAram-uttamam // RmaQt-_1.20 //
   <pāradaśodhana (1)>	<pArada-SoDanaH (1)>
   palatrayaṃ citrakasarṣapāṇāṃ kumārīkanyābṛhatīkaṣāyaiḥ /	pala-trayam citraka-sarzapANAm kumArI-kanyA-bRhatI-kazAyEH /
   dinatrayaṃ marditasūtakastu vimucyate pañcamalādidoṣaiḥ // Rmañj_1.21 //	dina-trayam mardita-sUtakaH-tu vimucyate paQca-mala-Adi-dozEH // RmaQt-_1.21 //
   <pāradaśodhana (2)>	<pArada-SoDanaH (2)>
   iṣṭikārajanīcūrṇaiḥ ṣoḍaśāṃśaṃ rasasya ca /	izwikA-rajanI-cUrNEH zoxaSa-aMSam rasasya ca /
   mardayettaṃ tathā khalve jambīrotthadravairdinam // Rmañj_1.22 //	mardayet-tam taTA Kalve jambIra-utTa-dravEH-dinam // RmaQt-_1.22 //
   <sāmānyadoṣaśodhanam>	<sAmAnya-doza-SoDanam>
   kāñjikaiḥ kṣālayetsūtaṃ nāgadoṣaṃ vimuñcati /	kAQjikEH kzAlayet-sUtam nAga-dozam vimuQcati /
   viśālāṅkolacūrṇena vaṅgadoṣaṃ vimuñcati // Rmañj_1.23 //	viSAlA-aFkola-cUrNena vaFga-dozam vimuQcati // RmaQt-_1.23 //
   rājavṛkṣo malaṃ hanti pāvako hanti pāvakam /	rAjavRkzaH malam hanti pAvakaH hanti pAvakam /
   cāpalyaṃ kṛṣṇadhattūras triphalā viṣanāśinī // Rmañj_1.24 //	cApalyam kRzNaDattUraH triPalA viza-nASinI // RmaQt-_1.24 //
   kaṭutrayaṃ giriṃ hanti asahyatvaṃ trikaṇṭakaḥ /	kawutrayam girim hanti asahya-tvam trikaNwakaH /
   pratidoṣaṃ palāṃśena tatra sūtaṃ sakāñjikam // Rmañj_1.25 //	pratidozam pala-aMSena tatra sUtam sa-kAQjikam // RmaQt-_1.25 //
   sarvadoṣavinirmuktaḥ saptakañcukavarjitaḥ /	sarva-doza-vinirmuktaH sapta-kaQcuka-varjitaH /
   jāyate śuddhasūto'yaṃ yojayet sarvakarmasu // Rmañj_1.26 //	jAyate SudDa-sUtaH-ayam yojayet sarva-karmasu // RmaQt-_1.26 //
   <pāradaśodhanam (2)>	<pArada-SoDanam (2)>
   suvastragālitaṃ khalve sūtaṃ kṣiptvā vimardayet /	su-vastra-gAlitam Kalve sUtam kziptvA vimardayet /
   uddhṛtya cāranālena mṛdbhāṇḍe kṣālayet sudhīḥ // Rmañj_1.27 //	udDRtya ca-AranAlena mRd-BANxe kzAlayet suDIH // RmaQt-_1.27 //
   rasasya daśamāṃśaṃ tu gandhaṃ dattvā vimardayet /	rasasya daSama-aMSam tu ganDam dattvA vimardayet /
   jambīrotthadravair yāmaṃ pātyaṃ pātanayantrake // Rmañj_1.28 //	jambIra-utTa-dravEH yAmam pAtyam pAtanayantrake // RmaQt-_1.28 //
   punar mardyaṃ punaḥ pātyaṃ saptavāraṃ viśuddhaye /	punar mardyam punar pAtyam sapta-vAram viSudDaye /
   yuktaṃ sarvasya sūtasya taptakhalve vimardanam // Rmañj_1.29 //	yuktam sarvasya sUtasya taptaKalve vimardanam // RmaQt-_1.29 //
   <taptakhalva>	<taptaKalva>
   ajāśakṛttuṣāgniṃ tu bhūgarbhe tritayaṃ kṣipet /	ajA-SakRt-tuza-agnim tu BU-garBe tritayam kzipet /
   tasyoparisthitaṃ khalvaṃ taptakhalvamidaṃ smṛtam // Rmañj_1.30 //	tasya-upari-sTitam Kalvam taptaKalvam-idam smRtam // RmaQt-_1.30 //
   <pāradaśodhanam>	<pArada-SoDanam>
   kumāryāśca niśācūrṇair dinaṃ sūtaṃ vimardayet /	kumAryAH-ca niSA-cUrNEH dinam sUtam vimardayet /
   pātayetpātanāyantre samyak śuddho bhavedrasaḥ // Rmañj_1.31 //	pAtayet-pAtanAyantre samyak SudDaH Bavet-rasaH // RmaQt-_1.31 //
   <pāradaśodhana>	<pArada-SoDana>
   śrīkhaṇḍadevadāruśca kākatuṇḍī jayādravaiḥ /	SrIKaNxa-devadAruH-ca kAkatuNxI jayA-dravEH /
   karkoṭīmusalīkanyādravaṃ dattvā vimardayet // Rmañj_1.32 //	karkowI-musalI-kanyA-dravam dattvA vimardayet // RmaQt-_1.32 //
   dinaikaṃ mardayetpaścācchuddhaṃ ca viniyojayet /	dina-ekam mardayet-paScAt-SudDam ca viniyojayet /
   <pāradaśodhana>	<pArada-SoDana>
   athavā hiṅgulāt sūtaṃ grāhayet tannigadyate // Rmañj_1.33 //	aTavA hiFgulAt sUtam grAhayet tat-nigadyate // RmaQt-_1.33 //
   jambīranimbunīreṇa marditaṃ hiṅgulaṃ dinam /	jambIra-nimbu-nIreNa marditam hiFgulam dinam /
   ūrdhvapātanayantreṇa grāhyaḥ syānnirmalo rasaḥ // Rmañj_1.34 //	UrDvapAtanayantreNa grAhyaH syAt-nirmalaH rasaH // RmaQt-_1.34 //
   kañcukairnāgavaṅgādyair nirmukto rasakarmaṇi /	kaQcukEH-nAga-vaFga-AdyEH nirmuktaH rasakarmaNi /
   vinā karmāṣṭakenaiva sūto'yaṃ sarvakarmakṛt // Rmañj_1.35 //	vinA karma-azwakena-eva sUtaH-ayam sarva-karma-kRt // RmaQt-_1.35 //
   sarvasiddhamatam etad īritaṃ sūtaśuddhikaram adbhutaṃ param /	sarva-sidDa-matam etat Iritam sUta-SudDi-karam adButam param /
   alpakarmavidhibhūrisiddhidaṃ dehalohakaraṇe hi śasyate // Rmañj_1.36 //	alpa-karma-viDi-BUri-sidDi-dam deha-loha-karaNe hi Sasyate // RmaQt-_1.36 //
   saṃskārahīnaṃ khalu sūtarājaṃ yaḥ sevate tasya karoti bādhām /	saMskAra-hInam Kalu sUtarAjam yaH sevate tasya karoti bADAm /
   dehasya nāśaṃ vividhaṃ ca kuṣṭhaṃ kaṣṭaṃ ca rogāñjanayennarāṇām //	dehasya nASam viviDam ca kuzWam kazwam ca rogAn-janayet-narANAm //
   Rmañj_1.37 //	RmaQt-_1.37 //
   Rmañj, 2	RmaQj, 2
   athātaḥ sampravakṣyāmi rasajāraṇamuttamam /	aTa-atas sampravakzyAmi rasa-jAraNam-uttamam /
   athājīrṇam abījaṃ ca sūtakaṃ yastu ghātayet // Rmañj_2.1 //	aTa-ajIrNam abIjam ca sUtakam yaH-tu GAtayet // RmaQt-_2.1 //
   brahmahā sa durācārī mama drohī maheśvari /	brahma-hA sa durAcArI mama drohI maheSvari /
   tasmātsarvaprayatnena jāritaṃ mārayedrasam // Rmañj_2.2 //	tasmAt-sarva-prayatnena jAritam mArayet-rasam // RmaQt-_2.2 //
   <pāradabalijāraṇaṃ>	<pArada-bali-jAraNaM>
   prakṣipya toyaṃ mṛtkuṇḍe tasyopari śarāvakam /	prakzipya toyam mRd-kuNxe tasya-upari SarAvakam /
   saṃcūrṇamekhalāyuktaṃ sthāpayettasya cāntare // Rmañj_2.3 //	saMcUrNa-meKalA-yuktam sTApayet-tasya ca-antare // RmaQt-_2.3 //
   rasaṃ kṣiptvā gandhakasya rajastasyopari kṣipet /	rasam kziptvA ganDakasya rajaH-tasya-upari kzipet /
   samaṃ bhāgaṃ tato dadyāccharāveṇa pidhāpayet // Rmañj_2.4 //	samam BAgam tatas dadyAt-SarAveNa piDApayet // RmaQt-_2.4 //
   laghvīyasīṃ bhasmamudrāṃ tataḥ kuryād bhiṣagvaraḥ /	laGvIyasIm Basma-mudrAm tatas kuryAt Bizaj-varaH /
   āraṇyopalakaiḥ samyak caturbhiḥ puṭamācaret // Rmañj_2.5 //	AraNyopalakEH samyak caturBiH puwam-Acaret // RmaQt-_2.5 //
   evaṃ punaḥ punar gandhaṃ dattvā dattvā bhiṣagvaraḥ /	evam punar punar ganDam dattvA dattvA Bizaj-varaH /
   samyak kurvīta sūtasya devi ṣaḍguṇajāraṇam // Rmañj_2.6 //	samyak kurvIta sUtasya devi zaxguNa-jAraNam // RmaQt-_2.6 //
   <pāradasuvarṇajāraṇaṃ>	<pArada-suvarNa-jAraNaM>
   rasaḥ syāt paṭuśigrututthaiḥ sarājikairvyoṣaṇakais trirātram /	rasaH syAt pawu-Sigru-tutTEH sa-rAjikEH-vyozaNakEH tri-rAtram /
   piṣṭastataḥ svinnatanu suvarṇamukhyānayaṃ khādati sarvadhātūn // Rmañj_2.7	pizwaH-tatas svinna-tanu suvarNa-muKyAn-ayam KAdati sarva-DAtUn // RmaQt-_2.7
   <pāradajāraṇa>	<pArada-jAraNa>
   athavā biḍayogena śikhipittena lepitam /	aTavA bixa-yogena SiKi-pittena lepitam /
   caret suvarṇaṃ rasarāṭ taptakhalve yathāsukham // Rmañj_2.8 //	caret suvarNam rasarAj taptaKalve yaTAsuKam // RmaQt-_2.8 //
   nirdagdhaśaṃkhacūrṇaṃ ca ravikṣīreṇa saṃplutam /	nirdagDa-SaMKa-cUrNam ca ravi-kzIreNa saMplutam /
   puṭitaṃ śataśo devi praśastaṃ jāraṇaṃ viduḥ // Rmañj_2.9 //	puwitam SataSas devi praSastam jAraNam viduH // RmaQt-_2.9 //
   svarṇābhrasarvalohāni yatheṣṭāni ca jārayet /	svarNa-aBra-sarva-lohAni yaTA-izwAni ca jArayet /
   anekavidhinā sūtaṃ catuḥṣaṣṭyaṃśakādinā /	aneka-viDinA sUtam catuHzazwi-aMSaka-AdinA /
   dvātriṃśat ṣoḍaśāṃśena jārayet kanakaṃ budhaḥ // Rmañj_2.10 //	dvAtriMSat zoxaSa-aMSena jArayet kanakam buDaH // RmaQt-_2.10 //
   <rasamāraṇaṃ>	<rasa-mAraNaM>
   dvipalaṃ śuddhasūtaṃ ca sūtārdhaṃ śuddhagandhakam /	dvi-palam SudDa-sUtam ca sUta-arDam SudDa-ganDakam /
   kanyānīreṇa saṃmardya dinamekaṃ nirantaram // Rmañj_2.11 //	kanyA-nIreNa saMmardya dinam-ekam nirantaram // RmaQt-_2.11 //
   ruddhvā tadbhūdhare yantre dinaikaṃ mārayet puṭān /	rudDvA tat-BUDare yantre dina-ekam mArayet puwAn /
   <rasamāraṇa (2)>	<rasa-mAraNa (2)>
   bhujaṅgavallīnīreṇa marditaṃ pāradaṃ dṛḍham // Rmañj_2.12 //	BujaFgavallI-nIreNa marditam pAradam dRXam // RmaQt-_2.12 //
   karkoṭīkandamṛnmūṣāsampuṭasthaṃ puṭe gaje /	karkowI-kanda-mRd-mUzA-sampuwa-sTam puwe gaje /
   bhasma tadyogavāhi syātsarvakarmasu yojayet // Rmañj_2.13 //	Basma tat-yogavAhi syAt-sarva-karmasu yojayet // RmaQt-_2.13 //
   <rasamāraṇa (3)>	<rasa-mAraNa (3)>
   śvetāṅkolajaṭāvāri mardyaḥ sūto dinatrayam /	Sveta-aFkola-jawA-vAri mardyaH sUtaH dina-trayam /
   puṭitaścāndhamūṣāyāṃ sūto bhasmatvamāpnuyāt // Rmañj_2.14 //	puwitaH-ca-anDamUzAyAm sUtaH Basma-tvam-ApnuyAt // RmaQt-_2.14 //
   pratyahaṃ raktikāpañca bhakṣayenmadhu sarpiṣā /	pratyaham raktikA-paQca Bakzayet-maDu sarpizA /
   ko vā tasya guṇān vaktuṃ bhuvi śaknoti mānavaḥ // Rmañj_2.15 //	kaH vA tasya guNAn vaktum Buvi Saknoti mAnavaH // RmaQt-_2.15 //
   <rasasindūranirmāṇa (1)>	<rasasindUra-nirmANaH (1)>
   palamatra rasaṃ śuddhaṃ tāvanmātraṃ sugandhakam /	palam-atra rasam SudDam tAvat-mAtram suganDakam /
   vidhivat kajjalīṃ kṛtvā nyagrodhāṅkuravāribhiḥ // Rmañj_2.16 //	viDivat kajjalIm kRtvA nyagroDa-aFkura-vAriBiH // RmaQt-_2.16 //
   bhāvanātritayaṃ dattvā sthālīmadhye nidhāpayet /	BAvanA-tritayam dattvA sTAlI-maDye niDApayet /
   viracya kavacīyantraṃ vālukābhiḥ prapūrayet // Rmañj_2.17 //	viracya kavacIyantram vAlukABiH prapUrayet // RmaQt-_2.17 //
   jāyate rasasindūraṃ taruṇāruṇasannibham /	jAyate rasasindUram taruNa-aruNa-sanniBam /
   anupānaviśeṣeṇa karoti vividhān guṇān // Rmañj_2.18 //	anupAna-viSezeNa karoti viviDAn guNAn // RmaQt-_2.18 //
   <rasasindūra (2)>	<rasasindUraH (2)>
   gandhakena samaḥ sūto nirguṇḍīrasamarditaḥ /	ganDakena samaH sUtaH nirguNxI-rasa-marditaH /
   pācito vālukāyantre raktaṃ bhasma prajāyate // Rmañj_2.19 //	pAcitaH vAlukAyantre raktam Basma prajAyate // RmaQt-_2.19 //
   <rasasindūra>	<rasasindUra>
   sūtārddhaṃ gandhakaṃ śuddhaṃ mākṣikodbhūtasattvakam /	sUta-ardDam ganDakam SudDam mAkzika-udBUta-sattvakam /
   gandhatulyaṃ vimardyātha dinaṃ nirguṇḍikādravaiḥ // Rmañj_2.20 //	ganDa-tulyam vimardya-aTa dinam nirguNxikA-dravEH // RmaQt-_2.20 //
   sthāpayedvālukāyantre kācakūpyāṃ vipācayet /	sTApayet-vAlukAyantre kAca-kUpyAm vipAcayet /
   andhamūṣāgataṃ vātha vālukāyantrake dinam // Rmañj_2.21 //	anDamUzA-gatam vA-aTa vAlukAyantrake dinam // RmaQt-_2.21 //
   pakvaṃ saṃjāyate bhasma dāḍimīkusumopamam /	pakvam saMjAyate Basma dAximI-kusuma-upamam /
   <rasasindūra>	<rasasindUra>
   pṛthak samaṃ samaṃ kṛtvā pāradaṃ gandhakaṃ tathā // Rmañj_2.22 //	pRTak samam samam kRtvA pAradam ganDakam taTA // RmaQt-_2.22 //
   navasāraṃ dhūmasāraṃ sphaṭikīṃ yāmamātrake /	navasAram DUmasAram sPawikIm yAma-mAtrake /
   nimbunīreṇa saṃmardya kācakupyāṃ vipācayet // Rmañj_2.23 //	nimbu-nIreNa saMmardya kAca-kupyAm vipAcayet // RmaQt-_2.23 //
   mukhe pāṣāṇavaṭikāṃ dattvā mudrāṃ pralepayet /	muKe pAzANa-vawikAm dattvA mudrAm pralepayet /
   saptabhir mṛttikāvastraiḥ pṛthak saṃśoṣya veṣṭayet // Rmañj_2.24 //	saptaBiH mRttikA-vastrEH pRTak saMSozya vezwayet // RmaQt-_2.24 //
   sacchidrāyāṃ mṛdaḥ sthālyāṃ kūpikāṃ saṃniveśayet /	sa=-CidrAyAm mRdaH sTAlyAm kUpikAm saMniveSayet /
   pūrayet sikatāpurair ā galaṃ matimān bhiṣak // Rmañj_2.25 //	pUrayet sikatA-purEH A galam matimAn Bizaj // RmaQt-_2.25 //
   niveśya cullyāṃ dahanaṃ mandamadhyakharaṃ kramāt /	niveSya cullyAm dahanam manda-maDya-Karam kramAt /
   prajvālya dvādaśaṃ yāmaṃ svāṅgaśītalam uddharet // Rmañj_2.26 //	prajvAlya dvAdaSam yAmam svAFgaSItalam udDaret // RmaQt-_2.26 //
   sphoṭayitvā punaḥ sthālīmūrdhvagaṃ gandhakaṃ tyajet /	sPowayitvA punar sTAlIm-UrDva-gam ganDakam tyajet /
   adhasthaṃ rasasindūraṃ sarvakarmasu yojayet // Rmañj_2.27 //	aDasTam rasasindUram sarva-karmasu yojayet // RmaQt-_2.27 //
   <rasasindūra>	<rasasindUra>
   gandhakaṃ dhūma [... au1 Zeichenjh] raṃ ca śuddhasūtaṃ samaṃ samam /	ganDakam DUmaH [... O1 ZeiCenJ] ram ca SudDa-sUtam samam samam /
   yāmaikaṃ mardayetkhalve kācakupyāṃ niveśayet // Rmañj_2.28 //	yAma-ekam mardayet-Kalve kAca-kupyAm niveSayet // RmaQt-_2.28 //
   ruddhvā dvādaśayāmaṃ tu vālukāyantragaṃ pacet /	rudDvA dvAdaSa-yAmam tu vAlukAyantra-gam pacet /
   sphoṭayet svāṅgaśītaṃ tamūrdhvalagnaṃ tu taṃ tyajet /	sPowayet svAFgaSItam tam-UrDva-lagnam tu tam tyajet /
   adhasthaṃ mṛtasūtaṃ ca sarvayogeṣu yojayet // Rmañj_2.29 //	aDasTam mRta-sUtam ca sarva-yogezu yojayet // RmaQt-_2.29 //
   <rasasindūra>	<rasasindUra>
   bhāgau rasasya traya eva bhāgā gandhasya bhāgaṃ pavanāsanasya /	BAgO rasasya trayaH eva BAgAH ganDasya BAgam pavana-Asanasya /
   saṃmardya gāḍhaṃ sakalaṃ subhāṇḍe tāṃ kajjalīṃ kācakṛte vidadhyāt //	saMmardya gAXam sakalam su-BANxe tAm kajjalIm kAca-kRte vidaDyAt //
   Rmañj_2.30 //	RmaQt-_2.30 //
   saṃveṣṭya mṛtkarpaṭakaiḥ svayaṃ tāṃ mukhe sucūrṇāṃ khaṭikāṃ ca kṛtvā /	saMvezwya mRd-karpawakEH svayam tAm muKe su-cUrNAm KawikAm ca kRtvA /
   kramāgninā trīṇi dināni paktvā tāṃ vālukāyantragatāṃ tataḥ syāt //	kramAgninA trINi dinAni paktvA tAm vAlukAyantra-gatAm tatas syAt //
   Rmañj_2.31 //	RmaQt-_2.31 //
   bandhūkapuṣpāruṇam īśajasya bhasma prayojyaṃ sakalāmayeṣu /	banDUka-puzpa-aruNam ISajasya Basma prayojyam sakala-Amayezu /
   nijānupānair maraṇaṃ jarāṃ ca nihanti vallakramasevanena // Rmañj_2.32 //	nija-anupAnEH maraNam jarAm ca nihanti valla-krama-sevanena // RmaQt-_2.32 //
   <rasasindūra>	<rasasindUra>
   pakvamūṣāgataṃ sūtaṃ gandhakaṃ cādharottaram /	pakvamUzA-gatam sUtam ganDakam ca-aDara-uttaram /
   tulyaṃ sucūrṇitaṃ kṛtvā kākamācīdravaṃ punaḥ // Rmañj_2.33 //	tulyam su-cUrNitam kRtvA kAkamAcI-dravam punar // RmaQt-_2.33 //
   dvābhyāṃ caturguṇaṃ deyaṃ dravaṃ mūṣāṃ nirudhya ca /	dvAByAm caturguNam deyam dravam mUzAm niruDya ca /
   pācayed vālukāyantre kramavṛddhāgninā dinam /	pAcayet vAlukAyantre krama-vRdDa-agninA dinam /
   āraktaṃ jāyate bhasma sarvayogeṣu yojayet // Rmañj_2.34 //	Araktam jAyate Basma sarva-yogezu yojayet // RmaQt-_2.34 //
   <rasasindūra>	<rasasindUra>
   aśvagandhādivargeṇa rasaṃ svedyaṃ prayatnataḥ /	aSvaganDA-di-vargeNa rasam svedyam prayatnataH /
   rasatulyaṃ gandhakaṃ ca mardayet kuśalo bhiṣak // Rmañj_2.35 //	rasa-tulyam ganDakam ca mardayet kuSalaH Bizaj // RmaQt-_2.35 //
   pācayedrasasindūraṃ jāyate'ruṇasannibham /	pAcayet-rasasindUram jAyate-aruNa-sanniBam /
   śreṣṭhaṃ sarvarasānāṃ hi puṣṭikāmabalapradam // Rmañj_2.36 //	SrezWam sarva-rasAnAm hi puzwi-kAma-bala-pradam // RmaQt-_2.36 //
   idamevāyuṣo vṛddhiṃ kartuṃ nānyadalaṃ bhavet /	idam-eva-AyuzaH vRdDim kartum na-anyat-alam Bavet /
   vināpi svarṇarājena munibhiḥ parikīrtitam // Rmañj_2.37 //	vinA-api svarNa-rAjena muniBiH parikIrtitam // RmaQt-_2.37 //
   <rasakarpūra>	<rasakarpUra>
   ṭaṅkaṇaṃ madhu lākṣātha ūrṇā guñjāyuto rasaḥ /	waFkaNam maDu lAkzA-aTa UrNA guQjA-yutaH rasaH /
   mardayed bhṛṅgajairdrāvairdinaikaṃ vā dhamet punaḥ // Rmañj_2.38 //	mardayet BRFga-jEH-drAvEH-dina-ekam vA Damet punar // RmaQt-_2.38 //
   dhmāto bhasmatvamāyāti śuddhaḥ karpūrasannibhaḥ /	DmAtaH Basma-tvam-AyAti SudDaH karpUra-sanniBaH /
   <rasakarpūra>	<rasakarpUra>
   khaṭīṣṭigairikāvalmīmṛttikā saindhavaṃ samam // Rmañj_2.39 //	KawI-izwi-gErikA-valmI-mRttikA sEnDavam samam // RmaQt-_2.39 //
