   smṛtyupasthānaparicchedaḥ trayodaśaḥ |	smRti-upasTAna-paricCedaH trayodaSaH |
   na parânte saṃkrānto na pūrvântâparântâvasthito 'nyatrâsadvi-	na parânte saMkrAntaH na pUrvântâ-parântâvasTitaH anyatrâ-sadvi-
   [ Cambridge MS f104a ---> ]	[ Cambridge M f104aH ---> ]
   paryāsasaṃbhūtaḥ kārakavedakarahito nâdyantamadhye pratiṣṭhitamūlaḥ |	paryAsa-saMBUtaH kAraka-vedaka-rahitaH nâdyanta-maDye pratizWita-mUlaH |
   asvāmikaḥ |	asvAmikaH |
   amamaḥ |	amamaH |
   aparigrahaḥ |	aparigrahaH |
   āgantukair vyavahārair vyavahriyate kāyêti dehêti bhogêti āśrayêti śarīram	AgantukEH vyavahArEH vyavahriyate kAyêti dehêti Bogêti ASrayêti SarIram
   iti kuṇapêti āyatanam iti |	iti kuNapêti Ayatanam iti |
   asārako 'yaṃ kāyo mātāpitṛśoṇitaśukrasaṃbhūto 'śucipūtidurgandhasvabhāvo	asArakaH ayam kAyaH mAtA-pitR-SoNita-Sukra-saMBUtaH aSuci-pUti-durganDa-svaBAvaH-
   rāgadveṣamohabhayaviṣādataskarâkulo nityaṃ	rAga-dveza-moha-Baya-vizAda-taskarâkulaH nityam
   śatanapatanabhedanavikiraṇavidhvansanadharmā |	Satana-patana-Bedana-vikiraNa-viDvan-sana-DarmA |
   nānāvyādhiśatasahasranītêti ||	nAnA-vyADi-Sata-sahasra-nItêti ||
   āryaratnacūḍe 'py āha |	Arya-ratna-cUxe api Aha |
   anityo vatâyaṃ kāyo 'cirasthitiko maraṇaparyavasānêti jñātvā na kāyahetor	anityaH vatâyam kAyaH acira-sTitikaH maraNa-paryavasA-anêti jQAtvA na kAya-hetoH-
   viṣamayā jīvati |	vizamayA jIvati |
   sāraṃ câivâdatte |	sAram câivâdatte |
   sa trīṇi sārāṇy ādatte |katamāni	sa trINi sArANi Adatte |katamAni
   [ Bendall ed p230 ---> ]	[ Bet-dalt ed p230 ---> ]
   trīṇi |	trINi |
   kāyasāraṃ bhogasāraṃ jīvitasāraṃ ca |	kAya-sAram Boga-sAram jIvita-sAram ca |
   so 'nityaḥ kāyêti sarvasatvānāṃ dāsatvaśiṣyatvam abhyupagamya	saH anityaH kAyêti sarva-satvAnAm dAsa-tva-Sizya-tvam aByupagamya
   kiṅkaraṇīyatāyai utsuko bhavati |	kiFkaraNIyatAyE utsukaH Bavati |
   anityaḥ kāyêti sarvakāya doṣavaṅkaśāṭhyakuhanāṃ na karoti |	anityaH kAyêti sarvakAya doza-vaFka-SAWya-kuhanAm na karoti |
   anityaḥ kāyêti jīvitenâśvāsaprāpto jīvitahetor api pāpaṃ karma na karoti |	anityaH kAyêti jIvitena-ISvAsa-prAptaH jIvita-hetoH api pApam karma na karoti |
   anityaḥ kāyêti bhogeṣu tṛṣṇâdhyavasānaṃ na karoti |	anityaH kAyêti Bogezu tRzNâDi-avasAnam na karoti |
   sarvasvaparityāgîva bhavatîti ||	sarva-sva-parityAgîva Bavatîti ||
   punar aparaṃ kulaputra bodhisatvaḥ kāye kāyânudarśanasmṛtyupasthānaṃ	punar aparam kula-putra boDisatvaH kAye kAyânudarSana-smRti-upasTAnam
   bhāvayan sarvasatvakāyāṃs tatra svakāyae upanibadhnāti |	BAvayan sarva-satva-kAyAn tatra sva-kAyae upanibaDnAti |
   evaṃ câsya bhavati |	evam ca-asya Bavati |
   sarvasatvakāyā mayā buddhakāyapratiṣṭhānapratiṣṭhitāḥ kartavyāḥ |	sarva-satva-kAyAH mayA budDakAya-pratizWAna-pratizWitAH kartavyAH |
   yathā ca tathāgatakāye nâśravas tathā svakāyadharmatāṃ pratyavekṣate |	yaTA ca taTAgata-kAye nâSravaH taTA sva-kAya-Darma-tAm pratyavekzate |
   so nâśravadharmatākuśalaḥ sarvasatvakāyān api tallakṣaṇān eva prajānātîty	saH nâSrava-DarmatA-kuSalaH sarva-satva-kAyAn api tad-lakzaNAn eva prajAnAtîti-
   ādi ||	Adi ||
   vīradattaparipṛcchāyām apy uktam |	vIra-datta-paripRcCAyAm api uktam |
   yad utâyaṃ kāyo 'nupūrvasamudāgato 'nupūrvavināśo paramâṇusaṃcayaḥ	yat utâyam kAyaH anupUrva-samudAgataH anupUrva-vinASaH paramâNu-saMcayaH
   śuṣirônnāmâvanāmau navavraṇamukharomakūpasrāvī valmīkavadāsīviṣanivāsaḥ	SuzirônnAmâvanAmO nava-vraNa-muKa-romakUpa-srAvI valmIka-vat-AsIviza-nivAsaH
   [[DOUBT]] |	[[DOUBT]] |
   ajātaśatruḥ |	ajAtaSatruH |
   markaṭavan mitradrohī |	markawa-vat mitra-drohI |
   kumitravad visaṃvādanâtmakaḥ |	kumitra-vat visaMvAdanâtmakaH |
   phenapiṇḍavat prakṛtidurbalaḥ |	Pena-piNxa-vat prakRti-durbalaH |
   udakabudbudavad utpannabhagnavilīnaḥ |	udaka-budbuda-vat utpanna-Bagna-vilInaH |
   marīcivad vipralambhâtmakaḥ |	marIci-vat vipralamBâtmakaH |
   kadalīvan nibhujyamānāsārakaḥ |	kadalI-vat niBujyamAna-AsArakaH |
   māyāvad vañcanâtmakaḥ |	mAyA-vat vaQcanâtmakaH |
   rājavad ājñābahulaḥ |	rAja-vat AjQA-bahulaH |
   śatruvad avatāraprekṣī |	Satru-vat avatAra-prekzI |
   coravad aviśvasanīyaḥ |	cora-vat aviSvasanIyaH |
   vadhyaghātakavad ananuvītaḥ |	vaDya-GAtaka-vat ananuvItaH |
   amitravad ahitâiṣī |	amitra-vat ahitâizI |
   vadhakavat prajñājīvitânta-	vaDaka-vat prajQA-jIvitânta-
   [ Bendall ed p231 ---> ]	[ Bet-dalt ed p231 ---> ]
   rāyakaraḥ |	rAya-karaH |
   śūnyagrāmavad ātmavirahitaḥ |	SUnya-grAma-vat Atma-virahitaH |
   kulālabhāṇḍavad bhedanaparyantaḥ |	kulAla-BANxa-vat Bedana-paryantaH |
   mūtoḍīvan nānâśuciparipūrṇaḥ |	mUtoxIvan nAnâSuci-paripUrNaH |
   medakasthālīvad aśucisrāvī ||pe ||	medaka-sTAlI-vat aSuci-srAvI ||pe ||
   vraṇavad ghaṭṭanâsahiṣṇuḥ |	vraNa-vat Gawwanâ-sahizNuH |
   śalyavat tudanâtmakaḥ |	Salya-vat tudanâtmakaH |
   jīrṇagṛhavat pratisaṃskāradhāryaḥ |	jIrNa-gRha-vat pratisaMskAra-DAryaH |
   jīrṇayānapātravat pratisaṃskāravāhyaḥ |	jIrNayAna-pAtra-vat pratisaMskAra-vAhyaH |
   āmakumbhavad yatnânupālyaḥ ||	Ama-kumBa-vat yatnânupAlyaH ||
   pe ||	pe ||
   nadītaṭavṛkṣavac calâcalaḥ |	nadI-tawa-vRkza-vat calâcalaH |
   mahānadīsrotovan maraṇasamudraparyavasānaḥ |	mahAnadI-srotaH-vat maraNa-samudra-paryavasAnaH |
   āgantukâgāravat sarvaduṣkhanivāsaḥ |	AgantukâgAra-vat sarva-duzKa-nivAsaH |
   anāthaśālāvad aparigṛhītaḥ |	anATa-SAlA-vat aparigRhItaH |
   cārakapālavad utkocasādhyaḥ ||	cAra-kapAla-vat utkoca-sADyaH ||
   pe ||	pe ||
   bāladārakavat satataparipālyaḥ ||	bAla-dAraka-vat satata-paripAlyaH ||
   punar āha |	punar Aha |
   evaṃvidhaṃ kāyam acaukṣarāśiṃ |	evaMviDam kAyam acOkza-rASim |
   rūpâbhimānī bahu manyate yaḥ |	rUpâBimAnI bahu manyate yaH |
   prajñāyamānaḥ sa hi bālabuddhiḥ viṣṭhāghaṭaṃ yāti vahan vicetāḥ ||	prajQAyamAnaH sa hi bAla-budDiH vizWA-Gawam yAti vahan vicetAH ||
   pūyaprakāraṃ vahate 'sya nāsā |	pUya-prakAram vahate asya nAsA |
   vaktraṃ kugandhaṃ vahate sadā ca |	vaktram kuganDam vahate sadA ca |
   cikkās tathâkṣṇoḥ krimivac ca jantoḥ |	cikkAH taTâkzNoH krimi-vat ca jantoH |
   kas tatra rāgo bahumānatā vā ||aṅgāram ādāya yathā hi bālo |	kaH tatra rAgaH bahu-mAnatA vA ||aFgAram AdAya yaTA hi bAlaH |
   ghṛṣyed ayaṃ yāsyati śuklabhāvam |	GRzyet ayam yAsyati Sukla-BAvam |
   yāti kṣayaṃ nâiva tu śuklabhāvaṃ bālasya buddhir vitathâbhimānā ||	yAti kzayam nâiva tu Sukla-BAvam bAlasya budDiH vitaTâBimAnAH ||
   evaṃ hi yaḥ caukṣamatir manuṣyaḥ caukṣaṃ kariṣye 'ham idaṃ śarīram |	evam hi yaH cOkzamatiH manuzyaH cOkzam karizye aham idam SarIram |
   sûdvartitaṃ tīrthaśatâbhiṣiktaṃ yāti kṣayaṃ mṛtyuvaśād acaukṣam ||	sûdvartitam tIrTa-SatâBiziktam yAti kzayam mRtyu-vaSAt acOkzam ||
   [ Bendall ed p232 ---> ]	[ Bet-dalt ed p232 ---> ]
   tathā prabhaṅguraḥ |	taTA praBaFguraH |
   prasravan bodhisatvena kāyaḥ pratyavekṣitavyo nava vraṇamukhair yāvat |	prasravan boDisatvena kAyaH pratyavekzitavyaH nava vraNa-muKEH yAvat |
   āvāso bodhisatvena kāyaḥ pratyavekṣitavyaḥ |	AvAsaH boDisatvena kAyaH pratyavekzitavyaH |
   aśītikrimikulasahasrāṇām ||	aSIti-krimi-kula-sahasrANAm ||
   pe ||	pe ||
   parabhojano bodhisatvena kāyaḥ pratyavekṣitavyaḥ |	para-BojanaH boDisatvena kAyaH pratyavekzitavyaH |
   vṛkaśṛgālaśvapiśitâśināṃ |	vRka-SRgAla-Sva-piSitâ-SinAm |
   yantrôpamo bodhisatvena kāyaḥ pratyavekṣitavyaḥ |	yantrôpamaH boDisatvena kAyaH pratyavekzitavyaH |
   asthisnāyuyantrasaṃghātavinibaddhaḥ |	asTi-snAyu-yantra-saMGAta-vinibadDaH |
   asvâdhīno bodhisatvena kāyaḥ pratyavekṣitavyaḥ annapānasaṃbhūtêti vistaraḥ	asvâDInaH boDisatvena kAyaH pratyavekzitavyaH anna-pAna-saMBUtêti vistaraH
   tatrâiva jñeyaṃ |	tatrâiva jQeyam |
   vedanā smṛtyupasthānaṃ tu yathā tāvad āryaratnacūḍasūtre |	vedanA smRti-upasTAnam tu yaTA tAvat Arya-ratna-cUxa-sUtre |
   iha kulaputra bodhisatvo vedanāsu vedanânupaśyanāsmṛtyupasthānaṃ bhāvayan	iha kula-putra boDisatvaH vedanAsu vedanânupaSyanA-smRti-upasTAnam BAvayan
   veditasukhâśriteṣu satveṣu mahākaruṇāṃ pratilabhate |	vedita-suKâ-Sritezu satvezu mahA-karuNAm pratilaBate |
   evaṃ ca pratisaṃśikṣate |	evam ca pratisaMSikzate |
   tat sukhaṃ yatra veditaṃ nâsti sa sarvasatvaveditaprahāṇāya vedanāsu	tat suKam yatra veditam nâsti sa sarva-satva-vedita-prahANAya vedanAsu
   vedanāsmṛtyupasthānaṃ bhāvayati |	vedanA-smRti-upasTAnam BAvayati |
   veditanirodhāya ca satvānāṃ saṃnāhaṃ saṃnahyati |	vedita-niroDAya ca satvAnAm saMnAham saMnahyati |
   ātmanā ca vedi-	AtmanA ca vedi-
   [ Cambridge MS f105a ---> ]	[ Cambridge M f105aH ---> ]
   tanirodhaṃ nârpayati |	taniroDam nârpayati |
   sa yāṃ kāṃcid vedanāṃ vedayate tāṃ sarvāṃ mahākaruṇāparigṛhītāṃ vedayate |	sa yAm kAMcid vedanAm vedayate tAm sarvAm mahA-karuNA-parigRhItAm vedayate |
   sa yadā sukhāṃ vedanāṃ vedayate tadā rāgacariteṣu satveṣu mahākaruṇāṃ	sa yadA suKAm vedanAm vedayate tadA rAga-caritezu satvezu mahA-karuNAm
   pratilabhate ātmanaś ca rāgânuśayaṃ pratijahāti |	pratilaBate AtmanaH ca rAgânuSayam pratijahAti |
   yadā duṣkhāṃ vedanāṃ vedayate tadā dveṣacariteṣu satveṣu mahākaruṇāṃ	yadA duzKAm vedanAm vedayate tadA dveza-caritezu satvezu mahA-karuNAm
   pratilabhate ātmanaś ca doṣânuśayaṃ prajahāti |	pratilaBate AtmanaH ca dozânuSayam prajahAti |
   yadâduṣkhâsukhāṃ vedanāṃ mohacariteṣu satyeṣu mahākaruṇāṃ pratilabhate |	yadâduzKâ-suKAm vedanAm moha-caritezu satyezu mahA-karuNAm pratilaBate |
   ātmanaś ca mohânuśayaṃ prajahāti |	AtmanaH ca mohânuSayam prajahAti |
   sa sukhāyāṃ vedanāyāṃ nânunīyate |	sa suKAyAm vedanAyAm nânunIyate |
   anunayasamudghātaṃ cârjayati |	anunaya-samudGAtam cârjayati |
   duṣkhāyāṃ vedanāyāṃ na pratihanyate prati-	duzKAyAm vedanAyAm na pratihanyate prati-
   [ Bendall ed p233 ---> ]	[ Bet-dalt ed p233 ---> ]
   ghasamudghātaṃ cârjayati |	Gasam-udGAtam cârjayati |
   aduṣkhâsukhāyāṃ vedanāyāṃ nâvidyāgato bhavati |	aduzKâ-suKAyAm vedanAyAm nâvidyA-gataH Bavati |
   avidyāsamudghātaṃ cârjayati |	avidyA-samudGAtam cârjayati |
   sa yāṃ kāñcid vedanāṃ vetti sarvāṃ tām anityaveditāṃ vetti |	sa yAm kAQcid vedanAm vetti sarvAm tAm anitya-veditAm vetti |
   sarvāṃ tāṃ duṣkhaveditāṃ vetti |	sarvAm tAm duzKa-veditAm vetti |
   anātmaveditāṃ vetti |	anAtma-veditAm vetti |
   sa sukhāyāṃ vedanāyām anityavedito bhavati |	sa suKAyAm vedanAyAm anitya-veditaH Bavati |
   duṣkhāyāṃ vedanāyāṃ śalyavedito bhavati |	duzKAyAm vedanAyAm Salya-veditaH Bavati |
   aduṣkhâsukhāyāṃ vedanāyāṃ śāntivedito bhavati |	aduzKâ-suKAyAm vedanAyAm SAnti-veditaH Bavati |
   iti hi yat sukhaṃ tad anityaṃ yad duṣkhaṃ sukham eva tat |	iti hi yat suKam tat anityam yat duzKam suKam eva tat |
   yad aduṣkhâsukhaṃ tad anātmakam ity ādi ||	yat aduzKâ-suKam tat anAtmakam iti Adi ||
   āryâkṣayamatisūtre 'py uktaṃ |	Aryâ-kzayam-atisUtre api uktam |
   duṣkhayā vedanayā spṛṣṭaḥ sarvapāpâkṣaṇôpapanneṣu satveṣu mahākaruṇām	duzKayA vedanayA spRzwaH sarva-pApâkzaNô-papannezu satvezu mahA-karuNAm
   utpādayati ||	utpAdayati ||
   pe ||api tu khalu punar abhiniveśo vedanā parigraho vedanôpādānaṃ	pe ||-api tu Kalu punar aBiniveSaH vedanA parigrahaH vedanôpAdAnam
   vedanôpalambho vedanā viparyāso vedanā vikalpo vedanêty ādi ||	vedanô-palamBaH vedanA viparyAsaH vedanA vikalpaH vedanêti Adi ||
   dharmasaṃgītisūtre 'py uktaṃ ||	Darma-saMgIti-sUtre api uktam ||
   vedanânubhavaḥ proktaḥ |	vedanânuBavaH proktaH |
   kenâsāv anubhūyate |	kenâsO anuBUyate |
   vedako vedanād anyaḥ pṛthagbhūto na vidyate ||	vedakaH vedanAt anyaH pRTak-BUtaH na vidyate ||
   evaṃ smṛtir upastheyā vedanāyāṃ vicakṣaṇaiḥ |	evam smRtiH upasTeyAH vedanAyAm vicakzaNEH |
   yathā bodhis tathā hy eṣā śāntā śuddhā prabhāsvarā ||	yaTA boDiH taTA hi ezA SAntA SudDA praBAsvarA ||
   etat samāsato vedanāsmṛtyupasthānam ||	etat samAsatas vedanA-smRti-upasTAnam ||
   cittasmṛtyupasthānaṃ tu yathâryaratnakūṭe |	citta-smRti-upasTAnam tu yaTârya-ratna-kUwe |
   sâivaṃ cittaṃ parigaveṣate |	sâivam cittam parigavezate |
   katarat tu cittaṃ |	katarat tu cittam |
   rajyati vā duṣyati vā muhyati vā |	rajyati vA duzyati vA muhyati vA |
   kim atītam anāgataṃ pratyutpannaṃ vêti |	kim atItam anAgatam pratyutpannam vêti |
   tatra yad atītaṃ-	tatra yat atItaM-
   [ Bendall ed p234 ---> ]	[ Bet-dalt ed p234 ---> ]
   tat kṣīṇaṃ |	tat kzINam |
   yad anāgataṃ tad asaṃprāptaṃ |	yat anAgatam tat asaMprAptam |
   pratyutpannasya sthitir nâsti |	pratyutpannasya sTitiH nâsti |
   cittaṃ hi kāśyapa nâdhyātmaṃ na bahirdhā nôbhayam antareṇôpalabhyate |	cittam hi kASyapa nâDi-Atmam na bahirDA nôBayam antareNôpalaByate |
   cittaṃ hi kāśyapârūpam anidarśanam apratigham avijñaptikam apratiṣṭham	cittam hi kASyapâ-rUpam anidarSanam apratiGam avijQaptikam apratizWam
   [ Cambridge MS f105b ---> ]	[ Cambridge M f105B ---> ]
   aniketaṃ |	aniketam |
   cittaṃ hi kāśyapa sarvabuddhair na dṛṣṭaṃ |	cittam hi kASyapa sarva-budDEH na dRzwam |
   na paśyanti na drakṣyanti yat sarvabuddhair na dṛṣṭaṃ |na paśyanti na	na paSyanti na drakzyanti yat sarva-budDEH na dRzwam |na paSyanti na
   drakṣyanti |	drakzyanti |
   kīdṛśas tasya pracāro draṣṭavyaḥ |	kIdRSaH tasya pracAraH drazwavyaH |
   anyatra vitathapatitayā saṃjñayā dharmāḥ pravartante |	anyatra vitaTa-pati-tayA saMjQayA DarmAH pravartante |
   cittaṃ hi kāśyapa māyāsadṛśam abhūtaparikalpanayā vividhām upapattiṃ	cittam hi kASyapa mAyA-sadRSam aBUta-parikalpanayA viviDAm upapattim
   parigṛhṇāti ||pe ||	parigRhNAti ||pe ||
   cittaṃ hi kāśyapa nadīsrotaḥsadṛśam anavasthitam utpannabhagnavilīnaṃ |	cittam hi kASyapa nadI-srotaH-sadRSam anavasTitam utpanna-Bagna-vilInam |
   cittaṃ hi kāśyapa dīpârcciḥsadṛśaṃ hetupratyayatayā pravartate |	cittam hi kASyapa dIpâ-rcciH-sadRSam hetu-pratyaya-tayA pravartate |
   cittaṃ hi kāśyapa vidyutsadṛśaṃ kṣaṇabhaṅgânavasthitam |	cittam hi kASyapa vidyut-sadRSam kzaNa-BaFgâ-nava-sTitam |
   cittaṃ hi kāśyapâkāśasadṛśam āgantukaiḥ kleśair upakliśyate |	cittam hi kASyapâkASa-sadRSam AgantukEH kleSEH upakliSyate |
   pe ||cittaṃ hi kāśyapa pāpamitrasadṛśaṃ sarvaduṣkhasaṃjananatayā |	pe ||cittam hi kASyapa pApa-mitra-sadRSam sarva-duzKa-saMjanana-tayA |
   pe |	pe |
   cittaṃ hi kāśyapa matsyabaḍiśasadṛśaṃ duṣkhe sukhasaṃjñayā |	cittam hi kASyapa matsya-baxiSa-sadRSam duzKe suKa-saMjQayA |
   tathā nīlamakṣikāsadṛśam aśucau śucisaṃjñayā |	taTA nIla-makzikA-sadRSam aSucO Suci-saMjQayA |
   cittaṃ hi kāśyapa pratyarthikasadṛśaṃ vividhakāraṇâkaraṇatayā |	cittam hi kASyapa pratyarTika-sadRSam viviDa-kAraNâ-karaNa-tayA |
   cittaṃ hi ojohārayakṣasadṛśaṃ sadā vivaragaveṣaṇatayā |	cittam hi ojaH-hAra-yakza-sadRSam sadA vivara-gavezaNa-tayA |
   evaṃ corasadṛśaṃ sarvakuśalamūlamuṣaṇatayā |	evam cora-sadRSam sarva-kuSala-mUlamuzaNa-tayA |
   cittaṃ hi kāśyapa rūpârāmaṃ pataṅganetrasadṛśaṃ |	cittam hi kASyapa rUpârAmam pataFga-netra-sadRSam |
   cittaṃ hi kāśyapa śabdârāmaṃ saṃgrāmabherīsadṛśaṃ |	cittam hi kASyapa SabdârAmam saMgrAma-BerI-sadRSam |
   cittaṃ hi kāśyapa gandhârāmaṃ varāhêvâśucimadhye |	cittam hi kASyapa ganDârAmam varAhê-vâSuci-maDye |
   cittaṃ hi kāśyapa rasârāmaṃ rathâvaśeṣabhoktṛceṭīsadṛśaṃ |	cittam hi kASyapa rasârAmam raTâ-vaSeza-BoktR-cewI-sadRSam |
   cittaṃ hi kāśyapa sparśârāmaṃ makṣikêva tailapātre |	cittam hi kASyapa sparSârAmam makzikêva tEla-pAtre |
   cittaṃ hi kāśyapa parigaveṣyamāṇaṃ na labhyate |	cittam hi kASyapa parigavezyamANam na laByate |
   yan na labhyate tan nôpalabhyate |	yat na laByate tat nôpalaByate |
   yan nôpalabhyate tan nâivâtītaṃ nânāgataṃ na pratyutpannaṃ |	yat nôpalaByate tat nâivâtItam nâna-Agatam na pratyutpannam |
   yan nâivâtītaṃ nânāgataṃ na pratyutpannaṃ tat tryadhvasamatikrāntaṃ |	yat nâivâti-itam nâna-Agatam na pratyutpannam tat tri-aDvasamatikrAntam |
   yat tryadhvasamatikrāntaṃ tan nêvâsti na nâstîty ādi ||	yat tri-aDvasamatikrAntam tat nêvâsti na nâstîti Adi ||
   [ Bendall ed p235 ---> ]	[ Bet-dalt ed p235 ---> ]
   āryaratnacūḍasūtre 'py āha | sa cittaṃ parigaveṣamāṇo nâdhyātmaṃ cittaṃ	Arya-ratna-cUxa-sUtre api Aha | sa cittam parigavezamANaH nâDi-Atmam cittam
   samanupaśyati |	samanupaSyati |
   na bahirdhā cittaṃ samanupaśyati |na skandheṣu cittaṃ samanupaśyati |	na bahirDA cittam samanupaSyati |na skanDezu cittam samanupaSyati |
   na dhātuṣu cittaṃ samanupaśyati |	na DAtuzu cittam samanupaSyati |
   nâyataneṣu cittaṃ samanupaśyati |	nâyatanezu cittam samanupaSyati |
   sa cittam asamanupaśyaṃś cittadhārāṃ paryeṣate |	sa cittam asamanupaSyan citta-DArAm paryezate |
   kutaḥ cittasyôtpattir iti |	kutas cittasyôt-pattiH iti |
   tasyâivaṃ bhavati ālambane sati cittam utpadyate |	tasyâivam Bavati Alambane sati cittam utpadyate |
   tat kim anyad ālambanam |	tat kim anyat Alambanam |
   atha yad evâlambanaṃ tad eva cittaṃ |	aTa yat evâlambanam tat eva cittam |
   yadi tāvad anyad ālambanam anyac cittaṃ |	yadi tAvat anyat Alambanam anyat cittam |
   tad dvicittatā bhaviṣyati |	tat dvi-citta-tA Bavizyati |
   atha yad evâlambanaṃ tad eva cittaṃ |	aTa yat evâlambanam tat eva cittam |
   tat kathaṃ cittaṃ cittaṃ samanupaśyati |	tat kaTam cittam cittam samanupaSyati |
   na hi cittaṃ cittaṃ samanupaśyati |	na hi cittam cittam samanupaSyati |
   tad yathā na tayâivâsidhārayā	tat yaTA na tayâivâsi-DArayA
   [ Cambridge MS f106a ---> ]	[ Cambridge M f106aH ---> ]
   sâivâsidhārā śakyate chettum |	sâivâsiDArA Sakyate Cettum |
   na tenâivâṅguly-agreṇa tad evâṅguly-agraṃ spraṣṭuṃ śakyate |	na tet-âivâFguli--agreNa tat evâFgulI--agram sprazwum Sakyate |
   nâiva cittena tad eva cittaṃ śakyate draṣṭum ||	nâiva cittena tat eva cittam Sakyate drazwum ||
   pe ||punar aparaṃ kulaputra yad upadrutapradrutânavasthitapracārasya	pe ||punar aparam kula-putra yat upadruta-pradrutâ-nava-sTita-pracArasya
   vānaramārutasadṛśasya |	vAnara-mAruta-sadRSasya |
   pe |	pe |
   dūraṃgamacāriṇo 'śarīrasya laghuparivartino viṣayalolasya	dUraMgama-cAriNaH aSarIrasya laGu-parivartinaH vizaya-lolasya
   ṣaḍāyatanagocarasyâparâparasaṃprayuktasya cittasyâvasthānām	zaz-Ayatana-gocarasyâparâ-para-saMprayuktasya cittasyâvasTAnAm
   ekâgratâśaraṇam aviśaraṇaṃ śamathâikâgratâvikṣepêty ucyate cittasya smṛtir	ekâgratâ-SaraNam aviSaraNam SamaTâikâgratâvikzepêti ucyate cittasya smRtiH-
   iti ||	iti ||
   [ Bendall ed p236 ---> ]	[ Bet-dalt ed p236 ---> ]
   āryâkṣayamatisūtre 'py uktaṃ |viṭhapanāyāṃ mayā yogaḥ karaṇīyaḥ |	Aryâ-kzayam-atisUtre api uktam |viWapanAyAm mayA yogaH karaNIyaH |
   iyaṃ ca cittadharmatā na vihātavyā |	iyam ca citta-DarmatA na vihAtavyA |
   tatra katamā cittadharmatā |	tatra katamA citta-DarmatA |
   katamā viṭhapanā |	katamA viWapanAH |
   māyôpamaṃ cittam iyam ucyate cittadharmatā |	mAyô-pamam cittam iyam ucyate citta-DarmatA |
   yat punaḥ sarvasvaṃ parityajya sarvabuddhakṣetrapariśuddhaye	yat punar sarva-svam parityajya sarva-budDa-kzetra-pariSudDaye
   pariṇāmayatîtîyam ucyate viṭhapanêty ādi ||	pariNAmayatîtîyam ucyate viWapanêti Adi ||
   dharmasmṛtyupasthānaṃ tu ||yathā tāvad atrâha |	Darma-smRti-upasTAnam tu ||yaTA tAvat atrâha |
   dharme dharmânudarśī viharan bodhisatvo na kañcid dharmaṃ samanupaśyati |	Darme DarmânudarSI viharan boDisatvaH na kaQcid Darmam samanupaSyati |
   yato na buddhadharmā yato na bodhiḥ |	yatas na budDa-DarmA yatas na boDiH |
