   Hayagrīvavidyā	HayagrIva-vidyA
   dhāva dhāva ca bhagavā hayagrīva khāda khāda paramaṃtrām / rakṣa rakṣa	DAva DAva ca BagavAH hayagrIva KAda KAda para-maMtrAm / rakza rakza
   kṣamasva kṣamasva sa mayābhihitāṃ mantrām / siddhiṃ me diśadiśa āviśa	kzamasva kzamasva sa mayA-aBihitAm mantrAm / sidDim me diSa-diSaH AviSa
   āviśa / ghorapiśāca sarvagraheṣvapratihato mama varavajradaṃṣṭra kiṃ	AviSa / Gora-piSAca sarva-grahezu-apratihataH mama vara-vajra-daMzwra kim
   cirāpayasi / idaṃ duṣṭagrahaṃ duṣṭasattvaṃ duṣṭapiśācaṃ vā dhuna dhuna	cira-apayasi / idam duzwa-graham duzwa-sattvam duzwa-piSAcam vA Duna Duna
   vidhuna vidhuna kampa kampa matha matha pramatha pramatha / tathāgatājñāṃ	viDuna viDuna kampa kampa maTa maTa pramaTa pramaTe / taTAgata-AjQAm
   pālaya buddhadharmasaṃghānujñātaṃ me karma śīghraṃ (Hgv 44) kuru kuru mā	pAlaya budDa-Darma-saMGa-anujQAtam me karma SIGram (Hgu 44) kuru kuru mA
   vilamba / hayagrīvāya phaṭ vajrakhurāya phaṭ vajradaṃṣṭrāya phaṭ	vilamba / hayagrIvAya Paw vajra-KurAya Paw vajra-daMzwrAya Paw-
   vajradaṃṣṭrotkaṭabhayabhairavāya phaṭ / paravidyāsaṃbhakṣaṇāya phaṭ /	vajra-daMzwra-utkawa-Baya-BEravAya Paw / para-vidyA-saMBakzaNAya Paw /
   paramantravināśakāya phaṭ / sarvagrahotsādakāya phaṭ / sarvaviṣaghātakāya	para-mantra-vinASakAya Paw / sarva-graha-utsAdakAya Paw / sarva-viza-GAtakAya
   phaṭ / sarvagraheṣvapratihatāya phaṭ / vaḍavāmukhāya phaṭ /	Paw / sarva-grahezu-apratihatAya Paw / vaxavAmuKAya Paw /
   sarvagrahapiśācān me vaśamānaya / yāvanto mamaye kecitahitaiṣiṇastān	sarva-graha-piSAcAn me vaSam-Anaya / yAvantaH mamaye kecita-hita-eziNaH-tAn
   sarvān vaḍavāmukhena nikṛntaya phaṭ / namo nama āryāvalokiteśvarāya	sarvAn vaxavAmuKena nikRntaya Paw / namaH namaH Arya-avalokita-ISvarAya
   bodhisattvāya mahāsattvāya / sidhyantu mama maṃtrapadā hayagrīvo bhagavān	boDisattvAya mahAsattvAya / siDyantu mama maMtra-padAH hayagrIvaH BagavAn
   ājñāpayati svāhā /	AjQApayati svAhA /
   ayaṃ hayagrīvavidyā rājā paṭhitasiddhaḥ upacāraḥ ātmarakṣājāpena pararakṣā	ayam hayagrIva-vidyA rAjA paWita-sidDaH upacAraH Atma-rakzA-jApena para-rakzA
   paṃcaraṃgīsūtram ekaviṃśatigranthayaḥ kṛtvā bandhitavyam / yāvajīvaṃ rakṣā	paMcaraMgI-sUtram ekaviMSati-granTayaH kRtvA banDitavyam / yAvajIvam rakzA
   kṛtā bhavati / ḍāinīgrahagṛhītasya pratikṛtiṃ kṛtvā piṇḍaśastreṇa	kRtA Bavati / xAinI-graha-gRhItasya pratikRtim kRtvA piNxa-SastreNa
   chettavyā / sarvaparakṛtā maṃtrāśchinnā bhavanti sarvaśatravastambhanaṃ	CettavyAH / sarva-para-kRtAH maMtrAH-CinnAH Bavanti sarva-Satra-vastamBanam
   manasā vyavahāre svakham mukhe kṛtvā vidyā japtayā uttarāyati /	manasA vyavahAre svaKam muKe kRtvA vidyA japtayA uttarAyati /
   spṛṣṭāveśaneṣusnātaṃ śucivastraprāvṛtaṃ śucau pradeśe sumanasāsaṃbaddhā	spRzwa-AveSana-izu-snAtam Suci-vastra-prAvRtam SucO pradeSe sumanasA-asaMbadDA
   āveśaye śuklavaliryathālaṃbhena / candragrahe sūryagrahe ghṛtaṃ	AveSaye Sukla-valiH-yaTAlaMBena / candra-grahe sUrya-grahe GRtam
   tāmrabhājane kṛtvā tāvajjepadyāvaccandro mukto bhavati taṃ ghṛtaṃ pive	tAmra-BAjane kRtvA tAvat-jepat-yAvat-candraH muktaH Bavati tam GRtam pive
   medhāvī bhavati ekenoddeśena ślokaśatamudgṛṇhāti / padmāṃ juhe	meDAvI Bavati ekena-uddeSena Sloka-Satam-udgRNhAti / padmAm juhe
   ghṛtamakṣayaṃ bhavati / atha sādhitumicchet / candanamayaṃ	GRtam-akzayam Bavati / aTa sADitum-icCet / candana-mayam
   lokeśvarapratimā kartavyā / dakṣiṇenāryavajradharaḥ /	loka-ISvara-pratimA kartavyA / dakziNena-Arya-vajra-DaraH /
   vāmenāryāvalokiteśvaraḥ (Hgv 45) trimūrtiḥ kāryaḥ / sarvopari vaḍavāmukhaḥ	vAmena-AryAvalokita-ISvaraH (Hgu 45) trimUrtiH kAryaH / sarva-upari vaxavAmuKaH
   paravidyāsaṃbhakṣaṇaḥ / tasyāgrataḥ ayaṃ hayagrīvavidyārājam aṣṭasahasraṃ	para-vidyA-saMBakzaNaH / tasya-agratas ayam hayagrIva-vidyA-rAjam azwa-sahasram
   japet / tataḥ sarvakarmāṇi kuryāt / spṛṣṭāveśanaṃ gugguladhūpena /	japet / tatas sarva-karmANi kuryAt / spRzwa-AveSanam guggula-DUpena /
   satatajāpena sarvakāryasiddhirbhavati / sarvaḍāinī dṛṣṭamātrā vaśībhavati	satata-jApena sarva-kArya-sidDiH-Bavati / sarvaxAinI dRzwa-mAtrA vaSIBavati
   / bhasmanā sarṣapeṇa udakena sapta japtena rakṣā kartavyā / sīmābandhaḥ	/ BasmanA sarzapeNa udakena sapta japtena rakzA kartavyA / sImAbanDaH
   kṛto bhavati / sarvamudrāmokṣaṇam udakena vaśīkaraṇaṃ phalapuṣpādyaiḥ /	kRtaH Bavati / sarva-mudrA-mokzaNam udakena vaSIkaraNam Pala-puzpa-AdyEH /
   ayaṃ paṭhitasiddhaḥ / asādhita eva sarvakarmāṇi kurute // 0 //	ayam paWita-sidDaH / asADitaH eva sarva-karmANi kurute // 0 //
