   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   vyāsarūpaṃ vibhuḥ kṛtvā saṃharetsa yuge yuge /	vyAsa rUpam viBuH kRtvA saMharet sa yuge yuge /
   aṣṭalakṣapramāṇe tu dvāpare dvāpare sadā // RKV_1.28 //	azwa lakza pramANe tu dvApare dvApare sadA // RKV_1.28 //
   tadaṣṭādaśadhā kṛtvā bhūloke 'smin prabhāṣyate /	tat azwAdaSaDA kRtvA BU loke asmin praBAzyate /
   adyāpi devaloke tacchatakoṭipravistaram // RKV_1.29 //	adya api deva loke tat Sata kowi pravistaram // RKV_1.29 //
   tathātra caturlakṣaṃ saṃkṣepeṇa niveśitam /	taTA atra catur lakzam saMkzepeNa niveSitam /
   purāṇāni daśāṣṭau ca sāmprataṃ tadihocyate /	purANAni daSa azwO ca sAmpratam tat iha ucyate /
   nāmatastāni vakṣyāmi śṛṇu tvamṛṣisattama // RKV_1.30 //	nAmataH tAni vakzyAmi SRNu tvam Rzi sattamaH // RKV_1.30 //
   sargaśca pratisargaśca vaṃśo manvantarāṇi ca /	sargaH ca pratisargaH ca vaMSaH manvantarANi ca /
   vaṃśānucaritaṃ caiva purāṇaṃ pañcalakṣaṇam // RKV_1.31 //	vaMSAnucaritam ca eva purANam paQca lakzaNam // RKV_1.31 //
   brāhmaṃ purāṇaṃ tatrādyaṃ saṃhitāyāṃ vibhūṣitam /	brAhmam purANam tatra Adyam saMhitAyAm viBUzitam /
   ślokānāṃ daśasāhasraṃ nānāpuṇyakathāyutam // RKV_1.32 //	SlokAnAm daSa sAhasram nAnA puNya kaTA yutam // RKV_1.32 //
   pādmaṃ ca pañcapañcāśatsahasrāṇi nigadyate /	pAdmam ca paQca paQcASat sahasrANi nigadyate /
   tṛtīyaṃ vaiṣṇavaṃnāma trayoviṃśatisaṃkhyayā // RKV_1.33 //	tRtIyam vEzNavaMnAma trayoviMSati saMKyayA // RKV_1.33 //
   caturthaṃ vāyunā proktaṃ vāyavīyamiti smṛtam /	caturTam vAyunA proktam vAyavIyam iti smRtam /
   śivabhaktisamāyogācchaivaṃ taccāparākhyayā // RKV_1.34 //	Siva Bakti samAyogAt SEvam tat ca apara AKyayA // RKV_1.34 //
   caturviṃśatisaṃkhyātaṃ sahasrāṇi tu śaunaka /	caturviMSati saMKyAtam sahasrANi tu SOnakaH /
   caturbhiḥ parvabhiḥ proktaṃ bhaviṣyaṃ pañcamaṃ tathā // RKV_1.35 //	caturBiH parvaBiH proktam Bavizyam paQcamam taTA // RKV_1.35 //
   caturdaśasahasrāṇi tathā pañca śatāni tat /	caturdaSa sahasrANi taTA paQca SatAni tat /
   mārkaṇḍaṃ navasāhasraṃ ṣaṣṭhaṃ tatparikīrtitam // RKV_1.36 //	mArkaNxam nava sAhasram zazWam tat parikIrtitam // RKV_1.36 //
   āgneyaṃ saptamaṃ proktaṃ sahasrāṇi tu ṣoḍaśa /	Agneyam saptamam proktam sahasrANi tu zoxaSa /
   aṣṭamaṃ nāradīyaṃ tu proktaṃ vai pañcaviṃśatiḥ // RKV_1.37 //	azwamam nAradIyam tu proktam vE paQcaviMSatiH // RKV_1.37 //
   navamaṃ bhagavannāma bhāgadvayavibhūṣitam /	navamam Bagavat nAma BAga dvaya viBUzitam /
   tadaṣṭādaśasāhasraṃ procyate granthasaṃkhyayā // RKV_1.38 //	tad azwAdaSa sAhasram procyate granTa saMKyayA // RKV_1.38 //
   daśamaṃ brahmavaivartaṃ tāvatsaṃkhyam ihocyate /	daSamam brahmavEvartam tAvat saMKyam iha ucyate /
   laiṅgamekādaśaṃ jñeyaṃ tathaikādaśasaṃkhyayā // RKV_1.39 //	lEFgam ekAdaSam jQeyam taTA ekAdaSa saMKyayA // RKV_1.39 //
   bhāgadvayaṃ viracitaṃ talliṅgamṛṣipuṃgava /	BAga dvayam viracitam tad liFgam Rzi puMgavaH /
   caturviṃśatisāhasraṃ vārāhaṃ dvādaśaṃ viduḥ // RKV_1.40 //	caturviMSati sAhasram vArAham dvAdaSam viduH // RKV_1.40 //
   vibhaktaṃ saptabhiḥ khaṇḍaiḥ skāndaṃ bhāgyavatāṃ vara /	viBaktam saptaBiH KaNxEH skAndam BAgyavatAm varaH /
   tadekāśītisāhasraṃ saṃkhyayā vai nirūpitam // RKV_1.41 //	tad ekASIti sAhasram saMKyayA vE nirUpitam // RKV_1.41 //
   tatastu vāmanaṃ nāma caturdaśatamaṃ smṛtam /	tatas tu vAmanam nAma caturdaSatamam smRtam /
   saṃkhyayā daśasāhasraṃ proktaṃ kulapate purā // RKV_1.42 //	saMKyayA daSa sAhasram proktam kula pate purA // RKV_1.42 //
   kaurmaṃ pañcadaśaṃ prāhur bhāgadvayavibhūṣitam /	kOrmam paQcadaSam prAhuH BAga dvaya viBUzitam /
   daśasaptasahasrāṇi purā sāṃkhyapate kalau // RKV_1.43 //	daSa sapta sahasrANi purA sAMKya pate kalO // RKV_1.43 //
   mātsyaṃ matsyena yatproktaṃ manave ṣoḍaśaṃ kramāt /	mAtsyam matsyena yat proktam manave zoxaSam kramAt /
   taccaturdaśasāhasraṃ saṃkhyayā vadatāṃ vara // RKV_1.44 //	tat caturdaSa sAhasram saMKyayA vadatAm varaH // RKV_1.44 //
   gāruḍaṃ saptadaśamaṃ smṛtaṃ caikonaviṃśatiḥ /	gAruxam saptadaSamam smRtam ca ekonaviMSatiH /
   aṣṭādaśaṃ tu brahmāṇḍaṃ bhāgadvayavibhūṣitam // RKV_1.45 //	azwAdaSam tu brahmANxam BAga dvaya viBUzitam // RKV_1.45 //
   tacca dvādaśasāhasraṃ śatamaṣṭasamanvitam /	tat ca dvAdaSa sAhasram Satam azwa samanvitam /
   tathaivopapurāṇāni yāni coktāni vedhasā // RKV_1.46 //	taTA eva upapurANAni yAni ca uktAni veDasA // RKV_1.46 //
   idaṃ brahmapurāṇasya sulabhaṃ sauramuttamam /	idam brahma purANasya sulaBam sOram uttamam /
   saṃhitādvayasaṃyuktaṃ puṇyaṃ śivakathāśrayam // RKV_1.47 //	saMhitA dvaya saMyuktam puNyam Siva kaTA ASrayam // RKV_1.47 //
   ādyā sanatkumāroktā dvitīyā sūryabhāṣitā /	AdyA sanatkumAra uktA dvitIyA sUrya BAzitAH /
   sanatkumāranāmnā hi tadvikhyātaṃ mahāmune // RKV_1.48 //	sanatkumAra nAmnA hi tat viKyAtam mahA mune // RKV_1.48 //
   dvitīyaṃ nārasiṃhaṃ ca purāṇe pādmasaṃjñite /	dvitIyam nArasiMham ca purANe pAdma saMjQite /
   śaukeyaṃ hi tṛtīyaṃ tu purāṇe vaiṣṇave matam // RKV_1.49 //	SOkeyam hi tRtIyam tu purANe vEzNave matam // RKV_1.49 //
   bārhaspatyaṃ caturthaṃ ca vāyavyaṃ saṃmataṃ sadā /	bArhaspatyam caturTam ca vAyavyam saMmatam sadA /
   daurvāsasaṃ pañcamaṃ ca smṛtaṃ bhāgavate sadā // RKV_1.50 //	dOrvAsasam paQcamam ca smRtam BAgavate sadA // RKV_1.50 //
   bhaviṣye nāradoktaṃ ca sūribhiḥ kathitaṃ purā /	Bavizye nArada uktam ca sUriBiH kaTitam purA /
   kāpilaṃ mānavaṃ caiva tathaivośanaseritam // RKV_1.51 //	kApilam mAnavam ca eva taTA eva uSanasA Iritam // RKV_1.51 //
   brahmāṇḍaṃ vāruṇaṃ cātha kālikādvayameva ca /	brahmANxam vAruNam ca aTa kAlikA dvayam eva ca /
   māheśvaraṃ tathā sāmbaṃ sauraṃ sarvārthasaṃcayam // RKV_1.52 //	mAheSvaram taTA sAmbam sOram sarva arTa saMcayam // RKV_1.52 //
   pārāśaraṃ bhāgavataṃ kaurmaṃ cāṣṭādaśaṃ kramāt /	pArASaram BAgavatam kOrmam ca azwAdaSam kramAt /
   etānyupapurāṇāni mayoktāni yathākramam // RKV_1.53 //	etAni upapurANAni mayA uktAni yaTAkramam // RKV_1.53 //
   purāṇasaṃhitāmetāṃ yaḥ paṭhedvā śṛṇoti ca /	purANa saMhitAm etAm yaH paWet vA SRNoti ca /
   so 'nantapuṇyabhāgī syānmṛto brahmapuraṃ vrajet // RKV_1.54 //	saH ananta puNya BAgI syAt mRtaH brahma puram vrajet // RKV_1.54 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe purāṇasaṃhitāvarṇanām prathamo 'dhyāyaḥ ||	Avantya KaNxe revAKaNxe purANa saMhitA varNanAm praTamaH aDyAyaH ||
   RKV adhyāya 2	RKV aDyAya 2
   sūta uvāca // RKV_2.1 //	sUtaH uvAca // RKV_2.1 //
   narmadāyāstu māhātmyaṃ kṛṣṇadvaipāyano 'bravīt /	narmadAyAH tu mAhAtmyam kRzNadvEpAyanaH abravIt /
   tatte 'haṃ sampravakṣyāmi yattvayā paripṛcchitam // RKV_2.2 //	tat te aham sampravakzyAmi yat tvayA paripRcCitam // RKV_2.2 //
   vistaraṃ narmadāyāstu tīrthānāṃ munisattama /	vistaram narmadAyAH tu tIrTAnAm muni sattamaH /
   ko 'nyaḥ śakto 'sti vai vaktumṛte brahmāṇamīśvaram // RKV_2.3 //	kaH anyaH SaktaH asti vE vaktum Rte brahmANam ISvaram // RKV_2.3 //
   etameva purā praśnaṃ pṛṣṭavāñjanamejayaḥ /	etam eva purA praSnam pRzwavAn janamejayaH /
   vaiśaṃpāyanasaṃjñaṃ tu śiṣyaṃ dvaipāyanasya ha // RKV_2.4 //	vESaMpAyana saMjQam tu Sizyam dvEpAyanasya ha // RKV_2.4 //
   revātīrthāśritaṃ puṇyaṃ tatte vakṣyāmi śaunaka /	revA tIrTa ASritam puNyam tat te vakzyAmi SOnakaH /
   purā pārīkṣito rājā yajñādīkṣāsu dīkṣitaḥ // RKV_2.5 //	purA pArIkzitaH rAjA yajQa adIkzAsu dIkzitaH // RKV_2.5 //
   saṃbhṛte tu havirdravye vartamāneṣu karmasu /	saMBRte tu haviH dravye vartamAnezu karmasu /
   āsīneṣu dvijāgryeṣu hūyamāne hutāśane // RKV_2.6 //	AsInezu dvijAgryezu hUyamAne hutASane // RKV_2.6 //
   vartamānāsu sarvatra tathā dharmakathāsu ca /	vartamAnAsu sarvatra taTA Darma kaTAsu ca /
   śrūyamāṇe tathā śabde janairukte tvaharniśam // RKV_2.7 //	SrUyamANe taTA Sabde janEH ukte tu aharniSam // RKV_2.7 //
   yajñabhūmau kulapate dīyatāṃ bhujyatām iti /	yajQa BUmO kula pate dIyatAm BujyatAm iti /
   vividhāṃśca vinodānvai kurvāṇeṣu vinodiṣu // RKV_2.8 //	viviDAn= ca vinodAn vE kurvANezu vinodizu // RKV_2.8 //
   evaṃvidhe vartamāne yajñe svargasadaḥsame /	evaMviDe vartamAne yajQe svarga sadaH same /
   vaiśaṃpāyanam āsīnaṃ papraccha janamejayaḥ // RKV_2.9 //	vESaMpAyanam AsInam papracCa janamejayaH // RKV_2.9 //
   janamejaya uvāca:	janamejayaH uvAca:
   dvaipāyanaprasādena jñānavānasi me mataḥ /	dvEpAyana prasAdena jQAnavAn asi me mataH /
   vaiśaṃpāyana tasmāt tvāṃ pṛcchāmi ṛṣisannidhau // RKV_2.10 //	vESaMpAyana tasmAt tvAm pRcCAmi Rzi sanniDO // RKV_2.10 //
   brūhi me tvaṃ purāvṛttaṃ pitḥṇāṃ tīrthasevanam /	brUhi me tvam purAvRttam pitHNAm tIrTa sevanam /
   ciraṃ nānāvidhānkleśān prāptāsta iti me śrutam // RKV_2.11 //	ciram nAnAviDAn kleSAn prAptAH te iti me Srutam // RKV_2.11 //
   kathaṃ dyūtajitāḥ pārthā mama pūrvapitāmahāḥ /	kaTam dyUta jitAH pArTAH mama pUrva pitAmahAH /
   āsamudrāṃ mahīṃ vipra bhramantastīrthalobhataḥ // RKV_2.12 //	AsamudrAm mahIm vipra BramantaH tIrTa loBataH // RKV_2.12 //
   kena te sahitāstāta bhūmibhāgān anekaśaḥ /	kena te sahitAH tAta BUmi BAgAn anekaSas /
   ceruḥ kathaya tatsarvaṃ sarvajño 'si mato mama // RKV_2.13 //	ceruH kaTaya tat sarvam sarvajQaH asi mataH mama // RKV_2.13 //
   vaiśaṃpāyana uvāca // RKV_2.14 //	vESaMpAyanaH uvAca // RKV_2.14 //
   kathayiṣyāmi bhūnātha yatpṛṣṭaṃ tu tvayā 'nagha /	kaTayizyAmi BUnATa yat pRzwam tu tvayA anaGa /
   namaskṛtya virūpākṣaṃ vedavyāsaṃ mahākavim // RKV_2.15 //	namaskRtya virUpAkzam vedavyAsam mahA kavim // RKV_2.15 //
   pitāmahāstu te pañca pāṇḍavāḥ saha kṛṣṇayā /	pitAmahAH tu te paQca pANxavAH saha kRzNayA /
   uṣitvā brāhmaṇaiḥ sārdhaṃ kāmyake vana uttame // RKV_2.16 //	uzitvA brAhmaNEH sArDam kAmyake vane uttame // RKV_2.16 //
   pradhānoddālake tatra kaśyapo 'tha mahāmatiḥ /	praDAna uddAlake tatra kaSyapaH aTa mahAmatiH /
   vibhāṇḍakaśca rājendra muruścaiva mahāmuniḥ // RKV_2.17 //	viBANxakaH ca rAja indra muruH ca eva mahA muniH // RKV_2.17 //
   pulastyo lomaśaścaiva tathānye putrapautriṇaḥ /	pulastyaH lomaSaH ca eva taTA anye putra pOtriNaH /
   snātvā niḥśeṣatīrtheṣu gatāste vindhyaparvatam // RKV_2.18 //	snAtvA niHSeza tIrTezu gatAH te vinDya parvatam // RKV_2.18 //
   te ca tatrāśramaṃ puṇyaṃ sarvairvṛkṣaiḥ samākulam /	te ca tatra ASramam puNyam sarvEH vRkzEH samAkulam /
   campakaiḥ karṇakāraiśca punnāgairnāgakesaraiḥ // RKV_2.19 //	campakEH karNakArEH ca punnAgEH nAgakesarEH // RKV_2.19 //
   bakulaiḥ kovidāraiśca dāḍimairupaśobhitam /	bakulEH kovidArEH ca dAximEH upaSoBitam /
   puṣpitairarjunaiścaiva bilvapāṭalaketakaiḥ // RKV_2.20 //	puzpitEH arjunEH ca eva bilva pAwala ketakEH // RKV_2.20 //
   kadambāmramadhūkaiśca nimbajambīratindukaiḥ /	kadamba Amra maDUkEH ca nimba jambIra tindukEH /
   nālikeraiḥ kapitthaiśca kharjūrapanasaistathā // RKV_2.21 //	nAlikerEH kapitTEH ca KarjUra panasEH taTA // RKV_2.21 //
   nānādrumalatākīrṇaṃ nānāvallībhirāvṛtam /	nAnA druma latA AkIrNam nAnA vallIBiH AvRtam /
   sapuṣpaṃ phalitaṃ kāntaṃ vanaṃ caitrarathaṃ yathā // RKV_2.22 //	sa puzpam Palitam kAntam vanam cEtraraTam yaTA // RKV_2.22 //
   jalāśrayaistu vipulaiḥ padminīkhaṇḍamaṇḍitam /	jala ASrayEH tu vipulEH padminI KaNxa maNxitam /
   sitotpalaiśca saṃchannaṃ nīlapītaiḥ sitāruṇaiḥ // RKV_2.23 //	sitotpalEH ca saMCannam nIla pItEH sita aruNEH // RKV_2.23 //
   haṃsakāraṇḍavākīrṇaṃ cakravākopaśobhitam /	haMsa kAraNxava AkIrNam cakravAka upaSoBitam /
   āḍīkākabalākābhiḥ sevitaṃ kokilādibhiḥ // RKV_2.24 //	AxI kAka balAkABiH sevitam kokila AdiBiH // RKV_2.24 //
   siṃhairvyāghrairvarāhaiśca gajaiścaiva mahotkaṭaiḥ /	siMhEH vyAGrEH varAhEH ca gajEH ca eva mahA utkawEH /
   mahiṣaiśca mahākāyaiḥ kuraṅgaiś citrakaiḥ śaśaiḥ // RKV_2.25 //	mahizEH ca mahA kAyEH kuraFgEH citrakEH SaSEH // RKV_2.25 //
   gaṇḍakaiścaiva khaḍgaiśca gomāyusurabhī yutam /	gaNxakEH ca eva KaxgEH ca gomAyu suraBI yutam /
   sāraṅgair mallakaiścaiva dvipadaiśca catuṣpadaiḥ // RKV_2.26 //	sAraFgEH mallakEH ca eva dvipadEH ca catuzpadEH // RKV_2.26 //
   tathāca kokilākīrṇaṃ manaḥkāntaṃ suśobhitam /	taTA ca kokila AkIrNam manaH kAntam su SoBitam /
   jīvaṃjīvakasaṃghaiśca nānāpakṣisamāyutam // RKV_2.27 //	jIvaMjIvaka saMGEH ca nAnA pakzi samAyutam // RKV_2.27 //
   duḥkhaśokavinirmuktaṃ sattvotkaṭamanoramam /	duHKa Soka vinirmuktam sattva utkawa manoramam /
   kṣuttṛṣārahitaṃ kāntaṃ sarvavyādhivivarjitam // RKV_2.28 //	kzuD tRzA rahitam kAntam sarva vyADi vivarjitam // RKV_2.28 //
   siṃhīstanaṃ pibantyatra kuraṃgāḥ snehasaṃyutam /	siMhI stanam pibanti atra kuraMgAH sneha saMyutam /
   mārjāramūṣakau cobhāvavalehata unmukhau // RKV_2.29 //	mArjAra mUzakO ca uBA= a valehataH unmuKO // RKV_2.29 //
   pañcāsyāḥ potakebhāśca bhoginastu kalāpinaḥ /	paQcAsyAH potaka iBAH ca BoginaH tu kalApinaH /
   dṛṣṭvā tadvipinaṃ ramyaṃ praviṣṭāḥ pāṇḍunandanāḥ // RKV_2.30 //	dRzwvA tat vipinam ramyam pravizwAH pANxu nandanAH // RKV_2.30 //
   mārkaṇḍaṃ dṛṣṭavāṃstatra taruṇādityasannibham /	mArkaNxam dRzwavAn= tatra taruNa Aditya sanniBam /
   ṛṣibhiḥ sevyamānaṃ tu nānāśāstraviśāradaiḥ // RKV_2.31 //	RziBiH sevyamAnam tu nAnA SAstra viSAradEH // RKV_2.31 //
   kulīnaiḥ sattvasampannaiḥ śaucācārasamanvitaiḥ /	kulInEH sattva sampannEH SOca AcAra samanvitEH /
   dhīsaṃgataiḥ kṣamāyuktaistrisaṃdhyaṃ japatatparaiḥ // RKV_2.32 //	DI saMgatEH kzamA yuktEH tri saMDyam japa tatparEH // RKV_2.32 //
   ṛgyajuḥsāmavihitair mantrair homaparāyaṇaiḥ /	Rc yajuH sAma vihitEH mantrEH homa parAyaNEH /
   kecitpañcāgnimadhyasthāḥ kecidekāntasaṃsthitāḥ // RKV_2.33 //	kecid paQcAgni maDya sTAH kecid ekAnta saMsTitAH // RKV_2.33 //
   ūrdhvabāhunirālambā ādityabhramaṇāḥ pare /	UrDva bAhu nirAlambAH Aditya BramaNAH pare /
   sāyaṃprātarbhujaścānye ekāhārāstathā pare // RKV_2.34 //	sAyaMprAtar BujaH ca anye eka AhArAH taTA pare // RKV_2.34 //
   dvādaśāhāttathā cānye anye māsārdhabhojanāḥ /	dvAdaSa ahAt taTA ca anye anye mAsa arDa BojanAH /
   darśe darśe tathā cānye anye śaivālabhojanāḥ // RKV_2.35 //	darSe darSe taTA ca anye anye SEvAla BojanAH // RKV_2.35 //
   piṇyākamapare 'bhujan kecit pālāśabhojanāḥ /	piNyAkam apare aBujan kecid pAlASa BojanAH /
   apare niyatāhārā vāyubhakṣyāmbubhojanāḥ // RKV_2.36 //	apare niyata AhArAH vAyuBakzya ambu BojanAH // RKV_2.36 //
