   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   kuśalaṃ kāyakarma (DhskD 3v2) vākkarma kuśalāś cittacaitasikā dharmāḥ	kuSalam kAya-karma (DhskD 3v2) vAkkarma kuSalAH citta-cEtasikAH DarmAH
   kuśalāś cittaviprayuktāḥ saṃskārāḥ / yad api tat kuśalasya	kuSalAH citta-viprayuktAH saMskArAH / yat api tat kuSalasya
   kāyakarmavākkarmaṇaḥ kuśalānāṃ cittacaitasikānāṃ kuśalānāṃ	kAya-karma-vAkkarmaNaH kuSalAnAm citta-cEtasikAnAm kuSalAnAm
   cittaviprayuktānāṃ saṃskārāṇāṃ dīrgharātraṃ iṣṭaṃ kāntaṃ priyaṃ (DhskD	citta-viprayuktAnAm saMskArANAm dIrGarAtram izwam kAntam priyam (DhskD
   3v3) manāpaṃ vipākaṃ pratisaṃvedayate tad idam ucyate puṇyam iti vā	3v3) manApam vipAkam pratisaMvedayate tat idam ucyate puNyam iti vA
   puṇyaphalam iti vā puṇyaphalavipākam iti vā /	puNya-Palam iti vA puNya-Pala-vipAkam iti vA /
   apuṇyāḥ saṃskārāḥ katame / āhākuśalaṃ kāyakarmavākkarma akuśalāś	apuNyAH saMskArAH katame / Aha-akuSalam kAya-karma-vAkkarma akuSala-AS
   cittacaitasikā dharmāḥ akuśalāś cittaviprayuktāḥ (DhskD 3v4) saṃskārā /	citta-cEtasikAH DarmAH akuSalAH citta-viprayuktAH (DhskD 3v4) saMskArAH /
   yad api tad akuśalasya kāyakarmavākkarmaṇaḥ akuśalānāṃ cittacaitasikānāṃ	yat api tat akuSalasya kAya-karma-vAkkarmaNaH akuSalAnAm citta-cEtasikAnAm
   dharmāṇām akuśalānāṃ cittaviprayuktānāṃ saṃskārāṇāṃ dīrgharātram aniṣṭam	DarmANAm akuSalAnAm citta-viprayuktAnAm saMskArANAm dIrGarAtram anizwam
   akāntam apriyam amanāpaṃ pratisaṃvedayate tad (DhskD 3v5) ucyate apuṇyam	akAntam apriyam amanApam pratisaMvedayate tat (DhskD 3v5) ucyate apuNyam
   iti vā apuṇyaphalam iti vā apuṇyaphalavipākam iti vā / ima ucyante apuṇyāḥ	iti vE apuNya-Palam iti vE apuNya-Pala-vipAkam iti vA / ime ucyante apuNyAH
   saṃskārāḥ /	saMskArAH /
   āniṃjyāḥ saṃskārāḥ katame / āha / catvāry ārūpyāṇy āniṃjyam ity ucyate //	AniMjyAH saMskArAH katame / Aha / catvAri ArUpyANi AniMjyam iti ucyate //
   katham apuṇyān saṃskārān abhisaṃskurute (DhskD 3v6) avidyāpratyayān / āha	kaTam apuNyAn saMskArAn aBisaMskurute (DhskD 3v6) avidyA-pratyayAn / Aha
   / yathā khalv ihaikatyo rāgaparyavasthito dveṣapāryavasthito	/ yaTA Kalu iha-ekatyaH rAga-paryavasTitaH dveza-pAryavasTitaH-
   mohaparyavasthitaḥ kāyena duścaritaṃ carati vācā manasā duścaritaṃ carati	moha-paryavasTitaH kAyena duScaritam carati vAcA manasA duScaritam carati
   / itīme te akuśalāḥ kāyasaṃskārā vāksaṃskārā (DhskD 3v7) manaḥsaṃskārā /	/ iti-ime te akuSalAH kAya-saMskArAH vAc-saMskArAH (DhskD 3v7) manaH-saMskArAH /
   ima ucyante apuṇyāḥ saṃskārā / yad api taddhetos tatpratyayaṃ kāyasya	ime ucyante apuNyAH saMskArAH / yat api tad-hetoH tad-pratyayam kAyasya
   bhedān narakeṣūpapadyante / tatra ca saṃskārān abhinirvartayante / evam	BedAn narakezu-upapadyante / tatra ca saMskArAn aBinirvartayante / evam
   apuṇyān saṃskārān abhisaṃskaroti avidyāpratyayān /	apuNyAn saMskArAn aBisaMskaroti avidyA-pratyayAn /
   yathā (DhskD 3v8) narakeṣv evaṃ tiryakpreteṣu /	yaTA (DhskD 3v8) narakezu evam tiryak-pretezu /
   kathaṃ puṇyān saṃskārān abhisaṃskaroti avidyāpratyayān / āha / yathā khalv	kaTam puNyAn saMskArAn aBisaMskaroti avidyA-pratyayAn / Aha / yaTA Kalu-
   ihaikatyo manuṣyasukhakeṣv avekṣāvān bhavati pratibaddhacittas / tasyaivaṃ	iha-ekatyaH manuzya-suKakezu avekzAvAn Bavati pratibadDa-cittaH / tasya-evam
   bhavaty / aho batāhaṃ manuṣyasukhakānāṃ sabhāgatāyām (DhskD 3v9)	Bavati / aho bata-aham manuzya-suKakAnAm saBA-gatAyAm (DhskD 3v9)
   upapadyeyam iti / sa taṃ prārthayamānas taddhetukaṃ saṃvartanīyaṃ kāyena	upapadyeyam iti / sa tam prArTayamAnaH tad-hetukam saMvartanIyam kAyena
   sucaritaṃ carati vācā manasā sucaritaṃ carati / iti ye te kuśalāḥ	su-caritam carati vAcA manasA su-caritam carati / iti ye te kuSalAH
   kāyasaṃskārā vā vāksaṃskārā vā manaḥsaṃskārā vā ima ucyante puṇyāḥ (DhskD	kAya-saMskArAH vA vAc-saMskArAH vA manaH-saMskArAH vE ime ucyante puNyAH (DhskD
   3v10) saṃskārāḥ / yad api taddhetu tatpratyayaṃ kāyasya bhedān	3v10) saMskArAH / yat api tad-hetu tad-pratyayam kAyasya BedAn
   manuṣyasukhakānāṃ sabhāgatāyām upapadyate / tatra ca saṃskārān	manuzya-suKakAnAm saBA-gatAyAm upapadyate / tatra ca saMskArAn
   abhinirvartayaty / evaṃ puṇyān saṃskārān abhisaṃskaroti avidyāpratyayān /	aBinirvartayati / evam puNyAn saMskArAn aBisaMskaroti avidyA-pratyayAn /
   na haivāvekṣāvān (DhskD 4r1) bhavati pratibaddhacittaḥ / api tv avidyāyāṃ	na ha-eva-avekzAvAn (DhskD 4r1) Bavati pratibadDa-cittaH / api tu avidyAyAm
   satyām avidyāsaṃcetanāhetoḥ kāyena sucaritaṃ carati vācā manasā sucaritaṃ	satyAm avidyA-saMcetana-ahetoH kAyena su-caritam carati vAcA manasA su-caritam
   carati / iti ye te kuśalāḥ kāyasaṃskārā vistareṇa yāvan manuṣyasukhakānāṃ	carati / iti ye te kuSalAH kAya-saMskArAH vistareNa yAvat manuzya-suKa-kAnAm
   sabhāgatāyām upapadyate / (DhskD 4r2) tatra ca saṃskārān abhisaṃvartayaty	saBA-gatAyAm upapadyate / (DhskD 4r2) tatra ca saMskArAn aBisaMvartayati-
   / evaṃ puṇyān saṃskārān abhisaṃskurute avidyāpratyayān /	/ evam puNyAn saMskArAn aBisaMskurute avidyA-pratyayAn /
   yathā manuṣyasukhakānām evaṃ cāturmahārājakāyikānāṃ trayastriṃśānāṃ	yaTA manuzya-suKakAnAm evam cAturmahArAja-kAyikAnAm trayastriMSAnAm
   yāmānāṃ tuṣitānāṃ nirmāṇaratīnāṃ paranirmitavaśavartināṃ /	yAmAnAm tuzitAnAm nirmANa-ratInAm paranirmita-vaSavartinAm /
   (DhskD 4r3) yathā khalv ihaiko brahmakāyikānāṃ devānām avekṣāvān bhavati	(DhskD 4r3) yaTA Kalu iha-ekaH brahmakAyikAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavati / aho batāhaṃ brahmakāyikānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham brahmakAyikAnAm
   devānāṃ sabhāgatāyām upapadyeyaṃ / sa taṃ prārthayamānaḥ taddhetos	devAnAm saBA-gatAyAm upapadyeyam / sa tam prArTayamAnaH tad-hetoH-
   tatsaṃvartanīyaṃ viviktaṃ kāmair viviktaṃ (DhskD 4r4) pāpakair akuśalair	tat-saMvartanIyam viviktam kAmEH viviktam (DhskD 4r4) pApakEH akuSalEH-
   dharmaiḥ savitarkaṃ savicāraṃ vivekajaṃ prītisukhaṃ prathamaṃ dhyānam	DarmEH sa-vitarkam sa-vicAram viveka-jam prIti-suKam praTamam DyAnam
   upasaṃpadya viharati / tathā samāpannasya yat kāyasaṃvaro vāksaṃvaraḥ	upasaMpadya viharati / taTA samApannasya yat kAya-saMvaraH vAc-saMvaraH
   ājīvapariśuddhiḥ ima ucyante puṇyāḥ saṃskārāḥ / yad api taddhetos	AjIva-pariSudDiH ime ucyante puNyAH saMskArAH / yat api tad-hetoH-
   tatpratyayaṃ (DhskD 4r5) kāyasya bhedād braḥmakāyikānāṃ devānāṃ	tad-pratyayam (DhskD 4r5) kAyasya BedAt braHmakAyikAnAm devAnAm
   sabhāgatāyām upapadyate / tatra ca saṃskārān abhinirvartayati / evaṃ	saBA-gatAyAm upapadyate / tatra ca saMskArAn aBinirvartayati / evam
   puṇyān saṃskārān abhinirvartayaty avidyāpratyayān / na haivāvekṣāvān	puNyAn saMskArAn aBinirvartayati avidyA-pratyayAn / na ha-eva-avekzAvAn
   bhavati pratibaddhacittaḥ / api (DhskD 4r6) tv avidyāyāṃ satyām	Bavati pratibadDa-cittaH / api (DhskD 4r6) tu avidyAyAm satyAm
   avidyāsaṃcetanāhetor viviktaṃ kāmair yāvat prathamaṃ dhyānam upasaṃpadya	avidyA-saMcetanA-hetoH viviktam kAmEH yAvat praTamam DyAnam upasaMpadya
   viharati / tathā samāpannasya yaḥ kāyasaṃvaro vāksaṃvaraḥ / vistareṇa	viharati / taTA samApannasya yaH kAya-saMvaraH vAc-saMvaraH / vistareNa
   yāvat / tatra ca saṃskārān abhinirvartayati / evam puṇyān (DhskD 4r7)	yAvat / tatra ca saMskArAn aBinirvartayati / evam puNyAn (DhskD 4r7)
   saṃskārān abhinirvartayaty avidyāpratyayān*/	saMskArAn aBinirvartayati avidyA-pratyayAn*/
   yathā brahmakāyikānām evaṃ brahmapurohitānāṃ mahābraḥmāṇāṃ parīttābhānāṃ	yaTA brahmakAyikAnAm evam brahma-purohitAnAm mahA-braHmANAm parItta-ABAnAm
   apramāṇābhānām ābhāsvarāṇāṃ parīttaśubhānām apramāṇaśubhānāṃ	apramANa-ABAnAm ABAsvarANAm parItta-SuBAnAm apramANa-SuBAnAm
   śubhakṛtsnānām anabhrakāṇāṃ (DhskD 4r8) puṇyaprasavānāṃ bṛhatphalānāṃ /	SuBa-kRtsnAnAm anaBrakANAm (DhskD 4r8) puNya-prasavAnAm bRhat-PalAnAm /
   eṣu sarveṣu yathāyogyāni dhyānāni vaktavyāni /	ezu sarvezu yaTAyogyAni DyAnAni vaktavyAni /
   yathā khalv ihaikatyaḥ asaṃjñisatvānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH asaMjQi-satvAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ asaṃjñisattvānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham asaMjQi-sattvAnAm
   devānāṃ (DhskD 4r9) sabhāgatāyām upapadyeyaṃ / sa taṃ prārthayamānas	devAnAm (DhskD 4r9) saBA-gatAyAm upapadyeyam / sa tam prArTayamAnas
   taddhetos tatsaṃvartanīyaṃ saṃjñām audārikato duḥkhilataḥ sthūlabhittikato	tad-hetoH tat-saMvartanIyam saMjQAm OdArikataH duHKilataH sTUla-Bittikato
   manasikaroti āsaṃjñikaṃ ca śāntataḥ praṇītato niḥsaraṇataḥ / tasya saṃjñām	manasikaroti AsaMjQikam ca SAntataH praNItataH niHsaraNataH / tasya saMjQAm
   audārikato (DhskD 4r10) duḥkhilataḥ sthūlabhittikato manasikurvataḥ	OdArikataH (DhskD 4r10) duHKilataH sTUla-Bittikatas manasikurvataH
   āsaṃjñikaṃ ca śāntataḥ praṇītato niḥsaraṇataḥ saṃjñā antarāyaty āsaṃjñikaṃ	AsaMjQikam ca SAntataH praNItataH niHsaraNataH saMjQA antarAyati AsaMjQikam
   ca saṃsthihati / yatrāsya saṃjñā antarāyaty āsaṃjñikaṃ saṃsthihaty etāvad	ca saMsTihati / yatra-asya saMjQA antarAyati AsaMjQikam saMsTihati etAvat-
   (DhskD 4v1) asaṃjñisamāpattiṃ samāpanna iti vaktavyaṃ / tathā samāpannasya	(DhskD 4v1) asaMjQi-samApattim samApannaH iti vaktavyam / taTA samApannasya
   yaḥ kāyasaṃvaro vāksaṃvaraḥ ājīvaviśuddhir ima ucyante puṇyāḥ saṃskārāḥ /	yaH kAya-saMvaraH vAc-saMvaraH AjIva-viSudDiH ime ucyante puNyAH saMskArAH /
   yad api taddhetos tatpratyayaṃ kāyasya bhedād asaṃjñisattvānāṃ	yat api tad-hetoH tad-pratyayam kAyasya BedAt asaMjQi-sattvAnAm
   sabhāgatāyām (DhskD 4v2) upapadyate / tatra ca saṃskārān	saBA-gatAyAm (DhskD 4v2) upapadyate / tatra ca saMskArAn
   abhisaṃnirvartayaty avidyāpratyayān / na haivāvekṣāvān bhavati	aBisaMnirvartayati avidyA-pratyayAn / na ha-eva-avekzAvAn Bavati
   pratibaddhacitto / 'pi tv avidyāyāṃ satyāṃ avidyābhisaṃcetanāhetoḥ saṃjñām	pratibadDa-cittaH / api tu avidyAyAm satyAm avidyA-aBisaMcetana-ahetoH saMjQAm
   audārikato duḥkhilataḥ sthūlabhittikato (DhskD 4v3) manasikurute	OdArikataH duHKilataH sTUla-Bittikatas (DhskD 4v3) manasikurute
   āsaṃjñikaṃ ca śāntataḥ praṇītato niḥsaraṇataḥ / tasya vistareṇa yāvad	AsaMjQikam ca SAntataH praNItataH niHsaraNataH / tasya vistareNa yAvat-
   āsaṃjñikaṃ saṃsthihaty etāvat asaṃjñisamāpattiṃ samāpanna iti vaktavyaṃ /	AsaMjQikam saMsTihati etAvat asaMjQi-samApattim samApannaH iti vaktavyam /
   tathā samāpannasya yaḥ kāyasaṃvaro / vistareṇa (DhskD 4v4) yāvat / tatra	taTA samApannasya yaH kAya-saMvaraH / vistareNa (DhskD 4v4) yAvat / tatra
   ca saṃskārān abhinirvartayaty / evaṃ puṇyān saṃskārān abhisaṃskaroty	ca saMskArAn aBinirvartayati / evam puNyAn saMskArAn aBisaMskaroti-
   avidyāpratyayān /	avidyA-pratyayAn /
   katham āniṃjyān saṃskārān abhisaṃskaroty avidyāpratyayān / āha / yathā	kaTam AniMjyAn saMskArAn aBisaMskaroti avidyA-pratyayAn / Aha / yaTA
   khalv ihaikatyaḥ ākāśānantyāyatanānāṃ devānām (DhskD 4v5) avekṣāvān	Kalu iha-ekatyaH AkASAnantya-AyatanAnAm devAnAm (DhskD 4v5) avekzAvAn
   bhavati pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ	Bavati pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham
   ākāśānantyāyatanānāṃ devānāṃ sabhāgatāyām upapadyeyaṃ / sa taṃ	AkASAnantya-AyatanAnAm devAnAm saBA-gatAyAm upapadyeyam / sa tam
   prārthayamānaḥ taddhetos tatsaṃvartanīyaṃ sarvaśo rūpasaṃjnānām atikramāt	prArTayamAnaH tad-hetoH tat-saMvartanIyam sarvaSas rUpa-saMjnAnAm atikramAt-
   (DhskD 4v6) pratighasaṃjñānāṃ astaṃgamān nānātvasaṃjñānām amanasikārād	(DhskD 4v6) pratiGa-saMjQAnAm astaMgamAt nAnAtva-saMjQAnAm amanasikArAt-
   anantam ākāśam ity ākāśānantyāyatanam upasaṃpadya viharati / tathā	anantam AkASam iti AkASAnantya-Ayatanam upasaMpadya viharati / taTA
   samāpannasya yā cetanā cetitaṃ cetanāmitaṃ cetayitatvaṃ (DhskD 4v7)	samApannasya yA cetanA cetitam cetanA-mitam cetayita-tvam (DhskD 4v7)
   cetanāgataṃ cittābhisaṃskāro manaskarma ima ucyante āniṃjyāḥ saṃskārāḥ /	cetana-Agatam citta-aBisaMskAraH manaskarmaH ime ucyante AniMjyAH saMskArAH /
   yad api taddhetos tatpratyayaṃ kāyasya bhedād ākāśānantyāyatanānāṃ devānāṃ	yat api tad-hetoH tad-pratyayam kAyasya BedAt AkASAnantya-AyatanAnAm devAnAm
   sabhāgatāyām upapadyate tatra ca saṃskārān (DhskD 4v8) abhinirvartayaty /	saBA-gatAyAm upapadyate tatra ca saMskArAn (DhskD 4v8) aBinirvartayati /
   evam āniṃjyān saṃskārān abhinirvartayaty avidyāpratyayān / na	evam AniMjyAn saMskArAn aBinirvartayati avidyA-pratyayAn / na
   haivāvekṣāvān bhavati pratibaddhacittaḥ / api tv avidyāyāṃ satyāṃ	ha-eva-avekzAvAn Bavati pratibadDa-cittaH / api tu avidyAyAm satyAm
   avidyābhisaṃcetanāhetoḥ sarvaśo rūpasaṃjñānāṃ samatikramād (DhskD 4v9)	avidyA-aBisaMcetana-ahetoH sarvaSas rUpa-saMjQAnAm samatikramAt (DhskD 4v9)
   vistareṇa yāvad ākāśānantyāyatanam upasaṃpadya viharati / tathā	vistareNa yAvat AkASAnantya-Ayatanam upasaMpadya viharati / taTA
   samāpannasya yā cetanā vistareṇa ima ucyante āniṃjyāḥ saṃskārā / yad api	samApannasya yA cetanAH vistareNa ime ucyante AniMjyAH saMskArAH / yat api
   taddhetos tatpratyayaṃ kāyasya bhedād ākāśānantyāyatanānāṃ (DhskD 4v10)	tad-hetoH tad-pratyayam kAyasya BedAt AkASAnantya-AyatanAnAm (DhskD 4v10)
   devānāṃ sabhāgatāyām upapadyate / tatra ca saṃskārān abhinirvartayaty /	devAnAm saBA-gatAyAm upapadyate / tatra ca saMskArAn aBinirvartayati /
   evaṃ āniṃjyān saṃskārān abhinirvartayaty avidyāpratyayān* /	evam AniMjyAn saMskArAn aBinirvartayati avidyA-pratyayAn* /
   yathākāśānantyāyatanānām evaṃ vijñānānantyāyatanānām ākiṃcanyāyatanānāṃ	yaTA-AkASAnanti-AyatanAnAm evam vijQAna-Ananti-AyatanAnAm AkiMcanya-AyatanAnAm
   (DhskD 5r1) naivasaṃjñānāsaṃjñāyatanānām eteṣāṃ pratyekapratyekasaḥ ārūpyā	(DhskD 5r1) na-eva-saMjQAna-asaMjQA-yatanAnAm etezAm pratyeka-pratyekasaH ArUpyA
   vaktavyā / iti ye te saṃskārā avidyām āgamyāvidyāṃ niśrityāvidyāṃ	vaktavyA / iti ye te saMskArAH avidyAm Agamya-avidyAm niSritya-avidyAm
   pratiṣṭhāya utpadyanti samutpadyante jāyanti saṃjāyanti samudāgacchanti	pratizWAya utpadyanti samutpadyante jAyanti saMjAyanti samudAgacCanti
   (DhskD 5r2) prādurbhavanti ima ucyante avidyāpratyayās saṃskārāḥ //	(DhskD 5r2) prAdurBavanti ime ucyante avidyA-pratyayAH saMskArAH //
   2. (saṃskārapratyayaṃ vijñānaṃ)	2. (saMskAra-pratyayam vijQAnaM)
   uddānaṃ /	uddAnam /
   hetuḥ pūrvaṃgamaṃ balaṃ saṃskārāḥ kumbhena /	hetuH pUrvaMgamam balam saMskArAH kumBena /
   catuṣkaṃ //	catuzkam //
   uddānaṃ /	uddAnam /
   lobhaḥ alobhaḥ atha cakṣuḥ saṃskṛtaṃ kumbhopamena /	loBaH aloBaH aTa cakzuH saMskRtam kumBa-upamena /
   dvitīyaṃ catuṣkaṃ //	dvitIyam catuzkam //
   saṃskārapratyayaṃ (DhskD 5r3) vijñānaṃ katamad / āha / yatha tāval	saMskAra-pratyayam (DhskD 5r3) vijQAnam katamat / Aha / yaTa tAval
   lobhasahajāṃ vedanāṃ pratītya lobhasahajasya vijñānasyābhinirvṛttir	loBa-sahajAm vedanAm pratItya loBa-sahajasya vijQAnasya-aBinirvRttiH-
   bhavati prādurbhāvaś ca dveṣasahajāṃ mohasahajāṃ vedanāṃ pratītya	Bavati prAdurBAvaH ca dveza-sahajAm moha-sahajAm vedanAm pratItya
   mohasahajasya vijñānasyābhinirvṛttir bhavati (DhskD 5r4) prādurbhāvaḥ /	moha-sahajasya vijQAnasya-aBinirvRttiH Bavati (DhskD 5r4) prAdurBAvaH /
   tad ucyate saṃskārapratyayaṃ vijñānaṃ / api khalu cakṣuḥ pratītya rūpāṇi	tat ucyate saMskAra-pratyayam vijQAnam / api Kalu cakzuH pratItya rUpANi
   cotpadyate cakṣurvijñānaṃ / tatra cakṣuḥsaṃskṛtaṃ rūpāṇi ca bāhyaṃ	ca-utpadyate cakzuH-vijQAnam / tatra cakzuH-saMskRtam rUpANi ca bAhyam
   pratyayaṃ cakṣurvijñānasya tad ucyate saṃskārapratyayaṃ vijnānaṃ / (DhskD	pratyayam cakzuH-vijQAnasya tat ucyate saMskAra-pratyayam vijnAnam / (DhskD
   5r5) śrotraghrāṇajihvākāyamanaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ	5r5) Srotra-GrANa-jihvA-kAyamanaH pratItya DarmAn ca-utpadyate manaH-vijQAnam
   / tatra manaḥsaṃskṛtaṃ dharmāś ca bāhyaṃ pratyayaṃ manovijñānasya tad	/ tatra manaH-saMskRtam DarmAH ca bAhyam pratyayam manaH-vijQAnasya tat-
   ucyate saṃskārapratyayaṃ vijñānaṃ / api khalv evam uktaṃ bhagavatā	ucyate saMskAra-pratyayam vijQAnam / api Kalu evam uktam BagavatA
   kumbhopamesmin (DhskD 5r6) vyākaraṇe /	kumBa-upamesmin (DhskD 5r6) vyAkaraNe /
   tasya puṇyān saṃskārān abhisaṃskṛtya puṇyopagaṃ bhavati vijñānaṃ / apuṇyān	tasya puNyAn saMskArAn aBisaMskRtya puNya-upagam Bavati vijQAnam / apuNyAn
   āniṃjyān saṃskārān abhisaṃskṛtyāniṃjyopagaṃ bhavati vijñānaṃ /	AniMjyAn saMskArAn aBisaMskRtya-aniMjya-upagam Bavati vijQAnam /
   katham apuṇyaṃ / āha / yathā khalv ihaikatyo rāgaparyavasthito (DhskD 5r7)	kaTam apuNyam / Aha / yaTA Kalu iha-ekatyaH rAga-paryavasTitaH (DhskD 5r7)
   dveṣaparyavasthito mohaparyavasthitaḥ kāyena duścaritaṃ carati vācā manasā	dveza-paryavasTitaH moha-paryavasTitaH kAyena duScaritam carati vAcA manasA
   duścaritaṃ carati / iti ye te akuśalāḥ kāyasaṃskārā vāksaṃskārā	duScaritam carati / iti ye te akuSalAH kAya-saMskArA vAc-saMskArA
   manaḥsaṃskārā ima ucyante 'puṇyāḥ (DhskD 5r8) saṃskārāḥ / yad api	manaH-saMskArAH ime ucyante apuNyAH (DhskD 5r8) saMskArAH / yat api
