   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   sarasvatīkalpalataikakandaṃ vandāmahe vākpatirājadevam /	sarasvatI-kalpa-latA-eka-kandam vandAmahe vAkpati-rAjat-evam /
   yasya prasādād vayam apy ananya- kavīndracīrṇe pathi sañcarāmaḥ // PNc_1.7	yasya prasAdAt vayam api ananya kavi-indra-cIrNe paTi saQcarAmaH // PNc_1.7
   divaṃ yiyāsur mama vāci mudrām adatta yāṃ vākpatirājadevaḥ /	divam yiyAsuH mama vAci mudrAm adatta yAm vAkpati-rAja-devaH /
   tasyānujanmā kavibāndhavasya bhinatti tāṃ saṃprati sindhurājaḥ // PNc_1.8	tasya-anujanmA kavi-bAnDavasya Binatti tAm saMprati sinDurAjaH // PNc_1.8
   kaveḥ śālīnatādi	kaveH SAlInata-Adi
   naite kavīndrāḥ kati kāvyabandhe tad eṣa rājñā kim ahaṃ niyuktaḥ /	na-ete kavi-indrAH kati kAvya-banDe tat eza rAjQA kim aham niyuktaH /
   kiṃ vālukāparvatake dhareyam āropyate satsu kulācaleṣu // PNc_1.9 //	kim vAlukA-parvatake DarA-iyam Aropyate satsu kula-acalezu // PNc_1.9 //
   aho mahatsāhasam etad eva yad varṇaṇīyo navasāhasāṅkaḥ /	aho mahat-sAhasam etat eva yat varNaNIyaH nava-sAhasa-aFkaH /
   dūre paricchedakathā hi satyam etadguṇānām udadher apāṃ ca // PNc_1.10 //	dUre paricCeda-kaTA hi satyam etad-guNAnAm udaDeH apAm ca // PNc_1.10 //
   bhaktyāthavāsyaiva mama prabandhe sūkṣmo 'yam unmīlati śaktileśaḥ /	BaktyA-aTavA-asya-eva mama prabanDe sUkzmaH ayam unmIlati Sakti-leSaH /
   ullaṅghito yat kapinā payodhiḥ sevānubhavaḥ sa raghūdvahasya // PNc_1.11	ullaFGitaH yat kapinA payoDiH sevA-anuBavaH sa raGu-udvahasya // PNc_1.11
   samatsare cetasi durjanānāṃ na jātucit sūktiguṇo guṇāya /	sa-matsare cetasi durjanAnAm na jAtucit sUkti-guNaH guNAya /
   nisargakṛṣṇendravadhūkapole nirarthakaḥ kuṅkumapattrabhaṅgaḥ // PNc_1.12	nisarga-kRzNa-indra-vaDU-kapole nirarTakaH kuFkuma-pattra-BaFgaH // PNc_1.12
   kim anyad asyāś caritair nṛpasya muktāvadātaiḥ kṛtamaṇḍanāyāḥ /	kim anyat asyAH caritEH nRpasya mukta-avadAtEH kRta-maNxanAyAH /
   madīyasūkter mukulībhavantu svabhāvaśuddhāni satāṃ manāṃsi // PNc_1.13 //	madIya-sUkteH mukulIBavantu svaBAva-SudDAni satAm manAMsi // PNc_1.13 //
   namo 'stu sāhityarasāya tasmai niṣiktam antaḥ pṛṣatāpi yasya /	namaH astu sAhitya-rasAya tasmE niziktam antar pRzatA-api yasya /
   suvarṇatāṃ vaktram upaiti sadhor durvarṇatāṃ yāti ca durjanasya //	suvarNa-tAm vaktram upEti saDoH durvarNa-tAm yAti ca durjanasya //
   PNc_1.14 //	PNc_1.14 //
   śrīsāhasāṅkojjvalakīrtigarbhā mamāthavā kaṃ na haranti vācaḥ /	SrI-sAhasa-aFka-ujjvala-kIrti-garBAH mama-aTavA kam na haranti vAcaH /
   kasyātra lobhāya na śuktayas tā muktā hi yāsām udare sphuranti // PNc_1.15	kasya-atra loBAya na SuktayaH tAH muktAH hi yAsAm udare sPuranti // PNc_1.15
   pratijñā	pratijQA
   etāny avantīśvarapārijāta- jātāni tārāpatipāṇḍurāṇi /	etAni avanti-ISvara-pArijAta jAtAni tArA-pati-pANxurANi /
   sampraty ahaṃ paśyata! digvadhūnāṃ yaśaḥprasūnāny avataṃsayāmi // PNc_1.16	samprati aham paSyata! diS-vaDUnAm yaSaH-prasUnAni avataMsayAmi // PNc_1.16
   atha ujjayinīvarṇanam	aTa ujjayinI-varNanam
   asti kṣitaūjjayinīti nāmnā purī vihāyasy amarāvatīva /	asti kzitaUjjayinI-iti nAmnA purI vihAyasi amarAvatI-iva /
   babandha yasyāṃ padam indrakalpaḥ śrīvikramāditya iti kṣitīśaḥ // PNc_1.17	babanDa yasyAm padam indra-kalpaH SrI-vikrama-AdityaH iti kzitISaH // PNc_1.17
   āmañjuguñjatkalahaṃsapaṅkti- vikasvarāmbhojarajaḥpiśaṅgā /	AmaQju-guQjat-kalahaMsa-paFkti vikasvara-amBoja-rajaH-piSaFgAH /
   ābhāti yasyāḥ parikhā nitambe saśabdajambūnadamekhaleva // PNc_1.18 //	ABAti yasyAH pariKAH nitambe sa-Sabda-jambUnada-meKalA-iva // PNc_1.18 //
   prākāravapracchalataḥ śarīram āvartya līlāśayanaṃ murāreḥ /	prAkAra-va-pracCalataH SarIram Avartya lIlA-Sayanam murAreH /
   yatrāntarasthāyinidhānarakṣāṃ vidhātum unmagna ivoragendraḥ // PNc_1.19 //	yatra-antara-sTAyi-niDAna-rakzAm viDAtum unmagnaH iva-uraga-indraH // PNc_1.19 //
   pade pade sāndrasudhojjvalāni gṛhāṇi yā nākasadāṃ bibharti /	pade pade sAndra-suDA-ujjvalAni gRhANi yA nAkasadAm biBarti /
   abhyudgatānīva phaṇīndralokam āpūrya tadbhūmibhṛtāṃ yaśāṃsi // PNc_1.20 //	aByudgatAni-iva PaNIndra-lokam ApUrya tat-BUmiBRtAm yaSAMsi // PNc_1.20 //
   himacchaṭāhāribhir aṃśujālaiḥ prālambimuktāphalajālakāni /	hima=-CawA-hAriBiH aMSu-jAlEH prAlambi-muktAPala-jAlakAni /
   vilāsinīvibhramamandirāṇi yasyāṃ hasantīva parasparasya // PNc_1.21 //	vilAsinI-viBrama-mandirANi yasyAm hasantI-iva parasparasya // PNc_1.21 //
   gṛhāṇi yasyāṃ savarāṅganāni varāṅganā rūpapuraskṛtāṅgyaḥ /	gRhANi yasyAm sa-vara-aFganAni vara-aFganA rUpa-puraskRta-aFgyaH /
   rūpaṃ samunmīlitasadvilāsam astraṃ vilāsāḥ kusumāyudhasya // PNc_1.22 //	rUpam samunmIlita-sat-vilAsam astram vilAsAH kusumAyuDasya // PNc_1.22 //
   CF. Kāvyaprakāśa 10.131a	CF. KAvya-prakASaH 10.131a
   yatrānanair eṇādṛśām abhikhyāṃ sitāśmavātāyanapaṅktir eti /	yatra-AnanEH eNAdRSAm aBiKyAm sita-aSma-vAtAyana-paFktiH eti /
   ambhoruhair ujjvalahemakḷptair ākāśagaṅgājalaveṇikeva // PNc_1.23 //	amBoruhEH ujjvala-hema-k?ptEH AkASa-gaFgA-jala-veNikA-iva // PNc_1.23 //
   vidhūyamānāḥ pavanena yasyāṃ nīlāśmaveśmāruṇavaijayantyaḥ /	viDUyamAnAH pavanena yasyAm nIla-aSma-veSma-aruNa-vEjayantyaH /
   bhinnāñjanaśyāmaghanodgatānāṃ taḍillatānāṃ dyutim āvahanti // PNc_1.24 //	BinnAQjana-SyAma-Gana-udgatAnAm taxit-latAnAm dyutim Avahanti // PNc_1.24 //
   udeti kāntāmaṇimekhalānāṃ gṛhe gṛhe yatra muhur ninādaḥ /	udeti kAntA-maNi-meKalAnAm gRhe gRhe yatra muhur ninAdaH /
   āyāti yo 'naṅgajayadvipasya madāvatārotsavaḍiṇḍimatvam // PNc_1.25 //	AyAti yaH anaFga-jaya-dvipasya mada-avatAra-utsava-xiNxima-tvam // PNc_1.25 //
   mukhendubhiḥ pauravilāsinīnāṃ kapolakāntyā kṛtasaṃvibhāgaḥ /	muKa-induBiH pOra-vilAsinInAm kapola-kAntyA kRta-saMviBAgaH /
   na yāti kārśyaṃ bahule 'pi yatra vātāyanāsannataraḥ śaśāṅkaḥ // PNc_1.26	na yAti kArSyam bahule api yatra vAtAyana-AsannataraH SaSAFkaH // PNc_1.26
   na pakṣapātena vadāmi satyam uṣassu yasyāṃ bhavanāṅganebhyaḥ /	na pakzapAtena vadAmi satyam uzassu yasyAm Bavana-aFganeByaH /
   sammarjanībhiḥ parataḥ kriyante visūtritaikāvalimauktikāni // PNc_1.27 //	sammarjanIBiH paratas kriyante visUtrita-eka-Avali-mOktikAni // PNc_1.27 //
   yasyām asaṅkṣiptadṛśāṃ stanāṅke kastūrikāpattralatā cakāsti /	yasyAm asaFkzipta-dRSAm stanAFke kastUrikA-pattra-latA cakAsti /
   śarāsanābhyāsavidhau samāpte mukteva godhā makaradhvajena // PNc_1.28 //	SarAsana-aByAsa-viDO samApte muktA-iva goDA makaraDvajena // PNc_1.28 //
   vilāsinīsadmalasatpatākā- paṭāñcale kāñcanakiṅkiṇīnām /	vilAsinI-sadmala-sat-patAkA pawa-aQcale kAQcana-kiFkiNInAm /
   nirantarair yā raṇitair ajasram ājñām ivodghoṣayati smarasya // PNc_1.29	nirantarEH yA raNitEH ajasram AjQAm iva-udGozayati smarasya // PNc_1.29
   pratikṣaṇaṃ yā galitāṃśukānām anaṅgalīlākalahotsaveṣu /	pratikzaNam yA galita-aMSukAnAm anaFga-lIlAka-laha-utsavezu /
   analpakṛṣṇāgurudhūmabhaṅgyā vāmabhruvām arpayatīva vāsaḥ // PNc_1.30 //	analpa-kRzNa-aguru-DUma-BaFgyA vAma-BruvAm arpayati-iva vAsaH // PNc_1.30 //
   yatrāṣṭamīcandram upeyivāṃsam ālambya saudheṣv asamagrakāntim /	yatra-azwamI-candram upeyivAMsam Alambya sODezu asamagra-kAntim /
   keśāhṛtaiḥ ketakagarbhabarhair āpūrayanty ardham arālakeśyaḥ // PNc_1.31	keSa-AhRtEH ketaka-garBa-barhEH ApUrayanti arDam arAlakeSyaH // PNc_1.31
   līlākaṭākṣe madirekṣaṇānāṃ sammohanāstrasphuritaṃ niveśya /	lIlA-kawAkze madirA-IkzaNAnAm sammohana-astra-sPuritam niveSya /
   ratyā saha kṛīḍati puṣpadhanvā yasyām aśokadrumavīthikāsu // PNc_1.32 //	ratyA saha kRIxati puzpaDanvA yasyAm aSoka-druma-vITikAsu // PNc_1.32 //
   jāne jaganmohanakautukena vidhāya kūjāmiṣam anyapuṣṭaiḥ /	jAne jagat-mohana-kOtukena viDAya kUja-Amizam anya-puzwEH /
   aharniśaṃ cūtavaneṣu yasyām adhīyate mānmatham astravedam // PNc_1.33 //	aharniSam cUta-vanezu yasyAm aDIyate mAnmaTam astra-vedam // PNc_1.33 //
   dikcakrasaṃcārimarīcidaṇḍa= cchalena cāmīkaratoraṇānām /	diS-cakra-saMcAri-marIci-daNxa cCalena cAmIkara-toraNAnAm /
   avaimi dikpālapurīr vijitya yā hemavetragrahaṇe niyuṅkte // PNc_1.34 //	avEmi dikpAla-purIH vijitya yA hema-vetra-grahaNe niyuFkte // PNc_1.34 //
   ullāsiṣu svarṇagavākṣapaṅkter yā raśmidaṇḍeṣu vighūrṇamānaiḥ /	ullAsizu svarNa-gavAkza-paFkteH yA raSmi-daNxezu viGUrNamAnEH /
   bhāty agravedisphaṭikāṃśujālair dodhūyamānojjvalacāmareva // PNc_1.35 //	BAti agra-vedi-sPawika-aMSu-jAlEH doDUyamAna-ujjvala-cAmarA-iva // PNc_1.35 //
   yasyāṃ gṛhaprāṅganapadmarāga- raśmicchaṭāpāṭalam antarikṣam /	yasyAm gRha-prAFgana-padmarAga raSmi=-CawA-pAwalam antarikzam /
   āliṅgitaṃ kiṃśukaśoṇabhāsā sandhyātapeneva sadā vibhāti // PNc_1.36 //	AliFgitam kiMSuka-SoNa-BAsA sanDi-A-Atapena-iva sadA viBAti // PNc_1.36 //
   avāpya yasyāṃ gṛhadīrghikāccha- vaiḍūryasopānamayūkhasakhyam /	avApya yasyAm gRha-dIrGikAcCa vExUrya-sopAna-mayUKa-saKyam /
   hārītaśaṅkāṃ kalahaṃsaśāvā vāmabhruvāṃ pratyaham arpayanti // PNc_1.37 //	hArIta-SaFkAm kalahaMsa-SAvAH vAma-BruvAm pratyaham arpayanti // PNc_1.37 //
   nikāmam acchaiḥ pramadākapolair yatrendubimbākṛtibhiḥ kriyante /	nikAmam acCEH pramadA-kapolEH yatra-indu-bimba-AkRtiBiH kriyante /
   svavaktrasaundaryavilokaneṣu vilāsino darpaṇanirvyapekṣāḥ // PNc_1.38 //	sva-vaktra-sOndarya-vilokanezu vilAsinaH darpaNa-nirvyapekzAH // PNc_1.38 //
   parāṅmukhīnām api ratnabhittau prasādavat tadvadanaṃ vilokya /	parAFmuKInAm api ratna-BittO prasAda-vat tat-vadanam vilokya /
   yasyāṃ yuvāno hariṇekṣaṇānām alīkakopaṃ sahasā vidanti // PNc_1.39 //	yasyAm yuvAnaH hariNa-IkzaNAnAm alIka-kopam sahasA vidanti // PNc_1.39 //
   kurvanti yasyāṃ kusumeṣukeli- śramonmiṣatsvedalavās taruṇyaḥ /	kurvanti yasyAm kusumezu-keli Srama-unmizat-su-eda-lavAH taruNyaH /
   kapolakālāgurupattravallī- kalmāṣam ambho gṛhadīrghikāsu // PNc_1.40 //	kapola-kAlAguru-pattra-vallI kalmAzam amBaH gRha-dIrGikAsu // PNc_1.40 //
   yasyāṃ samunmīlati sundarīṇāṃ sā kāpi saubhāgyaviśeṣalakṣmīḥ /	yasyAm samunmIlati sundarINAm sA kA-api sOBAgya-viSeza-lakzmIH /
   vilāsamuktāguṇavad yad āsāṃ sadā priyas tiṣṭhati kaṇṭhalagnaḥ // PNc_1.41	vilAsa-muktA-guNavat yat AsAm sadA priyaH tizWati kaNWa-lagnaH // PNc_1.41
   avaimi gītena hṛte kuraṅge purandhribhiḥ saudhatalasthitābhiḥ /	avEmi gItena hRte kuraFge puranDriBiH sODa-tala-sTitABiH /
   śyāmāsu yasyāṃ labhate tadaccha= kapolabimbānukṛtiṃ mṛgāṅkaḥ // PNc_1.42	SyAmAsu yasyAm laBate tat-acCa kapola-bimba-anukRtim mRgAFkaH // PNc_1.42
   durgeti sarvatra gatā prasiddhiṃ nagendrakanyeva sanīlakaṇṭhā /	durgA-iti sarvatra gatA prasidDim naga-indra-kanyA-iva sa-nIla-kaNWAH /
   yā lagnakāñcīviṣayeṇa kāntiṃ siṃhāsanenātitarāṃ bibharti // PNc_1.43 //	yA lagna-kAQcI-vizayeNa kAntim siMhAsanena-atitarAm biBarti // PNc_1.43 //
   vṛntād apāstair marutā vikīrṇaiḥ sugandhibhis tīrataruprasūnaiḥ /	vRntAt apAstEH marutA vikIrNEH suganDiBiH tIra-taru-prasUnEH /
   śiprāsarit kūlatamālanīlā vibhāti yasyāḥ kabarīlateva // PNc_1.44 //	SiprAsarit kUla-tamAla-nIlAH viBAti yasyAH kabarIlatA-iva // PNc_1.44 //
   dhūmena yā naikamukhogatena saṃveṣṭyamāṇā paritaś cakāsti /	DUmena yA na-eka-muKaH-gatena saMvezwyamANA paritas cakAsti /
   madāttaratneti samatsareṇa kṛtoparodheva mahārṇaveṇa // PNc_1.45 //	mad-Atta-ratna-iti sa-matsareNa kRta-uparoDA-iva mahA-arNaveNa // PNc_1.45 //
   vilaṅghayanti śrutivartma yasyāṃ līlāvatīnāṃ nayanotpalāni /	vilaFGayanti Sruti-vartma yasyAm lIlAvatInAm nayana-utpalAni /
   bibharti yasyām api vakrimāṇam eko mahākālajaṭārdhacandraḥ // PNc_1.46 //	biBarti yasyAm api vakrimANam ekaH mahAkAla-jawA-arDacandraH // PNc_1.46 //
   dhvajāgralagnena vilambatā kham anekaratnāṃśukadambakena /	Dvaja-agra-lagnena vilamba-tA Kam aneka-ratna-aMSu-kadambakena /
   yasyāṃ sa caṇḍīpatimaṇḍapo 'pi bibharti māyūram ivātapattram // PNc_1.47	yasyAm sa caNxI-pati-maNxapaH api biBarti mAyUram iva-Atapattram // PNc_1.47
   purā kila brahmakamaṇḍalor yat āpūritaṃ puṇyatamābhir adbhiḥ /	purA kila brahma-kamaNxaloH yat ApUritam puNyatamABiH adBiH /
   dhatte 'tra yā tat tripurāntakasya taḍāgam ādarśam ivāṅkadeśe // PNc_1.48	Datte atra yA tat tripurAntakasya taxAgam AdarSam iva-aFka-deSe // PNc_1.48
   yasyām anekāmaraveśmarājir maṇidhvajāgrocchalitair mayūkhaiḥ /	yasyAm aneka-amara-veSma-rAjiH maNi-Dvaja-agra-ucCalitEH mayUKEH /
   likhaty amartyapramadākuceṣu vicitravarṇā iva patralekhāḥ // PNc_1.49 //	liKati amartya-pramadA-kucezu vicitra-varNAH iva patra-leKAH // PNc_1.49 //
   yasyāṃ visūtrojjhitamekhalāni tathā śukāvartitasītkṛtāni /	yasyAm visUtra-ujJita-meKalAni taTA Suka-AvartitasItkRtAni /
   śaṃsanti saṃketam uṣassu yūnāṃ śiprātaṭodyānalatāgṛhāṇi // PNc_1.50 //	SaMsanti saMketam uzassu yUnAm SiprA-tawa-udyAna-latA-gRhANi // PNc_1.50 //
   manoharaiḥ kāmijanasya yasyāṃ nīrandhraniryanmṛganābhigandhaiḥ /	manoharEH kAmi-janasya yasyAm nIranDra-niryad-mRga-nABi-ganDEH /
   sacandanaiḥ kāñcanakeliśailaiḥ kucair ivodyānabhuvo vibhānti // PNc_1.51	sa-candanEH kAQcana-keli-SElEH kucEH iva-udyAna-BuvaH viBAnti // PNc_1.51
   gatāsu tīraṃ timighaṭṭanena sasaṃbhramaṃ pauravilāsinīṣu /	gatAsu tIram timi-Gawwanena sa-saMBramam pOra-vilAsinIzu /
   yatrollasatphenataticchalena muktārdrahāseva vibhāti śiprā // PNc_1.52 //	yatra-ullasat-Penata-ticCalena mukta-Ardra-hAsa-iva viBAti SiprAH // PNc_1.52 //
   saṃsargam āsādya vilāsinīnāṃ vilāsaveśmāgurudhūpadhūmaiḥ /	saMsargam AsAdya vilAsinInAm vilAsa-veSma-aguru-DUpa-DUmEH /
   baddhāspadāḥ saudhaśikhāsu yasyāṃ sugandhi toyaṃ jaladā vamanti //	badDa-AspadAH sODa-SiKAsu yasyAm suganDi toyam jaladAH vamanti //
   PNc_1.53 //	PNc_1.53 //
   satpuṣkaroddyotitaraṅgaśobhi- ny amandam ārabdhamṛdaṅgavādye /	sat-puzkara-uddyoti-taraFga-SoBi ni amandam ArabDa-mRdaFga-vAdye /
   udyānavāpīpayasīva yasyām eṇīdṛśo lāsyagṛhe ramante // PNc_1.54 //	udyAna-vApI-payasi-iva yasyAm eNi-IdRSaH lAsya-gRhe ramante // PNc_1.54 //
   māṇikyavātāyanakāntijāla- viluptarathyātimirotkarāsu /	mANikya-vAtAyana-kAnti-jAla vilupta-raTyA-timira-utkarAsu /
   śyāmāsu yasyāṃ pramadāḥ kathaṃ cit saṅketam utkampikucāḥ prayānti //	SyAmAsu yasyAm pramadAH kaTam cit saFketam utkampi-kucAH prayAnti //
   PNc_1.55 //	PNc_1.55 //
   navāmbuvāhapratibimbavatyāṃ yatroccaharmyāruṇaratnabhūmau /	nava-ambu-vAha-pratibimbavatyAm yatra-ucca-harmya-aruNa-ratna-BUmO /
   vyaktiṃ labhante surasundarīṇāṃ sālaktakāḥ prāvṛṣi pādamudrāḥ // PNc_1.56	vyaktim laBante sura-sundarINAm sa-alaktakAH prAvRzi pAda-mudrAH // PNc_1.56
   kṛtāvadhānātiśayena manye yā vedhasā madhyamalokaratnam /	kRta-avaDAna-atiSayena manye yA veDasA maDyama-loka-ratnam /
   svaśilpavijñānaparaprakarṣa- prakāśanāyātra vinirmiteva // PNc_1.57 //	sva-Silpa-vijQAna-para-prakarza prakASanAya-atra vinirmitA-iva // PNc_1.57 //
   atha nāyakavarṇanam	aTa nAyaka-varNanam
   rājāsti tasyāṃ sa kulācalendra- nikuñjaviśrāntayaśastaraṅgaḥ /	rAjA-asti tasyAm sa kula-acala-indra nikuQja-viSrAnta-yaSaH-taraFgaH /
   bhāsvān grahāṇām iva bhūpatīnām avāptasaṃkhyo dhuri sindhurājaḥ //	BAsvAn grahANAm iva BUpatInAm avApta-saMKyaH Duri sinDurAjaH //
   PNc_1.58 //	PNc_1.58 //
   nirvyūḍhanānādbhutasāhasaṃ ca raṇe vṛtaṃ ca svayam eva lakṣmyā /	nirvyUXa-nAnA-adButa-sAhasam ca raNe vRtam ca svayam eva lakzmyA /
   nāmnā yam eke navasāhasāṅkaṃ kumāranārāyaṇam āhur anye // PNc_1.59 //	nAmnA yam eke nava-sAhasa-aFkam kumAra-nArAyaNam AhuH anye // PNc_1.59 //
   sahelam abhyuddharatā dharitrīṃ magnāṃ dviṣadvārinidhāv agādhe /	sa-helam aByudDa-ratA DaritrIm magnAm dvizat-vAriniDO agADe /
   yenātra nītā pṛthuvikrameṇa vyaktiṃ jagaty ādivarāhalīlā // PNc_1.60 //	yena-atra nItA pRTu-vikrameNa vyaktim jagati Adi-varAha-lIlA // PNc_1.60 //
   uddāmadugdhābdhitaraṅgahāse yasyārikāntākucamaṇḍalāni /	uddAma-dugDa-abDi-taraFga-hAse yasya-ari-kAnta-akuca-maNxalAni /
   hārāḥ patatsāñjanabāṣpapaṅka- kalaṅkabhītyeva parityajanti // PNc_1.61 //	hArAH patatsa-aQjana-bAzpa-paFka kalaFkaBItyA-iva parityajanti // PNc_1.61 //
   [VAR 1.61a: #hāse/lem /conj; #bhāso /ed, #hāso]	[VAR 1.61a: #hAse/lem /ca-unj; #BAsaH /ed, #hAso]
   sadyaḥ karasparśam avāpya citraṃ raṇe raṇe yasya kṛpāṇalekhā /	sadyas kara-sparSam avApya citram raNe raNe yasya kRpANa-leKA /
   tamālanīlā śaradindupāṇḍu yaśas trilokābharaṇaṃ prasūte // PNc_1.62 //	tamAla-nIlA Sarad-indu-pANxu yaSaH triloka-ABaraNam prasUte // PNc_1.62 //
   parāṅmukhenāpi sadā parasve patyā bhuvaḥ sāgaramekhalāyāḥ /	parAFmuKena-api sadA para-sve patyA BuvaH sAgara-meKalAyAH /
   aho yaśaḥ pūrvamahīpatīnām anāvilaṃ yena balād viluptam // PNc_1.63 //	aho yaSaH pUrva-mahIpatInAm anAvilam yena balAt viluptam // PNc_1.63 //
   cittaṃ prasādaś ca manasvitā ca bhujaṃ pratāpaś ca vasundharā ca /	cittam prasAdaH ca manasvi-tA ca Bujam pratApaH ca vasunDarA ca /
   adhyāsate yasya mukhāravindaṃ dve eva satyaṃ ca sarasvatī ca // PNc_1.64	aDyAsate yasya muKa-aravindam dve eva satyam ca sarasvatI ca // PNc_1.64
   yasyāpsarobhiḥ parigīyamānam ākarṇya bāhvor vijayaprapañcam /	yasya-apsaroBiH parigIyamAnam AkarNya bAhvoH vijaya-prapaQcam /
   śacīkucasparśam ivāpya dhatte romodgamādhyāsitam aṅgam indraḥ // PNc_1.65	SacI-kuca-sparSam iva-apya Datte roma-udgama-aDyAsitam aFgam indraH // PNc_1.65
   prasādhitā yena ca bālya eva caturbhir utsāhavatā catasraḥ /	prasADitAH yena ca bAlyaH eva caturBiH utsAhavatA catasraH /
   śrutena buddhiḥ prabhutā nayena tyāgena lakṣmīr vasudhā balena // PNc_1.66	Srutena budDiH praBu-tA nayena tyAgena lakzmIH vasuDA balena // PNc_1.66
   raṇe raṇe muktakṛpaḥ kṛpāṇaṃ yaḥ śātadhāraṃ kṛtavān kṛtāstraḥ /	raNe raNe mukta-kRpaH kRpANam yaH SAtaDAram kRtavAn kRtAstraH /
   anekarājanyaghaṭākirīṭa- māṇikyaśāṇopalapaṭṭikāsu // PNc_1.67 //	aneka-rAjanya-GawA-kirIwa mANikya-SANa-upala-pawwikAsu // PNc_1.67 //
   bhareṇa bhūmeḥ sphuṭam ā namantyāḥ pāṃsucchaṭāḥ śeṣaphaṇāmaṇīnām /	BareNa BUmeH sPuwam A namantyAH pAMsu=-CawAH Seza-PaNA-maNInAm /
   nyamīlayan yadvijayaprayāṇe nāgāṅganānāṃ nayanotpalāni // PNc_1.68 //	nyamIlayan yat-vijaya-prayANe nAga-aFganAnAm nayana-utpalAni // PNc_1.68 //
   anyonyasaṃśleṣaviśīrṇahāra- cyutena sevāvasare nṛpāṇām /	anyonya-saMSleza-viSIrNa-hAra cyutena sevA-avasare nRpANAm /
   kīrṇāsu muktānikareṇa yasya kakṣyāsu vārapramadāḥ skhalanti // PNc_1.69 //	kIrNAsu muktA-nikareNa yasya kakzyAsu vAra-pramadAH sKalanti // PNc_1.69 //
   ākṣipya hārān nijavikramāgni- sphuliṅgaśaṅkām anusandadhanti /	Akzipya hArAn nija-vikrama-agni sPuliFga-SaFkAm anusandaDanti /
   yenārikāntākucamaṇḍaleṣu guñjāphalāny ābharaṇīkṛtāni // PNc_1.70 //	yena-ari-kAnta-akuca-maNxalezu guQjA-PalAni ABaraNIkRtAni // PNc_1.70 //
   kṛpāṇapātair dalatām arāti- karīndrakumbhasthalamauktikānām /	kRpANa-pAtEH dalatAm arAti karIndra-kumBa-sTala-mOktikAnAm /
   dhūlicchaṭā māṃsalayanti yasya samudgatāny ājimukhe yaśāṃsi // PNc_1.71 //	DUli=-CawAH mAMsalayanti yasya samudgatAni Aji-muKe yaSAMsi // PNc_1.71 //
   indudyutiḥ kundasitān dadhānā guṇān anaṅgotsavavaijayantī /	indu-dyutiH kunda-sitAn daDAnA guNAn anaFga-utsava-vEjayantI /
   yena dviṣāṃ dūram anāyi kaṇṭhād ekāvalī vāmavilocanā ca // PNc_1.72 //	yena dvizAm dUram anAyi kaNWAt eka-AvalI vAma-vilocanA ca // PNc_1.72 //
