   Adhyardhaśatikā Prajñāpāramitā	ADyarDa-SatikA PrajQApAramitA
   yat uta bodhisattvapadam | (2) rāgavāṇaviśuddhipadam etad yad uta	yat uta boDisattva-padam | (2) rAga-vANa-viSudDi-padam etat yat uta
   bodhisattvapadam | (3) dveṣavahniviśuddhipadam etad yad uta	boDisattva-padam | (3) dveza-vahni-viSudDi-padam etat yat uta
   bodhisattvapadam | (4) snehabandhanaviśuddhipadam etad yad uta	boDisattva-padam | (4) sneha-banDana-viSudDi-padam etat yat uta
   bodhisattvapadam | (5) sarvaiśvaryādhipatyaviśuddhipadam etad yad uta	boDisattva-padam | (5) sarva-ESvarya-ADipatyaviSudDi-padam etat yat uta
   bodhisattvapadam | (6) dṛṣṭiviśuddhipadam etad yad uta bodhisattvapadam |	boDisattva-padam | (6) dRzwi-viSudDi-padam etat yat uta boDisattva-padam |
   (7) rativiśuddhipadam	(7) rati-viSudDi-padam
   etad yad uta bodhisattvapadam | (8) tṛṣṇāviśuddhipadam etad yad uta	etat yat uta boDisattva-padam | (8) tRzNA-viSudDi-padam etat yat uta
   bodhisattvapadam | (9) garvaviśuddhipadam etad yad uta bodhisattvapadam |	boDisattva-padam | (9) garva-viSudDi-padam etat yat uta boDisattva-padam |
   (10) bhūṣaṇaviśuddhipadam etad yad uta bodhisattvapadam | (11)	(10) BUzaNa-viSudDi-padam etat yat uta boDisattva-padam | (11)
   manohlādanaviśuddhipadam etad yad uta bodhisattvapadam | (12)	manohlAdana-viSudDi-padam etat yat uta boDisattva-padam | (12)
   ālokaviśuddhipadam etad yad uta bodhisattvapadam | (13) kāyaviśuddhipadam	Aloka-viSudDi-padam etat yat uta boDisattva-padam | (13) kAya-viSudDi-padam
   etad yad uta bodhisattvapadam | (14) kāyasukhaviśuddhipadam etad yad uta	etat yat uta boDisattva-padam | (14) kAya-suKa-viSudDi-padam etat yat uta
   bodhisattvapadam | (15) rūpaviśuddhipadam etad yad uta bodhisattvapadam |	boDisattva-padam | (15) rUpa-viSudDi-padam etat yat uta boDisattva-padam |
   (16) śabdaviśuddhipadam etad yad uta bodhisattvapadam | (17)	(16) Sabda-viSudDi-padam etat yat uta boDisattva-padam | (17)
   gandhaviśuddhipadam etad yad uta bodhisattvapadam | (18) rasaviśuddhipadam	ganDa-viSudDi-padam etat yat uta boDisattva-padam | (18) rasa-viSudDi-padam
   etad yad uta bodhisattvapadam | (19) sparśaviśuddhipadam etad yad uta	etat yat uta boDisattva-padam | (19) sparSa-viSudDi-padam etat yat uta
   bodhisattvapadam | (20) dharmaviśuddhipadam etad yad uta bodhisattvapadam	boDisattva-padam | (20) Darma-viSudDi-padam etat yat uta boDisattva-padam
   | tat kasya hetoḥ | tathā hi sarvadharmāḥ svabhāvaviśuddhāḥ	| tat kasya hetoH | taTA hi sarva-DarmAH svaBAva-viSudDAH
   sarvadharmāsvabhāvatayā prajñāpāramitāviśuddhiteti ||	sarva-Darma-asvaBAva-tayA prajQApAramitA-viSudDitA-iti ||
   AśP 5. yaḥ kaścid vajrapāṇe imaṃ	ASP 5. yaH kaScid vajrapANe imam
   sarvadharmasvabhāvaviśuddhipadanirhāranāmadheyaṃ prajñāpāramitānayaṃ sakṛd	sarva-Darma-svaBAva-viSudDi-pada-nirhAra-nAmaDeyam prajQApAramitA-anayam sakRt-
   api śroṣyati tasyā bodhimaṇḍāt sarvajñeyāvaraṇakleśāvaraṇakarmāvaraṇāni	api Srozyati tasyAH boDimaNxAt sarva-jQeya-AvaraNa-kleSa-AvaraNa-karma-AvaraNAni
   mahānty apy upacinvato na kadācid api narakādyapāyopapattir bhaviṣyati |	mahAnti api upacinvataH na kadAcid api naraka-Adi-apAya-upapattiH Bavizyati |
   pāpāni ca kṛtamātrāṇy aduḥkhataḥ kṣayaṃ yāsyanti | yaś ca dhārayiṣyati	pApAni ca kRta-mAtrANi aduHKataH kzayam yAsyanti | yaH ca DArayizyati
   dine dine vācayiṣyati svādhyāyiṣyati yoniśaś ca manasikariṣyati sa ihaiva	dine dine vAcayizyati su-ADyAyizyati yoniSas ca manasikarizyati saH iha-eva
   janmani sarvadharmasamatāvajrasamādhipratilambhāt sarvadharmeśvaro	janmani sarva-Darma-samatA-vajra-samADi-pratilamBAt sarva-Darma-ISvaraH-
   bhaviśyati | sarvaratiprītiprāmodyāny anubhaviṣyati | ṣoḍaśame	BaviSyati | sarva-rati-prIti-prAmodyAni anuBavizyati | zoxaSame
   mahābodhisattvajanmani tathāgatatvaṃ pratilapsyate vajradharatvaṃ ceti ||	mahA-boDisattva-janmani taTAgata-tvam pratilapsyate vajraDara-tvam ca-iti ||
   AśP 6. atha bhagavān sarvatathāgatamahāyānābhisamayaḥ sarvamaṇḍalaḥ	ASP 6. aTa BagavAn sarva-taTAgata-mahA-yAna-aBisamayaH sarva-maNxalaH
   sakalavajradhātvagryasattvaḥ sakalatraidhātukasarvatrilokavijayy	sakala-vajra-DAtu-agrya-sattvaH sakala-trEDAtuka-sarva-triloka-vijayy
   aśeṣānavaśeṣasattvadhātuvinayanasamarthaḥ sarvārthasiddhaḥ sarvavajrapāṇir	aSezAn-avaSeza-sattva-DAtu-vinayana-samarTaH sarva-arTa-sidDaH sarva-vajrapANiH-
   mahāsamayo 'nekavajramahāguhyasattvaparivāra imam eva	mahA-samayaH aneka-vajra-mahA-guhya-sattva-parivAraH imam eva
   prajñāpāramitānayārtham udyotayan prahasitavadanas tad ādyaṃ mahāvajram	prajQApAramitA-anaya-arTam udyotayan prahasita-vadanaH tat Adyam mahA-vajram
   vāmagarvollālanatayā svahṛdyutkarṣaṇayogena dhārayann idam	vAma-garva-ullAlana-tayA sva-hRdi-utkarzaNa-yogena DArayan idam
   mahāsukhavajrāmoghasamayaṃ nāma svatattvahṛdayam	mahAsuKa-vajra-amoGa-samayam nAma sva-tattva-hRdayam
   agāt* hūṃ ||	agAt* hUm ||
   AśP 7. atha bhagavān vairocanas tathāgataḥ punar apīmaṃ	ASP 7. aTa BagavAn vErocanaH taTAgataH punar api-imam
   prajñāpāramitānayaṃ sarvatathāgatavajradharmatābhisaṃbodhinirhāraṃ nāma	prajQApAramitA-anayam sarva-taTAgata-vajraDarmatA-aBisaMboDi-nirhAram nAma
   deśayati sma | vajrasamatābhisaṃbodho mahābodhir vajradṛḍhatayā |	deSayati sma | vajra-samatA-aBisaMboDaH mahAboDiH vajra-dRXa-tayA |
   arthasamatābhisaṃbodho mahābodhir ekārthatayā | dharmasamatābhisaṃbodho	arTa-samatA-aBisaMboDaH mahAboDiH eka-arTa-tayA | Darma-samatA-aBisaMboDaH-
   mahābodhiḥ sarvadharmaviśuddhitayā | sarvasamatābhisaṃbodho mahābodhiḥ	mahAboDiH sarva-Darma-viSudDi-tayA | sarva-samatA-aBisaMboDaH mahA-boDiH
   sarvadharmasvabhāvāvikalpatayeti ||	sarva-Darma-svaBAva-avikalpa-tayA-iti ||
   AśP 8. yaḥ kaścid vajrapāṇe imāṃś caturo dharmavihārāñ śroṣyati	ASP 8. yaH kaScid vajrapANe imAn caturaH Darma-vihArAn Srozyati
   dhārayiṣyati vācayiṣyati bhāvayiṣyati sa sarvapāpasamācāro 'pi	DArayizyati vAcayizyati BAvayizyati sa sarva-pApa-samAcAraH api
   sarvāpāyasamatikrānto bhaviṣyaty ā bodhimaṇḍāt* | kṣipraṃ cānuttarāṃ	sarva-apAyasam-atikrAntaH Bavizyati A boDimaNxAt* | kzipram ca-anuttarAm
   samyaksaṃbodhim abhisaṃbhotsyata iti ||	samyaksaMboDim aBisaMBotsyate iti ||
   AśP 9. athedam uktvā bhagavāñ jñānamuṣṭiparigraha idam evārthapadaṃ	ASP 9. aTa-idam uktvA BagavAn jQAna-muzwi-parigrahaH idam eva-arTa-padam
   bhūyasyā mātrayoddīpayan smitamukha idaṃ sarvadharmasamatāhṛdayam abhāṣata	BUyasyAH mAtrayA-uddIpayan smita-muKe idam sarva-Darma-samatA-hRdayam aBAzata
   | vajra āḥ ||	| vajraH AH ||
   AśP 10. atha bhagavān sarvaduṣṭavinayanaśākyamunis tathāgataḥ punar api	ASP 10. aTa BagavAn sarva-duzwa-vinayana-SAkya-muniH taTAgataH punar api
   sarvadharmasamatāvijayasaṅgrahaṃ nāma prajñāpāramitānirhāram abhāṣata |	sarva-DarmasamatAvijaya-saFgraham nAma prajQApAramitA-nirhAram aBAzata |
   rāgāprapañcatayā dveṣāprapañcatā | dveṣāprapañcatayā mohāprapañcatā |	rAgA-prapaQca-tayA dveza-aprapaQca-tA | dveza-aprapaQca-tayA moha-aprapaQca-tA |
   mohāprapañcatayā sarvadharmāprapañcatā | sarvadharmāprapañcatayā	moha-aprapaQca-tayA sarva-Darma-aprapaQca-tA | sarva-Darma-aprapaQca-tayA
   prajñāpāramitāprapañcatā veditavyeti ||	prajQApAramitA-prapaQca-tA veditavyA-iti ||
   AśP 11. yaḥ kaścid vajrapāṇe imaṃ prajñāpāramitānayaṃ śroṣyati	ASP 11. yaH kaScid vajrapANe imam prajQApAramitA-anayam Srozyati
   dhārayiṣyati vācayiṣyati bhāvayiṣyati tasya traidhātukopapannān api	DArayizyati vAcayizyati BAvayizyati tasya trEDAtuka-upapannAn api
   sarvasattvān prapātayato nāpāyagamanaṃ bhaviṣyati vinayavaśam upādāya |	sarva-sattvAn prapAtayataH na-apAya-gamanam Bavizyati vinaya-vaSam upAdAya |
   kṣipraṃ cānuttarāṃ samyaksaṃbodhim abhisaṃbhotsyata iti ||	kzipram ca-anuttarAm samyaksaMboDim aBisaMBotsyate iti ||
   AśP 12. atha vajrapāṇir imam eva dharmatārthaṃ bhūyasyā mātrayoddīpayaṃs	ASP 12. aTa vajrapANiH imam eva DarmatA-arTam BUyasyAH mAtrayA-uddIpayan=-
   trilokavijayavajrāṃ nāma mudrāṃ baddhvā	trilokavijayavajrAm nAma mudrAm badDvA
   sabhrukuṭibhrūbhaṅgadīptadṛṣṭivihasitaruṣiteṣaddaṃṣṭrākarālavadanakamalaḥ	saBrukuwi-BrU-BaFga-dIpta-dRzwi-vihasita-ruzita-Izat-daMzwrA-karAla-vadana-kamalaH
   pratyālīḍhasthānastha idaṃ vajrahūṃkāraṃ nāma hṛdayam abhāṣata | vajra hūṃ	pratyAlIXa-sTAna-sTaH idam vajrahUMkAram nAma hRdayam aBAzata | vajra hUm
   AśP 13. atha bhagavān svabhāvaviśuddhadharmatāprāptas tathāgataḥ punar	ASP 13. aTa BagavAn svaBAva-viSudDa-DarmatA-prAptaH taTAgataH punar-
   apīmaṃ sarvadharmasamatāvalokiteśvarajñānamudraṃ nāma	api-imam sarva-DarmasamatA-avalokiteSvara-jQAnamudram nAma
   prajñāpāramitānayārtham abhāṣata | sarvarāgaviśuddhitā loke	prajQApAramitA-anaya-arTam aBAzata | sarva-rAga-viSudDi-tA loke
   sarvadveṣaviśuddhitāyai saṃvartate | sarvamalaviśuddhitā loke	sarva-dveza-viSudDi-tAyE saMvartate | sarva-mala-viSudDi-tA loke
   sarvapāpaviśuddhitāyai saṃvartate | sarvadharmaviśuddhitā loke	sarva-pApa-viSudDi-tAyE saMvartate | sarva-Darma-viSudDi-tA loke
   sarvasattvaviśuddhitāyai saṃvartate | sarvajñānaviśuddhitā loke	sarva-sattva-viSudDi-tAyE saMvartate | sarva-jQAna-viSudDi-tA loke
   prajñāpāramitāviśuddhitāyai saṃvartate ||	prajQApAramitA-viSudDitAyE saMvartate ||
   AśP 14. yaḥ kaścid vajrapāṇe imaṃ nayaṃ śroṣyati dhārayisyati vācayiṣyati	ASP 14. yaH kaScid vajrapANe imam nayam Srozyati DArayisyati vAcayizyati
   bhāvayiṣyati sa sarvarāgamadhyasthito 'pi padmam iva rāgadoṣair na malair	BAvayizyati sa sarva-rAga-maDya-sTitaH api padmam iva rAga-dozEH na malEH-
   āgantukair lepaṃ yāsyati | kṣipraṃ cānuttarāṃ samyaksaṃbodhim	AgantukEH lepam yAsyati | kzipram ca-anuttarAm samyaksaMboDim
   abhisaṃbhotsyata iti ||	aBisaMBotsyate iti ||
   AśP 15. atha bhagavān avalokiteśvaro bodhisattvo mahāsattva imam	ASP 15. aTa BagavAn avalokita-ISvaraH boDisattvaH mahAsattvaH imam
   evārthapadaṃ bhūyasyā mātrayoddīpayan prahasitavadanaḥ	eva-arTa-padam BUyasyAH mAtrayA-uddIpayan prahasita-vadanaH
   padmapattravikāsanatayā rāgādinirlepatām avalokayann idaṃ	padma-pattra-vikAsana-tayA rAga-Adi-nirlepa-tAm avalokayan idam
   sarvajagadviśvarūpapadmaṃ nāma hṛdayam abhāṣata | hrīḥ ||	sarva-jagat-viSvarUpa-padmam nAma hRdayam aBAzata | hrIH ||
   AśP 16. atha bhagavān sarvatraidhātukādhipatis tathāgataḥ punar api	ASP 16. aTa BagavAn sarva-tra-eDAtuka-aDipatiH taTAgataH punar api
   sarvatathāgatābhiṣekasambhavajñānagarbhaṃ nāma prajñāpāramitānayārtham	sarvataTAgatABizekasamBava-jQAna-garBam nAma prajQApAramitA-anaya-arTam
   abhāṣata | abhiṣekadānaṃ sarvatraidhātukarājyapratilambhāya saṃvartate |	aBAzata | aBizeka-dAnam sarva-tra-eDAtuka-rAjya-pratilamBAya saMvartate |
   arthadānaṃ sarvāśāparipūryai saṃvartate | dharmadānaṃ	arTa-dAnam sarva-ASA-paripUryE saMvartate | Darma-dAnam
   sarvadharmasamatāprāptyai saṃvartate | āmiṣadānam	sarva-Darma-sama-tA-prAptyE saMvartate | Amiza-dAnam
   sarvakāyavākcittasukhapratilambhāya saṃvartate ||	sarva-kAya-vAc-citta-suKa-pratilamBAya saMvartate ||
   AśP 17. athākāśagarbho bodhisattvo mahāsattvaḥ prahasitavadano bhūtvā	ASP 17. aTa-AkASa-garBaH boDisattvaH mahAsattvaH prahasita-vadanaH BUtvA
   svaśirasi vajraratnābhiṣekamālām avabandhayann imam eva dharmatārthaṃ	sva-Sirasi vajra-ratna-aBizeka-mAlAm avabanDayan imam eva DarmatA-arTam
   bhūyasyā mātrayoddīpayann idaṃ sarvābhiṣekasamayaratnaṃ nāma hṛdayam	BUyasyAH mAtrayA-uddIpayan idam sarva-aBizeka-samaya-ratnam nAma hRdayam
   abhāṣata | trāṃ ||	aBAzata | trAm ||
   AśP 18. atha bhagavān sarvatathāgatajñānamudrāprāptaḥ	ASP 18. aTa BagavAn sarva-taTAgata-jQAna-mudrA-prAptaH
   sarvatathāgatamuṣṭidharaḥ sarvatathāgataḥ śāśvataḥ punar apīmaṃ	sarva-taTAgata-muzwi-DaraH sarva-taTAgataH SASvataH punar api-imam
   sarvatathāgatajñānamudrādhiṣṭhānavajraṃ nāma prajñāparamitānayārtham	sarvataTAgata-jQAnamudrA-aDizWAnavajram nAma prajQAparamitA-anaya-arTam
   abhāṣata | sarvatathāgatakāyamudrāparigrahaḥ sarvatathāgatatvāya	aBAzata | sarva-taTAgata-kAya-mudrA-parigrahaH sarva-taTAgata-tvAya
   saṃvartate | sarvatathāgatavāṅmudrāparigrahaḥ sarvadharmapratilambhāya	saMvartate | sarva-taTAgata-vAc-mudrA-parigrahaH sarva-Darma-pratilamBAya
   saṃvartate | sarvatathāgatacittamudrāparigrahaḥ sarvasamādhipratilambhāya	saMvartate | sarva-taTAgata-citta-mudrA-parigrahaH sarva-samADi-pratilamBAya
   saṃvartate | sarvatathāgatavajramudrāparigrahaḥ	saMvartate | sarva-taTAgata-vajra-mudrA-parigrahaH
   sarvakāyavākcittavajratvottamasiddhyai saṃvartate |	sarva-kAya-vAc-citta-vajra-tva-uttama-sidDyE saMvartate |
   AśP 19. yaḥ kaścid vajrapāṇe imam dharmaparyāyaṃ śroṣyati dhārayiṣyati	ASP 19. yaH kaScid vajrapANe imam Darma-paryAyam Srozyati DArayizyati
   vācayiṣyaty uddeksyati bhāvayiṣyati sa sarvasiddhīḥ sarvasaṃpattīḥ	vAcayizyati uddeksyati BAvayizyati sa sarva-sidDIH sarva-saMpattIH
   sarvajñānāni sarvakāryāṇi sarvakāyavākcittavajratvasarvottamasiddhiṃ ca	sarva-jQAnAni sarva-kAryANi sarva-kAya-vAc-citta-vajra-tva-sarva-uttama-sidDim ca
   pratilapsyate | ksipraṃ cānuttarāṃ	pratilapsyate | ksipram ca-anuttarAm
   samyaksaṃbodhim abhisaṃbhotsyata iti ||	samyaksaMboDim aBisaMBotsyate iti ||
   AśP 20. atha bhagavān vajramuṣṭir mahāsamayavajramudrāparigraha imam	ASP 20. aTa BagavAn vajramuzwiH mahA-samaya-vajra-mudrA-parigrahaH imam
   evārthaṃ bhūyasyā mātrayoddīpayan prahasitavadana idaṃ	eva-arTam BUyasyAH mAtrayA-uddIpayan prahasita-vadanaH idam
   sarvadṛḍhavajramudrāsiddhisamayaṃ nāma hṛdayam abhāṣata | aḥ ||	sarva-dRXa-vajra-mudrA-sidDi-samayam nAma hRdayam aBAzata | aH ||
   AśP 21. atha bhagavān sarvadharmasamatāprapañcas tathāgataḥ punar apīmaṃ	ASP 21. aTa BagavAn sarva-Darma-sama-tA-prapaQcaH taTAgataH punar api-imam
   cakrākṣaraparivartaṃ nāma prajñāpāramitānayārtham abhāṣata | śūnyāḥ	cakrAkzaraparivartam nAma prajQApAramitA-anaya-arTam aBAzata | SUnyAH
   sarvadharmā niḥsvabhāvatāyogena | animittāḥ sarvadharmā nirnimittatām	sarva-DarmAH niHsvaBAva-tA-yogena | animittAH sarva-DarmAH nirnimitta-tAm
   upādāya | araṇihitāḥ saradharmā apraṇidhānayogena | pakṛtiprabhāsvarāḥ	upAdAya | araNi-hitAH sara-DarmAH apraNiDAna-yogena | pakRti-praBAsvarAH
   prajñāpāramitāpariśuddhā ||	prajQApAramitA-pariSudDAH ||
   AśP 22-31 missing	ASP 22-31 missing
   AśP 32. ...t* tatra mahāvajreśvara idaṃ tattvahṛdayam agāt* | oṃ	ASP 32. ...t* tatra mahA-vajra-ISvaraH idam tattva-hRdayam agAt* | om
   vajranetrībhyaḥ svāhā ||	vajra-netrIByaH svAhA ||
   AśP 33. atha bhagavān anantāparyantaniṣṭhas tathāgato	ASP 33. aTa BagavAn anantA-paryanta-nizWaH taTAgataH-
   'paryantāniṣṭhadharmā punar apy asya kalpasya pariniṣṭhādhiṣṭhānārtham	aparyanta-anizWa-DarmA punar api asya kalpasya parinizWA-aDizWAna-arTam
   imaṃ sarvadharmasamatāpariniṣṭhādhiṣṭhānavajraṃ nāma	imam sarva-Darma-sama-tA-parinizWA-aDizWAnavajram nAma
   prajñāpāramitānayārtham abhāṣata | prajñāpāramitānantatayā	prajQApAramitA-anaya-arTam aBAzata | prajQApAramitA-ananta-tayA
   sarvatathāgatānantatā | prajñāpāramitāparyantatayā sarvadharmāparyantatā |	sarva-taTAgata-ananta-tA | prajQApAramitA-paryanta-tayA sarva-Darma-aparyanta-tA |
   prajñāpāramitānekatayā sarvadharmānekatā | prajñāpāramitāpariniṣṭhatayā	prajQApAramitA-aneka-tayA sarva-Darma-aneka-tA | prajQApAramitA-parinizWatayA
   sarvadharmāpariniṣṭhatā bhavati||	sarva-Darma-aparinizWatA Bavati||
   AśP 33*. vajra oṃ sarvadharmatāprapañco hili sarvadharmatā mili	ASP 33*. vajraH om sarva-Darma-tA-prapaQcaH hili sarva-DarmatA mili
   sarvānurāgiṇi svāhā ||	sarva-anurAgiNi svAhA ||
   AśP 34. yaḥ kaścid vajrapāṇe imaṃ dharmaparyāyaṃ śroṣyati dhārayiṣyati	ASP 34. yaH kaScid vajrapANe imam Darma-paryAyam Srozyati DArayizyati
   vācayiṣyaty uddekṣyati pravartayiṣyati bhāvayiṣyati tasyāniṣṭhāṃ	vAcayizyati uddekzyati pravartayizyati BAvayizyati tasya-anizWAm
   buddhabodhisattvacaryāṃ gatvā sarvāvaraṇapariniṣṭhatayā tathāgatatvaṃ	budDa-boDisattva-caryAm gatvA sarva-AvaraNa-parinizWatayA taTAgata-tvam
   vajradharatvaṃ vāśu bhaviṣyati ||	vajraDara-tvam vA-ASu Bavizyati ||
   AśP 34*. namaḥ sarvatathāgatānāṃ namaḥ sarvavajradharāṇām | oṃ bhagavann	ASP 34*. namaH sarva-taTAgatAnAm namaH sarva-vajra-DarANAm | om Bagavat-=-
   ārāt pāraṃ viśodhaya svāhā || oṃkārapūrvaṅgamād oghottāraṇaṃ kariṣyāmi	ArAt pAram viSoDaya svAhA || oMkAra-pUrvaFgamAt oGa-uttAraNam karizyAmi
   sarvasattvānāṃ |	sarva-sattvAnAm |
   AśP 35. atha sarvatathāgatāḥ samājam āgamyāsya dharmaparyāyasyāmogham	ASP 35. aTa sarva-taTAgatAH samAjam Agamya-asya Darma-paryAyasya-amoGam
   apratihatāśusiddhyarthaṃ vajrapāṇaye sādhukāram adāt*	apratihata-ASu-sidDi-arTam vajrapANaye sADu-kAram adAt*
   sādhu sādhu mahāsattva sādhu sādhu mahāsukha |	sADu sADu mahA-sattva sADu sADu mahAsuKaH |
   sādhu sādhu mahāyāna sādhu sādhu mahāmate || 1||	sADu sADu mahAyAna sADu sADu mahAmate || 1||
   subhāṣitam idaṃ kalpaṃ vajrasūtram adhiṣṭhitam* |	suBAzitam idam kalpam vajra-sUtram aDizWitam* |
   sarvavajradharair buddhair amoghavinayottamam* || 2 ||	sarva-vajraDarEH budDEH amoGa-vinaya-uttamam* || 2 ||
   dhārayisyanti ye hīmaṃ kalparājam anuttaram* |	DArayisyanti ye hi-imam kalpa-rAjam anuttaram* |
   adhṛṣṭāś cāghatavyāś ca sarvamārādibhis tu te || 3 ||	aDRzwAH ca-aGatavyAH ca sarva-mAra-AdiBiH tu te || 3 ||
   buddhatvaṃ bodhisattvatvam uttamāḥ sarvasiddhayaḥ |	budDa-tvam boDisattva-tvam uttamAH sarva-sidDayaH |
   acirād eva lapsyante sarvabuddhavaco yathā || 4 ||	acirAt eva lapsyante sarva-budDa-vacaH yaTA || 4 ||
   AśP 36.	ASP 36.
   idam uktvā tu sarvāgrāḥ sarvabuddhāḥ sasauraghanāḥ |	idam uktvA tu sarva-agrAH sarva-budDAH sa-sOra-GanAH |
   vajriṇā guhyasiddhyarthaṃ bhāṣitaṃ cābhyanandi te || 5 ||	vajriNA guhya-sidDi-arTam BAzitam ca-aByanandi te || 5 ||
   AśP 37. atha bhagavān vairocanas tathāgataḥ	ASP 37. aTa BagavAn vErocanaH taTAgataH
   sarvatathāgataguhyadharmatāprāptaḥ sarvadharmāprapañcaḥ punar apīdaṃ	sarva-taTAgata-guhya-DarmatA-prAptaH sarva-Darma-aprapaQcaH punar api-idam
   mahāsukhavajrāmoghasamayaṃ	mahA-suKa-vajra-amoGa-samayam
   nāmāmoghavajradharmasamatāprajñāpāramitānayamukhaṃ paramādyam	nAma-amoGa-vajra-Darma-sama-tA-prajQApAramitA-naya-muKam parama-Adyam
   anādinidhanamadhyam uttamam abhāṣata | mahārāgottamasiddhir	anAdiniDana-maDyam uttamam aBAzata | mahA-rAga-uttama-sidDiH-
   mahābodhisattvānāṃ mahāsukhottamasiddhyai saṃvartate |	mahA-boDisattvAnAm mahA-suKa-uttama-sidDyE saMvartate |
   mahāsukhottamasiddhir mahābodhisattvānāṃ	mahAsuKa-uttama-sidDiH mahA-boDisattvAnAm
   sarvatathāgatamahābodhyuttamasiddhyai saṃvartate |	sarva-taTAgata-mahA-boDyuttama-sidDyE saMvartate |
   sarvatathāgatamahābodhyuttamasiddhir mahābodhisattvānāṃ	sarva-taTAgata-mahA-boDyuttama-sidDiH mahA-boDisattvAnAm
   sarvamahāmārapramardanottamasiddhyai saṃvartate |	sarva-mahA-mAra-pramardana-uttama-sidDyE saMvartate |
