   Ahorātravratakathā	AhorAtra-vrata-kaTA
   deśayiṣyāmi / ity uktvā dharmapattanaṃ mahānagarīṃ gatavān samanuprāptaḥ /	deSayizyAmi / iti uktvA Darmapattanam mahA-nagarIm gatavAn samanuprAptaH /
   tatra prāsāda-m-ekam asti / tasmin tiṣṭhati / sa tato 'nekadharmakathanena	tatra prAsAda-m--ekam asti / tasmin tizWati / sa tatas aneka-Darma-kaTanena
   sthitavān / taṃ sarvajanās tatra prāsādikena sādhukāram adāt / tataḥ ke	sTitavAn / tam sarva-janAH tatra prAsAdikena sADu-kAram adAt / tatas ke
   cit satpuruṣāḥ śiṣyatvam anugacchanti tasya /	cit sat-puruzAH Sizya-tvam anugacCanti tasya /
   Avk_P_8. atha dharmadakṣo mahārājā sarvavṛttāntam anumataṃ śrutvā	Avc-_P_8. aTa Darma-dakzaH mahA-rAjA sarva-vRttAntam anumatam SrutvA
   savicāram ādareṇa sagauraveṇa mahotsavena rājakule praveśayati	sa-vicAram AdareNa sa-gOraveNa mahA-utsavena rAja-kule praveSayati
   vāsanabhaktena pratiṣṭhāpayati / atha śāriputro rājānam āśīrvacanam	vAsana-Baktena pratizWApayati / aTa SAriputraH rAjAnam ASIrvacanam
   abravīt / saddharmaṃ kurutāṃ svasti saddharmaṃ kurutāṃ vatsa saddharmaṃ	abravIt / sadDarmam kurutAm svasti sadDarmam kurutAm vatsa sadDarmam
   kurutāṃ mokṣaṃ sarvakāmā bhavantu vaḥ / atha sa rājā praharṣeṇa	kurutAm mokzam sarva-kAmAH Bavantu vaH / aTa sa rAjA praharzeNa
   āśīrvacanam ākarṇya śāriputram evam āha / vibho śāriputra katham	ASIrvacanam AkarNya SAriputram evam Aha / viBo SAriputra kaTam
   āśīrvacanaṃ tava / kaś cid buddho vā devo vā devī vā maheśvaro vā nārāyaṇo	ASIrvacanam tava / kaH cit budDaH vA devaH vA devI vA maheSvaraH vA nArAyaNaH-
   vānyo vā rakṣatv ity āśīrvacanaṃ mahyaṃ dadyāt / saddharmaṃ kurutām iti	vA-anyaH vA rakzatu iti ASIrvacanam mahyam dadyAt / sadDarmam kurutAm iti
   dadāsi / saddharmaṃ na jānāmi bhagavan saddharmaṃ bhāṣatu mahāmate /	dadAsi / sadDarmam na jAnAmi Bagavan sadDarmam BAzatu mahAmate /
   Avk_P_9. śāriputra āha /	Avc-_P_9. SAriputraH Aha /
   na jānāsi maharaja dharmāṇāṃ dharmam uttamam /	na jAnAsi maharaja DarmANAm Darmam uttamam /
   dharmadhātuṃ kathaṃ nāma dharmo nāmākaraṃ varam // 3 //	DarmaDAtum kaTam nAma DarmaH nAma-Akaram varam // 3 //
   śṛṇu rājan mahāteja prathamato dharmadhātuprasaṃskāraṃ kṛtvā	SRNu rAjan mahA-teja praTamatas DarmaDAtu-prasaMskAram kRtvA
   ahorātravrataṃ kārayet / atha cāśrame vā nagare vihāre vā anye vā yatra	ahorAtra-vratam kArayet / aTa ca-ASrame vA nagare vihAre vE anye vA yatra
   dharmadhātur asti tatrāhorātravrataṃ kuryāt / aharniśam ahorātraṃ	DarmaDAtuH asti tatra-ahorAtra-vratam kuryAt / aharniSam ahorAtram
   saddharmaṃ tad vratam iti purā tathāgataiḥ /	sadDarmam tat vratam iti purA taTAgatEH /
   Avk_P_10. rājovāca /	Avc-_P_10. rAjA-uvAca /
   kathaṃ vidhividhānādīn kathyatāṃ bhikṣusattama /	kaTam viDi-viDAna-AdIn kaTyatAm Bikzu-sattamaH /
   vratarājaṃ tu saṃsāre dinamāsādikaṃ kramāt // 4 //	vratarAjam tu saMsAre dina-mAsa-Adikam kramAt // 4 //
   śāriputra uvāca / prathame mahārāja yavodakasthāpanaṃ kuryāc	SAriputraH uvAca / praTame mahA-rAja yava-udaka-sTApanam kuryAt-
   catasradevatāsthāpanaṃ dharmadhātuprabhṛtasya / icchanti ye sattvā	catasra-devatA-sTApanam DarmaDAtu-praBRtasya / icCanti ye sattvA
   brahmakṣatriyavaiśyaśūdrādayaś caturjātivrataṃ kuryāt /	brahma-kzatriya-vESya-SUdra-AdayaH catur-jAti-vratam kuryAt /
   ṣoḍaśaviṃśatijātibhir anyaiḥ svasvayogyaś ca yujyate /	zoxaSa-viMSati-jAtiBiH anyEH sva-sva-yogyaH ca yujyate /
   Avk_P_11. rājan māsāśvinīśuklapakṣe caturdaśyāṃ dantadhāvanaṃ kuryāt /	Avc-_P_11. rAjan mAsa-aSvinI-Sukla-pakze caturdaSyAm dantaDAvanam kuryAt /
   kṣurakarmaśucisnānaṃ madhyāhne dāyadānaṃ kuryāt / tataḥ sūrye ṣaṣṭe gate	kzura-karma-Suci-snAnam maDyAhne dAya-dAnam kuryAt / tatas sUrye zazwe gate
   śālyodanaṃ bhojanaṃ kuryāt / tato mukhaprakṣālanaṃ ...... paścāt / tadā	SAlyodanam Bojanam kuryAt / tatas muKa-prakzAlanam ...... paScAt / tadA
   vyākhyānaṃ śṛṇuyāt tataḥ / rātrau trayārdhaprahare rājan sarve samutthāya	vyAKyAnam SRNuyAt tatas / rAtrO traya-arDa-prahare rAjan sarve samutTAya
   pratyūṣavelāyāṃ snātvā kriyākāraṃ kṛtvā śucivastraṃ prāvṛtya vrataṃ kuryāt	pratyUza-velAyAm snAtvA kriyAkAram kRtvA Suci-vastram prAvRtya vratam kuryAt-
   / pañcadevatāmaṇḍalaṃ kṛtvā apatitagomayenopalipyārghaṃ dattvā ca stūpāya	/ paQca-devatA-maNxalam kRtvA apatita-gomayena-upalipya-arGam dattvA ca stUpAya
   puṣpadhūpadīpagandhanaivedyavīṇāvaṃśamṛdaṅgamurajapaṭahatālaśaṅkhadhvajacchattragītanṛtyādīn	puzpa-DUpa-dIpa-ganDa-nEvedya-vINA-vaMSa-mRdaFga-muraja-pawaha-tAla-SaFKa-Dvaja=-Cattra-gIta-nRtya-AdIn
   ṣoḍaśavidhim arcanai rājan nānotsavaprapūritaiḥ prathame pañcapradakṣiṇaṃ	zoxaSa-viDim arcanEH rAjan nAnA-utsava-prapUritEH praTame paQca-pradakziNam
   kārayet / stutiṃ buddhe pragīyate / lājākṣataṃ sapuṣpaṃ ca caityamūrdhni	kArayet / stutim budDe pragIyate / lAja-akzatam sa-puzpam ca cEtya-mUrDni
   prakṣipet /	prakzipet /
   Avk_P_12. atha rājovāca / bhikṣusattama mahāprājña ahorātravrataṃ	Avc-_P_12. aTa rAjA-uvAca / Bikzu-sattama mahA-prAjQa ahorAtra-vratam
   ekasthāne vā dvitīye vānye vā kim u / śāriputra uvāca /	eka-sTAne vA dvitIye vA-anye vA kim u / SAriputraH uvAca /
   naikasthāne maharaja yatra caityaṃ pratiṣṭhati /	na-eka-sTAne maharaja yatra cEtyam pratizWati /
   yatra devālaye caitye yatra tīrthasya saṃgame /	yatra devAlaye cEtye yatra tIrTasya saMgame /
   yatra yatra manoramye buddhakṣetre pracaṅkrame // 5 //	yatra yatra manaH-ramye budDa-kzetre pracaFkrame // 5 //
   rājovāca / kathaṃ nātha pramāṇaṃ ca yaticaityapradakṣiṇaṃ saṃpūrṇaṃ yāvat	rAjA-uvAca / kaTam nATa pramANam ca yati-cEtya-pradakziNam saMpUrNam yAvat-
   tāvad dinaṃ kiṃ vā / śāriputra uvāca / naiva mahārāja yatināṃ nidrā na	tAvat dinam kim vA / SAriputraH uvAca / na-eva mahA-rAja yatinAm nidrA na
   viśrāmaṃ na dhāvitaṃ kiṃ cit ....... īdṛkpramāṇa iti /	viSrAmam na DAvitam kim cit ....... IdRS-pramANaH iti /
   Avk_P_13 rājovāca / samartho 'samartho vā tasya vivekaṃ kathaya prabho /	Avc-_P_13 rAjA-uvAca / samarTaH asamarTaH vA tasya vivekam kaTaya praBo /
   śāriputra uvāca / ke cid asamarthā vā bālavṛddhā vā ahorātravrataṃ na	SAriputraH uvAca / ke cit asamarTAH vA bAla-vRdDAH vE ahorAtra-vratam na
   kartavyaṃ mahārājeti / rājovāca / kathaṃ bhikṣo mahāprājña asamarthā	kartavyam mahA-rAja-iti / rAjA-uvAca / kaTam BikzaH mahA-prAjQa asamarTA
   bālavṛddhāś ca dharmapratilabdhā bhaveyuḥ / śāriputra uvāca / upavāsoṣito	bAla-vRdDAH ca Darma-pratilabDAH BaveyuH / SAriputraH uvAca / upavAsa-uzitaH-
   bhūtvā caityārcanaṃ snānādikaṃ kṛtvā japastotraṃ ca kārayet / asamarthānāṃ	BUtvA cEtya-arcanam snAna-Adikam kRtvA japa-stotram ca kArayet / asamarTAnAm
   tathā punar bālānāṃ abhilāṣaṃ yadā dinam ekaṃ vā dinārdhaṃ vā praharam	taTA punar bAlAnAm aBilAzam yadA dinam ekam vA dina-arDam vA praharam
   ekaṃ vā upavāsoṣito bhūtvā caityārcanaṃ ekadvitripradakṣiṇaṃ yathāśakti	ekam vA upavAsa-uzitaH BUtvA cEtya-arcanam eka-dvi-tri-pradakziNam yaTASakti
   kartavyaṃ mahārājeti /	kartavyam mahA-rAja-iti /
   Avk_P_14. vrataniyamaṃ kathaṃ bhikṣo bhakṣabhojyaṃ kathaṃ punar vrataṃ	Avc-_P_14. vrata-niyamam kaTam BikzaH Bakza-Bojyam kaTam punar vratam
   pūrṇaṃ kathaṃ kuryāt / vrataparyantakaṃ katham / śāriputra uvāca /	pUrNam kaTam kuryAt / vrata-paryantakam kaTam / SAriputraH uvAca /
   śucisnānādikaṃ kṛtvā cittam antargatamīkṣayet sarvaśuklopacāreṇa	Suci-snAna-Adikam kRtvA cittam antargatam-Ikzayet sarva-Sukla-upacAreNa
   sugandhakusumayuktena nihatadaṇḍaśastreṇa nihataprāṇivadhena	suganDa-kusuma-yuktena nihata-daNxa-SastreNa nihata-prANi-vaDena
   nihatādattadānena nihatakāmācāreṇa tyaktapiśunena tyaktabhinnabhāṣanena	nihata-adatta-dAnena nihata-kAma-AcAreNa tyakta-piSunena tyakta-Binna-BAzanena
   tyaktādṛṣṭavacanena tyaktapāruṣakavacanena ca na cābhidhyādhānena na ca	tyakta-adRzwa-vacanena tyakta-pAruzaka-vacanena ca na ca-aBiDyADAnena na ca
   vyāpādacittena na ca mithyādṛṣṭigrahaṇena naiva lavaṇabhojanena naiva	vyApAda-cittena na ca miTyA-dRzwi-grahaNena na-eva lavaNa-Bojanena na-eva
   madyapānapipāsena naiva māṃsāhāreṇa vinā uccaśayyāṃ vinā jyeṣṭhalaṅghanena	madya-pAna-pipAsena na-eva mAMsa-AhAreNa vinA ucca-SayyAm vinA jyezWa-laFGanena
   vinā akālabhojanena / evaṃ mahārāja vidhim eva kartavyam /	vinA akAla-Bojanena / evam mahA-rAja viDim eva kartavyam /
   aharniśāparyante prāśanaṃ kuryāt / punaś ca mahārāja vratasaṃpūraṇārthaṃ	ahar-niSA-paryante prASanam kuryAt / punar ca mahA-rAja vrata-saMpUraNa-arTam
   prativarṣaṃ vā varṣam ekaṃ vā tritayaṃ vā pañca vā sapta vā vrataṃ	prativarzam vA varzam ekam vA tritayam vA paQca vA sapta vA vratam
   samāptaṃ kuryāt /	samAptam kuryAt /
   Avk_P_15. vratasaṃpūraṇāntare vicitracchattraṃ ca ..... chattraṃ ca	Avc-_P_15. vrata-saMpUraNa-antare vicitra=-Cattram ca ..... Cattram ca
   nānopacāreṇa kusumaprarohaṇaṃ kartavyam /	nAnA-upacAreNa kusuma-prarohaNam kartavyam /
   nānotsavavinoditanṛtyagītahāsyalāsyavilāsapañcasvarasaṃvṛtakālāhāreṇa	nAnA-utsava-vinodita-nRtya-gIta-hAsya-lAsya-vilAsa-paQca-svara-saMvRta-kAla-AhAreNa
   puṣpākṣatapiṣṭakādiprakṣiptena dhvajaprarohaṇaṃ kuryāt / yathāvidhi	puzpa-akzata-pizwaka-Adi-prakziptena Dvaja-prarohaNam kuryAt / yaTAviDi
   yajñādikaṃ kṛtvā tata ācāryāya vastrānnasuvarṇakaṅkaṇādi saṃpūraṇāya /	yajQa-Adikam kRtvA tatas AcAryAya vastra-anna-suvarNa-kaFkaNa-Adi saMpUraNAya /
   evaṃ mahārāja tata ācāryāyopādhyāyena vratinaṃ maṅgalārthaṃ pratiṣṭhāṃ	evam mahA-rAja tatas AcAryAya-upADyAyena vratinam maFgala-arTam pratizWAm
   kuryāt / tataḥ kumārīpūjanaṃ kārayet / evaṃ vidhir mahārāja /	kuryAt / tatas kumArI-pUjanam kArayet / evam viDiH mahA-rAja /
   Avk_P_16. rājovāca /	Avc-_P_16. rAjA-uvAca /
   sādhu sādhu mahāprājña vratabandhaṃ mayā śrutam /	sADu sADu mahA-prAjQa vrata-banDam mayA Srutam /
   phalaṃ tasya kathaṃ nātha bhāṣasva tvaṃ yathāmatam // 6 //	Palam tasya kaTam nATa BAzasva tvam yaTAmatam // 6 //
   śṛṇu rājan pravakṣyāmi vratarājasya yaṃ phalam /	SRNu rAjan pravakzyAmi vrata-rAjasya yam Palam /
   purā tathāgataiḥ prāha tad ekaṃ vrataśāsanam // 7 //	purA taTAgatEH prAha tat ekam vrata-SAsanam // 7 //
   nirghoṣadamano nāma asurendraḥ prakīrtitaḥ /	nirGoza-damanaH nAma asura-indraH prakIrtitaH /
   amarāvatīṃ samāsādya tiṣṭhati sukhalīlayā // 8 //	amarAvatIm samAsAdya tizWati suKa-lIlayA // 8 //
   tadā devānām indro dīnamanā duḥkhitaḥ sasmāra / kena prakāreṇa vijeṣyāmi /	tadA devAnAm indraH dIna-manAH duHKitaH sasmAraH / kena prakAreNa vijezyAmi /
   mamāśrame nirghoṣadamano 'surendraḥ sthitaḥ / tadā iti vicintya devānām	mama-ASrame nirGoza-damanaH asura-indraH sTitaH / tadA iti vicintya devAnAm
   indraḥ asmin trāyastriṃśadbhavane prāktanadevendraiḥ saṃpūjārthaṃ	indraH asmin trAyastriMSat-Bavane prAktana-deva-indrEH saMpUjA-arTam
   saṃsthāpitaṃ mahācaityam asti / tasmin caitye ahorātravrataṃ kriyate	saMsTApitam mahA-cEtyam asti / tasmin cEtye ahorAtra-vratam kriyate
   yathāvidhi devānām indreṇa / tadanantare nirghoṣadamano 'surendro nirjitya	yaTAviDi devAnAm indreNa / tad-anantare nirGoza-damanaH asura-indraH nirjitya
   pṛthivyām avadhāritaḥ / evaṃ mahārāja īdṛśam ahorātravrataprabhāvaṃ mayā	pRTivyAm avaDAritaH / evam mahA-rAja IdRSam ahorAtra-vrata-praBAvam mayA
   śrutam /	Srutam /
   Avk_P_17. rājovāca /	Avc-_P_17. rAjA-uvAca /
   kathaṃ bhikṣo mahāsattva tatphalaṃ tadanyad api /	kaTam BikzaH mahA-sattva tad-Palam tat-anyat api /
   bhāṣasva sakalaṃ taṃ ca vratarājasya sarvataḥ // 9 //	BAzasva sakalam tam ca vratarAjasya sarvatas // 9 //
   śāriputra uvāca /	SAriputraH uvAca /
   śṛṇu rājan mahāteja tadvratasya phalaṃ mayā /	SRNu rAjan mahA-teja tad-vratasya Palam mayA /
   kathyate sakalaṃ samyak paryantam ādipaścimam // 10 //	kaTyate sakalam samyak paryantam Adi-paScimam // 10 //
   vitānam uccair prakaroti martyāḥ śridharmadhātau ḥ tathāgate vā /	vitAnam uccEs prakaroti martyAH Sri-DarmaDAtO H taTAgate vA /
   jarāvipattiṃ maraṇāntajanma tyaktvā sarogaṃ satataṃ labhante // 11 //	jarA-vipattim maraNa-anta-janma tyaktvA sa-rogam satatam laBante // 11 //
   dharmaṃ ca ratnaṃ ca mayūrapadmaṃ caturdhvajān saṃpratiṣṭhāpitena /	Darmam ca ratnam ca mayUra-padmam catur-DvajAn saMpratizWApitena /
   maitryādicatvāravihārakādīn samāpyate buddhavidāṃ balāni // 12 //	mEtrI-Adi-catvAra-vihAraka-AdIn samApyate budDa-vidAm balAni // 12 //
   Avk_P_18. yena dharmadhātave vratārambhe dīyate pādyaṃ	Avc-_P_18. yena Darma-DAtave vrata-AramBe dIyate pAdyam
   ratoadugdhādimiśritaṃ tena śucigātraṃ mahānidhiṃ pratilabhyate / tatra	ratoa-dugDa-Adi-miSritam tena Suci-gAtram mahA-niDim pratilaByate / tatra
   ācamanaṃ dhyātvā dīyate iha janmapāpāni vinaśyanti / dharmadhātave ...	Acamanam DyAtvA dIyate iha janma-pApAni vinaSyanti / Darma-DAtave ...
   laṅghayati / dugdhākṣatāmbunavaratnādi śaṅkhasthāpitaṃ kurvanti narā	laFGayati / dugDa-akzata-ambu-nava-ratna-Adi SaFKa-sTApitam kurvanti narA
   dharmadhātave te sukhamodinyām abhilāṣaphalāny āpsyanti /	Darma-DAtave te suKa-modinyAm aBilAza-PalAni Apsyanti /
   paṭadukūlasukumārādi ye praḍhaukanti dharmadhātave te paṭadukūlavastrāṇāṃ	pawa-dukUla-sukumAra-Adi ye praXOkanti Darma-DAtave te pawa-dukUla-vastrANAm
   tantusaṃkhyayā janmasu surapure paribhuñjante / tilakapraḍhaukitena	tantu-saMKyayA janmasu sura-pure pariBuQjante / tilaka-praXOkitena
   saundaryarūpaguṇaviśālasugandhavaraṃ tena labhyate / vicitrāṇi ca puṣpāni	sOndarya-rUpa-guNa-viSAla-suganDa-varam tena laByate / vicitrANi ca puzpAni
   Avk_P_19. api tena suvarṇalatikātulyadānasya tatphalaṃ stūpabimbe buddheṣu	Avc-_P_19. api tena suvarNa-latikA-tulya-dAnasya tad-Palam stu-upabimbe budDezu
   munayo vadanti sadā /	munayaH vadanti sadA /
   padotkṣepapadotkṣepam ekasuvarṇakaṃ dānam /	pada-utkzepa-pada-utkzepam eka-suvarNakam dAnam /
   tatphalaṃ munayo jaguḥ stotram eva prakurvīta // 13 //	tat-Palam munayaH jaguH stotram eva prakurvIta // 13 //
   dharmadhātave suralokaiḥ prapūjyate ....... yena gītaṃ pragīyate	DarmaDAtave sura-lokEH prapUjyate ....... yena gItam pragIyate
   stūpabimbeṣu divyaśrotro bhūtvā surapure divyaghoṣaṃ śrūyate tena /	stu-upa-bimbezu divya-SrotraH BUtvA sura-pure divya-Gozam SrUyate tena /
   dharmadhātave rājan japam ekaṃ prajapyate yena sugatajñānaṃ samāsādyate	Darma-DAtave rAjan japam ekam prajapyate yena sugata-jQAnam samAsAdyate
   samādhiṃ punar āpyate / vividhavādyaṃ ye pravādyante te mahārāja	samADim punar Apyate / viviDa-vAdyam ye pravAdyante te mahA-rAja
   dharmadhātau devaloke divyavādyaṃ pratiśrutya sthitāḥ /	DarmaDAtO deva-loke divya-vAdyam pratiSrutya sTitAH /
   dharmadhātustūpabimbeṣu ye nṛtyaṃ prakurvanti nānāvādyasamāyuktaṃ te	DarmaDAtu-stu-upabimbezu ye nRtyam prakurvanti nAnA-vAdya-samAyuktam te
   suraloke sukhabhogyaṃ samāsādya gandharvair saha ramante nṛtyamānasya	sura-loke suKa-Bogyam samAsAdya ganDarvEH saha ramante nRtyamAnasya
   śastraastrahastena tatśastreṇa sarvapāpāni pratihanyante / caityabimbe ye	Sastra-astra-hastena tat-SastreNa sarva-pApAni pratihanyante / cEtya-bimbe ye
   sudhālepaṃ kurvanti te pāparāśiviṣyanditāḥ suralokam anugacchanti / ye	suDA-lepam kurvanti te pApa-rASi-vizyanditAH sura-lokam anugacCanti / ye
   stūpabimbe dolibandhitacaturdiśāvarohanti lakṣapuṣpaguṇṭhitā vā	stu-upabimbe dolibanDita-catur-diSA-avarohanti lakza-puzpa-guNWitA vA
   ṣaṣṭiśatatrayapramāṇena diśāmālikās te puṣpaguṇṭhitasaṃkhyayā janmasu	zazwi-Sata-traya-pramANena diSAmAlikAH te puzpa-guNWita-saMKyayA janmasu
